Wright State,2247,Georgia State,2750
13:00,2750,Mark Alstork Defensive Rebound.,15,11
12:36,2750,Technical Foul on Mark Alstork.,15,11
12:36,2750,Foul on Mark Alstork.,15,11
12:36,2247,Jeff Thomas made Free Throw.,15,13
12:36,2247,Jeff Thomas made Free Throw.,15,12
12:30,2750,Grant Benzinger missed Three Point Jumper.,15,13
12:30,2247,Georgia St Defensive Rebound.,15,13
11:59,2247,Jordan Session missed Three Point Jumper.,15,13
11:59,2750,Mark Hughes Defensive Rebound.,15,13
11:48,2750,Steven Davis missed Layup.,15,13
11:48,2247,Jordan Session Block.,15,13
11:47,2750,Steven Davis Offensive Rebound.,15,13
11:47,2247,Foul on Jordan Session.,15,13
11:47,2247,Official TV Timeout,15,13
11:43,2247,Foul on Jordan Session.,15,13
11:43,2750,Mark Alstork made Free Throw.,16,13
11:43,2750,Mark Alstork made Free Throw.,17,13
11:35,2247,Jeff Thomas missed Three Point Jumper.,17,13
11:35,2247,Malik Benlevi Offensive Rebound.,17,13
11:30,2247,Malik Benlevi made Jumper.,17,15
11:21,2247,Foul on Willie Clayton.,17,15
11:21,2750,Mark Alstork made Free Throw.,18,15
11:21,2750,Mark Alstork made Free Throw.,19,15
11:14,2247,Justin Seymour missed Layup.,19,15
11:14,2750,Mark Alstork Defensive Rebound.,19,15
11:02,2750,Mark Alstork made Jumper.,21,15
10:47,2750,Foul on Grant Benzinger.,21,15
10:47,2247,Malik Benlevi made Free Throw.,21,16
10:47,2247,Malik Benlevi missed Free Throw.,21,16
10:47,2750,Wright St Deadball Team Rebound.,21,16
10:45,2247,Foul on Jeremy Hollowell.,21,16
10:30,2750,Mark Alstork missed Layup.,21,16
10:30,2750,Grant Benzinger Offensive Rebound.,21,16
10:21,2750,Grant Benzinger Turnover.,21,16
10:20,2247,Malik Benlevi Steal.,21,16
10:07,2247,Malik Benlevi missed Layup.,21,16
10:07,2247,D'Marcus Simonds Offensive Rebound.,21,16
10:02,2247,D'Marcus Simonds missed Jumper.,21,16
10:02,2750,Parker Ernsthausen Defensive Rebound.,21,16
9:48,2750,Grant Benzinger missed Three Point Jumper.,21,16
9:48,2247,Malik Benlevi Defensive Rebound.,21,16
9:35,2247,Jeremy Hollowell missed Layup.,21,16
9:35,2750,Justin Mitchell Block.,21,16
9:34,2247,Georgia St Deadball Team Rebound.,21,16
9:34,2750,Foul on Grant Benzinger.,21,16
9:34,2247,Willie Clayton missed Free Throw.,21,16
9:34,2247,Georgia St Deadball Team Rebound.,21,16
9:34,2247,Willie Clayton made Free Throw.,21,17
9:29,2247,Foul on D'Marcus Simonds.,21,17
9:08,2750,Mark Alstork missed Three Point Jumper.,21,17
9:08,2247,Willie Clayton Defensive Rebound.,21,17
8:58,2247,Justin Seymour Turnover.,21,17
8:57,2750,Mark Alstork Steal.,21,17
8:55,2750,Steven Davis Turnover.,21,17
8:48,2247,Foul on D'Marcus Simonds.,21,17
8:48,2247,D'Marcus Simonds Turnover.,21,17
8:32,2750,Steven Davis missed Three Point Jumper.,21,17
8:32,2247,Jeremy Hollowell Defensive Rebound.,21,17
8:25,2247,Justin Seymour made Three Point Jumper. Assisted by Isaiah Dennis.,21,20
8:13,2750,Mike La Tulip missed Jumper.,21,20
8:13,2247,Justin Seymour Defensive Rebound.,21,20
8:06,2247,Justin Seymour missed Three Point Jumper.,21,20
8:06,2750,Mark Hughes Defensive Rebound.,21,20
7:40,2247,Official TV Timeout,21,20
7:36,2750,Mark Alstork missed Three Point Jumper.,21,20
7:36,2247,Jeremy Hollowell Defensive Rebound.,21,20
7:18,2247,Jordan Session made Jumper. Assisted by Isaiah Williams.,21,22
6:56,2750,Steven Davis Turnover.,21,22
6:56,2247,Isaiah Dennis Steal.,21,22
6:42,2247,Jeremy Hollowell missed Three Point Jumper.,21,22
6:42,2750,Wright St Deadball Team Rebound.,21,22
6:40,2247,Foul on Jordan Session.,21,22
6:40,2750,Parker Ernsthausen made Free Throw.,22,22
6:40,2750,Parker Ernsthausen missed Free Throw.,22,22
6:40,2247,Jeremy Hollowell Defensive Rebound.,22,22
6:30,2247,Isaiah Williams made Jumper.,22,24
6:12,2750,Mark Hughes missed Jumper.,22,24
6:12,2247,Jeff Thomas Defensive Rebound.,22,24
6:03,2247,Isaiah Williams missed Jumper.,22,24
6:03,2750,Mark Alstork Defensive Rebound.,22,24
5:40,2750,Mark Alstork made Three Point Jumper. Assisted by Mark Hughes.,25,24
5:12,2247,Foul on Jeremy Hollowell.,25,24
5:12,2247,Jeremy Hollowell Turnover.,25,24
4:59,2750,Grant Benzinger missed Jumper.,25,24
4:59,2247,Devin Mitchell Block.,25,24
4:59,2750,Steven Davis Offensive Rebound.,25,24
4:57,2247,Foul on Jeff Thomas.,25,24
4:57,2750,Steven Davis missed Free Throw.,25,24
4:57,2750,Wright St Deadball Team Rebound.,25,24
4:57,2750,Steven Davis made Free Throw.,26,24
4:39,2247,Jeremy Hollowell made Three Point Jumper. Assisted by Devin Mitchell.,26,27
4:28,2750,Mark Alstork missed Jumper.,26,27
4:28,2750,Justin Mitchell Offensive Rebound.,26,27
4:18,2247,Foul on Devin Mitchell.,26,27
4:18,2750,Justin Mitchell made Free Throw.,27,27
4:18,2750,Justin Mitchell made Free Throw.,28,27
4:08,2247,Isaiah Williams made Three Point Jumper. Assisted by Jeff Thomas.,28,30
3:52,2750,Justin Mitchell Turnover.,28,30
3:41,2247,Devin Mitchell missed Three Point Jumper.,28,30
3:41,2750,Justin Mitchell Defensive Rebound.,28,30
3:25,2750,Grant Benzinger missed Free Throw.,28,30
3:25,2247,Foul on Isaiah Williams.,28,30
3:25,2750,Wright St Deadball Team Rebound.,28,30
3:25,2750,Grant Benzinger made Free Throw.,29,30
3:03,2247,Devin Mitchell missed Jumper.,29,30
3:03,2750,Justin Mitchell Defensive Rebound.,29,30
2:51,2750,Steven Davis made Jumper.,31,30
2:36,2247,Isaiah Williams made Three Point Jumper. Assisted by Jeremy Hollowell.,31,33
2:25,2750,Mark Alstork Turnover.,31,33
2:09,2247,Isaiah Williams made Three Point Jumper. Assisted by Austin Donaldson.,31,36
1:53,2750,Mark Hughes missed Three Point Jumper.,31,36
1:53,2247,Jeff Thomas Defensive Rebound.,31,36
1:43,2247,Jeremy Hollowell Turnover.,31,36
1:18,2750,Steven Davis missed Layup.,31,36
1:18,2750,Steven Davis Offensive Rebound.,31,36
1:16,2750,Wright St  Timeout,31,36
1:12,2750,Wright St  Turnover.,31,36
1:02,2247,Jeremy Hollowell Turnover.,31,36
1:01,2750,Mark Hughes Steal.,31,36
0:53,2750,Foul on Mark Alstork.,31,36
0:53,2750,Mark Alstork Turnover.,31,36
0:53,2247,Georgia St  Timeout,31,36
0:41,2247,Jeremy Hollowell missed Three Point Jumper.,31,36
0:41,2247,Jeff Thomas Offensive Rebound.,31,36
0:37,2247,Jeff Thomas made Two Point Tip Shot.,31,38
0:19,2750,Steven Davis made Layup. Assisted by Mike La Tulip.,33,38
0:03,2247,Jeremy Hollowell made Three Point Jumper.,33,41
0:00,2247,End of 1st half,33,41
19:48,2247,Malik Benlevi made Three Point Jumper. Assisted by Isaiah Williams.,33,44
19:12,2750,Grant Benzinger Turnover.,33,44
19:09,2247,Isaiah Williams made Layup.,33,46
18:53,2750,Mike La Tulip missed Three Point Jumper.,33,46
18:53,2750,Justin Mitchell Offensive Rebound.,33,46
18:49,2750,Justin Mitchell missed Layup.,33,46
18:49,2247,Jeremy Hollowell Defensive Rebound.,33,46
18:39,2750,Foul on Steven Davis.,33,46
18:39,2247,Willie Clayton made Free Throw.,33,47
18:39,2247,Willie Clayton made Free Throw.,33,48
18:28,2247,Isaiah Williams missed Three Point Jumper.,33,48
18:28,2750,Justin Mitchell Defensive Rebound.,33,48
18:18,2750,Mark Alstork made Layup.,35,48
18:03,2750,Foul on Steven Davis.,35,48
17:57,2247,Foul on Willie Clayton.,35,48
17:57,2247,Willie Clayton Turnover.,35,48
17:48,2750,Mark Alstork Turnover.,35,48
17:27,2247,Willie Clayton made Jumper.,35,50
17:14,2750,Mark Alstork missed Layup.,35,50
17:14,2247,D'Marcus Simonds Defensive Rebound.,35,50
17:10,2750,Foul on Mark Alstork.,35,50
16:51,2247,Foul on Willie Clayton.,35,50
16:51,2247,Willie Clayton Turnover.,35,50
16:39,2750,Mike La Tulip missed Three Point Jumper.,35,50
16:39,2247,Isaiah Williams Defensive Rebound.,35,50
16:29,2247,Foul on Malik Benlevi.,35,50
16:29,2247,Malik Benlevi Turnover.,35,50
16:22,2247,Foul on D'Marcus Simonds.,35,50
16:20,2750,Grant Benzinger missed Three Point Jumper.,35,50
16:20,2750,Mark Hughes Offensive Rebound.,35,50
16:03,2750,Mark Alstork missed Three Point Jumper.,35,50
16:03,2750,Grant Benzinger Offensive Rebound.,35,50
15:52,2750,Grant Benzinger missed Layup.,35,50
15:52,2247,Jeremy Hollowell Block.,35,50
15:52,2247,Jordan Session Defensive Rebound.,35,50
15:39,2247,D'Marcus Simonds missed Three Point Jumper.,35,50
15:39,2750,Grant Benzinger Defensive Rebound.,35,50
15:22,2750,Mark Hughes missed Three Point Jumper.,35,50
15:22,2247,D'Marcus Simonds Defensive Rebound.,35,50
15:14,2750,Foul on Parker Ernsthausen.,35,50
15:14,2247,Official TV Timeout,35,50
15:14,2247,D'Marcus Simonds made Free Throw.,35,51
15:14,2247,D'Marcus Simonds missed Free Throw.,35,51
15:14,2750,Mark Alstork Defensive Rebound.,35,51
14:59,2750,Mark Alstork Turnover.,35,51
14:33,2247,Justin Seymour made Jumper.,35,53
14:10,2750,Mark Hughes Turnover.,35,53
13:59,2247,Jeremy Hollowell made Jumper.,35,55
13:41,2750,Justin Mitchell Turnover.,35,55
13:30,2247,Jordan Session made Jumper. Assisted by Isaiah Dennis.,35,57
13:12,2750,Mike La Tulip missed Three Point Jumper.,35,57
13:12,2247,Jordan Session Defensive Rebound.,35,57
13:01,2750,Foul on Ryan Custer.,35,57
13:01,2247,Jeff Thomas made Free Throw.,35,58
13:01,2247,Jeff Thomas made Free Throw.,35,59
12:56,2247,Foul on Justin Seymour.,35,59
12:48,2750,Grant Benzinger made Jumper.,37,59
12:48,2247,Foul on Isaiah Dennis.,37,59
12:48,2750,Grant Benzinger made Free Throw.,38,59
12:20,2247,Foul on Malik Benlevi.,38,59
12:20,2247,Malik Benlevi Turnover.,38,59
12:00,2750,Grant Benzinger made Three Point Jumper. Assisted by Ryan Custer.,41,59
11:24,2247,Justin Seymour missed Three Point Jumper.,41,59
11:24,2750,Justin Mitchell Defensive Rebound.,41,59
11:17,2750,Grant Benzinger missed Three Point Jumper.,41,59
11:17,2247,Isaiah Dennis Defensive Rebound.,41,59
11:08,2750,Foul on Justin Mitchell.,41,59
11:08,2247,Official TV Timeout,41,59
11:08,2247,Jordan Session missed Free Throw.,41,59
11:08,2247,Georgia St Deadball Team Rebound.,41,59
11:08,2247,Jordan Session missed Free Throw.,41,59
11:08,2750,Grant Benzinger Defensive Rebound.,41,59
10:44,2750,Ryan Custer missed Three Point Jumper.,41,59
10:44,2247,Jordan Session Defensive Rebound.,41,59
10:30,2247,Jordan Session missed Layup.,41,59
10:30,2750,Ryan Custer Block.,41,59
10:30,2750,Grant Benzinger Defensive Rebound.,41,59
10:11,2750,Foul on Grant Benzinger.,41,59
10:11,2750,Grant Benzinger Turnover.,41,59
9:48,2247,Jeremy Hollowell missed Three Point Jumper.,41,59
9:48,2750,Mark Alstork Defensive Rebound.,41,59
9:32,2750,Justin Mitchell made Layup.,43,59
9:31,2750,Wright St  Timeout,43,59
9:07,2247,Austin Donaldson missed Layup.,43,59
9:07,2247,D'Marcus Simonds Offensive Rebound.,43,59
9:05,2247,D'Marcus Simonds made Layup.,43,61
8:46,2750,Grant Benzinger made Three Point Jumper. Assisted by Mike La Tulip.,46,61
8:13,2247,D'Marcus Simonds missed Layup.,46,61
8:13,2247,D'Marcus Simonds Offensive Rebound.,46,61
8:10,2247,D'Marcus Simonds missed Layup.,46,61
8:10,2750,Mark Alstork Defensive Rebound.,46,61
7:54,2750,Mike La Tulip made Three Point Jumper. Assisted by Mark Alstork.,49,61
7:32,2247,Jeremy Hollowell made Three Point Jumper. Assisted by Austin Donaldson.,49,64
7:07,2750,Mark Alstork made Three Point Jumper. Assisted by Mike La Tulip.,52,64
7:07,2750,Wright St  Timeout,52,64
7:07,2247,Official TV Timeout,52,64
6:55,2750,Foul on Mike La Tulip.,52,64
6:55,2247,Devin Mitchell made Free Throw.,52,65
6:55,2247,Devin Mitchell made Free Throw.,52,66
6:50,2750,Foul on Justin Mitchell.,52,66
6:50,2750,Justin Mitchell Turnover.,52,66
6:35,2247,Foul on Jeremy Hollowell.,52,66
6:35,2247,Jeremy Hollowell Turnover.,52,66
6:28,2750,Mark Alstork made Jumper. Assisted by Mike La Tulip.,54,66
6:04,2247,Jeremy Hollowell made Three Point Jumper. Assisted by Austin Donaldson.,54,69
6:03,2247,Georgia St  Timeout,54,69
5:50,2247,Foul on Jeremy Hollowell.,54,69
5:50,2750,Steven Davis made Free Throw.,55,69
5:50,2750,Steven Davis made Free Throw.,56,69
5:29,2247,Jeremy Hollowell made Three Point Jumper.,56,72
5:17,2750,Mark Alstork missed Jumper.,56,72
5:17,2247,Jordan Session Block.,56,72
5:17,2247,Jordan Session Defensive Rebound.,56,72
4:50,2247,Devin Mitchell missed Three Point Jumper.,56,72
4:50,2750,Justin Mitchell Defensive Rebound.,56,72
4:41,2750,Justin Mitchell Turnover.,56,72
4:26,2247,Jeremy Hollowell missed Three Point Jumper.,56,72
4:26,2750,Steven Davis Defensive Rebound.,56,72
4:11,2247,Foul on Devin Mitchell.,56,72
4:11,2750,Grant Benzinger made Free Throw.,57,72
4:11,2750,Grant Benzinger made Free Throw.,58,72
3:53,2247,Official TV Timeout,58,72
3:39,2247,Austin Donaldson missed Layup.,58,72
3:39,2247,Austin Donaldson Offensive Rebound.,58,72
3:13,2247,Jordan Session missed Jumper.,58,72
3:13,2750,Mark Alstork Defensive Rebound.,58,72
2:57,2750,Mark Alstork made Jumper.,60,72
2:56,2247,Foul on Jeff Thomas.,60,72
2:56,2750,Mark Alstork made Free Throw.,61,72
2:26,2247,Jordan Session missed Jumper.,61,72
2:26,2750,Wright St Deadball Team Rebound.,61,72
2:25,2247,Foul on Jordan Session.,61,72
2:25,2750,Grant Benzinger made Free Throw.,62,72
2:25,2750,Grant Benzinger made Free Throw.,63,72
1:58,2247,Foul on Jeremy Hollowell.,63,72
1:58,2247,Jeremy Hollowell Turnover.,63,72
1:45,2247,Foul on Devin Mitchell.,63,72
1:45,2750,Grant Benzinger made Free Throw.,64,72
1:45,2750,Grant Benzinger made Free Throw.,65,72
1:35,2750,Foul on Mark Alstork.,65,72
1:35,2247,Devin Mitchell missed Free Throw.,65,72
1:35,2247,Georgia St Deadball Team Rebound.,65,72
1:35,2247,Devin Mitchell made Free Throw.,65,73
1:26,2750,Grant Benzinger made Three Point Jumper. Assisted by Mark Hughes.,68,73
1:24,2750,Wright St  Timeout,68,73
0:57,2247,Isaiah Williams made Jumper.,68,75
0:50,2750,Grant Benzinger missed Layup.,68,75
0:50,2247,D'Marcus Simonds Defensive Rebound.,68,75
0:42,2750,Foul on Justin Mitchell.,68,75
0:42,2247,Isaiah Williams made Free Throw.,68,76
0:42,2247,Isaiah Williams made Free Throw.,68,77
0:37,2750,Foul on Mark Alstork.,68,77
0:37,2750,Mark Alstork Turnover.,68,77
0:35,2750,Foul on Mike La Tulip.,68,77
0:35,2247,Isaiah Williams made Free Throw.,68,78
0:35,2247,Isaiah Williams made Free Throw.,68,79
0:31,2750,Grant Benzinger made Three Point Jumper. Assisted by Justin Mitchell.,71,79
0:24,2750,Foul on Mark Hughes.,71,79
0:24,2247,Justin Seymour missed Free Throw.,71,79
0:24,2247,Georgia St Deadball Team Rebound.,71,79
0:24,2247,Justin Seymour missed Free Throw.,71,79
0:24,2750,Justin Mitchell Defensive Rebound.,71,79
0:17,2750,Grant Benzinger made Three Point Jumper.,74,79
0:15,2750,Foul on Mark Hughes.,74,79
0:15,2247,Justin Seymour made Free Throw.,74,80
0:15,2247,Georgia St  Timeout,74,80
0:15,2247,Justin Seymour made Free Throw.,74,81
0:08,2750,Grant Benzinger missed Three Point Jumper.,74,81
0:08,2247,Jordan Session Defensive Rebound.,74,81
0:04,2750,Foul on Mike La Tulip.,74,81
0:04,2247,Jordan Session missed Free Throw.,74,81
0:04,2247,Georgia St Deadball Team Rebound.,74,81
0:04,2247,Jordan Session missed Free Throw.,74,81
0:04,2750,Grant Benzinger Defensive Rebound.,74,81
0:00,2247,End of Game,74,81
