Western Carolina,269,Marquette,2717
11:54,2717,Jesse Deloach Offensive Rebound.,7,22
11:52,2717,Jesse Deloach missed Two Point Tip Shot.,7,22
11:52,269,Sam Hauser Block.,7,22
11:50,2717,Haboubacar Mutombo Offensive Rebound.,7,22
11:47,2717,Haboubacar Mutombo made Two Point Tip Shot.,9,22
11:30,269,Markus Howard made Three Point Jumper. Assisted by Jajuan Johnson.,9,25
11:02,2717,Onno Steger Turnover.,9,25
11:01,269,Haanif Cheatham Steal.,9,25
10:53,269,Markus Howard made Three Point Jumper.,9,28
10:23,2717,Onno Steger missed Three Point Jumper.,9,28
10:23,269,Luke Fischer Defensive Rebound.,9,28
10:17,269,Luke Fischer made Jumper. Assisted by Markus Howard.,9,30
10:04,2717,Western Carolina  Timeout,9,30
9:38,2717,Haboubacar Mutombo missed Three Point Jumper.,9,30
9:38,269,Luke Fischer Defensive Rebound.,9,30
9:27,269,Markus Howard missed Three Point Jumper.,9,30
9:27,2717,Devin Peterson Defensive Rebound.,9,30
9:19,2717,Devin Peterson made Jumper.,11,30
9:05,269,Luke Fischer made Jumper. Assisted by Haanif Cheatham.,11,32
8:53,2717,Devin Peterson missed Jumper.,11,32
8:53,269,Haanif Cheatham Defensive Rebound.,11,32
8:39,269,Markus Howard made Three Point Jumper. Assisted by Luke Fischer.,11,35
8:16,269,Foul on Sam Hauser.,11,35
8:16,2717,Jesse Deloach missed Free Throw.,11,35
8:16,2717,Western Carolina Deadball Team Rebound.,11,35
8:16,2717,Jesse Deloach made Free Throw.,12,35
7:58,269,Andrew Rowsey Turnover.,12,35
7:56,2717,Devonte Fuller Steal.,12,35
7:43,2717,Devonte Fuller missed Jumper.,12,35
7:43,269,Haanif Cheatham Defensive Rebound.,12,35
7:41,269,Official TV Timeout,12,35
7:22,269,Haanif Cheatham missed Jumper.,12,35
7:22,2717,Marc Gosselin Defensive Rebound.,12,35
6:52,2717,Devin Peterson missed Three Point Jumper.,12,35
6:52,269,Duane Wilson Defensive Rebound.,12,35
6:39,269,Duane Wilson missed Jumper.,12,35
6:39,2717,Charlendez Brooks Defensive Rebound.,12,35
6:37,2717,Foul on Onno Steger.,12,35
6:37,2717,Onno Steger Turnover.,12,35
6:25,269,Luke Fischer made Layup. Assisted by Andrew Rowsey.,12,37
5:59,2717,Devin Peterson Turnover.,12,37
5:58,269,Sam Hauser Steal.,12,37
5:49,269,Jajuan Johnson Turnover.,12,37
5:48,2717,Marc Gosselin Steal.,12,37
5:41,2717,Devin Peterson Turnover.,12,37
5:40,269,Jajuan Johnson Steal.,12,37
5:38,2717,Foul on Charlendez Brooks.,12,37
5:38,269,Duane Wilson made Free Throw.,12,38
5:38,269,Duane Wilson missed Free Throw.,12,38
5:38,2717,Marc Gosselin Defensive Rebound.,12,38
5:24,2717,Devin Peterson missed Jumper.,12,38
5:24,269,Luke Fischer Block.,12,38
5:24,2717,Western Carolina Deadball Team Rebound.,12,38
5:24,269,Foul on Luke Fischer.,12,38
5:24,2717,Devin Peterson missed Free Throw.,12,38
5:24,2717,Western Carolina Deadball Team Rebound.,12,38
5:24,2717,Devin Peterson made Free Throw.,13,38
5:11,269,Sam Hauser made Three Point Jumper. Assisted by Jajuan Johnson.,13,41
4:55,2717,Elijah Pughsley made Three Point Jumper. Assisted by Devin Peterson.,16,41
4:37,269,Jajuan Johnson Turnover.,16,41
4:09,2717,Marc Gosselin Turnover.,16,41
4:08,269,Markus Howard Steal.,16,41
4:00,269,Jajuan Johnson missed Three Point Jumper.,16,41
4:00,2717,Haboubacar Mutombo Defensive Rebound.,16,41
3:46,269,Official TV Timeout,16,41
3:30,2717,Elijah Pughsley missed Three Point Jumper.,16,41
3:30,2717,Western Carolina Deadball Team Rebound.,16,41
3:29,269,Foul on Matt Heldt.,16,41
3:29,269,Foul on Duane Wilson.,16,41
3:29,2717,Elijah Pughsley missed Free Throw.,16,41
3:29,269,Jajuan Johnson Defensive Rebound.,16,41
3:19,269,Duane Wilson made Three Point Jumper. Assisted by Jajuan Johnson.,16,44
3:02,2717,Devin Peterson missed Three Point Jumper.,16,44
3:02,2717,Western Carolina Offensive Rebound.,16,44
2:48,2717,Devin Peterson made Jumper. Assisted by Elijah Pughsley.,18,44
2:25,269,Jajuan Johnson made Jumper.,18,46
2:09,2717,Elijah Pughsley missed Jumper.,18,46
2:09,269,Haanif Cheatham Defensive Rebound.,18,46
1:58,269,Markus Howard made Three Point Jumper. Assisted by Haanif Cheatham.,18,49
1:37,2717,Elijah Pughsley Turnover.,18,49
1:36,269,Markus Howard Steal.,18,49
1:34,269,Markus Howard made Layup.,18,51
1:08,269,Foul on Haanif Cheatham.,18,51
1:08,2717,Haboubacar Mutombo missed Free Throw.,18,51
1:08,269,Sam Hauser Defensive Rebound.,18,51
1:01,269,Luke Fischer made Layup. Assisted by Traci Carter.,18,53
0:34,2717,Jesse Deloach missed Jumper.,18,53
0:34,269,Sam Hauser Defensive Rebound.,18,53
0:05,269,Haanif Cheatham made Three Point Jumper. Assisted by Traci Carter.,18,56
0:00,269,End of 1st half,18,56
19:50,269,Jajuan Johnson Turnover.,18,56
19:32,2717,Charlendez Brooks missed Jumper.,18,56
19:32,269,Luke Fischer Block.,18,56
19:31,269,Luke Fischer Defensive Rebound.,18,56
19:30,2717,Foul on Elijah Pughsley.,18,56
19:12,269,Jajuan Johnson made Three Point Jumper. Assisted by Markus Howard.,18,59
18:52,2717,Devin Peterson missed Jumper.,18,59
18:52,269,Sam Hauser Defensive Rebound.,18,59
18:42,269,Markus Howard Turnover.,18,59
18:28,269,Foul on Luke Fischer.,18,59
18:28,2717,Haboubacar Mutombo made Free Throw.,19,59
18:28,2717,Haboubacar Mutombo made Free Throw.,20,59
18:10,2717,Foul on Charlendez Brooks.,20,59
18:10,269,Luke Fischer made Free Throw.,20,60
18:10,269,Luke Fischer made Free Throw.,20,61
17:57,2717,Haboubacar Mutombo Turnover.,20,61
17:48,269,Markus Howard made Jumper. Assisted by Jajuan Johnson.,20,63
17:48,2717,Foul on Elijah Pughsley.,20,63
17:48,269,Markus Howard made Free Throw.,20,64
17:32,2717,Elijah Pughsley Turnover.,20,64
17:31,269,Luke Fischer Steal.,20,64
17:26,269,Markus Howard missed Three Point Jumper.,20,64
17:26,2717,Charlendez Brooks Defensive Rebound.,20,64
17:06,2717,Maurice Smith missed Jumper.,20,64
17:06,2717,Western Carolina Offensive Rebound.,20,64
17:02,2717,Elijah Pughsley missed Three Point Jumper.,20,64
17:02,2717,Charlendez Brooks Offensive Rebound.,20,64
16:47,269,Foul on Luke Fischer.,20,64
16:29,2717,Devin Peterson missed Three Point Jumper.,20,64
16:29,2717,Haboubacar Mutombo Offensive Rebound.,20,64
16:23,2717,Elijah Pughsley made Three Point Jumper. Assisted by Haboubacar Mutombo.,23,64
16:07,269,Jajuan Johnson missed Jumper.,23,64
16:07,2717,Elijah Pughsley Defensive Rebound.,23,64
15:57,2717,Devin Peterson made Three Point Jumper. Assisted by Charlendez Brooks.,26,64
15:40,269,Markus Howard missed Three Point Jumper.,26,64
15:40,2717,Charlendez Brooks Defensive Rebound.,26,64
15:29,2717,Haboubacar Mutombo missed Three Point Jumper.,26,64
15:29,269,Haanif Cheatham Defensive Rebound.,26,64
15:06,269,Jajuan Johnson missed Three Point Jumper.,26,64
15:06,269,Matt Heldt Offensive Rebound.,26,64
15:04,269,Matt Heldt made Two Point Tip Shot.,26,66
14:35,2717,Elijah Pughsley missed Jumper.,26,66
14:35,269,Marquette Defensive Rebound.,26,66
14:34,269,Official TV Timeout,26,66
14:19,2717,Foul on Elijah Pughsley.,26,66
14:19,269,Foul on Matt Heldt.,26,66
14:19,269,Matt Heldt Turnover.,26,66
14:04,269,Foul on Andrew Rowsey.,26,66
14:04,2717,Elijah Pughsley missed Free Throw.,26,66
14:04,2717,Western Carolina Deadball Team Rebound.,26,66
14:04,2717,Elijah Pughsley made Free Throw.,27,66
13:44,269,Duane Wilson missed Three Point Jumper.,27,66
13:44,2717,Haboubacar Mutombo Defensive Rebound.,27,66
13:33,2717,Devin Peterson Turnover.,27,66
13:04,269,Andrew Rowsey missed Three Point Jumper.,27,66
13:04,269,Marquette Offensive Rebound.,27,66
12:48,269,Matt Heldt missed Jumper.,27,66
12:48,2717,Adam Sledd Defensive Rebound.,27,66
12:17,2717,Haboubacar Mutombo missed Jumper.,27,66
12:17,269,Sam Hauser Defensive Rebound.,27,66
12:11,269,Andrew Rowsey made Jumper.,27,68
11:51,2717,Elijah Pughsley missed Three Point Jumper.,27,68
11:51,2717,Haboubacar Mutombo Offensive Rebound.,27,68
11:49,2717,Haboubacar Mutombo made Two Point Tip Shot.,29,68
11:38,269,Sam Hauser missed Three Point Jumper.,29,68
11:38,2717,Elijah Pughsley Defensive Rebound.,29,68
11:17,2717,Haboubacar Mutombo made Jumper.,31,68
11:03,269,Andrew Rowsey made Three Point Jumper.,31,71
10:51,2717,Elijah Pughsley Turnover.,31,71
10:50,269,Sam Hauser Steal.,31,71
10:48,2717,Foul on Adam Sledd.,31,71
10:48,269,Official TV Timeout,31,71
10:48,269,Traci Carter missed Free Throw.,31,71
10:48,269,Marquette Deadball Team Rebound.,31,71
10:48,269,Traci Carter missed Free Throw.,31,71
10:48,2717,Onno Steger Defensive Rebound.,31,71
10:16,2717,Jason McMillan missed Three Point Jumper.,31,71
10:16,269,Traci Carter Defensive Rebound.,31,71
9:53,269,Haanif Cheatham missed Three Point Jumper.,31,71
9:53,2717,Jason McMillan Defensive Rebound.,31,71
9:40,2717,Onno Steger made Three Point Jumper. Assisted by Jesse Deloach.,34,71
9:25,269,Andrew Rowsey missed Three Point Jumper.,34,71
9:25,2717,Maurice Smith Defensive Rebound.,34,71
9:03,2717,Onno Steger missed Jumper.,34,71
9:03,269,Matt Heldt Defensive Rebound.,34,71
8:50,269,Andrew Rowsey made Three Point Jumper. Assisted by Traci Carter.,34,74
8:15,2717,Onno Steger missed Three Point Jumper.,34,74
8:15,269,Traci Carter Defensive Rebound.,34,74
8:05,269,Matt Heldt made Jumper. Assisted by Traci Carter.,34,76
7:54,2717,Jason McMillan Turnover.,34,76
7:53,269,Traci Carter Steal.,34,76
7:52,269,Traci Carter made Layup.,34,78
7:51,2717,Foul on Jason McMillan.,34,78
7:51,269,Official TV Timeout,34,78
7:51,269,Traci Carter made Free Throw.,34,79
7:30,2717,Devin Peterson missed Three Point Jumper.,34,79
7:30,269,Traci Carter Defensive Rebound.,34,79
7:13,269,Markus Howard missed Three Point Jumper.,34,79
7:13,269,Andrew Rowsey Offensive Rebound.,34,79
7:08,269,Marquette  Timeout,34,79
6:59,269,Andrew Rowsey made Three Point Jumper.,34,82
6:36,2717,Haboubacar Mutombo made Three Point Jumper. Assisted by Elijah Pughsley.,37,82
6:21,269,Andrew Rowsey missed Three Point Jumper.,37,82
6:21,2717,Adam Sledd Defensive Rebound.,37,82
6:10,2717,Adam Sledd missed Jumper.,37,82
6:10,269,Matt Heldt Defensive Rebound.,37,82
5:58,269,Andrew Rowsey made Layup. Assisted by Markus Howard.,37,84
5:58,2717,Foul on Charlendez Brooks.,37,84
5:58,269,Andrew Rowsey made Free Throw.,37,85
5:28,2717,Elijah Pughsley missed Jumper.,37,85
5:28,269,Traci Carter Defensive Rebound.,37,85
5:23,269,Markus Howard missed Three Point Jumper.,37,85
5:23,269,Marquette Deadball Team Rebound.,37,85
5:23,2717,Foul on Marc Gosselin.,37,85
5:23,269,Matt Heldt missed Free Throw.,37,85
5:23,2717,Charlendez Brooks Defensive Rebound.,37,85
5:02,269,Foul on Duane Wilson.,37,85
4:52,2717,Elijah Pughsley made Jumper.,39,85
4:33,269,Markus Howard missed Jumper.,39,85
4:33,269,Markus Howard Offensive Rebound.,39,85
4:30,269,Markus Howard missed Two Point Tip Shot.,39,85
4:30,2717,Charlendez Brooks Defensive Rebound.,39,85
4:13,2717,Elijah Pughsley missed Three Point Jumper.,39,85
4:13,269,Matt Heldt Defensive Rebound.,39,85
4:05,269,Andrew Rowsey Turnover.,39,85
4:04,2717,Devin Peterson Steal.,39,85
4:01,269,Foul on Markus Howard.,39,85
4:01,2717,Marc Gosselin missed Free Throw.,39,85
4:01,2717,Western Carolina Deadball Team Rebound.,39,85
4:01,2717,Marc Gosselin made Free Throw.,40,85
3:50,269,Traci Carter Turnover.,40,85
3:50,269,Official TV Timeout,40,85
3:37,2717,Charlendez Brooks made Jumper. Assisted by Elijah Pughsley.,42,85
3:05,269,Traci Carter missed Jumper.,42,85
3:05,2717,Western Carolina Defensive Rebound.,42,85
2:47,2717,Elijah Pughsley missed Three Point Jumper.,42,85
2:47,269,Deon Franklin Defensive Rebound.,42,85
2:36,269,Cam Marotta Turnover.,42,85
2:27,2717,Devin Peterson missed Jumper.,42,85
2:27,269,Andrew Rowsey Defensive Rebound.,42,85
2:01,269,Cam Marotta missed Jumper.,42,85
2:01,269,Matt Heldt Offensive Rebound.,42,85
1:49,269,Andrew Rowsey made Three Point Jumper. Assisted by Cam Marotta.,42,88
1:18,2717,Charlendez Brooks Turnover.,42,88
1:17,269,Deon Franklin Steal.,42,88
0:53,269,Matt Heldt missed Jumper.,42,88
0:53,2717,Haboubacar Mutombo Defensive Rebound.,42,88
0:32,2717,Elijah Pughsley missed Three Point Jumper.,42,88
0:32,269,Marquette Deadball Team Rebound.,42,88
0:30,2717,Foul on Haboubacar Mutombo.,42,88
0:30,269,Andrew Rowsey made Free Throw.,42,89
0:30,269,Andrew Rowsey made Free Throw.,42,90
0:16,269,Foul on Andrew Rowsey.,42,90
0:16,2717,Haboubacar Mutombo made Free Throw.,43,90
0:16,2717,Haboubacar Mutombo made Free Throw.,44,90
0:00,269,End of Game,44,90
