Fairleigh Dickinson,349,Army,161
5:11,349,Kennedy Edwards missed Three Point Jumper.,28,36
5:11,349,John Emezie Offensive Rebound.,28,36
4:56,349,Kennedy Edwards made Layup. Assisted by John Emezie.,28,38
4:43,161,Stephan Jiggetts missed Three Point Jumper.,28,38
4:43,349,Mac Hoffman Defensive Rebound.,28,38
4:36,349,Thomas Funk missed Layup.,28,38
4:36,161,Darian Anderson Defensive Rebound.,28,38
4:30,349,Foul on Kennedy Edwards.,28,38
4:17,161,Stephan Jiggetts made Layup.,30,38
4:15,161,Fairleigh Dickinson  Timeout,30,38
4:09,349,John Emezie made Three Point Jumper. Assisted by Adam Roe.,30,41
3:52,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,33,41
3:24,161,Foul on Stephan Jiggetts.,33,41
3:24,349,Matthew Wilson missed Free Throw.,33,41
3:24,161,Darian Anderson Defensive Rebound.,33,41
3:14,161,Malik Miller missed Three Point Jumper.,33,41
3:14,349,Adam Roe Defensive Rebound.,33,41
3:01,161,Foul on Malik Miller.,33,41
3:01,349,Matthew Wilson made Free Throw.,33,42
3:01,349,Matthew Wilson missed Free Throw.,33,42
3:01,161,Mike Holloway Defensive Rebound.,33,42
2:45,161,Stephan Jiggetts missed Three Point Jumper.,33,42
2:45,349,Kennedy Edwards Defensive Rebound.,33,42
2:30,349,Matthew Wilson Turnover.,33,42
2:28,161,Tyrone O'Garro Steal.,33,42
2:13,161,Darnell Edge missed Jumper.,33,42
2:13,349,Mac Hoffman Defensive Rebound.,33,42
1:59,349,John Emezie Turnover.,33,42
1:58,161,Darian Anderson Steal.,33,42
1:54,161,Mike Holloway made Layup. Assisted by Stephan Jiggetts.,35,42
1:45,349,Kennedy Edwards missed Three Point Jumper.,35,42
1:45,349,Kennedy Edwards Offensive Rebound.,35,42
1:37,349,Jordan Fox missed Three Point Jumper.,35,42
1:37,161,Darian Anderson Defensive Rebound.,35,42
1:27,161,Tyrone O'Garro Turnover.,35,42
1:26,349,John Emezie Steal.,35,42
1:22,349,John Emezie made Dunk.,35,44
1:20,349,Army  Timeout,35,44
1:12,161,Stephan Jiggetts made Layup.,37,44
1:12,349,Foul on Jacob Kessler.,37,44
1:12,161,Stephan Jiggetts made Free Throw.,38,44
0:57,349,Thomas Funk Turnover.,38,44
0:45,161,Darian Anderson missed Three Point Jumper.,38,44
0:45,349,Thomas Funk Defensive Rebound.,38,44
0:39,349,Jacob Kessler made Three Point Jumper. Assisted by Thomas Funk.,38,47
0:21,161,Stephan Jiggetts missed Jumper.,38,47
0:21,349,Kennedy Edwards Defensive Rebound.,38,47
0:14,349,Jordan Fox missed Jumper.,38,47
0:14,161,Malik Miller Defensive Rebound.,38,47
0:06,161,Darian Anderson Turnover.,38,47
0:04,349,Jordan Fox Steal.,38,47
0:02,349,Jordan Fox made Layup.,38,49
0:00,349,End of 1st half,38,49
19:39,349,Jacob Kessler made Three Point Jumper. Assisted by Jordan Fox.,38,52
19:13,349,Foul on Mac Hoffman.,38,52
19:13,161,Mike Holloway missed Free Throw.,38,52
19:13,161,Fairleigh Dickinson Deadball Team Rebound.,38,52
19:13,161,Mike Holloway made Free Throw.,39,52
18:57,161,Foul on Mike Holloway.,39,52
18:47,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,39,55
18:28,161,Darnell Edge missed Three Point Jumper.,39,55
18:28,349,Mac Hoffman Defensive Rebound.,39,55
18:05,161,Foul on Tyrone O'Garro.,39,55
18:05,349,John Emezie made Free Throw.,39,56
18:05,349,John Emezie made Free Throw.,39,57
17:50,161,Darnell Edge missed Layup.,39,57
17:50,161,Mike Holloway Offensive Rebound.,39,57
17:48,161,Darnell Edge made Layup. Assisted by Mike Holloway.,41,57
17:30,349,John Emezie missed Layup.,41,57
17:30,161,Mike Holloway Defensive Rebound.,41,57
17:20,161,Darian Anderson Turnover.,41,57
16:57,349,Luke Morrison Turnover.,41,57
16:57,161,Nadi Beciri Steal.,41,57
16:49,161,Tyrone O'Garro made Layup. Assisted by Stephan Jiggetts.,43,57
16:49,349,Foul on Matthew Wilson.,43,57
16:49,161,Tyrone O'Garro made Free Throw.,44,57
16:25,349,Luke Morrison made Layup.,44,59
16:07,161,Nadi Beciri made Layup. Assisted by Stephan Jiggetts.,46,59
15:52,349,Matthew Wilson made Layup.,46,61
15:34,161,Darian Anderson Turnover.,46,61
15:33,349,Scott Mammel Steal.,46,61
15:30,349,Adam Roe missed Layup.,46,61
15:30,349,Adam Roe Offensive Rebound.,46,61
15:17,349,Luke Morrison missed Three Point Jumper.,46,61
15:17,161,Darian Anderson Defensive Rebound.,46,61
15:06,161,Nadi Beciri missed Three Point Jumper.,46,61
15:06,349,Matthew Wilson Defensive Rebound.,46,61
14:58,349,Matthew Wilson Turnover.,46,61
14:57,161,Darnell Edge Steal.,46,61
14:55,161,Darnell Edge made Layup.,48,61
14:37,349,Luke Morrison made Three Point Jumper. Assisted by Scott Mammel.,48,64
14:19,161,Tyrone O'Garro missed Layup.,48,64
14:19,349,Luke Morrison Defensive Rebound.,48,64
14:11,349,Luke Morrison missed Three Point Jumper.,48,64
14:11,349,Matthew Wilson Offensive Rebound.,48,64
14:08,349,Matthew Wilson made Layup.,48,66
14:05,349,Army  Timeout,48,66
13:55,161,Stephan Jiggetts missed Jumper.,48,66
13:55,349,Mac Hoffman Block.,48,66
13:50,349,Thomas Funk Defensive Rebound.,48,66
13:43,349,Kennedy Edwards made Layup.,48,68
13:24,349,Foul on Mac Hoffman.,48,68
13:24,349,Official TV Timeout,48,68
13:24,161,Darian Anderson made Free Throw.,49,68
13:24,161,Darian Anderson made Free Throw.,50,68
13:00,349,Kennedy Edwards made Layup. Assisted by Jordan Fox.,50,70
12:41,161,Darnell Edge made Three Point Jumper.,53,70
12:33,349,Mac Hoffman made Layup. Assisted by Jacob Kessler.,53,72
12:11,161,Darian Anderson made Three Point Jumper.,56,72
11:54,349,Jordan Fox missed Jumper.,56,72
11:54,161,Malik Miller Defensive Rebound.,56,72
11:34,161,Darian Anderson missed Three Point Jumper.,56,72
11:34,349,Mac Hoffman Defensive Rebound.,56,72
11:25,161,Foul on Stephan Jiggetts.,56,72
11:25,349,Official TV Timeout,56,72
11:09,349,Matthew Wilson missed Layup.,56,72
11:09,161,Malik Miller Block.,56,72
11:07,161,Malik Miller Defensive Rebound.,56,72
11:02,349,Foul on Jordan Fox.,56,72
10:52,161,Darnell Edge missed Three Point Jumper.,56,72
10:52,161,Malik Miller Offensive Rebound.,56,72
10:48,161,Malik Miller made Jumper.,58,72
10:48,349,Foul on Matthew Wilson.,58,72
10:48,161,Malik Miller missed Free Throw.,58,72
10:48,349,Luke Morrison Defensive Rebound.,58,72
10:20,349,Luke Morrison missed Three Point Jumper.,58,72
10:20,161,Darnell Edge Defensive Rebound.,58,72
9:53,349,Foul on Jordan Fox.,58,72
9:53,161,Stephan Jiggetts made Free Throw.,59,72
9:53,161,Stephan Jiggetts missed Free Throw.,59,72
9:53,349,Mac Hoffman Defensive Rebound.,59,72
9:34,349,Thomas Funk made Layup.,59,74
9:19,161,Kaleb Bishop made Three Point Jumper. Assisted by Stephan Jiggetts.,62,74
9:03,161,Foul on Kaleb Bishop.,62,74
9:02,161,Foul on Malik Miller.,62,74
9:02,349,Mac Hoffman made Free Throw.,62,75
9:02,349,Mac Hoffman made Free Throw.,62,76
8:49,161,Kaleb Bishop made Layup. Assisted by Darnell Edge.,64,76
8:33,349,Jordan Fox made Three Point Jumper. Assisted by Mac Hoffman.,64,79
8:15,161,Kaleb Bishop Turnover.,64,79
8:02,349,John Emezie missed Jumper.,64,79
8:02,161,Mike Holloway Defensive Rebound.,64,79
7:57,161,Darnell Edge made Layup. Assisted by Darian Anderson.,66,79
7:41,349,Jacob Kessler made Layup. Assisted by John Emezie.,66,81
7:22,161,Mike Holloway missed Layup.,66,81
7:22,349,Mac Hoffman Defensive Rebound.,66,81
7:16,349,Jordan Fox made Layup.,66,83
7:03,161,Fairleigh Dickinson  Timeout,66,83
6:57,161,Darian Anderson made Jumper.,68,83
6:30,349,Scott Mammel made Three Point Jumper. Assisted by Thomas Funk.,68,86
5:59,161,Darian Anderson missed Jumper.,68,86
5:59,349,Army Defensive Rebound.,68,86
5:29,349,Matthew Wilson made Layup.,68,88
5:28,161,Foul on Tyrone O'Garro.,68,88
5:28,349,Matthew Wilson missed Free Throw.,68,88
5:28,161,Darian Anderson Defensive Rebound.,68,88
5:11,161,Darian Anderson made Layup.,70,88
4:43,349,Thomas Funk missed Three Point Jumper.,70,88
4:43,161,Mike Holloway Defensive Rebound.,70,88
4:35,349,Foul on Thomas Funk.,70,88
4:35,161,Stephan Jiggetts made Free Throw.,71,88
4:35,161,Stephan Jiggetts made Free Throw.,72,88
4:19,349,Foul on Mac Hoffman.,72,88
4:19,349,Mac Hoffman Turnover.,72,88
4:07,161,Darian Anderson missed Jumper.,72,88
4:07,349,John Emezie Defensive Rebound.,72,88
3:37,349,Thomas Funk missed Jumper.,72,88
3:37,161,Tyrone O'Garro Defensive Rebound.,72,88
3:29,161,Darnell Edge missed Jumper.,72,88
3:29,161,Tyrone O'Garro Offensive Rebound.,72,88
3:24,349,Foul on Matthew Wilson.,72,88
3:24,349,Official TV Timeout,72,88
3:24,161,Tyrone O'Garro made Free Throw.,73,88
3:24,161,Tyrone O'Garro missed Free Throw.,73,88
3:24,349,Jordan Fox Defensive Rebound.,73,88
3:17,349,Matthew Wilson made Layup. Assisted by Jordan Fox.,73,90
3:04,161,Stephan Jiggetts made Jumper.,75,90
2:42,349,Jordan Fox made Jumper.,75,92
2:20,161,Kaleb Bishop missed Three Point Jumper.,75,92
2:20,349,Jordan Fox Defensive Rebound.,75,92
1:50,349,Thomas Funk missed Layup.,75,92
1:50,161,Tyrone O'Garro Block.,75,92
1:49,349,Army Offensive Rebound.,75,92
1:47,349,Jordan Fox made Layup. Assisted by Thomas Funk.,75,94
1:33,161,Darian Anderson missed Three Point Jumper.,75,94
1:33,161,Mike Holloway Offensive Rebound.,75,94
1:30,161,Mike Holloway made Layup.,77,94
0:59,349,Scott Mammel made Three Point Jumper. Assisted by Thomas Funk.,77,97
0:53,161,Fairleigh Dickinson  Timeout,77,97
0:36,161,Tyrone O'Garro Turnover.,77,97
0:09,349,John Emezie Turnover.,77,97
0:08,161,Dondre Rhoden Steal.,77,97
0:04,349,Foul on Adam Roe.,77,97
0:04,161,Mike Schroback missed Free Throw.,77,97
0:04,161,Fairleigh Dickinson Deadball Team Rebound.,77,97
0:04,161,Mike Schroback made Free Throw.,78,97
0:00,349,End of Game,78,97
