Maryland-Eastern Shore,2545,SE Louisiana,2379
14:26,2545,Jabbar Singleton made Three Point Jumper. Assisted by Davon Hayes.,13,6
14:12,2379,Bakari Copeland missed Jumper.,13,6
14:12,2545,Dominic Nelson Block.,13,6
14:10,2545,Dominic Nelson Defensive Rebound.,13,6
14:07,2545,Dominic Nelson Turnover.,13,6
14:07,2545,Foul on Dominic Nelson.,13,6
13:48,2379,Thomas Rivera made Jumper.,15,6
13:37,2545,Jabbar Singleton made Three Point Jumper. Assisted by Marlain Veal.,15,9
13:22,2545,Foul on Eddy Polanco.,15,9
13:11,2379,Thomas Rivera missed Jumper.,15,9
13:11,2545,Dominic Nelson Defensive Rebound.,15,9
12:44,2545,Moses Greenwood Turnover.,15,9
12:44,2545,Foul on Moses Greenwood.,15,9
12:24,2379,Michael Chambers Turnover.,15,9
12:24,2379,Foul on Michael Chambers.,15,9
12:03,2545,Eddy Polanco made Three Point Jumper. Assisted by Dimi Cook.,15,12
11:44,2379,Michael Chambers made Layup.,17,12
11:27,2545,Dimi Cook missed Jumper.,17,12
11:27,2545,Davon Hayes Offensive Rebound.,17,12
11:17,2545,Official TV Timeout,17,12
11:16,2545,Eddy Polanco missed Three Point Jumper.,17,12
11:16,2545,Jabbar Singleton Offensive Rebound.,17,12
11:06,2379,Foul on Tyler Jones.,17,12
11:06,2545,Davon Hayes made Free Throw.,17,13
11:06,2545,Davon Hayes made Free Throw.,17,14
10:57,2379,Derrico Peck Turnover.,17,14
10:57,2379,Foul on Derrico Peck.,17,14
10:42,2545,Davon Hayes missed Three Point Jumper.,17,14
10:42,2545,Eddy Polanco Offensive Rebound.,17,14
10:36,2379,Foul on Michael Chambers.,17,14
10:36,2545,Eddy Polanco made Free Throw.,17,15
10:36,2545,Eddy Polanco made Free Throw.,17,16
10:33,2379,Thomas Rivera Turnover.,17,16
10:33,2545,Jabbar Singleton Steal.,17,16
10:33,2379,Foul on Ryan Andino.,17,16
10:33,2545,Dimi Cook made Free Throw.,17,17
10:33,2545,Dimi Cook missed Free Throw.,17,17
10:33,2379,Logan McIntosh Defensive Rebound.,17,17
10:25,2545,Foul on Davon Hayes.,17,17
9:52,2545,Foul on Davon Hayes.,17,17
9:52,2379,Bakari Copeland made Free Throw.,18,17
9:52,2379,Bakari Copeland made Free Throw.,19,17
9:44,2545,Moses Greenwood Turnover.,19,17
9:42,2379,Logan McIntosh Turnover.,19,17
9:21,2545,Dimi Cook made Three Point Jumper. Assisted by Eddy Polanco.,19,20
9:01,2379,Bakari Copeland made Jumper.,21,20
8:50,2545,Marlain Veal missed Three Point Jumper.,21,20
8:50,2379,Dontae Caldwell Defensive Rebound.,21,20
8:32,2379,Bakari Copeland Turnover.,21,20
8:20,2545,Dimi Cook missed Three Point Jumper.,21,20
8:20,2379,Dontae Caldwell Defensive Rebound.,21,20
8:01,2379,Deven Dorsett made Jumper. Assisted by Dontae Caldwell.,23,20
7:43,2545,Marlain Veal missed Layup.,23,20
7:43,2379,Randell Pickett Defensive Rebound.,23,20
7:34,2379,Randell Pickett missed Three Point Jumper.,23,20
7:34,2545,Moses Greenwood Defensive Rebound.,23,20
7:07,2545,Marlain Veal Turnover.,23,20
7:02,2379,Deven Dorsett Turnover.,23,20
7:01,2545,Eddy Polanco Steal.,23,20
6:59,2379,Foul on Deven Dorsett.,23,20
6:59,2545,Official TV Timeout,23,20
6:59,2545,Eddy Polanco made Free Throw.,23,21
6:59,2545,Eddy Polanco made Free Throw.,23,22
6:46,2545,Foul on Moses Greenwood.,23,22
6:46,2379,Bakari Copeland made Free Throw.,24,22
6:46,2379,Bakari Copeland made Free Throw.,25,22
6:35,2545,Chris Mejia missed Three Point Jumper.,25,22
6:35,2379,Derrico Peck Defensive Rebound.,25,22
6:24,2379,Bakari Copeland missed Layup.,25,22
6:24,2545,Moses Greenwood Defensive Rebound.,25,22
6:13,2545,Eddy Polanco made Three Point Jumper. Assisted by Marlain Veal.,25,25
5:47,2379,Logan McIntosh Turnover.,25,25
5:47,2545,Marlain Veal Steal.,25,25
5:44,2545,Marlain Veal made Layup.,25,27
5:22,2545,Foul on Moses Greenwood.,25,27
5:22,2379,Randell Pickett made Free Throw.,26,27
5:22,2379,Randell Pickett missed Free Throw.,26,27
5:22,2545,Davon Hayes Defensive Rebound.,26,27
5:02,2379,Foul on Isaac Taylor.,26,27
5:02,2545,Eddy Polanco made Free Throw.,26,28
5:02,2545,Eddy Polanco made Free Throw.,26,29
4:51,2379,Tyler Jones Turnover.,26,29
4:51,2379,Foul on Tyler Jones.,26,29
4:38,2545,Marlain Veal missed Layup.,26,29
4:38,2379,Randell Pickett Defensive Rebound.,26,29
4:20,2379,Dontae Caldwell Turnover.,26,29
4:20,2379,Foul on Dontae Caldwell.,26,29
4:06,2545,Eddy Polanco made Three Point Jumper. Assisted by Michael Corchiani.,26,32
3:48,2379,Logan McIntosh missed Jumper.,26,32
3:48,2379,Logan McIntosh Offensive Rebound.,26,32
3:40,2545,Foul on Dominic Nelson.,26,32
3:40,2545,Official TV Timeout,26,32
3:40,2379,Logan McIntosh missed Free Throw.,26,32
3:40,2379,Maryland-Eastern Shore Deadball Team Rebound.,26,32
3:40,2379,Logan McIntosh made Free Throw.,27,32
3:17,2545,Davon Hayes made Three Point Jumper. Assisted by Marlain Veal.,27,35
3:02,2379,Logan McIntosh Turnover.,27,35
3:01,2545,Marlain Veal Steal.,27,35
2:58,2545,Marlain Veal missed Layup.,27,35
2:58,2379,Derrico Peck Block.,27,35
2:56,2379,Logan McIntosh Defensive Rebound.,27,35
2:41,2379,Derrico Peck missed Jumper.,27,35
2:41,2545,Eddy Polanco Defensive Rebound.,27,35
2:31,2545,Eddy Polanco made Three Point Jumper. Assisted by Davon Hayes.,27,38
2:20,2379,Maryland-Eastern Shore  Timeout,27,38
2:06,2379,Tyler Jones missed Layup.,27,38
2:06,2545,Eddy Polanco Block.,27,38
2:05,2545,Eddy Polanco Defensive Rebound.,27,38
1:53,2379,Foul on Marc Seylan.,27,38
1:53,2545,Davon Hayes made Free Throw.,27,39
1:53,2545,Davon Hayes made Free Throw.,27,40
1:39,2379,Michael Chambers missed Three Point Jumper.,27,40
1:39,2545,Dominic Nelson Defensive Rebound.,27,40
1:16,2379,Foul on Thomas Rivera.,27,40
1:16,2545,Michael Corchiani made Free Throw.,27,41
1:16,2545,Michael Corchiani made Free Throw.,27,42
0:52,2379,Michael Chambers missed Three Point Jumper.,27,42
0:52,2545,Eddy Polanco Defensive Rebound.,27,42
0:28,2545,Michael Corchiani made Three Point Jumper. Assisted by George Brock.,27,45
0:03,2545,Foul on Marlain Veal.,27,45
0:03,2379,Bakari Copeland made Free Throw.,28,45
0:03,2379,Bakari Copeland made Free Throw.,29,45
0:03,2379,Ryan Andino missed Three Point Jumper.,29,45
0:03,2545,SE Louisiana Defensive Rebound.,29,45
0:00,2545,End of 1st half,29,45
19:58,2379,Bakari Copeland Turnover.,29,45
19:52,2545,Jabbar Singleton Turnover.,29,45
19:49,2379,Bakari Copeland made Layup.,31,45
19:37,2545,Davon Hayes missed Jumper.,31,45
19:37,2379,Bakari Copeland Defensive Rebound.,31,45
19:31,2379,Ryan Andino made Three Point Jumper.,34,45
18:57,2545,SE Louisiana  Timeout,34,45
18:42,2379,Foul on Ryan Andino.,34,45
18:42,2545,Davon Hayes made Free Throw.,34,46
18:22,2379,Ryan Andino missed Jumper.,34,46
18:22,2545,Eddy Polanco Defensive Rebound.,34,46
18:14,2545,Marlain Veal Turnover.,34,46
18:02,2379,Dontae Caldwell missed Three Point Jumper.,34,46
18:02,2545,Dominic Nelson Defensive Rebound.,34,46
17:30,2545,Eddy Polanco missed Three Point Jumper.,34,46
17:30,2379,Logan McIntosh Defensive Rebound.,34,46
17:12,2379,Isaac Taylor missed Jumper.,34,46
17:12,2545,Dominic Nelson Block.,34,46
17:10,2379,Dontae Caldwell Offensive Rebound.,34,46
17:07,2379,Logan McIntosh missed Three Point Jumper.,34,46
17:07,2545,Dominic Nelson Defensive Rebound.,34,46
17:03,2379,Foul on Dontae Caldwell.,34,46
16:40,2379,Foul on Isaac Taylor.,34,46
16:40,2379,Foul on Ryan Andino.,34,46
16:37,2545,Davon Hayes missed Jumper.,34,46
16:37,2379,Michael Chambers Defensive Rebound.,34,46
16:16,2545,Foul on Davon Hayes.,34,46
16:16,2379,Dontae Caldwell missed Jumper.,34,46
16:16,2545,Eddy Polanco Defensive Rebound.,34,46
16:08,2545,Eddy Polanco missed Jumper.,34,46
16:08,2545,Dominic Nelson Offensive Rebound.,34,46
16:05,2545,Dominic Nelson made Layup.,34,48
15:52,2379,Dontae Caldwell made Jumper. Assisted by Logan McIntosh.,36,48
15:18,2545,Jabbar Singleton missed Layup.,36,48
15:18,2379,Derrico Peck Block.,36,48
15:17,2379,Derrico Peck Defensive Rebound.,36,48
15:14,2545,Official TV Timeout,36,48
14:49,2379,Thomas Rivera made Three Point Jumper. Assisted by Michael Chambers.,39,48
14:23,2545,Dominic Nelson missed Jumper.,39,48
14:23,2379,Bakari Copeland Defensive Rebound.,39,48
14:16,2379,Michael Chambers made Three Point Jumper. Assisted by Thomas Rivera.,42,48
13:58,2379,Foul on Thomas Rivera.,42,48
13:58,2545,Marlain Veal missed Free Throw.,42,48
13:58,2545,SE Louisiana Deadball Team Rebound.,42,48
13:58,2545,Marlain Veal made Free Throw.,42,49
13:51,2379,Michael Chambers missed Three Point Jumper.,42,49
13:51,2379,Bakari Copeland Offensive Rebound.,42,49
13:33,2379,Bakari Copeland Turnover.,42,49
13:32,2545,Marlain Veal Steal.,42,49
13:29,2545,Marlain Veal made Layup.,42,51
13:20,2545,Foul on Marlain Veal.,42,51
12:54,2379,Logan McIntosh missed Jumper.,42,51
12:54,2379,Michael Chambers Offensive Rebound.,42,51
12:50,2379,Michael Chambers made Jumper.,44,51
12:31,2545,Jabbar Singleton made Three Point Jumper. Assisted by Marlain Veal.,44,54
12:13,2379,Thomas Rivera made Three Point Jumper. Assisted by Logan McIntosh.,47,54
11:58,2545,Jabbar Singleton missed Three Point Jumper.,47,54
11:58,2379,Michael Chambers Defensive Rebound.,47,54
11:45,2379,Michael Chambers Turnover.,47,54
11:44,2545,Official TV Timeout,47,54
11:39,2545,Marlain Veal Turnover.,47,54
11:37,2545,Foul on Moses Greenwood.,47,54
11:34,2545,Foul on Dimi Cook.,47,54
11:34,2379,Michael Chambers made Free Throw.,48,54
11:34,2379,Michael Chambers made Free Throw.,49,54
11:18,2545,Marlain Veal made Layup.,49,56
11:11,2379,Thomas Rivera missed Three Point Jumper.,49,56
11:11,2545,Dimi Cook Defensive Rebound.,49,56
10:35,2379,Foul on Michael Chambers.,49,56
10:35,2545,SE Louisiana  Timeout,49,56
10:05,2545,Marlain Veal made Three Point Jumper.,49,59
9:40,2379,Derrico Peck Turnover.,49,59
9:40,2379,Foul on Derrico Peck.,49,59
9:40,2379,Technical Foul on Maryland-Eastern Shore.,49,59
9:40,2545,Marlain Veal made Free Throw.,49,60
9:40,2545,Marlain Veal missed Free Throw.,49,60
9:40,2545,SE Louisiana Deadball Team Rebound.,49,60
9:31,2545,Davon Hayes missed Three Point Jumper.,49,60
9:31,2545,Dominic Nelson Offensive Rebound.,49,60
9:21,2545,Dominic Nelson Turnover.,49,60
9:20,2379,Dontae Caldwell Steal.,49,60
9:18,2379,Derrico Peck made Layup. Assisted by Thomas Rivera.,51,60
8:54,2379,Foul on Thomas Rivera.,51,60
8:54,2545,Dominic Nelson missed Free Throw.,51,60
8:54,2379,Logan McIntosh Defensive Rebound.,51,60
8:53,2379,Logan McIntosh made Layup.,53,60
8:33,2379,Foul on Logan McIntosh.,53,60
8:33,2545,Dimi Cook made Free Throw.,53,61
8:33,2545,Dimi Cook made Free Throw.,53,62
8:28,2379,Dontae Caldwell missed Three Point Jumper.,53,62
8:28,2545,Marlain Veal Defensive Rebound.,53,62
8:13,2379,Foul on Thomas Rivera.,53,62
8:13,2545,Dominic Nelson missed Free Throw.,53,62
8:13,2545,SE Louisiana Deadball Team Rebound.,53,62
8:13,2545,Dominic Nelson missed Free Throw.,53,62
8:13,2379,Dontae Caldwell Defensive Rebound.,53,62
8:06,2379,Bakari Copeland missed Layup.,53,62
8:06,2545,Davon Hayes Defensive Rebound.,53,62
8:03,2379,Foul on Dontae Caldwell.,53,62
8:03,2545,Davon Hayes missed Free Throw.,53,62
8:03,2545,SE Louisiana Deadball Team Rebound.,53,62
8:03,2545,Davon Hayes made Free Throw.,53,63
7:44,2379,Bakari Copeland missed Jumper.,53,63
7:44,2545,Michael Corchiani Defensive Rebound.,53,63
7:20,2545,Eddy Polanco missed Jumper.,53,63
7:20,2379,Derrico Peck Block.,53,63
7:19,2379,Derrico Peck Defensive Rebound.,53,63
7:09,2379,Logan McIntosh missed Jumper.,53,63
7:09,2379,Bakari Copeland Offensive Rebound.,53,63
6:49,2379,Randell Pickett missed Three Point Jumper.,53,63
6:49,2545,Dimi Cook Defensive Rebound.,53,63
6:20,2379,Foul on Randell Pickett.,53,63
6:20,2545,Official TV Timeout,53,63
6:20,2545,Davon Hayes missed Free Throw.,53,63
6:20,2545,SE Louisiana Deadball Team Rebound.,53,63
6:20,2545,Davon Hayes made Free Throw.,53,64
5:59,2545,Foul on Dimi Cook.,53,64
5:59,2379,Randell Pickett missed Free Throw.,53,64
5:59,2379,Maryland-Eastern Shore Deadball Team Rebound.,53,64
5:59,2379,Randell Pickett made Free Throw.,54,64
5:57,2379,Foul on Logan McIntosh.,54,64
5:57,2545,Michael Corchiani made Free Throw.,54,65
5:57,2545,Michael Corchiani missed Free Throw.,54,65
5:57,2379,Deven Dorsett Defensive Rebound.,54,65
5:49,2379,Bakari Copeland missed Jumper.,54,65
5:49,2545,Eddy Polanco Defensive Rebound.,54,65
5:24,2545,Eddy Polanco made Jumper.,54,67
5:11,2545,Foul on Michael Corchiani.,54,67
5:11,2379,Logan McIntosh made Free Throw.,55,67
5:11,2379,Logan McIntosh made Free Throw.,56,67
5:05,2545,Eddy Polanco Turnover.,56,67
4:56,2379,Ryan Andino made Three Point Jumper. Assisted by Logan McIntosh.,59,67
4:44,2545,Marlain Veal Turnover.,59,67
4:43,2379,Ryan Andino Steal.,59,67
4:41,2379,Ryan Andino missed Layup.,59,67
4:41,2379,Logan McIntosh Offensive Rebound.,59,67
4:36,2379,Logan McIntosh missed Jumper.,59,67
4:36,2545,Eddy Polanco Defensive Rebound.,59,67
4:35,2545,Dominic Nelson made Dunk. Assisted by Eddy Polanco.,59,69
4:11,2379,Logan McIntosh missed Jumper.,59,69
4:11,2545,Dominic Nelson Block.,59,69
4:10,2379,Deven Dorsett Offensive Rebound.,59,69
4:02,2379,Deven Dorsett missed Jumper.,59,69
4:02,2545,Dominic Nelson Defensive Rebound.,59,69
3:56,2545,Marlain Veal made Jumper. Assisted by Davon Hayes.,59,71
3:53,2379,Maryland-Eastern Shore  Timeout,59,71
3:45,2379,Logan McIntosh missed Layup.,59,71
3:45,2545,Dominic Nelson Block.,59,71
3:43,2379,Logan McIntosh Offensive Rebound.,59,71
3:40,2379,Ryan Andino made Layup.,61,71
3:29,2545,Davon Hayes missed Layup.,61,71
3:29,2379,Bakari Copeland Defensive Rebound.,61,71
3:23,2379,Randell Pickett missed Layup.,61,71
3:23,2379,Bakari Copeland Offensive Rebound.,61,71
3:17,2379,Bakari Copeland missed Jumper.,61,71
3:17,2379,Dontae Caldwell Offensive Rebound.,61,71
3:13,2379,Dontae Caldwell made Jumper.,63,71
3:06,2379,Foul on Bakari Copeland.,63,71
3:06,2545,Dimi Cook made Free Throw.,63,72
3:06,2545,Dimi Cook made Free Throw.,63,73
2:53,2379,Bakari Copeland missed Three Point Jumper.,63,73
2:53,2545,Dominic Nelson Defensive Rebound.,63,73
2:36,2379,Foul on Bakari Copeland.,63,73
2:36,2545,Dominic Nelson made Free Throw.,63,74
2:36,2545,Dominic Nelson made Free Throw.,63,75
2:18,2379,Dontae Caldwell made Layup.,65,75
2:18,2545,Foul on Davon Hayes.,65,75
2:18,2379,Dontae Caldwell made Free Throw.,66,75
2:02,2545,Marlain Veal missed Layup.,66,75
2:02,2545,Marlain Veal Offensive Rebound.,66,75
2:00,2545,Marlain Veal missed Jumper.,66,75
2:00,2379,Bakari Copeland Defensive Rebound.,66,75
1:52,2379,Logan McIntosh made Layup.,68,75
1:43,2545,Marlain Veal made Layup.,68,77
1:41,2379,Foul on Derrico Peck.,68,77
1:41,2545,Marlain Veal made Free Throw.,68,78
1:36,2545,Foul on Marlain Veal.,68,78
1:36,2379,Bakari Copeland made Free Throw.,69,78
1:36,2379,Bakari Copeland missed Free Throw.,69,78
1:36,2545,Eddy Polanco Defensive Rebound.,69,78
1:23,2379,Foul on Thomas Rivera.,69,78
1:23,2545,Eddy Polanco made Free Throw.,69,79
1:23,2545,Eddy Polanco missed Free Throw.,69,79
1:23,2379,Dontae Caldwell Defensive Rebound.,69,79
1:19,2379,Randell Pickett missed Three Point Jumper.,69,79
1:19,2379,Dontae Caldwell Offensive Rebound.,69,79
1:15,2379,Dontae Caldwell Turnover.,69,79
1:14,2545,Dimi Cook Steal.,69,79
0:56,2379,Foul on Logan McIntosh.,69,79
0:56,2545,Marlain Veal made Free Throw.,69,80
0:56,2545,Marlain Veal missed Free Throw.,69,80
0:56,2545,Davon Hayes Offensive Rebound.,69,80
0:54,2379,Foul on Dontae Caldwell.,69,80
0:54,2545,Davon Hayes made Free Throw.,69,81
0:54,2545,Davon Hayes made Free Throw.,69,82
0:50,2379,Ryan Andino made Three Point Jumper.,72,82
0:46,2379,Maryland-Eastern Shore  Timeout,72,82
0:43,2545,Davon Hayes made Dunk. Assisted by Eddy Polanco.,72,84
0:35,2379,Deven Dorsett made Three Point Jumper. Assisted by Logan McIntosh.,75,84
0:32,2379,Maryland-Eastern Shore  Timeout,75,84
0:32,2379,Foul on Deven Dorsett.,75,84
0:32,2545,Davon Hayes made Free Throw.,75,85
0:32,2545,Davon Hayes missed Free Throw.,75,85
0:32,2379,Ryan Andino Defensive Rebound.,75,85
0:27,2379,Logan McIntosh missed Three Point Jumper.,75,85
0:27,2545,Davon Hayes Defensive Rebound.,75,85
0:19,2545,Marlain Veal missed Dunk.,75,85
0:19,2545,Jabbar Singleton Offensive Rebound.,75,85
0:00,2545,End of Game,75,85
