Stetson,2116,UCF,56
11:03,2116,UCF Defensive Rebound.,7,13
10:47,56,Foul on B.J. Glasford.,7,13
10:46,2116,Matt Williams Turnover.,7,13
10:41,56,Derick Newton missed Layup.,7,13
10:41,2116,A.J. Davis Block.,7,13
10:38,2116,A.J. Davis Defensive Rebound.,7,13
10:35,2116,A.J. Davis made Layup.,7,15
10:21,2116,Foul on Djordjije Mumin.,7,15
10:13,56,Leo Goodman missed Three Point Jumper.,7,15
10:13,56,Stetson Offensive Rebound.,7,15
10:08,56,Kevin Ndahiro missed Jumper.,7,15
10:08,2116,A.J. Davis Defensive Rebound.,7,15
10:01,2116,Matt Williams missed Three Point Jumper.,7,15
10:01,2116,UCF Deadball Team Rebound.,7,15
10:00,56,Foul on Kevin Ndahiro.,7,15
10:00,2116,Tacko Fall missed Free Throw.,7,15
10:00,56,Kevin Ndahiro Defensive Rebound.,7,15
9:42,56,Angel Rivera made Three Point Jumper.,10,15
9:29,56,Foul on Leo Goodman.,10,15
9:29,2116,B.J. Taylor missed Free Throw.,10,15
9:29,2116,Tanksley Efianayi Offensive Rebound.,10,15
9:26,2116,B.J. Taylor Turnover.,10,15
9:09,56,Larry Dennis Turnover.,10,15
9:01,2116,Tacko Fall Turnover.,10,15
9:01,2116,Foul on Tacko Fall.,10,15
8:50,56,Larry Dennis made Jumper. Assisted by Derick Newton.,12,15
8:36,2116,B.J. Taylor made Jumper.,12,17
8:18,56,Larry Dennis missed Jumper.,12,17
8:18,2116,Tacko Fall Block.,12,17
8:16,56,B.J. Glasford Offensive Rebound.,12,17
8:11,56,Derick Newton missed Layup.,12,17
8:11,2116,Djordjije Mumin Defensive Rebound.,12,17
7:53,2116,Matt Williams missed Three Point Jumper.,12,17
7:53,2116,Tacko Fall Offensive Rebound.,12,17
7:49,56,Foul on Angel Rivera.,12,17
7:49,2116,Official TV Timeout,12,17
7:49,2116,Tacko Fall made Free Throw.,12,18
7:49,2116,Tacko Fall made Free Throw.,12,19
7:34,56,Larry Dennis missed Layup.,12,19
7:34,2116,B.J. Taylor Defensive Rebound.,12,19
7:14,2116,Tanksley Efianayi made Dunk. Assisted by B.J. Taylor.,12,21
6:50,56,Angel Rivera missed Three Point Jumper.,12,21
6:50,2116,B.J. Taylor Defensive Rebound.,12,21
6:32,2116,B.J. Taylor missed Jumper.,12,21
6:32,2116,Tacko Fall Offensive Rebound.,12,21
6:22,2116,Tanksley Efianayi made Layup. Assisted by Tacko Fall.,12,23
6:10,56,Divine Myles missed Jumper.,12,23
6:10,56,Divine Myles Offensive Rebound.,12,23
6:07,56,Divine Myles missed Layup.,12,23
6:07,2116,Djordjije Mumin Defensive Rebound.,12,23
5:59,2116,Tacko Fall Turnover.,12,23
5:59,2116,Foul on Tacko Fall.,12,23
5:55,56,Larry Dennis missed Layup.,12,23
5:55,2116,Djordjije Mumin Defensive Rebound.,12,23
5:27,2116,Djordjije Mumin made Layup.,12,25
5:16,56,Divine Myles Turnover.,12,25
5:10,2116,Chad Brown made Layup. Assisted by A.J. Davis.,12,27
5:10,56,Foul on Larry Dennis.,12,27
5:06,2116,Chad Brown made Free Throw.,12,28
4:54,56,Clay Verk missed Three Point Jumper.,12,28
4:54,56,Derick Newton Offensive Rebound.,12,28
4:49,56,Derick Newton made Jumper.,14,28
4:34,2116,Chad Brown Turnover.,14,28
4:34,2116,Foul on Chad Brown.,14,28
4:21,56,Derick Newton missed Jumper.,14,28
4:21,2116,Nathan Laing Defensive Rebound.,14,28
3:54,2116,A.J. Davis missed Jumper.,14,28
3:54,56,Stetson Defensive Rebound.,14,28
3:50,2116,Official TV Timeout,14,28
3:37,56,Leo Goodman missed Layup.,14,28
3:37,2116,Matt Williams Defensive Rebound.,14,28
3:24,2116,Chad Brown missed Layup.,14,28
3:24,56,Derick Newton Defensive Rebound.,14,28
3:10,2116,Foul on Tanksley Efianayi.,14,28
3:10,56,Derick Newton made Free Throw.,15,28
3:10,56,Derick Newton made Free Throw.,16,28
2:40,2116,B.J. Taylor missed Three Point Jumper.,16,28
2:40,2116,UCF Deadball Team Rebound.,16,28
2:38,2116,UCF  Turnover.,16,28
2:21,56,B.J. Glasford missed Layup.,16,28
2:21,2116,A.J. Davis Defensive Rebound.,16,28
2:07,56,Foul on Derick Newton.,16,28
2:07,2116,B.J. Taylor made Free Throw.,16,29
2:07,2116,B.J. Taylor made Free Throw.,16,30
1:54,2116,Foul on Chad Brown.,16,30
1:53,56,Leo Goodman made Free Throw.,17,30
1:53,56,Leo Goodman missed Free Throw.,17,30
1:53,2116,A.J. Davis Defensive Rebound.,17,30
1:43,2116,Djordjije Mumin missed Three Point Jumper.,17,30
1:43,2116,A.J. Davis Offensive Rebound.,17,30
1:38,56,Foul on B.J. Glasford.,17,30
1:38,2116,A.J. Davis made Free Throw.,17,31
1:38,2116,A.J. Davis made Free Throw.,17,32
1:24,56,Divine Myles missed Layup.,17,32
1:24,56,Stetson Offensive Rebound.,17,32
1:12,56,B.J. Glasford missed Three Point Jumper.,17,32
1:12,2116,Matt Williams Defensive Rebound.,17,32
1:08,2116,UCF  Timeout,17,32
0:45,2116,B.J. Taylor made Layup.,17,34
0:34,56,Divine Myles made Layup.,19,34
0:05,2116,A.J. Davis made Dunk. Assisted by B.J. Taylor.,19,36
0:02,56,Derick Newton Turnover.,19,36
0:01,2116,Matt Williams Steal.,19,36
0:00,2116,End of 1st half,19,36
19:47,56,Luke Doyle made Jumper.,21,36
19:11,2116,B.J. Taylor made Jumper.,21,38
18:59,56,Derick Newton made Jumper.,23,38
18:47,56,Foul on Larry Dennis.,23,38
18:47,2116,Tacko Fall missed Free Throw.,23,38
18:47,2116,UCF Deadball Team Rebound.,23,38
18:47,2116,Tacko Fall made Free Throw.,23,39
18:38,56,Divine Myles missed Jumper.,23,39
18:38,56,Angel Rivera Offensive Rebound.,23,39
18:28,56,Luke Doyle missed Three Point Jumper.,23,39
18:28,2116,Tanksley Efianayi Defensive Rebound.,23,39
18:17,2116,B.J. Taylor made Jumper.,23,41
18:00,56,Larry Dennis missed Jumper.,23,41
18:00,2116,Nick Banyard Defensive Rebound.,23,41
17:49,56,Foul on Larry Dennis.,23,41
17:40,2116,B.J. Taylor made Layup.,23,43
17:30,56,Angel Rivera missed Layup.,23,43
17:30,56,Derick Newton Offensive Rebound.,23,43
17:27,56,Derick Newton missed Jumper.,23,43
17:27,2116,Tacko Fall Defensive Rebound.,23,43
17:16,2116,Nick Banyard Turnover.,23,43
17:00,56,Derick Newton Turnover.,23,43
16:53,2116,B.J. Taylor made Layup.,23,45
16:28,56,Derick Newton made Three Point Jumper. Assisted by Luke Doyle.,26,45
16:27,56,Stetson  Timeout,26,45
16:25,2116,Matt Williams made Three Point Jumper. Assisted by B.J. Taylor.,26,48
15:43,56,Angel Rivera missed Layup.,26,48
15:43,2116,Matt Williams Defensive Rebound.,26,48
15:36,2116,Matt Williams missed Three Point Jumper.,26,48
15:36,2116,Tacko Fall Offensive Rebound.,26,48
15:33,2116,Tacko Fall made Dunk.,26,50
15:33,56,Foul on Clay Verk.,26,50
15:30,2116,Official TV Timeout,26,50
15:30,2116,Tacko Fall missed Free Throw.,26,50
15:30,56,Derick Newton Defensive Rebound.,26,50
15:17,56,B.J. Glasford made Jumper.,28,50
14:58,2116,B.J. Taylor made Layup.,28,52
14:41,56,Clay Verk missed Jumper.,28,52
14:41,2116,Tacko Fall Block.,28,52
14:39,56,Clay Verk Offensive Rebound.,28,52
14:29,56,Leo Goodman missed Three Point Jumper.,28,52
14:29,2116,Tanksley Efianayi Block.,28,52
14:28,2116,Tacko Fall Defensive Rebound.,28,52
14:24,2116,A.J. Davis missed Layup.,28,52
14:24,56,Clay Verk Defensive Rebound.,28,52
14:09,2116,Foul on Tanksley Efianayi.,28,52
14:06,56,B.J. Glasford made Three Point Jumper. Assisted by Derick Newton.,31,52
13:42,56,Foul on B.J. Glasford.,31,52
13:42,2116,Nick Banyard made Free Throw.,31,53
13:42,2116,Nick Banyard made Free Throw.,31,54
13:28,56,Angel Rivera missed Three Point Jumper.,31,54
13:28,56,B.J. Glasford Offensive Rebound.,31,54
13:22,56,B.J. Glasford Turnover.,31,54
13:21,2116,Matt Williams Steal.,31,54
13:10,2116,Tacko Fall Turnover.,31,54
12:44,56,Leo Goodman missed Three Point Jumper.,31,54
12:44,2116,A.J. Davis Defensive Rebound.,31,54
12:36,2116,Nick Banyard missed Three Point Jumper.,31,54
12:36,56,Leo Goodman Defensive Rebound.,31,54
12:28,2116,Foul on B.J. Taylor.,31,54
12:10,56,Clay Verk Turnover.,31,54
12:08,2116,Matt Williams Steal.,31,54
12:01,2116,Nick Banyard missed Jumper.,31,54
12:01,56,Derick Newton Defensive Rebound.,31,54
11:49,56,Divine Myles missed Layup.,31,54
11:49,2116,Matt Williams Defensive Rebound.,31,54
11:28,2116,Matt Williams made Three Point Jumper.,31,57
11:16,2116,Foul on Nathan Laing.,31,57
11:16,2116,Official TV Timeout,31,57
11:10,56,Derick Newton missed Jumper.,31,57
11:10,2116,Djordjije Mumin Defensive Rebound.,31,57
10:41,2116,Tanksley Efianayi missed Three Point Jumper.,31,57
10:41,56,Divine Myles Defensive Rebound.,31,57
10:30,56,B.J. Glasford made Three Point Jumper. Assisted by Divine Myles.,34,57
10:07,56,Foul on B.J. Glasford.,34,57
9:56,56,Foul on Divine Myles.,34,57
9:56,2116,Tanksley Efianayi made Free Throw.,34,58
9:56,2116,Tanksley Efianayi made Free Throw.,34,59
9:46,56,B.J. Glasford made Three Point Jumper. Assisted by Angel Rivera.,37,59
9:44,2116,Foul on Chad Brown.,37,59
9:40,56,B.J. Glasford missed Layup.,37,59
9:40,56,Larry Dennis Offensive Rebound.,37,59
9:39,2116,Foul on Tanksley Efianayi.,37,59
9:37,56,Larry Dennis missed Free Throw.,37,59
9:37,56,Stetson Deadball Team Rebound.,37,59
9:37,56,Larry Dennis missed Free Throw.,37,59
9:37,2116,Chad Brown Defensive Rebound.,37,59
9:12,56,Foul on Larry Dennis.,37,59
9:12,2116,Chad Brown missed Free Throw.,37,59
9:12,56,Derick Newton Defensive Rebound.,37,59
8:58,56,Divine Myles made Three Point Jumper. Assisted by Derick Newton.,40,59
8:33,2116,Matt Williams made Jumper.,40,61
8:23,56,Luke Doyle missed Three Point Jumper.,40,61
8:23,2116,Chad Brown Defensive Rebound.,40,61
8:08,2116,Chad Brown made Layup.,40,63
7:47,56,Divine Myles missed Layup.,40,63
7:47,2116,Chad Brown Block.,40,63
7:41,2116,Nathan Laing Defensive Rebound.,40,63
7:27,2116,Matt Williams made Three Point Jumper.,40,66
7:18,56,Luke Doyle missed Three Point Jumper.,40,66
7:18,2116,Nick Banyard Defensive Rebound.,40,66
7:00,2116,Chad Brown made Dunk. Assisted by Nathan Laing.,40,68
6:52,56,Stetson  Timeout,40,68
6:41,56,B.J. Glasford Turnover.,40,68
6:38,2116,Matt Williams Steal.,40,68
6:21,2116,Nick Banyard missed Jumper.,40,68
6:21,56,B.J. Glasford Defensive Rebound.,40,68
6:12,2116,Foul on Nick Banyard.,40,68
6:11,56,Derick Newton missed Free Throw.,40,68
6:11,56,Stetson Deadball Team Rebound.,40,68
6:11,56,Derick Newton made Free Throw.,41,68
6:11,56,Derick Newton made Free Throw.,42,68
5:58,2116,Tanksley Efianayi missed Three Point Jumper.,42,68
5:58,56,B.J. Glasford Defensive Rebound.,42,68
5:43,56,B.J. Glasford missed Three Point Jumper.,42,68
5:43,2116,B.J. Taylor Defensive Rebound.,42,68
5:41,56,Foul on Leo Goodman.,42,68
5:41,2116,B.J. Taylor made Free Throw.,42,69
5:41,2116,B.J. Taylor made Free Throw.,42,70
5:24,56,Derick Newton missed Three Point Jumper.,42,70
5:24,2116,A.J. Davis Defensive Rebound.,42,70
5:10,2116,Matt Williams missed Three Point Jumper.,42,70
5:10,2116,A.J. Davis Offensive Rebound.,42,70
5:06,2116,A.J. Davis missed Layup.,42,70
5:06,56,Kevin Ndahiro Defensive Rebound.,42,70
4:59,56,Leo Goodman Turnover.,42,70
4:40,2116,Tacko Fall made Dunk.,42,72
4:40,56,Foul on Kevin Ndahiro.,42,72
4:40,2116,Tacko Fall made Free Throw.,42,73
4:34,56,Divine Myles Turnover.,42,73
4:11,2116,Tacko Fall made Dunk.,42,75
3:53,56,Leo Goodman made Three Point Jumper. Assisted by Divine Myles.,45,75
3:50,56,Stetson  Timeout,45,75
3:26,2116,Tanksley Efianayi made Jumper.,45,77
3:09,56,Divine Myles missed Jumper.,45,77
3:09,2116,Chad Brown Defensive Rebound.,45,77
2:52,2116,Chad Brown missed Layup.,45,77
2:52,56,Clay Verk Defensive Rebound.,45,77
2:42,56,Derick Newton missed Layup.,45,77
2:42,2116,Chad Brown Block.,45,77
2:40,2116,Tanksley Efianayi Defensive Rebound.,45,77
2:27,2116,Tanksley Efianayi made Jumper.,45,79
2:07,56,Luke Doyle missed Jumper.,45,79
2:07,2116,Tanksley Efianayi Defensive Rebound.,45,79
1:53,2116,Djordjije Mumin missed Three Point Jumper.,45,79
1:53,56,Clay Verk Defensive Rebound.,45,79
1:42,56,Luke Doyle missed Three Point Jumper.,45,79
1:42,2116,UCF Defensive Rebound.,45,79
1:31,2116,Tanksley Efianayi missed Layup.,45,79
1:31,56,Luke Doyle Defensive Rebound.,45,79
1:24,56,Leo Goodman missed Three Point Jumper.,45,79
1:24,2116,Chad Brown Defensive Rebound.,45,79
0:59,2116,Chad Brown missed Layup.,45,79
0:59,2116,Chad Brown Offensive Rebound.,45,79
0:55,56,Foul on Clay Verk.,45,79
0:55,2116,Chad Brown made Free Throw.,45,80
0:55,2116,Chad Brown made Free Throw.,45,81
0:41,56,Luke Doyle missed Layup.,45,81
0:41,2116,Tanksley Efianayi Defensive Rebound.,45,81
0:28,2116,Brock Stephenson missed Three Point Jumper.,45,81
0:28,56,Leo Goodman Defensive Rebound.,45,81
0:19,56,Derick Newton missed Three Point Jumper.,45,81
0:19,56,Clay Verk Offensive Rebound.,45,81
0:16,2116,Foul on Chad Brown.,45,81
0:16,56,Clay Verk missed Free Throw.,45,81
0:16,2116,Tanksley Efianayi Defensive Rebound.,45,81
0:00,2116,End of Game,45,81
