St. Francis (BKN),225,Brown,2597
13:53,2597,Foul on Rasheem Dunn.,4,15
13:46,225,Steven Spieth missed Jumper.,4,15
13:46,2597,Gunnar Olafsson Defensive Rebound.,4,15
13:18,2597,Gunnar Olafsson missed Three Point Jumper.,4,15
13:18,225,JR Hobbie Defensive Rebound.,4,15
13:09,225,Travis Fuller made Layup. Assisted by Corey Daugherty.,4,17
12:44,2597,Jahmel Bodrick made Layup.,6,17
12:30,225,Travis Fuller made Layup.,6,19
12:10,2597,Rasheem Dunn missed Jumper.,6,19
12:10,225,Obi Okolie Defensive Rebound.,6,19
11:58,2597,Foul on Jahmel Bodrick.,6,19
11:58,225,Official TV Timeout,6,19
11:58,225,Travis Fuller made Free Throw.,6,20
11:58,225,Travis Fuller missed Free Throw.,6,20
11:58,2597,Gunnar Olafsson Defensive Rebound.,6,20
11:55,2597,Gunnar Olafsson Turnover.,6,20
11:54,225,Steven Spieth Steal.,6,20
11:53,225,Steven Spieth missed Layup.,6,20
11:53,225,Travis Fuller Offensive Rebound.,6,20
11:48,225,Travis Fuller made Layup.,6,22
11:20,225,Foul on JR Hobbie.,6,22
11:20,2597,Gunnar Olafsson made Free Throw.,7,22
11:20,2597,Gunnar Olafsson missed Free Throw.,7,22
11:20,225,Steven Spieth Defensive Rebound.,7,22
11:04,225,JR Hobbie missed Three Point Jumper.,7,22
11:04,2597,Keon Williams Defensive Rebound.,7,22
10:55,2597,Glenn Sanabria Turnover.,7,22
10:54,225,Corey Daugherty Steal.,7,22
10:50,225,Steven Spieth Turnover.,7,22
10:49,2597,Keon Williams Steal.,7,22
10:48,225,Foul on Corey Daugherty.,7,22
10:48,2597,Keon Williams made Free Throw.,8,22
10:48,2597,Keon Williams made Free Throw.,9,22
10:28,225,Travis Fuller Turnover.,9,22
10:28,2597,Glenn Sanabria Steal.,9,22
10:27,225,Foul on Steven Spieth.,9,22
10:05,2597,Glenn Sanabria made Three Point Jumper.,12,22
9:53,225,JR Hobbie made Three Point Jumper. Assisted by Steven Spieth.,12,25
9:22,225,Foul on JR Hobbie.,12,25
9:21,2597,Keon Williams made Three Point Jumper. Assisted by Yunus Hopkinson.,15,25
9:05,2597,Foul on Robert Montgomery.,15,25
9:05,225,Travis Fuller made Free Throw.,15,26
9:05,225,Travis Fuller made Free Throw.,15,27
8:36,2597,Glenn Sanabria Turnover.,15,27
8:35,225,Joshua Howard Steal.,15,27
8:32,225,Tavon Blackmon Turnover.,15,27
8:32,225,Foul on Tavon Blackmon.,15,27
8:11,2597,Jahmel Bodrick missed Jumper.,15,27
8:11,225,Travis Fuller Defensive Rebound.,15,27
7:59,225,Joshua Howard missed Three Point Jumper.,15,27
7:59,2597,Keon Williams Defensive Rebound.,15,27
7:40,2597,Yunus Hopkinson missed Three Point Jumper.,15,27
7:40,225,Joshua Howard Block.,15,27
7:38,2597,Rasheem Dunn Offensive Rebound.,15,27
7:35,2597,Rasheem Dunn missed Layup.,15,27
7:35,2597,Keon Williams Offensive Rebound.,15,27
7:32,2597,Keon Williams made Layup.,17,27
7:21,2597,Foul on Keon Williams.,17,27
7:21,225,Official TV Timeout,17,27
7:21,225,Kyle Haber missed Free Throw.,17,27
7:21,2597,Darelle Porter Defensive Rebound.,17,27
6:56,2597,Darelle Porter made Three Point Jumper. Assisted by Rasheem Dunn.,20,27
6:38,225,Obi Okolie Turnover.,20,27
6:20,2597,Darelle Porter made Three Point Jumper. Assisted by Glenn Sanabria.,23,27
5:58,225,Joshua Howard made Three Point Jumper. Assisted by Obi Okolie.,23,30
5:35,225,Foul on Joshua Howard.,23,30
5:35,2597,Rasheem Dunn missed Free Throw.,23,30
5:35,2597,St. Francis BKN Deadball Team Rebound.,23,30
5:35,2597,Rasheem Dunn made Free Throw.,24,30
5:23,225,Steven Spieth missed Layup.,24,30
5:23,2597,Jahmel Bodrick Defensive Rebound.,24,30
5:07,2597,Keon Williams Turnover.,24,30
4:52,225,Joshua Howard made Jumper.,24,32
4:46,2597,Jahmel Bodrick Turnover.,24,32
4:46,2597,Foul on Jahmel Bodrick.,24,32
4:36,225,Joshua Howard made Layup. Assisted by Tavon Blackmon.,24,34
4:36,2597,Foul on Darelle Porter.,24,34
4:36,2597,St. Francis BKN  Timeout,24,34
4:36,225,Joshua Howard made Free Throw.,24,35
4:19,2597,Robert Montgomery Turnover.,24,35
4:19,2597,Foul on Robert Montgomery.,24,35
3:52,225,Joshua Howard missed Jumper.,24,35
3:52,2597,Rasheem Dunn Defensive Rebound.,24,35
3:39,2597,Keon Williams made Jumper.,26,35
3:20,225,Patrick Triplett made Layup. Assisted by Steven Spieth.,26,37
3:00,2597,Rasheem Dunn Turnover.,26,37
2:59,225,Joshua Howard Steal.,26,37
2:55,225,Joshua Howard made Layup.,26,39
2:55,2597,Foul on Glenn Sanabria.,26,39
2:55,225,Official TV Timeout,26,39
2:55,225,Joshua Howard made Free Throw.,26,40
2:39,2597,Yunus Hopkinson Turnover.,26,40
2:38,225,Steven Spieth Steal.,26,40
2:21,225,Patrick Triplett missed Three Point Jumper.,26,40
2:21,225,David Erebor Offensive Rebound.,26,40
2:14,225,Steven Spieth Turnover.,26,40
2:14,225,Foul on Steven Spieth.,26,40
2:00,225,Foul on David Erebor.,26,40
2:00,2597,Jagos Lasic made Free Throw.,27,40
2:00,2597,Jagos Lasic made Free Throw.,28,40
1:47,225,Patrick Triplett Turnover.,28,40
1:23,2597,Glenn Sanabria made Jumper.,30,40
1:13,2597,Foul on Keon Williams.,30,40
1:13,225,Obi Okolie made Free Throw.,30,41
1:13,225,Obi Okolie made Free Throw.,30,42
1:00,2597,Yunus Hopkinson missed Three Point Jumper.,30,42
1:00,225,Tavon Blackmon Defensive Rebound.,30,42
0:51,225,Brown  Timeout,30,42
0:44,225,Obi Okolie missed Three Point Jumper.,30,42
0:44,2597,Gunnar Olafsson Defensive Rebound.,30,42
0:34,2597,Darelle Porter missed Three Point Jumper.,30,42
0:34,2597,Gunnar Olafsson Offensive Rebound.,30,42
0:28,2597,Gunnar Olafsson made Layup.,32,42
0:05,225,Tavon Blackmon missed Jumper.,32,42
0:05,2597,Darelle Porter Defensive Rebound.,32,42
0:01,2597,Glenn Sanabria missed Three Point Jumper.,32,42
0:01,225,Joshua Howard Defensive Rebound.,32,42
0:00,225,End of 1st half,32,42
19:32,225,Foul on Tavon Blackmon.,32,42
19:32,2597,Yunus Hopkinson made Free Throw.,33,42
19:32,2597,Yunus Hopkinson missed Free Throw.,33,42
19:32,225,Obi Okolie Defensive Rebound.,33,42
19:16,225,Joshua Howard made Layup. Assisted by Brandon Anderson.,33,44
19:09,2597,Glenn Sanabria made Jumper.,35,44
18:59,225,Brandon Anderson Turnover.,35,44
18:58,2597,Keon Williams Steal.,35,44
18:55,2597,Keon Williams missed Layup.,35,44
18:55,2597,Joshua Nurse Offensive Rebound.,35,44
18:52,2597,Joshua Nurse made Dunk.,37,44
18:36,225,Brandon Anderson made Layup.,37,46
18:36,2597,Foul on Keon Williams.,37,46
18:36,225,Brandon Anderson made Free Throw.,37,47
18:19,2597,Yunus Hopkinson Turnover.,37,47
18:18,225,Steven Spieth Steal.,37,47
18:10,2597,Foul on Rasheem Dunn.,37,47
18:10,225,Joshua Howard missed Free Throw.,37,47
18:10,225,Brown Deadball Team Rebound.,37,47
18:10,225,Joshua Howard made Free Throw.,37,48
18:04,2597,Glenn Sanabria Turnover.,37,48
18:03,225,Steven Spieth Steal.,37,48
17:56,2597,Foul on Joshua Nurse.,37,48
17:56,225,Joshua Howard made Free Throw.,37,49
17:56,225,Joshua Howard made Free Throw.,37,50
17:41,2597,Glenn Sanabria missed Layup.,37,50
17:41,2597,Glenn Sanabria Offensive Rebound.,37,50
17:39,2597,Glenn Sanabria missed Layup.,37,50
17:39,2597,Glenn Sanabria Offensive Rebound.,37,50
17:37,2597,Glenn Sanabria made Layup.,39,50
17:31,225,Brandon Anderson Turnover.,39,50
17:30,2597,Rasheem Dunn Steal.,39,50
17:25,2597,Rasheem Dunn Turnover.,39,50
17:23,225,Tavon Blackmon Steal.,39,50
17:20,225,Steven Spieth made Layup. Assisted by Brandon Anderson.,39,52
16:56,225,Foul on Brandon Anderson.,39,52
16:56,2597,Rasheem Dunn made Free Throw.,40,52
16:56,2597,Rasheem Dunn missed Free Throw.,40,52
16:56,225,Steven Spieth Defensive Rebound.,40,52
16:44,2597,Foul on Jahmel Bodrick.,40,52
16:44,225,Joshua Howard missed Free Throw.,40,52
16:44,225,Brown Deadball Team Rebound.,40,52
16:44,225,Joshua Howard made Free Throw.,40,53
16:36,2597,Yunus Hopkinson missed Three Point Jumper.,40,53
16:36,225,Obi Okolie Defensive Rebound.,40,53
16:27,225,Corey Daugherty Turnover.,40,53
16:09,225,Foul on Steven Spieth.,40,53
16:02,2597,Rasheem Dunn missed Three Point Jumper.,40,53
16:02,2597,Robert Montgomery Offensive Rebound.,40,53
15:57,225,Official TV Timeout,40,53
15:48,2597,Glenn Sanabria made Three Point Jumper. Assisted by Gunnar Olafsson.,43,53
15:30,225,Brandon Anderson missed Layup.,43,53
15:30,2597,Robert Montgomery Block.,43,53
15:29,2597,Glenn Sanabria Defensive Rebound.,43,53
15:25,2597,Rasheem Dunn made Layup.,45,53
15:13,225,Corey Daugherty missed Three Point Jumper.,45,53
15:13,225,Steven Spieth Offensive Rebound.,45,53
14:59,2597,Foul on Gunnar Olafsson.,45,53
14:59,225,Steven Spieth made Free Throw.,45,54
14:59,225,Steven Spieth made Free Throw.,45,55
14:44,2597,Glenn Sanabria Turnover.,45,55
14:43,225,Tavon Blackmon Steal.,45,55
14:26,225,Tavon Blackmon Turnover.,45,55
14:26,225,Foul on Tavon Blackmon.,45,55
14:04,2597,Darelle Porter missed Jumper.,45,55
14:04,225,Joshua Howard Defensive Rebound.,45,55
14:02,2597,Darelle Porter Turnover.,45,55
14:02,2597,Foul on Darelle Porter.,45,55
13:51,225,Travis Fuller Turnover.,45,55
13:50,2597,Rasheem Dunn Steal.,45,55
13:48,2597,Rasheem Dunn made Layup.,47,55
13:37,225,Joshua Howard missed Three Point Jumper.,47,55
13:37,225,Travis Fuller Offensive Rebound.,47,55
13:17,225,Joshua Howard Turnover.,47,55
13:16,2597,Robert Montgomery Steal.,47,55
13:10,2597,Glenn Sanabria missed Jumper.,47,55
13:10,225,Travis Fuller Defensive Rebound.,47,55
12:56,225,Obi Okolie Turnover.,47,55
12:54,2597,Darelle Porter Steal.,47,55
12:51,225,Foul on Corey Daugherty.,47,55
12:37,2597,Rasheem Dunn made Layup. Assisted by Robert Montgomery.,49,55
12:27,2597,Foul on Rasheem Dunn.,49,55
12:27,225,JR Hobbie made Free Throw.,49,56
12:27,225,JR Hobbie made Free Throw.,49,57
12:11,2597,Yunus Hopkinson Turnover.,49,57
12:10,225,Joshua Howard Steal.,49,57
12:04,225,Steven Spieth Turnover.,49,57
12:03,2597,Yunus Hopkinson Steal.,49,57
12:00,2597,Darelle Porter made Layup.,51,57
11:42,225,Joshua Howard missed Layup.,51,57
11:42,2597,Darelle Porter Block.,51,57
11:41,225,Brown Offensive Rebound.,51,57
11:41,225,Official TV Timeout,51,57
11:33,2597,Foul on Yunus Hopkinson.,51,57
11:33,225,Tavon Blackmon made Free Throw.,51,58
11:33,225,Tavon Blackmon made Free Throw.,51,59
11:20,2597,Glenn Sanabria missed Three Point Jumper.,51,59
11:20,225,Steven Spieth Defensive Rebound.,51,59
11:12,225,Tavon Blackmon missed Layup.,51,59
11:12,2597,Darelle Porter Block.,51,59
11:11,2597,Gunnar Olafsson Defensive Rebound.,51,59
10:53,225,Foul on Joshua Howard.,51,59
10:44,2597,Keon Williams made Dunk.,53,59
10:22,225,Joshua Howard missed Layup.,53,59
10:22,2597,Keon Williams Defensive Rebound.,53,59
10:00,2597,Robert Montgomery Turnover.,53,59
10:00,2597,Foul on Robert Montgomery.,53,59
9:50,225,Steven Spieth made Layup. Assisted by Tavon Blackmon.,53,61
9:30,2597,Darelle Porter missed Three Point Jumper.,53,61
9:30,225,Tavon Blackmon Defensive Rebound.,53,61
9:25,2597,Foul on Yunus Hopkinson.,53,61
9:25,225,Brandon Anderson missed Free Throw.,53,61
9:25,225,Brown Deadball Team Rebound.,53,61
9:25,225,Brandon Anderson missed Free Throw.,53,61
9:25,225,Brandon Anderson Offensive Rebound.,53,61
9:20,225,Chris Sullivan missed Three Point Jumper.,53,61
9:20,2597,Keon Williams Defensive Rebound.,53,61
8:50,2597,Robert Montgomery missed Layup.,53,61
8:50,225,Chris Sullivan Defensive Rebound.,53,61
8:28,225,Obi Okolie missed Layup.,53,61
8:28,225,Travis Fuller Offensive Rebound.,53,61
8:26,225,Travis Fuller made Dunk.,53,63
8:06,225,Foul on Obi Okolie.,53,63
8:06,2597,Glenn Sanabria made Free Throw.,54,63
8:06,2597,Glenn Sanabria missed Free Throw.,54,63
8:06,225,Travis Fuller Defensive Rebound.,54,63
7:51,2597,Foul on Glenn Sanabria.,54,63
7:51,225,Official TV Timeout,54,63
7:51,225,Obi Okolie made Free Throw.,54,64
7:51,225,Obi Okolie missed Free Throw.,54,64
7:51,2597,Gunnar Olafsson Defensive Rebound.,54,64
7:26,2597,Yunus Hopkinson made Jumper.,56,64
7:11,2597,Foul on Jahmel Bodrick.,56,64
7:11,225,Brandon Anderson missed Free Throw.,56,64
7:11,225,Brown Deadball Team Rebound.,56,64
7:11,225,Brandon Anderson made Free Throw.,56,65
6:53,2597,Yunus Hopkinson missed Layup.,56,65
6:53,225,Obi Okolie Defensive Rebound.,56,65
6:33,225,Travis Fuller made Layup. Assisted by Brandon Anderson.,56,67
6:25,2597,Rasheem Dunn missed Jumper.,56,67
6:25,2597,Rasheem Dunn Offensive Rebound.,56,67
6:21,2597,Rasheem Dunn made Layup.,58,67
6:03,2597,Foul on Joshua Nurse.,58,67
6:03,225,Travis Fuller missed Free Throw.,58,67
6:03,225,Brown Deadball Team Rebound.,58,67
6:03,225,Travis Fuller made Free Throw.,58,68
6:02,2597,Gunnar Olafsson Turnover.,58,68
6:02,225,Chris Sullivan Steal.,58,68
6:01,2597,Foul on Gunnar Olafsson.,58,68
6:01,225,Chris Sullivan made Free Throw.,58,69
6:01,225,Chris Sullivan made Free Throw.,58,70
5:40,2597,Yunus Hopkinson missed Three Point Jumper.,58,70
5:40,2597,Darelle Porter Offensive Rebound.,58,70
5:36,2597,Darelle Porter missed Layup.,58,70
5:36,2597,Rasheem Dunn Offensive Rebound.,58,70
5:34,2597,Rasheem Dunn missed Layup.,58,70
5:34,2597,St. Francis BKN Offensive Rebound.,58,70
5:33,225,Foul on Obi Okolie.,58,70
5:33,2597,Darelle Porter missed Free Throw.,58,70
5:33,225,Steven Spieth Defensive Rebound.,58,70
5:17,2597,Foul on Glenn Sanabria.,58,70
5:17,225,Steven Spieth made Free Throw.,58,71
5:17,225,Steven Spieth made Free Throw.,58,72
5:03,2597,Rasheem Dunn missed Three Point Jumper.,58,72
5:03,225,Travis Fuller Defensive Rebound.,58,72
4:45,225,Tavon Blackmon missed Layup.,58,72
4:45,2597,Keon Williams Defensive Rebound.,58,72
4:39,2597,Keon Williams missed Layup.,58,72
4:39,2597,Rasheem Dunn Offensive Rebound.,58,72
4:35,2597,Rasheem Dunn missed Layup.,58,72
4:35,2597,Darelle Porter Offensive Rebound.,58,72
4:32,2597,Darelle Porter missed Jumper.,58,72
4:32,225,Tavon Blackmon Defensive Rebound.,58,72
4:18,225,Tavon Blackmon Turnover.,58,72
4:17,2597,Darelle Porter Steal.,58,72
4:13,2597,Darelle Porter made Layup.,60,72
4:03,225,Brown  Timeout,60,72
3:47,225,Joshua Howard Turnover.,60,72
3:46,2597,Darelle Porter Steal.,60,72
3:32,2597,Glenn Sanabria made Jumper.,62,72
3:06,2597,Foul on Darelle Porter.,62,72
3:06,225,Official TV Timeout,62,72
3:06,225,Joshua Howard made Free Throw.,62,73
3:06,225,Joshua Howard made Free Throw.,62,74
2:46,2597,Yunus Hopkinson made Layup.,64,74
2:24,2597,Foul on Rasheem Dunn.,64,74
2:24,225,Obi Okolie missed Free Throw.,64,74
2:24,225,Brown Deadball Team Rebound.,64,74
2:24,225,Obi Okolie made Free Throw.,64,75
2:11,2597,Rasheem Dunn made Layup. Assisted by Keon Williams.,66,75
1:39,225,Obi Okolie missed Three Point Jumper.,66,75
1:39,2597,St. Francis BKN Defensive Rebound.,66,75
1:30,2597,Yunus Hopkinson missed Jumper.,66,75
1:30,225,Travis Fuller Defensive Rebound.,66,75
1:17,225,Steven Spieth made Layup.,66,77
1:03,2597,Rasheem Dunn Turnover.,66,77
1:03,2597,St. Francis BKN  Timeout,66,77
1:03,225,Brown  Timeout,66,77
0:48,2597,Foul on Darelle Porter.,66,77
0:48,225,Steven Spieth made Free Throw.,66,78
0:48,225,Steven Spieth made Free Throw.,66,79
0:42,2597,Darelle Porter made Three Point Jumper. Assisted by Yunus Hopkinson.,69,79
0:41,2597,St. Francis BKN  Timeout,69,79
0:32,225,Steven Spieth Turnover.,69,79
0:31,2597,Rasheem Dunn Steal.,69,79
0:30,2597,Rasheem Dunn made Layup.,71,79
0:29,2597,St. Francis BKN  Timeout,71,79
0:15,2597,Foul on Rasheem Dunn.,71,79
0:15,225,Tavon Blackmon made Free Throw.,71,80
0:15,225,Tavon Blackmon made Free Throw.,71,81
0:10,2597,Glenn Sanabria Turnover.,71,81
0:10,225,Brandon Anderson Steal.,71,81
0:00,225,End of Game,71,81
