UMBC,2184,Duquesne,2378
2:37,2378,Rodney Elliott made Three Point Jumper. Assisted by Joe Sherburne.,45,36
2:22,2184,Jordan Robinson made Layup. Assisted by Spencer Littleson.,45,38
2:00,2378,Will Darley made Layup. Assisted by Joe Sherburne.,47,38
2:00,2184,Foul on Jordan Robinson.,47,38
2:00,2378,Will Darley made Free Throw.,48,38
1:39,2184,Isiaha Mike made Layup. Assisted by Tarin Smith.,48,40
1:22,2378,K.J. Maura made Jumper.,50,40
0:52,2184,Rene Castro missed Jumper.,50,40
0:52,2184,Nakye Sanders Offensive Rebound.,50,40
0:52,2378,Foul on Will Darley.,50,40
0:37,2184,Tarin Smith Turnover.,50,40
0:10,2378,Nolan Gerrity made Layup. Assisted by K.J. Maura.,52,40
0:02,2184,Rene Castro made Three Point Jumper.,52,43
0:00,2184,End of 1st half,52,43
19:42,2184,Mike Lewis II made Three Point Jumper. Assisted by Emile Blackman.,52,46
19:08,2378,Nolan Gerrity missed Layup.,52,46
19:08,2184,Darius Lewis Defensive Rebound.,52,46
19:00,2184,Emile Blackman missed Layup.,52,46
19:00,2378,Joe Sherburne Block.,52,46
19:00,2184,Duquesne Offensive Rebound.,52,46
18:47,2184,Mike Lewis II made Layup.,52,48
18:47,2378,Foul on Joe Sherburne.,52,48
18:47,2184,Mike Lewis II made Free Throw.,52,49
18:20,2378,Jairus Lyles missed Three Point Jumper.,52,49
18:20,2378,Jairus Lyles Offensive Rebound.,52,49
18:13,2378,UMBC  Timeout,52,49
18:12,2378,K.J. Maura made Three Point Jumper. Assisted by Nolan Gerrity.,55,49
17:41,2184,Darius Lewis Turnover.,55,49
17:19,2378,K.J. Maura missed Three Point Jumper.,55,49
17:19,2184,Emile Blackman Defensive Rebound.,55,49
17:08,2184,Tarin Smith missed Jumper.,55,49
17:08,2378,UMBC Defensive Rebound.,55,49
17:08,2184,Foul on Darius Lewis.,55,49
16:54,2378,Nolan Gerrity missed Jumper.,55,49
16:54,2184,Isiaha Mike Defensive Rebound.,55,49
16:47,2184,Emile Blackman made Layup. Assisted by Mike Lewis II.,55,51
16:32,2378,Jairus Lyles missed Layup.,55,51
16:32,2184,Emile Blackman Defensive Rebound.,55,51
16:27,2184,Emile Blackman Turnover.,55,51
16:12,2378,Joe Sherburne made Three Point Jumper. Assisted by Rodney Elliott.,58,51
15:51,2184,Tarin Smith Turnover.,58,51
15:51,2184,Official TV Timeout,58,51
15:32,2378,Jourdan Grant missed Layup.,58,51
15:32,2378,Will Darley Offensive Rebound.,58,51
15:30,2184,Foul on Nakye Sanders.,58,51
15:30,2378,Will Darley missed Free Throw.,58,51
15:30,2378,UMBC Deadball Team Rebound.,58,51
15:30,2378,Will Darley made Free Throw.,59,51
15:17,2184,Mike Lewis II missed Three Point Jumper.,59,51
15:17,2378,Rodney Elliott Defensive Rebound.,59,51
15:08,2378,Joe Sherburne made Layup.,61,51
14:48,2184,Rene Castro missed Three Point Jumper.,61,51
14:48,2378,K.J. Maura Defensive Rebound.,61,51
14:39,2378,Rodney Elliott made Three Point Jumper. Assisted by Jourdan Grant.,64,51
14:37,2184,Duquesne  Timeout,64,51
14:33,2184,Nakye Sanders made Layup. Assisted by Spencer Littleson.,64,53
13:58,2378,Will Darley made Layup.,66,53
13:46,2184,Eric James Turnover.,66,53
13:17,2378,Joe Sherburne made Three Point Jumper.,69,53
13:01,2184,Spencer Littleson missed Three Point Jumper.,69,53
13:01,2184,Nakye Sanders Offensive Rebound.,69,53
12:58,2378,Foul on Rodney Elliott.,69,53
12:32,2378,Foul on Jourdan Grant.,69,53
12:23,2184,Rene Castro missed Three Point Jumper.,69,53
12:23,2378,Joe Sherburne Defensive Rebound.,69,53
12:06,2378,Rodney Elliott Turnover.,69,53
11:59,2184,Mike Lewis II made Three Point Jumper. Assisted by Rene Castro.,69,56
11:34,2184,Foul on Rene Castro.,69,56
11:23,2378,Will Darley missed Jumper.,69,56
11:23,2184,Spencer Littleson Defensive Rebound.,69,56
11:14,2184,Mike Lewis II missed Layup.,69,56
11:14,2378,Joe Sherburne Defensive Rebound.,69,56
11:11,2184,Foul on Spencer Littleson.,69,56
10:52,2184,Foul on Rene Castro.,69,56
10:33,2378,Rodney Elliott Turnover.,69,56
10:32,2184,Mike Lewis II Steal.,69,56
10:17,2184,Isiaha Mike made Three Point Jumper. Assisted by Rene Castro.,69,59
10:06,2378,UMBC  Timeout,69,59
9:59,2378,Jairus Lyles Turnover.,69,59
9:44,2184,Rene Castro made Jumper.,69,61
9:21,2184,Foul on Isiaha Mike.,69,61
9:21,2378,Jairus Lyles made Free Throw.,70,61
9:21,2378,Jairus Lyles made Free Throw.,71,61
9:05,2184,Isiaha Mike missed Layup.,71,61
9:05,2378,Nolan Gerrity Block.,71,61
9:01,2378,Rodney Elliott Defensive Rebound.,71,61
8:43,2378,Jairus Lyles missed Layup.,71,61
8:43,2378,Nolan Gerrity Offensive Rebound.,71,61
8:42,2378,Nolan Gerrity missed Two Point Tip Shot.,71,61
8:42,2378,Nolan Gerrity Offensive Rebound.,71,61
8:39,2378,Nolan Gerrity missed Jumper.,71,61
8:39,2184,Jordan Robinson Block.,71,61
8:36,2184,Spencer Littleson Defensive Rebound.,71,61
8:33,2184,Mike Lewis II Turnover.,71,61
8:33,2184,Foul on Mike Lewis II.,71,61
8:16,2378,K.J. Maura missed Layup.,71,61
8:16,2184,Isiaha Mike Defensive Rebound.,71,61
8:07,2184,Isiaha Mike made Layup.,71,63
7:45,2378,K.J. Maura missed Three Point Jumper.,71,63
7:45,2378,Nolan Gerrity Offensive Rebound.,71,63
7:28,2378,Jairus Lyles made Jumper.,73,63
7:13,2378,Foul on Nolan Gerrity.,73,63
7:13,2184,Official TV Timeout,73,63
7:09,2184,Rene Castro made Three Point Jumper. Assisted by Jordan Robinson.,73,66
6:55,2378,Rodney Elliott missed Jumper.,73,66
6:55,2184,Jordan Robinson Defensive Rebound.,73,66
6:30,2184,Rene Castro missed Jumper.,73,66
6:30,2184,Jordan Robinson Offensive Rebound.,73,66
6:28,2184,Jordan Robinson missed Two Point Tip Shot.,73,66
6:28,2184,Jordan Robinson Offensive Rebound.,73,66
6:25,2184,Jordan Robinson missed Jumper.,73,66
6:25,2378,K.J. Maura Defensive Rebound.,73,66
6:13,2378,Jairus Lyles missed Jumper.,73,66
6:13,2378,Will Darley Offensive Rebound.,73,66
5:47,2378,Rodney Elliott missed Three Point Jumper.,73,66
5:47,2378,K.J. Maura Offensive Rebound.,73,66
5:43,2378,Will Darley missed Jumper.,73,66
5:43,2184,Mike Lewis II Defensive Rebound.,73,66
5:34,2378,Foul on Nolan Gerrity.,73,66
5:12,2184,Spencer Littleson Turnover.,73,66
5:10,2378,Rodney Elliott Turnover.,73,66
4:46,2184,Rene Castro missed Three Point Jumper.,73,66
4:46,2378,Jourdan Grant Defensive Rebound.,73,66
4:42,2378,Jairus Lyles Turnover.,73,66
4:20,2184,Mike Lewis II made Layup.,73,68
4:06,2184,Foul on Mike Lewis II.,73,68
4:06,2378,Jourdan Grant missed Free Throw.,73,68
4:06,2184,Nakye Sanders Defensive Rebound.,73,68
3:38,2184,Emile Blackman missed Three Point Jumper.,73,68
3:38,2184,Nakye Sanders Offensive Rebound.,73,68
3:34,2184,Nakye Sanders missed Layup.,73,68
3:34,2378,Jourdan Grant Defensive Rebound.,73,68
3:34,2184,Foul on Emile Blackman.,73,68
3:34,2184,Official TV Timeout,73,68
3:34,2378,Jourdan Grant made Free Throw.,74,68
3:34,2378,Jourdan Grant made Free Throw.,75,68
3:08,2184,Tarin Smith missed Jumper.,75,68
3:08,2378,Jairus Lyles Defensive Rebound.,75,68
2:43,2378,Jairus Lyles Turnover.,75,68
2:38,2184,Tarin Smith made Layup.,75,70
2:15,2378,Jairus Lyles made Layup.,77,70
1:55,2184,Mike Lewis II missed Three Point Jumper.,77,70
1:55,2184,Emile Blackman Offensive Rebound.,77,70
1:50,2184,Emile Blackman Turnover.,77,70
1:50,2184,Foul on Emile Blackman.,77,70
1:22,2378,Jairus Lyles missed Layup.,77,70
1:22,2184,Duquesne Defensive Rebound.,77,70
1:07,2184,Tarin Smith missed Layup.,77,70
1:07,2378,Jourdan Grant Defensive Rebound.,77,70
0:52,2184,Foul on Emile Blackman.,77,70
0:52,2378,Jairus Lyles made Free Throw.,78,70
0:52,2378,Jairus Lyles missed Free Throw.,78,70
0:52,2184,Mike Lewis II Defensive Rebound.,78,70
0:42,2184,Isiaha Mike missed Three Point Jumper.,78,70
0:42,2378,Jairus Lyles Defensive Rebound.,78,70
0:40,2378,Jairus Lyles Turnover.,78,70
0:35,2184,Rene Castro made Layup.,78,72
0:35,2184,Duquesne  Timeout,78,72
0:31,2184,Foul on Rene Castro.,78,72
0:31,2378,Jairus Lyles made Free Throw.,79,72
0:31,2378,Jairus Lyles made Free Throw.,80,72
0:23,2184,Mike Lewis II missed Three Point Jumper.,80,72
0:23,2184,Duquesne Offensive Rebound.,80,72
0:15,2184,Rene Castro missed Three Point Jumper.,80,72
0:15,2378,Jourdan Grant Defensive Rebound.,80,72
0:13,2184,Foul on Emile Blackman.,80,72
0:13,2378,Jourdan Grant made Free Throw.,81,72
0:13,2378,Jourdan Grant missed Free Throw.,81,72
0:13,2184,Spencer Littleson Defensive Rebound.,81,72
0:05,2184,Isiaha Mike missed Three Point Jumper.,81,72
0:05,2378,Jourdan Grant Defensive Rebound.,81,72
0:00,2184,End of Game,81,72
