Menlo College,Error,Fresno State,278
12:40,278,Deshon Taylor missed Three Point Jumper.,9,17
12:40,278,Sam Bittner Offensive Rebound.,9,17
12:30,278,Jaron Hopkins missed Layup.,9,17
12:30,-1,William Asplund Defensive Rebound.,9,17
12:23,-1,John Paine missed Jumper.,9,17
12:23,278,Terrell Carter II Block.,9,17
12:21,-1,Kalan Camero Offensive Rebound.,9,17
12:19,-1,Kalan Camero missed Three Point Jumper.,9,17
12:19,-1,William Asplund Offensive Rebound.,9,17
12:03,-1,William Asplund made Layup.,11,17
11:52,278,Sam Bittner Turnover.,11,17
11:51,-1,Kalan Camero Steal.,11,17
11:50,278,Foul on Jaron Hopkins.,11,17
11:50,278,Official TV Timeout,11,17
11:50,-1,Kalan Camero made Free Throw.,12,17
11:50,-1,Kalan Camero missed Free Throw.,12,17
11:50,278,Paul Watson Defensive Rebound.,12,17
11:35,278,Terrell Carter II made Dunk. Assisted by Paul Watson.,12,19
11:22,-1,John Paine made Jumper.,14,19
11:05,278,Cullen Russo missed Layup.,14,19
11:05,-1,William Asplund Defensive Rebound.,14,19
10:55,-1,Ben Graham made Layup.,16,19
10:28,278,Terrell Carter II made Layup.,16,21
10:10,-1,William Asplund Turnover.,16,21
10:09,278,Deshon Taylor Steal.,16,21
10:06,278,Jahmel Taylor missed Three Point Jumper.,16,21
10:06,-1,Kalan Camero Defensive Rebound.,16,21
9:58,-1,Jeremiah Testa made Jumper.,18,21
9:37,-1,Foul on William Asplund.,18,21
9:08,278,Jaron Hopkins missed Three Point Jumper.,18,21
9:08,-1,Jeremiah Testa Defensive Rebound.,18,21
8:52,-1,Kalan Camero missed Three Point Jumper.,18,21
8:52,278,Paul Watson Defensive Rebound.,18,21
8:44,-1,Foul on Kalan Camero.,18,21
8:44,278,Cullen Russo missed Free Throw.,18,21
8:44,-1,Jeremiah Testa Defensive Rebound.,18,21
8:31,-1,Jeremiah Testa missed Layup.,18,21
8:30,278,Bryson Williams Block.,18,21
8:29,278,Bryson Williams Defensive Rebound.,18,21
8:14,278,Bryson Williams missed Jumper.,18,21
8:14,-1,Menlo Defensive Rebound.,18,21
7:54,-1,John Paine missed Three Point Jumper.,18,21
7:54,278,Fresno St Deadball Team Rebound.,18,21
7:54,278,Official TV Timeout,18,21
7:30,-1,Foul on Rosendo AmayaWood.,18,21
7:30,278,Cullen Russo made Free Throw.,18,22
7:30,278,Cullen Russo missed Free Throw.,18,22
7:30,-1,Jared Wall Defensive Rebound.,18,22
7:25,-1,Jared Wall Turnover.,18,22
7:08,278,Cullen Russo missed Jumper.,18,22
7:08,-1,Brad Sawin Defensive Rebound.,18,22
6:53,-1,Rosendo AmayaWood made Layup. Assisted by Anders Nymo.,20,22
6:39,278,Bryson Williams made Dunk. Assisted by Jaron Hopkins.,20,24
6:19,-1,Brad Sawin missed Three Point Jumper.,20,24
6:19,278,Jahmel Taylor Defensive Rebound.,20,24
6:01,278,Jaron Hopkins Turnover.,20,24
5:37,-1,Ben Graham missed Layup.,20,24
5:37,278,Sam Bittner Block.,20,24
5:35,-1,Rosendo AmayaWood Offensive Rebound.,20,24
5:32,-1,Jared Wall made Three Point Jumper. Assisted by Rosendo AmayaWood.,23,24
5:25,278,Jahmel Taylor Turnover.,23,24
5:20,-1,Jared Wall missed Three Point Jumper.,23,24
5:20,278,Paul Watson Defensive Rebound.,23,24
5:14,278,Paul Watson Turnover.,23,24
5:12,-1,Ben Graham made Layup.,25,24
4:52,-1,Foul on Rosendo AmayaWood.,25,24
4:52,278,Paul Watson missed Free Throw.,25,24
4:52,278,Fresno St Deadball Team Rebound.,25,24
4:52,278,Paul Watson made Free Throw.,25,25
4:39,-1,Ben Graham Turnover.,25,25
4:18,278,Paul Watson missed Three Point Jumper.,25,25
4:18,-1,Jeremiah Testa Defensive Rebound.,25,25
4:10,-1,Jared Wall missed Layup.,25,25
4:10,278,Paul Watson Block.,25,25
4:08,278,Jahmel Taylor Defensive Rebound.,25,25
4:05,278,Jaron Hopkins made Dunk. Assisted by Jahmel Taylor.,25,27
3:37,-1,Jeremiah Testa missed Three Point Jumper.,25,27
3:37,278,Terrell Carter II Defensive Rebound.,25,27
3:14,278,Terrell Carter II missed Jumper.,25,27
3:14,-1,Zach Wurm Defensive Rebound.,25,27
3:01,-1,Menlo  Timeout,25,27
3:01,278,Official TV Timeout,25,27
2:55,-1,Zach Wurm made Three Point Jumper. Assisted by Ben Graham.,28,27
2:31,278,Paul Watson missed Three Point Jumper.,28,27
2:31,278,Terrell Carter II Offensive Rebound.,28,27
2:25,278,Terrell Carter II Turnover.,28,27
2:24,-1,Zach Wurm Steal.,28,27
2:17,-1,Ben Graham missed Three Point Jumper.,28,27
2:17,278,Paul Watson Defensive Rebound.,28,27
2:10,278,Paul Watson made Layup.,28,29
1:54,-1,Ben Graham made Three Point Jumper.,31,29
1:35,278,Paul Watson missed Layup.,31,29
1:35,-1,Aric Fredlund Block.,31,29
1:31,-1,Aric Fredlund Defensive Rebound.,31,29
1:18,-1,Ben Graham missed Three Point Jumper.,31,29
1:18,278,Jahmel Taylor Defensive Rebound.,31,29
1:15,-1,Foul on Jared Wall.,31,29
1:15,278,Jahmel Taylor made Free Throw.,31,30
1:15,278,Jahmel Taylor made Free Throw.,31,31
0:51,-1,Jeremiah Testa missed Layup.,31,31
0:51,278,Deshon Taylor Defensive Rebound.,31,31
0:43,278,Paul Watson made Layup.,31,33
0:43,-1,Foul on Kalan Camero.,31,33
0:43,278,Paul Watson made Free Throw.,31,34
0:23,-1,Kalan Camero missed Three Point Jumper.,31,34
0:23,278,Cullen Russo Defensive Rebound.,31,34
0:21,-1,Foul on John Paine.,31,34
0:21,278,Cullen Russo missed Free Throw.,31,34
0:21,278,Fresno St Deadball Team Rebound.,31,34
0:21,278,Cullen Russo made Free Throw.,31,35
0:02,-1,Ben Graham Turnover.,31,35
0:01,278,Cullen Russo Steal.,31,35
0:01,278,Cullen Russo Turnover.,31,35
0:01,-1,Kalan Camero Steal.,31,35
0:01,-1,Kalan Camero made Three Point Jumper.,34,35
0:00,278,End of 1st half,31,35
19:41,278,Cullen Russo missed Layup.,34,35
19:41,278,Bryson Williams Offensive Rebound.,34,35
19:39,278,Bryson Williams made Jumper.,34,37
19:18,-1,Ben Graham missed Jumper.,34,37
19:18,278,Bryson Williams Defensive Rebound.,34,37
19:03,-1,Foul on Rosendo AmayaWood.,34,37
19:03,278,Jahmel Taylor made Free Throw.,34,38
19:03,278,Jahmel Taylor made Free Throw.,34,39
18:44,278,Foul on Jaron Hopkins.,34,39
18:44,-1,Jared Wall made Free Throw.,35,39
18:44,-1,Jared Wall made Free Throw.,36,39
18:44,278,Cullen Russo Turnover.,36,39
18:40,-1,Jared Wall missed Three Point Jumper.,36,39
18:40,-1,John Paine Offensive Rebound.,36,39
18:37,-1,John Paine made Layup.,38,39
18:12,-1,Foul on John Paine.,38,39
18:12,278,Bryson Williams made Free Throw.,38,40
18:12,278,Bryson Williams made Free Throw.,38,41
18:04,-1,William Asplund missed Jumper.,38,41
18:04,278,Cullen Russo Defensive Rebound.,38,41
17:56,278,Jaron Hopkins made Dunk.,38,43
17:41,-1,William Asplund missed Jumper.,38,43
17:41,278,Bryson Williams Defensive Rebound.,38,43
17:12,278,Foul on Paul Watson.,38,43
17:12,278,Paul Watson Turnover.,38,43
16:59,-1,Ben Graham missed Jumper.,38,43
16:59,278,Bryson Williams Block.,38,43
16:58,278,Bryson Williams Defensive Rebound.,38,43
16:50,278,Paul Watson made Dunk. Assisted by Jaron Hopkins.,38,45
16:40,278,Foul on Jahmel Taylor.,38,45
16:37,-1,Jared Wall missed Layup.,38,45
16:37,278,Jahmel Taylor Block.,38,45
16:36,278,Cullen Russo Defensive Rebound.,38,45
16:30,278,Cullen Russo Turnover.,38,45
16:05,-1,Jared Wall missed Three Point Jumper.,38,45
16:05,-1,Ben Graham Offensive Rebound.,38,45
15:59,-1,Menlo  Timeout,38,45
15:48,-1,Zach Wurm missed Jumper.,38,45
15:48,278,Paul Watson Defensive Rebound.,38,45
15:40,278,Jahmel Taylor missed Three Point Jumper.,38,45
15:40,278,Terrell Carter II Offensive Rebound.,38,45
15:35,278,Terrell Carter II made Layup.,38,47
15:35,-1,Foul on William Asplund.,38,47
15:35,278,Official TV Timeout,38,47
15:35,278,Terrell Carter II missed Free Throw.,38,47
15:35,-1,Aric Fredlund Defensive Rebound.,38,47
15:11,-1,Anders Nymo made Three Point Jumper.,41,47
14:46,278,Terrell Carter II made Layup.,41,49
14:26,-1,Aric Fredlund missed Layup.,41,49
14:26,-1,Aric Fredlund Offensive Rebound.,41,49
14:25,278,Foul on Jaron Hopkins.,41,49
14:25,-1,Aric Fredlund missed Free Throw.,41,49
14:25,-1,Menlo Deadball Team Rebound.,41,49
14:25,-1,Aric Fredlund made Free Throw.,42,49
14:02,278,Deshon Taylor made Layup.,42,51
13:47,-1,Jeremiah Testa missed Layup.,42,51
13:47,278,Jaron Hopkins Defensive Rebound.,42,51
13:40,278,Jaron Hopkins made Layup.,42,53
13:22,-1,Jeremiah Testa made Jumper. Assisted by Anders Nymo.,44,53
13:07,278,Jaron Hopkins made Layup.,44,55
12:44,-1,John Paine made Jumper.,46,55
12:32,-1,Foul on Aric Fredlund.,46,55
12:26,278,Deshon Taylor made Layup.,46,57
11:56,-1,Ben Graham Turnover.,46,57
11:55,278,Sam Bittner Steal.,46,57
11:50,-1,Foul on Kalan Camero.,46,57
11:50,278,Official TV Timeout,46,57
11:47,278,Deshon Taylor Turnover.,46,57
11:45,-1,John Paine Steal.,46,57
11:23,-1,Kalan Camero Turnover.,46,57
11:21,278,Deshon Taylor Steal.,46,57
11:16,278,Jaron Hopkins made Dunk. Assisted by Deshon Taylor.,46,59
11:02,-1,Ben Graham missed Three Point Jumper.,46,59
11:02,278,Jaron Hopkins Defensive Rebound.,46,59
10:53,278,Sam Bittner missed Three Point Jumper.,46,59
10:53,278,Terrell Carter II Offensive Rebound.,46,59
10:50,-1,Foul on Michael Hauser.,46,59
10:49,278,Johnny McWilliams missed Jumper.,46,59
10:49,-1,John Paine Defensive Rebound.,46,59
10:32,-1,Michael Hauser missed Layup.,46,59
10:32,278,Sam Bittner Defensive Rebound.,46,59
10:09,278,Jaron Hopkins made Jumper.,46,61
9:47,-1,John Paine missed Jumper.,46,61
9:47,278,Terrell Carter II Defensive Rebound.,46,61
9:30,278,Deshon Taylor missed Three Point Jumper.,46,61
9:30,-1,Michael Hauser Defensive Rebound.,46,61
9:03,278,Foul on Johnny McWilliams.,46,61
9:03,-1,John Paine made Free Throw.,47,61
9:03,-1,John Paine made Free Throw.,48,61
8:34,278,Sam Bittner missed Three Point Jumper.,48,61
8:34,-1,Jared Wall Defensive Rebound.,48,61
8:23,-1,Jared Wall missed Three Point Jumper.,48,61
8:23,-1,Jared Wall Offensive Rebound.,48,61
8:17,-1,Jared Wall made Jumper.,50,61
8:10,-1,Foul on Rosendo AmayaWood.,50,61
8:10,278,Johnny McWilliams made Free Throw.,50,62
8:10,278,Johnny McWilliams made Free Throw.,50,63
7:48,-1,Jared Wall missed Layup.,50,63
7:48,-1,Mikey Eggleton Offensive Rebound.,50,63
7:34,-1,Mikey Eggleton missed Three Point Jumper.,50,63
7:34,278,Jahmel Taylor Defensive Rebound.,50,63
7:30,278,Official TV Timeout,50,63
7:10,278,Nate Grimes missed Jumper.,50,63
7:10,-1,Jeremiah Testa Defensive Rebound.,50,63
6:59,-1,Mikey Eggleton missed Layup.,50,63
6:59,278,Deshon Taylor Block.,50,63
6:58,278,Nate Grimes Defensive Rebound.,50,63
6:47,278,Nate Grimes missed Jumper.,50,63
6:47,278,Nate Grimes Offensive Rebound.,50,63
6:44,278,Nate Grimes made Jumper.,50,65
6:44,-1,Foul on Jeremiah Testa.,50,65
6:44,278,Nate Grimes made Free Throw.,50,66
6:28,-1,Jeremiah Testa missed Layup.,50,66
6:28,278,Jahmel Taylor Defensive Rebound.,50,66
6:17,-1,Foul on William Asplund.,50,66
6:17,278,Nate Grimes missed Free Throw.,50,66
6:17,278,Fresno St Deadball Team Rebound.,50,66
6:17,278,Nate Grimes made Free Throw.,50,67
6:05,-1,Jared Wall made Layup.,52,67
5:49,278,Cullen Russo Turnover.,52,67
5:47,-1,Jeremiah Testa Steal.,52,67
5:44,278,Foul on Johnny McWilliams.,52,67
5:44,-1,Jared Wall missed Free Throw.,52,67
5:44,-1,Menlo Deadball Team Rebound.,52,67
5:44,-1,Jared Wall made Free Throw.,53,67
5:36,278,Jahmel Taylor made Three Point Jumper. Assisted by Johnny McWilliams.,53,70
5:18,278,Foul on Nate Grimes.,53,70
5:18,-1,Rosendo AmayaWood missed Free Throw.,53,70
5:18,-1,Menlo Deadball Team Rebound.,53,70
5:18,-1,Rosendo AmayaWood made Free Throw.,54,70
5:10,278,Nate Grimes missed Layup.,54,70
5:10,278,Johnny McWilliams Offensive Rebound.,54,70
5:07,-1,Foul on Jeremiah Testa.,54,70
5:07,278,Johnny McWilliams missed Free Throw.,54,70
5:07,278,Fresno St Deadball Team Rebound.,54,70
5:07,278,Johnny McWilliams made Free Throw.,54,71
5:01,278,Foul on Jahmel Taylor.,54,71
5:01,-1,Jared Wall made Free Throw.,55,71
5:01,-1,Jared Wall made Free Throw.,56,71
4:46,278,Johnny McWilliams missed Jumper.,56,71
4:46,278,Nate Grimes Offensive Rebound.,56,71
4:38,278,Jahmel Taylor missed Jumper.,56,71
4:38,-1,Ben Graham Defensive Rebound.,56,71
4:29,-1,Foul on Jared Wall.,56,71
4:29,278,Deshon Taylor made Free Throw.,56,72
4:29,278,Deshon Taylor made Free Throw.,56,73
4:14,-1,Jared Wall made Three Point Jumper.,59,73
4:06,-1,Foul on John Paine.,59,73
4:06,278,Deshon Taylor made Free Throw.,59,74
4:06,278,Deshon Taylor made Free Throw.,59,75
3:50,-1,Brad Sawin Turnover.,59,75
3:49,278,Nate Grimes Steal.,59,75
3:46,278,Jahmel Taylor Turnover.,59,75
3:46,278,Official TV Timeout,59,75
3:32,-1,John Paine missed Three Point Jumper.,59,75
3:32,278,Jahmel Taylor Defensive Rebound.,59,75
3:16,278,Deshon Taylor made Three Point Jumper. Assisted by Johnny McWilliams.,59,78
2:52,-1,Tyler Evans missed Three Point Jumper.,59,78
2:52,278,Jahmel Taylor Defensive Rebound.,59,78
2:34,278,Jahmel Taylor missed Three Point Jumper.,59,78
2:34,278,Jahmel Taylor Offensive Rebound.,59,78
2:28,278,Jahmel Taylor Turnover.,59,78
2:12,-1,Michael Hauser missed Jumper.,59,78
2:12,278,Bryson Williams Defensive Rebound.,59,78
2:00,278,Deshon Taylor missed Three Point Jumper.,59,78
2:00,278,Nate Grimes Offensive Rebound.,59,78
1:55,278,Nate Grimes missed Layup.,59,78
1:55,-1,Tyler Evans Defensive Rebound.,59,78
1:47,-1,Ben Graham made Three Point Jumper. Assisted by John Paine.,62,78
1:27,278,Foul on Bryson Williams.,62,78
1:27,278,Bryson Williams Turnover.,62,78
1:16,-1,John Paine made Three Point Jumper. Assisted by Anders Nymo.,65,78
0:58,278,Johnny McWilliams missed Three Point Jumper.,65,78
0:58,-1,Michael Hauser Defensive Rebound.,65,78
0:46,-1,John Paine missed Three Point Jumper.,65,78
0:46,278,Deshon Taylor Defensive Rebound.,65,78
0:23,278,Bryson Williams made Jumper. Assisted by Johnny McWilliams.,65,80
0:13,278,Foul on Deshon Taylor.,65,80
0:13,-1,Anders Nymo made Free Throw.,66,80
0:13,-1,Anders Nymo made Free Throw.,67,80
0:00,278,End of Game,67,80
