South Dakota,140,UMKC,233
8:19,140,Jordan Giles made Three Point Jumper. Assisted by LaVell Boyd.,16,22
8:10,233,Austin Sparks Turnover.,16,22
8:05,140,Jordan Giles Steal.,16,22
8:04,140,Jordan Giles made Layup. Assisted by LaVell Boyd.,16,24
8:02,233,South Dakota  Timeout,16,24
7:46,233,Matt Mooney missed Three Point Jumper.,16,24
7:46,233,Austin Sparks Offensive Rebound.,16,24
7:41,233,Austin Sparks missed Layup.,16,24
7:41,233,Carlton Hurst Offensive Rebound.,16,24
7:40,140,Foul on Jordan Giles.,16,24
7:40,233,Carlton Hurst missed Free Throw.,16,24
7:40,233,South Dakota Deadball Team Rebound.,16,24
7:40,233,Carlton Hurst missed Free Throw.,16,24
7:40,140,Broderick Robinson Defensive Rebound.,16,24
7:35,140,LaVell Boyd made Three Point Jumper. Assisted by Broderick Robinson.,16,27
7:21,233,Triston Simpson missed Three Point Jumper.,16,27
7:21,140,UMKC Defensive Rebound.,16,27
6:56,140,LaVell Boyd made Layup.,16,29
6:37,233,Matt Mooney missed Jumper.,16,29
6:37,140,Darnell Tillman Defensive Rebound.,16,29
6:23,140,Jordan Giles missed Jumper.,16,29
6:23,233,Trey Dickerson Defensive Rebound.,16,29
5:57,233,Trey Dickerson missed Three Point Jumper.,16,29
5:57,140,Jordan Giles Defensive Rebound.,16,29
5:49,140,Grant Leach made Three Point Jumper. Assisted by Darnell Tillman.,16,32
5:46,233,South Dakota  Timeout,16,32
5:30,233,Tyler Flack missed Jumper.,16,32
5:30,140,Broderick Newbill Defensive Rebound.,16,32
5:28,233,Foul on Tyler Peterson.,16,32
5:28,140,Broderick Newbill missed Free Throw.,16,32
5:28,140,UMKC Deadball Team Rebound.,16,32
5:28,140,Broderick Newbill missed Free Throw.,16,32
5:28,233,Trey Burch-Manning Defensive Rebound.,16,32
5:13,140,Foul on Kyle Steward.,16,32
5:13,233,Trey Burch-Manning made Free Throw.,17,32
5:13,233,Trey Burch-Manning made Free Throw.,18,32
5:07,140,Duane Clark made Dunk. Assisted by LaVell Boyd.,18,34
4:48,233,Triston Simpson Turnover.,18,34
4:31,140,Xavier Bishop missed Three Point Jumper.,18,34
4:31,233,Tyler Flack Defensive Rebound.,18,34
4:17,233,Carlton Hurst made Jumper.,20,34
3:44,140,LaVell Boyd missed Jumper.,20,34
3:44,233,Tyler Flack Defensive Rebound.,20,34
3:21,140,Foul on Grant Leach.,20,34
3:21,140,Official TV Timeout,20,34
3:21,233,Brandon Armstrong made Free Throw.,21,34
3:21,233,Brandon Armstrong made Free Throw.,22,34
3:17,233,Foul on Trey Dickerson.,22,34
3:17,140,Xavier Bishop made Free Throw.,22,35
3:17,140,Xavier Bishop made Free Throw.,22,36
2:58,233,Dan Jech made Three Point Jumper. Assisted by Carlton Hurst.,25,36
2:26,233,Foul on Brandon Armstrong.,25,36
2:26,140,Dashawn King missed Free Throw.,25,36
2:26,140,UMKC Deadball Team Rebound.,25,36
2:26,140,Dashawn King made Free Throw.,25,37
2:03,140,Foul on Xavier Bishop.,25,37
2:03,233,Carlton Hurst made Free Throw.,26,37
2:03,233,Carlton Hurst made Free Throw.,27,37
1:33,140,UMKC  Turnover.,27,37
1:20,233,Dan Jech missed Three Point Jumper.,27,37
1:20,140,Dashawn King Defensive Rebound.,27,37
1:08,140,Isaiah Ross made Three Point Jumper. Assisted by Duane Clark.,27,40
0:54,233,Carlton Hurst missed Three Point Jumper.,27,40
0:54,140,Xavier Bishop Defensive Rebound.,27,40
0:45,140,Dashawn King made Layup.,27,42
0:44,233,Foul on Matt Mooney.,27,42
0:44,140,Dashawn King made Free Throw.,27,43
0:31,233,Trey Dickerson missed Layup.,27,43
0:31,140,Jordan Giles Block.,27,43
0:29,233,Trey Dickerson Offensive Rebound.,27,43
0:28,233,Brandon Armstrong made Three Point Jumper. Assisted by Trey Dickerson.,30,43
0:18,233,Foul on Trey Dickerson.,30,43
0:18,140,Xavier Bishop made Free Throw.,30,44
0:18,140,Xavier Bishop made Free Throw.,30,45
0:05,233,Trey Dickerson made Three Point Jumper.,33,45
0:00,140,End of 1st half,33,45
19:36,140,LaVell Boyd missed Three Point Jumper.,33,45
19:36,233,Tyler Flack Defensive Rebound.,33,45
19:27,233,Trey Dickerson made Layup.,35,45
19:11,140,Broderick Robinson Turnover.,35,45
19:02,140,Foul on Dashawn King.,35,45
18:49,233,Trey Burch-Manning missed Jumper.,35,45
18:49,140,Dashawn King Defensive Rebound.,35,45
18:35,140,Kyle Steward made Three Point Jumper. Assisted by LaVell Boyd.,35,48
18:13,140,Foul on LaVell Boyd.,35,48
18:10,233,Trey Dickerson missed Three Point Jumper.,35,48
18:10,233,Carlton Hurst Offensive Rebound.,35,48
18:06,233,Carlton Hurst made Layup.,37,48
17:31,140,LaVell Boyd missed Layup.,37,48
17:31,233,Carlton Hurst Defensive Rebound.,37,48
17:24,233,Trey Dickerson made Layup.,39,48
17:24,140,Foul on Kyle Steward.,39,48
17:24,233,Trey Dickerson made Free Throw.,40,48
17:09,140,Broderick Robinson made Jumper.,40,50
16:42,140,Foul on Darnell Tillman.,40,50
16:42,233,Trey Dickerson made Free Throw.,41,50
16:42,233,Trey Dickerson made Free Throw.,42,50
16:23,140,Broderick Newbill made Layup. Assisted by Duane Clark.,42,52
16:22,233,Foul on Trey Burch-Manning.,42,52
16:22,140,Broderick Newbill made Free Throw.,42,53
16:06,233,Matt Mooney made Jumper.,44,53
15:50,140,Duane Clark Turnover.,44,53
15:48,233,Tyler Flack Steal.,44,53
15:45,233,Matt Mooney made Three Point Jumper. Assisted by Tyler Flack.,47,53
15:33,140,Broderick Robinson missed Jumper.,47,53
15:33,140,Broderick Newbill Offensive Rebound.,47,53
15:29,140,Broderick Newbill made Layup.,47,55
15:29,140,UMKC  Timeout,47,55
15:15,233,Trey Dickerson missed Three Point Jumper.,47,55
15:15,140,Broderick Newbill Defensive Rebound.,47,55
15:06,140,Xavier Bishop missed Layup.,47,55
15:06,233,Matt Mooney Block.,47,55
15:06,140,UMKC Offensive Rebound.,47,55
15:05,140,Official TV Timeout,47,55
14:49,233,Foul on Trey Dickerson.,47,55
14:36,140,Broderick Newbill made Layup. Assisted by Xavier Bishop.,47,57
14:23,140,Foul on Broderick Newbill.,47,57
14:23,233,Trey Burch-Manning made Free Throw.,48,57
14:23,233,Trey Burch-Manning missed Free Throw.,48,57
14:23,140,Broderick Newbill Defensive Rebound.,48,57
14:14,140,Broderick Robinson missed Three Point Jumper.,48,57
14:14,233,Brandon Armstrong Defensive Rebound.,48,57
14:04,233,Tyler Flack missed Jumper.,48,57
14:04,233,Trey Burch-Manning Offensive Rebound.,48,57
14:02,233,Trey Burch-Manning made Dunk.,50,57
13:44,140,Duane Clark missed Jumper.,50,57
13:44,233,Tyler Flack Defensive Rebound.,50,57
13:38,233,Tyler Peterson missed Layup.,50,57
13:38,140,Duane Clark Block.,50,57
13:34,233,Trey Burch-Manning Offensive Rebound.,50,57
13:25,233,Brandon Armstrong made Three Point Jumper. Assisted by Trey Burch-Manning.,53,57
13:11,140,Xavier Bishop missed Jumper.,53,57
13:11,233,Trey Burch-Manning Defensive Rebound.,53,57
13:02,233,Brandon Armstrong missed Layup.,53,57
13:02,140,Duane Clark Block.,53,57
13:02,233,South Dakota Offensive Rebound.,53,57
12:55,233,Matt Mooney missed Jumper.,53,57
12:55,140,Isaiah Ross Defensive Rebound.,53,57
12:45,140,Isaiah Ross made Three Point Jumper. Assisted by LaVell Boyd.,53,60
12:27,140,Foul on Kyle Steward.,53,60
12:27,233,Trey Burch-Manning made Free Throw.,54,60
12:27,233,Trey Burch-Manning missed Free Throw.,54,60
12:27,140,LaVell Boyd Defensive Rebound.,54,60
12:13,140,Isaiah Ross made Layup.,54,62
12:13,233,Foul on Dan Jech.,54,62
12:13,140,Isaiah Ross made Free Throw.,54,63
12:10,140,Foul on Isaiah Ross.,54,63
12:10,233,Trey Burch-Manning made Free Throw.,55,63
12:10,233,Trey Burch-Manning made Free Throw.,56,63
11:50,140,Jordan Giles Turnover.,56,63
11:49,233,Carlton Hurst Steal.,56,63
11:46,233,Carlton Hurst missed Layup.,56,63
11:46,140,Jordan Giles Defensive Rebound.,56,63
11:37,140,Foul on Darnell Tillman.,56,63
11:37,233,Foul on Dan Jech.,56,63
11:37,140,Official TV Timeout,56,63
11:29,140,LaVell Boyd made Layup.,56,65
11:07,233,Carlton Hurst missed Layup.,56,65
11:07,233,Carlton Hurst Offensive Rebound.,56,65
11:02,233,Carlton Hurst missed Two Point Tip Shot.,56,65
11:02,233,Trey Burch-Manning Offensive Rebound.,56,65
10:58,233,Trey Burch-Manning made Two Point Tip Shot.,58,65
10:46,140,Xavier Bishop missed Layup.,58,65
10:46,140,Jordan Giles Offensive Rebound.,58,65
10:36,140,Xavier Bishop missed Three Point Jumper.,58,65
10:36,140,Darnell Tillman Offensive Rebound.,58,65
10:33,140,Darnell Tillman made Two Point Tip Shot.,58,67
10:14,233,Trey Burch-Manning made Jumper.,60,67
10:03,140,Isaiah Ross made Three Point Jumper. Assisted by Xavier Bishop.,60,70
9:45,233,Carlton Hurst made Layup. Assisted by Trey Dickerson.,62,70
9:44,140,Foul on Isaiah Ross.,62,70
9:44,233,Carlton Hurst made Free Throw.,63,70
9:39,140,Isaiah Ross missed Three Point Jumper.,63,70
9:39,140,Darnell Tillman Offensive Rebound.,63,70
9:14,233,Foul on Carlton Hurst.,63,70
9:12,140,LaVell Boyd missed Three Point Jumper.,63,70
9:12,233,Tyler Flack Defensive Rebound.,63,70
9:09,140,Foul on Darnell Tillman.,63,70
9:09,233,Tyler Flack made Free Throw.,64,70
9:09,233,Tyler Flack made Free Throw.,65,70
8:51,140,LaVell Boyd missed Three Point Jumper.,65,70
8:51,233,South Dakota Deadball Team Rebound.,65,70
8:50,140,Foul on Broderick Robinson.,65,70
8:50,233,Trey Dickerson missed Free Throw.,65,70
8:50,233,South Dakota Deadball Team Rebound.,65,70
8:50,233,Trey Dickerson made Free Throw.,66,70
8:31,140,Duane Clark missed Jumper.,66,70
8:31,233,Tyler Peterson Defensive Rebound.,66,70
8:19,140,Foul on Duane Clark.,66,70
8:19,233,Tyler Flack made Free Throw.,67,70
8:19,233,Tyler Flack made Free Throw.,68,70
7:56,140,LaVell Boyd missed Layup.,68,70
7:55,140,Broderick Newbill Offensive Rebound.,68,70
7:54,233,Foul on Tyler Hagedorn.,68,70
7:54,140,Official TV Timeout,68,70
7:48,140,Broderick Robinson made Three Point Jumper. Assisted by LaVell Boyd.,68,73
7:31,233,Tyler Flack missed Three Point Jumper.,68,73
7:31,140,Broderick Newbill Defensive Rebound.,68,73
7:24,233,Foul on Trey Burch-Manning.,68,73
7:24,140,LaVell Boyd missed Free Throw.,68,73
7:24,233,Tyler Hagedorn Defensive Rebound.,68,73
7:15,233,Trey Dickerson missed Three Point Jumper.,68,73
7:15,140,Dashawn King Defensive Rebound.,68,73
7:04,140,Foul on Duane Clark.,68,73
7:04,140,Duane Clark Turnover.,68,73
6:47,233,Tyler Flack Turnover.,68,73
6:45,140,Broderick Robinson Steal.,68,73
6:38,140,LaVell Boyd missed Layup.,68,73
6:38,233,Tyler Flack Defensive Rebound.,68,73
6:24,233,Trey Dickerson missed Layup.,68,73
6:24,140,Dashawn King Block.,68,73
6:24,233,South Dakota Offensive Rebound.,68,73
6:20,233,Matt Mooney made Jumper.,70,73
5:59,233,Foul on Trey Dickerson.,70,73
5:59,140,Broderick Robinson made Free Throw.,70,74
5:59,140,Broderick Robinson missed Free Throw.,70,74
5:59,233,Carlton Hurst Defensive Rebound.,70,74
5:47,140,Foul on Broderick Robinson.,70,74
5:47,233,Matt Mooney missed Free Throw.,70,74
5:47,233,South Dakota Deadball Team Rebound.,70,74
5:47,233,Matt Mooney made Free Throw.,71,74
5:27,140,Dashawn King missed Jumper.,71,74
5:27,140,Darnell Tillman Offensive Rebound.,71,74
5:23,140,Darnell Tillman made Jumper.,71,76
5:12,233,Carlton Hurst missed Three Point Jumper.,71,76
5:12,140,UMKC Deadball Team Rebound.,71,76
5:12,233,Foul on Tyler Flack.,71,76
5:12,140,Darnell Tillman missed Free Throw.,71,76
5:12,233,Tyler Flack Defensive Rebound.,71,76
5:02,233,Trey Burch-Manning Turnover.,71,76
5:02,140,Broderick Newbill Steal.,71,76
4:44,140,Broderick Robinson missed Three Point Jumper.,71,76
4:44,233,Tyler Flack Defensive Rebound.,71,76
4:34,233,Foul on Trey Burch-Manning.,71,76
4:34,233,Trey Burch-Manning Turnover.,71,76
4:22,140,Jordan Giles missed Layup.,71,76
4:22,233,Tyler Flack Block.,71,76
4:20,233,Tyler Flack Defensive Rebound.,71,76
4:19,140,Foul on Dashawn King.,71,76
4:19,233,Matt Mooney made Free Throw.,72,76
4:19,233,Matt Mooney made Free Throw.,73,76
4:02,140,Jordan Giles missed Three Point Jumper.,73,76
4:02,233,South Dakota Defensive Rebound.,73,76
3:56,140,Official TV Timeout,73,76
3:41,233,Matt Mooney missed Three Point Jumper.,73,76
3:41,140,Isaiah Ross Defensive Rebound.,73,76
3:32,140,LaVell Boyd missed Three Point Jumper.,73,76
3:32,233,Brandon Armstrong Defensive Rebound.,73,76
3:05,233,Trey Dickerson made Layup.,75,76
2:57,233,Foul on Trey Dickerson.,75,76
2:57,140,LaVell Boyd made Free Throw.,75,77
2:57,140,LaVell Boyd missed Free Throw.,75,77
2:57,233,Carlton Hurst Defensive Rebound.,75,77
2:38,233,Matt Mooney made Jumper.,77,77
2:23,140,Broderick Robinson Turnover.,77,77
2:12,140,Foul on Broderick Robinson.,77,77
2:12,233,Matt Mooney made Free Throw.,78,77
2:12,233,Matt Mooney missed Free Throw.,78,77
2:12,140,Broderick Newbill Defensive Rebound.,78,77
2:01,140,Broderick Newbill missed Jumper.,78,77
2:01,233,Carlton Hurst Defensive Rebound.,78,77
1:36,233,Foul on Tyler Flack.,78,77
1:36,233,Tyler Flack Turnover.,78,77
1:36,140,UMKC  Timeout,78,77
1:20,140,LaVell Boyd made Layup.,78,79
1:05,233,Matt Mooney missed Jumper.,78,79
1:05,140,Kyle Steward Defensive Rebound.,78,79
0:37,140,LaVell Boyd made Three Point Jumper. Assisted by Kyle Steward.,78,82
0:36,140,UMKC  Timeout,78,82
0:28,233,Matt Mooney made Three Point Jumper.,81,82
0:26,233,South Dakota  Timeout,81,82
0:25,233,Foul on Carlton Hurst.,81,82
0:25,140,LaVell Boyd missed Free Throw.,81,82
0:25,140,UMKC Deadball Team Rebound.,81,82
0:25,140,LaVell Boyd made Free Throw.,81,83
0:14,140,Foul on Kyle Steward.,81,83
0:14,233,Matt Mooney missed Free Throw.,81,83
0:14,233,South Dakota Deadball Team Rebound.,81,83
0:14,233,Matt Mooney made Free Throw.,82,83
0:14,233,South Dakota  Timeout,82,83
0:13,140,Jordan Giles Turnover.,82,83
0:11,233,Carlton Hurst Steal.,82,83
0:09,233,Carlton Hurst missed Layup.,82,83
0:09,233,Brandon Armstrong Offensive Rebound.,82,83
0:08,233,Brandon Armstrong missed Layup.,82,83
0:08,140,Broderick Robinson Defensive Rebound.,82,83
0:08,233,Foul on Triston Simpson.,82,83
0:08,140,Broderick Robinson missed Free Throw.,82,83
0:08,140,UMKC Deadball Team Rebound.,82,83
0:08,140,Broderick Robinson made Free Throw.,82,84
0:01,233,Matt Mooney missed Three Point Jumper.,82,84
0:01,233,Triston Simpson Offensive Rebound.,82,84
0:00,140,End of Game,82,84
