Siena,179,St. Bonaventure,2561
14:29,2561,Marquis Wright made Layup. Assisted by Nico Clareth.,8,10
14:20,179,Matt Mobley made Three Point Jumper. Assisted by Denzel Gregg.,8,13
14:02,2561,Marquis Wright missed Jumper.,8,13
14:02,179,Amadi Ikpeze Defensive Rebound.,8,13
13:56,179,Matt Mobley missed Three Point Jumper.,8,13
13:56,2561,Siena Defensive Rebound.,8,13
13:28,2561,Javion Ogunyemi made Layup. Assisted by Lavon Long.,10,13
13:09,179,David Andoh missed Jumper.,10,13
13:09,2561,Javion Ogunyemi Defensive Rebound.,10,13
13:01,2561,Lavon Long missed Layup.,10,13
13:01,179,Denzel Gregg Block.,10,13
13:01,2561,Siena Offensive Rebound.,10,13
12:57,2561,Lavon Long missed Jumper.,10,13
12:57,2561,Sammy Friday Offensive Rebound.,10,13
12:53,2561,Sammy Friday missed Dunk.,10,13
12:53,179,LaDarien Griffin Defensive Rebound.,10,13
12:45,179,Jaylen Adams Turnover.,10,13
12:44,2561,Sammy Friday Steal.,10,13
12:43,179,Foul on LaDarien Griffin.,10,13
12:43,2561,Sammy Friday made Free Throw.,11,13
12:43,2561,Sammy Friday made Free Throw.,12,13
12:30,179,Matt Mobley Turnover.,12,13
12:11,2561,Marquis Wright Turnover.,12,13
12:09,179,LaDarien Griffin Steal.,12,13
11:59,179,LaDarien Griffin missed Three Point Jumper.,12,13
11:59,179,St. Bonaventure Offensive Rebound.,12,13
11:57,179,Official TV Timeout,12,13
11:56,179,Matt Mobley missed Three Point Jumper.,12,13
11:56,2561,Marquis Wright Defensive Rebound.,12,13
11:49,2561,Nico Clareth made Layup. Assisted by Marquis Wright.,14,13
11:46,179,Denzel Gregg Turnover.,14,13
11:32,2561,Marquis Wright Turnover.,14,13
11:31,179,Idris Taqqee Steal.,14,13
11:28,179,Idris Taqqee Turnover.,14,13
11:27,2561,Ahsante Shivers Steal.,14,13
11:21,2561,Marquis Wright missed Jumper.,14,13
11:21,2561,Brett Bisping Offensive Rebound.,14,13
11:17,2561,Brett Bisping made Jumper.,16,13
11:01,179,Idris Taqqee missed Layup.,16,13
11:01,179,Denzel Gregg Offensive Rebound.,16,13
10:59,179,Denzel Gregg made Two Point Tip Shot.,16,15
10:55,2561,Javion Ogunyemi Turnover.,16,15
10:40,179,Jaylen Adams made Three Point Jumper.,16,18
10:29,2561,Nico Clareth Turnover.,16,18
10:29,179,Idris Taqqee Steal.,16,18
10:12,179,Matt Mobley made Layup.,16,20
9:46,179,Foul on Idris Taqqee.,16,20
9:41,179,Foul on Denzel Gregg.,16,20
9:37,2561,Evan Fisher missed Three Point Jumper.,16,20
9:37,2561,Javion Ogunyemi Offensive Rebound.,16,20
9:32,2561,Javion Ogunyemi made Layup.,18,20
9:21,2561,Foul on Nico Clareth.,18,20
9:21,179,Matt Mobley made Free Throw.,18,21
9:21,179,Matt Mobley made Free Throw.,18,22
9:02,2561,Marquis Wright made Three Point Jumper. Assisted by Lavon Long.,21,22
8:50,179,Jaylen Adams missed Jumper.,21,22
8:50,179,Jaylen Adams Offensive Rebound.,21,22
8:45,179,Jaylen Adams made Jumper.,21,24
8:32,2561,Marquis Wright missed Layup.,21,24
8:32,179,David Andoh Block.,21,24
8:30,179,David Andoh Defensive Rebound.,21,24
8:23,179,Matt Mobley missed Three Point Jumper.,21,24
8:23,2561,Siena Defensive Rebound.,21,24
8:08,2561,Foul on Evan Fisher.,21,24
8:08,2561,Evan Fisher Turnover.,21,24
7:55,179,Jaylen Adams missed Jumper.,21,24
7:55,179,Josh Ayeni Offensive Rebound.,21,24
7:48,179,Jaylen Adams missed Layup.,21,24
7:48,2561,Lavon Long Block.,21,24
7:45,2561,Lavon Long Defensive Rebound.,21,24
7:38,2561,Khalil Richard missed Three Point Jumper.,21,24
7:38,179,Denzel Gregg Defensive Rebound.,21,24
7:25,2561,Foul on Lavon Long.,21,24
7:25,179,Official TV Timeout,21,24
7:25,179,David Andoh missed Free Throw.,21,24
7:25,179,St. Bonaventure Deadball Team Rebound.,21,24
7:25,179,David Andoh made Free Throw.,21,25
7:07,2561,Brett Bisping made Three Point Jumper. Assisted by Marquis Wright.,24,25
6:52,179,Denzel Gregg missed Jumper.,24,25
6:52,179,Denzel Gregg Offensive Rebound.,24,25
6:47,179,David Andoh made Jumper. Assisted by Denzel Gregg.,24,27
6:33,2561,Javion Ogunyemi missed Jumper.,24,27
6:33,179,Denzel Gregg Block.,24,27
6:31,179,Tareq Coburn Defensive Rebound.,24,27
6:24,179,David Andoh made Jumper. Assisted by Matt Mobley.,24,29
6:16,2561,Siena  Timeout,24,29
6:05,2561,Nico Clareth missed Jumper.,24,29
6:05,179,St. Bonaventure Defensive Rebound.,24,29
5:50,179,David Andoh missed Jumper.,24,29
5:50,2561,Brett Bisping Defensive Rebound.,24,29
5:39,2561,Marquis Wright missed Three Point Jumper.,24,29
5:39,2561,Lavon Long Offensive Rebound.,24,29
5:35,2561,Lavon Long missed Two Point Tip Shot.,24,29
5:35,179,Denzel Gregg Defensive Rebound.,24,29
5:25,179,Jaylen Adams missed Three Point Jumper.,24,29
5:25,179,Denzel Gregg Offensive Rebound.,24,29
5:22,2561,Foul on Lavon Long.,24,29
5:08,179,Jaylen Adams missed Three Point Jumper.,24,29
5:08,179,David Andoh Offensive Rebound.,24,29
4:59,179,Matt Mobley missed Three Point Jumper.,24,29
4:59,2561,Marquis Wright Defensive Rebound.,24,29
4:54,2561,Marquis Wright Turnover.,24,29
4:49,179,Jaylen Adams made Jumper.,24,31
4:35,2561,Ahsante Shivers missed Layup.,24,31
4:35,2561,Brett Bisping Offensive Rebound.,24,31
4:31,179,Josh Ayeni Block.,24,31
4:31,2561,Brett Bisping missed Layup.,24,31
4:31,2561,Brett Bisping Offensive Rebound.,24,31
4:30,2561,Brett Bisping made Free Throw.,25,31
4:30,2561,Brett Bisping made Layup.,27,31
4:30,179,Foul on Jaylen Adams.,27,31
4:13,179,Jaylen Adams Turnover.,27,31
4:00,2561,Nico Clareth missed Jumper.,27,31
4:00,2561,Brett Bisping Offensive Rebound.,27,31
3:56,2561,Siena  Timeout,27,31
3:56,179,Official TV Timeout,27,31
3:51,179,Foul on Josh Ayeni.,27,31
3:51,2561,Javion Ogunyemi missed Free Throw.,27,31
3:51,2561,Siena Deadball Team Rebound.,27,31
3:51,2561,Javion Ogunyemi missed Free Throw.,27,31
3:51,179,Matt Mobley Defensive Rebound.,27,31
3:40,179,Foul on Matt Mobley.,27,31
3:40,179,Matt Mobley Turnover.,27,31
3:33,2561,Marquis Wright made Jumper. Assisted by Brett Bisping.,29,31
3:21,179,Denzel Gregg made Layup.,29,33
3:11,2561,Brett Bisping made Three Point Jumper. Assisted by Marquis Wright.,32,33
2:52,2561,Foul on Javion Ogunyemi.,32,33
2:52,179,Denzel Gregg made Free Throw.,32,34
2:52,179,Denzel Gregg made Free Throw.,32,35
2:41,179,Foul on Josh Ayeni.,32,35
2:41,2561,Javion Ogunyemi missed Free Throw.,32,35
2:41,179,Denzel Gregg Defensive Rebound.,32,35
2:28,179,David Andoh Turnover.,32,35
2:16,2561,Marquis Wright missed Three Point Jumper.,32,35
2:12,2561,Siena Offensive Rebound.,32,35
2:00,2561,Foul on Willem Brandwijk.,32,35
2:00,2561,Willem Brandwijk Turnover.,32,35
1:48,179,Jaylen Adams made Jumper.,32,37
1:35,2561,Brett Bisping Turnover.,32,37
1:10,179,Denzel Gregg missed Layup.,32,37
1:10,179,David Andoh Offensive Rebound.,32,37
1:08,179,David Andoh missed Jumper.,32,37
1:08,2561,Willem Brandwijk Defensive Rebound.,32,37
1:04,2561,Foul on Brett Bisping.,32,37
1:04,2561,Brett Bisping Turnover.,32,37
0:43,179,Denzel Gregg missed Jumper.,32,37
0:43,179,St. Bonaventure Offensive Rebound.,32,37
0:40,179,St. Bonaventure  Timeout,32,37
0:18,179,Jaylen Adams made Layup.,32,39
0:03,179,Foul on Denzel Gregg.,32,39
0:03,2561,Nico Clareth made Free Throw.,33,39
0:03,2561,Nico Clareth made Free Throw.,34,39
0:00,179,Jaylen Adams missed Three Point Jumper.,34,39
0:00,2561,Siena Deadball Team Rebound.,34,39
0:00,179,Official TV Timeout,34,39
0:00,179,End of 1st half,34,39
19:40,179,Denzel Gregg made Jumper.,34,41
19:20,179,Foul on Josh Ayeni.,34,41
19:20,2561,Ahsante Shivers missed Free Throw.,34,41
19:20,2561,Siena Deadball Team Rebound.,34,41
19:20,2561,Ahsante Shivers made Free Throw.,35,41
19:20,179,Denzel Gregg Turnover.,35,41
19:09,2561,Brett Bisping missed Three Point Jumper.,35,41
19:09,179,Matt Mobley Defensive Rebound.,35,41
19:05,2561,Foul on Lavon Long.,35,41
18:43,2561,Foul on Brett Bisping.,35,41
18:41,179,Denzel Gregg missed Jumper.,35,41
18:41,2561,Marquis Wright Defensive Rebound.,35,41
18:35,179,Foul on Denzel Gregg.,35,41
18:31,2561,Javion Ogunyemi missed Jumper.,35,41
18:31,179,David Andoh Defensive Rebound.,35,41
18:23,179,David Andoh missed Jumper.,35,41
18:23,179,Amadi Ikpeze Offensive Rebound.,35,41
18:20,2561,Foul on Javion Ogunyemi.,35,41
17:54,179,Amadi Ikpeze missed Layup.,35,41
17:54,2561,Ahsante Shivers Defensive Rebound.,35,41
17:40,2561,Foul on Willem Brandwijk.,35,41
17:40,2561,Willem Brandwijk Turnover.,35,41
17:29,179,David Andoh made Jumper. Assisted by Matt Mobley.,35,43
17:15,179,Foul on Amadi Ikpeze.,35,43
17:07,2561,Marquis Wright missed Layup.,35,43
17:07,2561,Brett Bisping Offensive Rebound.,35,43
17:01,179,Foul on David Andoh.,35,43
17:01,2561,Brett Bisping made Free Throw.,36,43
17:01,2561,Brett Bisping made Free Throw.,37,43
17:00,179,David Andoh Turnover.,37,43
16:59,2561,Brett Bisping Steal.,37,43
16:58,2561,Brett Bisping made Layup.,39,43
16:53,179,Matt Mobley made Layup.,39,45
16:30,2561,Marquis Wright missed Jumper.,39,45
16:30,179,Idris Taqqee Defensive Rebound.,39,45
16:24,179,Idris Taqqee Turnover.,39,45
16:24,2561,Brett Bisping Steal.,39,45
16:20,2561,Ahsante Shivers missed Three Point Jumper.,39,45
16:20,2561,Javion Ogunyemi Offensive Rebound.,39,45
16:15,179,Foul on Idris Taqqee.,39,45
16:15,2561,Javion Ogunyemi missed Free Throw.,39,45
16:15,179,Matt Mobley Defensive Rebound.,39,45
16:14,2561,Javion Ogunyemi made Jumper.,41,45
16:01,179,Matt Mobley missed Jumper.,41,45
16:01,2561,Ahsante Shivers Defensive Rebound.,41,45
15:38,2561,Marquis Wright missed Three Point Jumper.,41,45
15:38,2561,Brett Bisping Offensive Rebound.,41,45
15:30,2561,Nico Clareth made Jumper.,43,45
15:14,179,David Andoh made Jumper. Assisted by Jaylen Adams.,43,47
14:57,2561,Marquis Wright missed Layup.,43,47
14:57,179,Matt Mobley Block.,43,47
14:54,179,David Andoh Defensive Rebound.,43,47
14:44,179,Idris Taqqee made Layup.,43,49
14:25,2561,Nico Clareth missed Three Point Jumper.,43,49
14:25,179,Jaylen Adams Defensive Rebound.,43,49
14:11,2561,Foul on Nico Clareth.,43,49
14:11,179,Official TV Timeout,43,49
14:11,179,Jaylen Adams made Free Throw.,43,50
14:11,179,Jaylen Adams made Free Throw.,43,51
14:11,179,Jaylen Adams made Free Throw.,43,52
14:03,179,Foul on Amadi Ikpeze.,43,52
14:03,2561,Javion Ogunyemi missed Free Throw.,43,52
14:03,2561,Siena Deadball Team Rebound.,43,52
14:03,2561,Javion Ogunyemi made Free Throw.,44,52
13:44,179,Matt Mobley missed Jumper.,44,52
13:44,2561,Javion Ogunyemi Defensive Rebound.,44,52
13:36,2561,Nico Clareth missed Three Point Jumper.,44,52
13:36,2561,Javion Ogunyemi Offensive Rebound.,44,52
13:28,2561,Javion Ogunyemi Turnover.,44,52
13:28,179,Matt Mobley Steal.,44,52
13:15,179,Jaylen Adams missed Layup.,44,52
13:15,2561,Brett Bisping Defensive Rebound.,44,52
13:04,2561,Marquis Wright Turnover.,44,52
13:02,179,Idris Taqqee Steal.,44,52
12:58,179,Matt Mobley made Dunk. Assisted by Idris Taqqee.,44,54
12:51,179,Foul on Jaylen Adams.,44,54
12:51,2561,Marquis Wright made Free Throw.,45,54
12:51,2561,Marquis Wright made Free Throw.,46,54
12:29,179,Idris Taqqee missed Jumper.,46,54
12:29,2561,Lavon Long Defensive Rebound.,46,54
12:20,2561,Brett Bisping made Jumper.,48,54
12:20,179,Foul on Jaylen Adams.,48,54
12:20,2561,Brett Bisping made Free Throw.,49,54
12:03,179,Idris Taqqee missed Layup.,49,54
12:03,2561,Javion Ogunyemi Block.,49,54
12:01,2561,Brett Bisping Defensive Rebound.,49,54
11:44,2561,Brett Bisping missed Layup.,49,54
11:44,179,David Andoh Defensive Rebound.,49,54
11:34,179,Jaylen Adams missed Jumper.,49,54
11:34,2561,Brett Bisping Defensive Rebound.,49,54
11:06,179,Foul on Idris Taqqee.,49,54
11:06,179,Official TV Timeout,49,54
11:06,2561,Lavon Long missed Free Throw.,49,54
11:06,2561,Siena Deadball Team Rebound.,49,54
11:06,2561,Lavon Long missed Free Throw.,49,54
11:06,179,Amadi Ikpeze Defensive Rebound.,49,54
10:44,179,Denzel Gregg made Jumper. Assisted by Jaylen Adams.,49,56
10:42,2561,Foul on Lavon Long.,49,56
10:42,179,Denzel Gregg missed Free Throw.,49,56
10:42,2561,Brett Bisping Defensive Rebound.,49,56
10:27,2561,Javion Ogunyemi missed Layup.,49,56
10:27,2561,Brett Bisping Offensive Rebound.,49,56
10:22,2561,Brett Bisping missed Two Point Tip Shot.,49,56
10:22,179,Matt Mobley Defensive Rebound.,49,56
10:16,179,Denzel Gregg missed Jumper.,49,56
10:16,2561,Siena Defensive Rebound.,49,56
10:12,179,Foul on Amadi Ikpeze.,49,56
10:12,2561,Brett Bisping missed Free Throw.,49,56
10:12,2561,Siena Deadball Team Rebound.,49,56
10:12,2561,Brett Bisping made Free Throw.,50,56
9:57,179,Jaylen Adams made Layup.,50,58
9:45,179,Foul on Amadi Ikpeze.,50,58
9:45,2561,Marquis Wright made Free Throw.,51,58
9:45,2561,Marquis Wright made Free Throw.,52,58
9:22,179,Jaylen Adams made Three Point Jumper.,52,61
8:58,2561,Nico Clareth missed Jumper.,52,61
8:58,179,Jaylen Adams Defensive Rebound.,52,61
8:50,2561,Foul on Nico Clareth.,52,61
8:50,179,Jaylen Adams made Free Throw.,52,62
8:50,179,Jaylen Adams made Free Throw.,52,63
8:39,2561,Nico Clareth made Three Point Jumper. Assisted by Marquis Wright.,55,63
8:05,179,Josh Ayeni made Layup. Assisted by Jaylen Adams.,55,65
7:50,2561,Nico Clareth missed Jumper.,55,65
7:50,179,St. Bonaventure Defensive Rebound.,55,65
7:46,179,Official TV Timeout,55,65
7:18,179,Matt Mobley missed Three Point Jumper.,55,65
7:18,2561,Lavon Long Defensive Rebound.,55,65
7:09,179,Foul on Matt Mobley.,55,65
7:09,2561,Marquis Wright made Free Throw.,56,65
7:09,2561,Marquis Wright missed Free Throw.,56,65
7:09,2561,Marquis Wright Offensive Rebound.,56,65
6:55,2561,Marquis Wright made Three Point Jumper. Assisted by Javion Ogunyemi.,59,65
6:34,179,Jaylen Adams made Three Point Jumper.,59,68
6:13,2561,Marquis Wright made Three Point Jumper.,62,68
5:46,2561,Foul on Javion Ogunyemi.,62,68
5:46,179,Matt Mobley made Free Throw.,62,69
5:46,179,Matt Mobley made Free Throw.,62,70
5:37,2561,Lavon Long made Layup. Assisted by Brett Bisping.,64,70
5:21,179,Jaylen Adams missed Three Point Jumper.,64,70
5:21,2561,Ahsante Shivers Defensive Rebound.,64,70
5:11,2561,Marquis Wright missed Jumper.,64,70
5:11,2561,Siena Offensive Rebound.,64,70
5:06,2561,Nico Clareth made Jumper. Assisted by Marquis Wright.,66,70
4:50,179,Matt Mobley missed Three Point Jumper.,66,70
4:50,179,St. Bonaventure Offensive Rebound.,66,70
4:20,179,Josh Ayeni missed Jumper.,66,70
4:20,179,Jaylen Adams Offensive Rebound.,66,70
4:15,179,David Andoh missed Jumper.,66,70
4:15,179,Denzel Gregg Offensive Rebound.,66,70
4:10,2561,Foul on Nico Clareth.,66,70
4:10,179,David Andoh made Free Throw.,66,71
4:10,179,David Andoh made Free Throw.,66,72
3:58,179,Foul on Josh Ayeni.,66,72
3:58,179,Official TV Timeout,66,72
3:58,2561,Lavon Long made Free Throw.,67,72
3:58,2561,Lavon Long missed Free Throw.,67,72
3:58,179,Denzel Gregg Defensive Rebound.,67,72
3:45,179,David Andoh Turnover.,67,72
3:44,2561,Ahsante Shivers Steal.,67,72
3:23,2561,Marquis Wright missed Three Point Jumper.,67,72
3:23,2561,Ahsante Shivers Offensive Rebound.,67,72
3:18,2561,Ahsante Shivers made Two Point Tip Shot.,69,72
2:56,179,David Andoh made Jumper. Assisted by Jaylen Adams.,69,74
2:31,2561,Foul on Javion Ogunyemi.,69,74
2:31,2561,Javion Ogunyemi Turnover.,69,74
2:29,179,Matt Mobley Turnover.,69,74
2:28,2561,Marquis Wright Steal.,69,74
2:26,2561,Marquis Wright missed Layup.,69,74
2:26,179,Matt Mobley Defensive Rebound.,69,74
1:57,179,Foul on Josh Ayeni.,69,74
1:57,179,Josh Ayeni Turnover.,69,74
1:46,2561,Brett Bisping made Layup.,71,74
1:22,179,St. Bonaventure  Timeout,71,74
1:22,179,Official TV Timeout,71,74
1:14,179,Idris Taqqee missed Layup.,71,74
1:14,2561,Marquis Wright Defensive Rebound.,71,74
1:07,2561,Marquis Wright missed Layup.,71,74
1:07,179,Denzel Gregg Block.,71,74
1:05,2561,Brett Bisping Offensive Rebound.,71,74
1:03,2561,Brett Bisping made Layup.,73,74
0:41,179,Jaylen Adams made Layup.,73,76
0:41,2561,Foul on Javion Ogunyemi.,73,76
0:41,179,Jaylen Adams made Free Throw.,73,77
0:22,2561,Marquis Wright Turnover.,73,77
0:19,179,Matt Mobley Steal.,73,77
0:19,179,Matt Mobley made Free Throw.,73,78
0:19,2561,Siena  Timeout,73,78
0:19,179,Matt Mobley made Free Throw.,73,79
0:13,179,Foul on Matt Mobley.,73,79
0:13,2561,Nico Clareth missed Free Throw.,73,79
0:13,2561,Siena Deadball Team Rebound.,73,79
0:13,2561,Nico Clareth made Free Throw.,74,79
0:13,179,St. Bonaventure  Timeout,74,79
0:11,2561,Foul on Kadeem Smithen.,74,79
0:11,179,Matt Mobley missed Free Throw.,74,79
0:11,179,St. Bonaventure Deadball Team Rebound.,74,79
0:11,179,Matt Mobley made Free Throw.,74,80
0:07,2561,Nico Clareth Turnover.,74,80
0:07,2561,Nico Clareth missed Three Point Jumper.,74,80
0:07,179,Denzel Gregg Defensive Rebound.,74,80
0:02,2561,Foul on Lavon Long.,74,80
0:02,179,Denzel Gregg missed Free Throw.,74,80
0:02,179,St. Bonaventure Deadball Team Rebound.,74,80
0:02,179,Denzel Gregg made Free Throw.,74,81
0:00,2561,Marquis Wright missed Three Point Jumper.,74,81
0:00,179,St. Bonaventure Deadball Team Rebound.,74,81
0:00,179,End of Game,74,81
