Ohio,276,Marshall,195
12:00,195,Doug Taylor made Dunk. Assisted by Jason Carter.,12,14
11:50,276,Stevie Browning missed Three Point Jumper.,12,14
11:50,195,Jordan Dartis Defensive Rebound.,12,14
11:41,195,Jason Carter made Layup. Assisted by Jaaron Simmons.,14,14
11:28,276,Jon Elmore missed Layup.,14,14
11:28,195,Jason Carter Defensive Rebound.,14,14
11:21,276,Foul on Stevie Browning.,14,14
11:21,276,Official TV Timeout,14,14
11:21,195,Rodney Culver made Free Throw.,15,14
11:21,195,Rodney Culver missed Free Throw.,15,14
11:21,276,Stevie Browning Defensive Rebound.,15,14
11:01,276,Ajdin Penava made Layup. Assisted by Austin Loop.,15,16
10:45,195,Antonio Campbell missed Jumper.,15,16
10:45,276,Aleksa Nikolic Defensive Rebound.,15,16
10:40,276,Stevie Browning Turnover.,15,16
10:24,195,Gavin Block Turnover.,15,16
10:23,276,Austin Loop Steal.,15,16
10:20,276,Ky're Allison missed Three Point Jumper.,15,16
10:20,276,Ajdin Penava Offensive Rebound.,15,16
10:16,195,Foul on Kenny Kaminski.,15,16
10:11,276,Stevie Browning missed Layup.,15,16
10:11,276,Stevie Browning Offensive Rebound.,15,16
10:05,276,Ky're Allison made Layup.,15,18
9:54,195,Jaaron Simmons made Jumper.,17,18
9:43,276,Stevie Browning made Three Point Jumper. Assisted by Ajdin Penava.,17,21
9:20,195,Foul on Antonio Campbell.,17,21
9:20,195,Antonio Campbell Turnover.,17,21
9:11,276,Ky're Allison Turnover.,17,21
9:02,195,Kenny Kaminski missed Three Point Jumper.,17,21
9:02,276,Marshall Defensive Rebound.,17,21
8:52,276,Foul on Ajdin Penava.,17,21
8:52,276,Ajdin Penava Turnover.,17,21
8:39,195,Kenny Kaminski missed Layup.,17,21
8:39,195,Doug Taylor Offensive Rebound.,17,21
8:35,195,Doug Taylor made Layup.,19,21
8:23,276,Jon Elmore made Three Point Jumper. Assisted by Ryan Taylor.,19,24
8:02,195,Jordan Dartis Turnover.,19,24
8:01,276,Stevie Browning Steal.,19,24
7:46,276,Stevie Browning made Layup.,19,26
7:29,195,Jaaron Simmons missed Jumper.,19,26
7:29,276,Milan Mijovic Defensive Rebound.,19,26
7:17,276,Jon Elmore missed Three Point Jumper.,19,26
7:17,195,Gavin Block Defensive Rebound.,19,26
7:06,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,22,26
6:50,276,Ryan Taylor missed Three Point Jumper.,22,26
6:50,195,Gavin Block Defensive Rebound.,22,26
6:40,195,Kenny Kaminski made Three Point Jumper. Assisted by Jaaron Simmons.,25,26
6:23,276,Austin Loop missed Jumper.,25,26
6:23,276,Marshall Offensive Rebound.,25,26
6:21,276,Official TV Timeout,25,26
6:11,276,Milan Mijovic made Jumper. Assisted by Stevie Browning.,25,28
5:52,195,Rodney Culver missed Layup.,25,28
5:52,276,Ryan Taylor Block.,25,28
5:51,276,Ryan Taylor Defensive Rebound.,25,28
5:46,276,Austin Loop made Three Point Jumper. Assisted by Stevie Browning.,25,31
5:14,195,Jordan Dartis missed Three Point Jumper.,25,31
5:14,276,Ryan Taylor Defensive Rebound.,25,31
5:10,195,Foul on Doug Taylor.,25,31
4:57,276,Austin Loop made Three Point Jumper. Assisted by Jon Elmore.,25,34
4:34,195,Antonio Campbell made Three Point Jumper. Assisted by Gavin Block.,28,34
4:21,276,Jon Elmore Turnover.,28,34
4:20,195,Jason Carter Steal.,28,34
4:05,195,Gavin Block missed Layup.,28,34
4:05,195,Antonio Campbell Offensive Rebound.,28,34
4:00,195,Jordan Dartis made Three Point Jumper. Assisted by Antonio Campbell.,31,34
3:46,276,Ryan Taylor missed Three Point Jumper.,31,34
3:46,195,Gavin Block Defensive Rebound.,31,34
3:31,195,Gavin Block Turnover.,31,34
3:30,276,Austin Loop Steal.,31,34
3:25,195,Foul on Rodney Culver.,31,34
3:25,276,Official TV Timeout,31,34
3:25,276,Jon Elmore made Free Throw.,31,35
3:25,276,Jon Elmore made Free Throw.,31,36
3:15,195,Antonio Campbell made Layup. Assisted by Jaaron Simmons.,33,36
3:00,276,Austin Loop missed Three Point Jumper.,33,36
3:00,276,Ryan Taylor Offensive Rebound.,33,36
2:56,276,Ryan Taylor made Layup.,33,38
2:42,195,Antonio Campbell missed Three Point Jumper.,33,38
2:42,276,Marshall Defensive Rebound.,33,38
2:21,276,Stevie Browning Turnover.,33,38
2:20,195,Doug Taylor Steal.,33,38
2:13,195,Jordan Dartis made Three Point Jumper. Assisted by Jaaron Simmons.,36,38
2:02,276,Jon Elmore missed Layup.,36,38
2:02,276,Jon Elmore Offensive Rebound.,36,38
1:54,195,Foul on Doug Taylor.,36,38
1:54,276,Phil Bledsoe missed Free Throw.,36,38
1:54,276,Marshall Deadball Team Rebound.,36,38
1:54,276,Phil Bledsoe missed Free Throw.,36,38
1:54,276,Stevie Browning Offensive Rebound.,36,38
1:39,276,Jon Elmore missed Jumper.,36,38
1:39,195,Jordan Dartis Defensive Rebound.,36,38
1:27,276,Foul on Ryan Taylor.,36,38
1:27,195,Kenny Kaminski made Free Throw.,37,38
1:27,195,Kenny Kaminski made Free Throw.,38,38
1:15,276,Ryan Taylor Turnover.,38,38
1:14,195,Jason Carter Steal.,38,38
1:03,195,Gavin Block missed Layup.,38,38
1:03,276,Ryan Taylor Block.,38,38
1:02,276,Aleksa Nikolic Defensive Rebound.,38,38
0:45,195,Foul on Kenny Kaminski.,38,38
0:45,276,Ryan Taylor missed Free Throw.,38,38
0:45,276,Marshall Deadball Team Rebound.,38,38
0:45,276,Ryan Taylor made Free Throw.,38,39
0:31,195,Gavin Block Turnover.,38,39
0:30,276,Stevie Browning Steal.,38,39
0:28,276,Austin Loop made Three Point Jumper. Assisted by Stevie Browning.,38,42
0:03,195,Jaaron Simmons missed Jumper.,38,42
0:03,276,Jon Elmore Block.,38,42
0:03,276,Ryan Taylor Defensive Rebound.,38,42
0:00,276,End of 1st half,38,42
19:46,276,Ajdin Penava Turnover.,38,42
19:46,195,Antonio Campbell Steal.,38,42
19:23,195,Kenny Kaminski missed Jumper.,38,42
19:23,195,Antonio Campbell Offensive Rebound.,38,42
19:19,195,Antonio Campbell made Layup.,40,42
19:11,276,Jon Elmore missed Layup.,40,42
19:11,195,Antonio Campbell Defensive Rebound.,40,42
19:03,195,Jaaron Simmons made Layup.,42,42
18:57,276,Austin Loop missed Three Point Jumper.,42,42
18:57,195,Antonio Campbell Defensive Rebound.,42,42
18:37,276,Foul on Ajdin Penava.,42,42
18:35,195,Antonio Campbell Turnover.,42,42
18:34,276,Stevie Browning Steal.,42,42
18:31,276,Stevie Browning missed Layup.,42,42
18:31,195,Antonio Campbell Defensive Rebound.,42,42
18:24,195,Gavin Block made Three Point Jumper. Assisted by Jaaron Simmons.,45,42
18:08,276,Ajdin Penava missed Three Point Jumper.,45,42
18:08,195,Jordan Dartis Defensive Rebound.,45,42
17:58,195,Antonio Campbell made Layup. Assisted by Kenny Kaminski.,47,42
17:57,276,Marshall  Timeout,47,42
17:57,276,Official TV Timeout,47,42
17:46,195,Foul on Kenny Kaminski.,47,42
17:46,276,Ryan Taylor missed Free Throw.,47,42
17:46,276,Marshall Deadball Team Rebound.,47,42
17:46,276,Ryan Taylor made Free Throw.,47,43
17:29,195,Antonio Campbell missed Jumper.,47,43
17:29,276,Ryan Taylor Defensive Rebound.,47,43
17:18,276,Austin Loop missed Three Point Jumper.,47,43
17:18,195,Jaaron Simmons Defensive Rebound.,47,43
17:08,195,Antonio Campbell missed Three Point Jumper.,47,43
17:08,276,Stevie Browning Defensive Rebound.,47,43
16:55,276,Ryan Taylor made Jumper.,47,45
16:43,195,Jaaron Simmons missed Layup.,47,45
16:43,195,Antonio Campbell Offensive Rebound.,47,45
16:39,195,Antonio Campbell made Layup.,49,45
16:31,276,Austin Loop made Three Point Jumper. Assisted by Jon Elmore.,49,48
16:17,195,Jaaron Simmons missed Layup.,49,48
16:17,276,Ajdin Penava Block.,49,48
16:15,276,Stevie Browning Defensive Rebound.,49,48
16:13,276,Stevie Browning Turnover.,49,48
16:03,195,Jordan Dartis missed Three Point Jumper.,49,48
16:03,276,Jon Elmore Defensive Rebound.,49,48
15:54,195,Foul on Gavin Block.,49,48
15:54,276,Official TV Timeout,49,48
15:49,276,Ryan Taylor missed Layup.,49,48
15:49,276,Ryan Taylor Offensive Rebound.,49,48
15:46,276,Ryan Taylor made Layup.,49,50
15:34,276,Foul on Jon Elmore.,49,50
15:30,276,Foul on Ryan Taylor.,49,50
15:30,195,Antonio Campbell missed Free Throw.,49,50
15:30,195,Ohio Deadball Team Rebound.,49,50
15:30,195,Antonio Campbell made Free Throw.,50,50
15:16,276,Aleksa Nikolic made Jumper.,50,52
15:04,195,Jaaron Simmons Turnover.,50,52
15:03,276,Jon Elmore Steal.,50,52
14:59,276,Jon Elmore Turnover.,50,52
14:46,195,Antonio Campbell made Layup. Assisted by Jason Carter.,52,52
14:28,276,Ryan Taylor made Layup.,52,54
13:56,195,Jaaron Simmons Turnover.,52,54
13:39,276,Aleksa Nikolic Turnover.,52,54
13:39,195,Jordan Dartis Steal.,52,54
13:29,195,Kenny Kaminski made Three Point Jumper. Assisted by Jaaron Simmons.,55,54
13:17,195,Foul on Kenny Kaminski.,55,54
13:17,276,Ryan Taylor made Free Throw.,55,55
13:17,276,Ryan Taylor made Free Throw.,55,56
13:06,195,Jaaron Simmons Turnover.,55,56
13:06,276,Stevie Browning Steal.,55,56
13:03,276,Stevie Browning made Layup.,55,58
12:43,195,Jordan Dartis Turnover.,55,58
12:15,195,Foul on Jordan Dartis.,55,58
12:11,276,Jon Elmore made Jumper.,55,60
11:59,276,Official TV Timeout,55,60
11:51,195,Jason Carter made Dunk.,57,60
11:50,195,Jason Carter made Free Throw.,58,60
11:50,276,Foul on Aleksa Nikolic.,58,60
11:31,276,Jon Elmore Turnover.,58,60
11:30,195,Jason Carter Steal.,58,60
11:23,195,Jaaron Simmons missed Layup.,58,60
11:23,195,Jason Carter Offensive Rebound.,58,60
11:15,195,Antonio Campbell missed Three Point Jumper.,58,60
11:15,195,Jason Carter Offensive Rebound.,58,60
11:09,195,Jason Carter missed Layup.,58,60
11:09,276,Aleksa Nikolic Defensive Rebound.,58,60
11:00,276,Stevie Browning made Three Point Jumper. Assisted by Aleksa Nikolic.,58,63
10:31,195,Antonio Campbell made Layup.,60,63
10:23,276,Ryan Taylor made Layup. Assisted by Jon Elmore.,60,65
10:23,195,Foul on Jordan Dartis.,60,65
10:23,276,Ryan Taylor made Free Throw.,60,66
10:13,195,Jordan Dartis missed Three Point Jumper.,60,66
10:13,276,Ryan Taylor Defensive Rebound.,60,66
10:00,276,Ryan Taylor missed Jumper.,60,66
10:00,195,Jordan Dartis Defensive Rebound.,60,66
9:41,195,Gavin Block missed Three Point Jumper.,60,66
9:41,195,Jason Carter Offensive Rebound.,60,66
9:31,276,Foul on Milan Mijovic.,60,66
9:31,195,Jordan Dartis made Free Throw.,61,66
9:31,195,Jordan Dartis made Free Throw.,62,66
9:22,276,Jon Elmore made Layup.,62,68
9:07,276,Foul on Austin Loop.,62,68
9:00,195,Antonio Campbell Turnover.,62,68
8:48,276,Jon Elmore made Three Point Jumper. Assisted by Ryan Taylor.,62,71
8:29,276,Foul on Jon Elmore.,62,71
8:29,195,Jaaron Simmons made Free Throw.,63,71
8:29,195,Jaaron Simmons made Free Throw.,64,71
8:12,276,Ryan Taylor made Layup.,64,73
8:12,195,Foul on Antonio Campbell.,64,73
8:12,276,Ryan Taylor missed Free Throw.,64,73
8:12,195,Antonio Campbell Defensive Rebound.,64,73
8:04,195,Kenny Kaminski missed Three Point Jumper.,64,73
8:04,276,Jon Elmore Defensive Rebound.,64,73
7:52,276,Jon Elmore missed Layup.,64,73
7:52,276,Ajdin Penava Offensive Rebound.,64,73
7:50,276,Ajdin Penava made Layup.,64,75
7:34,195,Antonio Campbell made Layup. Assisted by Rodney Culver.,66,75
7:13,276,Ryan Taylor missed Three Point Jumper.,66,75
7:13,195,Ohio Defensive Rebound.,66,75
7:12,276,Foul on Ajdin Penava.,66,75
7:12,276,Official TV Timeout,66,75
7:12,195,Antonio Campbell made Free Throw.,67,75
7:12,195,Antonio Campbell made Free Throw.,68,75
6:53,276,Aleksa Nikolic missed Three Point Jumper.,68,75
6:53,276,Milan Mijovic Offensive Rebound.,68,75
6:47,195,Foul on Doug Taylor.,68,75
6:47,276,Milan Mijovic made Free Throw.,68,76
6:47,276,Milan Mijovic made Free Throw.,68,77
6:36,195,Antonio Campbell missed Jumper.,68,77
6:36,276,Aleksa Nikolic Defensive Rebound.,68,77
6:28,276,Ryan Taylor missed Layup.,68,77
6:28,195,Jason Carter Block.,68,77
6:26,276,Ryan Taylor Offensive Rebound.,68,77
6:23,276,Aleksa Nikolic made Dunk. Assisted by Ryan Taylor.,68,79
6:13,195,Jaaron Simmons missed Layup.,68,79
6:13,195,Antonio Campbell Offensive Rebound.,68,79
6:09,195,Antonio Campbell missed Layup.,68,79
6:09,276,Austin Loop Defensive Rebound.,68,79
6:06,276,Jon Elmore made Three Point Jumper.,68,82
6:03,195,Ohio  Timeout,68,82
5:57,195,Jaaron Simmons made Layup.,70,82
5:39,276,Aleksa Nikolic made Layup.,70,84
5:29,195,Jaaron Simmons missed Jumper.,70,84
5:29,276,Ryan Taylor Defensive Rebound.,70,84
4:59,276,Aleksa Nikolic missed Three Point Jumper.,70,84
4:59,195,Jaaron Simmons Defensive Rebound.,70,84
4:53,276,Foul on Austin Loop.,70,84
4:53,195,Jaaron Simmons made Free Throw.,71,84
4:53,195,Jaaron Simmons missed Free Throw.,71,84
4:53,276,Aleksa Nikolic Defensive Rebound.,71,84
4:30,276,Austin Loop made Three Point Jumper. Assisted by Aleksa Nikolic.,71,87
4:19,195,Jordan Dartis missed Three Point Jumper.,71,87
4:19,195,Ohio Offensive Rebound.,71,87
4:10,195,Jason Carter missed Layup.,71,87
4:10,195,Antonio Campbell Offensive Rebound.,71,87
4:07,195,Antonio Campbell made Layup.,73,87
3:42,276,Ryan Taylor missed Layup.,73,87
3:42,195,Antonio Campbell Defensive Rebound.,73,87
3:32,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,76,87
3:03,195,Foul on Jason Carter.,76,87
3:03,276,Official TV Timeout,76,87
3:03,276,Jon Elmore made Free Throw.,76,88
3:03,276,Jon Elmore missed Free Throw.,76,88
3:03,195,Antonio Campbell Defensive Rebound.,76,88
2:55,195,Antonio Campbell missed Three Point Jumper.,76,88
2:55,276,Jon Elmore Defensive Rebound.,76,88
2:26,276,Ryan Taylor missed Layup.,76,88
2:26,195,Gavin Block Defensive Rebound.,76,88
2:16,276,Foul on Aleksa Nikolic.,76,88
2:16,195,Antonio Campbell missed Free Throw.,76,88
2:16,195,Ohio Deadball Team Rebound.,76,88
2:16,195,Antonio Campbell made Free Throw.,77,88
1:53,276,Marshall  Timeout,77,88
1:52,276,Jon Elmore missed Jumper.,77,88
1:52,195,Antonio Campbell Defensive Rebound.,77,88
1:43,195,Jaaron Simmons missed Layup.,77,88
1:43,195,Ohio Offensive Rebound.,77,88
1:42,276,Foul on Ryan Taylor.,77,88
1:42,195,Antonio Campbell made Free Throw.,78,88
1:42,195,Antonio Campbell made Free Throw.,79,88
1:38,195,Foul on Antonio Campbell.,79,88
1:38,276,Jon Elmore made Free Throw.,79,89
1:38,276,Jon Elmore made Free Throw.,79,90
1:32,195,Kenny Kaminski made Three Point Jumper.,82,90
1:30,195,Ohio  Timeout,82,90
1:22,195,Foul on Rodney Culver.,82,90
1:22,276,Jon Elmore missed Free Throw.,82,90
1:22,276,Marshall Deadball Team Rebound.,82,90
1:22,276,Jon Elmore made Free Throw.,82,91
1:12,195,Kenny Kaminski missed Layup.,82,91
1:12,276,Ryan Taylor Block.,82,91
1:11,276,Stevie Browning Defensive Rebound.,82,91
1:08,195,Foul on Jordan Dartis.,82,91
1:08,276,Stevie Browning made Free Throw.,82,92
1:08,276,Stevie Browning made Free Throw.,82,93
1:02,195,Jaaron Simmons missed Layup.,82,93
1:02,195,Antonio Campbell Offensive Rebound.,82,93
1:00,195,Antonio Campbell made Layup.,84,93
1:00,195,Ohio  Timeout,84,93
0:52,195,Foul on Jaaron Simmons.,84,93
0:52,276,Jon Elmore made Free Throw.,84,94
0:52,276,Jon Elmore made Free Throw.,84,95
0:40,195,Jordan Dartis missed Three Point Jumper.,84,95
0:40,276,Aleksa Nikolic Defensive Rebound.,84,95
0:36,195,Foul on Jordan Dartis.,84,95
0:36,276,Stevie Browning missed Free Throw.,84,95
0:36,276,Marshall Deadball Team Rebound.,84,95
0:36,276,Stevie Browning made Free Throw.,84,96
0:32,195,Jaaron Simmons missed Three Point Jumper.,84,96
0:32,195,Kenny Kaminski Offensive Rebound.,84,96
0:26,195,Kenny Kaminski made Layup.,86,96
0:24,195,Foul on Jordan Dartis.,86,96
0:24,276,Jon Elmore made Free Throw.,86,97
0:24,276,Jon Elmore made Free Throw.,86,98
0:17,195,Antonio Campbell made Layup. Assisted by Jaaron Simmons.,88,98
0:00,276,End of Game,88,98
