Arlington Baptist,Error,Abilene Christian,2000
13:22,-1,Markel Semien Turnover.,11,17
13:21,2000,Jaren Lewis Steal.,11,17
13:20,2000,Jaren Lewis made Dunk.,11,19
13:03,-1,Kennedy Jones made Layup.,13,19
12:49,2000,Jaren Lewis Turnover.,13,19
12:32,-1,Markel Semien missed Layup.,13,19
12:32,2000,Payten Ricks Defensive Rebound.,13,19
12:27,2000,Hayden Farquhar made Layup. Assisted by B.J. Maxwell.,13,21
12:03,-1,Markel Semien made Three Point Jumper.,16,21
11:43,2000,Hayden Farquhar Turnover.,16,21
11:42,-1,Jashun Petite Steal.,16,21
11:29,2000,Official TV Timeout,16,21
11:29,-1,Markel Semien missed Jumper.,16,21
11:29,2000,Hayden Howell Defensive Rebound.,16,21
11:29,2000,Payten Ricks made Jumper. Assisted by Isaiah Tripp.,16,23
10:54,-1,Jashun Petite Turnover.,16,23
10:54,2000,Isaiah Tripp Steal.,16,23
10:51,2000,Isaiah Tripp made Layup. Assisted by Drake Green.,16,25
10:28,-1,Markel Semien missed Jumper.,16,25
10:28,2000,Hayden Howell Defensive Rebound.,16,25
10:14,2000,Drake Green made Three Point Jumper. Assisted by Hayden Howell.,16,28
9:45,-1,Markel Semien missed Three Point Jumper.,16,28
9:45,-1,Kel Wallace Offensive Rebound.,16,28
9:42,2000,Foul on Payten Ricks.,16,28
9:26,-1,Eric Wood Turnover.,16,28
9:25,2000,Hayden Howell Steal.,16,28
9:21,2000,Drake Green made Three Point Jumper. Assisted by Payten Ricks.,16,31
8:52,-1,Markel Semien missed Jumper.,16,31
8:52,2000,Trey Lenox Defensive Rebound.,16,31
8:50,2000,Trey Lenox Turnover.,16,31
8:49,-1,Kel Wallace Steal.,16,31
8:46,-1,Kel Wallace missed Jumper.,16,31
8:46,2000,Drake Green Defensive Rebound.,16,31
8:32,2000,Hayden Howell made Jumper. Assisted by Payten Ricks.,16,33
8:06,-1,Eric Wood Turnover.,16,33
8:05,2000,Jaylen Franklin Steal.,16,33
7:55,2000,Payten Ricks missed Three Point Jumper.,16,33
7:55,2000,Hayden Howell Offensive Rebound.,16,33
7:54,2000,Jaylen Franklin made Layup. Assisted by Hayden Howell.,16,35
7:54,2000,Official TV Timeout,16,35
7:28,-1,Bryce Morgan made Layup. Assisted by Bryce Morgan.,18,35
7:16,2000,Jalone Friday made Three Point Jumper. Assisted by Tevin Foster.,18,38
6:57,-1,Eric Wood made Three Point Jumper. Assisted by Jashun Petite.,21,38
6:39,2000,Jaylen Franklin made Jumper.,21,40
6:12,-1,Eric Wood Turnover.,21,40
6:12,2000,Jalone Friday Steal.,21,40
5:54,2000,Payten Ricks missed Jumper.,21,40
5:54,2000,Jalone Friday Offensive Rebound.,21,40
5:54,2000,Jalone Friday Turnover.,21,40
5:42,-1,Bryce Morgan missed Layup.,21,40
5:42,2000,Jalone Friday Block.,21,40
5:34,2000,Trey Lenox Defensive Rebound.,21,40
5:32,2000,Jalone Friday made Three Point Jumper. Assisted by Tevin Foster.,21,43
5:19,-1,Eric Wood missed Three Point Jumper.,21,43
5:19,2000,Trey Lenox Defensive Rebound.,21,43
5:07,2000,Jalone Friday made Three Point Jumper. Assisted by Tevin Foster.,21,46
5:05,-1,Arlington Baptist  Timeout,21,46
4:54,2000,Foul on B.J. Maxwell.,21,46
4:49,-1,Kennedy Jones missed Jumper.,21,46
4:49,-1,Kel Wallace Offensive Rebound.,21,46
4:48,-1,Kel Wallace missed Layup.,21,46
4:48,2000,Jalone Friday Defensive Rebound.,21,46
4:47,-1,Foul on Kennedy Jones.,21,46
4:23,2000,B.J. Maxwell made Layup. Assisted by Jaylen Franklin.,21,48
4:04,2000,Foul on Jaylen Franklin.,21,48
3:50,-1,Markel Semien made Three Point Jumper.,24,48
3:29,2000,B.J. Maxwell made Layup. Assisted by Jaylen Franklin.,24,50
3:02,-1,Markel Semien missed Jumper.,24,50
3:02,2000,B.J. Maxwell Defensive Rebound.,24,50
3:02,2000,Foul on Jaylen Franklin.,24,50
3:02,2000,Official TV Timeout,24,50
3:02,-1,Eric Wood Turnover.,24,50
3:02,2000,B.J. Maxwell Steal.,24,50
3:02,2000,B.J. Maxwell missed Layup.,24,50
3:02,2000,Hayden Farquhar Offensive Rebound.,24,50
3:02,2000,Hayden Farquhar made Layup.,24,52
3:02,-1,Markel Semien made Three Point Jumper.,27,52
2:10,2000,Kolton Kohl Turnover.,27,52
1:55,2000,Foul on Kolton Kohl.,27,52
1:55,-1,Markel Semien made Free Throw.,28,52
1:55,-1,Markel Semien missed Free Throw.,28,52
1:55,2000,Hayden Farquhar Defensive Rebound.,28,52
1:46,2000,Kolton Kohl missed Jumper.,28,52
1:46,2000,B.J. Maxwell Offensive Rebound.,28,52
1:44,2000,B.J. Maxwell missed Layup.,28,52
1:44,-1,Bryce Morgan Block.,28,52
1:42,2000,B.J. Maxwell Offensive Rebound.,28,52
1:38,2000,Hayden Farquhar missed Three Point Jumper.,28,52
1:38,2000,Kolton Kohl Offensive Rebound.,28,52
1:35,2000,Kolton Kohl made Layup.,28,54
1:25,-1,Markel Semien Turnover.,28,54
1:14,2000,Hayden Farquhar missed Three Point Jumper.,28,54
1:14,2000,Chase Cobb Offensive Rebound.,28,54
1:11,2000,Chase Cobb made Jumper.,28,56
0:54,-1,Kennedy Jones missed Jumper.,28,56
0:54,2000,Hayden Farquhar Defensive Rebound.,28,56
0:45,-1,Foul on Kennedy Jones.,28,56
0:45,2000,B.J. Maxwell made Free Throw.,28,57
0:45,2000,B.J. Maxwell missed Free Throw.,28,57
0:45,-1,Bryce Morgan Defensive Rebound.,28,57
0:17,2000,Foul on B.J. Maxwell.,28,57
0:17,-1,Markel Semien made Free Throw.,29,57
0:17,-1,Markel Semien missed Free Throw.,29,57
0:17,2000,Hayden Farquhar Defensive Rebound.,29,57
0:03,2000,B.J. Maxwell made Layup.,29,59
0:00,2000,End of 1st half,29,59
19:42,-1,Quinton Moore missed Three Point Jumper.,29,59
19:42,2000,Jaren Lewis Defensive Rebound.,29,59
19:23,-1,Foul on Bryce Morgan.,29,59
19:23,2000,Jaren Lewis made Free Throw.,29,60
19:23,2000,Jaren Lewis made Free Throw.,29,61
19:10,-1,Bryce Morgan missed Jumper.,29,61
19:10,2000,Jalone Friday Block.,29,61
19:08,-1,Arlington Baptist Offensive Rebound.,29,61
19:04,-1,Bryce Morgan made Layup. Assisted by Kel Wallace.,31,61
18:40,2000,Tevin Foster missed Layup.,31,61
18:40,-1,Kel Wallace Block.,31,61
18:39,-1,Quinton Moore Defensive Rebound.,31,61
18:19,2000,Jaren Lewis made Layup.,31,63
17:54,-1,Markel Semien missed Jumper.,31,63
17:54,2000,Jalone Friday Defensive Rebound.,31,63
17:46,-1,Foul on Bryce Morgan.,31,63
17:39,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,31,66
17:18,-1,Kel Wallace missed Jumper.,31,66
17:18,2000,Jaren Lewis Defensive Rebound.,31,66
17:12,2000,Payten Ricks missed Three Point Jumper.,31,66
17:12,2000,Jaren Lewis Offensive Rebound.,31,66
17:04,2000,Jaren Lewis Turnover.,31,66
17:03,-1,Markel Semien Steal.,31,66
16:54,-1,Kel Wallace missed Layup.,31,66
16:54,-1,Bryce Morgan Offensive Rebound.,31,66
16:53,-1,Bryce Morgan made Jumper.,33,66
16:33,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,33,69
16:02,2000,Foul on Jalone Friday.,33,69
15:51,-1,Quinton Moore Turnover.,33,69
15:50,2000,Jaren Lewis Steal.,33,69
15:47,2000,Jaylen Franklin made Dunk. Assisted by Tevin Foster.,33,71
15:39,-1,Markel Semien missed Layup.,33,71
15:39,2000,Jaylen Franklin Block.,33,71
15:38,2000,Jaylen Franklin Defensive Rebound.,33,71
15:36,2000,Payten Ricks made Three Point Jumper. Assisted by Jaylen Franklin.,33,74
15:32,-1,Arlington Baptist  Timeout,33,74
15:32,-1,Kel Wallace made Jumper. Assisted by Quinton Moore.,35,74
15:32,2000,Drake Green made Three Point Jumper.,35,77
15:30,-1,Eric Wood made Jumper.,37,77
14:30,2000,Hayden Howell Turnover.,37,77
14:18,2000,Foul on Trey Lenox.,37,77
13:57,-1,Kennedy Jones missed Jumper.,37,77
13:57,2000,B.J. Maxwell Defensive Rebound.,37,77
13:50,2000,Drake Green Turnover.,37,77
13:49,-1,Jashun Petite Steal.,37,77
13:33,-1,Eric Wood made Three Point Jumper.,40,77
13:19,2000,Drake Green made Three Point Jumper. Assisted by Isaiah Tripp.,40,80
13:00,-1,Jashun Petite made Layup.,42,80
13:00,2000,Foul on Isaiah Tripp.,42,80
13:00,-1,Jashun Petite missed Free Throw.,42,80
13:00,2000,Trey Lenox Defensive Rebound.,42,80
12:49,2000,Hayden Howell Turnover.,42,80
12:49,-1,Jashun Petite Steal.,42,80
12:34,2000,Foul on Trey Lenox.,42,80
12:34,-1,Jashun Petite missed Jumper.,42,80
12:34,2000,Isaiah Tripp Defensive Rebound.,42,80
12:30,-1,Foul on Jashun Petite.,42,80
12:19,2000,Hayden Howell made Jumper. Assisted by Hayden Farquhar.,42,82
11:56,2000,Foul on Isaiah Tripp.,42,82
11:40,-1,Kennedy Jones made Jumper. Assisted by Jashun Petite.,44,82
11:27,2000,Hayden Howell made Three Point Jumper. Assisted by Isaiah Tripp.,44,85
11:04,-1,Bryce Morgan missed Jumper.,44,85
11:04,-1,Kennedy Jones Offensive Rebound.,44,85
11:04,2000,Foul on Drake Green.,44,85
11:02,-1,Jashun Petite Turnover.,44,85
11:01,2000,Hayden Howell Steal.,44,85
10:58,2000,Hayden Howell made Layup.,44,87
10:43,-1,Markel Semien missed Three Point Jumper.,44,87
10:43,2000,Isaiah Tripp Block.,44,87
10:41,2000,B.J. Maxwell Defensive Rebound.,44,87
10:39,2000,Drake Green made Three Point Jumper. Assisted by B.J. Maxwell.,44,90
10:00,-1,Bryce Morgan missed Jumper.,44,90
10:00,2000,Hayden Farquhar Block.,44,90
10:00,2000,Hayden Farquhar Defensive Rebound.,44,90
10:00,2000,Hayden Farquhar made Layup. Assisted by Drake Green.,44,92
9:37,-1,Marvin Hall missed Three Point Jumper.,44,92
9:37,2000,B.J. Maxwell Block.,44,92
9:36,2000,Drake Green Defensive Rebound.,44,92
9:33,2000,B.J. Maxwell made Layup.,44,94
9:02,-1,Kel Wallace missed Jumper.,44,94
9:02,-1,Kel Wallace Offensive Rebound.,44,94
9:02,2000,Foul on B.J. Maxwell.,44,94
9:02,-1,Kel Wallace made Free Throw.,45,94
9:02,-1,Kel Wallace made Free Throw.,46,94
8:52,2000,Kolton Kohl made Layup. Assisted by Drake Green.,46,96
8:35,2000,Foul on Chase Cobb.,46,96
8:35,-1,Markel Semien made Layup.,48,96
8:35,-1,Markel Semien missed Free Throw.,48,96
8:35,2000,Drake Green Defensive Rebound.,48,96
8:35,2000,Hayden Farquhar missed Three Point Jumper.,48,96
8:35,-1,Marvin Hall Defensive Rebound.,48,96
8:11,-1,Jashun Petite Turnover.,48,96
8:10,2000,Trey Lenox Steal.,48,96
8:06,2000,Trey Lenox made Layup.,48,98
7:40,-1,Markel Semien made Jumper.,50,98
7:32,2000,Kolton Kohl made Layup. Assisted by Chase Cobb.,50,100
7:10,-1,Marvin Hall Turnover.,50,100
7:09,2000,Drake Green Steal.,50,100
7:00,2000,Hayden Farquhar missed Three Point Jumper.,50,100
7:00,2000,Kolton Kohl Offensive Rebound.,50,100
6:57,2000,Chase Cobb missed Three Point Jumper.,50,100
6:57,-1,Markel Semien Defensive Rebound.,50,100
6:45,2000,Foul on Drake Green.,50,100
6:45,-1,Jashun Petite made Free Throw.,51,100
6:45,-1,Jashun Petite missed Free Throw.,51,100
6:45,2000,Hayden Farquhar Defensive Rebound.,51,100
6:38,2000,Kolton Kohl made Layup.,51,102
6:19,-1,Marvin Hall made Three Point Jumper. Assisted by Markel Semien.,54,102
6:08,2000,Chase Cobb Turnover.,54,102
5:51,-1,Quinton Moore missed Three Point Jumper.,54,102
5:51,2000,Hayden Farquhar Defensive Rebound.,54,102
5:37,2000,Kolton Kohl Turnover.,54,102
5:37,-1,Marvin Hall Steal.,54,102
5:17,-1,Marvin Hall missed Three Point Jumper.,54,102
5:17,-1,Andre Roman Offensive Rebound.,54,102
5:14,-1,Donnell Johnson Turnover.,54,102
5:07,2000,Trey Lenox made Layup.,54,104
4:37,-1,Quinton Moore missed Three Point Jumper.,54,104
4:37,-1,Arlington Baptist Offensive Rebound.,54,104
4:35,-1,Kennedy Jones Turnover.,54,104
4:29,2000,Kolton Kohl missed Jumper.,54,104
4:29,2000,Kolton Kohl Offensive Rebound.,54,104
4:23,2000,Kolton Kohl missed Jumper.,54,104
4:23,2000,Paul Hiepler Offensive Rebound.,54,104
4:23,-1,Foul on Joey Gisbon.,54,104
3:58,2000,Chase Cobb missed Three Point Jumper.,54,104
3:58,-1,Quinton Moore Defensive Rebound.,54,104
3:35,-1,Joey Gisbon missed Jumper.,54,104
3:35,2000,Abilene Christian Defensive Rebound.,54,104
3:35,2000,Official TV Timeout,54,104
3:19,2000,Hayden Farquhar made Three Point Jumper. Assisted by Kolton Kohl.,54,107
2:50,2000,Foul on Kolton Kohl.,54,107
2:50,-1,Andre Roman made Free Throw.,55,107
2:31,2000,Chase Cobb missed Three Point Jumper.,55,107
2:31,-1,Quinton Moore Defensive Rebound.,55,107
2:25,-1,Quinton Moore Turnover.,55,107
2:25,2000,Chase Cobb Steal.,55,107
2:23,2000,Kolton Kohl made Dunk. Assisted by Chase Cobb.,55,109
2:01,-1,Bryce Morgan missed Jumper.,55,109
2:01,2000,Kolton Kohl Block.,55,109
2:00,-1,Arlington Baptist Offensive Rebound.,55,109
1:58,-1,Joey Gisbon Turnover.,55,109
1:58,2000,Trey Lenox Steal.,55,109
1:58,2000,Hayden Farquhar missed Three Point Jumper.,55,109
1:58,-1,Bryce Morgan Defensive Rebound.,55,109
1:58,-1,Bryce Morgan missed Layup.,55,109
1:58,2000,Kolton Kohl Block.,55,109
1:56,-1,Joey Gisbon Offensive Rebound.,55,109
1:53,2000,Foul on Trey Lenox.,55,109
1:53,-1,Joey Gisbon missed Free Throw.,55,109
1:53,-1,Arlington Baptist Deadball Team Rebound.,55,109
1:53,-1,Joey Gisbon made Free Throw.,56,109
1:36,-1,Foul on Bryce Morgan.,56,109
1:30,-1,Foul on Quinton Moore.,56,109
1:27,2000,Chase Cobb missed Three Point Jumper.,56,109
1:27,-1,Andre Roman Defensive Rebound.,56,109
1:18,-1,Marvin Hall made Jumper.,58,109
1:04,2000,Kolton Kohl Turnover.,58,109
1:04,-1,Bryce Morgan Steal.,58,109
0:49,-1,Bryce Morgan made Layup.,60,109
0:47,2000,Paul Hiepler missed Three Point Jumper.,60,109
0:47,-1,Andre Roman Defensive Rebound.,60,109
0:38,-1,Andre Roman missed Layup.,60,109
0:38,-1,Bryce Morgan Offensive Rebound.,60,109
0:36,-1,Bryce Morgan missed Layup.,60,109
0:36,2000,Paul Hiepler Defensive Rebound.,60,109
0:29,2000,Paul Hiepler Turnover.,60,109
0:02,-1,Andre Roman missed Jumper.,60,109
0:02,2000,Kolton Kohl Block.,60,109
0:02,2000,Paul Hiepler Defensive Rebound.,60,109
0:00,2000,End of Game,60,109
