Northern Kentucky,245,Texas A&amp;M,94
13:20,245,DJ Hogg Defensive Rebound.,12,13
13:02,245,Duane Wilson missed Layup.,12,13
13:02,94,Jeff Garrett Defensive Rebound.,12,13
12:47,94,Carson Williams Turnover.,12,13
12:28,245,Tonny Trocha-Morelos made Jumper. Assisted by JJ Caldwell.,12,15
12:08,94,Mason Faulkner Turnover.,12,15
11:52,94,Foul on Tyler Sharpe.,12,15
11:52,245,Official TV Timeout,12,15
11:48,245,Savion Flagg missed Jumper.,12,15
11:48,94,Lavone Holland II Defensive Rebound.,12,15
11:39,94,Lavone Holland II missed Jumper.,12,15
11:39,245,JJ Caldwell Defensive Rebound.,12,15
11:32,245,Tonny Trocha-Morelos missed Layup.,12,15
11:32,94,Drew McDonald Defensive Rebound.,12,15
11:22,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,14,15
11:09,245,JJ Caldwell missed Layup.,14,15
11:09,94,Drew McDonald Defensive Rebound.,14,15
10:53,94,Lavone Holland II missed Three Point Jumper.,14,15
10:53,245,Tonny Trocha-Morelos Defensive Rebound.,14,15
10:29,245,DJ Hogg missed Jumper.,14,15
10:29,94,Jordan Garnett Defensive Rebound.,14,15
10:22,94,Foul on Jalen Tate.,14,15
10:22,94,Jalen Tate Turnover.,14,15
10:11,245,Jay Jay Chandler Turnover.,14,15
9:58,94,Lavone Holland II made Layup.,16,15
9:32,245,Tonny Trocha-Morelos missed Jumper.,16,15
9:32,94,Jalen Tate Block.,16,15
9:32,245,Texas A&M Offensive Rebound.,16,15
9:26,245,Jump Ball won by Texas A&M,16,15
9:25,245,Tonny Trocha-Morelos made Layup. Assisted by Duane Wilson.,16,17
9:09,94,Drew McDonald missed Three Point Jumper.,16,17
9:09,245,Duane Wilson Defensive Rebound.,16,17
9:00,245,Tyler Davis missed Three Point Jumper.,16,17
9:00,245,Tonny Trocha-Morelos Offensive Rebound.,16,17
8:37,245,Tonny Trocha-Morelos missed Jumper.,16,17
8:37,245,Savion Flagg Offensive Rebound.,16,17
8:30,245,Savion Flagg made Layup.,16,19
8:25,94,Jordan Garnett missed Layup.,16,19
8:25,245,Tonny Trocha-Morelos Block.,16,19
8:25,94,Jordan Garnett Offensive Rebound.,16,19
8:23,245,Foul on Jay Jay Chandler.,16,19
8:16,94,Drew McDonald Turnover.,16,19
8:16,245,Savion Flagg Steal.,16,19
8:06,245,Jay Jay Chandler made Layup. Assisted by Tyler Davis.,16,21
8:06,94,Foul on Drew McDonald.,16,21
8:06,245,Jay Jay Chandler made Free Throw.,16,22
7:57,94,Lavone Holland II made Jumper.,18,22
7:35,245,Jay Jay Chandler Turnover.,18,22
7:35,94,Jordan Garnett Steal.,18,22
7:28,94,Jordan Garnett missed Three Point Jumper.,18,22
7:28,245,DJ Hogg Defensive Rebound.,18,22
7:17,245,DJ Hogg made Three Point Jumper. Assisted by Duane Wilson.,18,25
6:59,94,Drew McDonald Turnover.,18,25
6:59,245,DJ Hogg Steal.,18,25
6:46,245,Jay Jay Chandler missed Three Point Jumper.,18,25
6:46,94,Lavone Holland II Defensive Rebound.,18,25
6:30,94,Jordan Garnett missed Layup.,18,25
6:30,245,DJ Hogg Defensive Rebound.,18,25
6:19,245,Savion Flagg made Jumper.,18,27
6:02,94,Drew McDonald missed Jumper.,18,27
6:02,245,Tyler Davis Defensive Rebound.,18,27
5:52,245,DJ Hogg missed Three Point Jumper.,18,27
5:52,94,Jalen Tate Defensive Rebound.,18,27
5:43,94,Carson Williams made Layup. Assisted by Jalen Tate.,20,27
5:19,245,Jay Jay Chandler Turnover.,20,27
5:19,245,Official TV Timeout,20,27
4:56,94,Dantez Walton missed Three Point Jumper.,20,27
4:56,245,Duane Wilson Defensive Rebound.,20,27
4:44,245,JJ Caldwell missed Layup.,20,27
4:44,94,Mason Faulkner Defensive Rebound.,20,27
4:36,94,Lavone Holland II missed Three Point Jumper.,20,27
4:36,245,Tyler Davis Defensive Rebound.,20,27
4:22,245,Duane Wilson made Layup.,20,29
4:14,94,Jordan Garnett missed Three Point Jumper.,20,29
4:14,94,Dantez Walton Offensive Rebound.,20,29
3:42,94,Lavone Holland II missed Three Point Jumper.,20,29
3:42,94,Dantez Walton Offensive Rebound.,20,29
3:31,94,Mason Faulkner missed Three Point Jumper.,20,29
3:31,245,Tyler Davis Defensive Rebound.,20,29
3:11,245,JJ Caldwell Turnover.,20,29
3:11,94,Carson Williams Steal.,20,29
3:03,245,Foul on Chris Collins.,20,29
3:03,245,Official TV Timeout,20,29
3:03,94,Carson Williams missed Free Throw.,20,29
3:03,94,Northern Kentucky Deadball Team Rebound.,20,29
3:03,94,Carson Williams missed Free Throw.,20,29
3:03,245,Tyler Davis Defensive Rebound.,20,29
2:43,245,Chris Collins Turnover.,20,29
2:26,94,Drew McDonald missed Jumper.,20,29
2:26,245,JJ Caldwell Defensive Rebound.,20,29
2:12,245,JJ Caldwell missed Layup.,20,29
2:12,94,Dantez Walton Defensive Rebound.,20,29
1:52,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,23,29
1:11,94,Foul on Dantez Walton.,23,29
1:11,245,JJ Caldwell Turnover.,23,29
1:05,94,Northern Kentucky  Timeout,23,29
0:57,94,Drew McDonald missed Three Point Jumper.,23,29
0:57,245,Duane Wilson Defensive Rebound.,23,29
0:34,245,DJ Hogg missed Three Point Jumper.,23,29
0:34,94,Dantez Walton Defensive Rebound.,23,29
0:05,245,Foul on Duane Wilson.,23,29
0:01,94,Drew McDonald missed Layup.,23,29
0:01,245,Tyler Davis Block.,23,29
0:01,245,Duane Wilson Defensive Rebound.,23,29
0:00,245,End of 1st half,23,29
20:00,94,Jump Ball won by Northern Kentucky,23,29
19:47,94,Carson Williams made Layup. Assisted by Lavone Holland II.,25,29
19:23,94,Foul on Jordan Garnett.,25,29
19:17,245,Tonny Trocha-Morelos missed Three Point Jumper.,25,29
19:17,94,Carson Williams Defensive Rebound.,25,29
19:03,94,Drew McDonald missed Jumper.,25,29
19:03,245,Tyler Davis Defensive Rebound.,25,29
18:53,245,JJ Caldwell made Layup.,25,31
18:32,94,Drew McDonald made Jumper.,27,31
18:10,245,Duane Wilson missed Jumper.,27,31
18:10,245,Tonny Trocha-Morelos Offensive Rebound.,27,31
17:51,245,Duane Wilson missed Three Point Jumper.,27,31
17:51,94,Carson Williams Defensive Rebound.,27,31
17:31,245,Foul on Tonny Trocha-Morelos.,27,31
17:31,94,Drew McDonald missed Free Throw.,27,31
17:31,94,Northern Kentucky Deadball Team Rebound.,27,31
17:31,94,Drew McDonald made Free Throw.,28,31
17:20,245,Duane Wilson made Layup. Assisted by Tyler Davis.,28,33
17:05,94,Carson Williams missed Jumper.,28,33
17:05,245,Tyler Davis Defensive Rebound.,28,33
16:52,245,Tyler Davis missed Jumper.,28,33
16:52,94,Lavone Holland II Defensive Rebound.,28,33
16:40,94,Carson Williams missed Jumper.,28,33
16:40,245,JJ Caldwell Block.,28,33
16:40,245,JJ Caldwell Defensive Rebound.,28,33
16:33,245,Duane Wilson missed Three Point Jumper.,28,33
16:33,245,Tonny Trocha-Morelos Offensive Rebound.,28,33
16:23,245,Tyler Davis made Layup. Assisted by Tonny Trocha-Morelos.,28,35
16:16,94,Jordan Garnett missed Layup.,28,35
16:16,245,Tonny Trocha-Morelos Block.,28,35
16:16,94,Carson Williams Offensive Rebound.,28,35
16:10,94,Drew McDonald missed Three Point Jumper.,28,35
16:10,245,Tyler Davis Defensive Rebound.,28,35
16:04,245,Duane Wilson missed Jumper.,28,35
16:04,94,Drew McDonald Defensive Rebound.,28,35
15:35,245,Official TV Timeout,28,35
15:35,94,Drew McDonald missed Layup.,28,35
15:35,245,Official TV Timeout,28,35
15:35,94,Northern Kentucky Defensive Rebound.,28,35
15:26,245,Savion Flagg Turnover.,28,35
15:26,94,Lavone Holland II Steal.,28,35
14:59,94,Jordan Garnett made Three Point Jumper. Assisted by Drew McDonald.,31,35
14:24,245,Jay Jay Chandler missed Jumper.,31,35
14:24,245,Tyler Davis Offensive Rebound.,31,35
14:24,245,Tyler Davis made Two Point Tip Shot.,31,37
14:04,94,Drew McDonald missed Jumper.,31,37
14:04,245,DJ Hogg Defensive Rebound.,31,37
13:56,245,DJ Hogg missed Three Point Jumper.,31,37
13:56,94,Mason Faulkner Defensive Rebound.,31,37
13:47,94,Lavone Holland II made Three Point Jumper. Assisted by Mason Faulkner.,34,37
13:35,245,JJ Caldwell Turnover.,34,37
13:35,94,Jordan Garnett Steal.,34,37
13:29,94,Jordan Garnett made Layup. Assisted by Lavone Holland II.,36,37
13:10,245,Jay Jay Chandler missed Three Point Jumper.,36,37
13:10,245,Savion Flagg Offensive Rebound.,36,37
13:04,245,Savion Flagg missed Layup.,36,37
13:04,245,Texas A&M Offensive Rebound.,36,37
12:45,245,Tonny Trocha-Morelos missed Three Point Jumper.,36,37
12:45,245,JJ Caldwell Offensive Rebound.,36,37
12:39,94,Foul on Lavone Holland II.,36,37
12:39,245,JJ Caldwell made Free Throw.,36,38
12:39,245,JJ Caldwell missed Free Throw.,36,38
12:39,94,Mason Faulkner Defensive Rebound.,36,38
12:17,94,Foul on Carson Williams.,36,38
12:17,94,Carson Williams Turnover.,36,38
11:56,245,DJ Hogg missed Three Point Jumper.,36,38
11:56,94,Lavone Holland II Defensive Rebound.,36,38
11:42,245,Foul on DJ Hogg.,36,38
11:42,245,Official TV Timeout,36,38
11:42,94,Carson Williams made Free Throw.,37,38
11:42,94,Carson Williams missed Free Throw.,37,38
11:42,245,DJ Hogg Defensive Rebound.,37,38
11:40,94,Foul on Jalen Tate.,37,38
11:19,94,Foul on Jalen Tate.,37,38
11:19,245,Savion Flagg made Free Throw.,37,39
11:19,245,Savion Flagg missed Free Throw.,37,39
11:19,94,Drew McDonald Defensive Rebound.,37,39
11:10,94,Mason Faulkner missed Three Point Jumper.,37,39
11:10,94,Mason Faulkner Offensive Rebound.,37,39
10:48,94,Dantez Walton missed Three Point Jumper.,37,39
10:48,245,Savion Flagg Defensive Rebound.,37,39
10:21,245,Duane Wilson made Jumper. Assisted by Tyler Davis.,37,41
10:01,94,Drew McDonald missed Jumper.,37,41
10:01,245,Tyler Davis Block.,37,41
10:01,94,Dantez Walton Offensive Rebound.,37,41
9:50,94,Dantez Walton made Jumper.,39,41
9:26,245,Tyler Davis missed Jumper.,39,41
9:26,94,Dantez Walton Defensive Rebound.,39,41
9:19,94,Jordan Garnett made Three Point Jumper. Assisted by Mason Faulkner.,42,41
8:49,94,Foul on Lavone Holland II.,42,41
8:49,245,Duane Wilson made Free Throw.,42,42
8:49,245,Duane Wilson made Free Throw.,42,43
8:28,94,Dantez Walton missed Layup.,42,43
8:28,245,Tyler Davis Block.,42,43
8:28,245,JJ Caldwell Defensive Rebound.,42,43
8:25,94,Foul on Dantez Walton.,42,43
8:25,245,JJ Caldwell made Free Throw.,42,44
8:25,245,JJ Caldwell missed Free Throw.,42,44
8:25,94,Drew McDonald Defensive Rebound.,42,44
8:15,245,Foul on Duane Wilson.,42,44
8:07,94,Jordan Garnett made Layup. Assisted by Lavone Holland II.,44,44
7:48,245,Tonny Trocha-Morelos missed Three Point Jumper.,44,44
7:48,94,Lavone Holland II Defensive Rebound.,44,44
7:27,245,Foul on Tyler Davis.,44,44
7:27,245,Official TV Timeout,44,44
7:16,94,Dantez Walton missed Jumper.,44,44
7:16,245,JJ Caldwell Defensive Rebound.,44,44
7:07,245,Savion Flagg made Layup. Assisted by JJ Caldwell.,44,46
6:47,94,Mason Faulkner missed Three Point Jumper.,44,46
6:47,245,Savion Flagg Defensive Rebound.,44,46
6:36,245,Duane Wilson made Layup.,44,48
6:16,94,Lavone Holland II missed Three Point Jumper.,44,48
6:16,245,Savion Flagg Defensive Rebound.,44,48
6:04,245,Tonny Trocha-Morelos missed Jumper.,44,48
6:04,245,Savion Flagg Offensive Rebound.,44,48
5:56,94,Foul on Dantez Walton.,44,48
5:56,245,Tonny Trocha-Morelos missed Free Throw.,44,48
5:56,245,Texas A&M Deadball Team Rebound.,44,48
5:56,245,Tonny Trocha-Morelos made Free Throw.,44,49
5:48,94,Drew McDonald made Jumper. Assisted by Lavone Holland II.,46,49
5:26,245,Duane Wilson missed Layup.,46,49
5:26,245,Savion Flagg Offensive Rebound.,46,49
5:26,245,Savion Flagg made Two Point Tip Shot.,46,51
5:09,245,Foul on Tyler Davis.,46,51
5:09,94,Drew McDonald made Free Throw.,47,51
5:09,94,Drew McDonald made Free Throw.,48,51
5:02,94,Foul on Jalen Tate.,48,51
5:02,245,Savion Flagg made Free Throw.,48,52
5:02,245,Savion Flagg missed Free Throw.,48,52
5:02,94,Carson Williams Defensive Rebound.,48,52
4:53,245,Foul on JJ Caldwell.,48,52
4:53,94,Dantez Walton missed Free Throw.,48,52
4:53,94,Northern Kentucky Deadball Team Rebound.,48,52
4:53,94,Dantez Walton made Free Throw.,49,52
4:42,245,Duane Wilson missed Layup.,49,52
4:42,245,Savion Flagg Offensive Rebound.,49,52
4:37,94,Foul on Dantez Walton.,49,52
4:37,245,Savion Flagg made Free Throw.,49,53
4:37,245,Savion Flagg made Free Throw.,49,54
4:23,94,Drew McDonald missed Three Point Jumper.,49,54
4:23,245,Savion Flagg Defensive Rebound.,49,54
3:55,245,Tyler Davis made Layup. Assisted by JJ Caldwell.,49,56
3:39,245,Foul on DJ Hogg.,49,56
3:39,245,Official TV Timeout,49,56
3:39,94,Carson Williams missed Free Throw.,49,56
3:39,94,Northern Kentucky Deadball Team Rebound.,49,56
3:39,94,Carson Williams missed Free Throw.,49,56
3:39,245,Savion Flagg Defensive Rebound.,49,56
3:09,245,Duane Wilson Turnover.,49,56
2:59,94,Lavone Holland II Turnover.,49,56
2:59,245,Duane Wilson Steal.,49,56
2:51,245,Savion Flagg Turnover.,49,56
2:28,94,Mason Faulkner made Three Point Jumper. Assisted by Drew McDonald.,52,56
2:10,245,Duane Wilson missed Three Point Jumper.,52,56
2:10,94,Jordan Garnett Defensive Rebound.,52,56
1:55,94,Drew McDonald missed Layup.,52,56
1:55,245,Texas A&M Defensive Rebound.,52,56
1:47,245,Texas A&M  Timeout,52,56
1:26,245,Duane Wilson Turnover.,52,56
1:26,94,Jalen Tate Steal.,52,56
1:18,94,Northern Kentucky  Timeout,52,56
1:02,94,Jordan Garnett missed Layup.,52,56
1:02,94,Drew McDonald Offensive Rebound.,52,56
0:48,94,Mason Faulkner Turnover.,52,56
0:48,245,DJ Hogg Steal.,52,56
0:46,94,Foul on Dantez Walton.,52,56
0:46,245,Tonny Trocha-Morelos made Free Throw.,52,57
0:46,245,Tonny Trocha-Morelos made Free Throw.,52,58
0:36,94,Tyler Sharpe missed Three Point Jumper.,52,58
0:36,245,DJ Hogg Defensive Rebound.,52,58
0:36,94,Foul on Drew McDonald.,52,58
0:36,245,DJ Hogg made Free Throw.,52,59
0:36,94,Northern Kentucky  Timeout,52,59
0:36,245,DJ Hogg missed Free Throw.,52,59
0:36,94,Drew McDonald Defensive Rebound.,52,59
0:32,94,Jordan Garnett made Three Point Jumper. Assisted by Lavone Holland II.,55,59
0:26,245,Tyler Davis made Dunk. Assisted by DJ Hogg.,55,61
0:20,94,Lavone Holland II made Three Point Jumper. Assisted by Tyler Sharpe.,58,61
0:19,94,Northern Kentucky  Timeout,58,61
0:16,94,Foul on Lavone Holland II.,58,61
0:16,245,Duane Wilson made Free Throw.,58,62
0:16,245,Duane Wilson missed Free Throw.,58,62
0:16,94,Lavone Holland II Defensive Rebound.,58,62
0:13,94,Lavone Holland II Turnover.,58,62
0:13,245,Savion Flagg Steal.,58,62
0:04,94,Foul on Mason Faulkner.,58,62
0:04,245,JJ Caldwell made Free Throw.,58,63
0:04,245,JJ Caldwell made Free Throw.,58,64
0:00,245,End of Game,58,64
