Georgia Southern,338,Kennesaw State,290
8:05,338,Anthony Wilson Offensive Rebound.,29,24
8:00,338,James Scott Turnover.,29,24
8:00,338,Official TV Timeout,29,24
7:41,290,Quan Jackson made Layup.,31,24
7:20,338,Anthony Wilson missed Jumper.,31,24
7:20,338,Isaac Mbuyamba Offensive Rebound.,31,24
7:17,290,Foul on Jake Allsmiller.,31,24
7:00,338,Kyle Clarke missed Jumper.,31,24
7:00,290,Quan Jackson Defensive Rebound.,31,24
6:39,290,B.J. Gladden Turnover.,31,24
6:13,338,Isaac Mbuyamba Turnover.,31,24
6:12,290,Tookie Brown Steal.,31,24
6:06,290,Tookie Brown made Layup.,33,24
5:44,338,Isaac Mbuyamba missed Jumper.,33,24
5:44,290,Coye Simmons Defensive Rebound.,33,24
5:35,290,Mike Hughes missed Jumper.,33,24
5:35,290,Quan Jackson Offensive Rebound.,33,24
5:25,290,Quan Jackson Turnover.,33,24
5:24,338,James Scott Steal.,33,24
5:19,338,Nick Masterson made Layup. Assisted by James Scott.,33,26
4:53,290,B.J. Gladden Turnover.,33,26
4:35,338,James Scott missed Three Point Jumper.,33,26
4:35,290,B.J. Gladden Defensive Rebound.,33,26
4:22,290,Tookie Brown made Layup.,35,26
4:22,338,Foul on Anthony Wilson.,35,26
4:22,290,Tookie Brown missed Free Throw.,35,26
4:22,338,Bryson Lockley Defensive Rebound.,35,26
4:00,338,Nick Masterson missed Jumper.,35,26
4:00,290,B.J. Gladden Defensive Rebound.,35,26
3:42,290,Tookie Brown made Layup.,37,26
3:24,338,Tyler Hooker Turnover.,37,26
3:24,338,Official TV Timeout,37,26
3:08,290,Montae Glenn missed Jumper.,37,26
3:08,338,Bryson Lockley Defensive Rebound.,37,26
2:42,338,Tyler Hooker Turnover.,37,26
2:23,290,Mike Hughes missed Three Point Jumper.,37,26
2:23,290,Montae Glenn Offensive Rebound.,37,26
2:18,290,Montae Glenn missed Layup.,37,26
2:18,338,Bryson Lockley Block.,37,26
2:16,290,Shawn O'Connell Offensive Rebound.,37,26
2:14,290,Shawn O'Connell made Layup.,39,26
1:50,338,Bryson Lockley missed Layup.,39,26
1:50,290,Shawn O'Connell Defensive Rebound.,39,26
1:44,290,Tookie Brown missed Layup.,39,26
1:44,338,Bryson Lockley Defensive Rebound.,39,26
1:38,290,Foul on Tookie Brown.,39,26
1:34,338,Tyler Hooker missed Three Point Jumper.,39,26
1:34,290,Quan Jackson Defensive Rebound.,39,26
1:27,338,Foul on Tyler Hooker.,39,26
1:27,290,Quan Jackson missed Free Throw.,39,26
1:27,290,Georgia Southern Deadball Team Rebound.,39,26
1:27,290,Quan Jackson missed Free Throw.,39,26
1:27,290,Coye Simmons Offensive Rebound.,39,26
1:22,290,Coye Simmons missed Layup.,39,26
1:22,338,Kennesaw State Defensive Rebound.,39,26
1:05,290,Foul on Shawn O'Connell.,39,26
0:53,338,Bryson Lockley Turnover.,39,26
0:53,290,Mike Hughes Steal.,39,26
0:39,290,Mike Hughes Turnover.,39,26
0:37,338,James Scott Steal.,39,26
0:34,338,Kyle Clarke made Layup. Assisted by James Scott.,39,28
0:07,338,Foul on Bryson Lockley.,39,28
0:04,290,Coye Simmons made Dunk. Assisted by Mike Hughes.,41,28
0:00,338,End of 1st half,41,28
19:43,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,44,28
19:29,338,James Scott made Three Point Jumper.,44,31
19:15,290,Quan Jackson missed Jumper.,44,31
19:15,338,Kosta Jankovic Defensive Rebound.,44,31
19:09,338,Tyler Hooker Turnover.,44,31
19:07,290,Quan Jackson Steal.,44,31
19:04,290,Quan Jackson made Dunk.,46,31
18:48,338,James Scott made Layup.,46,33
18:33,290,Jake Allsmiller missed Three Point Jumper.,46,33
18:33,338,Nick Masterson Defensive Rebound.,46,33
18:23,338,James Scott missed Three Point Jumper.,46,33
18:23,290,Mike Hughes Defensive Rebound.,46,33
18:10,290,Montae Glenn made Jumper.,48,33
17:53,290,Foul on Quan Jackson.,48,33
17:33,338,James Scott made Jumper. Assisted by Jordan Jones.,48,35
17:13,290,Tookie Brown missed Jumper.,48,35
17:13,338,Tyler Hooker Defensive Rebound.,48,35
17:06,338,Tyler Hooker made Layup.,48,37
16:45,290,Quan Jackson Turnover.,48,37
16:44,338,Tyler Hooker Steal.,48,37
16:40,338,Tyler Hooker missed Layup.,48,37
16:39,290,Montae Glenn Block.,48,37
16:38,290,Montae Glenn Defensive Rebound.,48,37
16:21,290,Montae Glenn made Layup.,50,37
16:21,338,Foul on Jordan Jones.,50,37
16:21,290,Montae Glenn missed Free Throw.,50,37
16:21,290,Quan Jackson Offensive Rebound.,50,37
16:16,290,Quan Jackson missed Layup.,50,37
16:16,338,Nick Masterson Block.,50,37
16:13,338,Isaac Mbuyamba Defensive Rebound.,50,37
16:01,338,Tyler Hooker made Layup.,50,39
16:01,290,Foul on Montae Glenn.,50,39
16:01,338,Tyler Hooker made Free Throw.,50,40
15:38,290,Mike Hughes missed Three Point Jumper.,50,40
15:38,290,Tookie Brown Offensive Rebound.,50,40
15:31,290,Quan Jackson made Three Point Jumper. Assisted by Tookie Brown.,53,40
15:11,338,James Scott made Layup.,53,42
14:47,290,Quan Jackson missed Three Point Jumper.,53,42
14:47,338,Isaac Mbuyamba Defensive Rebound.,53,42
14:37,338,Tyler Hooker made Jumper.,53,44
14:16,290,Tookie Brown made Layup.,55,44
14:13,290,Georgia Southern  Timeout,55,44
14:13,338,Official TV Timeout,55,44
13:54,338,Kosta Jankovic missed Jumper.,55,44
13:54,290,Mike Hughes Defensive Rebound.,55,44
13:44,290,Mike Hughes missed Layup.,55,44
13:44,338,Isaac Mbuyamba Block.,55,44
13:42,338,Official TV Timeout,55,44
13:42,290,Georgia Southern Offensive Rebound.,55,44
13:42,338,Official TV Timeout,55,44
13:41,290,B.J. Gladden missed Layup.,55,44
13:41,338,Isaac Mbuyamba Defensive Rebound.,55,44
13:29,338,Nick Masterson made Three Point Jumper. Assisted by Tyler Hooker.,55,47
13:11,290,Tookie Brown made Layup.,57,47
13:03,338,Tyler Hooker missed Layup.,57,47
13:03,338,Isaac Mbuyamba Offensive Rebound.,57,47
12:58,338,Isaac Mbuyamba made Dunk.,57,49
12:43,290,B.J. Gladden missed Jumper.,57,49
12:43,338,Isaac Mbuyamba Defensive Rebound.,57,49
12:20,338,James Scott missed Three Point Jumper.,57,49
12:20,338,Kennesaw State Deadball Team Rebound.,57,49
12:17,290,Foul on Montae Glenn.,57,49
12:10,338,Nick Masterson made Three Point Jumper. Assisted by Tyler Hooker.,57,52
11:47,290,Quan Jackson Turnover.,57,52
11:45,338,Tyler Hooker Steal.,57,52
11:43,338,Tyler Hooker made Dunk. Assisted by Nick Masterson.,57,54
11:22,290,Quan Jackson missed Layup.,57,54
11:22,338,Isaac Mbuyamba Block.,57,54
11:19,290,Jake Allsmiller Offensive Rebound.,57,54
11:10,290,David-Lee Jones Jr. missed Jumper.,57,54
11:10,338,Nick Masterson Defensive Rebound.,57,54
11:02,338,Tyler Hooker Turnover.,57,54
11:02,338,Official TV Timeout,57,54
10:42,338,Foul on Kosta Jankovic.,57,54
10:42,290,Mike Hughes made Free Throw.,58,54
10:42,290,Mike Hughes made Free Throw.,59,54
10:20,338,Tyler Hooker made Layup.,59,56
10:07,290,Tookie Brown Turnover.,59,56
10:06,338,Tyler Hooker Steal.,59,56
10:00,338,Tyler Hooker Turnover.,59,56
9:59,290,Montae Glenn Steal.,59,56
9:56,290,Tookie Brown made Layup.,61,56
9:35,338,Kosta Jankovic made Layup. Assisted by Nick Masterson.,61,58
9:09,338,Foul on Tyler Hooker.,61,58
8:50,290,Tookie Brown missed Three Point Jumper.,61,58
8:50,290,Montae Glenn Offensive Rebound.,61,58
8:46,290,Montae Glenn Turnover.,61,58
8:29,338,James Scott missed Three Point Jumper.,61,58
8:29,290,David-Lee Jones Jr. Defensive Rebound.,61,58
8:21,338,Foul on Nick Masterson.,61,58
8:21,290,David-Lee Jones Jr. missed Free Throw.,61,58
8:21,290,Georgia Southern Deadball Team Rebound.,61,58
8:21,290,David-Lee Jones Jr. made Free Throw.,62,58
8:00,338,Kosta Jankovic made Jumper. Assisted by James Scott.,62,60
7:32,338,Foul on Bryson Lockley.,62,60
7:32,338,Official TV Timeout,62,60
7:32,290,B.J. Gladden missed Free Throw.,62,60
7:32,290,Georgia Southern Deadball Team Rebound.,62,60
7:32,290,B.J. Gladden missed Free Throw.,62,60
7:32,338,Kosta Jankovic Defensive Rebound.,62,60
7:20,338,James Scott missed Jumper.,62,60
7:20,290,B.J. Gladden Defensive Rebound.,62,60
7:03,290,Mike Hughes made Three Point Jumper.,65,60
7:02,338,Foul on Bryson Lockley.,65,60
7:02,290,Mike Hughes made Free Throw.,66,60
6:39,290,Foul on Montae Glenn.,66,60
6:38,338,Tyler Hooker missed Three Point Jumper.,66,60
6:38,338,Kennesaw State Deadball Team Rebound.,66,60
6:36,290,Foul on Tookie Brown.,66,60
6:25,338,Tyler Hooker Turnover.,66,60
6:24,290,Tookie Brown Steal.,66,60
6:17,290,Montae Glenn made Dunk. Assisted by Mike Hughes.,68,60
6:04,338,Kosta Jankovic made Jumper. Assisted by Nick Masterson.,68,62
5:42,290,Mike Hughes missed Three Point Jumper.,68,62
5:42,338,Bryson Lockley Defensive Rebound.,68,62
5:28,338,Bryson Lockley Turnover.,68,62
5:26,290,Montae Glenn Steal.,68,62
5:22,290,Jake Allsmiller missed Three Point Jumper.,68,62
5:22,290,Quan Jackson Offensive Rebound.,68,62
5:15,290,Quan Jackson missed Three Point Jumper.,68,62
5:15,338,Kosta Jankovic Defensive Rebound.,68,62
5:01,290,Foul on Mike Hughes.,68,62
4:59,338,Kosta Jankovic missed Three Point Jumper.,68,62
4:59,290,Jake Allsmiller Defensive Rebound.,68,62
4:30,290,Mike Hughes made Layup. Assisted by Tookie Brown.,70,62
4:18,338,James Scott made Layup.,70,64
3:56,290,Tookie Brown missed Three Point Jumper.,70,64
3:56,338,James Scott Defensive Rebound.,70,64
3:38,338,James Scott made Jumper. Assisted by Nick Masterson.,70,66
3:17,290,Tookie Brown made Layup.,72,66
3:01,338,Nick Masterson missed Jumper.,72,66
3:01,290,Tookie Brown Defensive Rebound.,72,66
2:30,290,Tookie Brown made Layup.,74,66
2:12,338,Kosta Jankovic missed Jumper.,74,66
2:12,338,Kennesaw State Deadball Team Rebound.,74,66
2:10,290,Foul on Mike Hughes.,74,66
2:10,338,Official TV Timeout,74,66
2:10,338,Isaac Mbuyamba missed Free Throw.,74,66
2:10,290,Mike Hughes Defensive Rebound.,74,66
1:39,290,Mike Hughes missed Jumper.,74,66
1:39,338,Isaac Mbuyamba Defensive Rebound.,74,66
1:19,338,Nick Masterson made Three Point Jumper. Assisted by Tyler Hooker.,74,69
0:53,338,Foul on James Scott.,74,69
0:53,290,Tookie Brown made Free Throw.,75,69
0:53,290,Tookie Brown made Free Throw.,76,69
0:44,338,Nick Masterson missed Jumper.,76,69
0:44,290,Tookie Brown Defensive Rebound.,76,69
0:37,338,Foul on Tyler Hooker.,76,69
0:37,290,Tookie Brown made Free Throw.,77,69
0:37,290,Tookie Brown made Free Throw.,78,69
0:33,338,Tyler Hooker missed Jumper.,78,69
0:33,290,Montae Glenn Defensive Rebound.,78,69
0:02,290,Georgia Southern  Turnover.,78,69
0:01,338,James Scott missed Three Point Jumper.,78,69
0:00,338,Kennesaw State Offensive Rebound.,78,69
0:00,338,End of Game,78,69
