Tulsa,197,Oklahoma State,202
6:34,197,Mitchell Solomon Defensive Rebound.,19,16
6:26,197,Lindy Waters III missed Three Point Jumper.,19,16
6:26,202,Sterling Taplin Defensive Rebound.,19,16
6:15,202,Junior Etou made Layup. Assisted by Sterling Taplin.,21,16
6:01,197,Jeffrey Carroll missed Three Point Jumper.,21,16
6:01,197,Jeffrey Carroll Offensive Rebound.,21,16
5:56,197,Jeffrey Carroll made Layup.,21,18
5:37,202,Sterling Taplin missed Three Point Jumper.,21,18
5:37,202,Curran Scott Offensive Rebound.,21,18
5:26,202,Curran Scott missed Jumper.,21,18
5:26,202,Curran Scott Offensive Rebound.,21,18
5:19,202,Junior Etou made Layup.,23,18
5:08,197,Mitchell Solomon Turnover.,23,18
4:52,202,Lawson Korita missed Jumper.,23,18
4:52,197,Tavarius Shine Defensive Rebound.,23,18
4:35,197,Thomas Dziagwa missed Three Point Jumper.,23,18
4:35,197,Tavarius Shine Offensive Rebound.,23,18
4:32,197,Tavarius Shine missed Layup.,23,18
4:32,202,Geno Artison Defensive Rebound.,23,18
4:11,202,Corey Henderson Jr. missed Jumper.,23,18
4:11,197,Tavarius Shine Defensive Rebound.,23,18
4:03,197,Tavarius Shine missed Three Point Jumper.,23,18
4:03,202,Tulsa Defensive Rebound.,23,18
4:00,197,Official TV Timeout,23,18
3:49,202,Martins Igbanu missed Layup.,23,18
3:49,197,Yankuba Sima Block.,23,18
3:49,202,Junior Etou Offensive Rebound.,23,18
3:47,197,Foul on Thomas Dziagwa.,23,18
3:47,202,Junior Etou made Free Throw.,24,18
3:47,202,Junior Etou made Free Throw.,25,18
3:26,197,Thomas Dziagwa missed Three Point Jumper.,25,18
3:26,197,Tavarius Shine Offensive Rebound.,25,18
3:18,197,Foul on Yankuba Sima.,25,18
3:18,197,Yankuba Sima Turnover.,25,18
3:07,202,Junior Etou missed Three Point Jumper.,25,18
3:07,197,Cameron McGriff Defensive Rebound.,25,18
2:59,197,Brandon Averette made Jumper.,25,20
2:35,202,Corey Henderson Jr. made Layup.,27,20
2:11,197,Cameron McGriff made Layup.,27,22
1:42,202,Sterling Taplin missed Three Point Jumper.,27,22
1:42,197,Thomas Dziagwa Defensive Rebound.,27,22
1:30,197,Jeffrey Carroll Turnover.,27,22
1:20,202,Corey Henderson Jr. missed Three Point Jumper.,27,22
1:20,197,Yankuba Sima Defensive Rebound.,27,22
1:03,197,Jeffrey Carroll made Three Point Jumper. Assisted by Lindy Waters III.,27,25
0:45,202,Corey Henderson Jr. missed Three Point Jumper.,27,25
0:45,202,Tulsa Offensive Rebound.,27,25
0:42,197,Foul on Thomas Dziagwa.,27,25
0:42,202,Junior Etou made Free Throw.,28,25
0:42,202,Junior Etou missed Free Throw.,28,25
0:42,197,Jeffrey Carroll Defensive Rebound.,28,25
0:29,197,Kendall Smith made Layup.,28,27
0:29,202,Foul on Elijah Joiner.,28,27
0:29,197,Kendall Smith made Free Throw.,28,28
0:01,202,Elijah Joiner missed Three Point Jumper.,28,28
0:01,197,Oklahoma State Defensive Rebound.,28,28
0:00,197,End of 1st half,28,28
19:44,197,Kendall Smith made Three Point Jumper. Assisted by Tavarius Shine.,28,31
19:24,202,Jaleel Wheeler missed Layup.,28,31
19:24,197,Mitchell Solomon Block.,28,31
19:22,197,Oklahoma State Defensive Rebound.,28,31
19:07,197,Lindy Waters III made Layup.,28,33
18:43,202,Martins Igbanu made Layup.,30,33
18:30,197,Mitchell Solomon made Layup. Assisted by Tavarius Shine.,30,35
18:13,202,Curran Scott Turnover.,30,35
18:04,197,Tavarius Shine made Three Point Jumper. Assisted by Kendall Smith.,30,38
17:40,202,Sterling Taplin missed Jumper.,30,38
17:40,197,Jeffrey Carroll Defensive Rebound.,30,38
17:24,197,Kendall Smith missed Three Point Jumper.,30,38
17:24,197,Mitchell Solomon Offensive Rebound.,30,38
17:18,197,Mitchell Solomon Turnover.,30,38
17:06,202,Junior Etou made Layup.,32,38
16:57,197,Tavarius Shine missed Three Point Jumper.,32,38
16:57,202,Elijah Joiner Defensive Rebound.,32,38
16:47,202,Sterling Taplin made Layup.,34,38
16:33,197,Mitchell Solomon made Jumper.,34,40
16:13,202,Geno Artison made Three Point Jumper. Assisted by Sterling Taplin.,37,40
15:46,197,Jeffrey Carroll missed Three Point Jumper.,37,40
15:46,202,Junior Etou Defensive Rebound.,37,40
15:35,197,Foul on Lindy Waters III.,37,40
15:35,197,Official TV Timeout,37,40
15:21,202,Geno Artison missed Three Point Jumper.,37,40
15:21,197,Jeffrey Carroll Defensive Rebound.,37,40
15:05,202,Foul on Corey Henderson Jr..,37,40
15:05,197,Mitchell Solomon missed Three Point Jumper.,37,40
15:05,202,Sterling Taplin Defensive Rebound.,37,40
14:48,202,Martins Igbanu Turnover.,37,40
14:42,202,Foul on Elijah Joiner.,37,40
14:28,197,Thomas Dziagwa missed Three Point Jumper.,37,40
14:28,202,Sterling Taplin Defensive Rebound.,37,40
14:08,202,Geno Artison Turnover.,37,40
14:07,197,Cameron McGriff Steal.,37,40
14:01,197,Jeffrey Carroll made Layup. Assisted by Brandon Averette.,37,42
13:41,202,Sterling Taplin made Three Point Jumper. Assisted by Curran Scott.,40,42
13:22,197,Thomas Dziagwa missed Three Point Jumper.,40,42
13:22,202,Jaleel Wheeler Defensive Rebound.,40,42
13:13,202,Curran Scott made Three Point Jumper. Assisted by Jaleel Wheeler.,43,42
12:54,197,Yankuba Sima made Jumper.,43,44
12:21,197,Foul on Thomas Dziagwa.,43,44
12:17,197,Foul on Lindy Waters III.,43,44
12:07,197,Foul on Cameron McGriff.,43,44
12:07,202,Martins Igbanu missed Free Throw.,43,44
12:07,202,Tulsa Deadball Team Rebound.,43,44
12:07,202,Martins Igbanu made Free Throw.,44,44
11:44,197,Yankuba Sima missed Jumper.,44,44
11:44,202,Jaleel Wheeler Defensive Rebound.,44,44
11:37,197,Official TV Timeout,44,44
11:30,202,Curran Scott made Layup.,46,44
11:03,197,Brandon Averette made Jumper.,46,46
10:45,202,Junior Etou missed Three Point Jumper.,46,46
10:45,197,Cameron McGriff Defensive Rebound.,46,46
10:32,197,Lindy Waters III missed Three Point Jumper.,46,46
10:32,202,Curran Scott Defensive Rebound.,46,46
10:22,202,Curran Scott Turnover.,46,46
10:00,197,Kendall Smith missed Three Point Jumper.,46,46
10:00,197,Mitchell Solomon Offensive Rebound.,46,46
9:53,197,Kendall Smith missed Three Point Jumper.,46,46
9:53,197,Cameron McGriff Offensive Rebound.,46,46
9:47,197,Kendall Smith made Layup. Assisted by Cameron McGriff.,46,48
9:29,202,Curran Scott missed Three Point Jumper.,46,48
9:29,202,Tulsa Offensive Rebound.,46,48
9:19,202,Jaleel Wheeler missed Three Point Jumper.,46,48
9:19,197,Kendall Smith Defensive Rebound.,46,48
9:05,197,Brandon Averette made Jumper. Assisted by Lindy Waters III.,46,50
8:57,202,Sterling Taplin Turnover.,46,50
8:57,202,Tulsa  Timeout,46,50
8:41,197,Cameron McGriff made Three Point Jumper. Assisted by Kendall Smith.,46,53
8:18,197,Foul on Cameron McGriff.,46,53
8:18,202,Junior Etou made Free Throw.,47,53
8:18,202,Junior Etou made Free Throw.,48,53
8:05,197,Cameron McGriff made Layup. Assisted by Brandon Averette.,48,55
7:45,197,Foul on Kendall Smith.,48,55
7:45,197,Official TV Timeout,48,55
7:45,202,Curran Scott made Free Throw.,49,55
7:45,202,Curran Scott made Free Throw.,50,55
7:06,197,Brandon Averette Turnover.,50,55
7:05,202,Geno Artison Steal.,50,55
6:57,202,Jaleel Wheeler missed Jumper.,50,55
6:57,197,Cameron McGriff Defensive Rebound.,50,55
6:36,197,Jeffrey Carroll missed Three Point Jumper.,50,55
6:36,197,Oklahoma State Offensive Rebound.,50,55
6:15,197,Kendall Smith Turnover.,50,55
5:56,202,Sterling Taplin missed Jumper.,50,55
5:56,197,Jeffrey Carroll Defensive Rebound.,50,55
5:41,197,Lindy Waters III made Jumper.,50,57
5:25,202,Corey Henderson Jr. made Three Point Jumper.,53,57
4:56,197,Kendall Smith made Three Point Jumper.,53,60
4:52,197,Oklahoma State  Timeout,53,60
4:30,202,Junior Etou made Layup.,55,60
4:02,197,Kendall Smith made Three Point Jumper.,55,63
3:41,202,Corey Henderson Jr. missed Three Point Jumper.,55,63
3:41,202,Tulsa Offensive Rebound.,55,63
3:39,197,Foul on Lindy Waters III.,55,63
3:39,197,Official TV Timeout,55,63
3:39,202,Elijah Joiner made Free Throw.,56,63
3:39,202,Elijah Joiner missed Free Throw.,56,63
3:39,197,Tavarius Shine Defensive Rebound.,56,63
3:12,197,Cameron McGriff missed Jumper.,56,63
3:12,197,Yankuba Sima Offensive Rebound.,56,63
2:57,197,Kendall Smith missed Jumper.,56,63
2:57,202,Junior Etou Defensive Rebound.,56,63
2:43,202,Corey Henderson Jr. made Three Point Jumper. Assisted by Junior Etou.,59,63
2:20,197,Jeffrey Carroll made Three Point Jumper. Assisted by Tavarius Shine.,59,66
2:02,202,Geno Artison missed Three Point Jumper.,59,66
2:02,197,Jeffrey Carroll Defensive Rebound.,59,66
1:40,197,Cameron McGriff missed Jumper.,59,66
1:40,202,Geno Artison Defensive Rebound.,59,66
1:30,202,Elijah Joiner missed Three Point Jumper.,59,66
1:30,197,Cameron McGriff Defensive Rebound.,59,66
1:05,197,Tavarius Shine made Three Point Jumper. Assisted by Jeffrey Carroll.,59,69
1:01,197,Oklahoma State  Timeout,59,69
0:56,202,Corey Henderson Jr. Turnover.,59,69
0:55,197,Jeffrey Carroll Steal.,59,69
0:31,197,Kendall Smith made Layup.,59,71
0:19,202,Corey Henderson Jr. missed Three Point Jumper.,59,71
0:19,197,Jeffrey Carroll Defensive Rebound.,59,71
0:00,197,End of Game,59,71
