Bethune-Cookman,264,Washington,2065
11:30,2065,Soufiyane Diakite missed Three Point Jumper.,9,17
11:30,2065,Malik Maitland Offensive Rebound.,9,17
11:29,2065,Bethune-Cookman  Turnover.,9,17
11:13,264,Matisse Thybulle missed Jumper.,9,17
11:13,2065,Brandon Tabb Defensive Rebound.,9,17
11:06,2065,Armani Collins missed Three Point Jumper.,9,17
11:06,264,Nahziah Carter Block.,9,17
11:05,2065,Bethune-Cookman Offensive Rebound.,9,17
10:58,2065,Brandon Tabb missed Three Point Jumper.,9,17
10:58,264,Washington Deadball Team Rebound.,9,17
10:38,264,Foul on Sam Timmins.,9,17
10:38,264,Sam Timmins Turnover.,9,17
10:25,2065,Isaiah Bailey missed Jumper.,9,17
10:25,264,Noah Dickerson Defensive Rebound.,9,17
10:14,264,Hameir Wright Turnover.,9,17
9:56,2065,Soufiyane Diakite missed Layup.,9,17
9:56,264,Hameir Wright Block.,9,17
9:54,2065,Soufiyane Diakite Offensive Rebound.,9,17
9:51,2065,Soufiyane Diakite missed Layup.,9,17
9:51,264,Noah Dickerson Defensive Rebound.,9,17
9:36,264,Jaylen Nowell missed Jumper.,9,17
9:36,264,Washington Offensive Rebound.,9,17
9:27,264,Nahziah Carter made Three Point Jumper. Assisted by Jaylen Nowell.,9,20
9:15,2065,Malik Maitland Turnover.,9,20
9:14,264,Jaylen Nowell Steal.,9,20
9:12,264,Nahziah Carter made Dunk. Assisted by Dominic Green.,9,22
8:59,2065,Soufiyane Diakite missed Jumper.,9,22
8:59,264,Jaylen Nowell Block.,9,22
8:56,2065,Soufiyane Diakite Offensive Rebound.,9,22
8:53,2065,Isaiah Bailey made Three Point Jumper. Assisted by Malik Maitland.,12,22
8:34,2065,Foul on Shawntrez Davis.,12,22
8:32,264,Jaylen Nowell made Three Point Jumper. Assisted by Noah Dickerson.,12,25
8:18,264,Foul on Nahziah Carter.,12,25
8:08,2065,Malik Maitland missed Three Point Jumper.,12,25
8:08,2065,Ulmer Manzie Offensive Rebound.,12,25
8:04,2065,Ulmer Manzie missed Jumper.,12,25
8:04,264,Noah Dickerson Block.,12,25
8:02,264,Jaylen Nowell Defensive Rebound.,12,25
7:59,2065,Foul on Ulmer Manzie.,12,25
7:59,264,Official TV Timeout,12,25
7:57,264,Dominic Green missed Three Point Jumper.,12,25
7:57,2065,Isaiah Bailey Defensive Rebound.,12,25
7:48,264,Foul on Nahziah Carter.,12,25
7:38,264,Foul on Carlos Johnson.,12,25
7:38,2065,David Francis missed Free Throw.,12,25
7:38,2065,Bethune-Cookman Deadball Team Rebound.,12,25
7:38,2065,David Francis made Free Throw.,13,25
7:27,264,Jaylen Nowell Turnover.,13,25
7:21,2065,Brandon Tabb made Three Point Jumper. Assisted by David Francis.,16,25
7:18,264,Washington  Timeout,16,25
7:02,264,Noah Dickerson missed Jumper.,16,25
7:02,2065,David Francis Block.,16,25
7:00,2065,David Francis Defensive Rebound.,16,25
6:50,2065,Brandon Tabb made Three Point Jumper. Assisted by David Francis.,19,25
6:28,264,Dominic Green made Three Point Jumper. Assisted by Jaylen Nowell.,19,28
6:19,264,Foul on Carlos Johnson.,19,28
6:11,2065,Jeffrey Altidort made Three Point Jumper. Assisted by Brandon Tabb.,22,28
6:00,2065,Foul on Brandon Tabb.,22,28
5:54,264,Carlos Johnson made Three Point Jumper. Assisted by David Crisp.,22,31
5:25,2065,Brandon Tabb missed Three Point Jumper.,22,31
5:25,264,Sam Timmins Defensive Rebound.,22,31
5:10,264,Matisse Thybulle missed Jumper.,22,31
5:10,2065,David Francis Defensive Rebound.,22,31
5:00,264,Foul on Sam Timmins.,22,31
5:00,2065,Isaiah Bailey made Free Throw.,23,31
5:00,2065,Isaiah Bailey made Free Throw.,24,31
4:50,2065,Foul on David Francis.,24,31
4:45,264,Dominic Green missed Three Point Jumper.,24,31
4:45,264,Noah Dickerson Offensive Rebound.,24,31
4:39,264,David Crisp missed Three Point Jumper.,24,31
4:39,264,Washington Offensive Rebound.,24,31
4:30,264,David Crisp missed Jumper.,24,31
4:30,2065,David Francis Defensive Rebound.,24,31
4:21,2065,Brandon Tabb made Jumper.,26,31
4:00,264,Noah Dickerson made Jumper.,26,33
3:42,2065,Isaiah Bailey made Three Point Jumper. Assisted by Jeffrey Altidort.,29,33
3:30,2065,Foul on David Francis.,29,33
3:30,264,Matisse Thybulle made Free Throw.,29,34
3:30,264,Matisse Thybulle made Free Throw.,29,35
3:23,264,Foul on Noah Dickerson.,29,35
3:23,2065,Brandon Tabb made Free Throw.,30,35
3:23,2065,Brandon Tabb made Free Throw.,31,35
3:23,2065,Brandon Tabb made Free Throw.,32,35
3:12,264,Jaylen Nowell Turnover.,32,35
3:10,2065,Soufiyane Diakite Steal.,32,35
3:08,2065,Soufiyane Diakite made Layup.,34,35
2:59,264,Matisse Thybulle missed Three Point Jumper.,34,35
2:59,264,Noah Dickerson Offensive Rebound.,34,35
2:56,264,Foul on Noah Dickerson.,34,35
2:56,264,Noah Dickerson Turnover.,34,35
2:36,2065,Brandon Tabb missed Three Point Jumper.,34,35
2:36,264,Washington Deadball Team Rebound.,34,35
2:34,2065,Foul on Malik Maitland.,34,35
2:34,264,Hameir Wright made Free Throw.,34,36
2:34,264,Hameir Wright missed Free Throw.,34,36
2:34,2065,Isaiah Bailey Defensive Rebound.,34,36
2:09,2065,Brandon Tabb missed Three Point Jumper.,34,36
2:09,264,Hameir Wright Defensive Rebound.,34,36
1:59,264,Jaylen Nowell made Three Point Jumper. Assisted by David Crisp.,34,39
1:31,2065,Armani Collins missed Three Point Jumper.,34,39
1:31,264,Sam Timmins Defensive Rebound.,34,39
1:21,264,David Crisp missed Layup.,34,39
1:21,264,Sam Timmins Offensive Rebound.,34,39
1:18,264,Sam Timmins made Layup.,34,41
0:56,2065,Armani Collins missed Three Point Jumper.,34,41
0:56,264,David Crisp Defensive Rebound.,34,41
0:43,264,Jaylen Nowell made Layup.,34,43
0:16,2065,Malik Maitland missed Jumper.,34,43
0:16,2065,Armani Collins Offensive Rebound.,34,43
0:10,2065,Isaiah Bailey made Jumper. Assisted by Armani Collins.,36,43
0:00,264,End of 1st half,36,43
19:39,2065,Isaiah Bailey made Jumper.,38,43
19:18,264,Matisse Thybulle missed Three Point Jumper.,38,43
19:18,2065,Isaiah Bailey Defensive Rebound.,38,43
18:56,2065,Malik Maitland Turnover.,38,43
18:54,264,Matisse Thybulle Steal.,38,43
18:52,264,Jaylen Nowell made Dunk. Assisted by Matisse Thybulle.,38,45
18:32,2065,Isaiah Bailey missed Jumper.,38,45
18:32,264,Noah Dickerson Defensive Rebound.,38,45
18:20,264,David Crisp made Three Point Jumper.,38,48
18:00,2065,Houston Smith Turnover.,38,48
17:54,2065,Foul on Malik Maitland.,38,48
17:54,264,Jaylen Nowell made Free Throw.,38,49
17:54,264,Jaylen Nowell made Free Throw.,38,50
17:44,264,Foul on David Crisp.,38,50
17:44,2065,Isaiah Bailey made Free Throw.,39,50
17:44,2065,Isaiah Bailey made Free Throw.,40,50
17:19,264,Matisse Thybulle Turnover.,40,50
17:15,2065,Soufiyane Diakite missed Jumper.,40,50
17:15,264,Jaylen Nowell Block.,40,50
17:14,2065,Bethune-Cookman Offensive Rebound.,40,50
17:09,2065,Houston Smith Turnover.,40,50
17:08,264,Matisse Thybulle Steal.,40,50
17:05,264,Jaylen Nowell made Layup. Assisted by Matisse Thybulle.,40,52
17:05,2065,Foul on Malik Maitland.,40,52
17:05,264,Jaylen Nowell made Free Throw.,40,53
16:38,264,Foul on Noah Dickerson.,40,53
16:38,2065,Isaiah Bailey made Free Throw.,41,53
16:38,2065,Isaiah Bailey made Free Throw.,42,53
16:27,264,David Crisp made Three Point Jumper. Assisted by Jaylen Nowell.,42,56
16:09,2065,David Francis missed Jumper.,42,56
16:09,264,Sam Timmins Block.,42,56
16:09,2065,Bethune-Cookman Offensive Rebound.,42,56
16:08,2065,Isaiah Bailey Turnover.,42,56
16:07,264,Matisse Thybulle Steal.,42,56
16:05,264,Matisse Thybulle made Layup.,42,58
16:05,2065,Foul on Jeffrey Altidort.,42,58
16:05,264,Matisse Thybulle missed Free Throw.,42,58
16:05,2065,Brandon Tabb Defensive Rebound.,42,58
15:52,2065,David Francis Turnover.,42,58
15:51,264,Jaylen Nowell Steal.,42,58
15:49,264,David Crisp made Layup. Assisted by Jaylen Nowell.,42,60
15:32,2065,Brandon Tabb Turnover.,42,60
15:31,264,Matisse Thybulle Steal.,42,60
15:24,2065,Foul on Jeffrey Altidort.,42,60
15:24,264,Official TV Timeout,42,60
15:24,264,Hameir Wright missed Free Throw.,42,60
15:24,264,Washington Deadball Team Rebound.,42,60
15:24,264,Hameir Wright missed Free Throw.,42,60
15:24,2065,Brandon Tabb Defensive Rebound.,42,60
15:17,2065,Brandon Tabb Turnover.,42,60
15:08,264,Matisse Thybulle missed Jumper.,42,60
15:08,2065,Armani Collins Block.,42,60
15:06,2065,Shawntrez Davis Defensive Rebound.,42,60
15:01,2065,Brandon Tabb missed Three Point Jumper.,42,60
15:01,264,Jaylen Nowell Defensive Rebound.,42,60
14:55,264,Jaylen Nowell Turnover.,42,60
14:51,2065,David Francis made Layup. Assisted by Jeffrey Altidort.,44,60
14:24,264,David Crisp made Three Point Jumper. Assisted by Sam Timmins.,44,63
14:07,2065,David Francis missed Jumper.,44,63
14:07,264,Sam Timmins Block.,44,63
14:04,2065,David Francis Offensive Rebound.,44,63
14:01,2065,David Francis missed Jumper.,44,63
14:01,264,Sam Timmins Block.,44,63
14:00,264,Sam Timmins Defensive Rebound.,44,63
13:56,2065,Foul on Shawntrez Davis.,44,63
13:50,264,Sam Timmins missed Jumper.,44,63
13:50,2065,Shawntrez Davis Defensive Rebound.,44,63
13:27,2065,David Francis Turnover.,44,63
13:24,264,Matisse Thybulle Steal.,44,63
13:21,264,Nahziah Carter made Layup.,44,65
12:52,2065,Houston Smith Turnover.,44,65
12:51,264,Matisse Thybulle Steal.,44,65
12:48,264,Matisse Thybulle made Dunk. Assisted by Hameir Wright.,44,67
12:38,2065,Malik Maitland Turnover.,44,67
12:37,264,Nahziah Carter Steal.,44,67
12:35,264,Nahziah Carter made Dunk.,44,69
12:19,2065,Isaiah Bailey missed Layup.,44,69
12:19,2065,Armani Collins Offensive Rebound.,44,69
12:15,2065,Armani Collins missed Jumper.,44,69
12:15,2065,Malik Maitland Offensive Rebound.,44,69
12:09,2065,Brandon Tabb missed Three Point Jumper.,44,69
12:09,264,Sam Timmins Defensive Rebound.,44,69
11:55,264,Foul on Matisse Thybulle.,44,69
11:55,264,Matisse Thybulle Turnover.,44,69
11:55,264,Official TV Timeout,44,69
11:38,2065,Malik Maitland Turnover.,44,69
11:38,264,Hameir Wright Steal.,44,69
11:38,2065,Foul on Malik Maitland.,44,69
11:22,264,Matisse Thybulle missed Jumper.,44,69
11:22,264,Matisse Thybulle Offensive Rebound.,44,69
11:19,264,Matisse Thybulle made Dunk.,44,71
11:00,2065,Soufiyane Diakite missed Jumper.,44,71
11:00,264,Sam Timmins Block.,44,71
10:58,264,David Crisp Defensive Rebound.,44,71
10:55,264,David Crisp made Dunk.,44,73
10:33,2065,Isaiah Bailey Turnover.,44,73
10:12,264,Sam Timmins missed Jumper.,44,73
10:12,2065,Brandon Tabb Defensive Rebound.,44,73
10:05,2065,Isaiah Bailey missed Layup.,44,73
10:05,2065,Brandon Tabb Offensive Rebound.,44,73
10:02,2065,Brandon Tabb missed Three Point Jumper.,44,73
10:02,264,David Crisp Defensive Rebound.,44,73
9:47,2065,Foul on Ulmer Manzie.,44,73
9:47,264,Sam Timmins missed Free Throw.,44,73
9:47,2065,Isaiah Bailey Defensive Rebound.,44,73
9:42,264,Foul on David Crisp.,44,73
9:31,2065,Armani Collins missed Three Point Jumper.,44,73
9:31,264,Dominic Green Defensive Rebound.,44,73
9:18,264,Dominic Green made Three Point Jumper. Assisted by Matisse Thybulle.,44,76
8:59,2065,Armani Collins Turnover.,44,76
8:58,264,Hameir Wright Steal.,44,76
8:47,264,Dominic Green missed Three Point Jumper.,44,76
8:47,2065,Houston Smith Defensive Rebound.,44,76
8:36,2065,Armani Collins Turnover.,44,76
8:35,264,Matisse Thybulle Steal.,44,76
8:33,264,Matisse Thybulle made Dunk.,44,78
8:12,2065,Soufiyane Diakite missed Layup.,44,78
8:12,264,Hameir Wright Block.,44,78
8:12,264,Washington Defensive Rebound.,44,78
8:00,264,Jaylen Nowell missed Three Point Jumper.,44,78
8:00,2065,Soufiyane Diakite Defensive Rebound.,44,78
7:33,2065,Ulmer Manzie missed Layup.,44,78
7:33,264,Dominic Green Block.,44,78
7:31,2065,Ulmer Manzie Offensive Rebound.,44,78
7:26,264,Foul on Jaylen Nowell.,44,78
7:26,264,Official TV Timeout,44,78
7:26,2065,Ulmer Manzie made Free Throw.,45,78
7:26,2065,Ulmer Manzie missed Free Throw.,45,78
7:26,264,Hameir Wright Defensive Rebound.,45,78
7:06,264,Hameir Wright made Jumper.,45,80
6:52,2065,Foul on Ulmer Manzie.,45,80
6:52,2065,Ulmer Manzie Turnover.,45,80
6:42,264,Dominic Green made Three Point Jumper. Assisted by Nahziah Carter.,45,83
6:32,2065,Shawntrez Davis missed Layup.,45,83
6:32,264,Hameir Wright Block.,45,83
6:31,264,Hameir Wright Defensive Rebound.,45,83
6:24,264,Nahziah Carter made Layup.,45,85
6:07,2065,Shawntrez Davis made Dunk. Assisted by Soufiyane Diakite.,47,85
5:53,2065,Foul on Houston Smith.,47,85
5:53,264,Carlos Johnson missed Free Throw.,47,85
5:53,264,Washington Deadball Team Rebound.,47,85
5:53,264,Carlos Johnson made Free Throw.,47,86
5:43,2065,Houston Smith missed Three Point Jumper.,47,86
5:43,2065,Jamal Gaines Offensive Rebound.,47,86
5:31,2065,Jeffrey Altidort missed Three Point Jumper.,47,86
5:31,264,Washington Defensive Rebound.,47,86
5:06,264,Dan Kingma missed Layup.,47,86
5:06,264,Greg Bowman Offensive Rebound.,47,86
5:03,264,Greg Bowman made Layup.,47,88
4:44,2065,Soufiyane Diakite missed Jumper.,47,88
4:44,2065,Rodney Ross Offensive Rebound.,47,88
4:36,2065,Rodney Ross Turnover.,47,88
4:34,264,Carlos Johnson Steal.,47,88
4:31,264,Carlos Johnson made Dunk. Assisted by Nahziah Carter.,47,90
4:09,2065,Jamal Gaines missed Jumper.,47,90
4:09,2065,Soufiyane Diakite Offensive Rebound.,47,90
4:08,264,Foul on Dan Kingma.,47,90
4:08,2065,Soufiyane Diakite made Free Throw.,48,90
4:08,2065,Soufiyane Diakite made Free Throw.,49,90
3:51,264,Jason Crandall made Jumper.,49,92
3:35,2065,Jamal Gaines made Jumper.,51,92
3:18,264,Dominic Green made Three Point Jumper. Assisted by Jason Crandall.,51,95
2:55,2065,Soufiyane Diakite missed Jumper.,51,95
2:55,264,Greg Bowman Defensive Rebound.,51,95
2:31,264,Jason Crandall made Three Point Jumper. Assisted by Dominic Green.,51,98
2:14,2065,Rodney Ross made Jumper.,53,98
2:13,264,Official TV Timeout,53,98
2:13,264,Foul on Greg Bowman.,53,98
2:13,264,Official TV Timeout,53,98
2:13,2065,Rodney Ross missed Free Throw.,53,98
2:13,264,Carlos Johnson Defensive Rebound.,53,98
1:59,264,Carlos Johnson Turnover.,53,98
1:57,2065,Jamal Gaines Steal.,53,98
1:54,2065,Jamal Gaines missed Jumper.,53,98
1:54,264,Dominic Green Block.,53,98
1:53,2065,Rodney Ross Offensive Rebound.,53,98
1:50,2065,Rodney Ross made Layup.,55,98
1:34,264,Carlos Johnson missed Jumper.,55,98
1:34,264,Jason Crandall Offensive Rebound.,55,98
1:17,264,Dominic Green made Three Point Jumper. Assisted by Dan Kingma.,55,101
1:01,2065,Armani Collins missed Three Point Jumper.,55,101
1:01,264,Washington Defensive Rebound.,55,101
0:53,264,Dominic Green made Three Point Jumper. Assisted by Carlos Johnson.,55,104
0:41,2065,Houston Smith missed Three Point Jumper.,55,104
0:41,264,Carlos Johnson Defensive Rebound.,55,104
0:19,264,Greg Bowman made Dunk. Assisted by Dan Kingma.,55,106
0:02,2065,Armani Collins Turnover.,55,106
0:01,264,Dan Kingma Steal.,55,106
0:00,264,End of Game,55,106
