Iona,107,Holy Cross,314
1:44,314,Schadrac Casimir missed Jumper.,35,23
1:44,107,Austin Butler Defensive Rebound.,35,23
1:30,107,Matt Faw missed Jumper.,35,23
1:30,314,Iona Defensive Rebound.,35,23
1:03,314,Roland Griffin Turnover.,35,23
1:02,107,Caleb Green Steal.,35,23
0:58,107,Austin Butler missed Jumper.,35,23
0:58,314,Rickey McGill Defensive Rebound.,35,23
0:58,107,Foul on Jehyve Floyd.,35,23
0:40,314,Rickey McGill made Three Point Jumper. Assisted by Deyshonee Much.,38,23
0:13,107,Matt Zignorski missed Three Point Jumper.,38,23
0:13,314,E.J. Crawford Defensive Rebound.,38,23
0:02,314,TK Edogi missed Jumper.,38,23
0:02,107,Jehyve Floyd Block.,38,23
0:00,107,Matt Zignorski Defensive Rebound.,38,23
0:00,107,End of 1st half,38,23
19:40,314,E.J. Crawford missed Three Point Jumper.,38,23
19:40,314,E.J. Crawford Offensive Rebound.,38,23
19:35,314,E.J. Crawford Turnover.,38,23
19:32,107,Caleb Green Steal.,38,23
19:30,107,Caleb Green Turnover.,38,23
19:28,314,Schadrac Casimir Steal.,38,23
19:26,314,Rickey McGill missed Three Point Jumper.,38,23
19:26,107,Holy Cross Defensive Rebound.,38,23
19:02,107,Karl Charles Turnover.,38,23
19:00,314,Rickey McGill Steal.,38,23
18:59,107,Foul on Connor Niego.,38,23
18:54,314,E.J. Crawford made Three Point Jumper. Assisted by Rickey McGill.,41,23
18:31,107,Caleb Green missed Three Point Jumper.,41,23
18:31,314,TK Edogi Defensive Rebound.,41,23
18:23,314,TK Edogi Turnover.,41,23
18:21,107,Connor Niego Steal.,41,23
18:17,107,Caleb Green missed Jumper.,41,23
18:17,314,TK Edogi Block.,41,23
18:15,107,Karl Charles Offensive Rebound.,41,23
18:15,107,Karl Charles made Layup.,41,25
18:15,314,Foul on Schadrac Casimir.,41,25
18:15,107,Karl Charles made Free Throw.,41,26
17:59,314,Schadrac Casimir made Three Point Jumper. Assisted by Rickey McGill.,44,26
17:39,314,Foul on Schadrac Casimir.,44,26
17:33,107,Matt Faw made Jumper. Assisted by Matt Zignorski.,44,28
17:23,314,E.J. Crawford made Three Point Jumper. Assisted by Deyshonee Much.,47,28
16:52,107,Austin Butler made Three Point Jumper. Assisted by Matt Zignorski.,47,31
16:40,314,Schadrac Casimir made Three Point Jumper.,50,31
16:25,107,Matt Faw missed Three Point Jumper.,50,31
16:25,314,Schadrac Casimir Defensive Rebound.,50,31
16:19,107,Foul on Matt Faw.,50,31
16:11,314,Schadrac Casimir missed Layup.,50,31
16:11,107,Jehyve Floyd Defensive Rebound.,50,31
15:58,107,Jehyve Floyd made Dunk.,50,33
15:58,314,Foul on TK Edogi.,50,33
15:58,107,Holy Cross  Timeout,50,33
15:58,107,Jehyve Floyd made Free Throw.,50,34
15:44,314,Deyshonee Much Turnover.,50,34
15:29,107,Karl Charles missed Three Point Jumper.,50,34
15:29,314,Schadrac Casimir Defensive Rebound.,50,34
15:20,314,TK Edogi made Layup. Assisted by Rickey McGill.,52,34
14:49,107,Jacob Grandison missed Three Point Jumper.,52,34
14:49,314,Deyshonee Much Defensive Rebound.,52,34
14:43,314,Rickey McGill missed Three Point Jumper.,52,34
14:43,314,TK Edogi Offensive Rebound.,52,34
14:20,107,Foul on Austin Butler.,52,34
14:12,314,Rickey McGill Turnover.,52,34
14:10,107,Caleb Green Steal.,52,34
13:57,107,Jehyve Floyd made Dunk.,52,36
13:35,314,Schadrac Casimir missed Three Point Jumper.,52,36
13:35,107,Jehyve Floyd Defensive Rebound.,52,36
13:10,107,Jacob Grandison made Layup. Assisted by Austin Butler.,52,38
12:43,314,Rickey McGill made Jumper.,54,38
12:31,107,Jacob Grandison made Jumper.,54,40
12:31,314,Foul on Deyshonee Much.,54,40
12:31,107,Jacob Grandison made Free Throw.,54,41
12:20,314,TK Edogi Turnover.,54,41
12:20,314,Foul on TK Edogi.,54,41
12:13,107,Jacob Grandison Turnover.,54,41
12:13,314,Jan Svandrlik Steal.,54,41
12:13,107,Foul on Jacob Grandison.,54,41
11:58,314,E.J. Crawford missed Jumper.,54,41
11:58,107,Jacob Grandison Defensive Rebound.,54,41
11:47,107,Jacob Grandison Turnover.,54,41
11:47,314,Iona  Timeout,54,41
11:35,314,TK Edogi missed Layup.,54,41
11:35,107,Matt Zignorski Defensive Rebound.,54,41
11:14,107,Jehyve Floyd made Jumper.,54,43
10:50,314,Jan Svandrlik missed Three Point Jumper.,54,43
10:50,107,Austin Butler Block.,54,43
10:47,107,Matt Zignorski Defensive Rebound.,54,43
10:22,107,Jehyve Floyd made Layup.,54,45
10:22,314,Iona  Timeout,54,45
10:22,314,Iona  Timeout,54,45
9:56,314,Deyshonee Much made Jumper.,56,45
9:56,107,Foul on Matt Zignorski.,56,45
9:56,314,Deyshonee Much made Free Throw.,57,45
9:40,107,Patrick Benzan missed Jumper.,57,45
9:40,314,Roland Griffin Block.,57,45
9:39,314,Iona Defensive Rebound.,57,45
9:24,314,Rickey McGill missed Three Point Jumper.,57,45
9:24,107,Jehyve Floyd Defensive Rebound.,57,45
8:52,107,Jehyve Floyd missed Jumper.,57,45
8:52,314,Roland Griffin Defensive Rebound.,57,45
8:44,314,Schadrac Casimir missed Three Point Jumper.,57,45
8:44,107,Jehyve Floyd Defensive Rebound.,57,45
8:34,107,Patrick Benzan missed Jumper.,57,45
8:34,314,Roland Griffin Defensive Rebound.,57,45
8:33,107,Foul on Patrick Benzan.,57,45
8:23,314,Jan Svandrlik made Three Point Jumper. Assisted by Deyshonee Much.,60,45
7:58,107,Caleb Green missed Jumper.,60,45
7:58,107,Patrick Benzan Offensive Rebound.,60,45
7:49,107,Jacob Grandison missed Three Point Jumper.,60,45
7:49,314,Roland Griffin Defensive Rebound.,60,45
7:49,107,Foul on Austin Butler.,60,45
7:49,314,Iona  Timeout,60,45
7:42,314,Roland Griffin made Free Throw.,61,45
7:42,314,Roland Griffin made Free Throw.,62,45
7:17,107,Connor Niego missed Three Point Jumper.,62,45
7:17,107,Jehyve Floyd Offensive Rebound.,62,45
7:14,314,Foul on Roland Griffin.,62,45
7:13,107,Patrick Benzan made Layup. Assisted by Karl Charles.,62,47
7:13,314,Foul on Schadrac Casimir.,62,47
7:13,107,Patrick Benzan made Free Throw.,62,48
6:42,314,Roland Griffin made Layup. Assisted by Rickey McGill.,64,48
6:22,107,Karl Charles made Three Point Jumper. Assisted by Patrick Benzan.,64,51
5:44,314,Rickey McGill missed Three Point Jumper.,64,51
5:44,314,Deyshonee Much Offensive Rebound.,64,51
5:39,314,Roland Griffin missed Jumper.,64,51
5:39,107,Patrick Benzan Defensive Rebound.,64,51
5:31,107,Caleb Green missed Three Point Jumper.,64,51
5:31,107,Jehyve Floyd Offensive Rebound.,64,51
5:16,107,Patrick Benzan made Three Point Jumper. Assisted by Caleb Green.,64,54
4:51,314,Schadrac Casimir made Three Point Jumper. Assisted by Deyshonee Much.,67,54
4:14,107,Patrick Benzan made Jumper.,67,56
4:03,107,Foul on Karl Charles.,67,56
4:03,314,Roland Griffin missed Free Throw.,67,56
4:03,314,Iona Deadball Team Rebound.,67,56
4:03,314,Roland Griffin made Free Throw.,68,56
3:48,107,Karl Charles Turnover.,68,56
3:48,314,Iona  Timeout,68,56
3:36,314,E.J. Crawford made Three Point Jumper. Assisted by Deyshonee Much.,71,56
3:15,107,Jacob Grandison made Three Point Jumper. Assisted by Karl Charles.,71,59
3:06,314,Deyshonee Much made Three Point Jumper. Assisted by Rickey McGill.,74,59
2:34,107,Jacob Grandison Turnover.,74,59
2:31,314,Deyshonee Much Steal.,74,59
2:30,314,E.J. Crawford Turnover.,74,59
2:30,107,Jacob Grandison Steal.,74,59
2:16,314,Foul on Roland Griffin.,74,59
2:16,107,Jehyve Floyd missed Free Throw.,74,59
2:16,107,Holy Cross Deadball Team Rebound.,74,59
2:16,107,Jehyve Floyd missed Free Throw.,74,59
2:16,314,E.J. Crawford Defensive Rebound.,74,59
1:52,314,Roland Griffin made Jumper. Assisted by Deyshonee Much.,76,59
1:36,107,Patrick Benzan missed Jumper.,76,59
1:36,314,Roland Griffin Defensive Rebound.,76,59
1:16,314,Deyshonee Much missed Three Point Jumper.,76,59
1:16,107,Austin Butler Defensive Rebound.,76,59
1:11,107,Austin Butler made Three Point Jumper.,76,62
1:03,107,Foul on Patrick Benzan.,76,62
1:03,314,Schadrac Casimir missed Free Throw.,76,62
1:03,314,Iona Deadball Team Rebound.,76,62
1:03,314,Schadrac Casimir made Free Throw.,77,62
1:03,314,Schadrac Casimir made Free Throw.,78,62
0:55,107,Jacob Grandison missed Three Point Jumper.,78,62
0:55,107,Holy Cross Offensive Rebound.,78,62
0:50,107,Caleb Green made Three Point Jumper. Assisted by Austin Butler.,78,65
0:41,107,Foul on Jacob Grandison.,78,65
0:41,314,Schadrac Casimir made Free Throw.,79,65
0:41,314,Schadrac Casimir made Free Throw.,80,65
0:36,107,Austin Butler missed Three Point Jumper.,80,65
0:36,314,Iona Defensive Rebound.,80,65
0:17,314,Tyrell Williams made Layup. Assisted by Schadrac Casimir.,82,65
0:13,107,Austin Butler made Three Point Jumper.,82,68
0:00,107,End of Game,82,68
