Ecclesia,Error,Texas State,326
13:00,326,Eric Terry missed Free Throw.,24,61
13:00,-1,Noah Banks Defensive Rebound.,24,61
12:42,-1,Ashton Worgu Turnover.,24,61
12:28,326,Isaiah Gurley missed Jumper.,24,61
12:28,-1,Ashton Worgu Defensive Rebound.,24,61
12:11,-1,Jr Ramirez made Three Point Jumper. Assisted by Chris White.,27,61
11:57,-1,Foul on Ashton Worgu.,27,61
11:57,326,Official TV Timeout,27,61
11:57,326,Nedeljko Prijovic missed Free Throw.,27,61
11:57,326,Texas State Deadball Team Rebound.,27,61
11:57,326,Nedeljko Prijovic missed Free Throw.,27,61
11:57,-1,Jr Ramirez Defensive Rebound.,27,61
11:50,326,Foul on Shelby Adams.,27,61
11:50,-1,Ashton Worgu made Free Throw.,28,61
11:50,-1,Ashton Worgu made Free Throw.,29,61
11:28,326,Shelby Adams made Layup. Assisted by Nijal Pearson.,29,63
11:08,-1,Dequcelan Bagsby missed Three Point Jumper.,29,63
11:08,326,Immanuel King Defensive Rebound.,29,63
10:39,326,Nijal Pearson missed Three Point Jumper.,29,63
10:39,-1,Jr Ramirez Defensive Rebound.,29,63
10:30,326,Foul on Shelby Adams.,29,63
10:19,-1,Jr Ramirez missed Three Point Jumper.,29,63
10:19,326,Nijal Pearson Defensive Rebound.,29,63
10:06,326,Alex Peacock Turnover.,29,63
9:43,-1,Milacio Freeland Turnover.,29,63
9:25,326,Nijal Pearson made Jumper. Assisted by Reggie Miller.,29,65
9:11,-1,Jr Ramirez missed Three Point Jumper.,29,65
9:11,326,Immanuel King Defensive Rebound.,29,65
8:47,326,Alex Peacock missed Three Point Jumper.,29,65
8:47,326,Immanuel King Offensive Rebound.,29,65
8:41,326,Immanuel King made Layup.,29,67
8:20,-1,Jr Ramirez missed Jumper.,29,67
8:20,326,Shelby Adams Defensive Rebound.,29,67
8:13,326,Shelby Adams made Layup.,29,69
8:13,-1,Foul on Cash Krueger.,29,69
8:12,326,Shelby Adams missed Free Throw.,29,69
8:12,-1,Vlad Chira Defensive Rebound.,29,69
8:07,-1,Noah Banks missed Three Point Jumper.,29,69
8:07,326,Nijal Pearson Defensive Rebound.,29,69
7:57,326,Texas State  Turnover.,29,69
7:56,326,Official TV Timeout,29,69
7:48,326,Foul on Tyler Blount.,29,69
7:48,-1,Milacio Freeland missed Free Throw.,29,69
7:48,-1,Ecclesia Deadball Team Rebound.,29,69
7:48,-1,Milacio Freeland missed Free Throw.,29,69
7:48,326,Tyler Blount Defensive Rebound.,29,69
7:36,326,Eric Terry missed Jumper.,29,69
7:36,-1,Vlad Chira Defensive Rebound.,29,69
7:17,-1,Milacio Freeland made Three Point Jumper. Assisted by Reagan Babyar.,32,69
6:56,326,Eric Terry made Layup. Assisted by Tyler Blount.,32,71
6:44,326,Foul on Deris Duncan.,32,71
6:43,-1,Chris White missed Free Throw.,32,71
6:42,-1,Ecclesia Deadball Team Rebound.,32,71
6:41,-1,Chris White made Free Throw.,33,71
6:20,326,Tre'Larenz Nottingham Turnover.,33,71
6:01,-1,Noah Banks missed Jumper.,33,71
6:01,326,Nedeljko Prijovic Defensive Rebound.,33,71
5:53,326,Tre'Larenz Nottingham made Layup. Assisted by Tyler Blount.,33,73
5:44,-1,Milacio Freeland made Free Throw.,34,73
5:44,326,Foul on Tre'Larenz Nottingham.,33,73
5:44,-1,Milacio Freeland made Free Throw.,35,73
5:31,326,Tyler Blount made Three Point Jumper. Assisted by Deris Duncan.,35,76
5:15,-1,Noah Banks missed Jumper.,35,76
5:15,326,Eric Terry Block.,35,76
5:13,326,Tyler Blount Defensive Rebound.,35,76
5:08,326,Eric Terry made Dunk. Assisted by Tyler Blount.,35,78
4:48,-1,Vlad Chira missed Jumper.,35,78
4:48,326,Nedeljko Prijovic Block.,35,78
4:47,-1,Vlad Chira Offensive Rebound.,35,78
4:43,-1,Milacio Freeland missed Three Point Jumper.,35,78
4:43,326,Nedeljko Prijovic Defensive Rebound.,35,78
4:29,326,Deris Duncan made Dunk. Assisted by Eric Terry.,35,80
4:10,-1,Reagan Babyar made Jumper.,37,80
4:07,-1,Ecclesia  Timeout,37,80
4:07,326,Official TV Timeout,37,80
3:56,-1,Foul on Cash Krueger.,37,80
3:56,326,Shelby Adams made Free Throw.,37,81
3:56,326,Shelby Adams made Free Throw.,37,82
3:48,-1,Ashton Worgu missed Three Point Jumper.,37,82
3:48,-1,Vlad Chira Offensive Rebound.,37,82
3:30,-1,Jr Sammy Johnson missed Layup.,37,82
3:30,326,Quentin Scott Block.,37,82
3:29,326,Eric Terry Defensive Rebound.,37,82
3:20,-1,Foul on Ashton Worgu.,37,82
3:20,326,Quentin Scott missed Free Throw.,37,82
3:20,326,Texas State Deadball Team Rebound.,37,82
3:20,326,Quentin Scott made Free Throw.,37,83
3:11,-1,Reagan Babyar missed Three Point Jumper.,37,83
3:11,326,Quentin Scott Defensive Rebound.,37,83
3:03,326,Tre'Larenz Nottingham Turnover.,37,83
3:02,-1,Jr Ramirez Steal.,37,83
2:51,-1,Ashton Worgu missed Three Point Jumper.,37,83
2:51,326,Texas State Defensive Rebound.,37,83
2:37,326,Eric Terry missed Layup.,37,83
2:37,-1,Jr Ramirez Block.,37,83
2:36,-1,Ecclesia Defensive Rebound.,37,83
2:07,-1,Vlad Chira made Three Point Jumper. Assisted by Jr Ramirez.,40,83
1:55,326,Quentin Scott missed Three Point Jumper.,40,83
1:55,-1,Jr Sammy Johnson Defensive Rebound.,40,83
1:47,326,Foul on Quentin Scott.,40,83
1:47,-1,Jr Ramirez made Free Throw.,41,83
1:47,-1,Jr Ramirez missed Free Throw.,41,83
1:47,326,Quentin Scott Defensive Rebound.,41,83
1:35,326,Isaiah Gurley made Layup.,41,85
1:20,-1,Reagan Babyar missed Three Point Jumper.,41,85
1:20,326,Isaiah Gurley Defensive Rebound.,41,85
1:15,-1,Foul on Vlad Chira.,41,85
1:15,326,Isaiah Gurley missed Free Throw.,41,85
1:15,326,Quentin Scott Offensive Rebound.,41,85
1:13,326,Quentin Scott missed Layup.,41,85
1:13,-1,Jr Ramirez Block.,41,85
1:12,-1,Reagan Babyar Defensive Rebound.,41,85
1:01,326,Foul on Isaiah Gurley.,41,85
1:01,-1,Dequcelan Bagsby made Free Throw.,42,85
1:01,-1,Dequcelan Bagsby made Free Throw.,43,85
0:55,326,Eric Terry missed Jumper.,43,85
0:55,-1,Reagan Babyar Defensive Rebound.,43,85
0:38,-1,Vlad Chira missed Three Point Jumper.,43,85
0:38,326,Quentin Scott Defensive Rebound.,43,85
0:29,326,Isaiah Gurley Turnover.,43,85
0:13,-1,Jr Sammy Johnson missed Jumper.,43,85
0:13,326,Shelby Adams Defensive Rebound.,43,85
0:00,326,End of Game,43,85
