Arkansas State,2724,Wichita State,2032
8:29,2032,Grantham Gillard made Three Point Jumper. Assisted by Rashad Lindsey.,28,29
8:05,2724,Austin Reaves missed Three Point Jumper.,28,29
8:05,2032,Deven Simms Defensive Rebound.,28,29
7:59,2724,Foul on Zach Brown.,28,29
7:59,2724,Official TV Timeout,28,29
7:59,2032,Deven Simms made Free Throw.,29,29
7:59,2032,Deven Simms made Free Throw.,30,29
7:42,2032,Foul on Tristin Walley.,30,29
7:42,2724,Rashard Kelly missed Free Throw.,30,29
7:42,2724,Wichita State Deadball Team Rebound.,30,29
7:42,2724,Rashard Kelly missed Free Throw.,30,29
7:42,2032,Ty Cockfield Defensive Rebound.,30,29
7:22,2032,Grantham Gillard made Three Point Jumper. Assisted by Rashad Lindsey.,33,29
7:09,2724,Rashard Kelly made Layup. Assisted by Samajae Haynes-Jones.,33,31
7:09,2032,Foul on Jake Scoggins.,33,31
7:09,2724,Rashard Kelly made Free Throw.,33,32
7:02,2032,Connor Kern missed Three Point Jumper.,33,32
7:02,2724,Landry Shamet Defensive Rebound.,33,32
6:50,2724,Darral Willis Jr. missed Layup.,33,32
6:50,2724,Rashard Kelly Offensive Rebound.,33,32
6:45,2724,Landry Shamet made Three Point Jumper. Assisted by Rashard Kelly.,33,35
6:40,2032,Connor Kern missed Three Point Jumper.,33,35
6:40,2724,Rashard Kelly Defensive Rebound.,33,35
6:34,2724,Rashard Kelly missed Layup.,33,35
6:34,2032,Connor Kern Defensive Rebound.,33,35
6:27,2032,Grantham Gillard made Three Point Jumper. Assisted by Rashad Lindsey.,36,35
6:02,2032,Foul on Grantham Gillard.,36,35
6:02,2724,Shaquille Morris made Free Throw.,36,36
6:02,2724,Shaquille Morris made Free Throw.,36,37
5:58,2032,Deven Simms Turnover.,36,37
5:46,2724,Samajae Haynes-Jones missed Layup.,36,37
5:46,2032,Salif Boudie Defensive Rebound.,36,37
5:30,2724,Foul on Samajae Haynes-Jones.,36,37
5:24,2032,Ty Cockfield missed Jumper.,36,37
5:24,2724,Austin Reaves Block.,36,37
5:24,2724,Austin Reaves Defensive Rebound.,36,37
5:15,2724,Landry Shamet missed Three Point Jumper.,36,37
5:15,2032,Deven Simms Defensive Rebound.,36,37
5:07,2032,Deven Simms made Three Point Jumper.,39,37
4:46,2724,Austin Reaves missed Three Point Jumper.,39,37
4:46,2032,Deven Simms Defensive Rebound.,39,37
4:11,2032,Ty Cockfield made Three Point Jumper.,42,37
4:04,2724,Samajae Haynes-Jones made Three Point Jumper. Assisted by Austin Reaves.,42,40
3:53,2032,Rashad Lindsey Turnover.,42,40
3:53,2724,Official TV Timeout,42,40
3:37,2724,Austin Reaves Turnover.,42,40
3:37,2032,Rashad Lindsey Steal.,42,40
3:17,2032,Deven Simms missed Jumper.,42,40
3:17,2032,Rashad Lindsey Offensive Rebound.,42,40
3:04,2032,Ty Cockfield made Three Point Jumper. Assisted by Rashad Lindsey.,45,40
2:47,2724,Landry Shamet missed Jumper.,45,40
2:47,2032,Salif Boudie Block.,45,40
2:47,2032,Salif Boudie Defensive Rebound.,45,40
2:26,2032,Deven Simms made Jumper.,47,40
2:15,2724,Wichita State  Timeout,47,40
1:54,2724,Shaquille Morris missed Jumper.,47,40
1:54,2032,Deven Simms Defensive Rebound.,47,40
1:35,2032,Arkansas State  Timeout,47,40
1:20,2032,Deven Simms missed Jumper.,47,40
1:20,2032,Arkansas State Deadball Team Rebound.,47,40
1:10,2724,Darral Willis Jr. made Jumper. Assisted by Shaquille Morris.,47,42
0:33,2032,Connor Kern made Three Point Jumper. Assisted by Rashad Lindsey.,50,42
0:03,2032,Foul on Jake Scoggins.,50,42
0:03,2724,Shaquille Morris made Free Throw.,50,43
0:03,2724,Shaquille Morris made Free Throw.,50,44
0:01,2032,Ty Cockfield missed Three Point Jumper.,50,44
0:01,2032,Arkansas State Deadball Team Rebound.,50,44
0:00,2724,End of 1st half,50,44
20:00,2724,Jump Ball won by Wichita State,50,44
19:50,2724,Samajae Haynes-Jones missed Jumper.,50,44
19:50,2032,Deven Simms Defensive Rebound.,50,44
19:38,2724,Foul on Landry Shamet.,50,44
19:28,2032,Ty Cockfield missed Jumper.,50,44
19:28,2032,Tamas Bruce Offensive Rebound.,50,44
19:28,2032,Tamas Bruce made Two Point Tip Shot.,52,44
18:57,2032,Foul on Tristin Walley.,52,44
18:51,2724,Landry Shamet made Jumper.,52,46
18:32,2032,Tamas Bruce missed Jumper.,52,46
18:32,2724,Darral Willis Jr. Defensive Rebound.,52,46
18:25,2724,Landry Shamet missed Three Point Jumper.,52,46
18:25,2032,Deven Simms Defensive Rebound.,52,46
17:59,2032,Deven Simms Turnover.,52,46
17:59,2724,Samajae Haynes-Jones Steal.,52,46
17:56,2724,Samajae Haynes-Jones made Layup.,52,48
17:45,2032,Grantham Gillard missed Three Point Jumper.,52,48
17:45,2724,Samajae Haynes-Jones Defensive Rebound.,52,48
17:38,2724,Samajae Haynes-Jones Turnover.,52,48
17:38,2032,Grantham Gillard Steal.,52,48
17:33,2032,Tamas Bruce made Layup. Assisted by Grantham Gillard.,54,48
17:12,2724,Landry Shamet missed Jumper.,54,48
17:12,2032,Deven Simms Defensive Rebound.,54,48
17:08,2032,Ty Cockfield made Three Point Jumper. Assisted by Deven Simms.,57,48
16:46,2724,Shaquille Morris made Layup. Assisted by Austin Reaves.,57,50
16:27,2032,Ty Cockfield Turnover.,57,50
16:25,2724,Rashard Kelly made Dunk. Assisted by Landry Shamet.,57,52
16:18,2032,Arkansas State  Timeout,57,52
16:04,2032,Grantham Gillard missed Three Point Jumper.,57,52
16:04,2724,Samajae Haynes-Jones Defensive Rebound.,57,52
16:03,2032,Foul on Tamas Bruce.,57,52
15:47,2724,Official TV Timeout,57,52
15:41,2724,Samajae Haynes-Jones made Three Point Jumper. Assisted by Rashard Kelly.,57,55
15:29,2032,Deven Simms missed Three Point Jumper.,57,55
15:29,2724,Shaquille Morris Defensive Rebound.,57,55
15:19,2724,Samajae Haynes-Jones missed Jumper.,57,55
15:19,2724,Rashard Kelly Offensive Rebound.,57,55
15:08,2032,Foul on Grantham Gillard.,57,55
15:08,2032,Foul on Deven Simms.,57,55
14:57,2724,Landry Shamet missed Jumper.,57,55
14:57,2724,Rashard Kelly Offensive Rebound.,57,55
14:46,2724,Samajae Haynes-Jones missed Three Point Jumper.,57,55
14:46,2032,Arkansas State Defensive Rebound.,57,55
14:31,2724,Foul on Shaquille Morris.,57,55
14:28,2032,Grantham Gillard Turnover.,57,55
14:28,2724,Rashard Kelly Steal.,57,55
14:17,2724,Shaquille Morris made Layup. Assisted by Zach Brown.,57,57
13:59,2032,Ty Cockfield missed Three Point Jumper.,57,57
13:59,2724,Rashard Kelly Defensive Rebound.,57,57
13:46,2724,Shaquille Morris missed Jumper.,57,57
13:46,2032,Grantham Gillard Defensive Rebound.,57,57
13:23,2032,Rashad Lindsey made Jumper.,59,57
13:03,2724,Samajae Haynes-Jones made Layup.,59,59
12:42,2032,Deven Simms missed Layup.,59,59
12:42,2032,Tristin Walley Offensive Rebound.,59,59
12:36,2032,Marquis Eaton Turnover.,59,59
12:36,2032,Foul on Marquis Eaton.,59,59
12:13,2724,Landry Shamet made Three Point Jumper.,59,62
11:56,2032,Tristin Walley made Layup.,61,62
11:56,2724,Foul on Darral Willis Jr..,61,62
11:56,2724,Official TV Timeout,61,62
11:56,2032,Tristin Walley missed Free Throw.,61,62
11:56,2724,Darral Willis Jr. Defensive Rebound.,61,62
11:52,2724,Rauno Nurger missed Layup.,61,62
11:52,2032,Salif Boudie Block.,61,62
11:52,2032,Salif Boudie Defensive Rebound.,61,62
11:25,2032,Deven Simms made Jumper.,63,62
11:13,2724,Darral Willis Jr. missed Three Point Jumper.,63,62
11:13,2724,Landry Shamet Offensive Rebound.,63,62
10:57,2724,Samajae Haynes-Jones made Three Point Jumper. Assisted by Darral Willis Jr..,63,65
10:33,2724,Foul on Darral Willis Jr..,63,65
10:19,2032,Tristin Walley missed Three Point Jumper.,63,65
10:19,2724,Zach Brown Defensive Rebound.,63,65
10:01,2724,Samajae Haynes-Jones Turnover.,63,65
10:01,2032,Salif Boudie Steal.,63,65
10:01,2724,Foul on Shaquille Morris.,63,65
9:36,2032,Deven Simms missed Three Point Jumper.,63,65
9:36,2724,Landry Shamet Defensive Rebound.,63,65
9:15,2724,Zach Brown missed Three Point Jumper.,63,65
9:10,2724,Rashard Kelly Offensive Rebound.,63,65
9:06,2724,Darral Willis Jr. made Layup. Assisted by Rashard Kelly.,63,67
8:53,2032,Deven Simms missed Layup.,63,67
8:53,2032,Tristin Walley Offensive Rebound.,63,67
8:53,2032,Tristin Walley made Two Point Tip Shot.,65,67
8:33,2724,Landry Shamet made Three Point Jumper. Assisted by Austin Reaves.,65,70
8:14,2032,Ty Cockfield missed Layup.,65,70
8:14,2724,Shaquille Morris Defensive Rebound.,65,70
7:58,2724,Rashard Kelly made Dunk. Assisted by Landry Shamet.,65,72
7:58,2724,Official TV Timeout,65,72
7:58,2032,Technical Foul on Arkansas State.,65,72
7:58,2724,Landry Shamet made Free Throw.,65,73
7:58,2724,Landry Shamet made Free Throw.,65,74
7:44,2724,Foul on Austin Reaves.,65,74
7:44,2724,Austin Reaves Turnover.,65,74
7:37,2032,Ty Cockfield missed Three Point Jumper.,65,74
7:37,2724,Darral Willis Jr. Defensive Rebound.,65,74
7:25,2724,Landry Shamet made Three Point Jumper. Assisted by Austin Reaves.,65,77
7:08,2724,Foul on Zach Brown.,65,77
7:08,2032,Salif Boudie missed Free Throw.,65,77
7:08,2724,Darral Willis Jr. Defensive Rebound.,65,77
6:55,2724,Darral Willis Jr. missed Jumper.,65,77
6:55,2032,Tristin Walley Block.,65,77
6:55,2724,Wichita State Offensive Rebound.,65,77
6:43,2724,Landry Shamet missed Three Point Jumper.,65,77
6:43,2032,Rashad Lindsey Defensive Rebound.,65,77
6:32,2032,Deven Simms made Layup.,67,77
6:32,2724,Foul on Austin Reaves.,67,77
6:32,2032,Deven Simms made Free Throw.,68,77
6:16,2724,Darral Willis Jr. made Dunk. Assisted by Landry Shamet.,68,79
5:56,2032,Ty Cockfield missed Layup.,68,79
5:56,2032,Ty Cockfield Offensive Rebound.,68,79
5:56,2032,Ty Cockfield missed Layup.,68,79
5:56,2032,Arkansas State Offensive Rebound.,68,79
5:56,2724,Foul on Shaquille Morris.,68,79
5:56,2724,Technical Foul on Shaquille Morris.,68,79
5:56,2724,Foul on Shaquille Morris.,68,79
5:56,2032,Deven Simms made Free Throw.,69,79
5:56,2032,Deven Simms made Free Throw.,70,79
5:56,2032,Tamas Bruce made Free Throw.,71,79
5:56,2032,Tamas Bruce made Free Throw.,72,79
5:41,2724,Samajae Haynes-Jones missed Three Point Jumper.,72,79
5:41,2032,Salif Boudie Defensive Rebound.,72,79
5:28,2032,Ty Cockfield missed Jumper.,72,79
5:28,2032,Tristin Walley Offensive Rebound.,72,79
5:18,2032,Foul on Tristin Walley.,72,79
5:18,2032,Tristin Walley Turnover.,72,79
5:08,2724,Samajae Haynes-Jones made Jumper.,72,81
4:43,2032,Deven Simms missed Three Point Jumper.,72,81
4:43,2724,Darral Willis Jr. Defensive Rebound.,72,81
4:17,2724,Landry Shamet missed Layup.,72,81
4:17,2724,Rashard Kelly Offensive Rebound.,72,81
4:03,2724,Rashard Kelly Turnover.,72,81
4:03,2032,Grantham Gillard Steal.,72,81
3:52,2032,Deven Simms made Layup.,74,81
3:19,2724,Samajae Haynes-Jones made Layup.,74,83
3:12,2724,Foul on Landry Shamet.,74,83
3:12,2724,Technical Foul on Landry Shamet.,74,83
3:12,2032,Deven Simms made Free Throw.,75,83
3:12,2032,Deven Simms made Free Throw.,76,83
3:12,2032,Deven Simms made Free Throw.,77,83
3:12,2032,Deven Simms made Free Throw.,78,83
2:58,2032,Foul on Deven Simms.,78,83
2:58,2724,Samajae Haynes-Jones made Free Throw.,78,84
2:58,2724,Samajae Haynes-Jones missed Free Throw.,78,84
2:58,2032,Deven Simms Defensive Rebound.,78,84
2:38,2032,Deven Simms made Jumper.,80,84
2:16,2724,Samajae Haynes-Jones made Three Point Jumper. Assisted by Rashard Kelly.,80,87
1:52,2032,Deven Simms missed Three Point Jumper.,80,87
1:52,2724,Austin Reaves Defensive Rebound.,80,87
1:51,2724,Wichita State  Timeout,80,87
1:17,2724,Landry Shamet made Jumper.,80,89
0:59,2032,Foul on Ty Cockfield.,80,89
0:59,2032,Ty Cockfield Turnover.,80,89
0:59,2032,Arkansas State  Timeout,80,89
0:28,2724,Wichita State  Turnover.,80,89
0:12,2032,Grantham Gillard missed Three Point Jumper.,80,89
0:12,2724,Zach Brown Defensive Rebound.,80,89
0:00,2724,End of Game,80,89
