North Florida,2050,Ball State,2454
10:27,2454,North Florida  Timeout,46,58
10:12,2454,Ivan Gandia-Rosa missed Three Point Jumper.,46,58
10:12,2050,Tahjai Teague Defensive Rebound.,46,58
10:12,2454,Foul on Noah Horchler.,46,58
9:57,2050,Trey Moses made Dunk. Assisted by Francis Kiapway.,46,60
9:29,2454,Osborn Blount missed Jumper.,46,60
9:29,2050,Trey Moses Defensive Rebound.,46,60
9:20,2050,Jeremie Tyler missed Three Point Jumper.,46,60
9:20,2454,Wajid Aminu Defensive Rebound.,46,60
9:11,2454,J.T. Escobar missed Three Point Jumper.,46,60
9:11,2050,Tahjai Teague Defensive Rebound.,46,60
8:51,2050,Trey Moses Turnover.,46,60
8:32,2454,Ivan Gandia-Rosa made Three Point Jumper.,49,60
8:10,2050,Trey Moses missed Jumper.,49,60
8:10,2454,Noah Horchler Defensive Rebound.,49,60
8:06,2454,Trip Day made Layup. Assisted by J.T. Escobar.,51,60
7:41,2454,Foul on Trip Day.,51,60
7:41,2050,Official TV Timeout,51,60
7:32,2050,Francis Kiapway missed Layup.,51,60
7:32,2454,Noah Horchler Defensive Rebound.,51,60
7:17,2454,Emmanuel Lambright Turnover.,51,60
7:16,2050,Tahjai Teague Steal.,51,60
7:14,2050,Tahjai Teague made Layup.,51,62
6:49,2454,Ivan Gandia-Rosa made Layup.,53,62
6:32,2050,Kyle Mallers made Three Point Jumper. Assisted by Tayler Persons.,53,65
6:02,2454,Trip Day missed Layup.,53,65
6:02,2050,Tahjai Teague Block.,53,65
6:02,2050,Tahjai Teague Defensive Rebound.,53,65
5:38,2050,Francis Kiapway missed Three Point Jumper.,53,65
5:38,2454,Emmanuel Lambright Defensive Rebound.,53,65
5:29,2454,Ivan Gandia-Rosa missed Three Point Jumper.,53,65
5:29,2454,Noah Horchler Offensive Rebound.,53,65
5:19,2454,Noah Horchler made Layup. Assisted by Trip Day.,55,65
5:13,2050,Ball State  Timeout,55,65
5:07,2050,Tayler Persons missed Layup.,55,65
5:07,2454,Trip Day Block.,55,65
5:05,2454,Osborn Blount Defensive Rebound.,55,65
5:00,2454,Osborn Blount made Layup.,57,65
4:39,2454,Foul on Ivan Gandia-Rosa.,57,65
4:37,2050,Jeremie Tyler made Layup. Assisted by Tayler Persons.,57,67
4:23,2454,Trip Day missed Jumper.,57,67
4:23,2050,Trey Moses Defensive Rebound.,57,67
4:08,2454,Foul on Noah Horchler.,57,67
4:08,2050,Trey Moses missed Free Throw.,57,67
4:08,2050,Ball State Deadball Team Rebound.,57,67
4:08,2050,Trey Moses missed Free Throw.,57,67
4:08,2454,Noah Horchler Defensive Rebound.,57,67
3:54,2454,Osborn Blount made Layup.,59,67
3:48,2050,Trey Moses made Dunk. Assisted by Tayler Persons.,59,69
3:24,2454,Noah Horchler made Layup. Assisted by Ivan Gandia-Rosa.,61,69
3:06,2050,Trey Moses made Layup. Assisted by Sean Sellers.,61,71
2:51,2050,Foul on Tayler Persons.,61,71
2:51,2050,Official TV Timeout,61,71
2:38,2454,Noah Horchler made Jumper. Assisted by Ivan Gandia-Rosa.,63,71
2:16,2050,Tahjai Teague made Layup. Assisted by Trey Moses.,63,73
2:16,2454,Foul on Noah Horchler.,63,73
2:16,2050,Tahjai Teague made Free Throw.,63,74
2:02,2454,Ivan Gandia-Rosa missed Three Point Jumper.,63,74
2:02,2050,Jontrell Walker Defensive Rebound.,63,74
1:42,2454,Foul on Trip Day.,63,74
1:42,2050,Trey Moses missed Free Throw.,63,74
1:42,2050,Ball State Deadball Team Rebound.,63,74
1:42,2050,Trey Moses missed Free Throw.,63,74
1:42,2454,Trip Day Defensive Rebound.,63,74
1:26,2454,J.T. Escobar missed Three Point Jumper.,63,74
1:26,2454,Wajid Aminu Offensive Rebound.,63,74
1:23,2454,Wajid Aminu made Layup.,65,74
1:09,2454,Foul on Osborn Blount.,65,74
1:09,2050,Tayler Persons made Free Throw.,65,75
1:09,2050,Tayler Persons made Free Throw.,65,76
0:56,2454,Ivan Gandia-Rosa missed Jumper.,65,76
0:56,2050,Tayler Persons Defensive Rebound.,65,76
0:27,2050,Tayler Persons made Three Point Jumper.,65,79
0:00,2050,End of Game,65,79
