Georgia Tech,61,Georgia,59
13:19,61,Tyree Crump made Jumper.,39,51
12:51,61,Foul on Rayshaun Hammonds.,39,51
12:51,59,Josh Okogie made Free Throw.,40,51
12:51,59,Josh Okogie made Free Throw.,41,51
12:41,61,E'Torrion Wilridge made Three Point Jumper. Assisted by Yante Maten.,41,54
12:28,59,Jose Alvarado made Layup.,43,54
12:18,61,E'Torrion Wilridge missed Three Point Jumper.,43,54
12:18,59,Ben Lammers Defensive Rebound.,43,54
12:07,59,Jose Alvarado missed Three Point Jumper.,43,54
12:07,61,Nicolas Claxton Defensive Rebound.,43,54
11:53,59,Foul on Josh Okogie.,43,54
11:53,61,Official TV Timeout,43,54
11:51,61,Tyree Crump missed Three Point Jumper.,43,54
11:51,59,Evan Cole Defensive Rebound.,43,54
11:38,59,Tadric Jackson missed Three Point Jumper.,43,54
11:38,61,Tyree Crump Defensive Rebound.,43,54
11:30,61,E'Torrion Wilridge made Dunk. Assisted by Tyree Crump.,43,56
11:07,59,Josh Okogie missed Jumper.,43,56
11:07,61,E'Torrion Wilridge Block.,43,56
11:07,61,E'Torrion Wilridge Defensive Rebound.,43,56
10:47,61,Yante Maten missed Layup.,43,56
10:47,59,Evan Cole Defensive Rebound.,43,56
10:31,59,Josh Okogie made Layup.,45,56
10:19,61,Yante Maten made Layup. Assisted by E'Torrion Wilridge.,45,58
10:19,59,Foul on Evan Cole.,45,58
10:19,61,Yante Maten made Free Throw.,45,59
9:55,59,Ben Lammers missed Jumper.,45,59
9:55,59,Abdoulaye Gueye Offensive Rebound.,45,59
9:48,61,Foul on Nicolas Claxton.,45,59
9:45,59,Josh Okogie Turnover.,45,59
9:45,61,Derek Ogbeide Steal.,45,59
9:39,61,William Jackson II Turnover.,45,59
9:39,59,Josh Okogie Steal.,45,59
9:35,59,Josh Okogie made Layup.,47,59
9:03,61,Tyree Crump Turnover.,47,59
9:03,59,Ben Lammers Steal.,47,59
8:58,61,Foul on Derek Ogbeide.,47,59
8:55,59,Ben Lammers missed Three Point Jumper.,47,59
8:55,61,Tyree Crump Defensive Rebound.,47,59
8:47,59,Foul on Josh Okogie.,47,59
8:38,59,Foul on Brandon Alston.,47,59
8:33,61,Mike Edwards Turnover.,47,59
8:33,59,Jose Alvarado Steal.,47,59
8:27,59,Jose Alvarado made Jumper.,49,59
8:05,61,Juwan Parker Turnover.,49,59
8:05,59,Jose Alvarado Steal.,49,59
7:58,59,Josh Okogie missed Layup.,49,59
7:58,59,Abdoulaye Gueye Offensive Rebound.,49,59
7:52,61,Foul on Mike Edwards.,49,59
7:52,61,Official TV Timeout,49,59
7:52,59,Abdoulaye Gueye missed Free Throw.,49,59
7:52,59,Georgia Tech Deadball Team Rebound.,49,59
7:52,59,Abdoulaye Gueye made Free Throw.,50,59
7:26,59,Foul on Jose Alvarado.,50,59
7:26,61,William Jackson II made Free Throw.,50,60
7:26,61,William Jackson II made Free Throw.,50,61
7:17,61,Foul on William Jackson II.,50,61
7:17,59,Jose Alvarado made Free Throw.,51,61
7:17,59,Jose Alvarado made Free Throw.,52,61
7:01,61,Yante Maten made Jumper.,52,63
6:44,59,Jose Alvarado Turnover.,52,63
6:21,59,Foul on Jose Alvarado.,52,63
6:21,61,Rayshaun Hammonds made Free Throw.,52,64
6:21,61,Rayshaun Hammonds made Free Throw.,52,65
6:17,61,Foul on Jordan Harris.,52,65
6:17,59,Josh Okogie made Free Throw.,53,65
6:17,59,Josh Okogie missed Free Throw.,53,65
6:17,61,Yante Maten Defensive Rebound.,53,65
6:01,61,Jordan Harris made Layup.,53,67
5:47,59,Ben Lammers missed Jumper.,53,67
5:47,61,Rayshaun Hammonds Defensive Rebound.,53,67
5:22,59,Foul on Josh Okogie.,53,67
5:22,61,Derek Ogbeide missed Free Throw.,53,67
5:22,61,Georgia Deadball Team Rebound.,53,67
5:22,61,Derek Ogbeide made Free Throw.,53,68
5:10,59,Abdoulaye Gueye missed Jumper.,53,68
5:10,61,Rayshaun Hammonds Defensive Rebound.,53,68
4:54,61,Jordan Harris missed Layup.,53,68
4:54,59,Abdoulaye Gueye Block.,53,68
4:54,61,Yante Maten Offensive Rebound.,53,68
4:50,59,Foul on Brandon Alston.,53,68
4:50,61,Yante Maten made Free Throw.,53,69
4:50,61,Yante Maten made Free Throw.,53,70
4:41,59,Josh Okogie made Jumper.,55,70
4:41,61,Foul on Rayshaun Hammonds.,55,70
4:41,59,Josh Okogie made Free Throw.,56,70
4:30,61,William Jackson II made Three Point Jumper. Assisted by Juwan Parker.,56,73
4:18,59,Tadric Jackson missed Jumper.,56,73
4:18,61,Nicolas Claxton Defensive Rebound.,56,73
3:44,59,Foul on Tadric Jackson.,56,73
3:44,61,Official TV Timeout,56,73
3:44,61,Yante Maten made Free Throw.,56,74
3:44,61,Yante Maten made Free Throw.,56,75
3:33,59,Ben Lammers missed Jumper.,56,75
3:33,61,Nicolas Claxton Defensive Rebound.,56,75
3:11,61,Yante Maten missed Layup.,56,75
3:11,59,Moses Wright Defensive Rebound.,56,75
3:02,59,Tadric Jackson missed Jumper.,56,75
3:02,61,Georgia Defensive Rebound.,56,75
2:31,61,William Jackson II made Layup.,56,77
2:12,59,Justin Moore missed Layup.,56,77
2:12,59,Tadric Jackson Offensive Rebound.,56,77
1:55,59,Josh Okogie missed Three Point Jumper.,56,77
1:55,61,Nicolas Claxton Defensive Rebound.,56,77
1:34,61,Jordan Harris made Three Point Jumper.,56,80
1:26,61,Georgia  Timeout,56,80
1:14,61,Foul on Yante Maten.,56,80
1:14,59,Josh Okogie missed Free Throw.,56,80
1:14,59,Georgia Tech Deadball Team Rebound.,56,80
1:14,59,Josh Okogie made Free Throw.,57,80
0:54,61,Nicolas Claxton missed Jumper.,57,80
0:54,59,Ben Lammers Defensive Rebound.,57,80
0:47,59,Jose Alvarado missed Three Point Jumper.,57,80
0:47,61,Nicolas Claxton Defensive Rebound.,57,80
0:40,59,Foul on Josh Okogie.,57,80
0:40,61,Nicolas Claxton missed Free Throw.,57,80
0:40,61,Georgia Deadball Team Rebound.,57,80
0:40,61,Nicolas Claxton missed Free Throw.,57,80
0:40,59,Moses Wright Defensive Rebound.,57,80
0:32,59,Jose Alvarado made Layup.,59,80
0:04,61,Teshaun Hightower Turnover.,59,80
0:04,59,Moses Wright Steal.,59,80
0:00,61,End of Game,59,80
