Northwestern State,201,Oklahoma,2466
6:06,201,Rashard Odomes made Free Throw.,20,37
6:06,201,Oklahoma Deadball Team Rebound.,20,36
5:39,2466,Brandon Hutton missed Three Point Jumper.,20,37
5:39,201,Rashard Odomes Defensive Rebound.,20,37
5:29,201,Rashard Odomes missed Layup.,20,37
5:29,2466,Malik Metoyer Defensive Rebound.,20,37
5:16,2466,Iziahiah Sweeney Turnover.,20,37
5:15,201,Khadeem Lattin Steal.,20,37
5:11,201,Trae Young Turnover.,20,37
5:09,2466,Darian Dixon Steal.,20,37
5:01,2466,Jalan West Turnover.,20,37
5:00,201,Khadeem Lattin Steal.,20,37
4:56,201,Rashard Odomes made Dunk. Assisted by Trae Young.,20,39
4:29,2466,Malik Metoyer missed Jumper.,20,39
4:29,201,Oklahoma Defensive Rebound.,20,39
4:20,201,Trae Young made Layup.,20,41
3:57,2466,Darian Dixon made Layup.,22,41
3:57,201,Foul on Khadeem Lattin.,22,41
3:57,201,Official TV Timeout,22,41
3:57,2466,Darian Dixon made Free Throw.,23,41
3:52,201,Christian James made Dunk. Assisted by Jamuni McNeace.,23,43
3:43,2466,Iziahiah Sweeney missed Three Point Jumper.,23,43
3:43,2466,Malik Metoyer Offensive Rebound.,23,43
3:34,2466,Iziahiah Sweeney made Layup.,25,43
3:28,201,Jamuni McNeace Turnover.,25,43
3:28,201,Foul on Jamuni McNeace.,25,43
3:10,2466,Malik Metoyer Turnover.,25,43
3:10,2466,Foul on Malik Metoyer.,25,43
2:57,201,Brady Manek missed Three Point Jumper.,25,43
2:57,201,Jamuni McNeace Offensive Rebound.,25,43
2:48,201,Kameron McGusty missed Three Point Jumper.,25,43
2:48,2466,Vontay Ott Defensive Rebound.,25,43
2:41,2466,Vontay Ott made Layup.,27,43
2:33,201,Kameron McGusty made Layup. Assisted by Trae Young.,27,45
2:17,2466,Iziahiah Sweeney missed Dunk.,27,45
2:17,201,Brady Manek Block.,27,45
2:15,201,Kameron McGusty Defensive Rebound.,27,45
2:05,201,Brady Manek made Dunk. Assisted by Trae Young.,27,47
1:57,2466,Larry Owens made Layup. Assisted by Jalan West.,29,47
1:50,201,Kameron McGusty missed Three Point Jumper.,29,47
1:50,2466,Darian Dixon Defensive Rebound.,29,47
1:40,2466,Vontay Ott made Jumper.,31,47
1:22,201,Jamuni McNeace missed Jumper.,31,47
1:22,2466,Jalan West Defensive Rebound.,31,47
1:13,2466,Larry Owens made Layup.,33,47
1:07,2466,Foul on Darian Dixon.,33,47
1:07,201,Jordan Shepherd made Free Throw.,33,48
1:07,201,Jordan Shepherd made Free Throw.,33,49
0:44,2466,Iziahiah Sweeney made Jumper.,35,49
0:37,201,Trae Young made Jumper.,35,51
0:20,2466,Larry Owens made Layup. Assisted by Iziahiah Sweeney.,37,51
0:04,201,Hannes Polla made Layup. Assisted by Trae Young.,37,53
0:00,201,End of 1st half,37,53
19:29,2466,Iziahiah Sweeney Turnover.,37,53
19:28,201,Brady Manek Steal.,37,53
19:25,201,Brady Manek made Two Point Tip Shot. Assisted by Trae Young.,37,55
19:18,2466,Foul on Caleb Starks.,37,55
19:18,2466,Caleb Starks Turnover.,37,55
19:08,201,Brady Manek made Three Point Jumper. Assisted by Trae Young.,37,58
18:45,2466,Vontay Ott missed Layup.,37,58
18:45,2466,Jalan West Offensive Rebound.,37,58
18:40,201,Foul on Khadeem Lattin.,37,58
18:40,2466,Ishmael Lane made Free Throw.,38,58
18:40,2466,Ishmael Lane made Free Throw.,39,58
18:33,201,Trae Young made Layup.,39,60
18:18,2466,Ishmael Lane missed Three Point Jumper.,39,60
18:18,201,Khadeem Lattin Defensive Rebound.,39,60
18:06,201,Christian James made Three Point Jumper. Assisted by Trae Young.,39,63
17:48,201,Foul on Brady Manek.,39,63
17:41,2466,Northwestern State  Timeout,39,63
17:26,2466,Larry Owens made Layup.,41,63
17:10,201,Trae Young made Three Point Jumper.,41,66
16:52,201,Foul on Rashard Odomes.,41,66
16:39,2466,Larry Owens missed Jumper.,41,66
16:39,201,Khadeem Lattin Defensive Rebound.,41,66
16:34,201,Trae Young missed Three Point Jumper.,41,66
16:34,201,Christian James Offensive Rebound.,41,66
16:28,2466,Foul on Ishmael Lane.,41,66
16:28,201,Christian James made Free Throw.,41,67
16:28,201,Christian James made Free Throw.,41,68
16:15,2466,Ishmael Lane made Dunk. Assisted by Jalan West.,43,68
16:08,201,Trae Young Turnover.,43,68
16:07,2466,Jalan West Steal.,43,68
16:02,2466,Brandon Hutton Turnover.,43,68
15:59,201,Christian James missed Three Point Jumper.,43,68
15:59,201,Christian James Offensive Rebound.,43,68
15:56,201,Christian James made Layup.,43,70
15:40,2466,Larry Owens missed Layup.,43,70
15:40,201,Khadeem Lattin Block.,43,70
15:38,2466,Northwestern State Offensive Rebound.,43,70
15:38,201,Official TV Timeout,43,70
15:31,2466,Ishmael Lane made Jumper.,45,70
15:17,201,Trae Young missed Layup.,45,70
15:17,2466,Larry Owens Defensive Rebound.,45,70
15:08,2466,Brandon Hutton made Jumper.,47,70
15:03,2466,Foul on C.J. Jones.,47,70
14:52,201,Christian James made Jumper.,47,72
14:25,2466,Larry Owens made Layup. Assisted by C.J. Jones.,49,72
14:12,201,Trae Young made Layup.,49,74
14:00,201,Foul on Christian James.,49,74
13:59,201,Foul on Kameron McGusty.,49,74
13:47,2466,C.J. Jones missed Three Point Jumper.,49,74
13:47,201,Trae Young Defensive Rebound.,49,74
13:40,2466,Foul on Brandon Hutton.,49,74
13:40,201,Trae Young missed Free Throw.,49,74
13:40,201,Oklahoma Deadball Team Rebound.,49,74
13:40,201,Trae Young made Free Throw.,49,75
13:18,2466,Ishmael Lane missed Three Point Jumper.,49,75
13:18,2466,Northwestern State Offensive Rebound.,49,75
13:13,2466,Jalan West made Three Point Jumper.,52,75
12:58,201,Matt Freeman made Three Point Jumper. Assisted by Jordan Shepherd.,52,78
12:43,2466,Jalan West missed Three Point Jumper.,52,78
12:43,201,Kameron McGusty Defensive Rebound.,52,78
12:33,201,Kameron McGusty missed Jumper.,52,78
12:33,2466,Jalan West Defensive Rebound.,52,78
12:11,2466,Darian Dixon missed Jumper.,52,78
12:11,201,Christian James Defensive Rebound.,52,78
11:56,201,Matt Freeman missed Three Point Jumper.,52,78
11:56,2466,Jalan West Defensive Rebound.,52,78
11:47,2466,Ishmael Lane missed Layup.,52,78
11:47,201,Jamuni McNeace Block.,52,78
11:46,2466,Darian Dixon Offensive Rebound.,52,78
11:44,2466,Darian Dixon made Layup.,54,78
11:30,201,Christian James missed Three Point Jumper.,54,78
11:30,201,Jamuni McNeace Offensive Rebound.,54,78
11:26,201,Jamuni McNeace missed Jumper.,54,78
11:26,2466,Darian Dixon Defensive Rebound.,54,78
11:15,2466,Jacob Guest missed Layup.,54,78
11:15,201,Matt Freeman Defensive Rebound.,54,78
11:08,201,Kameron McGusty made Layup. Assisted by Jordan Shepherd.,54,80
10:52,2466,Darian Dixon Turnover.,54,80
10:52,201,Official TV Timeout,54,80
10:41,2466,Foul on Darian Dixon.,54,80
10:41,201,Jamuni McNeace missed Free Throw.,54,80
10:41,201,Oklahoma Deadball Team Rebound.,54,80
10:41,201,Jamuni McNeace missed Free Throw.,54,80
10:41,2466,Larry Owens Defensive Rebound.,54,80
10:13,2466,C.J. Jones made Jumper.,56,80
9:53,201,Jamuni McNeace made Dunk. Assisted by Jordan Shepherd.,56,82
9:36,2466,Larry Owens made Layup.,58,82
9:36,201,Foul on Ty Lazenby.,58,82
9:36,2466,Larry Owens missed Free Throw.,58,82
9:36,201,Jamuni McNeace Defensive Rebound.,58,82
9:13,201,Jamuni McNeace made Jumper.,58,84
8:54,2466,Iziahiah Sweeney missed Jumper.,58,84
8:54,201,Matt Freeman Defensive Rebound.,58,84
8:46,201,Kameron McGusty made Layup.,58,86
8:26,2466,Larry Owens made Layup.,60,86
8:05,2466,Foul on C.J. Jones.,60,86
8:05,201,Brady Manek made Layup. Assisted by Trae Young.,60,88
7:47,2466,Iziahiah Sweeney made Jumper.,62,88
7:47,201,Foul on Jordan Shepherd.,62,88
7:47,201,Official TV Timeout,62,88
7:47,2466,Iziahiah Sweeney made Free Throw.,63,88
7:39,201,Trae Young missed Layup.,63,88
7:39,2466,Brandon Hutton Block.,63,88
7:37,2466,Ishmael Lane Defensive Rebound.,63,88
7:29,2466,Iziahiah Sweeney Turnover.,63,88
7:29,201,Kameron McGusty Steal.,63,88
7:26,201,Kameron McGusty Turnover.,63,88
7:06,2466,Iziahiah Sweeney missed Jumper.,63,88
7:06,2466,Iziahiah Sweeney Offensive Rebound.,63,88
6:59,201,Foul on Kameron McGusty.,63,88
6:59,2466,Brandon Hutton missed Free Throw.,63,88
6:59,201,Brady Manek Defensive Rebound.,63,88
6:41,201,Brady Manek made Three Point Jumper. Assisted by Trae Young.,63,91
6:32,2466,Vontay Ott missed Three Point Jumper.,63,91
6:32,201,Oklahoma Defensive Rebound.,63,91
6:14,201,Khadeem Lattin made Layup. Assisted by Trae Young.,63,93
5:53,2466,Iziahiah Sweeney made Jumper.,65,93
5:36,201,Trae Young made Three Point Jumper.,65,96
5:15,2466,Brandon Hutton Turnover.,65,96
5:13,201,Khadeem Lattin Steal.,65,96
5:09,201,Kameron McGusty made Layup. Assisted by Trae Young.,65,98
4:53,2466,Ishmael Lane made Three Point Jumper. Assisted by Jalan West.,68,98
4:41,201,Khadeem Lattin missed Layup.,68,98
4:41,2466,Ishmael Lane Block.,68,98
4:41,2466,Ishmael Lane Defensive Rebound.,68,98
4:32,2466,Jalan West missed Jumper.,68,98
4:32,201,Brady Manek Defensive Rebound.,68,98
4:23,201,Brady Manek made Three Point Jumper. Assisted by Trae Young.,68,101
4:15,2466,Iziahiah Sweeney missed Layup.,68,101
4:15,201,Khadeem Lattin Defensive Rebound.,68,101
4:06,201,Brady Manek made Dunk. Assisted by Trae Young.,68,103
3:46,2466,Jalan West Turnover.,68,103
3:44,201,Jordan Shepherd Steal.,68,103
3:41,201,Kameron McGusty missed Layup.,68,103
3:41,201,Kameron McGusty Offensive Rebound.,68,103
3:36,201,Trae Young missed Three Point Jumper.,68,103
3:36,2466,Ishmael Lane Defensive Rebound.,68,103
3:26,2466,Iziahiah Sweeney missed Three Point Jumper.,68,103
3:26,201,Kameron McGusty Defensive Rebound.,68,103
3:14,201,Oklahoma  Timeout,68,103
2:57,201,Patrick Geha missed Jumper.,68,103
2:57,2466,Larry Owens Defensive Rebound.,68,103
2:27,2466,C.J. Jones Turnover.,68,103
2:11,201,Hannes Polla Turnover.,68,103
1:56,2466,C.J. Jones Turnover.,68,103
1:55,201,Chris Giles Steal.,68,103
1:29,201,Chris Giles missed Three Point Jumper.,68,103
1:29,2466,Cameron Lazare Defensive Rebound.,68,103
1:14,2466,Jacob Guest missed Three Point Jumper.,68,103
1:14,2466,Northwestern State Offensive Rebound.,68,103
1:08,2466,Larry Owens Turnover.,68,103
1:07,201,Hannes Polla Steal.,68,103
1:02,201,Chris Giles made Layup.,68,105
0:46,201,Foul on Chris Giles.,68,105
0:46,2466,C.J. Jones missed Free Throw.,68,105
0:46,201,Marshall Thorpe Defensive Rebound.,68,105
0:32,201,Chris Giles Turnover.,68,105
0:32,2466,Larry Owens Steal.,68,105
0:28,2466,Jacob Guest Turnover.,68,105
0:00,201,End of Game,68,105
