Cleveland State,315,Niagara,325
3:57,325,Dontel Highsmith missed Three Point Jumper.,32,30
3:57,315,Matt Scott Defensive Rebound.,32,30
3:49,325,Foul on Kenny Carpenter.,32,30
3:49,315,Official TV Timeout,32,30
3:49,315,Kahlil Dukes made Free Throw.,32,31
3:49,315,Kahlil Dukes made Free Throw.,32,32
3:31,325,Terrell Hales missed Three Point Jumper.,32,32
3:31,315,Dominic Robb Defensive Rebound.,32,32
3:16,315,Marvin Prochet missed Three Point Jumper.,32,32
3:16,325,Jamarcus Hairston Defensive Rebound.,32,32
3:06,325,Kenny Carpenter made Layup.,34,32
2:57,315,Kahlil Dukes missed Layup.,34,32
2:57,325,Terrell Hales Defensive Rebound.,34,32
2:51,325,Kenny Carpenter made Layup. Assisted by Terrell Hales.,36,32
2:51,315,Niagara  Timeout,36,32
2:30,315,Kahlil Dukes made Jumper.,36,34
1:59,325,Tyree Appleby missed Three Point Jumper.,36,34
1:59,315,Marvin Prochet Defensive Rebound.,36,34
1:47,315,Kahlil Dukes made Three Point Jumper. Assisted by James Towns.,36,37
1:16,325,Kasheem Thomas missed Three Point Jumper.,36,37
1:16,325,Dontel Highsmith Offensive Rebound.,36,37
1:10,325,Dontel Highsmith missed Layup.,36,37
1:10,315,Marvin Prochet Defensive Rebound.,36,37
1:03,315,Dominic Robb Turnover.,36,37
1:03,315,Foul on Dominic Robb.,36,37
1:03,315,Niagara  Timeout,36,37
0:48,325,Jamarcus Hairston made Layup. Assisted by Kasheem Thomas.,38,37
0:31,315,Matt Scott made Layup.,38,39
0:02,325,Tyree Appleby missed Three Point Jumper.,38,39
0:02,315,Niagara Deadball Team Rebound.,38,39
0:00,315,End of 1st half,38,39
19:41,315,Matt Scott Turnover.,38,39
19:39,325,Tyree Appleby Steal.,38,39
19:37,325,Tyree Appleby made Dunk.,40,39
19:20,315,Keleaf Tate missed Three Point Jumper.,40,39
19:20,325,Anthony Wright Defensive Rebound.,40,39
19:06,325,Stefan Kenic missed Three Point Jumper.,40,39
19:06,315,Marvin Prochet Defensive Rebound.,40,39
18:52,315,Kahlil Dukes Turnover.,40,39
18:52,315,Foul on Kahlil Dukes.,40,39
18:39,325,Tyree Appleby Turnover.,40,39
18:38,315,Matt Scott Steal.,40,39
18:34,315,Matt Scott made Layup.,40,41
18:15,325,Stefan Kenic Turnover.,40,41
18:15,325,Foul on Stefan Kenic.,40,41
17:57,325,Foul on Jamarcus Hairston.,40,41
17:43,315,Matt Scott missed Three Point Jumper.,40,41
17:43,315,Keleaf Tate Offensive Rebound.,40,41
17:39,315,Keleaf Tate made Layup.,40,43
17:19,325,Kenny Carpenter missed Three Point Jumper.,40,43
17:19,325,Anthony Wright Offensive Rebound.,40,43
17:13,325,Anthony Wright made Layup.,42,43
16:52,315,Dominic Robb missed Jumper.,42,43
16:52,325,Kenny Carpenter Defensive Rebound.,42,43
16:44,325,Dontel Highsmith made Layup. Assisted by Kenny Carpenter.,44,43
16:30,325,Foul on Tyree Appleby.,44,43
16:30,315,Dominic Robb made Free Throw.,44,44
16:30,315,Dominic Robb made Free Throw.,44,45
16:07,325,Kenny Carpenter missed Jumper.,44,45
16:07,315,Matt Scott Defensive Rebound.,44,45
15:55,315,Keleaf Tate missed Jumper.,44,45
15:55,315,Greg King Offensive Rebound.,44,45
15:48,315,Greg King made Layup.,44,47
15:36,325,Kasheem Thomas missed Three Point Jumper.,44,47
15:36,315,Matt Scott Defensive Rebound.,44,47
15:27,315,Kahlil Dukes made Layup.,44,49
15:04,325,Dontel Highsmith missed Layup.,44,49
15:04,315,Marvin Prochet Block.,44,49
15:02,315,Matt Scott Defensive Rebound.,44,49
14:59,315,Keleaf Tate missed Three Point Jumper.,44,49
14:59,325,Jamarcus Hairston Defensive Rebound.,44,49
14:48,325,Jamarcus Hairston made Three Point Jumper. Assisted by Kasheem Thomas.,47,49
14:32,315,Kahlil Dukes made Three Point Jumper.,47,52
14:00,325,Kasheem Thomas made Layup.,49,52
13:38,315,Marvin Prochet missed Three Point Jumper.,49,52
13:38,325,Jamarcus Hairston Defensive Rebound.,49,52
13:08,325,Dontel Highsmith Turnover.,49,52
13:06,315,Matt Scott Steal.,49,52
13:01,315,Matt Scott missed Layup.,49,52
13:01,325,Dontel Highsmith Defensive Rebound.,49,52
12:55,325,Kasheem Thomas made Layup. Assisted by Dontel Highsmith.,51,52
12:19,315,Kahlil Dukes Turnover.,51,52
12:18,325,Kenny Carpenter Steal.,51,52
12:15,325,Kasheem Thomas made Layup. Assisted by Kenny Carpenter.,53,52
11:57,315,Matt Scott missed Three Point Jumper.,53,52
11:57,315,Marvin Prochet Offensive Rebound.,53,52
11:52,315,Marvin Prochet made Layup.,53,54
11:29,325,Kasheem Thomas missed Layup.,53,54
11:29,315,Marvin Prochet Defensive Rebound.,53,54
11:23,325,Foul on Terrell Hales.,53,54
11:23,315,Official TV Timeout,53,54
11:23,315,Kahlil Dukes made Free Throw.,53,55
11:23,315,Kahlil Dukes made Free Throw.,53,56
11:07,325,Anthony Wright missed Layup.,53,56
11:07,315,Greg King Block.,53,56
11:06,315,Marvin Prochet Defensive Rebound.,53,56
11:02,315,Kahlil Dukes missed Layup.,53,56
11:02,315,Kevin Larkin Offensive Rebound.,53,56
11:00,315,Kevin Larkin made Layup.,53,58
10:41,325,Tyree Appleby missed Three Point Jumper.,53,58
10:41,315,Greg King Defensive Rebound.,53,58
10:36,325,Foul on David Payne.,53,58
10:36,315,Official TV Timeout,53,58
10:26,315,Kahlil Dukes Turnover.,53,58
10:26,315,Foul on Kahlil Dukes.,53,58
10:04,325,Kenny Carpenter missed Three Point Jumper.,53,58
10:04,315,Matt Scott Defensive Rebound.,53,58
9:56,315,James Towns Turnover.,53,58
9:32,325,Anthony Wright made Layup. Assisted by Jamarcus Hairston.,55,58
9:06,315,James Towns missed Three Point Jumper.,55,58
9:06,325,Anthony Wright Defensive Rebound.,55,58
9:02,325,Anthony Wright Turnover.,55,58
9:01,315,Greg King Steal.,55,58
8:58,315,James Towns made Layup. Assisted by Greg King.,55,60
8:32,325,Jamarcus Hairston made Layup. Assisted by Tyree Appleby.,57,60
8:32,315,Foul on Matt Scott.,57,60
8:32,325,Jamarcus Hairston missed Free Throw.,57,60
8:32,315,Marvin Prochet Defensive Rebound.,57,60
8:26,315,Matt Scott missed Three Point Jumper.,57,60
8:26,315,Greg King Offensive Rebound.,57,60
8:21,315,Greg King made Dunk.,57,62
8:15,315,Foul on Greg King.,57,62
8:15,325,Tyree Appleby made Free Throw.,58,62
8:15,325,Tyree Appleby made Free Throw.,59,62
8:00,315,Greg King missed Layup.,59,62
8:00,325,Kenny Carpenter Defensive Rebound.,59,62
7:52,325,Jamarcus Hairston made Dunk. Assisted by Tyree Appleby.,61,62
7:38,315,James Towns missed Layup.,61,62
7:38,315,Matt Scott Offensive Rebound.,61,62
7:34,315,Matt Scott made Layup.,61,64
7:28,325,Tyree Appleby missed Layup.,61,64
7:28,315,Greg King Defensive Rebound.,61,64
7:22,315,James Towns missed Three Point Jumper.,61,64
7:22,325,Tyree Appleby Defensive Rebound.,61,64
7:14,315,Foul on Kevin Larkin.,61,64
7:14,315,Official TV Timeout,61,64
7:14,325,Kenny Carpenter missed Free Throw.,61,64
7:14,325,Cleveland State Deadball Team Rebound.,61,64
7:14,325,Kenny Carpenter made Free Throw.,62,64
7:03,325,Foul on Kenny Carpenter.,62,64
7:03,315,Matt Scott made Free Throw.,62,65
7:03,315,Matt Scott made Free Throw.,62,66
6:45,325,Bobby Word missed Three Point Jumper.,62,66
6:45,315,Kevin Larkin Defensive Rebound.,62,66
6:38,315,Marvin Prochet made Three Point Jumper. Assisted by Kahlil Dukes.,62,69
6:26,325,Cleveland State  Timeout,62,69
6:12,325,Tyree Appleby missed Layup.,62,69
6:12,315,Greg King Block.,62,69
6:09,325,Tyree Appleby Offensive Rebound.,62,69
6:07,325,Tyree Appleby Turnover.,62,69
6:07,325,Foul on Tyree Appleby.,62,69
6:07,315,Marvin Prochet made Free Throw.,62,70
6:07,315,Marvin Prochet made Free Throw.,62,71
5:39,325,Kenny Carpenter Turnover.,62,71
5:24,315,Kahlil Dukes made Jumper.,62,73
5:12,325,Anthony Wright made Three Point Jumper.,65,73
4:57,315,Kevin Larkin missed Three Point Jumper.,65,73
4:57,325,Kenny Carpenter Defensive Rebound.,65,73
4:40,325,Anthony Wright made Three Point Jumper. Assisted by Dontel Highsmith.,68,73
4:15,325,Foul on Kenny Carpenter.,68,73
4:15,315,Matt Scott made Free Throw.,68,74
4:15,315,Matt Scott missed Free Throw.,68,74
4:15,325,Kenny Carpenter Defensive Rebound.,68,74
3:55,315,Official TV Timeout,70,74
3:55,325,Anthony Wright made Layup. Assisted by Dontel Highsmith.,70,74
3:55,315,Foul on Greg King.,70,74
3:55,315,Official TV Timeout,70,74
3:55,325,Anthony Wright made Free Throw.,71,74
3:38,315,Matt Scott missed Three Point Jumper.,71,74
3:38,325,Dontel Highsmith Defensive Rebound.,71,74
3:29,325,Kenny Carpenter made Jumper. Assisted by Tyree Appleby.,73,74
3:07,315,Kevin Larkin missed Jumper.,73,74
3:07,315,Matt Scott Offensive Rebound.,73,74
3:03,315,Matt Scott missed Layup.,73,74
3:03,315,Kevin Larkin Offensive Rebound.,73,74
3:01,315,Kevin Larkin missed Jumper.,73,74
3:01,325,Kenny Carpenter Block.,73,74
2:59,315,Niagara Offensive Rebound.,73,74
2:51,315,Matt Scott Turnover.,73,74
2:50,325,Anthony Wright Steal.,73,74
2:41,315,Foul on Kahlil Dukes.,73,74
2:41,325,Tyree Appleby missed Free Throw.,73,74
2:41,315,Greg King Defensive Rebound.,73,74
2:17,315,Kahlil Dukes made Three Point Jumper. Assisted by Marvin Prochet.,73,77
1:45,325,Kenny Carpenter made Three Point Jumper. Assisted by Tyree Appleby.,76,77
1:35,315,Niagara  Timeout,76,77
1:13,315,Marvin Prochet missed Jumper.,76,77
1:13,315,Matt Scott Offensive Rebound.,76,77
1:12,325,Foul on Anthony Wright.,76,77
1:12,315,Matt Scott missed Free Throw.,76,77
1:12,315,Niagara Deadball Team Rebound.,76,77
1:12,315,Matt Scott made Free Throw.,76,78
0:51,315,Foul on Marvin Prochet.,76,78
0:51,325,Anthony Wright missed Free Throw.,76,78
0:51,325,Cleveland State Deadball Team Rebound.,76,78
0:51,325,Anthony Wright made Free Throw.,77,78
0:48,315,Niagara  Timeout,77,78
0:48,325,Foul on Jamarcus Hairston.,77,78
0:48,325,Cleveland State  Timeout,77,78
0:48,315,Greg King missed Free Throw.,77,78
0:48,315,Niagara Deadball Team Rebound.,77,78
0:48,315,Greg King made Free Throw.,77,79
0:32,325,Tyree Appleby missed Layup.,77,79
0:32,315,Greg King Defensive Rebound.,77,79
0:20,315,Matt Scott Turnover.,77,79
0:05,325,Stefan Kenic missed Jumper.,77,79
0:05,315,Marvin Prochet Block.,77,79
0:03,325,Tyree Appleby Offensive Rebound.,77,79
