Stephen F. Austin,142,Missouri,2617
10:52,142,Jordan Geist Defensive Rebound.,19,19
10:35,142,Jordan Barnett made Three Point Jumper. Assisted by Jordan Geist.,19,22
10:14,2617,Ivan Canete missed Three Point Jumper.,19,22
10:14,142,Kevin Puryear Defensive Rebound.,19,22
10:04,142,Kassius Robertson made Three Point Jumper. Assisted by Jordan Barnett.,19,25
9:46,2617,TJ Holyfield missed Three Point Jumper.,19,25
9:46,142,Missouri Defensive Rebound.,19,25
9:44,2617,Foul on Ivan Canete.,19,25
9:37,142,Jordan Geist Turnover.,19,25
9:37,2617,Ivan Canete Steal.,19,25
9:32,2617,Ivan Canete made Layup.,21,25
9:19,142,Jordan Barnett made Three Point Jumper. Assisted by Kassius Robertson.,21,28
9:15,2617,Aaron Augustin Turnover.,21,28
9:15,142,Jordan Geist Steal.,21,28
9:10,2617,Foul on Aaron Augustin.,21,28
9:00,2617,Foul on Ty Charles.,21,28
9:00,142,Kevin Puryear made Free Throw.,21,29
9:00,142,Kevin Puryear made Free Throw.,21,30
8:36,2617,Samuli Nieminen missed Layup.,21,30
8:36,2617,John Comeaux Offensive Rebound.,21,30
8:29,2617,John Comeaux missed Layup.,21,30
8:29,2617,Shannon Bogues Offensive Rebound.,21,30
8:21,2617,Shannon Bogues made Layup.,23,30
8:07,2617,Foul on Samuli Nieminen.,23,30
8:07,142,Kassius Robertson made Free Throw.,23,31
8:07,142,Kassius Robertson made Free Throw.,23,32
7:57,2617,Shannon Bogues made Dunk.,25,32
7:41,2617,Foul on Shannon Bogues.,25,32
7:41,142,Official TV Timeout,25,32
7:41,142,Kevin Puryear missed Free Throw.,25,32
7:41,2617,Ivan Canete Defensive Rebound.,25,32
7:18,2617,Ivan Canete missed Jumper.,25,32
7:18,142,Jordan Barnett Defensive Rebound.,25,32
7:04,2617,Foul on Ty Charles.,25,32
7:04,142,Kevin Puryear made Free Throw.,25,33
7:04,142,Kevin Puryear made Free Throw.,25,34
6:51,2617,Kevon Harris made Layup.,27,34
6:42,2617,Foul on Samuli Nieminen.,27,34
6:42,142,Jordan Barnett made Free Throw.,27,35
6:42,142,Jordan Barnett made Free Throw.,27,36
6:26,2617,Leon Gilmore III made Layup. Assisted by TJ Holyfield.,29,36
6:15,142,Jordan Barnett missed Dunk.,29,36
6:15,2617,TJ Holyfield Defensive Rebound.,29,36
6:10,2617,Kevon Harris made Layup.,31,36
5:44,142,Kevin Puryear missed Jumper.,31,36
5:44,2617,TJ Holyfield Defensive Rebound.,31,36
5:33,2617,Leon Gilmore III made Jumper.,33,36
5:10,142,Kassius Robertson made Three Point Jumper. Assisted by Jordan Geist.,33,39
4:48,2617,Kevon Harris missed Layup.,33,39
4:48,142,Reed Nikko Block.,33,39
4:48,142,Jordan Geist Defensive Rebound.,33,39
4:34,142,Kassius Robertson missed Three Point Jumper.,33,39
4:34,142,Jordan Geist Offensive Rebound.,33,39
4:32,142,Foul on Reed Nikko.,33,39
4:32,142,Reed Nikko Turnover.,33,39
4:24,2617,Shannon Bogues missed Jumper.,33,39
4:24,142,Jontay Porter Defensive Rebound.,33,39
4:06,142,Kassius Robertson made Layup.,33,41
3:53,2617,John Comeaux made Layup.,35,41
3:38,142,Official TV Timeout,35,41
3:37,142,Jontay Porter missed Three Point Jumper.,35,41
3:37,2617,Leon Gilmore III Defensive Rebound.,35,41
3:14,2617,Kevon Harris missed Jumper.,35,41
3:14,142,Kevin Puryear Defensive Rebound.,35,41
3:02,142,Jontay Porter made Three Point Jumper. Assisted by Terrence Phillips.,35,44
2:52,142,Foul on Terrence Phillips.,35,44
2:44,142,Foul on Kevin Puryear.,35,44
2:44,2617,John Comeaux missed Free Throw.,35,44
2:44,2617,Stephen F. Austin Deadball Team Rebound.,35,44
2:44,2617,John Comeaux made Free Throw.,36,44
2:24,142,Jordan Barnett missed Three Point Jumper.,36,44
2:24,142,Jontay Porter Offensive Rebound.,36,44
2:14,142,Kassius Robertson Turnover.,36,44
2:14,2617,John Comeaux Steal.,36,44
2:09,2617,John Comeaux Turnover.,36,44
2:09,142,Jontay Porter Steal.,36,44
1:49,142,Kassius Robertson missed Three Point Jumper.,36,44
1:49,142,Jordan Barnett Offensive Rebound.,36,44
1:39,2617,Foul on TJ Holyfield.,36,44
1:39,142,Jordan Barnett made Free Throw.,36,45
1:39,142,Jordan Barnett made Free Throw.,36,46
1:32,2617,Ivan Canete missed Layup.,36,46
1:32,142,Jontay Porter Defensive Rebound.,36,46
1:27,142,Jordan Barnett made Layup. Assisted by Jordan Geist.,36,48
1:03,142,Foul on Jordan Geist.,36,48
1:03,2617,John Comeaux made Free Throw.,37,48
1:03,2617,John Comeaux made Free Throw.,38,48
0:44,142,Kassius Robertson Turnover.,38,48
0:44,2617,Shannon Bogues Steal.,38,48
0:33,2617,Nathan Bain made Dunk. Assisted by TJ Holyfield.,40,48
0:23,142,Missouri  Timeout,40,48
0:06,142,Kassius Robertson Turnover.,40,48
0:06,2617,Nathan Bain Steal.,40,48
0:00,142,End of 1st half,40,48
20:00,142,Jump Ball won by Missouri,40,48
19:44,142,Jeremiah Tilmon made Dunk. Assisted by Kevin Puryear.,40,50
19:20,2617,Leon Gilmore III made Jumper.,42,50
19:02,142,Jordan Barnett made Three Point Jumper. Assisted by Jeremiah Tilmon.,42,53
18:42,2617,Foul on Aaron Augustin.,42,53
18:42,2617,Aaron Augustin Turnover.,42,53
18:42,2617,Stephen F. Austin  Timeout,42,53
18:21,142,Kevin Puryear Turnover.,42,53
18:09,2617,Kevon Harris missed Jumper.,42,53
18:09,142,Jordan Barnett Defensive Rebound.,42,53
18:02,142,Blake Harris made Jumper.,42,55
17:34,142,Foul on Jordan Barnett.,42,55
17:24,2617,Ivan Canete missed Jumper.,42,55
17:24,2617,TJ Holyfield Offensive Rebound.,42,55
17:19,2617,TJ Holyfield made Layup.,44,55
17:06,142,Kassius Robertson missed Three Point Jumper.,44,55
17:06,2617,Stephen F. Austin Defensive Rebound.,44,55
16:40,142,Foul on Jontay Porter.,44,55
16:34,2617,Kevon Harris made Three Point Jumper.,47,55
16:17,142,Jordan Barnett made Dunk. Assisted by Blake Harris.,47,57
15:56,2617,Leon Gilmore III Turnover.,47,57
15:56,142,Blake Harris Steal.,47,57
15:50,142,Kassius Robertson made Three Point Jumper. Assisted by Blake Harris.,47,60
15:40,2617,Ivan Canete missed Three Point Jumper.,47,60
15:40,2617,John Comeaux Offensive Rebound.,47,60
15:22,142,Foul on Kassius Robertson.,47,60
15:22,142,Official TV Timeout,47,60
15:22,2617,Kevon Harris made Free Throw.,48,60
15:22,2617,Kevon Harris missed Free Throw.,48,60
15:22,2617,Stephen F. Austin Deadball Team Rebound.,48,60
15:22,2617,Kevon Harris made Free Throw.,49,60
15:11,142,Jordan Geist Turnover.,49,60
15:11,2617,Samuli Nieminen Steal.,49,60
14:53,2617,Kevon Harris Turnover.,49,60
14:53,142,Jontay Porter Steal.,49,60
14:45,142,Jontay Porter missed Three Point Jumper.,49,60
14:45,2617,Kevon Harris Defensive Rebound.,49,60
14:29,2617,John Comeaux made Layup.,51,60
14:15,142,Jordan Barnett missed Three Point Jumper.,51,60
14:15,2617,John Comeaux Defensive Rebound.,51,60
14:08,2617,TJ Holyfield missed Layup.,51,60
14:08,142,Jeremiah Tilmon Defensive Rebound.,51,60
14:03,142,Jeremiah Tilmon Turnover.,51,60
14:00,2617,Shannon Bogues made Jumper.,53,60
13:39,142,Jordan Barnett Turnover.,53,60
13:26,142,Foul on Cullen VanLeer.,53,60
13:25,2617,Shannon Bogues made Jumper. Assisted by Ty Charles.,55,60
13:12,142,Foul on Jontay Porter.,55,60
13:12,142,Jontay Porter Turnover.,55,60
12:51,2617,Aaron Augustin missed Three Point Jumper.,55,60
12:51,2617,TJ Holyfield Offensive Rebound.,55,60
12:38,2617,Aaron Augustin Turnover.,55,60
12:38,142,Jontay Porter Steal.,55,60
12:31,142,Blake Harris missed Layup.,55,60
12:31,142,Jeremiah Tilmon Offensive Rebound.,55,60
12:23,142,Jeremiah Tilmon made Layup.,55,62
12:13,2617,Shannon Bogues missed Jumper.,55,62
12:13,142,Jeremiah Tilmon Block.,55,62
12:13,2617,TJ Holyfield Offensive Rebound.,55,62
11:57,2617,Ty Charles missed Three Point Jumper.,55,62
11:57,142,Jeremiah Tilmon Defensive Rebound.,55,62
11:48,142,Jordan Barnett missed Layup.,55,62
11:48,2617,Leon Gilmore III Defensive Rebound.,55,62
11:28,2617,TJ Holyfield made Jumper.,57,62
11:16,142,Jordan Barnett missed Three Point Jumper.,57,62
11:16,142,Jordan Geist Offensive Rebound.,57,62
11:11,142,Jordan Geist Turnover.,57,62
11:11,2617,TJ Holyfield Steal.,57,62
10:58,2617,Leon Gilmore III made Layup. Assisted by Ty Charles.,59,62
10:50,142,Missouri  Timeout,59,62
10:50,142,Official TV Timeout,59,62
10:45,2617,Foul on Nathan Bain.,59,62
10:32,142,Kevin Puryear missed Three Point Jumper.,59,62
10:32,2617,Stephen F. Austin Defensive Rebound.,59,62
10:15,142,Foul on Blake Harris.,59,62
10:15,2617,Kevon Harris Turnover.,59,62
10:15,142,Blake Harris Steal.,59,62
10:12,2617,Foul on Ivan Canete.,59,62
10:12,142,Blake Harris made Free Throw.,59,63
10:12,142,Blake Harris made Free Throw.,59,64
9:51,2617,Shannon Bogues missed Jumper.,59,64
9:51,142,Blake Harris Defensive Rebound.,59,64
9:32,142,Missouri  Timeout,59,64
9:17,142,Terrence Phillips made Jumper.,59,66
8:59,2617,Shannon Bogues made Dunk. Assisted by Ivan Canete.,61,66
8:30,142,Kevin Puryear missed Jumper.,61,66
8:30,2617,Stephen F. Austin Defensive Rebound.,61,66
8:16,2617,Kevon Harris Turnover.,61,66
8:10,142,Kassius Robertson Turnover.,61,66
8:10,2617,Kevon Harris Steal.,61,66
8:01,2617,TJ Holyfield missed Three Point Jumper.,61,66
8:01,142,Jordan Barnett Defensive Rebound.,61,66
7:50,142,Terrence Phillips missed Three Point Jumper.,61,66
7:50,2617,Stephen F. Austin Defensive Rebound.,61,66
7:40,142,Foul on Jeremiah Tilmon.,61,66
7:40,142,Official TV Timeout,61,66
7:40,2617,TJ Holyfield made Free Throw.,62,66
7:40,2617,TJ Holyfield made Free Throw.,63,66
7:19,142,Foul on Terrence Phillips.,63,66
7:19,142,Terrence Phillips Turnover.,63,66
6:53,142,Foul on Jeremiah Tilmon.,63,66
6:53,2617,TJ Holyfield made Free Throw.,64,66
6:53,2617,TJ Holyfield made Free Throw.,65,66
6:41,2617,Foul on Ty Charles.,65,66
6:41,142,Kassius Robertson made Free Throw.,65,67
6:41,142,Kassius Robertson made Free Throw.,65,68
6:21,2617,Ivan Canete missed Jumper.,65,68
6:21,2617,Kevon Harris Offensive Rebound.,65,68
6:16,2617,Kevon Harris missed Layup.,65,68
6:16,142,Jordan Barnett Defensive Rebound.,65,68
6:15,2617,Foul on Leon Gilmore III.,65,68
6:03,2617,Foul on Leon Gilmore III.,65,68
5:54,142,Jordan Barnett Turnover.,65,68
5:54,2617,Kevon Harris Steal.,65,68
5:48,2617,John Comeaux made Layup. Assisted by Kevon Harris.,67,68
5:28,2617,Foul on John Comeaux.,67,68
5:28,142,Terrence Phillips made Free Throw.,67,69
5:28,142,Terrence Phillips made Free Throw.,67,70
5:13,2617,TJ Holyfield made Dunk. Assisted by Kevon Harris.,69,70
4:58,142,Foul on Terrence Phillips.,69,70
4:58,142,Terrence Phillips Turnover.,69,70
4:46,142,Foul on Kevin Puryear.,69,70
4:46,2617,Leon Gilmore III made Free Throw.,70,70
4:46,2617,Leon Gilmore III missed Free Throw.,70,70
4:46,142,Jontay Porter Defensive Rebound.,70,70
4:29,142,Kassius Robertson missed Layup.,70,70
4:29,142,Kevin Puryear Offensive Rebound.,70,70
4:29,142,Kevin Puryear made Two Point Tip Shot.,70,72
3:56,2617,Kevon Harris missed Jumper.,70,72
3:56,142,Jordan Barnett Block.,70,72
3:56,142,Kevin Puryear Defensive Rebound.,70,72
3:56,2617,Stephen F. Austin  Turnover.,70,72
3:48,142,Official TV Timeout,70,72
3:39,2617,Foul on Samuli Nieminen.,70,72
3:39,142,Jordan Geist made Free Throw.,70,73
3:39,142,Jordan Geist made Free Throw.,70,74
3:12,2617,Ivan Canete made Three Point Jumper. Assisted by TJ Holyfield.,73,74
2:44,142,Kassius Robertson made Three Point Jumper. Assisted by Jordan Barnett.,73,77
2:26,2617,Leon Gilmore III missed Dunk.,73,77
2:26,142,Jontay Porter Block.,73,77
2:26,142,Jontay Porter Defensive Rebound.,73,77
2:13,142,Kassius Robertson made Jumper. Assisted by Jordan Geist.,73,79
2:02,2617,Stephen F. Austin  Timeout,73,79
1:55,2617,Aaron Augustin missed Layup.,73,79
1:55,142,Jeremiah Tilmon Defensive Rebound.,73,79
1:41,142,Kassius Robertson missed Three Point Jumper.,73,79
1:41,142,Jordan Barnett Offensive Rebound.,73,79
1:35,142,Jordan Barnett missed Jumper.,73,79
1:35,2617,Leon Gilmore III Defensive Rebound.,73,79
1:25,2617,Aaron Augustin missed Jumper.,73,79
1:25,2617,Stephen F. Austin Offensive Rebound.,73,79
1:16,142,Foul on Jordan Barnett.,73,79
1:16,2617,Leon Gilmore III made Free Throw.,74,79
1:16,2617,Leon Gilmore III made Free Throw.,75,79
1:05,2617,Foul on Aaron Augustin.,75,79
1:05,142,Jordan Geist made Free Throw.,75,80
1:05,142,Jordan Geist made Free Throw.,75,81
0:57,2617,Leon Gilmore III missed Three Point Jumper.,75,81
0:57,2617,Ivan Canete Offensive Rebound.,75,81
0:50,2617,Aaron Augustin made Three Point Jumper. Assisted by Ivan Canete.,78,81
0:47,2617,Stephen F. Austin  Timeout,78,81
0:25,2617,Foul on Leon Gilmore III.,78,81
0:25,142,Jontay Porter missed Free Throw.,78,81
0:25,142,Missouri Deadball Team Rebound.,78,81
0:25,142,Jontay Porter made Free Throw.,78,82
0:21,2617,Kevon Harris made Three Point Jumper.,81,82
0:13,2617,Foul on Aaron Augustin.,81,82
0:13,142,Kassius Robertson missed Free Throw.,81,82
0:13,142,Missouri Deadball Team Rebound.,81,82
0:13,142,Kassius Robertson missed Free Throw.,81,82
0:13,2617,TJ Holyfield Defensive Rebound.,81,82
0:04,2617,Ivan Canete Turnover.,81,82
0:04,142,Kassius Robertson Steal.,81,82
0:03,142,Missouri  Timeout,81,82
0:00,142,End of Game,81,82
