Marshall,2752,Xavier,276
15:30,276,Ajdin Penava made Layup. Assisted by C.J. Burks.,39,56
15:04,2752,Elias Harden missed Three Point Jumper.,39,56
15:04,276,C.J. Burks Defensive Rebound.,39,56
14:51,276,C.J. Burks missed Three Point Jumper.,39,56
14:51,2752,Xavier Defensive Rebound.,39,56
14:29,2752,Trevon Bluiett missed Three Point Jumper.,39,56
14:29,276,C.J. Burks Defensive Rebound.,39,56
14:09,2752,Foul on Elias Harden.,39,56
14:09,276,Ajdin Penava made Free Throw.,40,56
14:09,276,Ajdin Penava made Free Throw.,41,56
13:55,2752,Paul Scruggs made Jumper.,41,58
13:46,276,Rondale Watson missed Three Point Jumper.,41,58
13:46,2752,Kerem Kanter Defensive Rebound.,41,58
13:24,2752,Foul on Kerem Kanter.,41,58
13:24,2752,Kerem Kanter Turnover.,41,58
13:17,2752,Foul on Sean O'Mara.,41,58
13:17,276,Darius George missed Free Throw.,41,58
13:17,276,Marshall Deadball Team Rebound.,41,58
13:17,276,Darius George missed Free Throw.,41,58
13:17,2752,Tyrique Jones Defensive Rebound.,41,58
13:03,2752,Kerem Kanter missed Three Point Jumper.,41,58
13:03,276,C.J. Burks Defensive Rebound.,41,58
12:55,276,C.J. Burks Turnover.,41,58
12:49,2752,Tyrique Jones missed Layup.,41,58
12:49,276,Ajdin Penava Defensive Rebound.,41,58
12:40,2752,Foul on Tyrique Jones.,41,58
12:29,276,Ajdin Penava made Jumper. Assisted by Jon Elmore.,43,58
12:29,2752,Foul on Tyrique Jones.,43,58
12:29,276,Ajdin Penava made Free Throw.,44,58
12:07,2752,Trevon Bluiett Turnover.,44,58
12:07,276,Darius George Steal.,44,58
12:02,2752,Foul on Elias Harden.,44,58
12:02,276,Darius George made Free Throw.,45,58
12:02,276,Darius George made Free Throw.,46,58
11:44,276,Foul on Darius George.,46,58
11:44,2752,Official TV Timeout,46,58
11:44,2752,Kerem Kanter made Free Throw.,46,59
11:44,2752,Kerem Kanter made Free Throw.,46,60
11:39,276,Jon Elmore missed Three Point Jumper.,46,60
11:39,276,C.J. Burks Offensive Rebound.,46,60
11:17,276,Ajdin Penava missed Jumper.,46,60
11:17,2752,Tyrique Jones Defensive Rebound.,46,60
10:59,2752,Trevon Bluiett missed Jumper.,46,60
10:59,2752,Tyrique Jones Offensive Rebound.,46,60
10:54,276,Foul on Ajdin Penava.,46,60
10:38,2752,Tyrique Jones Turnover.,46,60
10:38,276,Ajdin Penava Steal.,46,60
10:26,276,C.J. Burks Turnover.,46,60
10:18,2752,Paul Scruggs Turnover.,46,60
10:18,276,Jarrod West Steal.,46,60
10:15,2752,Foul on Trevon Bluiett.,46,60
10:15,276,Rondale Watson made Free Throw.,47,60
10:15,276,Rondale Watson made Free Throw.,48,60
10:03,2752,Paul Scruggs missed Layup.,48,60
10:03,276,Ajdin Penava Defensive Rebound.,48,60
9:33,276,Jon Elmore made Layup.,50,60
9:24,2752,Xavier  Timeout,50,60
9:15,2752,Kerem Kanter Turnover.,50,60
9:05,276,Jon Elmore missed Jumper.,50,60
9:05,2752,Sean O'Mara Defensive Rebound.,50,60
9:00,276,Foul on Darius George.,50,60
9:00,2752,Sean O'Mara made Free Throw.,50,61
9:00,2752,Sean O'Mara made Free Throw.,50,62
8:46,276,Rondale Watson missed Three Point Jumper.,50,62
8:46,2752,Quentin Goodin Defensive Rebound.,50,62
8:30,2752,Quentin Goodin missed Three Point Jumper.,50,62
8:30,2752,Sean O'Mara Offensive Rebound.,50,62
8:22,2752,Trevon Bluiett missed Three Point Jumper.,50,62
8:22,276,Marshall Defensive Rebound.,50,62
8:14,276,Jon Elmore missed Three Point Jumper.,50,62
8:14,276,Darius George Offensive Rebound.,50,62
8:08,276,Rondale Watson made Three Point Jumper. Assisted by Darius George.,53,62
7:52,2752,Quentin Goodin made Layup. Assisted by Elias Harden.,53,64
7:38,276,Ajdin Penava missed Three Point Jumper.,53,64
7:38,2752,Quentin Goodin Defensive Rebound.,53,64
7:27,2752,Quentin Goodin made Jumper.,53,66
7:09,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,56,66
6:41,2752,Quentin Goodin missed Three Point Jumper.,56,66
6:41,276,Rondale Watson Defensive Rebound.,56,66
6:20,2752,Official TV Timeout,56,66
6:17,276,C.J. Burks missed Three Point Jumper.,56,66
6:17,2752,Quentin Goodin Defensive Rebound.,56,66
5:47,276,Foul on Rondale Watson.,56,66
5:47,2752,Quentin Goodin missed Free Throw.,56,66
5:47,2752,Xavier Deadball Team Rebound.,56,66
5:47,2752,Quentin Goodin made Free Throw.,56,67
5:42,276,Jon Elmore missed Jumper.,56,67
5:42,2752,Sean O'Mara Defensive Rebound.,56,67
5:14,2752,Kerem Kanter missed Three Point Jumper.,56,67
5:14,2752,Sean O'Mara Offensive Rebound.,56,67
5:09,2752,Sean O'Mara missed Layup.,56,67
5:09,276,Ajdin Penava Defensive Rebound.,56,67
5:04,276,Darius George missed Three Point Jumper.,56,67
5:04,2752,Quentin Goodin Defensive Rebound.,56,67
4:35,2752,Kerem Kanter made Layup. Assisted by Sean O'Mara.,56,69
4:35,276,Foul on Rondale Watson.,56,69
4:35,2752,Kerem Kanter made Free Throw.,56,70
4:23,276,Ajdin Penava made Layup. Assisted by Jon Elmore.,58,70
4:06,2752,Foul on Sean O'Mara.,58,70
4:06,2752,Sean O'Mara Turnover.,58,70
3:56,276,Foul on Ajdin Penava.,58,70
3:56,276,Ajdin Penava Turnover.,58,70
3:56,2752,Official TV Timeout,58,70
3:47,276,Foul on Jon Elmore.,58,70
3:47,2752,Quentin Goodin made Free Throw.,58,71
3:47,2752,Quentin Goodin made Free Throw.,58,72
3:38,276,Rondale Watson made Layup. Assisted by Jon Elmore.,60,72
3:16,2752,Trevon Bluiett Turnover.,60,72
3:16,276,Rondale Watson Steal.,60,72
3:11,276,C.J. Burks made Jumper.,62,72
2:40,2752,Quentin Goodin missed Three Point Jumper.,62,72
2:40,2752,Tyrique Jones Offensive Rebound.,62,72
2:31,2752,Xavier  Timeout,62,72
2:09,2752,Sean O'Mara Turnover.,62,72
2:00,276,Jon Elmore missed Three Point Jumper.,62,72
2:00,2752,Trevon Bluiett Defensive Rebound.,62,72
1:35,2752,Kerem Kanter missed Three Point Jumper.,62,72
1:35,276,C.J. Burks Defensive Rebound.,62,72
1:29,276,C.J. Burks made Three Point Jumper.,65,72
1:25,276,Marshall  Timeout,65,72
1:11,2752,Quentin Goodin made Jumper.,65,74
1:00,276,Jon Elmore missed Jumper.,65,74
1:00,276,Ajdin Penava Offensive Rebound.,65,74
1:00,276,Ajdin Penava made Two Point Tip Shot.,67,74
0:57,2752,Quentin Goodin missed Free Throw.,67,74
0:57,2752,Xavier Deadball Team Rebound.,67,74
0:57,2752,Quentin Goodin made Free Throw.,67,75
0:57,276,Foul on C.J. Burks.,67,74
0:57,276,Marshall  Timeout,67,74
0:44,276,C.J. Burks missed Jumper.,67,75
0:44,2752,Tyrique Jones Defensive Rebound.,67,75
0:40,276,Foul on Jon Elmore.,67,75
0:40,2752,Tyrique Jones made Free Throw.,67,76
0:40,2752,Tyrique Jones made Free Throw.,67,77
0:37,2752,Foul on Tyrique Jones.,67,77
0:37,276,Jon Elmore made Free Throw.,68,77
0:37,276,Jon Elmore missed Free Throw.,68,77
0:37,2752,Kerem Kanter Defensive Rebound.,68,77
0:34,276,Foul on Rondale Watson.,68,77
0:34,2752,Kerem Kanter made Free Throw.,68,78
0:34,2752,Kerem Kanter made Free Throw.,68,79
0:31,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,71,79
0:28,276,Marshall  Timeout,71,79
0:27,2752,Elias Harden Turnover.,71,79
0:24,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,74,79
0:20,2752,Xavier  Timeout,74,79
0:11,276,Foul on Jarrod West.,74,79
0:11,2752,Kerem Kanter made Free Throw.,74,80
0:11,2752,Kerem Kanter made Free Throw.,74,81
0:08,276,Jon Elmore missed Jumper.,74,81
0:08,276,Ajdin Penava Offensive Rebound.,74,81
0:06,276,Ajdin Penava missed Layup.,74,81
0:06,2752,Sean O'Mara Block.,74,81
0:06,276,Ajdin Penava Offensive Rebound.,74,81
0:01,276,Jon Elmore made Three Point Jumper. Assisted by C.J. Burks.,77,81
0:00,2752,End of Game,77,81
