Troy,2046,Austin Peay,2653
8:38,2046,Richard Henderson made Layup.,23,17
8:15,2046,Foul on Tre' Ivory.,23,17
8:15,2653,B.J. Miller made Free Throw.,24,17
8:15,2653,B.J. Miller made Free Throw.,25,17
8:02,2046,Zach Glotta missed Three Point Jumper.,25,17
8:02,2046,Tre' Ivory Offensive Rebound.,25,17
7:46,2046,Zach Glotta missed Jumper.,25,17
7:46,2653,Juan Davis Jr. Defensive Rebound.,25,17
7:32,2653,B.J. Miller made Layup. Assisted by Javan Johnson.,27,17
7:30,2046,Austin Peay  Timeout,27,17
7:15,2046,Ed Stephens missed Three Point Jumper.,27,17
7:15,2046,Averyl Ugba Offensive Rebound.,27,17
7:10,2046,Averyl Ugba made Layup.,27,19
6:56,2653,B.J. Miller Turnover.,27,19
6:55,2046,Deyshawn Martin Steal.,27,19
6:49,2046,Ed Stephens missed Three Point Jumper.,27,19
6:49,2653,Juan Davis Jr. Defensive Rebound.,27,19
6:28,2653,Wesley Person missed Jumper.,27,19
6:28,2046,Averyl Ugba Defensive Rebound.,27,19
6:15,2046,Deyshawn Martin Turnover.,27,19
6:13,2653,Kevin Baker Steal.,27,19
6:06,2653,Juan Davis Jr. made Jumper. Assisted by Kevin Baker.,29,19
5:50,2046,Austin Peay  Timeout,29,19
5:46,2046,Deyshawn Martin missed Layup.,29,19
5:46,2653,Juan Davis Jr. Defensive Rebound.,29,19
5:35,2653,Kevin Baker missed Three Point Jumper.,29,19
5:35,2046,Deyshawn Martin Defensive Rebound.,29,19
5:24,2046,Zach Glotta missed Three Point Jumper.,29,19
5:24,2046,Steve Harris Offensive Rebound.,29,19
5:22,2653,Foul on Kevin Baker.,29,19
5:16,2046,Zach Glotta missed Three Point Jumper.,29,19
5:16,2653,Wesley Person Defensive Rebound.,29,19
4:57,2653,Darian Adams missed Three Point Jumper.,29,19
4:57,2046,Tre' Ivory Defensive Rebound.,29,19
4:49,2046,Averyl Ugba missed Jumper.,29,19
4:49,2653,Juan Davis Jr. Defensive Rebound.,29,19
4:25,2653,Foul on Wesley Person.,29,19
4:25,2653,Wesley Person Turnover.,29,19
4:11,2046,Foul on Deyshawn Martin.,29,19
4:11,2046,Deyshawn Martin Turnover.,29,19
3:46,2653,Foul on Darian Adams.,29,19
3:46,2653,Darian Adams Turnover.,29,19
3:46,2046,Austin Peay  Timeout,29,19
3:29,2046,Tre' Ivory Turnover.,29,19
3:07,2653,Wesley Person missed Three Point Jumper.,29,19
3:07,2046,Tre' Ivory Defensive Rebound.,29,19
2:59,2046,Tre' Ivory missed Jumper.,29,19
2:59,2653,Javan Johnson Defensive Rebound.,29,19
2:42,2653,B.J. Miller made Layup.,31,19
2:25,2046,Averyl Ugba made Jumper. Assisted by Steve Harris.,31,21
2:03,2653,B.J. Miller missed Three Point Jumper.,31,21
2:03,2046,Deyshawn Martin Defensive Rebound.,31,21
1:53,2046,Averyl Ugba made Layup. Assisted by Deyshawn Martin.,31,23
1:31,2046,Foul on Averyl Ugba.,31,23
1:31,2653,Javan Johnson made Free Throw.,32,23
1:31,2653,Javan Johnson made Free Throw.,33,23
1:21,2046,Steve Harris made Layup.,33,25
0:56,2653,Troy  Timeout,33,25
0:50,2653,Kevin Baker Turnover.,33,25
0:50,2046,Zach Glotta Steal.,33,25
0:46,2046,Averyl Ugba made Layup. Assisted by Zach Glotta.,33,27
0:28,2653,Wesley Person made Three Point Jumper. Assisted by Kevin Baker.,36,27
0:06,2046,Zach Glotta missed Three Point Jumper.,36,27
0:06,2653,B.J. Miller Defensive Rebound.,36,27
0:00,2046,End of 1st half,36,27
19:50,2653,Juan Davis Jr. missed Three Point Jumper.,36,27
19:50,2046,Chris Porter-Bunton Defensive Rebound.,36,27
19:24,2046,Chris Porter-Bunton missed Three Point Jumper.,36,27
19:24,2653,Alex Hicks Defensive Rebound.,36,27
18:54,2653,Kevin Baker missed Layup.,36,27
18:54,2046,Terry Taylor Defensive Rebound.,36,27
18:43,2046,Terry Taylor made Three Point Jumper. Assisted by Tre' Ivory.,36,30
18:29,2653,Juan Davis Jr. Turnover.,36,30
18:17,2653,Foul on Juan Davis Jr..,36,30
18:15,2653,Foul on Javan Johnson.,36,30
18:10,2046,Dayton Gumm Turnover.,36,30
18:08,2653,Alex Hicks Steal.,36,30
18:00,2653,Javan Johnson Turnover.,36,30
17:44,2046,Averyl Ugba made Layup. Assisted by Tre' Ivory.,36,32
17:29,2653,Alex Hicks made Jumper.,38,32
17:22,2653,Foul on Alex Hicks.,38,32
17:22,2046,Dayton Gumm made Free Throw.,38,33
17:22,2046,Dayton Gumm missed Free Throw.,38,33
17:22,2046,Tre' Ivory Offensive Rebound.,38,33
16:59,2653,Foul on Wesley Person.,38,33
16:37,2046,Tre' Ivory missed Jumper.,38,33
16:37,2046,Chris Porter-Bunton Offensive Rebound.,38,33
16:33,2046,Chris Porter-Bunton missed Jumper.,38,33
16:33,2046,Averyl Ugba Offensive Rebound.,38,33
16:32,2046,Averyl Ugba Turnover.,38,33
16:23,2653,Kevin Baker Turnover.,38,33
16:21,2046,Tre' Ivory Steal.,38,33
16:11,2046,Averyl Ugba Turnover.,38,33
15:55,2653,Javan Johnson missed Layup.,38,33
15:55,2046,Chris Porter-Bunton Defensive Rebound.,38,33
15:53,2046,Chris Porter-Bunton Turnover.,38,33
15:53,2653,Troy  Timeout,38,33
15:48,2653,Alex Hicks made Jumper. Assisted by Kevin Baker.,40,33
15:31,2653,Foul on B.J. Miller.,40,33
15:25,2653,Foul on Alex Hicks.,40,33
15:25,2046,Averyl Ugba made Free Throw.,40,34
15:25,2046,Averyl Ugba made Free Throw.,40,35
15:09,2046,Foul on Steve Harris.,40,35
15:09,2653,Wesley Person missed Free Throw.,40,35
15:09,2653,Troy Deadball Team Rebound.,40,35
15:09,2653,Wesley Person made Free Throw.,41,35
14:50,2046,Dayton Gumm Turnover.,41,35
14:49,2653,Kevin Baker Steal.,41,35
14:45,2653,Kevin Baker missed Layup.,41,35
14:45,2653,Troy Offensive Rebound.,41,35
14:32,2653,Javan Johnson made Three Point Jumper. Assisted by B.J. Miller.,44,35
14:16,2046,Terry Taylor missed Layup.,44,35
14:16,2046,Terry Taylor Offensive Rebound.,44,35
14:11,2046,Terry Taylor missed Layup.,44,35
14:11,2653,Juan Davis Jr. Defensive Rebound.,44,35
14:07,2653,Javan Johnson Turnover.,44,35
13:49,2046,Averyl Ugba missed Layup.,44,35
13:49,2653,Javan Johnson Defensive Rebound.,44,35
13:44,2046,Foul on Dayton Gumm.,44,35
13:39,2046,Foul on Terry Taylor.,44,35
13:39,2653,Wesley Person made Free Throw.,45,35
13:39,2653,Wesley Person made Free Throw.,46,35
13:18,2046,Averyl Ugba missed Dunk.,46,35
13:18,2046,Tre' Ivory Offensive Rebound.,46,35
13:04,2046,Zach Glotta made Three Point Jumper. Assisted by Terry Taylor.,46,38
12:37,2653,Darian Adams missed Jumper.,46,38
12:37,2046,Chris Porter-Bunton Defensive Rebound.,46,38
12:24,2046,Terry Taylor missed Three Point Jumper.,46,38
12:24,2653,B.J. Miller Defensive Rebound.,46,38
12:07,2653,Javan Johnson Turnover.,46,38
11:54,2046,Averyl Ugba missed Jumper.,46,38
11:54,2653,Javan Johnson Defensive Rebound.,46,38
11:43,2653,Wesley Person Turnover.,46,38
11:43,2046,Austin Peay  Timeout,46,38
11:25,2046,Terry Taylor made Jumper.,46,40
11:02,2653,B.J. Miller Turnover.,46,40
10:49,2046,Dayton Gumm made Three Point Jumper. Assisted by Chris Porter-Bunton.,46,43
10:25,2653,Wesley Person made Layup.,48,43
10:17,2046,Dayton Gumm missed Jumper.,48,43
10:17,2046,Austin Peay Offensive Rebound.,48,43
10:04,2046,Zach Glotta made Three Point Jumper. Assisted by Dayton Gumm.,48,46
9:41,2046,Foul on Averyl Ugba.,48,46
9:36,2653,Foul on Wesley Person.,48,46
9:36,2653,Wesley Person Turnover.,48,46
9:23,2046,Terry Taylor made Dunk. Assisted by Averyl Ugba.,48,48
9:00,2653,Kevin Baker missed Jumper.,48,48
9:00,2046,Chris Porter-Bunton Defensive Rebound.,48,48
8:50,2046,Zach Glotta made Three Point Jumper. Assisted by Terry Taylor.,48,51
8:46,2653,Troy  Timeout,48,51
8:35,2653,Kevin Baker Turnover.,48,51
8:13,2653,Foul on Alex Hicks.,48,51
8:13,2046,Terry Taylor made Free Throw.,48,52
8:13,2046,Terry Taylor made Free Throw.,48,53
7:58,2653,Wesley Person made Jumper.,50,53
7:32,2046,Dayton Gumm Turnover.,50,53
7:31,2653,Javan Johnson Steal.,50,53
7:27,2653,Javan Johnson missed Layup.,50,53
7:27,2653,Javan Johnson Offensive Rebound.,50,53
7:23,2653,Javan Johnson made Jumper.,52,53
7:05,2046,Tre' Ivory made Layup.,52,55
6:42,2046,Foul on Chris Porter-Bunton.,52,55
6:42,2653,Troy  Timeout,52,55
6:42,2653,Wesley Person made Free Throw.,53,55
6:42,2653,Wesley Person made Free Throw.,54,55
6:25,2046,Terry Taylor made Layup. Assisted by Chris Porter-Bunton.,54,57
6:06,2653,B.J. Miller made Layup.,56,57
5:43,2046,Terry Taylor missed Layup.,56,57
5:43,2653,Troy Defensive Rebound.,56,57
5:32,2046,Foul on Chris Porter-Bunton.,56,57
5:26,2653,Kevin Baker Turnover.,56,57
5:25,2046,Averyl Ugba Steal.,56,57
5:20,2653,Foul on Javan Johnson.,56,57
5:20,2046,Averyl Ugba made Free Throw.,56,58
5:20,2046,Averyl Ugba made Free Throw.,56,59
5:00,2046,Foul on Tre' Ivory.,56,59
5:00,2653,Juan Davis Jr. made Free Throw.,57,59
5:00,2653,Juan Davis Jr. made Free Throw.,58,59
4:42,2046,Terry Taylor missed Jumper.,58,59
4:42,2046,Terry Taylor Offensive Rebound.,58,59
4:36,2046,Terry Taylor made Layup.,58,61
4:19,2653,B.J. Miller Turnover.,58,61
4:18,2046,Dayton Gumm Steal.,58,61
4:15,2046,Dayton Gumm made Layup.,58,63
3:57,2046,Foul on Tre' Ivory.,58,63
3:57,2653,Troy  Timeout,58,63
3:57,2653,Juan Davis Jr. made Free Throw.,59,63
3:57,2653,Juan Davis Jr. made Free Throw.,60,63
3:35,2046,Steve Harris missed Jumper.,60,63
3:35,2653,Wesley Person Defensive Rebound.,60,63
3:18,2653,Wesley Person made Three Point Jumper.,63,63
2:54,2046,Terry Taylor made Layup. Assisted by Tre' Ivory.,63,65
2:26,2653,Kevin Baker made Jumper.,65,65
2:06,2046,Terry Taylor missed Layup.,65,65
2:06,2653,Javan Johnson Block.,65,65
2:05,2046,Terry Taylor Offensive Rebound.,65,65
2:05,2046,Terry Taylor made Layup.,65,67
2:05,2653,Foul on Juan Davis Jr..,65,67
2:05,2046,Terry Taylor made Free Throw.,65,68
1:49,2653,Juan Davis Jr. missed Three Point Jumper.,65,68
1:49,2046,Chris Porter-Bunton Defensive Rebound.,65,68
1:35,2046,Austin Peay  Timeout,65,68
1:22,2046,Terry Taylor made Jumper.,65,70
1:06,2046,Foul on Averyl Ugba.,65,70
1:06,2653,Wesley Person made Free Throw.,66,70
1:06,2653,Wesley Person missed Free Throw.,66,70
1:06,2046,Terry Taylor Defensive Rebound.,66,70
0:39,2046,Chris Porter-Bunton missed Three Point Jumper.,66,70
0:39,2653,B.J. Miller Defensive Rebound.,66,70
0:34,2046,Foul on Tre' Ivory.,66,70
0:34,2653,Wesley Person made Free Throw.,67,70
0:34,2653,Wesley Person made Free Throw.,68,70
0:34,2653,Troy  Timeout,68,70
0:28,2046,Averyl Ugba made Dunk. Assisted by Zach Glotta.,68,72
0:24,2046,Foul on Zach Glotta.,68,72
0:24,2653,B.J. Miller made Free Throw.,69,72
0:24,2653,B.J. Miller made Free Throw.,70,72
0:23,2653,Foul on Darian Adams.,70,72
0:23,2046,Chris Porter-Bunton made Free Throw.,70,73
0:23,2046,Chris Porter-Bunton made Free Throw.,70,74
0:23,2046,Austin Peay  Timeout,70,74
0:15,2046,Foul on Steve Harris.,70,74
0:15,2653,Wesley Person made Free Throw.,71,74
0:15,2653,Wesley Person made Free Throw.,72,74
0:15,2653,Wesley Person made Free Throw.,73,74
0:05,2653,Foul on Javan Johnson.,73,74
0:05,2653,Troy  Timeout,73,74
0:05,2046,Dayton Gumm missed Free Throw.,73,74
0:05,2046,Austin Peay Deadball Team Rebound.,73,74
0:05,2046,Dayton Gumm made Free Throw.,73,75
0:00,2653,B.J. Miller missed Layup.,73,75
0:00,2046,Averyl Ugba Defensive Rebound.,73,75
0:00,2046,End of Game,73,75
