Coppin State,2115,Central Connecticut,2154
9:04,2154,Foul on Chad Andrews-Fulton.,20,15
8:52,2115,Deion Bute missed Jumper.,20,15
8:52,2154,Karonn Davis Defensive Rebound.,20,15
8:31,2154,Karonn Davis missed Three Point Jumper.,20,15
8:31,2115,Joe Hugley Defensive Rebound.,20,15
8:10,2154,Foul on Cedric Council Jr..,20,15
7:53,2115,Shakaris Laney missed Three Point Jumper.,20,15
7:53,2115,Joe Hugley Offensive Rebound.,20,15
7:48,2154,Foul on Adam Traore.,20,15
7:48,2115,Official TV Timeout,20,15
7:48,2115,Deion Bute made Free Throw.,20,16
7:48,2115,Deion Bute made Free Throw.,20,17
7:36,2154,Foul on Chad Andrews-Fulton.,20,17
7:36,2154,Chad Andrews-Fulton Turnover.,20,17
7:19,2115,Mustafa Jones missed Layup.,20,17
7:19,2154,Taqwain Drummond Defensive Rebound.,20,17
7:07,2154,Lucian Brownlee made Three Point Jumper. Assisted by Joel Boyce.,23,17
6:38,2115,Tyler Kohl missed Jumper.,23,17
6:38,2115,Joe Hugley Offensive Rebound.,23,17
6:36,2115,Joe Hugley made Layup.,23,19
6:13,2154,Taqwain Drummond missed Jumper.,23,19
6:13,2115,Shakaris Laney Defensive Rebound.,23,19
6:05,2115,Joe Hugley made Three Point Jumper. Assisted by Eric Bowles.,23,22
5:48,2154,Karonn Davis missed Jumper.,23,22
5:48,2115,Joe Hugley Defensive Rebound.,23,22
5:29,2115,Mustafa Jones made Layup. Assisted by Eric Bowles.,23,24
5:05,2115,Foul on Eric Bowles.,23,24
4:56,2154,Karonn Davis missed Jumper.,23,24
4:56,2115,Mustafa Jones Defensive Rebound.,23,24
4:35,2115,Joe Hugley missed Layup.,23,24
4:35,2154,Joel Boyce Defensive Rebound.,23,24
4:29,2154,Joel Boyce missed Layup.,23,24
4:29,2115,Tyler Kohl Defensive Rebound.,23,24
4:13,2115,Deion Bute Turnover.,23,24
3:58,2154,Adam Traore made Layup.,25,24
3:39,2115,Foul on Deion Bute.,25,24
3:39,2115,Deion Bute Turnover.,25,24
3:39,2115,Official TV Timeout,25,24
3:26,2154,Adam Traore missed Three Point Jumper.,25,24
3:26,2115,Central Connecticut Defensive Rebound.,25,24
3:04,2115,Joe Hugley missed Layup.,25,24
3:04,2154,Lucian Brownlee Defensive Rebound.,25,24
2:45,2154,Tre' Thomas missed Layup.,25,24
2:45,2115,Central Connecticut Defensive Rebound.,25,24
2:44,2154,Foul on Karonn Davis.,25,24
2:44,2115,Austin Nehls made Free Throw.,25,25
2:44,2115,Austin Nehls made Free Throw.,25,26
2:31,2154,Keandre Fair made Three Point Jumper. Assisted by Lucian Brownlee.,28,26
2:11,2115,Foul on Joe Hugley.,28,26
2:11,2115,Joe Hugley Turnover.,28,26
1:46,2115,Foul on Joe Hugley.,28,26
1:46,2154,Adam Traore made Free Throw.,29,26
1:46,2154,Adam Traore missed Free Throw.,29,26
1:46,2115,Mustafa Jones Defensive Rebound.,29,26
1:31,2115,Austin Nehls missed Three Point Jumper.,29,26
1:31,2154,Karonn Davis Defensive Rebound.,29,26
1:23,2154,Lucian Brownlee made Jumper. Assisted by Karonn Davis.,31,26
0:55,2115,Mustafa Jones missed Layup.,31,26
0:55,2115,Eric Bowles Offensive Rebound.,31,26
0:44,2115,Mustafa Jones missed Layup.,31,26
0:44,2154,Adam Traore Defensive Rebound.,31,26
0:29,2154,Karonn Davis missed Three Point Jumper.,31,26
0:29,2115,Tyler Kohl Defensive Rebound.,31,26
0:02,2154,Foul on Keandre Fair.,31,26
0:02,2115,Eric Bowles missed Free Throw.,31,26
0:02,2115,Central Connecticut Deadball Team Rebound.,31,26
0:02,2115,Eric Bowles missed Free Throw.,31,26
0:02,2154,Lucian Brownlee Defensive Rebound.,31,26
0:00,2115,End of 1st half,31,26
19:50,2154,Tre' Thomas missed Three Point Jumper.,31,26
19:50,2115,Deion Bute Defensive Rebound.,31,26
19:36,2115,Tyler Kohl made Three Point Jumper.,31,29
19:12,2154,Karonn Davis made Three Point Jumper.,34,29
18:48,2115,Mustafa Jones missed Three Point Jumper.,34,29
18:48,2154,Karonn Davis Defensive Rebound.,34,29
18:40,2154,Karonn Davis made Layup.,36,29
18:40,2115,Foul on Mustafa Jones.,36,29
18:40,2154,Karonn Davis made Free Throw.,37,29
18:24,2115,Tyler Kohl Turnover.,37,29
18:23,2154,Keandre Fair Steal.,37,29
18:16,2154,Tre' Thomas made Layup. Assisted by Keandre Fair.,39,29
18:08,2115,Central Connecticut  Timeout,39,29
18:08,2115,Official TV Timeout,39,29
17:59,2115,Austin Nehls made Jumper. Assisted by Mustafa Jones.,39,31
17:33,2154,Keandre Fair missed Three Point Jumper.,39,31
17:33,2115,Eric Bowles Defensive Rebound.,39,31
17:01,2115,Tyler Kohl missed Three Point Jumper.,39,31
17:01,2115,Central Connecticut Deadball Team Rebound.,39,31
16:59,2115,Central Connecticut  Turnover.,39,31
16:33,2154,Tre' Thomas made Jumper.,41,31
16:18,2115,Deion Bute Turnover.,41,31
16:01,2154,Keandre Fair missed Three Point Jumper.,41,31
16:01,2115,Austin Nehls Defensive Rebound.,41,31
15:42,2115,Eric Bowles missed Three Point Jumper.,41,31
15:42,2154,Coppin State Defensive Rebound.,41,31
15:40,2115,Official TV Timeout,41,31
15:12,2154,Joel Boyce made Layup.,43,31
14:53,2115,Tyler Kohl made Layup.,43,33
14:30,2154,Joel Boyce Turnover.,43,33
14:30,2115,Tyler Kohl Steal.,43,33
14:23,2115,Joe Hugley made Layup.,43,35
14:06,2154,Tre' Thomas missed Three Point Jumper.,43,35
14:06,2154,Cedric Council Jr. Offensive Rebound.,43,35
13:42,2154,Joel Boyce Turnover.,43,35
13:41,2115,Austin Nehls Steal.,43,35
13:27,2115,Joe Hugley made Layup. Assisted by Austin Nehls.,43,37
13:02,2154,Cedric Council Jr. missed Three Point Jumper.,43,37
13:02,2115,Central Connecticut Defensive Rebound.,43,37
12:45,2115,Tyler Kohl missed Three Point Jumper.,43,37
12:45,2154,Taqwain Drummond Block.,43,37
12:42,2154,Joel Boyce Defensive Rebound.,43,37
12:18,2154,Taqwain Drummond made Layup.,45,37
12:01,2115,Joe Hugley missed Layup.,45,37
12:01,2154,Joel Boyce Defensive Rebound.,45,37
11:56,2154,Joel Boyce Turnover.,45,37
11:56,2115,Official TV Timeout,45,37
11:37,2154,Foul on Chad Andrews-Fulton.,45,37
11:37,2115,Joe Hugley made Free Throw.,45,38
11:37,2115,Joe Hugley made Free Throw.,45,39
11:17,2154,Adam Traore made Layup.,47,39
10:46,2154,Foul on Karonn Davis.,47,39
10:44,2154,Foul on Taqwain Drummond.,47,39
10:31,2115,Eric Bowles missed Jumper.,47,39
10:31,2115,Central Connecticut Offensive Rebound.,47,39
10:25,2115,Eric Bowles made Layup.,47,41
10:11,2154,Karonn Davis missed Jumper.,47,41
10:11,2154,Coppin State Offensive Rebound.,47,41
9:51,2154,Foul on Joel Boyce.,47,41
9:51,2154,Joel Boyce Turnover.,47,41
9:35,2115,Eric Bowles missed Layup.,47,41
9:35,2115,Deion Bute Offensive Rebound.,47,41
9:32,2115,Deion Bute made Layup.,47,43
9:14,2154,Adam Traore made Layup. Assisted by Lucian Brownlee.,49,43
8:51,2154,Foul on Adam Traore.,49,43
8:51,2115,Deion Bute missed Free Throw.,49,43
8:51,2115,Central Connecticut Deadball Team Rebound.,49,43
8:51,2115,Deion Bute made Free Throw.,49,44
8:37,2154,Keandre Fair made Three Point Jumper. Assisted by Lucian Brownlee.,52,44
8:24,2115,Deion Bute Offensive Rebound.,52,44
8:24,2115,Eric Bowles missed Layup.,52,44
8:16,2115,Deion Bute Turnover.,52,44
8:16,2154,Karonn Davis Steal.,52,44
8:00,2154,Lucian Brownlee made Jumper.,54,44
7:39,2115,Deion Bute made Layup. Assisted by Tyler Kohl.,54,46
7:07,2154,Chad Andrews-Fulton Turnover.,54,46
7:04,2115,Eric Bowles Steal.,54,46
7:01,2115,Joe Hugley missed Layup.,54,46
7:01,2115,Deion Bute Offensive Rebound.,54,46
6:57,2115,Deion Bute missed Layup.,54,46
6:57,2115,Joe Hugley Offensive Rebound.,54,46
6:56,2154,Foul on Chad Andrews-Fulton.,54,46
6:56,2115,Official TV Timeout,54,46
6:56,2115,Joe Hugley made Free Throw.,54,47
6:56,2115,Joe Hugley missed Free Throw.,54,47
6:56,2154,Coppin State Defensive Rebound.,54,47
6:56,2115,Foul on Deion Bute.,54,47
6:40,2154,Adam Traore Turnover.,54,47
6:23,2115,Austin Nehls missed Layup.,54,47
6:23,2154,Dejuan Clayton Block.,54,47
6:21,2115,Deion Bute Offensive Rebound.,54,47
6:19,2115,Deion Bute made Layup.,54,49
5:56,2154,Cedric Council Jr. made Layup.,56,49
5:44,2115,Austin Nehls missed Three Point Jumper.,56,49
5:44,2115,Mustafa Jones Offensive Rebound.,56,49
5:24,2115,Mustafa Jones made Dunk. Assisted by Tyler Kohl.,56,51
4:54,2154,Lucian Brownlee made Layup.,58,51
4:36,2115,Austin Nehls made Layup. Assisted by Tyler Kohl.,58,53
4:12,2154,Tre' Thomas missed Jumper.,58,53
4:12,2115,Deion Bute Block.,58,53
4:10,2115,Mustafa Jones Defensive Rebound.,58,53
4:00,2115,Tyler Kohl made Layup.,58,55
3:50,2154,Tre' Thomas Turnover.,58,55
3:49,2115,Eric Bowles Steal.,58,55
3:47,2115,Eric Bowles made Layup.,58,57
3:42,2154,Coppin State  Timeout,58,57
3:42,2115,Official TV Timeout,58,57
3:17,2154,Tre' Thomas missed Jumper.,58,57
3:17,2115,Mustafa Jones Defensive Rebound.,58,57
2:56,2115,Mustafa Jones made Dunk. Assisted by Tyler Kohl.,58,59
2:37,2154,Karonn Davis missed Layup.,58,59
2:37,2115,Mustafa Jones Block.,58,59
2:35,2154,Chad Andrews-Fulton Offensive Rebound.,58,59
2:32,2115,Foul on Deion Bute.,58,59
2:32,2154,Chad Andrews-Fulton made Free Throw.,59,59
2:32,2154,Chad Andrews-Fulton missed Free Throw.,59,59
2:32,2115,Deion Bute Defensive Rebound.,59,59
2:14,2115,Tyler Kohl missed Layup.,59,59
2:14,2154,Coppin State Defensive Rebound.,59,59
2:13,2115,Foul on Deion Bute.,59,59
1:58,2115,Foul on Tyler Kohl.,59,59
1:58,2154,Karonn Davis made Free Throw.,60,59
1:58,2154,Karonn Davis missed Free Throw.,60,59
1:58,2115,Tyler Kohl Defensive Rebound.,60,59
1:42,2115,Austin Nehls missed Three Point Jumper.,60,59
1:42,2154,Tre' Thomas Defensive Rebound.,60,59
1:35,2115,Foul on Shakaris Laney.,60,59
1:22,2154,Karonn Davis Turnover.,60,59
1:20,2115,Austin Nehls Steal.,60,59
1:17,2154,Foul on Taqwain Drummond.,60,59
1:17,2115,Tyler Kohl missed Free Throw.,60,59
1:17,2115,Central Connecticut Deadball Team Rebound.,60,59
1:17,2115,Tyler Kohl made Free Throw.,60,60
0:52,2154,Tre' Thomas missed Three Point Jumper.,60,60
0:52,2115,Austin Nehls Defensive Rebound.,60,60
0:23,2115,Shakaris Laney made Layup.,60,62
0:06,2154,Karonn Davis made Layup.,62,62
0:01,2115,Austin Nehls missed Three Point Jumper.,62,62
0:00,2115,Central Connecticut Deadball Team Rebound.,62,62
0:00,2115,End of 2nd half,62,62
4:46,2115,Tyler Kohl made Layup. Assisted by Eric Bowles.,62,64
4:19,2154,Tre' Thomas made Jumper.,64,64
3:53,2115,Tyler Kohl missed Layup.,64,64
3:53,2115,Tyler Kohl Offensive Rebound.,64,64
3:48,2154,Foul on Cedric Council Jr..,64,64
3:48,2115,Tyler Kohl made Free Throw.,64,65
3:48,2115,Tyler Kohl made Free Throw.,64,66
3:37,2154,Dejuan Clayton made Jumper.,66,66
3:03,2115,Eric Bowles missed Three Point Jumper.,66,66
3:03,2115,Tyler Kohl Offensive Rebound.,66,66
2:59,2115,Tyler Kohl made Layup.,66,68
2:43,2154,Cedric Council Jr. made Dunk. Assisted by Dejuan Clayton.,68,68
2:21,2115,Eric Bowles made Layup. Assisted by Shakaris Laney.,68,70
2:21,2154,Foul on Dejuan Clayton.,68,70
2:21,2115,Eric Bowles missed Free Throw.,68,70
2:21,2154,Karonn Davis Defensive Rebound.,68,70
1:56,2154,Coppin State  Timeout,68,70
1:52,2154,Dejuan Clayton made Three Point Jumper.,71,70
1:31,2115,Tyler Kohl Turnover.,71,70
1:20,2154,Dejuan Clayton missed Three Point Jumper.,71,70
1:20,2115,Shakaris Laney Defensive Rebound.,71,70
0:52,2115,Eric Bowles missed Layup.,71,70
0:52,2115,Tyler Kohl Offensive Rebound.,71,70
0:50,2154,Foul on Dejuan Clayton.,71,70
0:50,2115,Tyler Kohl made Free Throw.,71,71
0:50,2115,Tyler Kohl made Free Throw.,71,72
0:31,2154,Karonn Davis missed Jumper.,71,72
0:31,2115,Tyler Kohl Defensive Rebound.,71,72
0:19,2154,Foul on Lucian Brownlee.,71,72
0:19,2115,Shakaris Laney missed Free Throw.,71,72
0:19,2115,Central Connecticut Deadball Team Rebound.,71,72
0:19,2115,Shakaris Laney missed Free Throw.,71,72
0:19,2154,Karonn Davis Defensive Rebound.,71,72
0:15,2154,Karonn Davis Turnover.,71,72
0:15,2154,Foul on Keandre Fair.,71,72
0:15,2115,Austin Nehls made Free Throw.,71,73
0:15,2115,Austin Nehls made Free Throw.,71,74
0:15,2154,Coppin State  Timeout,71,74
0:02,2154,Tre' Thomas missed Three Point Jumper.,71,74
0:02,2115,Mustafa Jones Defensive Rebound.,71,74
0:00,2115,End of Game,71,74
