Mars Hill,Error,Winthrop,2737
10:53,2369,Vernon Jackson made Three Point Jumper. Assisted by Jalen Williams.,11,23
10:44,2737,Josh Ferguson made Dunk. Assisted by Bjorn Broman.,11,25
10:25,2369,Luke Van-Rijn missed Three Point Jumper.,11,25
10:25,2737,Charles Falden Defensive Rebound.,11,25
10:14,2737,Charles Falden made Three Point Jumper. Assisted by Bjorn Broman.,11,28
9:46,2369,Vernon Jackson missed Three Point Jumper.,11,28
9:46,2737,Winthrop Defensive Rebound.,11,28
9:24,2369,Foul on Vernon Jackson.,11,28
9:22,2737,Kyle Zunic Turnover.,11,28
9:21,2369,Brandon Watkins Steal.,11,28
9:07,2369,Matthew Powell missed Three Point Jumper.,11,28
9:07,2737,Kyle Zunic Defensive Rebound.,11,28
8:53,2737,Austin Awad missed Jumper.,11,28
8:53,2369,Matthew Powell Defensive Rebound.,11,28
8:41,2737,Foul on Charles Falden.,11,28
8:38,2369,Brandon Watkins missed Jumper.,11,28
8:38,2369,Jalen Williams Offensive Rebound.,11,28
8:20,2369,Matthew Powell missed Jumper.,11,28
8:20,2737,Anders Broman Defensive Rebound.,11,28
8:12,2737,Kyle Zunic missed Three Point Jumper.,11,28
8:12,2369,Jalen Williams Defensive Rebound.,11,28
8:00,2369,Matthew Powell made Layup. Assisted by Bennett Wilson.,13,28
7:44,2737,Kyle Zunic Turnover.,13,28
7:43,2369,Brandon Watkins Steal.,13,28
7:31,2369,Brandon Reeves Turnover.,13,28
7:31,2737,Austin Awad Steal.,13,28
7:20,2737,Nych Smith missed Jumper.,13,28
7:20,2737,Winthrop Offensive Rebound.,13,28
7:17,2737,Official TV Timeout,13,28
7:16,2737,Xavier Cooks made Dunk. Assisted by Nych Smith.,13,30
6:50,2369,Jalen Williams made Layup.,15,30
6:37,2737,Anders Broman missed Three Point Jumper.,15,30
6:37,2369,Bennett Wilson Defensive Rebound.,15,30
6:26,2737,Foul on Tom Pupavac.,15,30
6:14,2369,Brandon Reeves made Three Point Jumper.,18,30
6:04,2737,Nych Smith missed Jumper.,18,30
6:04,2369,Jalen Williams Defensive Rebound.,18,30
5:55,2369,Bennett Wilson Turnover.,18,30
5:55,2737,Xavier Cooks Steal.,18,30
5:45,2737,Xavier Cooks missed Jumper.,18,30
5:45,2369,Bennett Wilson Defensive Rebound.,18,30
5:35,2369,Matthew Powell missed Layup.,18,30
5:35,2737,Charles Falden Defensive Rebound.,18,30
5:26,2369,Foul on Bennett Wilson.,18,30
5:18,2369,Foul on Brandon Reeves.,18,30
5:18,2737,Xavier Cooks made Free Throw.,18,31
5:18,2737,Xavier Cooks made Free Throw.,18,32
5:02,2369,Bennett Wilson missed Jumper.,18,32
5:02,2737,Xavier Cooks Defensive Rebound.,18,32
4:46,2737,Anders Broman made Three Point Jumper. Assisted by Josh Ferguson.,18,35
4:25,2737,Foul on Bjorn Broman.,18,35
4:25,2369,Jalen Williams missed Jumper.,18,35
4:25,2369,Brandon Watkins Offensive Rebound.,18,35
4:23,2369,Brandon Reeves missed Three Point Jumper.,18,35
4:23,2737,Winthrop Defensive Rebound.,18,35
3:58,2369,Foul on Brandon Watkins.,18,35
3:58,2737,Official TV Timeout,18,35
3:58,2737,Anders Broman made Free Throw.,18,36
3:58,2737,Anders Broman made Free Throw.,18,37
3:45,2369,Luke Van-Rijn made Jumper. Assisted by Brandon Reeves.,20,37
3:37,2737,Bjorn Broman made Layup.,20,39
3:20,2369,Luke Van-Rijn made Three Point Jumper. Assisted by Charles Moore.,23,39
3:01,2737,Bjorn Broman made Layup.,23,41
2:33,2369,Charles Moore missed Jumper.,23,41
2:33,2737,Josh Ferguson Defensive Rebound.,23,41
2:23,2737,Anders Broman made Layup.,23,43
2:22,2369,Foul on Jalen Williams.,23,43
2:22,2737,Anders Broman made Free Throw.,23,44
2:10,2737,Foul on Bjorn Broman.,23,44
2:10,2369,Luke Van-Rijn made Free Throw.,24,44
2:10,2369,Luke Van-Rijn missed Free Throw.,24,44
2:10,2737,Anders Broman Defensive Rebound.,24,44
2:04,2737,Nych Smith missed Layup.,24,44
2:04,2369,Luke Van-Rijn Block.,24,44
2:04,2737,Winthrop Offensive Rebound.,24,44
1:54,2737,Kyle Zunic made Three Point Jumper.,24,47
1:36,2369,Justin Hartfield missed Three Point Jumper.,24,47
1:36,2737,Nych Smith Defensive Rebound.,24,47
1:18,2737,Austin Awad missed Three Point Jumper.,24,47
1:18,2737,Xavier Cooks Offensive Rebound.,24,47
1:11,2737,Nych Smith Turnover.,24,47
0:51,2369,Charles Moore missed Three Point Jumper.,24,47
0:51,2737,Xavier Cooks Defensive Rebound.,24,47
0:48,2369,Foul on Luke Van-Rijn.,24,47
0:48,2737,Xavier Cooks made Free Throw.,24,48
0:48,2737,Xavier Cooks made Free Throw.,24,49
0:25,2369,Charles Moore Turnover.,24,49
0:05,2737,Nych Smith made Three Point Jumper. Assisted by Charles Falden.,24,52
0:00,2737,End of 1st half,24,52
19:47,2369,Foul on Luke Van-Rijn.,24,52
19:47,2369,Luke Van-Rijn Turnover.,24,52
19:23,2369,Foul on Vernon Jackson.,24,52
19:16,2737,Xavier Cooks missed Jumper.,24,52
19:16,2737,Jermaine Ukaegbu Offensive Rebound.,24,52
19:16,2737,Jermaine Ukaegbu made Jumper.,24,54
19:16,2369,Foul on Matthew Powell.,24,54
19:16,2737,Jermaine Ukaegbu made Free Throw.,24,55
18:58,2369,Charles Moore missed Jumper.,24,55
18:58,2737,Xavier Cooks Defensive Rebound.,24,55
18:41,2737,Bjorn Broman missed Three Point Jumper.,24,55
18:41,2737,Jermaine Ukaegbu Offensive Rebound.,24,55
18:36,2737,Anders Broman made Three Point Jumper. Assisted by Jermaine Ukaegbu.,24,58
18:04,2737,Foul on Jermaine Ukaegbu.,24,58
18:03,2369,Matthew Powell missed Three Point Jumper.,24,58
18:03,2369,Vernon Jackson Offensive Rebound.,24,58
18:00,2737,Foul on Jermaine Ukaegbu.,24,58
17:45,2369,Brandon Watkins missed Jumper.,24,58
17:45,2737,Xavier Cooks Block.,24,58
17:44,2369,Brandon Watkins Offensive Rebound.,24,58
17:41,2369,Charles Moore missed Three Point Jumper.,24,58
17:41,2737,Anders Broman Defensive Rebound.,24,58
17:33,2737,Kyle Zunic missed Three Point Jumper.,24,58
17:33,2737,Josh Ferguson Offensive Rebound.,24,58
17:25,2737,Anders Broman missed Three Point Jumper.,24,58
17:25,2737,Josh Ferguson Offensive Rebound.,24,58
17:17,2737,Xavier Cooks made Dunk. Assisted by Kyle Zunic.,24,60
17:02,2369,Bennett Wilson Turnover.,24,60
17:01,2737,Kyle Zunic Steal.,24,60
16:58,2737,Anders Broman made Layup. Assisted by Xavier Cooks.,24,62
16:56,2369,Mars Hill  Timeout,24,62
16:56,2737,Official TV Timeout,24,62
16:39,2369,Cody Hylton made Three Point Jumper. Assisted by Austin Gilyard.,27,62
16:10,2737,Austin Awad made Three Point Jumper. Assisted by Anders Broman.,27,65
15:52,2369,Austin Gilyard missed Three Point Jumper.,27,65
15:52,2369,Cody Hylton Offensive Rebound.,27,65
15:43,2369,Jalen Williams missed Jumper.,27,65
15:43,2737,Nych Smith Defensive Rebound.,27,65
15:34,2737,Austin Awad missed Three Point Jumper.,27,65
15:34,2737,Josh Ferguson Offensive Rebound.,27,65
15:30,2737,Josh Ferguson missed Jumper.,27,65
15:30,2737,Winthrop Offensive Rebound.,27,65
15:26,2737,Official TV Timeout,27,65
15:17,2737,Charles Falden made Three Point Jumper. Assisted by Josh Ferguson.,27,68
14:59,2369,Austin Gilyard missed Three Point Jumper.,27,68
14:59,2369,Brandon Reeves Offensive Rebound.,27,68
14:52,2369,Brandon Reeves Turnover.,27,68
14:51,2737,Nych Smith Steal.,27,68
14:41,2737,Austin Awad made Three Point Jumper. Assisted by Nych Smith.,27,71
14:28,2369,Jalen Williams missed Free Throw.,27,71
14:28,2369,Mars Hill Deadball Team Rebound.,27,71
14:28,2369,Jalen Williams made Free Throw.,28,71
14:17,2369,Foul on Cody Hylton.,28,71
14:17,2737,Austin Awad made Free Throw.,28,72
14:17,2737,Austin Awad made Free Throw.,28,73
14:09,2369,Brandon Reeves missed Jumper.,28,73
14:09,2369,Brandon Reeves Offensive Rebound.,28,73
14:03,2369,Jalen Williams Turnover.,28,73
14:03,2737,Charles Falden Steal.,28,73
13:56,2737,Charles Falden Turnover.,28,73
13:55,2369,Brandon Watkins Steal.,28,73
13:36,2369,Cody Hylton made Three Point Jumper.,31,73
13:18,2737,Tom Pupavac missed Jumper.,31,73
13:18,2369,Brandon Reeves Defensive Rebound.,31,73
13:07,2369,Austin Gilyard missed Layup.,31,73
13:07,2737,Nych Smith Defensive Rebound.,31,73
12:56,2737,Bjorn Broman made Three Point Jumper. Assisted by Nych Smith.,31,76
12:39,2369,Jalen Williams missed Layup.,31,76
12:39,2737,Austin Awad Defensive Rebound.,31,76
12:32,2737,Nych Smith made Layup.,31,78
12:21,2737,Foul on Austin Awad.,31,78
12:21,2369,Brandon Reeves made Free Throw.,32,78
12:21,2369,Brandon Reeves made Free Throw.,33,78
12:21,2369,Brandon Reeves missed Free Throw.,33,78
12:21,2737,Xavier Cooks Defensive Rebound.,33,78
12:16,2737,Charles Falden made Layup.,33,80
12:01,2369,Austin Gilyard Turnover.,33,80
12:00,2737,Xavier Cooks Steal.,33,80
11:54,2737,Adam Pickett made Three Point Jumper. Assisted by Xavier Cooks.,33,83
11:36,2737,Foul on Charles Falden.,33,83
11:36,2737,Official TV Timeout,33,83
11:36,2369,Justin Hartfield made Free Throw.,34,83
11:36,2369,Justin Hartfield made Free Throw.,35,83
11:36,2737,Adam Pickett missed Three Point Jumper.,35,83
11:36,2369,Justin Hartfield Defensive Rebound.,35,83
11:08,2369,Jarrod Evans missed Jumper.,35,83
11:08,2737,Adam Pickett Block.,35,83
11:08,2369,Jarrod Evans Offensive Rebound.,35,83
11:06,2737,Foul on Tom Pupavac.,35,83
11:06,2369,Jarrod Evans missed Free Throw.,35,83
11:06,2369,Mars Hill Deadball Team Rebound.,35,83
11:06,2369,Jarrod Evans made Free Throw.,36,83
10:52,2737,Xavier Cooks made Layup.,36,85
10:28,2369,Austin Gilyard missed Jumper.,36,85
10:28,2737,Xavier Cooks Defensive Rebound.,36,85
10:21,2737,Adam Pickett missed Jumper.,36,85
10:21,2369,Jarrod Evans Block.,36,85
10:18,2737,Tom Pupavac Offensive Rebound.,36,85
10:15,2737,Kyle Zunic missed Three Point Jumper.,36,85
10:15,2737,Xavier Cooks Offensive Rebound.,36,85
10:10,2737,Bjorn Broman made Three Point Jumper. Assisted by Kyle Zunic.,36,88
9:53,2369,Jarrod Evans Turnover.,36,88
9:53,2737,Xavier Cooks Steal.,36,88
9:49,2737,Bjorn Broman made Free Throw.,36,89
9:49,2737,Bjorn Broman made Free Throw.,36,90
9:35,2369,Cody Hylton made Three Point Jumper.,39,90
9:13,2369,Foul on Jarrod Evans.,39,90
9:13,2737,Tom Pupavac made Free Throw.,39,91
9:13,2737,Tom Pupavac made Free Throw.,39,92
8:54,2369,Jarrod Evans missed Three Point Jumper.,39,92
8:54,2737,Charles Falden Defensive Rebound.,39,92
8:47,2737,Nych Smith missed Jumper.,39,92
8:47,2369,Matthew Powell Defensive Rebound.,39,92
8:32,2737,Foul on Adam Pickett.,39,92
8:32,2369,Austin Gilyard made Free Throw.,40,92
8:32,2369,Austin Gilyard made Free Throw.,41,92
8:23,2737,Austin Awad made Three Point Jumper. Assisted by Nych Smith.,41,95
8:11,2369,Austin Gilyard missed Jumper.,41,95
8:11,2737,Winthrop Defensive Rebound.,41,95
7:56,2737,Nych Smith made Three Point Jumper. Assisted by Charles Falden.,41,98
7:38,2369,Austin Gilyard missed Jumper.,41,98
7:38,2737,Austin Awad Defensive Rebound.,41,98
7:23,2737,Nych Smith Turnover.,41,98
7:22,2369,Austin Gilyard Steal.,41,98
7:21,2369,Matthew Powell made Layup. Assisted by Austin Gilyard.,43,98
7:05,2369,Foul on Luke Van-Rijn.,43,98
7:05,2737,Official TV Timeout,43,98
7:05,2737,Josh Ferguson missed Free Throw.,43,98
7:05,2369,Jarrod Evans Defensive Rebound.,43,98
6:54,2369,Matthew Powell missed Jumper.,43,98
6:54,2737,Jermaine Ukaegbu Defensive Rebound.,43,98
6:30,2737,Nych Smith missed Three Point Jumper.,43,98
6:30,2369,Matthew Powell Defensive Rebound.,43,98
6:18,2369,Austin Gilyard missed Jumper.,43,98
6:18,2737,Jermaine Ukaegbu Defensive Rebound.,43,98
6:09,2737,Charles Falden Turnover.,43,98
6:07,2369,Luke Van-Rijn Steal.,43,98
6:02,2369,Austin Gilyard missed Jumper.,43,98
6:02,2737,Mitch Hill Defensive Rebound.,43,98
5:53,2737,Mitch Hill missed Three Point Jumper.,43,98
5:53,2369,Matthew Powell Defensive Rebound.,43,98
5:35,2369,Cody Hylton missed Three Point Jumper.,43,98
5:35,2737,Winthrop Defensive Rebound.,43,98
5:22,2737,Kellen Blake missed Three Point Jumper.,43,98
5:22,2369,Austin Gilyard Defensive Rebound.,43,98
5:03,2369,Luke Van-Rijn missed Dunk.,43,98
5:03,2737,Adam Pickett Block.,43,98
5:03,2369,Mars Hill Offensive Rebound.,43,98
5:02,2737,Foul on Mitch Hill.,43,98
5:02,2369,Luke Van-Rijn made Free Throw.,44,98
5:02,2369,Luke Van-Rijn missed Free Throw.,44,98
5:02,2737,Mitch Hill Defensive Rebound.,44,98
4:49,2737,Adam Pickett made Layup.,44,100
4:39,2369,Cody Hylton missed Three Point Jumper.,44,100
4:39,2737,Adam Pickett Defensive Rebound.,44,100
4:30,2737,Matt Erps missed Layup.,44,100
4:30,2737,Freddy Poole Offensive Rebound.,44,100
4:29,2369,Foul on Brandon Reeves.,44,100
4:29,2737,Freddy Poole missed Free Throw.,44,100
4:29,2737,Winthrop Deadball Team Rebound.,44,100
4:29,2737,Freddy Poole made Free Throw.,44,101
4:16,2369,Luke Van-Rijn missed Three Point Jumper.,44,101
4:16,2369,Cody Hylton Offensive Rebound.,44,101
4:09,2369,Brandon Reeves missed Three Point Jumper.,44,101
4:09,2737,Mitch Hill Defensive Rebound.,44,101
4:02,2737,Matt Erps Turnover.,44,101
3:50,2369,Brandon Reeves missed Jumper.,44,101
3:50,2737,Freddy Poole Defensive Rebound.,44,101
3:37,2737,Freddy Poole made Three Point Jumper. Assisted by Mitch Hill.,44,104
3:27,2369,Austin Gilyard missed Three Point Jumper.,44,104
3:27,2369,Brandon Reeves Offensive Rebound.,44,104
3:10,2369,Jarrod Evans missed Layup.,44,104
3:10,2369,Jarrod Evans Offensive Rebound.,44,104
3:07,2369,Jarrod Evans made Layup.,46,104
2:56,2737,Kellen Blake missed Three Point Jumper.,46,104
2:56,2369,Cody Hylton Defensive Rebound.,46,104
2:49,2369,Cody Hylton missed Layup.,46,104
2:49,2737,Freddy Poole Defensive Rebound.,46,104
2:39,2737,Matt Erps Turnover.,46,104
2:39,2737,Official TV Timeout,46,104
2:21,2369,Austin Gilyard missed Jumper.,46,104
2:21,2737,Mitch Hill Defensive Rebound.,46,104
2:13,2737,Mitch Hill Turnover.,46,104
2:12,2369,Austin Gilyard Steal.,46,104
2:09,2369,Cody Hylton made Three Point Jumper. Assisted by Austin Gilyard.,49,104
1:52,2737,Tom Pupavac missed Jumper.,49,104
1:52,2369,Jarrod Evans Defensive Rebound.,49,104
1:38,2369,Brandon Reeves Turnover.,49,104
1:37,2737,Mitch Hill Steal.,49,104
1:21,2737,Tom Pupavac missed Jumper.,49,104
1:21,2369,Austin Gilyard Defensive Rebound.,49,104
1:15,2369,Brandon Reeves missed Jumper.,49,104
1:15,2737,Mitch Hill Defensive Rebound.,49,104
1:04,2737,Mitch Hill missed Three Point Jumper.,49,104
1:04,2369,Luke Van-Rijn Defensive Rebound.,49,104
0:46,2369,Austin Gilyard Turnover.,49,104
0:45,2737,Matt Erps Steal.,49,104
0:42,2737,Matt Erps Turnover.,49,104
0:34,2369,Austin Gilyard missed Jumper.,49,104
0:34,2369,Luke Van-Rijn Offensive Rebound.,49,104
0:31,2369,Cody Hylton missed Three Point Jumper.,49,104
0:31,2737,Mitch Hill Defensive Rebound.,49,104
0:00,2737,End of Game,49,104
