Jacksonville State,236,Chattanooga,55
14:51,55,Christian Cunningham Defensive Rebound.,44,44
14:42,55,Malcolm Drumwright made Layup.,46,44
14:42,236,Foul on Duane Moss.,46,44
14:42,55,Malcolm Drumwright missed Free Throw.,46,44
14:42,236,Makinde London Defensive Rebound.,46,44
14:28,236,James Lewis Jr. made Dunk. Assisted by Makinde London.,46,46
14:14,55,Malcolm Drumwright Turnover.,46,46
14:13,236,Nat Dixon Steal.,46,46
14:09,55,Foul on Jamall Gregory.,46,46
14:09,236,Nat Dixon made Free Throw.,46,47
14:09,236,Nat Dixon made Free Throw.,46,48
13:54,55,Christian Cunningham Turnover.,46,48
13:35,236,Makinde London Turnover.,46,48
13:18,55,Marlon Hunter missed Layup.,46,48
13:18,236,Makinde London Defensive Rebound.,46,48
12:52,236,Rodney Chatman missed Layup.,46,48
12:52,55,Norbertas Giga Block.,46,48
12:51,236,Nat Dixon Offensive Rebound.,46,48
12:43,236,Rodney Chatman missed Three Point Jumper.,46,48
12:43,55,Jamall Gregory Block.,46,48
12:43,55,Jacksonville State Defensive Rebound.,46,48
12:22,55,Malcolm Drumwright made Three Point Jumper. Assisted by Jason Burnell.,49,48
12:11,55,Foul on Jason Burnell.,49,48
11:48,236,David Jean-Baptiste missed Jumper.,49,48
11:48,55,Jamall Gregory Defensive Rebound.,49,48
11:42,55,Foul on Jamall Gregory.,49,48
11:42,55,Jamall Gregory Turnover.,49,48
11:42,236,Official TV Timeout,49,48
11:32,236,Rodney Chatman Turnover.,49,48
11:32,55,Christian Cunningham Steal.,49,48
11:20,55,Foul on Jason Burnell.,49,48
11:20,55,Jason Burnell Turnover.,49,48
11:11,236,Makinde London made Three Point Jumper. Assisted by David Jean-Baptiste.,49,51
10:43,55,Norbertas Giga made Jumper. Assisted by Jamall Gregory.,51,51
10:24,236,David Jean-Baptiste made Three Point Jumper. Assisted by Nat Dixon.,51,54
10:05,55,Malcolm Drumwright made Jumper.,53,54
9:37,236,Duane Moss made Layup.,53,56
9:07,55,Norbertas Giga missed Three Point Jumper.,53,56
9:07,236,Chattanooga Defensive Rebound.,53,56
8:46,236,Rodney Chatman made Three Point Jumper. Assisted by Duane Moss.,53,59
8:37,55,Jacksonville State  Timeout,53,59
8:14,55,Ashton Spears Turnover.,53,59
8:12,236,Rodney Chatman Steal.,53,59
7:57,55,Foul on Malcolm Drumwright.,53,59
7:57,236,Official TV Timeout,53,59
7:51,236,Makinde London missed Three Point Jumper.,53,59
7:51,55,Norbertas Giga Defensive Rebound.,53,59
7:38,55,Christian Cunningham missed Layup.,53,59
7:38,236,Makinde London Block.,53,59
7:36,236,Rodney Chatman Defensive Rebound.,53,59
7:10,236,Makale Foreman missed Three Point Jumper.,53,59
7:10,236,Chattanooga Offensive Rebound.,53,59
7:08,236,Chattanooga  Timeout,53,59
7:08,236,Makale Foreman missed Three Point Jumper.,53,59
7:08,55,Norbertas Giga Defensive Rebound.,53,59
6:39,55,Malcolm Drumwright missed Jumper.,53,59
6:39,55,Christian Cunningham Offensive Rebound.,53,59
6:36,55,Christian Cunningham made Layup.,55,59
6:06,236,Nat Dixon Turnover.,55,59
6:05,55,Marlon Hunter Steal.,55,59
5:55,236,Foul on Rodney Chatman.,55,59
5:49,55,Norbertas Giga missed Layup.,55,59
5:49,55,Christian Cunningham Offensive Rebound.,55,59
5:48,236,Foul on James Lewis Jr..,55,59
5:40,236,Foul on Rodney Chatman.,55,59
5:37,55,Malcolm Drumwright missed Free Throw.,55,59
5:37,55,Jacksonville State Deadball Team Rebound.,55,59
5:37,55,Malcolm Drumwright made Free Throw.,56,59
5:14,236,David Jean-Baptiste made Three Point Jumper. Assisted by Makinde London.,56,62
4:44,55,Malcolm Drumwright made Three Point Jumper.,59,62
4:23,55,Foul on Christian Cunningham.,59,62
4:23,236,Nat Dixon made Free Throw.,59,63
4:23,236,Nat Dixon missed Free Throw.,59,63
4:23,236,James Lewis Jr. Offensive Rebound.,59,63
4:09,236,Rodney Chatman Turnover.,59,63
4:08,55,Malcolm Drumwright Steal.,59,63
3:57,55,Malcolm Drumwright made Layup.,61,63
3:29,236,Rodney Chatman made Layup.,61,65
3:12,55,Malcolm Drumwright missed Three Point Jumper.,61,65
3:12,55,Norbertas Giga Offensive Rebound.,61,65
3:09,236,Foul on Makinde London.,61,65
3:09,236,Official TV Timeout,61,65
3:09,55,Norbertas Giga made Free Throw.,62,65
3:09,55,Norbertas Giga made Free Throw.,63,65
2:50,236,Rodney Chatman missed Layup.,63,65
2:50,55,Jamall Gregory Defensive Rebound.,63,65
2:38,55,Malcolm Drumwright made Layup.,65,65
2:17,55,Foul on Maurice Dunlap.,65,65
2:17,236,Rodney Chatman made Free Throw.,65,66
2:17,236,Rodney Chatman made Free Throw.,65,67
2:08,55,Malcolm Drumwright made Jumper.,67,67
1:54,236,Makinde London Turnover.,67,67
1:54,55,Malcolm Drumwright Steal.,67,67
1:44,55,Malcolm Drumwright made Three Point Jumper.,70,67
1:19,236,Makinde London missed Layup.,70,67
1:19,55,Christian Cunningham Block.,70,67
1:17,55,Norbertas Giga Defensive Rebound.,70,67
1:02,55,Malcolm Drumwright missed Jumper.,70,67
1:02,236,Nat Dixon Defensive Rebound.,70,67
0:49,236,David Jean-Baptiste missed Three Point Jumper.,70,67
0:49,55,Jamall Gregory Defensive Rebound.,70,67
0:22,55,Malcolm Drumwright missed Layup.,70,67
0:22,236,Rodney Chatman Defensive Rebound.,70,67
0:09,236,Rodney Chatman made Three Point Jumper.,70,70
0:03,55,Jacksonville State  Timeout,70,70
0:00,236,End of 2nd half,70,70
4:48,55,Malcolm Drumwright missed Layup.,70,70
4:48,236,James Lewis Jr. Defensive Rebound.,70,70
4:21,236,Rodney Chatman missed Three Point Jumper.,70,70
4:21,55,Marlon Hunter Defensive Rebound.,70,70
4:07,55,Jamall Gregory Turnover.,70,70
3:47,236,James Lewis Jr. Turnover.,70,70
3:33,55,Malcolm Drumwright made Jumper.,72,70
3:07,55,Foul on Christian Cunningham.,72,70
3:07,236,Makinde London made Free Throw.,72,71
3:07,236,Makinde London made Free Throw.,72,72
2:50,55,Jamall Gregory missed Three Point Jumper.,72,72
2:50,236,Nat Dixon Defensive Rebound.,72,72
2:22,236,Makinde London missed Jumper.,72,72
2:22,236,Chattanooga Offensive Rebound.,72,72
2:05,236,David Jean-Baptiste made Jumper.,72,74
1:45,55,Norbertas Giga missed Jumper.,72,74
1:45,236,Makinde London Defensive Rebound.,72,74
1:44,55,Foul on Norbertas Giga.,72,74
1:42,236,Makinde London made Free Throw.,72,75
1:42,236,Makinde London missed Free Throw.,72,75
1:42,55,Norbertas Giga Defensive Rebound.,72,75
1:26,55,Jason Burnell made Three Point Jumper. Assisted by Malcolm Drumwright.,75,75
1:26,55,Jacksonville State  Timeout,75,75
1:00,236,Rodney Chatman missed Layup.,75,75
1:00,55,Christian Cunningham Block.,75,75
0:59,236,Chattanooga Offensive Rebound.,75,75
0:57,236,Rodney Chatman missed Three Point Jumper.,75,75
0:57,55,Christian Cunningham Defensive Rebound.,75,75
0:40,55,Christian Cunningham missed Layup.,75,75
0:40,55,Marlon Hunter Offensive Rebound.,75,75
0:35,55,Marlon Hunter missed Jumper.,75,75
0:35,55,Marlon Hunter Offensive Rebound.,75,75
0:32,55,Marlon Hunter made Layup.,77,75
0:09,236,Rodney Chatman Turnover.,77,75
0:08,55,Marlon Hunter Steal.,77,75
0:07,55,Marlon Hunter Turnover.,77,75
0:07,236,Chattanooga  Timeout,77,75
0:05,236,David Jean-Baptiste missed Three Point Jumper.,77,75
0:05,236,James Lewis Jr. Offensive Rebound.,77,75
0:00,236,End of Game,77,75
