Penn State,245,Texas A&amp;M,213
10:45,213,Tony Carr missed Free Throw.,14,17
10:45,245,Robert Williams Defensive Rebound.,14,17
10:26,245,TJ Starks missed Layup.,14,17
10:26,213,Lamar Stevens Block.,14,17
10:26,213,Shep Garner Defensive Rebound.,14,17
10:09,213,Lamar Stevens made Layup.,16,17
9:39,245,Robert Williams made Dunk. Assisted by Tyler Davis.,16,19
9:20,213,Tony Carr made Jumper.,18,19
9:20,245,Foul on Admon Gilder.,18,19
9:20,213,Tony Carr made Free Throw.,19,19
8:58,213,Foul on Mike Watkins.,19,19
8:57,245,Robert Williams made Layup. Assisted by Duane Wilson.,19,21
8:39,245,Foul on Duane Wilson.,19,21
8:37,213,Tony Carr Turnover.,19,21
8:37,245,Tyler Davis Steal.,19,21
8:32,245,Jay Jay Chandler made Layup.,19,23
8:14,213,Satchel Pierce made Jumper. Assisted by Lamar Stevens.,21,23
7:47,245,Robert Williams Turnover.,21,23
7:47,213,Josh Reaves Steal.,21,23
7:42,213,Josh Reaves made Layup.,23,23
7:16,213,Foul on Satchel Pierce.,23,23
7:16,245,Official TV Timeout,23,23
6:58,245,Jay Jay Chandler missed Three Point Jumper.,23,23
6:58,213,Lamar Stevens Defensive Rebound.,23,23
6:47,213,Julian Moore missed Jumper.,23,23
6:47,245,Robert Williams Defensive Rebound.,23,23
6:41,245,Duane Wilson made Layup.,23,25
6:25,213,Shep Garner missed Three Point Jumper.,23,25
6:25,245,Texas A&M Defensive Rebound.,23,25
6:01,245,DJ Hogg missed Jumper.,23,25
6:01,213,Lamar Stevens Defensive Rebound.,23,25
5:43,213,Tony Carr made Three Point Jumper. Assisted by Josh Reaves.,26,25
5:20,245,Tyler Davis made Jumper.,26,27
5:03,213,Julian Moore made Layup. Assisted by Josh Reaves.,28,27
4:22,213,Foul on Lamar Stevens.,28,27
4:22,245,Tonny Trocha-Morelos made Free Throw.,28,28
4:22,245,Tonny Trocha-Morelos made Free Throw.,28,29
4:16,213,Lamar Stevens missed Three Point Jumper.,28,29
4:16,245,Tyler Davis Defensive Rebound.,28,29
4:05,245,DJ Hogg missed Three Point Jumper.,28,29
4:05,213,Jamari Wheeler Defensive Rebound.,28,29
3:55,245,Foul on Jay Jay Chandler.,28,29
3:55,245,Official TV Timeout,28,29
3:55,213,Tony Carr made Free Throw.,29,29
3:55,213,Tony Carr made Free Throw.,30,29
3:41,245,Robert Williams made Jumper.,30,31
3:27,213,Jamari Wheeler missed Three Point Jumper.,30,31
3:27,213,Satchel Pierce Offensive Rebound.,30,31
3:21,213,Shep Garner missed Three Point Jumper.,30,31
3:21,213,Jamari Wheeler Offensive Rebound.,30,31
3:00,213,Tony Carr made Three Point Jumper.,33,31
2:46,245,DJ Hogg Turnover.,33,31
2:46,213,Tony Carr Steal.,33,31
2:25,213,Tony Carr made Jumper.,35,31
2:25,245,Foul on Duane Wilson.,35,31
2:25,213,Tony Carr made Free Throw.,36,31
2:12,245,Tonny Trocha-Morelos made Three Point Jumper. Assisted by Robert Williams.,36,34
1:48,213,Tony Carr made Jumper.,38,34
1:27,245,Robert Williams made Jumper. Assisted by Tonny Trocha-Morelos.,38,36
1:08,213,Foul on John Harrar.,38,36
1:08,213,John Harrar Turnover.,38,36
0:52,213,Foul on Jamari Wheeler.,38,36
0:52,245,TJ Starks made Free Throw.,38,37
0:52,245,TJ Starks made Free Throw.,38,38
0:52,245,Texas A&M  Timeout,38,38
0:50,213,Satchel Pierce Turnover.,38,38
0:50,245,DJ Hogg Steal.,38,38
0:45,213,Foul on Josh Reaves.,38,38
0:45,245,TJ Starks made Free Throw.,38,39
0:45,245,TJ Starks made Free Throw.,38,40
0:36,213,Tony Carr made Jumper.,40,40
0:04,245,TJ Starks missed Layup.,40,40
0:04,245,Robert Williams Offensive Rebound.,40,40
0:04,245,Robert Williams made Dunk.,40,42
0:00,245,End of 1st half,40,42
20:00,245,Jump Ball won by Texas A&M,40,42
19:41,245,DJ Hogg missed Layup.,40,42
19:41,245,DJ Hogg made Free Throw.,40,43
19:41,213,Mike Watkins Block.,40,42
19:41,245,DJ Hogg Offensive Rebound.,40,42
19:41,213,Foul on Lamar Stevens.,40,42
19:41,245,DJ Hogg missed Free Throw.,40,43
19:41,213,Lamar Stevens Defensive Rebound.,40,43
19:23,213,Lamar Stevens missed Jumper.,40,43
19:23,245,DJ Hogg Defensive Rebound.,40,43
19:13,245,DJ Hogg Turnover.,40,43
19:13,213,Shep Garner Steal.,40,43
19:06,213,Lamar Stevens made Layup.,42,43
18:44,245,Duane Wilson Turnover.,42,43
18:34,213,Tony Carr missed Jumper.,42,43
18:34,213,Penn State Offensive Rebound.,42,43
18:30,213,Shep Garner missed Three Point Jumper.,42,43
18:30,245,Duane Wilson Defensive Rebound.,42,43
18:20,213,Foul on Lamar Stevens.,42,43
18:20,245,Duane Wilson made Free Throw.,42,44
18:20,245,Duane Wilson made Free Throw.,42,45
18:08,213,Mike Watkins missed Layup.,42,45
18:08,245,DJ Hogg Block.,42,45
18:08,245,Duane Wilson Defensive Rebound.,42,45
18:00,245,Tonny Trocha-Morelos Turnover.,42,45
18:00,213,Josh Reaves Steal.,42,45
17:53,245,Foul on DJ Hogg.,42,45
17:53,213,Nazeer Bostick missed Free Throw.,42,45
17:53,213,Penn State Deadball Team Rebound.,42,45
17:53,213,Nazeer Bostick made Free Throw.,43,45
17:47,245,Duane Wilson Turnover.,43,45
17:47,213,Josh Reaves Steal.,43,45
17:43,213,Tony Carr made Layup. Assisted by Josh Reaves.,45,45
17:37,245,Duane Wilson made Jumper.,45,47
17:24,213,Shep Garner Turnover.,45,47
17:24,245,Duane Wilson Steal.,45,47
17:19,245,Tonny Trocha-Morelos made Dunk. Assisted by DJ Hogg.,45,49
17:19,213,Foul on Nazeer Bostick.,45,49
17:19,245,Tonny Trocha-Morelos made Free Throw.,45,50
17:04,213,Josh Reaves missed Three Point Jumper.,45,50
17:04,213,Mike Watkins Offensive Rebound.,45,50
16:44,213,Josh Reaves made Three Point Jumper. Assisted by Mike Watkins.,48,50
16:33,245,Robert Williams made Dunk. Assisted by Duane Wilson.,48,52
16:11,213,Penn State  Timeout,48,52
16:01,245,Foul on DJ Hogg.,48,52
15:50,213,Tony Carr missed Jumper.,48,52
15:50,245,Duane Wilson Block.,48,52
15:50,245,Duane Wilson Defensive Rebound.,48,52
15:40,245,Robert Williams made Layup. Assisted by Duane Wilson.,48,54
15:27,245,Foul on Tyler Davis.,48,54
15:27,245,Official TV Timeout,48,54
15:27,213,Mike Watkins made Free Throw.,49,54
15:27,213,Mike Watkins missed Free Throw.,49,54
15:27,245,Tonny Trocha-Morelos Defensive Rebound.,49,54
15:10,245,Duane Wilson made Three Point Jumper. Assisted by Admon Gilder.,49,57
14:53,213,Lamar Stevens missed Jumper.,49,57
14:53,245,Robert Williams Block.,49,57
14:53,213,Penn State Offensive Rebound.,49,57
14:49,213,Mike Watkins made Dunk. Assisted by Josh Reaves.,51,57
14:23,213,Foul on Josh Reaves.,51,57
14:23,245,Duane Wilson made Free Throw.,51,58
14:23,245,Duane Wilson made Free Throw.,51,59
14:08,213,Nazeer Bostick missed Layup.,51,59
14:08,245,Tonny Trocha-Morelos Block.,51,59
14:08,245,Robert Williams Defensive Rebound.,51,59
13:58,245,Duane Wilson made Layup.,51,61
13:28,213,Tony Carr missed Jumper.,51,61
13:28,245,Admon Gilder Block.,51,61
13:28,245,Tonny Trocha-Morelos Defensive Rebound.,51,61
13:19,245,Duane Wilson made Layup.,51,63
13:16,213,Penn State  Timeout,51,63
13:03,213,Shep Garner Turnover.,51,63
13:03,245,Tonny Trocha-Morelos Steal.,51,63
12:58,245,DJ Hogg made Three Point Jumper. Assisted by Duane Wilson.,51,66
12:41,245,Foul on Robert Williams.,51,66
12:41,213,Lamar Stevens made Free Throw.,52,66
12:41,213,Lamar Stevens made Free Throw.,53,66
12:33,213,Foul on Mike Watkins.,53,66
12:33,245,Admon Gilder made Free Throw.,53,67
12:33,245,Admon Gilder made Free Throw.,53,68
12:15,213,Jamari Wheeler Turnover.,53,68
12:15,245,Robert Williams Steal.,53,68
12:10,245,Robert Williams made Dunk. Assisted by TJ Starks.,53,70
11:53,213,Lamar Stevens made Jumper.,55,70
11:38,245,DJ Hogg missed Three Point Jumper.,55,70
11:38,213,Satchel Pierce Defensive Rebound.,55,70
11:26,213,Lamar Stevens made Layup. Assisted by Tony Carr.,57,70
11:13,245,Admon Gilder Turnover.,57,70
11:13,213,Jamari Wheeler Steal.,57,70
11:10,213,Jamari Wheeler made Layup.,59,70
11:04,245,TJ Starks Turnover.,59,70
11:04,213,Tony Carr Steal.,59,70
10:57,213,Tony Carr made Layup.,61,70
10:57,245,Foul on Admon Gilder.,61,70
10:57,245,Official TV Timeout,61,70
10:57,213,Tony Carr missed Free Throw.,61,70
10:57,245,Tyler Davis Defensive Rebound.,61,70
10:56,213,Foul on Josh Reaves.,61,70
10:48,245,Texas A&M  Timeout,61,70
10:35,245,Admon Gilder made Jumper.,61,72
10:13,213,Lamar Stevens missed Jumper.,61,72
10:13,213,Josh Reaves Offensive Rebound.,61,72
10:01,213,Tony Carr missed Jumper.,61,72
10:01,245,Admon Gilder Defensive Rebound.,61,72
9:53,245,Admon Gilder Turnover.,61,72
9:53,213,Tony Carr Steal.,61,72
9:48,213,Tony Carr made Layup.,63,72
9:33,245,Duane Wilson missed Layup.,63,72
9:33,213,Mike Watkins Defensive Rebound.,63,72
9:25,213,Josh Reaves missed Three Point Jumper.,63,72
9:25,245,Tonny Trocha-Morelos Defensive Rebound.,63,72
8:54,245,Tonny Trocha-Morelos missed Three Point Jumper.,63,72
8:54,213,Josh Reaves Defensive Rebound.,63,72
8:45,245,Foul on Tonny Trocha-Morelos.,63,72
8:43,213,Tony Carr missed Three Point Jumper.,63,72
8:43,213,Lamar Stevens Offensive Rebound.,63,72
8:36,245,Foul on Robert Williams.,63,72
8:36,213,Lamar Stevens made Free Throw.,64,72
8:36,213,Lamar Stevens missed Free Throw.,64,72
8:36,245,Robert Williams Defensive Rebound.,64,72
8:15,245,Robert Williams missed Jumper.,64,72
8:15,213,Lamar Stevens Defensive Rebound.,64,72
8:09,245,Foul on Duane Wilson.,64,72
8:09,213,Lamar Stevens made Free Throw.,65,72
8:09,213,Lamar Stevens made Free Throw.,66,72
8:01,245,TJ Starks Turnover.,66,72
8:01,213,Mike Watkins Steal.,66,72
7:54,213,Shep Garner missed Three Point Jumper.,66,72
7:54,245,Robert Williams Defensive Rebound.,66,72
7:46,245,Duane Wilson made Jumper.,66,74
7:46,213,Foul on Jamari Wheeler.,66,74
7:46,245,Official TV Timeout,66,74
7:46,245,Duane Wilson made Free Throw.,66,75
7:42,245,Official TV Timeout,66,74
7:32,245,Foul on Admon Gilder.,66,75
7:32,213,Tony Carr made Free Throw.,67,75
7:32,213,Tony Carr missed Free Throw.,67,75
7:32,245,DJ Hogg Defensive Rebound.,67,75
7:10,245,Robert Williams Turnover.,67,75
7:10,213,Lamar Stevens Steal.,67,75
7:05,245,Foul on Jay Jay Chandler.,67,75
7:05,213,Lamar Stevens made Free Throw.,68,75
7:05,213,Lamar Stevens made Free Throw.,69,75
6:56,245,DJ Hogg Turnover.,69,75
6:56,213,Josh Reaves Steal.,69,75
6:53,213,Josh Reaves Turnover.,69,75
6:53,245,Jay Jay Chandler Steal.,69,75
6:33,245,DJ Hogg missed Layup.,69,75
6:33,213,Josh Reaves Block.,69,75
6:33,245,DJ Hogg Offensive Rebound.,69,75
6:24,245,DJ Hogg missed Layup.,69,75
6:24,245,Tyler Davis Offensive Rebound.,69,75
6:15,245,Tyler Davis made Dunk.,69,77
6:05,245,Foul on Robert Williams.,69,77
6:05,213,Lamar Stevens missed Free Throw.,69,77
6:05,213,Penn State Deadball Team Rebound.,69,77
6:05,213,Lamar Stevens made Free Throw.,70,77
5:54,245,DJ Hogg missed Jumper.,70,77
5:54,245,Tonny Trocha-Morelos Offensive Rebound.,70,77
5:49,245,Tonny Trocha-Morelos Turnover.,70,77
5:49,213,Jamari Wheeler Steal.,70,77
5:46,213,Jamari Wheeler made Layup.,72,77
5:32,213,Foul on Josh Reaves.,72,77
5:32,245,DJ Hogg made Free Throw.,72,78
5:32,245,DJ Hogg missed Free Throw.,72,78
5:32,245,Tyler Davis Offensive Rebound.,72,78
5:32,245,Tyler Davis made Dunk.,72,80
5:05,213,Mike Watkins made Dunk. Assisted by Lamar Stevens.,74,80
4:51,245,DJ Hogg missed Layup.,74,80
4:51,245,DJ Hogg Offensive Rebound.,74,80
4:51,245,DJ Hogg made Two Point Tip Shot.,74,82
4:22,213,Shep Garner missed Three Point Jumper.,74,82
4:22,213,Lamar Stevens Offensive Rebound.,74,82
4:15,213,Lamar Stevens Turnover.,74,82
3:59,245,Duane Wilson missed Jumper.,74,82
3:59,213,Mike Watkins Block.,74,82
3:59,213,Mike Watkins Defensive Rebound.,74,82
3:44,213,Mike Watkins missed Layup.,74,82
3:44,245,Tonny Trocha-Morelos Defensive Rebound.,74,82
3:36,213,Foul on Jamari Wheeler.,74,82
3:36,245,Official TV Timeout,74,82
3:36,245,Jay Jay Chandler made Free Throw.,74,83
3:36,245,Jay Jay Chandler made Free Throw.,74,84
3:32,245,Foul on DJ Hogg.,74,84
3:32,213,Josh Reaves made Free Throw.,75,84
3:32,213,Josh Reaves made Free Throw.,76,84
3:24,245,Tonny Trocha-Morelos Turnover.,76,84
3:24,213,Tony Carr Steal.,76,84
3:23,245,Foul on Duane Wilson.,76,84
3:23,213,Tony Carr made Free Throw.,77,84
3:23,213,Tony Carr missed Free Throw.,77,84
3:23,245,Admon Gilder Defensive Rebound.,77,84
2:56,245,Duane Wilson made Layup.,77,86
2:36,213,Lamar Stevens missed Jumper.,77,86
2:36,245,DJ Hogg Defensive Rebound.,77,86
2:09,245,Tyler Davis made Dunk. Assisted by Admon Gilder.,77,88
1:56,213,Tony Carr missed Jumper.,77,88
1:56,245,Admon Gilder Defensive Rebound.,77,88
1:47,213,Foul on Tony Carr.,77,88
1:47,245,Duane Wilson made Free Throw.,77,89
1:47,245,Duane Wilson made Free Throw.,77,90
1:36,213,Tony Carr missed Jumper.,77,90
1:36,245,Robert Williams Defensive Rebound.,77,90
1:33,245,Admon Gilder Turnover.,77,90
1:33,213,Josh Reaves Steal.,77,90
1:26,213,Tony Carr missed Three Point Jumper.,77,90
1:26,245,Admon Gilder Defensive Rebound.,77,90
1:03,245,Tonny Trocha-Morelos made Layup. Assisted by Duane Wilson.,77,92
1:03,213,Foul on Tony Carr.,77,92
1:03,245,Tonny Trocha-Morelos made Free Throw.,77,93
0:52,213,Tony Carr made Layup.,79,93
0:52,213,Penn State  Timeout,79,93
0:47,245,Robert Williams made Dunk. Assisted by Admon Gilder.,79,95
0:35,213,Lamar Stevens made Layup. Assisted by Shep Garner.,81,95
0:34,213,Foul on Shep Garner.,81,95
0:34,245,Robert Williams missed Free Throw.,81,95
0:34,245,Texas A&M Deadball Team Rebound.,81,95
0:34,245,Robert Williams made Free Throw.,81,96
0:22,213,Shep Garner made Three Point Jumper. Assisted by Lamar Stevens.,84,96
0:16,213,Foul on Josh Reaves.,84,96
0:16,245,Admon Gilder made Free Throw.,84,97
0:16,245,Admon Gilder made Free Throw.,84,98
0:10,213,Shep Garner made Three Point Jumper.,87,98
0:00,245,End of Game,87,98
