Staten Island,Error,Wagner,2681
8:27,2681,Nigel Jackson missed Three Point Jumper.,16,22
8:27,-1,College Of Staten Island Defensive Rebound.,16,22
8:17,-1,Adeola Latunji missed Layup.,16,22
8:17,-1,Jade Spencer Offensive Rebound.,16,22
8:15,-1,Jade Spencer missed Layup.,16,22
8:15,2681,AJ Sumbry Defensive Rebound.,16,22
8:07,-1,Foul on Jade Spencer.,16,22
8:07,2681,JoJo Cooper made Free Throw.,16,23
8:07,2681,JoJo Cooper missed Free Throw.,16,23
8:07,2681,Nigel Jackson Offensive Rebound.,16,23
8:01,-1,Foul on Darryl Bryant.,16,23
8:01,2681,Devin Liggeons made Free Throw.,16,24
8:01,2681,Devin Liggeons made Free Throw.,16,25
7:53,-1,Adeola Latunji missed Layup.,16,25
7:53,2681,Nick Madray Block.,16,25
7:53,-1,College Of Staten Island Offensive Rebound.,16,25
7:53,2681,Official TV Timeout,16,25
7:51,-1,Rudy Lavanture Turnover.,16,25
7:38,-1,Foul on Rudy Lavanture.,16,25
7:38,2681,Nigel Jackson made Free Throw.,16,26
7:38,2681,Nigel Jackson made Free Throw.,16,27
7:34,-1,Rigaud Destime Turnover.,16,27
7:28,-1,Foul on Jade Spencer.,16,27
7:28,2681,Chase Freeman made Free Throw.,16,28
7:28,2681,Chase Freeman made Free Throw.,16,29
7:21,-1,Rigaud Destime Turnover.,16,29
7:21,2681,JoJo Cooper Steal.,16,29
7:17,2681,JoJo Cooper missed Layup.,16,29
7:17,-1,Jade Spencer Defensive Rebound.,16,29
7:10,-1,Christian Taylor missed Layup.,16,29
7:10,-1,Adeola Latunji Offensive Rebound.,16,29
7:08,-1,Adeola Latunji missed Layup.,16,29
7:08,2681,Nick Madray Block.,16,29
7:07,-1,Adeola Latunji Offensive Rebound.,16,29
7:07,-1,Adeola Latunji made Layup.,18,29
7:07,2681,Foul on Nick Madray.,18,29
7:07,-1,Adeola Latunji missed Free Throw.,18,29
7:07,2681,Nigel Jackson Defensive Rebound.,18,29
6:54,2681,Nigel Jackson missed Three Point Jumper.,18,29
6:54,2681,Devin Liggeons Offensive Rebound.,18,29
6:26,-1,Foul on Jade Spencer.,18,29
6:26,2681,AJ Sumbry made Free Throw.,18,30
6:23,2681,AJ Sumbry missed Free Throw.,18,30
6:12,-1,Adeola Latunji missed Jumper.,18,30
6:12,2681,AJ Sumbry Defensive Rebound.,18,30
6:07,-1,Foul on Stephen Flagg.,18,30
6:07,2681,JoJo Cooper missed Free Throw.,18,30
6:07,2681,Wagner Deadball Team Rebound.,18,30
6:07,2681,JoJo Cooper made Free Throw.,18,31
5:56,-1,Rigaud Destime Turnover.,18,31
5:56,-1,Foul on Rigaud Destime.,18,31
5:46,2681,Devin Liggeons made Jumper. Assisted by Nigel Jackson.,18,33
5:22,-1,Jade Spencer missed Layup.,18,33
5:22,2681,Devin Liggeons Defensive Rebound.,18,33
5:03,2681,AJ Sumbry made Dunk. Assisted by Nigel Jackson.,18,35
4:46,-1,Christian Taylor Turnover.,18,35
4:35,2681,Blake Francis made Layup. Assisted by Nigel Jackson.,18,37
4:27,-1,Stephen Flagg missed Jumper.,18,37
4:27,2681,AJ Sumbry Defensive Rebound.,18,37
4:16,2681,JoJo Cooper missed Three Point Jumper.,18,37
4:16,-1,College Of Staten Island Defensive Rebound.,18,37
4:03,-1,Adeola Latunji missed Jumper.,18,37
4:03,2681,Devin Liggeons Defensive Rebound.,18,37
3:59,2681,Blake Francis missed Layup.,18,37
3:59,-1,James Delahanty Defensive Rebound.,18,37
3:51,-1,Christian Taylor made Layup. Assisted by Raymond Savage.,20,37
3:38,-1,Foul on James Delahanty.,20,37
3:37,2681,Official TV Timeout,20,37
3:37,2681,JoJo Cooper made Free Throw.,20,38
3:37,2681,JoJo Cooper made Free Throw.,20,39
3:23,-1,Raymond Savage made Three Point Jumper. Assisted by Stephen Flagg.,23,39
3:13,2681,Jamar Brown Turnover.,23,39
2:58,-1,Stephen Flagg missed Layup.,23,39
2:58,2681,Nigel Jackson Block.,23,39
2:57,2681,Devin Liggeons Defensive Rebound.,23,39
2:49,2681,AJ Sumbry made Dunk. Assisted by Chase Freeman.,23,41
2:32,-1,Adeola Latunji missed Three Point Jumper.,23,41
2:32,2681,Nigel Jackson Defensive Rebound.,23,41
2:25,2681,Devin Liggeons missed Three Point Jumper.,23,41
2:25,2681,Devin Liggeons Offensive Rebound.,23,41
2:21,2681,Devin Liggeons made Layup.,23,43
1:59,-1,Christian Taylor made Layup.,25,43
1:48,2681,Nigel Jackson made Three Point Jumper. Assisted by Chase Freeman.,25,46
1:27,-1,Adeola Latunji missed Jumper.,25,46
1:27,2681,Nigel Jackson Defensive Rebound.,25,46
1:21,-1,Foul on Raymond Savage.,25,46
1:21,2681,AJ Sumbry missed Free Throw.,25,46
1:21,2681,Wagner Deadball Team Rebound.,25,46
1:21,2681,AJ Sumbry made Free Throw.,25,47
1:13,-1,James Delahanty missed Jumper.,25,47
1:13,-1,Stephen Flagg Offensive Rebound.,25,47
1:13,-1,Stephen Flagg made Layup.,27,47
0:57,-1,Foul on James Delahanty.,27,47
0:57,2681,Jamar Brown made Free Throw.,27,48
0:57,2681,Jamar Brown made Free Throw.,27,49
0:45,2681,Foul on Nigel Jackson.,27,49
0:45,-1,Adeola Latunji made Free Throw.,28,49
0:45,-1,Adeola Latunji missed Free Throw.,28,49
0:45,2681,Nigel Jackson Defensive Rebound.,28,49
0:29,-1,Foul on Christian Taylor.,28,49
0:29,2681,Devin Liggeons made Free Throw.,28,50
0:29,2681,Devin Liggeons made Free Throw.,28,51
0:04,-1,Adeola Latunji missed Jumper.,28,51
0:04,2681,Nigel Jackson Defensive Rebound.,28,51
0:00,2681,Chase Freeman made Layup. Assisted by Nigel Jackson.,28,53
0:00,2681,End of 1st half,28,53
19:47,2681,Blake Francis Turnover.,28,53
19:46,-1,James Delahanty Steal.,28,53
19:40,-1,Stephen Flagg Turnover.,28,53
19:39,2681,JoJo Cooper Steal.,28,53
19:38,-1,Foul on Edin Bracic.,28,53
19:38,2681,JoJo Cooper made Free Throw.,28,54
19:38,2681,JoJo Cooper made Free Throw.,28,55
19:33,-1,Adeola Latunji Turnover.,28,55
19:32,2681,AJ Sumbry Steal.,28,55
19:32,-1,Foul on Edin Bracic.,28,55
19:32,2681,Nigel Jackson made Free Throw.,28,56
19:32,2681,Nigel Jackson made Free Throw.,28,57
19:25,2681,Foul on AJ Sumbry.,28,57
19:25,-1,Adeola Latunji missed Free Throw.,28,57
19:25,-1,College Of Staten Island Deadball Team Rebound.,28,57
19:25,-1,Adeola Latunji made Free Throw.,29,57
19:18,2681,Devin Liggeons Turnover.,29,57
19:09,-1,Adeola Latunji missed Jumper.,29,57
19:09,-1,Christian Taylor Offensive Rebound.,29,57
18:57,2681,Foul on JoJo Cooper.,29,57
18:50,-1,Stephen Flagg made Three Point Jumper. Assisted by Edin Bracic.,32,57
18:39,2681,AJ Sumbry made Layup. Assisted by Blake Francis.,32,59
18:16,-1,Adeola Latunji missed Three Point Jumper.,32,59
18:16,2681,Nigel Jackson Defensive Rebound.,32,59
18:10,2681,Blake Francis missed Three Point Jumper.,32,59
18:10,-1,Christian Taylor Defensive Rebound.,32,59
18:06,2681,Foul on Blake Francis.,32,59
17:47,-1,Darryl Bryant Turnover.,32,59
17:45,2681,AJ Sumbry Steal.,32,59
17:40,2681,JoJo Cooper Turnover.,32,59
17:32,-1,Christian Taylor missed Layup.,32,59
17:32,2681,AJ Sumbry Block.,32,59
17:31,2681,Blake Francis Defensive Rebound.,32,59
17:24,-1,Foul on Stephen Flagg.,32,59
17:24,2681,AJ Sumbry made Free Throw.,32,60
17:24,2681,AJ Sumbry made Free Throw.,32,61
17:08,-1,Edin Bracic missed Three Point Jumper.,32,61
17:08,2681,Nick Madray Defensive Rebound.,32,61
16:44,2681,Nick Madray missed Layup.,32,61
16:44,2681,Nick Madray Offensive Rebound.,32,61
16:36,2681,Nigel Jackson missed Three Point Jumper.,32,61
16:36,2681,JoJo Cooper Offensive Rebound.,32,61
16:28,2681,JoJo Cooper missed Three Point Jumper.,32,61
16:28,-1,Darryl Bryant Defensive Rebound.,32,61
16:21,-1,Darryl Bryant Turnover.,32,61
16:21,2681,Chase Freeman Steal.,32,61
16:21,-1,Foul on Darryl Bryant.,32,61
16:21,-1,College Of Staten Island  Timeout,32,61
16:20,-1,Foul on Darryl Bryant.,32,61
16:06,2681,Nick Madray missed Layup.,32,61
16:06,-1,Stephen Flagg Defensive Rebound.,32,61
15:46,-1,Stephen Flagg made Three Point Jumper. Assisted by Christian Taylor.,35,61
15:39,2681,Official TV Timeout,35,61
15:24,-1,Foul on Christian Taylor.,35,61
15:24,2681,Nick Madray made Free Throw.,35,62
15:24,2681,Nick Madray made Free Throw.,35,63
15:15,-1,Edin Bracic missed Layup.,35,63
15:15,-1,Stephen Flagg missed Layup.,35,63
15:15,-1,Edin Bracic Offensive Rebound.,35,63
15:15,2681,Nick Madray Defensive Rebound.,35,63
15:10,2681,JoJo Cooper made Layup. Assisted by Elijah Davis.,35,65
14:54,-1,Jade Spencer made Layup. Assisted by Christian Taylor.,37,65
14:30,-1,Foul on Jade Spencer.,37,65
14:30,2681,JoJo Cooper made Free Throw.,37,66
14:30,2681,JoJo Cooper made Free Throw.,37,67
14:12,2681,Foul on Nick Madray.,37,67
14:12,-1,Stephen Flagg missed Free Throw.,37,67
14:12,-1,College Of Staten Island Deadball Team Rebound.,37,67
14:12,-1,Stephen Flagg made Free Throw.,38,67
14:04,2681,Elijah Davis Turnover.,38,67
13:55,-1,Stephen Flagg Turnover.,38,67
13:55,-1,Foul on Raymond Savage.,38,67
13:55,2681,Chase Freeman made Free Throw.,38,68
13:55,2681,Chase Freeman made Free Throw.,38,69
13:45,2681,Foul on Chase Freeman.,38,69
13:42,-1,Christian Taylor made Layup. Assisted by Adeola Latunji.,40,69
13:22,-1,Foul on Stephen Flagg.,40,69
13:22,2681,Elijah Davis missed Free Throw.,40,69
13:22,-1,Christian Taylor Defensive Rebound.,40,69
13:11,-1,Christian Taylor made Layup. Assisted by Raymond Savage.,42,69
12:50,2681,Elijah Davis missed Layup.,42,69
12:50,-1,Jade Spencer Block.,42,69
12:50,2681,Wagner Offensive Rebound.,42,69
12:37,2681,Jamar Brown made Layup. Assisted by Blake Francis.,42,71
12:37,-1,Foul on Jade Spencer.,42,71
12:37,2681,Jamar Brown missed Free Throw.,42,71
12:37,-1,College Of Staten Island Defensive Rebound.,42,71
12:37,2681,Foul on Devin Liggeons.,42,71
12:19,-1,Krystian Kopec missed Three Point Jumper.,42,71
12:19,2681,Jamar Brown Defensive Rebound.,42,71
12:08,2681,Blake Francis missed Layup.,42,71
12:08,2681,Devin Liggeons Offensive Rebound.,42,71
12:06,2681,Devin Liggeons made Layup.,42,73
11:52,-1,Raymond Savage missed Three Point Jumper.,42,73
11:52,2681,Elijah Davis Defensive Rebound.,42,73
11:47,-1,Foul on Krystian Kopec.,42,73
11:47,2681,Official TV Timeout,42,73
11:47,2681,Elijah Davis made Free Throw.,42,74
11:47,2681,Elijah Davis made Free Throw.,42,75
11:32,-1,Adeola Latunji Turnover.,42,75
11:30,-1,Foul on Christian Taylor.,42,75
11:13,2681,Foul on Tyler Plummer.,42,75
11:13,-1,Krystian Kopec made Free Throw.,43,75
11:13,-1,Krystian Kopec made Free Throw.,44,75
11:07,2681,Tyler Plummer missed Free Throw.,44,75
11:07,2681,Wagner Deadball Team Rebound.,44,75
11:06,2681,Tyler Plummer missed Free Throw.,44,75
11:06,-1,College Of Staten Island Defensive Rebound.,44,75
10:59,2681,Devin Liggeons Turnover.,44,75
10:59,-1,Raymond Savage Steal.,44,75
10:44,-1,Christian Taylor Turnover.,44,75
10:44,2681,Nick Madray Steal.,44,75
10:33,2681,Nigel Jackson Turnover.,44,75
10:33,2681,Foul on Nigel Jackson.,44,75
10:17,-1,James Delahanty Turnover.,44,75
10:14,2681,Chase Freeman Steal.,44,75
10:05,2681,Tyler Plummer missed Three Point Jumper.,44,75
10:05,2681,Nigel Jackson Offensive Rebound.,44,75
10:02,-1,Foul on Adeola Latunji.,44,75
10:02,2681,Nigel Jackson made Free Throw.,44,76
10:02,2681,Nigel Jackson made Free Throw.,44,77
9:52,-1,Rigaud Destime missed Three Point Jumper.,44,77
9:52,2681,Elijah Davis Defensive Rebound.,44,77
9:42,2681,Nigel Jackson missed Three Point Jumper.,44,77
9:42,2681,Blake Francis Offensive Rebound.,44,77
9:36,2681,Elijah Davis missed Three Point Jumper.,44,77
9:36,-1,Christian Taylor Defensive Rebound.,44,77
9:25,-1,Christian Taylor missed Layup.,44,77
9:25,2681,Nigel Jackson Block.,44,77
9:23,2681,Nigel Jackson Defensive Rebound.,44,77
9:20,2681,Blake Francis made Layup. Assisted by Nigel Jackson.,44,79
9:06,-1,James Delahanty missed Jumper.,44,79
9:06,2681,Elijah Davis Defensive Rebound.,44,79
8:56,2681,Elijah Davis Turnover.,44,79
8:26,-1,Rudy Lavanture missed Jumper.,44,79
8:26,2681,Devin Liggeons Defensive Rebound.,44,79
8:18,2681,Devin Liggeons missed Three Point Jumper.,44,79
8:18,-1,Raymond Savage Defensive Rebound.,44,79
8:16,2681,Foul on AJ Sumbry.,44,79
8:15,-1,Raymond Savage made Free Throw.,45,79
8:15,-1,Raymond Savage made Free Throw.,46,79
8:08,-1,Foul on Raymond Savage.,46,79
8:08,2681,Chase Freeman missed Free Throw.,46,79
8:08,2681,Wagner Deadball Team Rebound.,46,79
8:08,2681,Chase Freeman made Free Throw.,46,80
8:06,2681,Foul on Devin Liggeons.,46,80
8:06,-1,Rudy Lavanture missed Free Throw.,46,80
8:06,-1,College Of Staten Island Deadball Team Rebound.,46,80
8:06,-1,Rudy Lavanture made Free Throw.,47,80
7:55,2681,Devin Liggeons Turnover.,47,80
7:55,-1,Rigaud Destime Steal.,47,80
7:52,2681,Foul on Chase Freeman.,47,80
7:52,2681,Official TV Timeout,47,80
7:52,-1,Stephen Flagg made Free Throw.,48,80
7:52,-1,Stephen Flagg made Free Throw.,49,80
7:32,2681,Chase Freeman Turnover.,49,80
7:31,-1,Rudy Lavanture Steal.,49,80
7:24,-1,Rudy Lavanture made Layup.,51,80
7:04,2681,Blake Francis made Jumper.,51,82
6:43,-1,Raymond Savage Turnover.,51,82
6:32,2681,Nigel Jackson Turnover.,51,82
6:17,-1,Rudy Lavanture missed Layup.,51,82
6:17,2681,Nigel Jackson Block.,51,82
6:16,2681,Blake Francis Defensive Rebound.,51,82
6:12,2681,Blake Francis made Layup.,51,84
6:12,-1,Foul on Rigaud Destime.,51,84
6:12,2681,Blake Francis made Free Throw.,51,85
6:04,2681,Foul on Tyler Plummer.,51,85
6:04,-1,Stephen Flagg made Free Throw.,52,85
6:04,-1,Stephen Flagg made Free Throw.,53,85
5:53,2681,Blake Francis missed Three Point Jumper.,53,85
5:53,-1,Rudy Lavanture Defensive Rebound.,53,85
5:40,-1,Rigaud Destime missed Three Point Jumper.,53,85
5:40,2681,Jamar Brown Defensive Rebound.,53,85
5:33,2681,Jamar Brown made Layup. Assisted by Tyler Plummer.,53,87
5:15,-1,Rudy Lavanture Turnover.,53,87
5:03,2681,Blake Francis missed Jumper.,53,87
5:03,2681,Tyler Plummer Offensive Rebound.,53,87
4:56,2681,Chase Freeman made Jumper.,53,89
4:48,-1,Krystian Kopec missed Three Point Jumper.,53,89
4:48,2681,Nigel Jackson Defensive Rebound.,53,89
4:39,2681,Blake Francis made Three Point Jumper.,53,92
4:29,-1,Rigaud Destime Turnover.,53,92
4:28,2681,Blake Francis Steal.,53,92
4:24,2681,Blake Francis made Three Point Jumper.,53,95
4:20,2681,Wagner  Timeout,53,95
3:49,-1,Adeola Latunji made Jumper.,55,95
3:38,2681,Tyler Plummer missed Three Point Jumper.,55,95
3:38,-1,Rudy Lavanture Defensive Rebound.,55,95
3:32,-1,Stephen Flagg made Free Throw.,56,95
3:31,2681,Foul on Chase Freeman.,56,95
3:31,-1,Stephen Flagg made Free Throw.,57,95
3:15,-1,Foul on Chris Fabozzi.,57,95
3:15,2681,Blake Francis made Free Throw.,57,96
3:15,-1,College Of Staten Island  Timeout,57,96
3:15,2681,Blake Francis made Free Throw.,57,97
2:52,-1,Chris Fabozzi missed Jumper.,57,97
2:52,2681,Nick Madray Defensive Rebound.,57,97
2:48,2681,Elijah Davis made Layup. Assisted by Chase Freeman.,57,99
2:38,-1,Krystian Kopec missed Three Point Jumper.,57,99
2:38,2681,Elijah Davis Defensive Rebound.,57,99
2:31,2681,Devin Liggeons missed Dunk.,57,99
2:31,-1,Krystian Kopec Defensive Rebound.,57,99
2:21,2681,Foul on Elijah Davis.,57,99
2:21,-1,Chris Fabozzi made Free Throw.,58,99
2:21,-1,Chris Fabozzi made Free Throw.,59,99
2:21,-1,Chris Fabozzi made Free Throw.,60,99
2:12,2681,Tyler Plummer made Layup. Assisted by Chase Freeman.,60,101
2:01,2681,Foul on Nick Madray.,60,101
2:01,-1,Krystian Kopec missed Free Throw.,60,101
2:01,-1,College Of Staten Island Deadball Team Rebound.,60,101
2:01,-1,Krystian Kopec missed Free Throw.,60,101
2:01,2681,Elijah Davis Defensive Rebound.,60,101
1:52,2681,Tyler Plummer Turnover.,60,101
1:38,-1,Joshua Garrett missed Three Point Jumper.,60,101
1:38,2681,Wagner Defensive Rebound.,60,101
1:25,-1,Foul on Joshua Garrett.,60,101
1:25,2681,Jamar Brown made Free Throw.,60,102
1:25,2681,Jamar Brown made Free Throw.,60,103
1:12,-1,Joshua Garrett missed Jumper.,60,103
1:12,2681,Devin Liggeons Block.,60,103
1:10,2681,Chase Freeman Defensive Rebound.,60,103
1:05,2681,Elijah Davis missed Three Point Jumper.,60,103
1:05,-1,College Of Staten Island Defensive Rebound.,60,103
1:02,2681,Foul on Devin Liggeons.,60,103
1:02,-1,Krystian Kopec missed Free Throw.,60,103
1:02,-1,College Of Staten Island Deadball Team Rebound.,60,103
1:02,-1,Krystian Kopec made Free Throw.,61,103
0:54,-1,Foul on Krystian Kopec.,61,103
0:54,2681,Devin Liggeons made Free Throw.,61,104
0:54,2681,Devin Liggeons made Free Throw.,61,105
0:40,-1,Rudy Lavanture made Three Point Jumper.,64,105
0:26,2681,Jamar Brown made Dunk. Assisted by Elijah Davis.,64,107
0:14,-1,Chris Fabozzi missed Jumper.,64,107
0:14,2681,Jamar Brown Block.,64,107
0:13,2681,Tyler Plummer Defensive Rebound.,64,107
0:00,2681,End of Game,64,107
