Montana,2540,UC Santa Barbara,149
15:25,2540,Leland King II Defensive Rebound.,3,8
15:17,2540,Max Heidegger made Layup.,3,10
14:49,149,Ahmaad Rorie missed Three Point Jumper.,3,10
14:49,2540,Jalen Canty Defensive Rebound.,3,10
14:33,2540,Gabe Vincent missed Jumper.,3,10
14:33,2540,Jalen Canty Offensive Rebound.,3,10
14:29,2540,Marcus Jackson made Three Point Jumper. Assisted by Jalen Canty.,3,13
14:24,149,Montana  Timeout,3,13
14:19,2540,Foul on Ami Lakoju.,3,13
14:11,2540,Foul on Ami Lakoju.,3,13
14:11,149,Karl Nicholas missed Free Throw.,3,13
14:11,149,Montana Deadball Team Rebound.,3,13
14:11,149,Karl Nicholas missed Free Throw.,3,13
14:11,2540,Alex Hart Defensive Rebound.,3,13
13:56,2540,Max Heidegger missed Layup.,3,13
13:56,149,Ahmaad Rorie Block.,3,13
13:55,2540,Alex Hart Offensive Rebound.,3,13
13:55,2540,Alex Hart made Layup.,3,15
13:55,149,Foul on Sayeed Pridgett.,3,15
13:55,2540,Alex Hart made Free Throw.,3,16
13:46,149,Bobby Moorehead missed Three Point Jumper.,3,16
13:46,2540,Max Heidegger Defensive Rebound.,3,16
13:39,2540,Max Heidegger missed Jumper.,3,16
13:39,2540,Christian Terrell Offensive Rebound.,3,16
13:37,149,Foul on Bobby Moorehead.,3,16
13:37,2540,Christian Terrell missed Free Throw.,3,16
13:37,2540,UC Santa Barbara Deadball Team Rebound.,3,16
13:37,2540,Christian Terrell made Free Throw.,3,17
13:19,149,Timmy Falls Turnover.,3,17
13:03,2540,Gabe Vincent Turnover.,3,17
13:01,149,Ahmaad Rorie Steal.,3,17
12:59,149,Michael Oguine missed Layup.,3,17
12:59,2540,Christian Terrell Block.,3,17
12:58,2540,Alex Hart Defensive Rebound.,3,17
12:51,2540,Christian Terrell Turnover.,3,17
12:39,149,Ahmaad Rorie made Layup.,5,17
12:19,149,Foul on Sayeed Pridgett.,5,17
12:19,2540,Leland King II made Free Throw.,5,18
12:19,2540,Leland King II made Free Throw.,5,19
12:05,149,Jamar Akoh missed Layup.,5,19
12:05,2540,Maxwell Kupchak Block.,5,19
12:03,149,Ahmaad Rorie Offensive Rebound.,5,19
11:59,149,Ahmaad Rorie missed Jumper.,5,19
11:59,2540,UC Santa Barbara Defensive Rebound.,5,19
11:59,2540,Official TV Timeout,5,19
11:41,2540,Jalen Canty Turnover.,5,19
11:12,149,Michael Oguine missed Three Point Jumper.,5,19
11:12,2540,Marcus Jackson Defensive Rebound.,5,19
10:57,2540,Leland King II missed Three Point Jumper.,5,19
10:57,2540,Jalen Canty Offensive Rebound.,5,19
10:54,149,Foul on Michael Oguine.,5,19
10:50,2540,Gabe Vincent made Jumper.,5,21
10:31,149,Jamar Akoh Turnover.,5,21
10:18,2540,Gabe Vincent made Layup.,5,23
10:03,149,Ahmaad Rorie missed Jumper.,5,23
10:03,2540,Marcus Jackson Block.,5,23
10:01,149,Karl Nicholas Offensive Rebound.,5,23
9:55,149,Karl Nicholas made Dunk.,7,23
9:46,149,Foul on Ahmaad Rorie.,7,23
9:46,2540,Max Heidegger made Free Throw.,7,24
9:46,2540,Max Heidegger made Free Throw.,7,25
9:22,149,Fabijan Krslovic missed Layup.,7,25
9:22,149,Karl Nicholas Offensive Rebound.,7,25
9:19,149,Karl Nicholas made Layup.,9,25
9:08,2540,Marcus Jackson Turnover.,9,25
8:47,149,Lars Espe missed Three Point Jumper.,9,25
8:47,2540,UC Santa Barbara Defensive Rebound.,9,25
8:19,2540,Marcus Jackson missed Three Point Jumper.,9,25
8:19,149,Ahmaad Rorie Defensive Rebound.,9,25
8:10,149,Ahmaad Rorie made Jumper. Assisted by Sayeed Pridgett.,11,25
7:51,2540,Max Heidegger missed Three Point Jumper.,11,25
7:51,149,Montana Defensive Rebound.,11,25
7:47,2540,Foul on Jalen Canty.,11,25
7:47,2540,Official TV Timeout,11,25
7:27,149,Karl Nicholas Turnover.,11,25
7:11,2540,Leland King II missed Jumper.,11,25
7:11,149,Sayeed Pridgett Defensive Rebound.,11,25
7:04,149,Ahmaad Rorie made Three Point Jumper. Assisted by Sayeed Pridgett.,14,25
6:44,2540,Christian Terrell made Three Point Jumper. Assisted by Leland King II.,14,28
6:17,149,Sayeed Pridgett missed Three Point Jumper.,14,28
6:17,149,Michael Oguine Offensive Rebound.,14,28
6:09,149,Bobby Moorehead missed Layup.,14,28
6:09,149,Karl Nicholas Offensive Rebound.,14,28
6:07,149,Karl Nicholas made Layup.,16,28
5:41,2540,Foul on Gabe Vincent.,16,28
5:41,2540,Gabe Vincent Turnover.,16,28
5:29,149,Ahmaad Rorie missed Three Point Jumper.,16,28
5:29,2540,Christian Terrell Defensive Rebound.,16,28
5:19,149,Foul on Karl Nicholas.,16,28
5:19,2540,Leland King II made Free Throw.,16,29
5:19,2540,Leland King II made Free Throw.,16,30
5:06,149,Michael Oguine made Layup.,18,30
4:45,2540,Ami Lakoju Turnover.,18,30
4:35,149,Sayeed Pridgett Turnover.,18,30
4:33,2540,Jalen Canty Steal.,18,30
4:27,2540,Marcus Jackson Turnover.,18,30
4:26,149,Michael Oguine Steal.,18,30
4:23,149,Ahmaad Rorie missed Layup.,18,30
4:23,149,Michael Oguine Offensive Rebound.,18,30
4:20,2540,Foul on Ami Lakoju.,18,30
4:08,149,Sayeed Pridgett missed Layup.,18,30
4:08,2540,Jalen Canty Block.,18,30
4:07,149,Sayeed Pridgett Offensive Rebound.,18,30
4:00,2540,Foul on Leland King II.,18,30
4:00,2540,Official TV Timeout,18,30
4:00,149,Ahmaad Rorie made Free Throw.,19,30
4:00,149,Ahmaad Rorie made Free Throw.,20,30
3:29,2540,UC Santa Barbara  Turnover.,20,30
3:15,149,Michael Oguine missed Layup.,20,30
3:15,149,Montana Offensive Rebound.,20,30
3:02,149,Karl Nicholas made Jumper.,22,30
2:45,2540,Max Heidegger made Jumper.,22,32
2:28,149,Bobby Moorehead made Three Point Jumper. Assisted by Michael Oguine.,25,32
2:11,2540,Max Heidegger missed Layup.,25,32
2:11,149,Michael Oguine Block.,25,32
2:09,149,Michael Oguine Defensive Rebound.,25,32
2:08,149,Montana  Timeout,25,32
1:59,149,Foul on Karl Nicholas.,25,32
1:59,149,Karl Nicholas Turnover.,25,32
1:48,2540,Leland King II Turnover.,25,32
1:46,2540,Foul on Max Heidegger.,25,32
1:46,149,Michael Oguine made Free Throw.,26,32
1:46,149,Michael Oguine made Free Throw.,27,32
1:46,149,Michael Oguine Steal.,25,32
1:30,2540,Jalen Canty made Jumper.,27,34
1:11,149,Michael Oguine Turnover.,27,34
0:55,149,Foul on Michael Oguine.,27,34
0:55,2540,Max Heidegger missed Free Throw.,27,34
0:55,2540,UC Santa Barbara Deadball Team Rebound.,27,34
0:55,2540,Max Heidegger made Free Throw.,27,35
0:46,149,Ahmaad Rorie Turnover.,27,35
0:45,2540,Marcus Jackson Steal.,27,35
0:42,2540,Foul on Max Heidegger.,27,35
0:42,2540,Max Heidegger Turnover.,27,35
0:23,149,Ahmaad Rorie Turnover.,27,35
0:22,2540,Brandon Davis Steal.,27,35
0:19,2540,UC Santa Barbara  Timeout,27,35
0:01,2540,Leland King II made Three Point Jumper. Assisted by Marcus Jackson.,27,38
0:00,2540,End of 1st half,27,38
19:49,149,Jamar Akoh made Jumper. Assisted by Michael Oguine.,29,38
19:33,2540,Leland King II Turnover.,29,38
19:33,149,Jamar Akoh Steal.,29,38
19:18,149,Bobby Moorehead missed Three Point Jumper.,29,38
19:18,2540,Jalen Canty Defensive Rebound.,29,38
19:06,149,Foul on Jamar Akoh.,29,38
19:00,2540,Marcus Jackson Turnover.,29,38
18:59,149,Fabijan Krslovic Steal.,29,38
18:57,149,Fabijan Krslovic made Dunk.,31,38
18:39,2540,Leland King II missed Three Point Jumper.,31,38
18:39,149,Ahmaad Rorie Defensive Rebound.,31,38
18:30,149,Ahmaad Rorie made Jumper.,33,38
17:57,149,Foul on Jamar Akoh.,33,38
17:57,2540,Jalen Canty made Free Throw.,33,39
17:57,2540,Jalen Canty missed Free Throw.,33,39
17:57,149,Jamar Akoh Defensive Rebound.,33,39
17:40,149,Jamar Akoh made Layup. Assisted by Ahmaad Rorie.,35,39
17:23,149,Foul on Jamar Akoh.,35,39
17:16,149,Foul on Sayeed Pridgett.,35,39
17:16,2540,Max Heidegger made Free Throw.,35,40
17:16,2540,Max Heidegger missed Free Throw.,35,40
17:16,149,Bobby Moorehead Defensive Rebound.,35,40
16:58,149,Ahmaad Rorie missed Layup.,35,40
16:58,149,Montana Offensive Rebound.,35,40
16:43,149,Sayeed Pridgett Turnover.,35,40
16:42,2540,Max Heidegger Steal.,35,40
16:39,2540,Max Heidegger made Layup.,35,42
16:15,149,Ahmaad Rorie made Three Point Jumper. Assisted by Michael Oguine.,38,42
15:57,2540,Official TV Timeout,38,42
15:48,2540,Gabe Vincent missed Layup.,38,42
15:48,149,Bobby Moorehead Block.,38,42
15:47,149,Fabijan Krslovic Defensive Rebound.,38,42
15:32,149,Foul on Fabijan Krslovic.,38,42
15:32,149,Fabijan Krslovic Turnover.,38,42
15:21,2540,Foul on Leland King II.,38,42
15:21,2540,Leland King II Turnover.,38,42
15:14,149,Foul on Fabijan Krslovic.,38,42
15:14,149,Fabijan Krslovic Turnover.,38,42
14:59,2540,Jalen Canty Turnover.,38,42
14:57,149,Ahmaad Rorie Steal.,38,42
14:55,149,Sayeed Pridgett made Layup. Assisted by Ahmaad Rorie.,40,42
14:35,149,Foul on Michael Oguine.,40,42
14:35,2540,Max Heidegger made Free Throw.,40,43
14:35,2540,Max Heidegger made Free Throw.,40,44
14:15,2540,Foul on Maxwell Kupchak.,40,44
14:11,2540,Foul on Gabe Vincent.,40,44
14:06,149,Michael Oguine made Layup.,42,44
14:06,2540,Foul on Gabe Vincent.,42,44
14:06,149,Michael Oguine made Free Throw.,43,44
13:52,2540,Foul on Ami Lakoju.,43,44
13:52,2540,Ami Lakoju Turnover.,43,44
13:27,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,46,44
13:08,149,Foul on Michael Oguine.,46,44
13:08,2540,Max Heidegger made Free Throw.,46,45
13:08,2540,Max Heidegger made Free Throw.,46,46
12:51,149,Sayeed Pridgett made Jumper.,48,46
12:37,2540,Max Heidegger Turnover.,48,46
12:13,149,Bobby Moorehead missed Three Point Jumper.,48,46
12:13,2540,Marcus Jackson Defensive Rebound.,48,46
12:05,2540,Jalen Canty made Layup. Assisted by Marcus Jackson.,48,48
12:05,149,Foul on Timmy Falls.,48,48
12:05,2540,Jalen Canty made Free Throw.,48,49
11:52,149,Sayeed Pridgett missed Jumper.,48,49
11:52,2540,Jalen Canty Defensive Rebound.,48,49
11:35,149,Foul on Karl Nicholas.,48,49
11:35,2540,Official TV Timeout,48,49
11:35,2540,Jalen Canty made Free Throw.,48,50
11:35,2540,Jalen Canty made Free Throw.,48,51
11:27,2540,Foul on Christian Terrell.,48,51
11:23,149,Timmy Falls Turnover.,48,51
11:22,2540,Marcus Jackson Steal.,48,51
11:17,2540,Max Heidegger made Layup. Assisted by Marcus Jackson.,48,53
11:03,149,Ahmaad Rorie missed Three Point Jumper.,48,53
11:03,2540,Christian Terrell Block.,48,53
11:01,2540,Jalen Canty Defensive Rebound.,48,53
10:45,149,Foul on Timmy Falls.,48,53
10:45,2540,Max Heidegger made Free Throw.,48,54
10:45,2540,Max Heidegger made Free Throw.,48,55
10:37,149,Foul on Bobby Moorehead.,48,55
10:37,149,Bobby Moorehead Turnover.,48,55
10:19,149,Foul on Sayeed Pridgett.,48,55
10:19,2540,Max Heidegger missed Free Throw.,48,55
10:19,2540,UC Santa Barbara Deadball Team Rebound.,48,55
10:19,2540,Max Heidegger made Free Throw.,48,56
10:04,149,Trever Spoja missed Three Point Jumper.,48,56
10:04,2540,Marcus Jackson Defensive Rebound.,48,56
9:53,2540,Marcus Jackson missed Three Point Jumper.,48,56
9:53,2540,Jalen Canty Offensive Rebound.,48,56
9:49,2540,Jalen Canty made Layup.,48,58
9:48,149,Foul on Timmy Falls.,48,58
9:48,2540,Jalen Canty made Free Throw.,48,59
9:33,149,Fabijan Krslovic missed Layup.,48,59
9:33,2540,Jalen Canty Defensive Rebound.,48,59
9:16,2540,Max Heidegger missed Jumper.,48,59
9:16,149,Jamar Akoh Defensive Rebound.,48,59
9:07,149,Ahmaad Rorie made Jumper.,50,59
9:07,2540,Foul on Jalen Canty.,50,59
9:07,149,Ahmaad Rorie made Free Throw.,51,59
8:52,2540,Leland King II made Jumper.,51,61
8:51,2540,UC Santa Barbara  Timeout,51,61
8:36,149,Jamar Akoh missed Jumper.,51,61
8:36,149,Michael Oguine Offensive Rebound.,51,61
8:21,149,Jamar Akoh made Layup.,53,61
8:21,2540,Foul on Jalen Canty.,53,61
8:21,149,Jamar Akoh made Free Throw.,54,61
8:01,2540,Leland King II made Jumper. Assisted by Marcus Jackson.,54,63
7:41,2540,Foul on Jalen Canty.,54,63
7:41,2540,Official TV Timeout,54,63
7:41,149,Jamar Akoh made Free Throw.,55,63
7:41,149,Jamar Akoh missed Free Throw.,55,63
7:41,2540,Leland King II Defensive Rebound.,55,63
7:17,2540,Leland King II made Jumper.,55,65
7:04,149,Michael Oguine made Layup.,57,65
6:39,2540,Marcus Jackson made Three Point Jumper. Assisted by Max Heidegger.,57,68
6:15,149,Ahmaad Rorie missed Jumper.,57,68
6:15,2540,Christian Terrell Defensive Rebound.,57,68
6:01,2540,Foul on Max Heidegger.,57,68
6:01,2540,Max Heidegger Turnover.,57,68
5:52,149,Jamar Akoh made Layup. Assisted by Ahmaad Rorie.,59,68
5:31,2540,Max Heidegger Turnover.,59,68
5:30,149,Ahmaad Rorie Steal.,59,68
5:22,149,Karl Nicholas made Layup. Assisted by Ahmaad Rorie.,61,68
4:59,149,Foul on Karl Nicholas.,61,68
4:59,2540,Jalen Canty missed Free Throw.,61,68
4:59,2540,UC Santa Barbara Deadball Team Rebound.,61,68
4:59,2540,Jalen Canty made Free Throw.,61,69
4:43,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,64,69
4:17,2540,Leland King II made Jumper.,64,71
3:59,2540,Foul on Leland King II.,64,71
3:59,2540,Official TV Timeout,64,71
3:59,149,Jamar Akoh missed Free Throw.,64,71
3:59,149,Montana Deadball Team Rebound.,64,71
3:59,149,Jamar Akoh missed Free Throw.,64,71
3:59,149,Karl Nicholas Offensive Rebound.,64,71
3:57,149,Karl Nicholas missed Layup.,64,71
3:57,2540,Jalen Canty Block.,64,71
3:57,149,Jamar Akoh Offensive Rebound.,64,71
3:56,2540,Foul on Leland King II.,64,71
3:56,149,Jamar Akoh made Free Throw.,65,71
3:56,149,Jamar Akoh made Free Throw.,66,71
3:32,149,Foul on Bobby Moorehead.,66,71
3:32,2540,Marcus Jackson made Free Throw.,66,72
3:32,2540,Marcus Jackson missed Free Throw.,66,72
3:32,149,Michael Oguine Defensive Rebound.,66,72
3:07,149,Michael Oguine made Layup.,68,72
2:42,2540,Marcus Jackson missed Three Point Jumper.,68,72
2:42,2540,Leland King II Offensive Rebound.,68,72
2:37,2540,Max Heidegger missed Three Point Jumper.,68,72
2:37,149,Jamar Akoh Defensive Rebound.,68,72
2:11,149,Jamar Akoh Turnover.,68,72
1:56,2540,Gabe Vincent Turnover.,68,72
1:43,149,Ahmaad Rorie missed Three Point Jumper.,68,72
1:43,2540,Jalen Canty Defensive Rebound.,68,72
1:24,2540,Max Heidegger made Layup. Assisted by Gabe Vincent.,68,74
1:12,2540,Foul on Max Heidegger.,68,74
1:12,149,Michael Oguine made Free Throw.,69,74
1:12,149,Michael Oguine missed Free Throw.,69,74
1:12,149,Karl Nicholas Offensive Rebound.,69,74
1:11,2540,Foul on Gabe Vincent.,69,74
1:11,149,Karl Nicholas missed Free Throw.,69,74
1:11,149,Montana Deadball Team Rebound.,69,74
1:11,149,Karl Nicholas missed Free Throw.,69,74
1:11,2540,Max Heidegger Defensive Rebound.,69,74
0:44,2540,Max Heidegger made Jumper.,69,76
0:34,149,Michael Oguine made Layup.,71,76
0:34,149,Montana  Timeout,71,76
0:26,2540,UC Santa Barbara  Timeout,71,76
0:25,149,Foul on Bobby Moorehead.,71,76
0:25,2540,Leland King II made Free Throw.,71,77
0:25,2540,Leland King II made Free Throw.,71,78
0:20,149,Niko Bevens missed Three Point Jumper.,71,78
0:20,2540,Max Heidegger Defensive Rebound.,71,78
0:15,149,Foul on Michael Oguine.,71,78
0:15,2540,Max Heidegger made Free Throw.,71,79
0:15,2540,Max Heidegger made Free Throw.,71,80
0:13,149,Ahmaad Rorie missed Three Point Jumper.,71,80
0:13,149,Niko Bevens Offensive Rebound.,71,80
0:07,149,Timmy Falls missed Three Point Jumper.,71,80
0:07,149,Ahmaad Rorie Offensive Rebound.,71,80
0:03,149,Ahmaad Rorie missed Three Point Jumper.,71,80
0:03,149,Montana Offensive Rebound.,71,80
0:01,2540,Foul on Maxwell Kupchak.,71,80
0:01,149,Sayeed Pridgett made Free Throw.,72,80
0:01,149,Sayeed Pridgett made Free Throw.,73,80
0:00,2540,End of Game,73,80
