Florida Gulf Coast,2393,Middle Tennessee,526
13:52,2393,Tyrik Dixon Defensive Rebound.,2,8
13:47,526,Foul on Zach Johnson.,2,8
13:30,2393,Karl Gamble made Jumper. Assisted by Antwain Johnson.,2,10
13:28,526,Florida Gulf Coast  Timeout,2,10
13:08,2393,Foul on Antwain Johnson.,2,10
13:00,526,Ricky Doyle made Dunk. Assisted by Brandon Goodwin.,4,10
12:58,2393,Middle Tennessee  Timeout,4,10
12:44,2393,Foul on Karl Gamble.,4,10
12:44,2393,Karl Gamble Turnover.,4,10
12:32,526,Ricky Doyle missed Jumper.,4,10
12:32,2393,David Simmons Defensive Rebound.,4,10
12:24,2393,Giddy Potts made Three Point Jumper. Assisted by David Simmons.,4,13
12:12,526,RaySean Scott Jr. made Layup. Assisted by Brandon Goodwin.,6,13
12:12,2393,Foul on Nick King.,6,13
12:12,526,RaySean Scott Jr. made Free Throw.,7,13
12:00,2393,Nick King made Layup.,7,15
11:36,526,Dinero Mercurius missed Three Point Jumper.,7,15
11:36,2393,Nick King Defensive Rebound.,7,15
11:35,526,Foul on RaySean Scott Jr..,7,15
11:35,2393,Official TV Timeout,7,15
11:23,2393,Nick King made Three Point Jumper. Assisted by Giddy Potts.,7,18
11:05,2393,Foul on Brandon Walters.,7,18
10:57,526,Dinero Mercurius missed Three Point Jumper.,7,18
10:57,2393,Therren Shelton-Szmidt Defensive Rebound.,7,18
10:44,526,Foul on Christian Terrell.,7,18
10:31,2393,David Simmons made Jumper.,7,20
10:13,526,Zach Johnson Turnover.,7,20
9:58,2393,Brandon Walters missed Jumper.,7,20
9:58,526,Dinero Mercurius Defensive Rebound.,7,20
9:50,526,Brandon Goodwin made Jumper.,9,20
9:40,526,Foul on Christian Carlyle.,9,20
9:40,2393,Nick King made Free Throw.,9,21
9:40,2393,Nick King made Free Throw.,9,22
9:31,526,Foul on Brandon Goodwin.,9,22
9:31,526,Brandon Goodwin Turnover.,9,22
9:08,2393,Tyrik Dixon missed Layup.,9,22
9:08,2393,Tyrik Dixon Offensive Rebound.,9,22
9:04,2393,David Simmons made Jumper.,9,24
8:57,2393,Foul on Tyrik Dixon.,9,24
8:57,526,Dinero Mercurius made Free Throw.,10,24
8:57,526,Dinero Mercurius made Free Throw.,11,24
8:57,526,Dinero Mercurius made Free Throw.,12,24
8:35,2393,Brandon Walters made Layup. Assisted by Edward Simpson.,12,26
8:12,526,Antravious Simmons made Jumper.,14,26
8:00,2393,Nick King made Layup. Assisted by Tyrik Dixon.,14,28
7:42,2393,Foul on Brandon Walters.,14,28
7:42,2393,Official TV Timeout,14,28
7:42,526,Antravious Simmons missed Free Throw.,14,28
7:42,2393,Giddy Potts Defensive Rebound.,14,28
7:14,2393,Giddy Potts made Three Point Jumper.,14,31
6:56,2393,Foul on Giddy Potts.,14,31
6:56,526,Brandon Goodwin made Free Throw.,15,31
6:56,526,Brandon Goodwin made Free Throw.,16,31
6:38,2393,Karl Gamble made Jumper. Assisted by Tyrik Dixon.,16,33
6:29,2393,Foul on Edward Simpson.,16,33
6:29,526,Brandon Goodwin made Free Throw.,17,33
6:29,526,Brandon Goodwin made Free Throw.,18,33
6:13,526,Foul on Antravious Simmons.,18,33
6:13,2393,Antwain Johnson made Free Throw.,18,34
6:13,2393,Antwain Johnson made Free Throw.,18,35
6:06,526,Darnell Rogers Turnover.,18,35
5:48,2393,James Hawthorne missed Jumper.,18,35
5:48,2393,Tyrik Dixon Offensive Rebound.,18,35
5:43,2393,Tyrik Dixon missed Three Point Jumper.,18,35
5:43,2393,Karl Gamble Offensive Rebound.,18,35
5:42,2393,Karl Gamble made Layup.,18,37
5:42,526,Foul on Dinero Mercurius.,18,37
5:42,2393,Karl Gamble missed Free Throw.,18,37
5:42,526,Zach Johnson Defensive Rebound.,18,37
5:34,2393,Foul on James Hawthorne.,18,37
5:34,526,Brandon Goodwin made Free Throw.,19,37
5:34,526,Brandon Goodwin made Free Throw.,20,37
5:15,2393,Edward Simpson made Three Point Jumper. Assisted by Tyrik Dixon.,20,40
4:55,526,Brandon Goodwin Turnover.,20,40
4:54,2393,Tyrik Dixon Steal.,20,40
4:53,2393,Foul on Tyrik Dixon.,20,40
4:53,2393,Tyrik Dixon Turnover.,20,40
4:53,526,Darnell Rogers missed Free Throw.,20,40
4:53,526,Florida Gulf Coast Deadball Team Rebound.,20,40
4:53,526,Darnell Rogers made Free Throw.,21,40
4:50,526,Foul on Darnell Rogers.,21,40
4:50,2393,Antwain Johnson made Free Throw.,21,41
4:50,2393,Antwain Johnson made Free Throw.,21,42
4:29,526,Brandon Goodwin Turnover.,21,42
4:29,2393,Karl Gamble Steal.,21,42
4:02,2393,Antwain Johnson missed Three Point Jumper.,21,42
4:02,526,Brandon Goodwin Defensive Rebound.,21,42
3:59,2393,Foul on Edward Simpson.,21,42
3:59,2393,Official TV Timeout,21,42
3:59,526,Brandon Goodwin made Free Throw.,22,42
3:59,526,Brandon Goodwin missed Free Throw.,22,42
3:59,2393,Nick King Defensive Rebound.,22,42
3:42,2393,Nick King made Jumper. Assisted by David Simmons.,22,44
3:35,526,Brandon Goodwin made Layup. Assisted by Christian Terrell.,24,44
3:09,526,Foul on RaySean Scott Jr..,24,44
3:09,2393,Donovan Sims made Free Throw.,24,45
3:09,2393,Donovan Sims made Free Throw.,24,46
2:49,526,Ricky Doyle missed Jumper.,24,46
2:49,2393,Karl Gamble Defensive Rebound.,24,46
2:37,2393,Karl Gamble missed Jumper.,24,46
2:37,526,RaySean Scott Jr. Defensive Rebound.,24,46
2:21,2393,Foul on Antwain Johnson.,24,46
2:21,526,Brandon Goodwin missed Free Throw.,24,46
2:21,526,Florida Gulf Coast Deadball Team Rebound.,24,46
2:21,526,Brandon Goodwin made Free Throw.,25,46
2:03,2393,James Hawthorne Turnover.,25,46
1:48,526,Brandon Goodwin made Layup.,27,46
1:39,526,Foul on Antravious Simmons.,27,46
1:39,2393,David Simmons made Free Throw.,27,47
1:39,2393,David Simmons missed Free Throw.,27,47
1:39,526,RaySean Scott Jr. Defensive Rebound.,27,47
1:20,526,Antravious Simmons Turnover.,27,47
1:19,2393,Karl Gamble Steal.,27,47
1:07,2393,James Hawthorne missed Three Point Jumper.,27,47
1:07,526,Brandon Goodwin Defensive Rebound.,27,47
1:00,2393,Foul on Donovan Sims.,27,47
1:00,526,Zach Johnson made Free Throw.,28,47
1:00,526,Zach Johnson made Free Throw.,29,47
0:32,2393,Antwain Johnson missed Three Point Jumper.,29,47
0:32,526,Florida Gulf Coast Defensive Rebound.,29,47
0:00,526,Brandon Goodwin missed Layup.,29,47
0:00,2393,Karl Gamble Defensive Rebound.,29,47
0:00,2393,End of 1st half,29,47
19:47,526,Christian Terrell missed Three Point Jumper.,29,47
19:47,2393,Edward Simpson Defensive Rebound.,29,47
19:30,2393,Nick King missed Jumper.,29,47
19:30,2393,Brandon Walters Offensive Rebound.,29,47
19:22,2393,Brandon Walters made Layup. Assisted by Nick King.,29,49
19:04,526,Antravious Simmons made Layup. Assisted by Ricky Doyle.,31,49
18:52,2393,Giddy Potts missed Three Point Jumper.,31,49
18:52,526,Christian Terrell Defensive Rebound.,31,49
18:40,526,Brandon Goodwin made Jumper.,33,49
18:23,2393,Nick King Turnover.,33,49
18:08,526,Ricky Doyle missed Jumper.,33,49
18:08,2393,Brandon Walters Block.,33,49
18:06,526,Ricky Doyle Offensive Rebound.,33,49
18:04,526,Ricky Doyle Turnover.,33,49
18:03,2393,Giddy Potts Steal.,33,49
17:56,2393,Tyrik Dixon missed Jumper.,33,49
17:56,526,Zach Johnson Defensive Rebound.,33,49
17:48,526,Zach Johnson Turnover.,33,49
17:47,2393,Giddy Potts Steal.,33,49
17:44,526,Foul on Antravious Simmons.,33,49
17:44,2393,Giddy Potts made Free Throw.,33,50
17:44,2393,Giddy Potts missed Free Throw.,33,50
17:44,526,Zach Johnson Defensive Rebound.,33,50
17:28,526,Brandon Goodwin Turnover.,33,50
17:28,2393,Edward Simpson Steal.,33,50
17:18,2393,Foul on Giddy Potts.,33,50
17:18,2393,Giddy Potts Turnover.,33,50
17:11,526,Zach Johnson made Jumper.,35,50
17:11,2393,Foul on Antwain Johnson.,35,50
17:11,526,Zach Johnson made Free Throw.,36,50
17:04,526,Foul on Dinero Mercurius.,36,50
16:57,2393,Brandon Walters made Layup. Assisted by David Simmons.,36,52
16:50,526,Ricky Doyle made Layup. Assisted by Christian Carlyle.,38,52
16:35,2393,James Hawthorne Turnover.,38,52
16:34,526,Ricky Doyle Steal.,38,52
16:29,526,Brandon Goodwin missed Layup.,38,52
16:29,2393,Tyrik Dixon Defensive Rebound.,38,52
16:17,2393,Edward Simpson Turnover.,38,52
16:17,526,Christian Carlyle Steal.,38,52
16:10,2393,Foul on Brandon Walters.,38,52
16:10,526,Zach Johnson missed Free Throw.,38,52
16:10,526,Florida Gulf Coast Deadball Team Rebound.,38,52
16:10,526,Zach Johnson made Free Throw.,39,52
15:58,526,Foul on Christian Carlyle.,39,52
15:58,2393,Official TV Timeout,39,52
15:58,2393,Karl Gamble missed Free Throw.,39,52
15:58,2393,Middle Tennessee Deadball Team Rebound.,39,52
15:58,2393,Karl Gamble missed Free Throw.,39,52
15:58,526,Florida Gulf Coast Defensive Rebound.,39,52
15:41,2393,Foul on David Simmons.,39,52
15:37,526,Christian Carlyle made Three Point Jumper. Assisted by Christian Terrell.,42,52
15:18,526,Foul on Zach Johnson.,42,52
15:18,2393,Nick King made Free Throw.,42,53
15:18,2393,Nick King made Free Throw.,42,54
15:08,2393,Foul on David Simmons.,42,54
15:08,526,Brandon Goodwin missed Free Throw.,42,54
15:08,526,Florida Gulf Coast Deadball Team Rebound.,42,54
15:08,526,Brandon Goodwin made Free Throw.,43,54
14:58,2393,Tyrik Dixon made Three Point Jumper. Assisted by Nick King.,43,57
14:47,526,Christian Carlyle missed Three Point Jumper.,43,57
14:47,2393,Nick King Defensive Rebound.,43,57
14:44,526,Foul on Brandon Goodwin.,43,57
14:31,2393,Antwain Johnson missed Jumper.,43,57
14:31,2393,Karl Gamble Offensive Rebound.,43,57
14:28,526,Foul on Christian Carlyle.,43,57
14:17,2393,David Simmons missed Layup.,43,57
14:17,526,Ricky Doyle Block.,43,57
14:17,2393,Middle Tennessee Offensive Rebound.,43,57
14:16,2393,Nick King made Layup. Assisted by Tyrik Dixon.,43,59
14:07,2393,Foul on Tyrik Dixon.,43,59
13:58,526,Zach Johnson made Three Point Jumper. Assisted by Ricky Doyle.,46,59
13:42,2393,Nick King missed Jumper.,46,59
13:42,526,Christian Terrell Defensive Rebound.,46,59
13:32,526,Brandon Goodwin Turnover.,46,59
13:32,2393,David Simmons Steal.,46,59
13:32,526,Foul on Brandon Goodwin.,46,59
13:30,2393,David Simmons made Free Throw.,46,60
13:30,2393,David Simmons made Free Throw.,46,61
13:07,526,Zach Johnson made Jumper.,48,61
12:47,2393,Antwain Johnson missed Layup.,48,61
12:47,526,Ricky Doyle Defensive Rebound.,48,61
12:32,526,Zach Johnson made Layup.,50,61
12:22,2393,Middle Tennessee  Timeout,50,61
12:16,526,Foul on Dinero Mercurius.,50,61
12:16,2393,Nick King made Free Throw.,50,62
12:16,2393,Nick King made Free Throw.,50,63
12:10,526,Zach Johnson Turnover.,50,63
12:09,2393,David Simmons Steal.,50,63
12:06,2393,Giddy Potts made Dunk.,50,65
11:52,2393,Official TV Timeout,50,65
11:35,526,Zach Johnson missed Three Point Jumper.,50,65
11:35,2393,Tyrik Dixon Defensive Rebound.,50,65
11:29,2393,Tyrik Dixon made Jumper.,50,67
11:05,526,Antravious Simmons missed Jumper.,50,67
11:05,2393,Brandon Walters Defensive Rebound.,50,67
10:47,2393,Nick King Turnover.,50,67
10:46,526,Zach Johnson Steal.,50,67
10:41,526,Zach Johnson missed Layup.,50,67
10:41,526,Antravious Simmons Offensive Rebound.,50,67
10:38,526,Antravious Simmons made Layup.,52,67
10:22,2393,Giddy Potts missed Three Point Jumper.,52,67
10:22,2393,Nick King Offensive Rebound.,52,67
10:16,526,Foul on Antravious Simmons.,52,67
10:16,2393,Nick King made Free Throw.,52,68
10:16,2393,Nick King made Free Throw.,52,69
10:04,2393,Foul on David Simmons.,52,69
10:04,526,RaySean Scott Jr. made Free Throw.,53,69
10:04,526,RaySean Scott Jr. missed Free Throw.,53,69
10:04,2393,Tyrik Dixon Defensive Rebound.,53,69
9:41,2393,Tyrik Dixon made Jumper.,53,71
9:28,2393,Foul on Brandon Walters.,53,71
9:28,526,Brandon Goodwin missed Free Throw.,53,71
9:28,2393,Karl Gamble Defensive Rebound.,53,71
9:11,2393,Karl Gamble made Layup. Assisted by Tyrik Dixon.,53,73
9:00,526,Brandon Goodwin missed Three Point Jumper.,53,73
9:00,2393,James Hawthorne Defensive Rebound.,53,73
8:28,2393,James Hawthorne missed Jumper.,53,73
8:28,526,RaySean Scott Jr. Defensive Rebound.,53,73
8:11,2393,Foul on David Simmons.,53,73
8:11,526,RaySean Scott Jr. made Free Throw.,54,73
8:11,526,RaySean Scott Jr. made Free Throw.,55,73
7:59,2393,Antwain Johnson missed Three Point Jumper.,55,73
7:59,526,Antravious Simmons Defensive Rebound.,55,73
7:52,526,Christian Terrell made Jumper.,57,73
7:38,2393,Nick King made Dunk. Assisted by Edward Simpson.,57,75
7:23,2393,Foul on Karl Gamble.,57,75
7:23,2393,Official TV Timeout,57,75
7:23,526,Brandon Goodwin made Free Throw.,58,75
7:23,526,Brandon Goodwin made Free Throw.,59,75
7:06,2393,Tyrik Dixon made Three Point Jumper. Assisted by Edward Simpson.,59,78
6:51,526,Brandon Goodwin missed Three Point Jumper.,59,78
6:51,2393,Tyrik Dixon Defensive Rebound.,59,78
6:30,2393,Giddy Potts missed Jumper.,59,78
6:30,526,Christian Terrell Defensive Rebound.,59,78
6:22,526,Zach Johnson missed Three Point Jumper.,59,78
6:22,2393,Tyrik Dixon Defensive Rebound.,59,78
5:49,2393,Edward Simpson missed Three Point Jumper.,59,78
5:49,526,RaySean Scott Jr. Block.,59,78
5:47,526,Christian Terrell Defensive Rebound.,59,78
5:44,526,RaySean Scott Jr. made Layup. Assisted by Christian Terrell.,61,78
5:12,2393,Karl Gamble missed Jumper.,61,78
5:12,526,Christian Terrell Defensive Rebound.,61,78
5:05,526,Brandon Goodwin missed Layup.,61,78
5:05,526,Christian Terrell Offensive Rebound.,61,78
5:00,526,Christian Terrell made Two Point Tip Shot.,63,78
4:41,526,Foul on RaySean Scott Jr..,63,78
4:41,2393,Nick King made Free Throw.,63,79
4:41,2393,Nick King made Free Throw.,63,80
4:25,526,Ricky Doyle Turnover.,63,80
4:11,2393,Nick King missed Layup.,63,80
4:11,526,Ricky Doyle Defensive Rebound.,63,80
3:59,526,Dinero Mercurius missed Three Point Jumper.,63,80
3:59,2393,Edward Simpson Defensive Rebound.,63,80
3:36,2393,Tyrik Dixon missed Jumper.,63,80
3:36,2393,Giddy Potts Offensive Rebound.,63,80
3:11,2393,Edward Simpson Turnover.,63,80
3:11,2393,Official TV Timeout,63,80
2:55,526,Dinero Mercurius Turnover.,63,80
2:54,2393,Giddy Potts Steal.,63,80
2:42,2393,Foul on Brandon Walters.,63,80
2:33,526,Dinero Mercurius made Three Point Jumper. Assisted by Brandon Goodwin.,66,80
2:11,2393,Giddy Potts Turnover.,66,80
2:10,526,Zach Johnson Steal.,66,80
2:07,526,Zach Johnson made Layup.,68,80
1:46,526,Foul on Christian Carlyle.,68,80
1:46,2393,Giddy Potts missed Free Throw.,68,80
1:46,2393,Middle Tennessee Deadball Team Rebound.,68,80
1:46,2393,Giddy Potts made Free Throw.,68,81
1:36,2393,Foul on Tyrik Dixon.,68,81
1:36,526,Brandon Goodwin made Free Throw.,69,81
1:36,526,Brandon Goodwin missed Free Throw.,69,81
1:36,2393,Tyrik Dixon Defensive Rebound.,69,81
1:08,2393,Nick King missed Three Point Jumper.,69,81
1:08,526,Brandon Goodwin Defensive Rebound.,69,81
1:01,526,Christian Terrell missed Three Point Jumper.,69,81
1:01,526,Zach Johnson Offensive Rebound.,69,81
0:49,2393,Foul on Nick King.,69,81
0:49,526,Zach Johnson made Free Throw.,70,81
0:49,526,Zach Johnson made Free Throw.,71,81
0:49,526,Florida Gulf Coast  Timeout,71,81
0:46,526,Foul on Brandon Goodwin.,71,81
0:46,2393,David Simmons missed Free Throw.,71,81
0:46,2393,Middle Tennessee Deadball Team Rebound.,71,81
0:46,2393,David Simmons made Free Throw.,71,82
0:42,526,Brandon Goodwin missed Three Point Jumper.,71,82
0:42,2393,Karl Gamble Defensive Rebound.,71,82
0:37,2393,Tyrik Dixon made Layup. Assisted by Nick King.,71,84
0:30,2393,Foul on Giddy Potts.,71,84
0:30,526,Zach Johnson missed Free Throw.,71,84
0:30,526,Florida Gulf Coast Deadball Team Rebound.,71,84
0:30,526,Zach Johnson missed Free Throw.,71,84
0:30,526,Florida Gulf Coast Deadball Team Rebound.,71,84
0:30,526,Zach Johnson made Free Throw.,72,84
0:26,526,Foul on Zach Johnson.,72,84
0:26,2393,David Simmons made Free Throw.,72,85
0:26,2393,David Simmons missed Free Throw.,72,85
0:26,526,Christian Terrell Defensive Rebound.,72,85
0:22,526,Zach Johnson missed Three Point Jumper.,72,85
0:22,2393,Nick King Defensive Rebound.,72,85
0:00,2393,End of Game,72,85
