Trinity Baptist,Error,The Citadel,2643
8:24,-1,Marquel Perry made Free Throw.,18,32
8:24,2643,Quayson Williams Turnover.,18,32
8:07,-1,Caleb Howard Turnover.,18,32
8:06,2643,Frankie Johnson Steal.,18,32
8:00,2643,Quayson Williams missed Three Point Jumper.,18,32
8:00,2643,Rob Johnson Offensive Rebound.,18,32
8:00,-1,Foul on Andrew Bowman.,18,32
8:00,2643,Official TV Timeout,18,32
7:59,2643,Quayson Williams missed Three Point Jumper.,18,32
7:59,-1,Marcus Dixon Defensive Rebound.,18,32
7:34,2643,Foul on Leandro Allende.,18,32
7:24,2643,Foul on Matt Frierson.,18,32
7:24,-1,Marquis Duncanson made Free Throw.,19,32
7:24,-1,Marquis Duncanson made Free Throw.,20,32
7:14,2643,Matt Frierson made Three Point Jumper. Assisted by Kaelon Harris.,20,35
6:58,-1,Andrew Bowman made Layup. Assisted by Marquis Duncanson.,22,35
6:42,2643,Frankie Johnson Turnover.,22,35
6:41,-1,Marquis Duncanson Steal.,22,35
6:33,-1,Marquel Perry made Jumper.,24,35
6:26,-1,Foul on Andrew Bowman.,24,35
6:26,2643,Frankie Johnson missed Free Throw.,24,35
6:26,2643,The Citadel Deadball Team Rebound.,24,35
6:26,2643,Frankie Johnson made Free Throw.,24,36
6:23,-1,Marquis Duncanson Turnover.,24,36
6:22,2643,Tariq Simmons Steal.,24,36
6:21,2643,Tariq Simmons missed Layup.,24,36
6:21,-1,Marcus Dixon Defensive Rebound.,24,36
6:17,-1,Jykayle Walker missed Layup.,24,36
6:17,2643,Alex Reed Defensive Rebound.,24,36
6:10,-1,Foul on Marquel Perry.,24,36
6:10,2643,Kaelon Harris missed Free Throw.,24,36
6:10,2643,The Citadel Deadball Team Rebound.,24,36
6:10,2643,Kaelon Harris made Free Throw.,24,37
5:48,-1,Marcus Dixon made Jumper. Assisted by Marquis Duncanson.,26,37
5:39,2643,Tariq Simmons missed Three Point Jumper.,26,37
5:39,-1,Marcus Dixon Defensive Rebound.,26,37
5:12,-1,Chandler Rivers missed Jumper.,26,37
5:12,2643,Alex Reed Defensive Rebound.,26,37
5:05,2643,Kaelon Harris made Three Point Jumper. Assisted by Tariq Simmons.,26,40
4:53,-1,Trinity Baptist  Turnover.,26,40
4:52,2643,Zane Najdawi made Layup. Assisted by Preston Parks.,26,42
4:36,-1,Chandler Rivers Turnover.,26,42
4:35,2643,Preston Parks Steal.,26,42
4:31,2643,Zane Najdawi made Layup. Assisted by Preston Parks.,26,44
4:30,-1,Chandler Rivers Turnover.,26,44
4:29,2643,Preston Parks Steal.,26,44
4:26,2643,Tariq Simmons made Layup. Assisted by Preston Parks.,26,46
3:42,-1,Marcus Dixon missed Jumper.,26,46
3:42,2643,Hayden Brown Defensive Rebound.,26,46
3:35,2643,Foul on Hayden Brown.,26,46
3:35,2643,Official TV Timeout,26,46
3:05,-1,Marcus Dixon missed Jumper.,26,46
3:05,2643,Tariq Simmons Defensive Rebound.,26,46
2:55,-1,Foul on Marcus Dixon.,26,46
2:55,2643,Zane Najdawi made Free Throw.,26,47
2:55,2643,Zane Najdawi made Free Throw.,26,48
2:29,-1,Caleb Howard missed Jumper.,26,48
2:29,2643,Hayden Brown Defensive Rebound.,26,48
2:20,2643,Matt Frierson made Three Point Jumper. Assisted by Zane Najdawi.,26,51
2:14,2643,Foul on Frankie Johnson.,26,51
2:14,-1,Marquel Perry made Free Throw.,27,51
2:14,-1,Marquel Perry made Free Throw.,28,51
2:09,2643,Matt Frierson missed Three Point Jumper.,28,51
2:09,-1,Caleb Howard Defensive Rebound.,28,51
1:55,-1,Marquis Duncanson missed Layup.,28,51
1:55,2643,Preston Parks Block.,28,51
1:51,2643,Zane Najdawi Defensive Rebound.,28,51
1:47,2643,Frankie Johnson made Layup.,28,53
1:36,-1,Marquel Perry missed Layup.,28,53
1:36,2643,Tariq Simmons Defensive Rebound.,28,53
1:22,2643,Frankie Johnson missed Three Point Jumper.,28,53
1:22,2643,Preston Parks Offensive Rebound.,28,53
1:18,2643,Preston Parks missed Layup.,28,53
1:18,-1,Marquel Perry Defensive Rebound.,28,53
1:10,-1,Caleb Howard made Three Point Jumper. Assisted by Chandler Rivers.,31,53
1:03,2643,Frankie Johnson made Layup. Assisted by Tariq Simmons.,31,55
1:01,2643,The Citadel  Timeout,31,55
0:54,-1,Chandler Rivers Turnover.,31,55
0:49,2643,Preston Parks missed Layup.,31,55
0:49,-1,Marcus Dixon Block.,31,55
0:47,-1,Marcus Dixon Defensive Rebound.,31,55
0:44,-1,Chandler Rivers made Dunk.,33,55
0:28,2643,Leandro Allende made Layup. Assisted by Kaelon Harris.,33,57
0:18,2643,Foul on Derek Webster Jr..,33,57
0:18,-1,Marquis Duncanson missed Free Throw.,33,57
0:18,-1,Trinity Baptist Deadball Team Rebound.,33,57
0:18,-1,Marquis Duncanson made Free Throw.,34,57
0:17,-1,Foul on Chandler Rivers.,34,57
0:17,2643,Derek Webster Jr. missed Free Throw.,34,57
0:17,2643,The Citadel Deadball Team Rebound.,34,57
0:17,2643,Derek Webster Jr. made Free Throw.,34,58
0:00,-1,Jykayle Walker missed Jumper.,34,58
0:00,2643,Leandro Allende Block.,34,58
0:00,2643,Derek Webster Jr. Defensive Rebound.,34,58
0:00,2643,End of 1st half,34,58
19:53,2643,Kaelon Harris made Layup.,34,60
19:46,-1,Marquis Duncanson Turnover.,34,60
19:43,2643,Zane Najdawi made Layup. Assisted by Preston Parks.,34,62
19:18,-1,Chandler Rivers made Three Point Jumper. Assisted by Marquel Perry.,37,62
19:05,2643,Zane Najdawi Turnover.,37,62
19:04,-1,Marquel Perry Steal.,37,62
18:48,2643,Foul on Preston Parks.,37,62
18:43,-1,Marcus Dixon made Layup. Assisted by Marquis Duncanson.,39,62
18:34,2643,Zane Najdawi missed Three Point Jumper.,39,62
18:34,-1,Marcus Dixon Defensive Rebound.,39,62
18:26,-1,Zack Norris made Three Point Jumper. Assisted by Marquis Duncanson.,42,62
18:16,2643,Frankie Johnson missed Layup.,42,62
18:16,-1,Zack Norris Defensive Rebound.,42,62
17:54,-1,Marquel Perry made Three Point Jumper. Assisted by Marquis Duncanson.,45,62
17:41,2643,Hayden Brown missed Three Point Jumper.,45,62
17:41,-1,Zack Norris Defensive Rebound.,45,62
17:37,2643,Foul on Frankie Johnson.,45,62
17:27,-1,Marcus Dixon missed Layup.,45,62
17:27,2643,Tariq Simmons Defensive Rebound.,45,62
17:20,2643,Tariq Simmons made Layup.,45,64
17:12,-1,Zack Norris Turnover.,45,64
17:04,2643,Tariq Simmons made Jumper.,45,66
16:34,-1,Chandler Rivers missed Three Point Jumper.,45,66
16:34,-1,Trinity Baptist Offensive Rebound.,45,66
16:31,-1,Trinity Baptist  Turnover.,45,66
16:16,2643,Alex Reed Turnover.,45,66
16:16,-1,Marquel Perry Steal.,45,66
16:16,-1,Trinity Baptist  Timeout,45,66
16:11,-1,Marquis Duncanson Turnover.,45,66
16:10,2643,Matt Frierson Steal.,45,66
15:56,2643,Tariq Simmons missed Layup.,45,66
15:56,-1,Marcus Dixon Defensive Rebound.,45,66
15:36,-1,Marquis Duncanson Turnover.,45,66
15:35,2643,Matt Frierson Steal.,45,66
15:32,2643,Tariq Simmons made Layup. Assisted by Rob Johnson.,45,68
15:18,-1,Zack Norris made Three Point Jumper. Assisted by Chandler Rivers.,48,68
15:05,2643,Alex Reed missed Three Point Jumper.,48,68
15:05,-1,Marquel Perry Defensive Rebound.,48,68
14:34,-1,Zack Norris Turnover.,48,68
14:33,2643,Alex Reed Steal.,48,68
14:30,-1,Foul on Marcus Dixon.,48,68
14:30,2643,Official TV Timeout,48,68
14:29,2643,Preston Parks missed Three Point Jumper.,48,68
14:29,2643,Frankie Johnson Offensive Rebound.,48,68
14:18,-1,Foul on Marcus Dixon.,48,68
14:18,2643,Kaelon Harris made Free Throw.,48,69
14:18,2643,Kaelon Harris made Free Throw.,48,70
14:11,-1,Marquis Duncanson Turnover.,48,70
14:10,2643,Preston Parks Steal.,48,70
14:06,2643,Kaelon Harris missed Layup.,48,70
14:06,-1,Marquis Duncanson Defensive Rebound.,48,70
13:44,-1,Marquel Perry missed Three Point Jumper.,48,70
13:44,2643,Preston Parks Defensive Rebound.,48,70
13:36,2643,Zane Najdawi made Jumper. Assisted by Preston Parks.,48,72
13:27,2643,Foul on Preston Parks.,48,72
13:10,-1,Marquis Duncanson Turnover.,48,72
13:08,2643,Frankie Johnson Steal.,48,72
13:07,2643,Preston Parks made Layup. Assisted by Frankie Johnson.,48,74
12:55,-1,Andrew Bowman missed Layup.,48,74
12:55,2643,Kaelon Harris Defensive Rebound.,48,74
12:45,2643,Hayden Brown made Three Point Jumper. Assisted by Preston Parks.,48,77
12:34,-1,Trinity Baptist  Turnover.,48,77
12:34,-1,Trinity Baptist  Timeout,48,77
12:29,2643,Hayden Brown made Three Point Jumper. Assisted by Preston Parks.,48,80
12:20,-1,Caleb Howard Turnover.,48,80
12:19,2643,Hayden Brown Steal.,48,80
12:17,2643,Hayden Brown missed Three Point Jumper.,48,80
12:17,-1,Andrew Bowman Defensive Rebound.,48,80
12:13,-1,Foul on Marquel Perry.,48,80
12:13,-1,Marquel Perry Turnover.,48,80
12:04,2643,Tariq Simmons made Three Point Jumper. Assisted by Quayson Williams.,48,83
11:50,2643,Official TV Timeout,48,83
11:48,-1,Jykayle Walker Turnover.,48,83
11:47,2643,Tariq Simmons Steal.,48,83
11:45,2643,Tariq Simmons made Layup.,48,85
11:15,-1,Caleb Howard Turnover.,48,85
11:14,2643,Quayson Williams Steal.,48,85
11:09,2643,Matt Frierson made Three Point Jumper. Assisted by Leandro Allende.,48,88
10:52,-1,Caleb Howard Turnover.,48,88
10:52,2643,Matt Frierson Steal.,48,88
10:52,2643,Quayson Williams Turnover.,48,88
10:52,2643,Technical Foul on The Citadel.,48,88
10:52,-1,Marquis Duncanson made Free Throw.,49,88
10:52,-1,Marquis Duncanson made Free Throw.,50,88
10:41,-1,Marquis Duncanson Turnover.,50,88
10:40,2643,Tariq Simmons Steal.,50,88
10:38,2643,Matt Frierson missed Three Point Jumper.,50,88
10:38,2643,Tariq Simmons Offensive Rebound.,50,88
10:31,2643,Rob Johnson missed Jumper.,50,88
10:31,-1,Marquel Perry Block.,50,88
10:16,-1,Marquel Perry made Layup. Assisted by Marcus Dixon.,52,88
10:13,2643,Leandro Allende missed Three Point Jumper.,52,88
10:13,2643,Rob Johnson Offensive Rebound.,52,88
10:09,2643,Rob Johnson made Layup.,52,90
9:43,-1,Marquis Duncanson missed Three Point Jumper.,52,90
9:43,2643,Rob Johnson Defensive Rebound.,52,90
9:31,2643,Foul on Rob Johnson.,52,90
9:31,2643,Rob Johnson Turnover.,52,90
9:14,-1,Zack Norris Turnover.,52,90
9:00,2643,Zane Najdawi made Layup.,52,92
8:29,-1,Marcus Dixon Turnover.,52,92
8:26,2643,Frankie Johnson Steal.,52,92
8:24,2643,Foul on Zane Najdawi.,52,92
8:24,2643,Zane Najdawi Turnover.,52,92
8:17,-1,Marquis Duncanson Turnover.,52,92
8:16,2643,Frankie Johnson Steal.,52,92
8:13,2643,Preston Parks missed Three Point Jumper.,52,92
8:13,2643,Kaelon Harris Offensive Rebound.,52,92
8:10,2643,Zane Najdawi made Layup. Assisted by Kaelon Harris.,52,94
7:40,-1,Marquis Duncanson Turnover.,52,94
7:39,2643,Frankie Johnson Steal.,52,94
7:35,2643,Kaelon Harris made Three Point Jumper.,52,97
7:15,-1,Marquel Perry made Jumper.,54,97
7:09,-1,Foul on Marcus Dixon.,54,97
7:09,2643,Official TV Timeout,54,97
7:09,2643,Hayden Brown made Free Throw.,54,98
7:09,2643,Hayden Brown missed Free Throw.,54,98
7:09,-1,Marcus Dixon Defensive Rebound.,54,98
6:51,-1,Marquel Perry Turnover.,54,98
6:41,2643,Zane Najdawi made Layup. Assisted by Frankie Johnson.,54,100
6:41,-1,Foul on Zack Norris.,54,100
6:41,2643,Zane Najdawi missed Free Throw.,54,100
6:41,-1,Marcus Dixon Defensive Rebound.,54,100
6:20,-1,Marcus Dixon made Jumper. Assisted by Marquis Duncanson.,56,100
6:11,2643,Hayden Brown made Layup.,56,102
5:56,2643,Foul on Kaelon Harris.,56,102
5:54,-1,Zack Norris made Three Point Jumper. Assisted by Marquis Duncanson.,59,102
5:45,2643,Kaiden Rice missed Three Point Jumper.,59,102
5:45,-1,Marquel Perry Defensive Rebound.,59,102
5:37,-1,Marquel Perry Turnover.,59,102
5:24,2643,Alex Reed made Three Point Jumper. Assisted by Kaiden Rice.,59,105
4:57,-1,Marquis Duncanson made Three Point Jumper. Assisted by Chandler Rivers.,62,105
4:47,2643,Alex Reed missed Three Point Jumper.,62,105
4:47,-1,Zack Norris Defensive Rebound.,62,105
4:38,-1,Chandler Rivers missed Layup.,62,105
4:38,2643,Rob Johnson Block.,62,105
4:38,-1,Marquel Perry Offensive Rebound.,62,105
4:31,-1,Chandler Rivers missed Three Point Jumper.,62,105
4:31,2643,Alex Reed Defensive Rebound.,62,105
4:23,2643,Kaiden Rice made Three Point Jumper. Assisted by Alex Reed.,62,108
4:00,-1,Zack Norris missed Three Point Jumper.,62,108
4:00,2643,Leandro Allende Defensive Rebound.,62,108
3:52,2643,Kaiden Rice missed Three Point Jumper.,62,108
3:52,-1,Chandler Rivers Defensive Rebound.,62,108
3:40,-1,Marquis Duncanson missed Layup.,62,108
3:40,2643,Tariq Simmons Defensive Rebound.,62,108
3:35,2643,Rob Johnson made Layup. Assisted by Alex Reed.,62,110
3:12,-1,Marquis Duncanson missed Three Point Jumper.,62,110
3:12,2643,Leandro Allende Defensive Rebound.,62,110
3:04,2643,Rob Johnson made Layup. Assisted by Leandro Allende.,62,112
3:01,2643,Official TV Timeout,62,112
2:41,-1,Andrew Bowman made Layup. Assisted by Terry Byrd.,64,112
2:26,2643,Kaiden Rice made Three Point Jumper. Assisted by Tariq Simmons.,64,115
2:04,-1,Caleb Howard missed Jumper.,64,115
2:04,-1,Griffen Riggs Offensive Rebound.,64,115
1:57,-1,Caleb Howard missed Three Point Jumper.,64,115
1:57,-1,Cameron Chandler Offensive Rebound.,64,115
1:53,-1,Cameron Chandler missed Jumper.,64,115
1:53,2643,Kaiden Rice Defensive Rebound.,64,115
1:34,2643,Alex Reed Turnover.,64,115
1:33,-1,Griffen Riggs Steal.,64,115
1:27,-1,Caleb Howard missed Three Point Jumper.,64,115
1:27,2643,The Citadel Defensive Rebound.,64,115
1:12,2643,Derek Webster Jr. Turnover.,64,115
0:52,-1,Andrew Bowman made Jumper. Assisted by Cameron Chandler.,66,115
0:44,-1,Foul on Griffen Riggs.,66,115
0:44,2643,Derek Webster Jr. made Free Throw.,66,116
0:44,2643,Derek Webster Jr. missed Free Throw.,66,116
0:44,-1,Andrew Bowman Defensive Rebound.,66,116
0:23,-1,Griffen Riggs Turnover.,66,116
0:22,2643,Alex Reed Steal.,66,116
0:18,2643,Tariq Simmons Turnover.,66,116
0:04,-1,Terry Byrd missed Three Point Jumper.,66,116
0:04,2643,Tariq Simmons Defensive Rebound.,66,116
0:00,2643,End of Game,66,116
