Marquette,2724,Wichita State,269
7:27,269,Jamal Cain Defensive Rebound.,27,32
7:13,269,Andrew Rowsey missed Three Point Jumper.,27,32
7:13,2724,Landry Shamet Defensive Rebound.,27,32
7:01,2724,Jump Ball won by Wichita State,27,32
6:48,2724,Shaquille Morris missed Jumper.,27,32
6:48,269,Marquette Defensive Rebound.,27,32
6:28,269,Foul on Markus Howard.,27,32
6:28,269,Markus Howard Turnover.,27,32
6:22,2724,Landry Shamet missed Three Point Jumper.,27,32
6:22,269,Haanif Cheatham Defensive Rebound.,27,32
6:08,269,Foul on Haanif Cheatham.,27,32
6:08,269,Haanif Cheatham Turnover.,27,32
6:01,2724,Landry Shamet missed Jumper.,27,32
6:01,269,Haanif Cheatham Defensive Rebound.,27,32
5:53,269,Andrew Rowsey missed Jumper.,27,32
5:53,2724,Shaquille Morris Block.,27,32
5:53,2724,Conner Frankamp Defensive Rebound.,27,32
5:35,2724,Landry Shamet Turnover.,27,32
5:35,269,Jamal Cain Steal.,27,32
5:31,269,Jamal Cain made Dunk. Assisted by Matt Heldt.,29,32
5:13,2724,Shaquille Morris missed Jumper.,29,32
5:13,2724,Rashard Kelly Offensive Rebound.,29,32
4:55,2724,Samajae Haynes-Jones missed Three Point Jumper.,29,32
4:55,2724,Zach Brown Offensive Rebound.,29,32
4:50,2724,Austin Reaves Turnover.,29,32
4:28,269,Andrew Rowsey missed Three Point Jumper.,29,32
4:28,269,Jamal Cain Offensive Rebound.,29,32
4:24,269,Jamal Cain missed Dunk.,29,32
4:24,2724,Austin Reaves Defensive Rebound.,29,32
4:13,269,Foul on Matt Heldt.,29,32
4:13,2724,Darral Willis Jr. missed Free Throw.,29,32
4:13,269,Sacar Anim Defensive Rebound.,29,32
3:55,269,Jamal Cain missed Three Point Jumper.,29,32
3:55,2724,Austin Reaves Defensive Rebound.,29,32
3:40,2724,Austin Reaves Turnover.,29,32
3:40,269,Sacar Anim Steal.,29,32
3:36,269,Sacar Anim missed Layup.,29,32
3:36,2724,Rashard Kelly Block.,29,32
3:36,269,Sacar Anim Offensive Rebound.,29,32
3:31,269,Sacar Anim missed Jumper.,29,32
3:31,2724,Rashard Kelly Block.,29,32
3:31,2724,Austin Reaves Defensive Rebound.,29,32
3:22,269,Foul on Matt Heldt.,29,32
3:22,2724,Official TV Timeout,29,32
3:22,2724,Darral Willis Jr. missed Free Throw.,29,32
3:22,2724,Wichita State Deadball Team Rebound.,29,32
3:22,2724,Darral Willis Jr. missed Free Throw.,29,32
3:22,269,Sacar Anim Defensive Rebound.,29,32
3:02,269,Andrew Rowsey made Jumper.,31,32
3:02,2724,Foul on Samajae Haynes-Jones.,31,32
3:02,269,Andrew Rowsey made Free Throw.,32,32
2:54,269,Foul on Sacar Anim.,32,32
2:54,2724,Shaquille Morris made Free Throw.,32,33
2:54,2724,Shaquille Morris made Free Throw.,32,34
2:28,2724,Foul on Shaquille Morris.,32,34
2:28,269,Theo John made Free Throw.,33,34
2:28,269,Theo John missed Free Throw.,33,34
2:28,2724,Austin Reaves Defensive Rebound.,33,34
2:17,2724,Landry Shamet made Layup. Assisted by Rashard Kelly.,33,36
1:56,269,Andrew Rowsey Turnover.,33,36
1:56,2724,Zach Brown Steal.,33,36
1:49,269,Foul on Theo John.,33,36
1:49,2724,Rashard Kelly missed Free Throw.,33,36
1:49,2724,Wichita State Deadball Team Rebound.,33,36
1:49,2724,Rashard Kelly made Free Throw.,33,37
1:45,269,Haanif Cheatham made Three Point Jumper. Assisted by Sacar Anim.,36,37
1:15,2724,Zach Brown Turnover.,36,37
1:02,269,Andrew Rowsey missed Three Point Jumper.,36,37
1:02,2724,Landry Shamet Defensive Rebound.,36,37
0:54,2724,Austin Reaves made Layup. Assisted by Landry Shamet.,36,39
0:46,269,Marquette  Timeout,36,39
0:36,269,Andrew Rowsey Turnover.,36,39
0:17,2724,Shaquille Morris made Layup. Assisted by Zach Brown.,36,41
0:02,269,Sacar Anim missed Three Point Jumper.,36,41
0:02,2724,Wichita State Deadball Team Rebound.,36,41
0:00,2724,End of 1st half,36,41
20:00,269,Jump Ball won by Marquette,36,41
19:52,269,Markus Howard missed Three Point Jumper.,36,41
19:52,269,Marquette Offensive Rebound.,36,41
19:38,269,Andrew Rowsey made Jumper.,38,41
19:26,2724,Rashard Kelly Turnover.,38,41
19:26,269,Sam Hauser Steal.,38,41
19:04,269,Haanif Cheatham missed Jumper.,38,41
19:04,2724,Rashard Kelly Defensive Rebound.,38,41
18:40,2724,Shaquille Morris made Dunk. Assisted by Rashard Kelly.,38,43
18:18,269,Andrew Rowsey made Three Point Jumper. Assisted by Matt Heldt.,41,43
17:59,2724,Shaquille Morris missed Layup.,41,43
17:59,269,Matt Heldt Block.,41,43
17:59,2724,Rashard Kelly Offensive Rebound.,41,43
17:52,2724,Foul on Zach Brown.,41,43
17:52,2724,Zach Brown Turnover.,41,43
17:43,2724,Foul on Zach Brown.,41,43
17:28,269,Haanif Cheatham missed Jumper.,41,43
17:28,2724,Rashard Kelly Defensive Rebound.,41,43
17:16,2724,Austin Reaves made Layup. Assisted by Shaquille Morris.,41,45
17:00,269,Markus Howard made Jumper.,43,45
16:44,2724,Shaquille Morris missed Jumper.,43,45
16:44,269,Matt Heldt Defensive Rebound.,43,45
16:36,269,Andrew Rowsey made Jumper.,45,45
16:19,2724,Austin Reaves missed Three Point Jumper.,45,45
16:19,269,Matt Heldt Defensive Rebound.,45,45
16:06,2724,Foul on Rashard Kelly.,45,45
15:59,269,Andrew Rowsey missed Jumper.,45,45
15:59,2724,Landry Shamet Defensive Rebound.,45,45
15:42,2724,Austin Reaves Turnover.,45,45
15:42,269,Andrew Rowsey Steal.,45,45
15:33,269,Andrew Rowsey missed Jumper.,45,45
15:33,2724,Austin Reaves Defensive Rebound.,45,45
15:31,269,Foul on Sacar Anim.,45,45
15:31,2724,Official TV Timeout,45,45
15:12,2724,Conner Frankamp missed Three Point Jumper.,45,45
15:12,269,Matt Heldt Defensive Rebound.,45,45
14:55,269,Markus Howard missed Three Point Jumper.,45,45
14:55,2724,Landry Shamet Defensive Rebound.,45,45
14:44,2724,Darral Willis Jr. made Jumper. Assisted by Landry Shamet.,45,47
14:23,269,Markus Howard missed Three Point Jumper.,45,47
14:23,2724,Darral Willis Jr. Defensive Rebound.,45,47
14:09,2724,Rauno Nurger made Dunk. Assisted by Austin Reaves.,45,49
13:44,269,Sam Hauser missed Three Point Jumper.,45,49
13:44,269,Matt Heldt Offensive Rebound.,45,49
13:34,2724,Foul on Austin Reaves.,45,49
13:30,269,Jamal Cain missed Three Point Jumper.,45,49
13:30,2724,Rashard Kelly Defensive Rebound.,45,49
13:20,269,Foul on Andrew Rowsey.,45,49
13:05,2724,Darral Willis Jr. missed Jumper.,45,49
13:05,269,Theo John Defensive Rebound.,45,49
12:55,269,Andrew Rowsey missed Jumper.,45,49
12:55,2724,Rauno Nurger Defensive Rebound.,45,49
12:44,2724,Rashard Kelly made Layup.,45,51
12:15,2724,Foul on Austin Reaves.,45,51
12:15,269,Andrew Rowsey made Free Throw.,46,51
12:15,269,Andrew Rowsey made Free Throw.,47,51
12:15,269,Andrew Rowsey made Free Throw.,48,51
11:59,2724,Rauno Nurger made Three Point Jumper. Assisted by Rashard Kelly.,48,54
11:42,269,Jamal Cain missed Three Point Jumper.,48,54
11:42,2724,Wichita State Defensive Rebound.,48,54
11:38,2724,Official TV Timeout,48,54
11:11,2724,Darral Willis Jr. made Dunk. Assisted by Rashard Kelly.,48,56
10:56,269,Markus Howard missed Three Point Jumper.,48,56
10:56,2724,Austin Reaves Defensive Rebound.,48,56
10:49,2724,Austin Reaves made Jumper.,48,58
10:35,269,Marquette  Timeout,48,58
10:20,269,Sam Hauser missed Jumper.,48,58
10:20,2724,Darral Willis Jr. Block.,48,58
10:20,2724,Rashard Kelly Defensive Rebound.,48,58
10:14,2724,Conner Frankamp Turnover.,48,58
9:58,269,Andrew Rowsey made Three Point Jumper. Assisted by Markus Howard.,51,58
9:38,2724,Conner Frankamp made Three Point Jumper. Assisted by Rashard Kelly.,51,61
9:08,269,Markus Howard missed Layup.,51,61
9:08,2724,Rauno Nurger Defensive Rebound.,51,61
9:00,2724,Landry Shamet made Layup.,51,63
8:38,2724,Foul on Rauno Nurger.,51,63
8:33,269,Markus Howard made Layup.,53,63
8:33,2724,Foul on Darral Willis Jr..,53,63
8:33,269,Markus Howard made Free Throw.,54,63
8:25,2724,Conner Frankamp missed Three Point Jumper.,54,63
8:25,269,Greg Elliott Defensive Rebound.,54,63
8:15,269,Markus Howard made Three Point Jumper.,57,63
7:43,2724,Conner Frankamp made Three Point Jumper.,57,66
7:22,269,Sam Hauser missed Three Point Jumper.,57,66
7:22,2724,Landry Shamet Defensive Rebound.,57,66
6:59,2724,Zach Brown Turnover.,57,66
6:59,2724,Official TV Timeout,57,66
6:46,269,Markus Howard missed Three Point Jumper.,57,66
6:46,2724,Darral Willis Jr. Defensive Rebound.,57,66
6:13,2724,Conner Frankamp missed Three Point Jumper.,57,66
6:13,269,Andrew Rowsey Defensive Rebound.,57,66
6:05,269,Andrew Rowsey missed Jumper.,57,66
6:05,2724,Rashard Kelly Block.,57,66
6:05,2724,Conner Frankamp Defensive Rebound.,57,66
6:01,2724,Landry Shamet missed Three Point Jumper.,57,66
6:01,269,Andrew Rowsey Defensive Rebound.,57,66
5:52,269,Haanif Cheatham missed Three Point Jumper.,57,66
5:52,2724,Landry Shamet Defensive Rebound.,57,66
5:31,269,Foul on Haanif Cheatham.,57,66
5:31,2724,Shaquille Morris made Free Throw.,57,67
5:31,2724,Shaquille Morris made Free Throw.,57,68
5:14,269,Haanif Cheatham made Layup.,59,68
4:46,269,Foul on Matt Heldt.,59,68
4:40,2724,Austin Reaves missed Jumper.,59,68
4:40,269,Marquette Defensive Rebound.,59,68
4:21,269,Andrew Rowsey missed Three Point Jumper.,59,68
4:21,2724,Landry Shamet Defensive Rebound.,59,68
4:00,2724,Rashard Kelly missed Jumper.,59,68
4:00,269,Matt Heldt Defensive Rebound.,59,68
3:58,2724,Foul on Zach Brown.,59,68
3:58,2724,Official TV Timeout,59,68
3:58,269,Matt Heldt made Free Throw.,60,68
3:58,269,Matt Heldt made Free Throw.,61,68
3:52,2724,Landry Shamet made Layup. Assisted by Rashard Kelly.,61,70
3:25,269,Andrew Rowsey made Jumper.,63,70
3:06,269,Foul on Matt Heldt.,63,70
3:06,2724,Landry Shamet made Free Throw.,63,71
3:06,2724,Landry Shamet made Free Throw.,63,72
2:49,269,Haanif Cheatham missed Layup.,63,72
2:49,2724,Shaquille Morris Block.,63,72
2:49,2724,Rashard Kelly Defensive Rebound.,63,72
2:43,2724,Jump Ball won by Wichita State,63,72
2:28,2724,Shaquille Morris missed Jumper.,63,72
2:28,2724,Rashard Kelly Offensive Rebound.,63,72
2:14,2724,Landry Shamet made Layup. Assisted by Shaquille Morris.,63,74
2:04,269,Andrew Rowsey missed Three Point Jumper.,63,74
2:04,2724,Austin Reaves Defensive Rebound.,63,74
1:57,2724,Austin Reaves made Layup.,63,76
1:45,269,Sam Hauser missed Three Point Jumper.,63,76
1:45,2724,Austin Reaves Defensive Rebound.,63,76
1:39,269,Foul on Andrew Rowsey.,63,76
1:23,2724,Rashard Kelly Turnover.,63,76
1:23,269,Markus Howard Steal.,63,76
1:16,269,Markus Howard missed Jumper.,63,76
1:16,2724,Rauno Nurger Defensive Rebound.,63,76
1:09,2724,Landry Shamet missed Dunk.,63,76
1:09,2724,Austin Reaves Offensive Rebound.,63,76
1:05,2724,Wichita State  Timeout,63,76
0:54,269,Foul on Andrew Rowsey.,63,76
0:54,2724,Landry Shamet made Free Throw.,63,77
0:54,2724,Landry Shamet made Free Throw.,63,78
0:51,2724,Foul on Austin Reaves.,63,78
0:51,269,Andrew Rowsey missed Free Throw.,63,78
0:43,2724,Shaquille Morris Defensive Rebound.,63,78
0:32,2724,Landry Shamet made Jumper.,63,80
0:22,269,Andrew Rowsey made Three Point Jumper.,66,80
0:00,2724,End of Game,66,80
