SE Louisiana,2309,Kent State,2545
1:11,2309,Jalen Avery Turnover.,24,34
1:04,2545,Marlain Veal Steal.,24,34
0:48,2309,Foul on Desmond Ridenour.,24,34
0:48,2545,Marlain Veal missed Free Throw.,24,34
0:48,2545,SE Louisiana Deadball Team Rebound.,24,34
0:48,2545,Marlain Veal missed Free Throw.,24,34
0:48,2309,Desmond Ridenour Defensive Rebound.,24,34
0:41,2309,Kent State  Timeout,24,34
0:38,2545,Foul on Marlain Veal.,24,34
0:33,2309,Jalen Avery missed Three Point Jumper.,24,34
0:33,2545,Marlain Veal Defensive Rebound.,24,34
0:06,2309,Foul on Desmond Ridenour.,24,34
0:06,2545,Marlain Veal made Free Throw.,25,34
0:06,2545,Marlain Veal made Free Throw.,26,34
0:02,2309,Jaylin Walker missed Three Point Jumper.,26,34
0:02,2545,Joshua Filmore Defensive Rebound.,26,34
0:00,2309,End of 1st half,26,34
19:51,2545,Foul on James Currington.,26,34
19:44,2309,Adonis De La Rosa Turnover.,26,34
19:18,2545,Jabbar Singleton missed Three Point Jumper.,26,34
19:18,2545,Keith Charleston Offensive Rebound.,26,34
19:12,2545,Keith Charleston missed Layup.,26,34
19:12,2545,James Currington Offensive Rebound.,26,34
18:53,2545,Marlain Veal Turnover.,26,34
18:25,2309,Kevin Zabo missed Three Point Jumper.,26,34
18:25,2545,Marlain Veal Defensive Rebound.,26,34
18:08,2545,Keith Charleston made Three Point Jumper. Assisted by Moses Greenwood.,29,34
17:49,2545,Foul on Moses Greenwood.,29,34
17:49,2309,BJ Duling missed Free Throw.,29,34
17:49,2309,Kent State Deadball Team Rebound.,29,34
17:49,2309,BJ Duling made Free Throw.,29,35
17:34,2545,Marlain Veal Turnover.,29,35
17:12,2309,Jaylin Walker missed Jumper.,29,35
17:12,2545,Keith Charleston Defensive Rebound.,29,35
16:40,2545,Marlain Veal made Jumper.,31,35
16:17,2309,Akiean Frederick missed Jumper.,31,35
16:17,2545,Keith Charleston Defensive Rebound.,31,35
16:08,2545,Keith Charleston Turnover.,31,35
16:07,2309,BJ Duling Steal.,31,35
15:57,2309,Jaylin Walker made Jumper.,31,37
15:35,2545,Moses Greenwood missed Layup.,31,37
15:35,2545,Moses Greenwood Offensive Rebound.,31,37
15:32,2309,Official TV Timeout,31,37
15:26,2545,Marlain Veal made Layup.,33,37
15:26,2309,Foul on Mitch Peterson.,33,37
15:26,2545,Marlain Veal made Free Throw.,34,37
15:12,2309,Jaylin Walker made Jumper.,34,39
14:45,2545,Marlain Veal made Three Point Jumper.,37,39
14:23,2309,Jaylin Walker Turnover.,37,39
14:21,2545,Jabbar Singleton Steal.,37,39
14:19,2545,Jabbar Singleton made Layup.,39,39
14:10,2309,Kent State  Timeout,39,39
14:03,2309,Adonis De La Rosa missed Layup.,39,39
14:03,2309,Jaylin Walker Offensive Rebound.,39,39
13:58,2309,Jaylin Walker missed Dunk.,39,39
13:58,2545,Marlain Veal Defensive Rebound.,39,39
13:41,2545,Eddy Polanco made Three Point Jumper. Assisted by Marlain Veal.,42,39
13:31,2545,Foul on Marlain Veal.,42,39
13:30,2309,Jaylin Walker made Three Point Jumper. Assisted by Jalen Avery.,42,42
13:08,2545,Eddy Polanco Turnover.,42,42
13:08,2545,Foul on Eddy Polanco.,42,42
13:00,2309,Adonis De La Rosa missed Layup.,42,42
13:00,2545,Moses Greenwood Defensive Rebound.,42,42
12:53,2545,Jordan Capps Turnover.,42,42
12:35,2309,Jaylin Walker missed Three Point Jumper.,42,42
12:35,2309,Mitch Peterson Offensive Rebound.,42,42
12:30,2545,Foul on Jordan Capps.,42,42
12:30,2309,Mitch Peterson missed Free Throw.,42,42
12:30,2309,Kent State Deadball Team Rebound.,42,42
12:30,2309,Mitch Peterson made Free Throw.,42,43
12:11,2545,Marlain Veal made Jumper.,44,43
12:08,2545,SE Louisiana  Timeout,44,43
11:47,2309,Mitch Peterson missed Three Point Jumper.,44,43
11:47,2309,Adonis De La Rosa Offensive Rebound.,44,43
11:42,2309,Adonis De La Rosa made Layup.,44,45
11:20,2545,Moses Greenwood Turnover.,44,45
10:55,2309,Mitch Peterson made Layup. Assisted by Kevin Zabo.,44,47
10:36,2545,Moses Greenwood missed Layup.,44,47
10:36,2309,Adonis De La Rosa Block.,44,47
10:35,2309,Kevin Zabo Defensive Rebound.,44,47
10:31,2309,Kevin Zabo Turnover.,44,47
10:30,2545,Marlain Veal Steal.,44,47
10:06,2309,Jalen Avery missed Jumper.,44,47
10:06,2309,Adonis De La Rosa Offensive Rebound.,44,47
10:03,2545,Foul on Moses Greenwood.,44,47
10:03,2309,Adonis De La Rosa made Free Throw.,44,48
10:03,2309,Adonis De La Rosa made Free Throw.,44,49
9:42,2545,Joshua Filmore missed Three Point Jumper.,44,49
9:42,2309,Mitch Peterson Defensive Rebound.,44,49
9:33,2309,Jaylin Walker missed Three Point Jumper.,44,49
9:33,2309,Adonis De La Rosa Offensive Rebound.,44,49
9:28,2309,Adonis De La Rosa Turnover.,44,49
9:21,2545,Eddy Polanco missed Three Point Jumper.,44,49
9:21,2545,Eddy Polanco Offensive Rebound.,44,49
9:17,2545,Eddy Polanco made Layup.,46,49
8:46,2309,Kevin Zabo missed Three Point Jumper.,46,49
8:46,2545,Eddy Polanco Defensive Rebound.,46,49
8:34,2545,Marlain Veal missed Three Point Jumper.,46,49
8:34,2545,Eddy Polanco Offensive Rebound.,46,49
8:28,2545,Eddy Polanco Turnover.,46,49
8:27,2309,Kevin Zabo Steal.,46,49
8:25,2309,Jalen Avery missed Three Point Jumper.,46,49
8:25,2545,Keith Charleston Defensive Rebound.,46,49
8:00,2309,Foul on Mitch Peterson.,46,49
8:00,2309,Official TV Timeout,46,49
7:50,2309,Foul on Danny Pippen.,46,49
7:50,2545,Keith Charleston made Free Throw.,47,49
7:50,2545,Keith Charleston missed Free Throw.,47,49
7:50,2309,Kent State Defensive Rebound.,47,49
7:40,2309,BJ Duling missed Layup.,47,49
7:40,2545,Keith Charleston Block.,47,49
7:35,2309,Jalen Avery Offensive Rebound.,47,49
7:31,2545,Foul on Joshua Filmore.,47,49
7:31,2309,Kevin Zabo missed Free Throw.,47,49
7:31,2545,SE Louisiana Deadball Team Rebound.,47,49
7:25,2309,Foul on Danny Pippen.,47,49
7:13,2545,Eddy Polanco missed Three Point Jumper.,47,49
7:13,2309,Danny Pippen Defensive Rebound.,47,49
6:49,2309,BJ Duling Turnover.,47,49
6:48,2545,James Currington Steal.,47,49
6:47,2309,Foul on Kevin Zabo.,47,49
6:31,2545,Marlain Veal Turnover.,47,49
6:30,2309,Desmond Ridenour Steal.,47,49
6:24,2309,Desmond Ridenour made Layup.,47,51
6:14,2545,Keith Charleston made Layup.,49,51
5:53,2309,BJ Duling missed Layup.,49,51
5:53,2545,Keith Charleston Defensive Rebound.,49,51
5:31,2545,Keith Charleston missed Layup.,49,51
5:31,2309,Danny Pippen Block.,49,51
5:26,2545,James Currington made Layup.,51,51
5:26,2545,James Currington Offensive Rebound.,51,51
5:25,2309,Foul on Jaylin Walker.,51,51
5:25,2545,James Currington made Free Throw.,52,51
5:17,2309,Desmond Ridenour Turnover.,52,51
5:15,2545,Marlain Veal Steal.,52,51
5:14,2545,Marlain Veal made Layup.,54,51
5:14,2309,Kent State  Timeout,54,51
4:57,2309,Kevin Zabo made Three Point Jumper. Assisted by Jaylin Walker.,54,54
4:38,2545,James Currington made Jumper. Assisted by Joshua Filmore.,56,54
4:21,2309,Jaylin Walker made Jumper.,56,56
4:02,2545,Marlain Veal made Layup.,58,56
3:35,2545,Foul on Eddy Polanco.,58,56
3:35,2309,Official TV Timeout,58,56
3:35,2309,Adonis De La Rosa made Free Throw.,58,57
3:35,2309,Adonis De La Rosa made Free Throw.,58,58
3:11,2545,Joshua Filmore missed Three Point Jumper.,58,58
3:11,2545,Keith Charleston Offensive Rebound.,58,58
3:04,2309,Foul on Kevin Zabo.,58,58
3:04,2545,Marlain Veal made Free Throw.,59,58
3:04,2545,Marlain Veal made Free Throw.,60,58
2:36,2309,Kevin Zabo missed Three Point Jumper.,60,58
2:36,2545,Joshua Filmore Defensive Rebound.,60,58
2:19,2545,Keith Charleston missed Three Point Jumper.,60,58
2:19,2309,Adonis De La Rosa Defensive Rebound.,60,58
2:17,2545,Foul on James Currington.,60,58
2:17,2309,Adonis De La Rosa made Free Throw.,60,59
2:17,2309,Adonis De La Rosa made Free Throw.,60,60
2:01,2545,Joshua Filmore missed Three Point Jumper.,60,60
2:01,2309,Adonis De La Rosa Defensive Rebound.,60,60
1:52,2545,Foul on Marlain Veal.,60,60
1:52,2309,Jaylin Walker made Free Throw.,60,61
1:52,2309,Jaylin Walker made Free Throw.,60,62
1:43,2545,Eddy Polanco made Three Point Jumper. Assisted by Jabbar Singleton.,63,62
1:39,2309,Foul on Mitch Peterson.,63,62
1:39,2545,Eddy Polanco made Free Throw.,64,62
1:39,2545,SE Louisiana  Timeout,64,62
1:14,2545,Foul on Moses Greenwood.,64,62
1:14,2309,Jalen Avery made Free Throw.,64,63
1:14,2309,Jalen Avery made Free Throw.,64,64
1:05,2545,Eddy Polanco made Three Point Jumper. Assisted by Jabbar Singleton.,67,64
0:53,2309,Jalen Avery missed Layup.,67,64
0:53,2545,Keith Charleston Block.,67,64
0:51,2545,Keith Charleston Defensive Rebound.,67,64
0:45,2309,Foul on Desmond Ridenour.,67,64
0:45,2545,Eddy Polanco made Free Throw.,68,64
0:45,2545,Eddy Polanco made Free Throw.,69,64
0:37,2309,Jaylin Walker missed Three Point Jumper.,69,64
0:37,2309,Jaylin Walker Offensive Rebound.,69,64
0:30,2309,Jaylin Walker made Jumper.,69,66
0:30,2309,Kent State  Timeout,69,66
0:21,2309,Foul on Desmond Ridenour.,69,66
0:21,2545,Jabbar Singleton missed Free Throw.,69,66
0:21,2545,SE Louisiana Deadball Team Rebound.,69,66
0:21,2545,Jabbar Singleton missed Free Throw.,69,66
0:21,2309,Danny Pippen Defensive Rebound.,69,66
0:16,2309,Jaylin Walker missed Three Point Jumper.,69,66
0:16,2309,Danny Pippen Offensive Rebound.,69,66
0:06,2309,Kevin Zabo missed Three Point Jumper.,69,66
0:06,2545,Keith Charleston Defensive Rebound.,69,66
0:04,2309,Foul on Jalen Avery.,69,66
