Pittsburgh,197,Oklahoma State,221
4:12,197,Jump Ball won by Oklahoma State,25,30
4:12,197,Thomas Dziagwa Turnover.,25,30
4:12,221,Marcus Carr Steal.,25,30
4:02,197,Foul on Cameron McGriff.,25,30
4:02,221,Kene Chukwuka missed Free Throw.,25,30
4:02,197,Lindy Waters III Defensive Rebound.,25,30
3:53,197,Tavarius Shine made Three Point Jumper. Assisted by Kendall Smith.,25,33
3:37,221,Shamiel Stevenson missed Three Point Jumper.,25,33
3:37,197,Thomas Dziagwa Defensive Rebound.,25,33
3:19,197,Kendall Smith Turnover.,25,33
3:19,197,Official TV Timeout,25,33
3:11,221,Jared Wilson-Frame made Three Point Jumper. Assisted by Khameron Davis.,28,33
2:49,197,Tavarius Shine missed Three Point Jumper.,28,33
2:49,221,Marcus Carr Defensive Rebound.,28,33
2:37,221,Marcus Carr Turnover.,28,33
2:23,197,Jeffrey Carroll missed Jumper.,28,33
2:23,221,Shamiel Stevenson Defensive Rebound.,28,33
2:07,221,Jared Wilson-Frame missed Jumper.,28,33
2:07,197,Jeffrey Carroll Defensive Rebound.,28,33
1:53,197,Lindy Waters III missed Jumper.,28,33
1:53,197,Jeffrey Carroll Offensive Rebound.,28,33
1:41,221,Foul on Shamiel Stevenson.,28,33
1:41,197,Kendall Smith made Free Throw.,28,34
1:41,197,Kendall Smith made Free Throw.,28,35
1:30,221,Khameron Davis made Layup. Assisted by Marcus Carr.,30,35
1:12,197,Kendall Smith missed Jumper.,30,35
1:12,197,Oklahoma State Offensive Rebound.,30,35
1:03,197,Jeffrey Carroll missed Three Point Jumper.,30,35
1:03,221,Jonathan Milligan Defensive Rebound.,30,35
0:53,221,Shamiel Stevenson Turnover.,30,35
0:51,197,Oklahoma State  Timeout,30,35
0:34,221,Foul on Jared Wilson-Frame.,30,35
0:34,197,Tavarius Shine made Free Throw.,30,36
0:34,197,Tavarius Shine missed Free Throw.,30,36
0:34,221,Ryan Luther Defensive Rebound.,30,36
0:07,221,Jonathan Milligan missed Three Point Jumper.,30,36
0:07,221,Marcus Carr Offensive Rebound.,30,36
0:02,221,Marcus Carr made Jumper.,32,36
0:00,197,End of 1st half,32,36
20:00,221,Jump Ball won by Pittsburgh,32,36
19:49,197,Foul on Tavarius Shine.,32,36
19:34,221,Jared Wilson-Frame Turnover.,32,36
19:14,197,Mitchell Solomon missed Three Point Jumper.,32,36
19:12,221,Pittsburgh Offensive Rebound.,32,36
19:12,221,Foul on Ryan Luther.,32,36
19:07,197,Tavarius Shine made Jumper. Assisted by Kendall Smith.,32,38
18:50,197,Foul on Lindy Waters III.,32,38
18:37,221,Marcus Carr made Jumper.,34,38
18:22,197,Tavarius Shine Turnover.,34,38
18:22,221,Marcus Carr Steal.,34,38
18:17,221,Ryan Luther made Dunk. Assisted by Marcus Carr.,36,38
18:05,197,Oklahoma State  Timeout,36,38
18:01,221,Foul on Jared Wilson-Frame.,36,38
17:55,197,Mitchell Solomon Turnover.,36,38
17:45,221,Ryan Luther missed Three Point Jumper.,36,38
17:45,197,Kendall Smith Defensive Rebound.,36,38
17:17,221,Foul on Ryan Luther.,36,38
17:04,197,Kendall Smith missed Jumper.,36,38
17:04,221,Ryan Luther Defensive Rebound.,36,38
16:55,221,Jonathan Milligan made Layup. Assisted by Khameron Davis.,38,38
16:31,197,Kendall Smith missed Three Point Jumper.,38,38
16:31,197,Jeffrey Carroll Offensive Rebound.,38,38
16:18,197,Jeffrey Carroll missed Layup.,38,38
16:18,197,Lucas N'Guessan Offensive Rebound.,38,38
16:18,197,Jeffrey Carroll missed Layup.,38,38
16:18,197,Lucas N'Guessan Offensive Rebound.,38,38
16:13,197,Jeffrey Carroll made Layup.,38,40
15:58,197,Official TV Timeout,38,40
15:56,221,Jared Wilson-Frame missed Three Point Jumper.,38,40
15:56,197,Thomas Dziagwa Defensive Rebound.,38,40
15:48,197,Brandon Averette missed Layup.,38,40
15:48,221,Marcus Carr Block.,38,40
15:48,221,Pittsburgh Defensive Rebound.,38,40
15:46,197,Foul on Mitchell Solomon.,38,40
15:36,221,Kene Chukwuka missed Three Point Jumper.,38,40
15:36,197,Oklahoma State Defensive Rebound.,38,40
15:22,197,Thomas Dziagwa missed Three Point Jumper.,38,40
15:22,197,Cameron McGriff Offensive Rebound.,38,40
15:20,221,Foul on Ryan Luther.,38,40
15:18,197,Thomas Dziagwa made Three Point Jumper. Assisted by Jeffrey Carroll.,38,43
15:02,221,Marcus Carr missed Jumper.,38,43
15:02,197,Jeffrey Carroll Defensive Rebound.,38,43
14:44,197,Mitchell Solomon missed Three Point Jumper.,38,43
14:44,221,Ryan Luther Defensive Rebound.,38,43
14:29,221,Ryan Luther Turnover.,38,43
14:15,197,Brandon Averette Turnover.,38,43
14:15,221,Jared Wilson-Frame Steal.,38,43
14:09,221,Jared Wilson-Frame made Dunk.,40,43
13:52,197,Jeffrey Carroll Turnover.,40,43
13:52,221,Jared Wilson-Frame Steal.,40,43
13:47,221,Jared Wilson-Frame made Dunk. Assisted by Khameron Davis.,42,43
13:38,197,Jeffrey Carroll made Three Point Jumper. Assisted by Brandon Averette.,42,46
13:15,221,Jared Wilson-Frame Turnover.,42,46
13:15,197,Cameron McGriff Steal.,42,46
13:10,197,Cameron McGriff made Layup.,42,48
12:51,221,Jared Wilson-Frame missed Layup.,42,48
12:51,197,Mitchell Solomon Defensive Rebound.,42,48
12:42,197,Thomas Dziagwa made Three Point Jumper. Assisted by Jeffrey Carroll.,42,51
12:42,197,Official TV Timeout,42,51
12:42,221,Pittsburgh  Timeout,42,51
12:33,221,Kene Chukwuka made Three Point Jumper. Assisted by Marcus Carr.,45,51
12:24,197,Lindy Waters III missed Three Point Jumper.,45,51
12:24,197,Cameron McGriff Offensive Rebound.,45,51
12:10,221,Foul on Shamiel Stevenson.,45,51
12:05,197,Lucas N'Guessan made Layup. Assisted by Lindy Waters III.,45,53
11:47,197,Foul on Brandon Averette.,45,53
11:47,197,Official TV Timeout,45,53
11:36,221,Jared Wilson-Frame missed Layup.,45,53
11:36,221,Pittsburgh Offensive Rebound.,45,53
11:13,221,Marcus Carr missed Layup.,45,53
11:13,197,Lucas N'Guessan Block.,45,53
11:13,197,Lindy Waters III Defensive Rebound.,45,53
11:02,197,Thomas Dziagwa missed Three Point Jumper.,45,53
11:02,221,Kene Chukwuka Defensive Rebound.,45,53
10:54,221,Jared Wilson-Frame missed Three Point Jumper.,45,53
10:54,221,Kene Chukwuka Offensive Rebound.,45,53
10:36,221,Kene Chukwuka missed Three Point Jumper.,45,53
10:36,197,Cameron McGriff Defensive Rebound.,45,53
10:14,197,Cameron McGriff missed Three Point Jumper.,45,53
10:14,221,Kene Chukwuka Defensive Rebound.,45,53
10:02,221,Kene Chukwuka missed Three Point Jumper.,45,53
10:02,197,Lucas N'Guessan Defensive Rebound.,45,53
9:36,221,Foul on Jonathan Milligan.,45,53
9:29,197,Lindy Waters III missed Jumper.,45,53
9:29,221,Ryan Luther Defensive Rebound.,45,53
9:08,221,Kene Chukwuka made Layup. Assisted by Khameron Davis.,47,53
8:41,221,Foul on Kene Chukwuka.,47,53
8:41,197,Foul on Jeffrey Carroll.,47,53
8:41,197,Lucas N'Guessan Turnover.,47,53
8:41,197,Foul on Lucas N'Guessan.,47,53
8:28,221,Jared Wilson-Frame Turnover.,47,53
8:28,197,Lindy Waters III Steal.,47,53
8:24,197,Jeffrey Carroll missed Three Point Jumper.,47,53
8:24,221,Jonathan Milligan Defensive Rebound.,47,53
8:09,221,Shamiel Stevenson made Layup. Assisted by Marcus Carr.,49,53
7:41,197,Lindy Waters III missed Jumper.,49,53
7:41,197,Kendall Smith Offensive Rebound.,49,53
7:35,197,Kendall Smith missed Jumper.,49,53
7:35,221,Ryan Luther Defensive Rebound.,49,53
7:25,221,Ryan Luther missed Layup.,49,53
7:25,197,Lindy Waters III Defensive Rebound.,49,53
7:18,197,Jeffrey Carroll made Layup.,49,55
7:02,221,Ryan Luther missed Three Point Jumper.,49,55
7:02,197,Lindy Waters III Defensive Rebound.,49,55
6:48,197,Tavarius Shine missed Three Point Jumper.,49,55
6:48,221,Khameron Davis Defensive Rebound.,49,55
6:38,221,Ryan Luther missed Layup.,49,55
6:38,197,Lindy Waters III Defensive Rebound.,49,55
6:33,197,Jeffrey Carroll made Layup. Assisted by Lindy Waters III.,49,57
6:28,221,Pittsburgh  Timeout,49,57
6:03,197,Foul on Mitchell Solomon.,49,57
6:03,221,Kene Chukwuka missed Free Throw.,49,57
6:03,221,Pittsburgh Deadball Team Rebound.,49,57
6:03,221,Kene Chukwuka made Free Throw.,50,57
5:46,197,Brandon Averette missed Three Point Jumper.,50,57
5:46,221,Kene Chukwuka Defensive Rebound.,50,57
5:37,221,Foul on Kene Chukwuka.,50,57
5:37,221,Kene Chukwuka Turnover.,50,57
5:11,197,Brandon Averette missed Jumper.,50,57
5:11,221,Jared Wilson-Frame Defensive Rebound.,50,57
5:00,197,Foul on Cameron McGriff.,50,57
5:00,221,Jared Wilson-Frame missed Free Throw.,50,57
5:00,221,Pittsburgh Deadball Team Rebound.,50,57
5:00,221,Jared Wilson-Frame made Free Throw.,51,57
4:32,197,Cameron McGriff missed Three Point Jumper.,51,57
4:32,197,Jeffrey Carroll Offensive Rebound.,51,57
4:07,197,Kendall Smith Turnover.,51,57
4:07,221,Ryan Luther Steal.,51,57
4:02,221,Jump Ball won by Pittsburgh,51,57
3:58,197,Foul on Mitchell Solomon.,51,57
3:58,197,Official TV Timeout,51,57
3:58,221,Ryan Luther made Free Throw.,52,57
3:58,221,Ryan Luther missed Free Throw.,52,57
3:58,197,Tavarius Shine Defensive Rebound.,52,57
3:39,197,Tavarius Shine missed Layup.,52,57
3:39,197,Jeffrey Carroll Offensive Rebound.,52,57
3:31,197,Mitchell Solomon made Jumper. Assisted by Kendall Smith.,52,59
3:02,197,Foul on Jeffrey Carroll.,52,59
3:02,221,Khameron Davis made Free Throw.,53,59
3:02,221,Khameron Davis made Free Throw.,54,59
2:46,197,Jeffrey Carroll made Layup. Assisted by Tavarius Shine.,54,61
2:32,221,Jonathan Milligan made Layup. Assisted by Marcus Carr.,56,61
2:01,197,Kendall Smith missed Three Point Jumper.,56,61
2:01,221,Ryan Luther Defensive Rebound.,56,61
1:51,221,Shamiel Stevenson made Layup. Assisted by Marcus Carr.,58,61
1:24,221,Foul on Khameron Davis.,58,61
1:24,197,Jeffrey Carroll made Free Throw.,58,62
1:24,197,Jeffrey Carroll made Free Throw.,58,63
1:16,221,Shamiel Stevenson made Dunk. Assisted by Marcus Carr.,60,63
0:57,197,Jeffrey Carroll made Jumper. Assisted by Brandon Averette.,60,65
0:57,221,Foul on Shamiel Stevenson.,60,65
0:57,197,Jeffrey Carroll made Free Throw.,60,66
0:57,197,Oklahoma State  Timeout,60,66
0:44,221,Jared Wilson-Frame made Three Point Jumper. Assisted by Jonathan Milligan.,63,66
0:42,221,Pittsburgh  Timeout,63,66
0:41,221,Foul on Shamiel Stevenson.,63,66
0:41,197,Brandon Averette made Free Throw.,63,67
0:41,197,Brandon Averette made Free Throw.,63,68
0:26,221,Jonathan Milligan missed Layup.,63,68
0:26,197,Lindy Waters III Block.,63,68
0:26,221,Ryan Luther Offensive Rebound.,63,68
0:16,221,Ryan Luther made Layup.,65,68
0:15,221,Foul on Jonathan Milligan.,65,68
0:15,197,Kendall Smith made Free Throw.,65,69
0:15,197,Kendall Smith missed Free Throw.,65,69
0:15,197,Lindy Waters III Offensive Rebound.,65,69
0:14,221,Foul on Jared Wilson-Frame.,65,69
0:14,197,Lindy Waters III made Free Throw.,65,70
0:14,197,Lindy Waters III made Free Throw.,65,71
0:09,221,Marcus Carr made Layup.,67,71
0:09,197,Oklahoma State  Timeout,67,71
0:06,221,Foul on Marcus Carr.,67,71
0:06,197,Jeffrey Carroll made Free Throw.,67,72
0:06,197,Jeffrey Carroll made Free Throw.,67,73
0:02,221,Marcus Carr missed Three Point Jumper.,67,73
0:02,197,Lindy Waters III Defensive Rebound.,67,73
0:00,197,End of Game,67,73
