Towson,219,Pennsylvania,119
11:30,119,Mike Morsell Turnover.,55,50
11:10,219,Ryan Betley missed Three Point Jumper.,55,50
11:10,219,Darnell Foreman Offensive Rebound.,55,50
11:01,219,Darnell Foreman made Layup.,55,52
10:41,119,Eddie Keith II missed Jumper.,55,52
10:41,219,Max Rothschild Defensive Rebound.,55,52
10:38,119,Foul on Alex Thomas.,55,52
10:37,219,Ryan Betley Turnover.,55,52
10:34,119,Brian Starr Steal.,55,52
10:26,119,Alex Thomas Turnover.,55,52
10:26,119,Foul on Alex Thomas.,55,52
10:06,219,Darnell Foreman missed Jumper.,55,52
10:06,119,Justin Gorham Defensive Rebound.,55,52
9:53,219,Foul on Caleb Wood.,55,52
9:53,119,Eddie Keith II missed Free Throw.,55,52
9:53,119,Towson Deadball Team Rebound.,55,52
9:53,119,Eddie Keith II made Free Throw.,56,52
9:31,219,Antonio Woods made Jumper. Assisted by Max Rothschild.,56,54
9:08,219,Foul on Antonio Woods.,56,54
9:08,119,Brian Starr made Free Throw.,57,54
9:08,119,Brian Starr made Free Throw.,58,54
8:53,119,Foul on Mike Morsell.,58,54
8:53,219,Max Rothschild made Free Throw.,58,55
8:53,219,Max Rothschild missed Free Throw.,58,55
8:53,119,Justin Gorham Defensive Rebound.,58,55
8:38,119,Mike Morsell missed Jumper.,58,55
8:38,219,AJ Brodeur Defensive Rebound.,58,55
8:24,219,Max Rothschild Turnover.,58,55
8:23,119,Deshaun Morman Steal.,58,55
8:13,119,Justin Gorham missed Jumper.,58,55
8:13,119,Mike Morsell Offensive Rebound.,58,55
8:06,119,Mike Morsell made Layup.,60,55
7:39,219,Antonio Woods missed Three Point Jumper.,60,55
7:39,219,Max Rothschild Offensive Rebound.,60,55
7:24,119,Foul on Justin Gorham.,60,55
7:24,219,Official TV Timeout,60,55
7:17,119,Foul on Jordan McNeil.,60,55
7:01,119,Foul on Jordan McNeil.,60,55
7:01,219,Antonio Woods missed Free Throw.,60,55
7:01,119,Zane Martin Defensive Rebound.,60,55
6:48,119,Eddie Keith II missed Jumper.,60,55
6:48,119,Eddie Keith II Offensive Rebound.,60,55
6:47,219,Foul on Max Rothschild.,60,55
6:47,119,Eddie Keith II made Free Throw.,61,55
6:47,119,Eddie Keith II made Free Throw.,62,55
6:37,119,Foul on Jordan McNeil.,62,55
6:37,219,Darnell Foreman made Free Throw.,62,56
6:37,219,Darnell Foreman missed Free Throw.,62,56
6:37,119,Deshaun Morman Defensive Rebound.,62,56
6:18,119,Zane Martin made Layup. Assisted by Eddie Keith II.,64,56
5:55,119,Foul on Alex Thomas.,64,56
5:55,219,Ryan Betley missed Free Throw.,64,56
5:55,219,Pennsylvania Deadball Team Rebound.,64,56
5:55,219,Ryan Betley made Free Throw.,64,57
5:31,119,Justin Gorham missed Layup.,64,57
5:31,219,Max Rothschild Block.,64,57
5:29,219,Ryan Betley Defensive Rebound.,64,57
5:14,219,Antonio Woods missed Layup.,64,57
5:14,119,Zane Martin Defensive Rebound.,64,57
5:08,119,Zane Martin made Layup.,66,57
4:53,219,Ryan Betley missed Jumper.,66,57
4:53,119,Towson Defensive Rebound.,66,57
4:53,219,Foul on Max Rothschild.,66,57
4:53,119,Justin Gorham made Free Throw.,67,57
4:53,119,Justin Gorham made Free Throw.,68,57
4:47,219,Ryan Betley missed Three Point Jumper.,68,57
4:47,119,Justin Gorham Defensive Rebound.,68,57
4:30,119,Deshaun Morman Turnover.,68,57
4:20,219,Antonio Woods made Layup. Assisted by Ryan Betley.,68,59
3:49,119,Brian Starr missed Jumper.,68,59
3:49,219,AJ Brodeur Defensive Rebound.,68,59
3:41,219,Darnell Foreman missed Layup.,68,59
3:41,219,Darnell Foreman Offensive Rebound.,68,59
3:38,219,Darnell Foreman missed Layup.,68,59
3:38,219,Darnell Foreman Offensive Rebound.,68,59
3:34,219,Darnell Foreman made Layup.,68,61
3:34,119,Towson  Timeout,68,61
3:08,119,Zane Martin made Layup.,70,61
3:08,219,Foul on Darnell Foreman.,70,61
3:08,219,Official TV Timeout,70,61
3:08,119,Zane Martin missed Free Throw.,70,61
3:08,219,Antonio Woods Defensive Rebound.,70,61
2:54,219,Darnell Foreman missed Three Point Jumper.,70,61
2:54,119,Dennis Tunstall Defensive Rebound.,70,61
2:34,219,Foul on AJ Brodeur.,70,61
2:34,119,Zane Martin missed Free Throw.,70,61
2:34,119,Towson Deadball Team Rebound.,70,61
2:34,119,Zane Martin missed Free Throw.,70,61
2:34,219,Ryan Betley Defensive Rebound.,70,61
2:20,119,Foul on Zane Martin.,70,61
2:20,219,Ryan Betley made Free Throw.,70,62
