East-West University,2130,Chicago State,3107
5:29,2130,Montana Byrd made Free Throw.,16,36
5:29,2130,Simeon Henton made Free Throw.,16,37
5:29,2130,Simeon Henton made Free Throw.,16,38
5:17,-1,Cortland Gillespie Turnover.,16,38
5:14,2130,Simeon Henton Steal.,16,38
4:51,-1,Carl Moore missed Jumper.,16,38
4:51,-1,Carl Moore Offensive Rebound.,16,38
4:48,-1,Carl Moore made Dunk.,18,38
4:48,-1,Foul on Markus Johnson.,18,38
4:48,2130,Glen Burns made Free Throw.,18,39
4:48,2130,Glen Burns missed Free Throw.,18,39
4:48,-1,East-West University Defensive Rebound.,18,39
4:36,2130,Foul on Montana Byrd.,18,39
4:36,-1,Carl Moore made Free Throw.,19,39
4:36,-1,Carl Moore made Free Throw.,20,39
4:23,2130,Cameron Bowles missed Layup.,20,39
4:23,-1,Markus Johnson Block.,20,39
4:21,-1,Sherman Carter Defensive Rebound.,20,39
4:18,-1,Carl Moore made Layup. Assisted by Sherman Carter.,22,39
4:04,2130,Fred Sims Jr. missed Three Point Jumper.,22,39
4:04,-1,East-West University Defensive Rebound.,22,39
3:53,-1,Sherman Carter missed Three Point Jumper.,22,39
3:53,2130,Fred Sims Jr. Defensive Rebound.,22,39
3:47,2130,Fred Sims Jr. missed Layup.,22,39
3:47,-1,Carl Moore Block.,22,39
3:47,2130,Chicago State Offensive Rebound.,22,39
3:47,2130,Official TV Timeout,22,39
3:39,2130,Glen Burns made Layup. Assisted by Fred Sims Jr..,22,41
3:24,-1,Carl Moore made Jumper.,24,41
3:11,2130,Glen Burns made Layup.,24,43
2:58,2130,Fred Sims Jr. missed Layup.,24,43
2:58,2130,Jelani Pruitt Offensive Rebound.,24,43
2:50,2130,Fred Sims Jr. missed Layup.,24,43
2:50,-1,East-West University Defensive Rebound.,24,43
2:50,2130,Foul on Jalen Stephens-Holmes.,24,43
2:50,-1,Markus Johnson made Free Throw.,25,43
2:50,-1,Markus Johnson made Free Throw.,26,43
2:32,2130,Jelani Pruitt missed Layup.,26,43
2:32,2130,Jelani Pruitt Offensive Rebound.,26,43
2:29,2130,Jelani Pruitt made Layup.,26,45
2:11,-1,Sherman Carter missed Jumper.,26,45
2:11,2130,Chicago State Defensive Rebound.,26,45
1:57,-1,Foul on Sherman Carter.,26,45
1:57,-1,Cortland Gillespie made Free Throw.,27,45
1:57,-1,Cortland Gillespie made Free Throw.,28,45
1:46,-1,Patrick Rucker made Jumper.,30,45
1:33,2130,Deionte Simmons missed Layup.,30,45
1:33,2130,Chicago State Offensive Rebound.,30,45
1:20,2130,Jelani Pruitt missed Three Point Jumper.,30,45
1:20,2130,Deionte Simmons Offensive Rebound.,30,45
1:17,-1,Foul on Carl Moore.,30,45
1:17,2130,Deionte Simmons made Free Throw.,30,46
1:17,2130,Deionte Simmons made Free Throw.,30,47
1:02,-1,Sherman Carter Turnover.,30,47
1:01,2130,Glen Burns Steal.,30,47
0:58,2130,Fred Sims Jr. made Dunk. Assisted by Glen Burns.,30,49
0:52,-1,Patrick Rucker Turnover.,30,49
0:43,2130,Fred Sims Jr. missed Layup.,30,49
0:43,-1,Markus Johnson Block.,30,49
0:42,-1,East-West University Defensive Rebound.,30,49
0:42,2130,Foul on Fred Sims Jr..,30,49
0:27,2130,Deionte Simmons missed Layup.,30,49
0:27,-1,Patrick Rucker Block.,30,49
0:25,2130,Chicago State Offensive Rebound.,30,49
0:22,2130,Foul on Cameron Bowles.,30,49
0:22,-1,Sherman Carter made Free Throw.,31,49
0:22,-1,Sherman Carter made Free Throw.,32,49
0:04,2130,Rob Shaw missed Layup.,32,49
0:04,2130,Deionte Simmons Offensive Rebound.,32,49
0:02,2130,Deionte Simmons made Layup.,32,51
0:00,2130,End of 1st half,33,49
19:50,-1,Patrick Rucker missed Three Point Jumper.,32,51
19:50,2130,Glen Burns Defensive Rebound.,32,51
19:40,2130,Montana Byrd made Three Point Jumper. Assisted by Jelani Pruitt.,32,54
19:17,-1,Markus Johnson missed Layup.,32,54
19:17,-1,Brian Ashbury Offensive Rebound.,32,54
19:10,-1,Markus Johnson missed Layup.,32,54
19:10,2130,Deionte Simmons Block.,32,54
19:08,-1,Patrick Rucker Offensive Rebound.,32,54
19:05,-1,Patrick Rucker missed Layup.,32,54
19:05,2130,Montana Byrd Block.,32,54
19:03,-1,Brian Ashbury Offensive Rebound.,32,54
19:01,-1,Sherman Carter missed Three Point Jumper.,32,54
19:01,2130,Jelani Pruitt Defensive Rebound.,32,54
18:52,2130,Fred Sims Jr. missed Jumper.,32,54
18:52,-1,Markus Johnson Defensive Rebound.,32,54
18:46,-1,Brian Ashbury missed Layup.,32,54
18:46,-1,East-West University Offensive Rebound.,32,54
18:42,-1,Technical Foul on Patrick Rucker.,32,54
18:42,2130,Fred Sims Jr. made Free Throw.,32,55
18:42,-1,Patrick Rucker Turnover.,32,55
18:41,2130,Fred Sims Jr. missed Free Throw.,32,55
18:40,-1,Eric Spencer Defensive Rebound.,32,55
18:28,2130,Fred Sims Jr. missed Layup.,32,55
18:28,2130,Deionte Simmons Offensive Rebound.,32,55
18:25,2130,Deionte Simmons made Layup.,32,57
18:11,-1,Eric Spencer missed Three Point Jumper.,32,57
18:11,2130,Glen Burns Defensive Rebound.,32,57
18:05,2130,Glen Burns Turnover.,32,57
17:50,2130,Foul on Alex Dubovitskiy.,32,57
17:30,2130,Foul on Deionte Simmons.,32,57
17:30,-1,Sherman Brown made Free Throw.,33,57
17:30,-1,Sherman Brown made Free Throw.,34,57
17:20,2130,Glen Burns Turnover.,34,57
17:19,-1,Sherman Brown Steal.,34,57
17:10,-1,Cortland Gillespie Turnover.,34,57
16:57,-1,Foul on Sherman Brown.,34,57
16:55,-1,Foul on Sherman Brown.,34,57
16:48,-1,Foul on Sherman Brown.,34,57
16:48,-1,Foul on Sherman Brown.,34,57
16:48,-1,Foul on Markus Johnson.,34,57
16:48,-1,Technical Foul on Markus Johnson.,34,57
16:48,-1,Foul on East-West University.,34,57
16:48,-1,Technical Foul on Markus Johnson.,34,57
16:48,-1,Foul on East-West University.,34,57
16:48,2130,Fred Sims Jr. made Free Throw.,34,58
16:48,2130,Fred Sims Jr. made Free Throw.,34,59
16:48,2130,Fred Sims Jr. made Free Throw.,34,60
16:48,2130,Fred Sims Jr. made Free Throw.,34,61
16:44,2130,Fred Sims Jr. missed Jumper.,34,61
16:44,-1,Cortland Gillespie Defensive Rebound.,34,61
16:28,-1,Cortland Gillespie made Jumper.,36,61
16:07,2130,Montana Byrd made Jumper.,36,63
15:55,2130,Foul on Jelani Pruitt.,36,63
15:55,2130,Official TV Timeout,36,63
15:55,-1,Brian Ashbury Turnover.,36,63
15:52,2130,Travon Bell missed Three Point Jumper.,36,63
15:52,2130,Cameron Bowles Offensive Rebound.,36,63
15:39,2130,Anthony Harris missed Layup.,36,63
15:39,2130,Travon Bell Offensive Rebound.,36,63
15:28,2130,Cameron Bowles made Jumper.,36,65
15:13,-1,Cortland Gillespie missed Three Point Jumper.,36,65
15:13,2130,Travon Bell Defensive Rebound.,36,65
15:08,2130,Rob Shaw made Layup. Assisted by Travon Bell.,36,67
14:34,2130,Foul on Jalen Stephens-Holmes.,36,67
14:34,-1,Sherman Carter missed Free Throw.,36,67
14:34,-1,East-West University Deadball Team Rebound.,36,67
14:34,-1,Sherman Carter made Free Throw.,37,67
14:25,2130,Rob Shaw Turnover.,37,67
14:24,-1,Sherman Carter Steal.,37,67
14:21,-1,Cortland Gillespie made Layup. Assisted by Sherman Carter.,39,67
14:14,2130,Anthony Harris made Layup. Assisted by Travon Bell.,39,69
14:00,-1,Cortland Gillespie Turnover.,39,69
