Montana State,2066,Binghamton,147
11:28,2066,Caleb Stewart missed Free Throw.,9,13
11:28,2066,Binghamton Deadball Team Rebound.,9,13
11:28,2066,Caleb Stewart made Free Throw.,9,14
11:08,147,Sam Neumann made Layup. Assisted by Devonte Klines.,11,14
10:53,2066,Caleb Stewart missed Three Point Jumper.,11,14
10:53,147,Zach Green Defensive Rebound.,11,14
10:43,147,Isaac Bonton made Layup.,13,14
10:14,147,Foul on Isaac Bonton.,13,14
10:11,2066,J.C. Show missed Three Point Jumper.,13,14
10:11,147,Keljin Blevins Defensive Rebound.,13,14
10:02,147,Devonte Klines missed Layup.,13,14
10:02,2066,Caleb Stewart Block.,13,14
10:01,2066,Thomas Bruce Defensive Rebound.,13,14
9:57,2066,Caleb Stewart Turnover.,13,14
9:45,147,Harald Frey missed Three Point Jumper.,13,14
9:45,2066,Thomas Bruce Defensive Rebound.,13,14
9:15,2066,Everson Davis missed Three Point Jumper.,13,14
9:15,2066,Caleb Stewart Offensive Rebound.,13,14
9:12,147,Foul on Devonte Klines.,13,14
9:12,2066,Caleb Stewart missed Free Throw.,13,14
9:12,2066,Binghamton Deadball Team Rebound.,13,14
9:12,2066,Caleb Stewart made Free Throw.,13,15
9:11,147,Joe Mvuezolo Jr. Turnover.,13,15
9:10,2066,Everson Davis Steal.,13,15
8:44,2066,Caleb Stewart missed Jumper.,13,15
8:44,147,Tyler Hall Defensive Rebound.,13,15
8:38,147,Joe Mvuezolo Jr. made Layup. Assisted by Tyler Hall.,15,15
8:18,2066,Willie Rodriguez made Layup. Assisted by Thomas Bruce.,15,17
8:03,147,Joe Mvuezolo Jr. missed Three Point Jumper.,15,17
8:03,2066,Willie Rodriguez Defensive Rebound.,15,17
8:01,2066,J.C. Show Turnover.,15,17
8:01,2066,Foul on J.C. Show.,15,17
8:01,147,Konner Frey made Free Throw.,16,17
8:01,147,Konner Frey missed Free Throw.,16,17
8:01,2066,Thomas Bruce Defensive Rebound.,16,17
7:44,2066,Willie Rodriguez Turnover.,16,17
7:44,2066,Official TV Timeout,16,17
7:25,147,Isaac Bonton missed Three Point Jumper.,16,17
7:25,147,Tyler Hall Offensive Rebound.,16,17
7:16,147,Keljin Blevins Turnover.,16,17
6:56,2066,Willie Rodriguez Turnover.,16,17
6:28,147,Joe Mvuezolo Jr. missed Three Point Jumper.,16,17
6:28,147,Keljin Blevins Offensive Rebound.,16,17
6:22,147,Joe Mvuezolo Jr. missed Jumper.,16,17
6:22,2066,Thomas Bruce Block.,16,17
6:21,147,Keljin Blevins Offensive Rebound.,16,17
6:19,147,Isaac Bonton made Three Point Jumper. Assisted by Keljin Blevins.,19,17
6:05,147,Foul on Keljin Blevins.,19,17
5:55,2066,Fard Muhammad made Three Point Jumper. Assisted by Timmy Rose.,19,20
5:36,147,Konner Frey made Jumper. Assisted by Isaac Bonton.,21,20
5:25,2066,Fard Muhammad made Three Point Jumper. Assisted by Timmy Rose.,21,23
5:07,147,Keljin Blevins missed Layup.,21,23
5:07,2066,Tyler Stewart Defensive Rebound.,21,23
4:52,2066,Timmy Rose missed Layup.,21,23
4:52,147,Konner Frey Defensive Rebound.,21,23
4:44,147,Keljin Blevins made Layup. Assisted by Isaac Bonton.,23,23
4:29,2066,Timmy Rose Turnover.,23,23
4:28,147,Konner Frey Steal.,23,23
4:23,147,Tyler Hall made Three Point Jumper.,26,23
4:18,2066,Binghamton  Timeout,26,23
4:05,2066,Thomas Bruce missed Jumper.,26,23
4:05,147,Zach Green Defensive Rebound.,26,23
3:49,147,Joe Mvuezolo Jr. missed Jumper.,26,23
3:49,2066,Thomas Bruce Defensive Rebound.,26,23
3:32,2066,Official TV Timeout,26,23
3:22,147,Foul on Zach Green.,26,23
3:22,2066,J.C. Show made Free Throw.,26,24
3:22,2066,J.C. Show made Free Throw.,26,25
2:56,147,Harald Frey missed Three Point Jumper.,26,25
2:56,147,Tyler Hall Offensive Rebound.,26,25
2:49,147,Tyler Hall Turnover.,26,25
2:39,2066,Fard Muhammad made Three Point Jumper. Assisted by J.C. Show.,26,28
2:10,147,Zach Green missed Jumper.,26,28
2:10,147,Montana State Offensive Rebound.,26,28
1:56,147,Zach Green missed Layup.,26,28
1:56,2066,Thomas Bruce Block.,26,28
1:54,2066,Bobby Ahearn Defensive Rebound.,26,28
1:43,2066,J.C. Show Turnover.,26,28
1:42,147,Harald Frey Steal.,26,28
1:37,147,Harald Frey missed Jumper.,26,28
1:37,2066,Caleb Stewart Block.,26,28
1:35,147,Joe Mvuezolo Jr. Offensive Rebound.,26,28
1:28,147,Keljin Blevins made Jumper.,28,28
1:15,2066,J.C. Show missed Three Point Jumper.,28,28
1:15,147,Harald Frey Defensive Rebound.,28,28
1:08,147,Joe Mvuezolo Jr. Turnover.,28,28
0:55,147,Foul on Sam Neumann.,28,28
0:55,2066,Thomas Bruce missed Free Throw.,28,28
0:55,2066,Fard Muhammad Offensive Rebound.,28,28
0:43,2066,Bobby Ahearn missed Layup.,28,28
0:43,2066,Bobby Ahearn Offensive Rebound.,28,28
0:40,2066,Bobby Ahearn made Layup.,28,30
0:40,147,Foul on Keljin Blevins.,28,30
0:40,2066,Bobby Ahearn made Free Throw.,28,31
0:28,147,Sam Neumann Turnover.,28,31
0:28,2066,Everson Davis Steal.,28,31
0:04,2066,Fard Muhammad missed Three Point Jumper.,28,31
0:04,2066,Bobby Ahearn Offensive Rebound.,28,31
0:00,2066,End of 1st half,28,31
19:43,147,Keljin Blevins made Layup. Assisted by Devonte Klines.,30,31
19:43,2066,Foul on Thomas Bruce.,30,31
19:43,147,Keljin Blevins missed Free Throw.,30,31
19:43,2066,Thomas Bruce Defensive Rebound.,30,31
19:13,2066,Everson Davis made Jumper.,30,33
18:48,147,Tyler Hall made Three Point Jumper. Assisted by Harald Frey.,33,33
18:30,2066,Thomas Bruce Turnover.,33,33
18:30,2066,Foul on Thomas Bruce.,33,33
18:15,147,Tyler Hall missed Three Point Jumper.,33,33
18:15,2066,Caleb Stewart Defensive Rebound.,33,33
18:07,2066,J.C. Show missed Three Point Jumper.,33,33
17:57,2066,Foul on Everson Davis.,33,33
17:57,2066,Everson Davis Offensive Rebound.,33,33
17:57,2066,Everson Davis Turnover.,33,33
17:44,147,Tyler Hall missed Jumper.,33,33
17:44,147,Konner Frey Offensive Rebound.,33,33
17:41,147,Konner Frey made Two Point Tip Shot.,35,33
17:18,147,Foul on Devonte Klines.,35,33
17:11,2066,Dusan Perovic Turnover.,35,33
16:43,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,38,33
16:22,2066,J.C. Show missed Jumper.,38,33
16:22,147,Keljin Blevins Defensive Rebound.,38,33
16:06,147,Keljin Blevins missed Three Point Jumper.,38,33
16:06,2066,J.C. Show Defensive Rebound.,38,33
15:51,2066,Willie Rodriguez made Layup. Assisted by Caleb Stewart.,38,35
15:31,147,Konner Frey made Layup. Assisted by Devonte Klines.,40,35
15:31,2066,Foul on Caleb Stewart.,40,35
15:31,2066,Official TV Timeout,40,35
15:31,147,Konner Frey made Free Throw.,41,35
15:06,2066,Fard Muhammad missed Three Point Jumper.,41,35
15:06,147,Montana State Defensive Rebound.,41,35
14:48,147,Tyler Hall Turnover.,41,35
14:48,147,Foul on Tyler Hall.,41,35
14:27,2066,Dusan Perovic made Three Point Jumper. Assisted by J.C. Show.,41,38
14:10,147,Devonte Klines made Layup.,43,38
13:51,2066,Dusan Perovic Turnover.,43,38
13:50,147,Konner Frey Steal.,43,38
13:45,2066,Foul on Dusan Perovic.,43,38
13:45,147,Konner Frey made Free Throw.,44,38
13:45,147,Konner Frey made Free Throw.,45,38
13:26,2066,Bobby Ahearn made Jumper.,45,40
13:11,147,Zach Green Turnover.,45,40
13:11,147,Foul on Zach Green.,45,40
12:57,147,Tyler Hall made Three Point Jumper.,48,40
12:37,2066,Bobby Ahearn made Jumper. Assisted by Dusan Perovic.,48,42
12:35,2066,Binghamton  Timeout,48,42
12:23,147,Tyler Hall Turnover.,48,42
12:01,2066,Fard Muhammad missed Three Point Jumper.,48,42
12:01,147,Montana State Defensive Rebound.,48,42
11:57,2066,Official TV Timeout,48,42
11:39,147,Tyler Hall made Jumper.,50,42
11:39,2066,Foul on Bobby Ahearn.,50,42
11:39,147,Tyler Hall made Free Throw.,51,42
11:21,2066,Timmy Rose made Jumper. Assisted by Bobby Ahearn.,51,44
10:47,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,54,44
10:16,2066,J.C. Show missed Jumper.,54,44
10:16,147,Sam Neumann Defensive Rebound.,54,44
10:01,147,Keljin Blevins Turnover.,54,44
10:01,147,Foul on Keljin Blevins.,54,44
9:51,2066,Timmy Rose Turnover.,54,44
9:42,147,Harald Frey missed Three Point Jumper.,54,44
9:42,147,Tyler Hall Offensive Rebound.,54,44
9:39,147,Tyler Hall missed Jumper.,54,44
9:39,2066,Thomas Bruce Defensive Rebound.,54,44
9:29,147,Foul on Harald Frey.,54,44
9:16,2066,J.C. Show missed Three Point Jumper.,54,44
9:16,147,Harald Frey Defensive Rebound.,54,44
9:09,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,57,44
9:03,2066,Binghamton  Timeout,57,44
8:48,2066,Thomas Bruce Turnover.,57,44
8:48,2066,Foul on Thomas Bruce.,57,44
8:48,147,Montana State  Timeout,57,44
8:43,147,Tyler Hall Turnover.,57,44
8:42,2066,J.C. Show Steal.,57,44
8:37,2066,J.C. Show made Layup.,57,46
8:18,147,Tyler Hall Turnover.,57,46
8:17,2066,J.C. Show Steal.,57,46
7:56,2066,Thomas Bruce missed Jumper.,57,46
7:56,147,Sam Neumann Defensive Rebound.,57,46
7:39,147,Devonte Klines made Three Point Jumper. Assisted by Tyler Hall.,60,46
7:23,2066,J.C. Show missed Three Point Jumper.,60,46
7:23,147,Tyler Hall Defensive Rebound.,60,46
7:06,2066,Foul on J.C. Show.,60,46
7:06,2066,Official TV Timeout,60,46
7:06,147,Harald Frey made Free Throw.,61,46
7:06,147,Harald Frey made Free Throw.,62,46
6:42,2066,Willie Rodriguez made Jumper.,62,48
6:08,147,Harald Frey missed Jumper.,62,48
6:08,2066,Binghamton Deadball Team Rebound.,62,48
6:07,147,Foul on Sam Neumann.,62,48
5:58,2066,J.C. Show missed Three Point Jumper.,62,48
5:58,147,Devonte Klines Defensive Rebound.,62,48
5:34,147,Isaac Bonton Turnover.,62,48
5:33,2066,Willie Rodriguez Steal.,62,48
5:23,2066,Fard Muhammad made Three Point Jumper. Assisted by Bobby Ahearn.,62,51
5:12,2066,Foul on J.C. Show.,62,51
5:12,147,Harald Frey made Free Throw.,63,51
5:12,147,Harald Frey made Free Throw.,64,51
5:03,2066,Timmy Rose missed Layup.,64,51
5:03,147,Keljin Blevins Block.,64,51
5:02,2066,Timmy Rose Offensive Rebound.,64,51
4:59,2066,Willie Rodriguez made Three Point Jumper. Assisted by Timmy Rose.,64,54
4:35,147,Tyler Hall made Jumper.,66,54
4:07,2066,Timmy Rose missed Layup.,66,54
4:07,147,Isaac Bonton Block.,66,54
4:06,2066,Timmy Rose Offensive Rebound.,66,54
4:04,147,Foul on Konner Frey.,66,54
4:04,2066,Timmy Rose made Free Throw.,66,55
4:04,2066,Timmy Rose missed Free Throw.,66,55
4:04,147,Isaac Bonton Defensive Rebound.,66,55
3:35,2066,Foul on Willie Rodriguez.,66,55
3:35,2066,Official TV Timeout,66,55
3:35,147,Keljin Blevins made Free Throw.,67,55
3:35,147,Keljin Blevins made Free Throw.,68,55
3:15,2066,Willie Rodriguez made Three Point Jumper. Assisted by J.C. Show.,68,58
2:47,147,Keljin Blevins missed Layup.,68,58
2:47,2066,Thomas Bruce Block.,68,58
2:46,2066,Fard Muhammad Defensive Rebound.,68,58
2:37,147,Foul on Devonte Klines.,68,58
2:37,2066,Thomas Bruce missed Free Throw.,68,58
2:37,2066,Binghamton Deadball Team Rebound.,68,58
2:37,2066,Thomas Bruce made Free Throw.,68,59
2:28,147,Harald Frey Turnover.,68,59
2:27,2066,Thomas Bruce Steal.,68,59
2:26,2066,Thomas Bruce Turnover.,68,59
2:26,147,Harald Frey Steal.,68,59
1:57,147,Devonte Klines missed Layup.,68,59
1:57,2066,Everson Davis Defensive Rebound.,68,59
1:49,2066,Fard Muhammad made Three Point Jumper. Assisted by Everson Davis.,68,62
1:10,147,Harald Frey missed Three Point Jumper.,68,62
1:10,147,Keljin Blevins Offensive Rebound.,68,62
0:41,147,Tyler Hall made Jumper.,70,62
0:36,2066,J.C. Show missed Three Point Jumper.,70,62
0:36,147,Keljin Blevins Defensive Rebound.,70,62
0:26,2066,Foul on Willie Rodriguez.,70,62
0:26,147,Tyler Hall made Free Throw.,71,62
0:26,147,Tyler Hall made Free Throw.,72,62
0:16,2066,Thomas Bruce made Dunk. Assisted by Everson Davis.,72,64
0:14,2066,Foul on Willie Rodriguez.,72,64
0:14,147,Keljin Blevins made Free Throw.,73,64
0:14,147,Keljin Blevins made Free Throw.,74,64
0:08,2066,J.C. Show Turnover.,74,64
0:00,2066,End of Game,74,64
