Louisiana,2751,Wyoming,309
18:42,309,Frank Bartley IV missed Jumper.,23,38
18:42,309,JaKeenan Gant Offensive Rebound.,23,38
18:34,309,JaKeenan Gant made Layup. Assisted by Marcus Stroman.,25,38
18:18,2751,Hayden Dalton Turnover.,25,38
18:07,2751,Foul on Louis Adams.,25,38
18:07,2751,Wyoming  Timeout,25,38
18:07,2751,Official TV Timeout,25,38
18:07,309,Frank Bartley IV made Free Throw.,26,38
18:07,309,Frank Bartley IV made Free Throw.,27,38
18:07,309,Frank Bartley IV made Free Throw.,28,38
17:56,2751,Alan Herndon missed Jumper.,28,38
17:56,309,Bryce Washington Defensive Rebound.,28,38
17:41,309,Frank Bartley IV missed Jumper.,28,38
17:41,309,JaKeenan Gant Offensive Rebound.,28,38
17:15,309,Marcus Stroman made Jumper. Assisted by Malik Marquetti.,30,38
17:06,309,Foul on Marcus Stroman.,30,38
17:03,2751,Alan Herndon missed Three Point Jumper.,30,38
17:03,309,JaKeenan Gant Defensive Rebound.,30,38
16:41,309,Bryce Washington made Layup. Assisted by JaKeenan Gant.,32,38
16:30,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Alan Herndon.,32,41
16:09,309,Frank Bartley IV made Jumper. Assisted by Malik Marquetti.,34,41
16:06,2751,Official TV Timeout,34,41
15:57,2751,Official TV Timeout,34,41
15:42,2751,Alexander Aka Gorski made Free Throw.,34,44
15:42,309,Foul on Malik Marquetti.,34,41
15:42,2751,Alexander Aka Gorski made Free Throw.,34,42
15:42,2751,Alexander Aka Gorski made Free Throw.,34,43
15:17,309,Frank Bartley IV missed Three Point Jumper.,34,44
15:17,2751,Wyoming Defensive Rebound.,34,44
14:51,2751,Nyaires Redding made Jumper.,34,46
14:28,2751,Foul on Alexander Aka Gorski.,34,46
14:28,309,Justin Miller made Free Throw.,35,46
14:28,309,Justin Miller missed Free Throw.,35,46
14:28,2751,Alan Herndon Defensive Rebound.,35,46
14:25,309,Foul on P.J. Hardy.,35,46
14:12,309,Foul on P.J. Hardy.,35,46
14:08,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Andrew Moemeka.,35,49
13:47,309,Justin Miller Turnover.,35,49
13:46,2751,Nyaires Redding Steal.,35,49
13:44,2751,Andrew Moemeka made Dunk. Assisted by Louis Adams.,35,51
13:24,309,JaKeenan Gant made Three Point Jumper. Assisted by Frank Bartley IV.,38,51
13:00,2751,Alexander Aka Gorski missed Three Point Jumper.,38,51
13:00,309,P.J. Hardy Defensive Rebound.,38,51
12:55,309,Foul on JaKeenan Gant.,38,51
12:55,309,JaKeenan Gant Turnover.,38,51
12:39,309,Foul on P.J. Hardy.,38,51
12:39,2751,Nyaires Redding made Free Throw.,38,52
12:39,2751,Nyaires Redding made Free Throw.,38,53
12:21,309,P.J. Hardy missed Layup.,38,53
12:21,2751,Andrew Moemeka Defensive Rebound.,38,53
12:10,2751,Alan Herndon missed Three Point Jumper.,38,53
12:10,309,P.J. Hardy Defensive Rebound.,38,53
11:43,309,Cedric Russell missed Three Point Jumper.,38,53
11:43,309,Cedric Russell Offensive Rebound.,38,53
11:35,309,P.J. Hardy made Jumper. Assisted by Cedric Russell.,40,53
11:08,2751,Andrew Moemeka missed Jumper.,40,53
11:08,309,Justin Miller Defensive Rebound.,40,53
10:56,309,JaKeenan Gant missed Three Point Jumper.,40,53
10:56,2751,Wyoming Defensive Rebound.,40,53
10:54,2751,Official TV Timeout,40,53
10:41,2751,Alan Herndon missed Three Point Jumper.,40,53
10:41,2751,Hayden Dalton Offensive Rebound.,40,53
10:37,2751,Alan Herndon missed Three Point Jumper.,40,53
10:37,309,Cedric Russell Defensive Rebound.,40,53
10:07,309,P.J. Hardy missed Three Point Jumper.,40,53
10:07,2751,Louis Adams Defensive Rebound.,40,53
9:47,2751,Louis Adams Turnover.,40,53
9:45,309,Justin Miller Steal.,40,53
9:42,309,Justin Miller made Layup.,42,53
9:24,2751,Alan Herndon Turnover.,42,53
9:23,309,Justin Miller Steal.,42,53
9:19,309,Justin Miller missed Layup.,42,53
9:19,2751,Sam Averbuck Defensive Rebound.,42,53
9:10,2751,Wyoming  Timeout,42,53
8:58,2751,Andrew Moemeka missed Layup.,42,53
8:58,309,Justin Miller Block.,42,53
8:58,2751,Wyoming Offensive Rebound.,42,53
8:45,2751,Wyoming  Turnover.,42,53
8:40,2751,Foul on Andrew Moemeka.,42,53
8:28,2751,Foul on Hayden Dalton.,42,53
8:28,309,Bryce Washington made Free Throw.,43,53
8:28,309,Bryce Washington missed Free Throw.,43,53
8:28,309,Louisiana Offensive Rebound.,43,53
8:23,309,Jerekius Davis Turnover.,43,53
8:22,2751,Alan Herndon Steal.,43,53
7:55,2751,Nyaires Redding Turnover.,43,53
7:52,309,Cedric Russell Steal.,43,53
7:49,309,Jerekius Davis missed Three Point Jumper.,43,53
7:49,2751,Andrew Moemeka Defensive Rebound.,43,53
7:32,2751,Foul on Louis Adams.,43,53
7:32,2751,Louis Adams Turnover.,43,53
7:32,2751,Official TV Timeout,43,53
7:17,309,Marcus Stroman missed Three Point Jumper.,43,53
7:17,2751,Alan Herndon Defensive Rebound.,43,53
6:52,309,Foul on Cedric Russell.,43,53
6:52,2751,Hunter Maldonado made Free Throw.,43,54
6:52,2751,Hunter Maldonado missed Free Throw.,43,54
6:52,309,Bryce Washington Defensive Rebound.,43,54
6:42,309,Cedric Russell missed Three Point Jumper.,43,54
6:42,309,JaKeenan Gant Offensive Rebound.,43,54
6:38,309,JaKeenan Gant Turnover.,43,54
6:37,2751,Hunter Maldonado Steal.,43,54
6:33,2751,Hunter Maldonado missed Dunk.,43,54
6:33,309,Frank Bartley IV Defensive Rebound.,43,54
6:29,2751,Foul on Alan Herndon.,43,54
6:29,309,Frank Bartley IV made Free Throw.,44,54
6:29,309,Frank Bartley IV made Free Throw.,45,54
6:20,309,Foul on Cedric Russell.,45,54
6:20,2751,Alexander Aka Gorski missed Free Throw.,45,54
6:20,309,Justin Miller Defensive Rebound.,45,54
5:57,309,Justin Miller missed Three Point Jumper.,45,54
5:57,2751,Louis Adams Defensive Rebound.,45,54
5:31,2751,Nyaires Redding missed Jumper.,45,54
5:31,309,Frank Bartley IV Defensive Rebound.,45,54
5:24,309,Frank Bartley IV Turnover.,45,54
5:04,2751,Alan Herndon missed Three Point Jumper.,45,54
5:04,309,Justin Miller Defensive Rebound.,45,54
4:57,309,Foul on Justin Miller.,45,54
4:57,309,Justin Miller Turnover.,45,54
4:49,2751,Louis Adams Turnover.,45,54
4:38,309,Technical Foul on Louisiana.,45,54
4:37,309,Foul on Marcus Stroman.,45,54
4:37,309,Marcus Stroman Turnover.,45,54
4:37,309,Louisiana  Timeout,45,54
4:37,309,Technical Foul on Louisiana.,45,54
4:37,2751,Nyaires Redding made Free Throw.,45,55
4:37,2751,Nyaires Redding made Free Throw.,45,56
4:37,2751,Nyaires Redding made Free Throw.,45,57
4:37,2751,Nyaires Redding made Free Throw.,45,58
4:30,2751,Nyaires Redding missed Layup.,45,58
4:30,309,JaKeenan Gant Defensive Rebound.,45,58
4:16,309,Frank Bartley IV missed Layup.,45,58
4:16,2751,Alan Herndon Block.,45,58
4:13,2751,Andrew Moemeka Defensive Rebound.,45,58
3:47,2751,Louis Adams made Three Point Jumper. Assisted by Alexander Aka Gorski.,45,61
3:36,2751,Foul on Andrew Moemeka.,45,61
3:36,2751,Official TV Timeout,45,61
3:36,309,P.J. Hardy missed Free Throw.,45,61
3:36,309,Louisiana Deadball Team Rebound.,45,61
3:36,309,P.J. Hardy made Free Throw.,46,61
3:29,2751,Alan Herndon Turnover.,46,61
3:28,309,JaKeenan Gant Steal.,46,61
3:26,309,P.J. Hardy missed Three Point Jumper.,46,61
3:26,309,P.J. Hardy Offensive Rebound.,46,61
3:20,309,P.J. Hardy made Jumper.,48,61
2:50,2751,Louis Adams Turnover.,48,61
2:49,309,Frank Bartley IV Steal.,48,61
2:45,309,Cedric Russell made Three Point Jumper. Assisted by Frank Bartley IV.,51,61
2:37,2751,Wyoming  Timeout,51,61
2:19,2751,Louis Adams made Layup. Assisted by Hayden Dalton.,51,63
2:07,309,JaKeenan Gant made Dunk.,53,63
2:05,309,Malik Marquetti missed Three Point Jumper.,53,63
2:05,309,JaKeenan Gant Offensive Rebound.,53,63
2:00,2751,Foul on Hayden Dalton.,53,63
2:00,309,JaKeenan Gant missed Free Throw.,53,63
2:00,2751,Alan Herndon Defensive Rebound.,53,63
1:55,309,Foul on Malik Marquetti.,53,63
1:55,2751,Louis Adams missed Free Throw.,53,63
1:55,2751,Wyoming Deadball Team Rebound.,53,63
1:55,2751,Louis Adams made Free Throw.,53,64
1:48,309,Cedric Russell missed Three Point Jumper.,53,64
1:48,2751,Alan Herndon Defensive Rebound.,53,64
1:40,2751,Alan Herndon Turnover.,53,64
1:38,309,JaKeenan Gant Steal.,53,64
1:32,309,Frank Bartley IV missed Layup.,53,64
1:32,309,JaKeenan Gant Offensive Rebound.,53,64
0:59,2751,Louis Adams missed Three Point Jumper.,53,64
0:59,309,Cedric Russell Defensive Rebound.,53,64
0:50,309,Frank Bartley IV made Three Point Jumper. Assisted by Cedric Russell.,56,64
0:47,309,Louisiana  Timeout,56,64
0:47,309,JaKeenan Gant made Dunk.,58,64
0:47,309,Foul on P.J. Hardy.,58,64
0:47,2751,Louis Adams made Free Throw.,58,65
0:47,2751,Louis Adams made Free Throw.,58,66
0:35,309,Malik Marquetti made Three Point Jumper. Assisted by P.J. Hardy.,61,66
0:33,309,Louisiana  Timeout,61,66
0:32,309,Foul on Cedric Russell.,61,66
0:32,2751,Alexander Aka Gorski made Free Throw.,61,67
0:32,2751,Alexander Aka Gorski made Free Throw.,61,68
0:27,309,Cedric Russell missed Three Point Jumper.,61,68
0:27,2751,Andrew Moemeka Defensive Rebound.,61,68
0:24,309,Foul on Cedric Russell.,61,68
0:24,2751,Andrew Moemeka made Free Throw.,61,69
0:24,2751,Andrew Moemeka made Free Throw.,61,70
0:16,309,Frank Bartley IV missed Dunk.,61,70
0:16,2751,Wyoming Defensive Rebound.,61,70
0:00,2751,End of Game,61,70
