UIC,13,Cal Poly,82
12:34,82,Clint Robinson Defensive Rebound.,21,9
12:24,82,Dominique Matthews missed Jumper.,21,9
12:24,13,Alec Raven Defensive Rebound.,21,9
12:07,13,Ridge Shipley missed Jumper.,21,9
12:07,82,Dominique Matthews Defensive Rebound.,21,9
11:55,13,Foul on Kyle Toth.,21,9
11:55,13,Official TV Timeout,21,9
11:55,82,Godwin Boahen made Free Throw.,22,9
11:55,82,Godwin Boahen made Free Throw.,23,9
11:38,13,Donovan Fields made Jumper.,23,11
11:20,13,Foul on Alec Raven.,23,11
11:12,82,Dominique Matthews made Three Point Jumper. Assisted by Michael Kolawole.,26,11
11:01,13,Jaylen Shead missed Layup.,26,11
11:01,82,Tai Odiase Defensive Rebound.,26,11
10:52,13,Foul on Donovan Fields.,26,11
10:52,82,Michael Kolawole missed Free Throw.,26,11
10:52,13,Hank Hollingsworth Defensive Rebound.,26,11
10:39,13,Donovan Fields missed Layup.,26,11
10:39,82,Tai Odiase Block.,26,11
10:38,13,Donovan Fields Offensive Rebound.,26,11
10:31,82,Foul on Dominique Matthews.,26,11
10:27,13,Victor Joseph missed Three Point Jumper.,26,11
10:27,82,K.J. Santos Defensive Rebound.,26,11
10:15,82,Michael Kolawole made Jumper.,28,11
9:54,13,Alec Raven made Layup. Assisted by Jaylen Shead.,28,13
9:39,82,Godwin Boahen Turnover.,28,13
9:23,13,Jaylen Shead Turnover.,28,13
9:15,82,K.J. Santos Turnover.,28,13
9:15,13,Jaylen Shead Steal.,28,13
9:12,13,Jaylen Shead made Layup.,28,15
8:56,82,Dikembe Dixson missed Three Point Jumper.,28,15
8:56,82,Marcus Ottey Offensive Rebound.,28,15
8:46,82,Tai Odiase made Jumper.,30,15
8:29,13,Donovan Fields missed Jumper.,30,15
8:29,13,Luke Meikle Offensive Rebound.,30,15
8:16,13,Donovan Fields missed Jumper.,30,15
8:16,82,K.J. Santos Defensive Rebound.,30,15
8:06,82,Tarkus Ferguson missed Three Point Jumper.,30,15
8:06,13,Donovan Fields Defensive Rebound.,30,15
7:58,13,Victor Joseph Turnover.,30,15
7:57,82,K.J. Santos Steal.,30,15
7:41,82,Tai Odiase missed Jumper.,30,15
7:41,13,Jaylen Shead Defensive Rebound.,30,15
7:34,13,Jaylen Shead made Three Point Jumper.,30,18
7:15,82,Marcus Ottey missed Three Point Jumper.,30,18
7:15,13,Jaylen Shead Defensive Rebound.,30,18
7:09,13,Victor Joseph made Layup. Assisted by Jaylen Shead.,30,20
6:48,82,K.J. Santos missed Three Point Jumper.,30,20
6:48,13,Jaylen Shead Defensive Rebound.,30,20
6:39,82,Foul on Marcus Ottey.,30,20
6:39,13,Official TV Timeout,30,20
6:24,13,Luke Meikle missed Jumper.,30,20
6:24,13,Cal Poly Offensive Rebound.,30,20
6:13,82,Foul on Godwin Boahen.,30,20
6:04,13,Jaylen Shead missed Layup.,30,20
6:04,82,Clint Robinson Defensive Rebound.,30,20
5:39,13,Foul on Hank Hollingsworth.,30,20
5:39,82,Godwin Boahen made Free Throw.,31,20
5:39,82,Godwin Boahen made Free Throw.,32,20
5:22,13,Kyle Toth missed Jumper.,32,20
5:22,82,Clint Robinson Defensive Rebound.,32,20
5:15,82,Clint Robinson Turnover.,32,20
5:15,82,Foul on Clint Robinson.,32,20
5:00,13,Zach Gordon missed Jumper.,32,20
5:00,82,Kyle Guice Defensive Rebound.,32,20
4:42,82,Godwin Boahen missed Three Point Jumper.,32,20
4:42,82,Dikembe Dixson Offensive Rebound.,32,20
4:37,82,Dikembe Dixson made Layup.,34,20
4:18,13,Ridge Shipley missed Layup.,34,20
4:18,82,Dikembe Dixson Defensive Rebound.,34,20
4:09,82,Clint Robinson Turnover.,34,20
3:54,13,Ridge Shipley made Layup.,34,22
3:27,13,Foul on Zach Gordon.,34,22
3:27,13,Official TV Timeout,34,22
3:27,82,Dikembe Dixson made Free Throw.,35,22
3:27,82,Dikembe Dixson made Free Throw.,36,22
3:13,13,Aleks Abrams Turnover.,36,22
2:57,82,Tai Odiase missed Layup.,36,22
2:57,13,Aleks Abrams Defensive Rebound.,36,22
2:56,82,Foul on Tai Odiase.,36,22
2:56,13,Aleks Abrams made Free Throw.,36,23
2:56,13,Aleks Abrams missed Free Throw.,36,23
2:56,82,Dikembe Dixson Defensive Rebound.,36,23
2:32,82,Dikembe Dixson made Layup. Assisted by Godwin Boahen.,38,23
2:07,13,Jaylen Shead missed Jumper.,38,23
2:07,82,Clint Robinson Defensive Rebound.,38,23
1:53,13,Foul on Aleks Abrams.,38,23
1:53,82,Dikembe Dixson made Free Throw.,39,23
1:53,82,Dikembe Dixson made Free Throw.,40,23
1:37,13,Jaylen Shead missed Layup.,40,23
1:37,82,UIC Defensive Rebound.,40,23
1:19,82,Dikembe Dixson made Jumper. Assisted by Godwin Boahen.,42,23
0:58,13,Donovan Fields missed Jumper.,42,23
0:58,82,Dikembe Dixson Defensive Rebound.,42,23
0:49,82,Technical Foul on Dikembe Dixson.,42,23
0:49,82,Foul on Dikembe Dixson.,42,23
0:49,13,Foul on Donovan Fields.,42,23
0:49,13,Donovan Fields made Free Throw.,42,24
0:49,13,Donovan Fields made Free Throw.,42,25
0:49,82,Dikembe Dixson made Free Throw.,43,25
0:49,82,Dikembe Dixson made Free Throw.,44,25
0:28,13,Ridge Shipley Turnover.,44,25
0:27,82,Kyle Guice Steal.,44,25
0:01,82,Clint Robinson made Layup. Assisted by Godwin Boahen.,46,25
0:00,13,End of 1st half,46,25
19:44,13,Jaylen Shead missed Layup.,46,25
19:44,13,Jaylen Shead Offensive Rebound.,46,25
19:40,13,Jaylen Shead made Layup.,46,27
19:33,82,Marcus Ottey missed Layup.,46,27
19:33,82,Tai Odiase Offensive Rebound.,46,27
19:29,82,Tai Odiase made Dunk.,48,27
19:13,13,Luke Meikle made Jumper. Assisted by Jaylen Shead.,48,29
18:37,82,UIC  Turnover.,48,29
18:28,13,Donovan Fields missed Jumper.,48,29
18:28,13,Cal Poly Offensive Rebound.,48,29
18:23,13,Ridge Shipley made Layup.,48,31
18:10,82,K.J. Santos Turnover.,48,31
18:10,82,Foul on K.J. Santos.,48,31
17:50,13,Ridge Shipley missed Three Point Jumper.,48,31
17:50,82,K.J. Santos Defensive Rebound.,48,31
17:36,82,Tarkus Ferguson missed Jumper.,48,31
17:36,13,Ridge Shipley Defensive Rebound.,48,31
17:31,82,Foul on Marcus Ottey.,48,31
17:31,13,Donovan Fields made Free Throw.,48,32
17:31,13,Donovan Fields made Free Throw.,48,33
17:07,82,Dominique Matthews Turnover.,48,33
17:06,13,Jaylen Shead Steal.,48,33
17:01,13,Donovan Fields missed Jumper.,48,33
17:01,82,K.J. Santos Defensive Rebound.,48,33
16:45,82,Dominique Matthews missed Three Point Jumper.,48,33
16:45,82,Tai Odiase Offensive Rebound.,48,33
16:41,82,Tai Odiase Turnover.,48,33
16:34,82,Foul on Godwin Boahen.,48,33
16:20,13,Donovan Fields made Layup.,48,35
15:48,13,Official TV Timeout,48,35
15:45,82,Godwin Boahen made Three Point Jumper. Assisted by K.J. Santos.,51,35
15:13,13,Jaylen Shead made Layup.,51,37
14:52,13,Foul on Luke Meikle.,51,37
14:52,82,Godwin Boahen missed Free Throw.,51,37
14:52,82,UIC Deadball Team Rebound.,51,37
14:52,82,Godwin Boahen made Free Throw.,52,37
14:36,13,Luke Meikle made Jumper. Assisted by Jaylen Shead.,52,39
14:08,13,Foul on Luke Meikle.,52,39
14:08,82,Dominique Matthews made Free Throw.,53,39
14:08,82,Dominique Matthews made Free Throw.,54,39
14:02,13,Luke Meikle made Layup. Assisted by Victor Joseph.,54,41
13:42,82,Tarkus Ferguson missed Three Point Jumper.,54,41
13:42,13,Donovan Fields Defensive Rebound.,54,41
13:40,82,Foul on Clint Robinson.,54,41
13:24,13,Jaylen Shead missed Three Point Jumper.,54,41
13:24,82,Clint Robinson Defensive Rebound.,54,41
13:10,82,Dikembe Dixson missed Jumper.,54,41
13:10,13,Luke Meikle Defensive Rebound.,54,41
13:06,13,Ridge Shipley Turnover.,54,41
12:56,82,Dominique Matthews missed Three Point Jumper.,54,41
12:56,13,Zach Gordon Defensive Rebound.,54,41
12:46,13,Victor Joseph missed Layup.,54,41
12:46,82,Clint Robinson Defensive Rebound.,54,41
12:38,13,Foul on Victor Joseph.,54,41
12:26,82,Tarkus Ferguson made Three Point Jumper. Assisted by Dominique Matthews.,57,41
12:02,13,Victor Joseph made Three Point Jumper. Assisted by Jaylen Shead.,57,44
11:50,82,Dominique Matthews Turnover.,57,44
11:48,13,Ridge Shipley Steal.,57,44
11:33,13,Zach Gordon made Layup. Assisted by Donovan Fields.,57,46
11:33,82,Foul on Clint Robinson.,57,46
11:33,13,Official TV Timeout,57,46
11:33,13,Zach Gordon made Free Throw.,57,47
11:21,13,Foul on Donovan Fields.,57,47
11:02,82,Tarkus Ferguson made Layup. Assisted by Clint Robinson.,59,47
10:39,82,Foul on Dominique Matthews.,59,47
10:39,13,Donovan Fields made Free Throw.,59,48
10:39,13,Donovan Fields made Free Throw.,59,49
10:10,82,Michael Kolawole made Three Point Jumper.,62,49
9:56,13,Victor Joseph made Layup.,62,51
9:38,82,Michael Kolawole Turnover.,62,51
9:37,13,Donovan Fields Steal.,62,51
9:33,13,Donovan Fields made Layup.,62,53
9:04,82,Godwin Boahen made Three Point Jumper. Assisted by Marcus Ottey.,65,53
8:57,13,Kyle Toth missed Three Point Jumper.,65,53
8:57,82,Michael Kolawole Defensive Rebound.,65,53
8:29,13,Foul on Zach Gordon.,65,53
8:16,82,Dikembe Dixson missed Layup.,65,53
8:16,13,Kyle Toth Defensive Rebound.,65,53
8:03,13,Victor Joseph made Jumper.,65,55
7:41,82,Tarkus Ferguson missed Three Point Jumper.,65,55
7:41,13,Jaylen Shead Defensive Rebound.,65,55
7:31,13,Official TV Timeout,65,55
7:29,13,Kyle Toth missed Three Point Jumper.,65,55
7:29,82,UIC Defensive Rebound.,65,55
7:06,13,Foul on Jaylen Shead.,65,55
6:53,82,Dikembe Dixson missed Layup.,65,55
6:53,13,Jaylen Shead Defensive Rebound.,65,55
6:47,13,Jaylen Shead made Layup.,65,57
6:30,82,Godwin Boahen made Three Point Jumper. Assisted by Tarkus Ferguson.,68,57
6:09,82,Foul on Godwin Boahen.,68,57
6:09,13,Jaylen Shead made Free Throw.,68,58
6:09,13,Jaylen Shead made Free Throw.,68,59
5:58,82,Tarkus Ferguson made Layup.,70,59
5:27,13,Jaylen Shead missed Three Point Jumper.,70,59
5:27,82,Tai Odiase Block.,70,59
5:24,82,Dikembe Dixson Defensive Rebound.,70,59
5:21,82,Tarkus Ferguson Turnover.,70,59
5:19,13,Donovan Fields Steal.,70,59
5:17,13,Donovan Fields missed Layup.,70,59
5:17,82,Dikembe Dixson Block.,70,59
5:14,13,Jaylen Shead Offensive Rebound.,70,59
5:14,13,Victor Joseph Turnover.,70,59
5:14,82,Marcus Ottey Steal.,70,59
5:14,13,Foul on Victor Joseph.,70,59
5:14,82,Marcus Ottey made Free Throw.,71,59
5:14,82,Marcus Ottey made Free Throw.,72,59
5:08,13,Luke Meikle missed Three Point Jumper.,72,59
5:08,82,Tarkus Ferguson Defensive Rebound.,72,59
4:59,13,Foul on Donovan Fields.,72,59
4:59,82,Dikembe Dixson made Free Throw.,73,59
4:59,82,Dikembe Dixson made Free Throw.,74,59
4:52,13,Cal Poly  Timeout,74,59
4:36,13,Victor Joseph missed Layup.,74,59
4:36,82,Dikembe Dixson Defensive Rebound.,74,59
4:31,82,Dikembe Dixson Turnover.,74,59
4:12,13,Luke Meikle made Three Point Jumper. Assisted by Donovan Fields.,74,62
3:53,82,Marcus Ottey missed Jumper.,74,62
3:53,82,Tai Odiase Offensive Rebound.,74,62
3:50,82,Tai Odiase made Dunk.,76,62
3:36,82,Foul on Godwin Boahen.,76,62
3:36,13,Donovan Fields made Free Throw.,76,63
3:36,13,Donovan Fields made Free Throw.,76,64
3:08,13,Foul on Luke Meikle.,76,64
3:08,82,Tai Odiase missed Free Throw.,76,64
3:08,82,UIC Deadball Team Rebound.,76,64
3:08,82,Tai Odiase missed Free Throw.,76,64
3:08,13,Jaylen Shead Defensive Rebound.,76,64
2:51,13,Donovan Fields made Jumper.,76,66
2:48,13,Cal Poly  Timeout,76,66
2:42,13,Foul on Victor Joseph.,76,66
2:42,82,Tarkus Ferguson missed Free Throw.,76,66
2:42,82,UIC Deadball Team Rebound.,76,66
2:42,82,Tarkus Ferguson made Free Throw.,77,66
2:24,13,Donovan Fields missed Jumper.,77,66
2:24,82,Tarkus Ferguson Defensive Rebound.,77,66
1:53,82,Marcus Ottey made Layup.,79,66
1:33,13,Donovan Fields missed Layup.,79,66
1:33,82,Tarkus Ferguson Block.,79,66
1:33,13,Cal Poly Offensive Rebound.,79,66
1:29,13,Victor Joseph made Layup.,79,68
1:28,13,Cal Poly  Timeout,79,68
1:17,82,Dikembe Dixson made Dunk. Assisted by Dominique Matthews.,81,68
1:06,13,Luke Meikle missed Jumper.,81,68
1:06,82,UIC Defensive Rebound.,81,68
0:52,82,Dikembe Dixson made Layup.,83,68
0:52,13,Foul on Ridge Shipley.,83,68
0:52,82,Dikembe Dixson made Free Throw.,84,68
0:42,13,Luke Meikle missed Layup.,84,68
0:42,13,Luke Meikle Offensive Rebound.,84,68
0:38,13,Ridge Shipley missed Jumper.,84,68
0:38,82,Dominique Matthews Defensive Rebound.,84,68
0:03,82,UIC  Turnover.,84,68
