Buffalo,2440,Nevada,2084
11:47,2440,Elijah Foster missed Jumper.,7,15
11:47,2440,Elijah Foster Offensive Rebound.,7,15
11:44,2440,Elijah Foster missed Jumper.,7,15
11:44,2084,Nick Perkins Defensive Rebound.,7,15
11:32,2084,David Kadiri made Layup. Assisted by Davonta Jordan.,9,15
11:19,2440,D.J. Fenner missed Three Point Jumper.,9,15
11:19,2084,Davonta Jordan Defensive Rebound.,9,15
11:15,2084,Davonta Jordan Turnover.,9,15
11:15,2440,Official TV Timeout,9,15
11:08,2440,Marcus Marshall made Jumper. Assisted by Lindsey Drew.,9,17
10:58,2084,Nick Perkins made Three Point Jumper.,12,17
10:47,2440,Lindsey Drew missed Three Point Jumper.,12,17
10:47,2084,Blake Hamilton Defensive Rebound.,12,17
10:39,2084,Blake Hamilton missed Layup.,12,17
10:39,2440,Marcus Marshall Block.,12,17
10:36,2084,David Kadiri Offensive Rebound.,12,17
10:32,2084,Willie Conner missed Three Point Jumper.,12,17
10:32,2084,Nick Perkins Offensive Rebound.,12,17
10:27,2084,David Kadiri made Layup. Assisted by Davonta Jordan.,14,17
10:12,2440,D.J. Fenner missed Jumper.,14,17
10:12,2440,Elijah Foster Offensive Rebound.,14,17
10:09,2440,Elijah Foster made Layup.,14,19
9:52,2084,Davonta Jordan missed Layup.,14,19
9:52,2084,Nick Perkins Offensive Rebound.,14,19
9:51,2084,Nick Perkins made Layup. Assisted by Davonta Jordan.,16,19
9:47,2440,Marcus Marshall Turnover.,16,19
9:36,2084,Nick Perkins made Layup. Assisted by Davonta Jordan.,18,19
9:11,2440,Cameron Oliver missed Three Point Jumper.,18,19
9:11,2084,Dontay Caruthers Defensive Rebound.,18,19
9:00,2084,Nick Perkins missed Three Point Jumper.,18,19
9:00,2440,Marcus Marshall Defensive Rebound.,18,19
8:50,2440,Cameron Oliver Turnover.,18,19
8:30,2440,Foul on Elijah Foster.,18,19
8:30,2084,Blake Hamilton made Free Throw.,19,19
8:30,2084,Blake Hamilton made Free Throw.,20,19
8:18,2440,Cameron Oliver missed Jumper.,20,19
8:18,2084,Ikenna Smart Defensive Rebound.,20,19
8:02,2084,Blake Hamilton missed Three Point Jumper.,20,19
8:02,2440,Josh Hall Defensive Rebound.,20,19
7:48,2084,Foul on Blake Hamilton.,20,19
7:48,2440,Official TV Timeout,20,19
7:48,2440,D.J. Fenner made Free Throw.,20,20
7:48,2440,D.J. Fenner made Free Throw.,20,21
7:35,2084,Blake Hamilton made Layup. Assisted by Davonta Jordan.,22,21
7:22,2440,Lindsey Drew missed Three Point Jumper.,22,21
7:22,2440,Cameron Oliver Offensive Rebound.,22,21
6:59,2440,Lindsey Drew missed Layup.,22,21
6:59,2084,Davonta Jordan Defensive Rebound.,22,21
6:52,2084,Dontay Caruthers made Three Point Jumper. Assisted by Willie Conner.,25,21
6:31,2440,Cameron Oliver missed Jumper.,25,21
6:31,2084,Davonta Jordan Defensive Rebound.,25,21
6:18,2084,Blake Hamilton missed Three Point Jumper.,25,21
6:18,2440,Cameron Oliver Defensive Rebound.,25,21
6:07,2440,Lindsey Drew made Jumper. Assisted by Josh Hall.,25,23
5:54,2084,Willie Conner missed Three Point Jumper.,25,23
5:54,2440,Cameron Oliver Defensive Rebound.,25,23
5:24,2440,Josh Hall missed Three Point Jumper.,25,23
5:24,2084,Dontay Caruthers Defensive Rebound.,25,23
5:13,2440,Foul on Cameron Oliver.,25,23
5:13,2084,Ikenna Smart made Free Throw.,26,23
5:13,2084,Ikenna Smart made Free Throw.,27,23
5:04,2440,Marcus Marshall made Jumper.,27,25
4:29,2084,James Jones missed Jumper.,27,25
4:29,2440,Nevada Defensive Rebound.,27,25
4:16,2084,Foul on Willie Conner.,27,25
4:16,2440,Marcus Marshall made Free Throw.,27,26
4:16,2440,Marcus Marshall missed Free Throw.,27,26
4:16,2084,Raheem Johnson Defensive Rebound.,27,26
4:03,2084,James Jones missed Layup.,27,26
4:03,2440,Lindsey Drew Defensive Rebound.,27,26
3:48,2440,Jordan Caroline Turnover.,27,26
3:47,2084,Raheem Johnson Steal.,27,26
3:43,2084,Davonta Jordan missed Layup.,27,26
3:43,2440,Jordan Caroline Block.,27,26
3:41,2084,Raheem Johnson Offensive Rebound.,27,26
3:22,2084,Blake Hamilton missed Three Point Jumper.,27,26
3:22,2440,Lindsey Drew Defensive Rebound.,27,26
3:11,2084,Foul on James Jones.,27,26
3:11,2440,Official TV Timeout,27,26
3:11,2440,D.J. Fenner made Free Throw.,27,27
3:11,2440,D.J. Fenner made Free Throw.,27,28
2:43,2084,Nick Perkins missed Layup.,27,28
2:43,2440,D.J. Fenner Defensive Rebound.,27,28
2:15,2440,Jordan Caroline missed Three Point Jumper.,27,28
2:15,2084,Buffalo Defensive Rebound.,27,28
1:55,2084,Dontay Caruthers made Layup.,29,28
1:32,2440,Elijah Foster missed Jumper.,29,28
1:32,2084,Blake Hamilton Defensive Rebound.,29,28
1:23,2084,Nick Perkins missed Three Point Jumper.,29,28
1:23,2440,Elijah Foster Defensive Rebound.,29,28
1:12,2440,Marcus Marshall missed Jumper.,29,28
1:12,2440,Nevada Offensive Rebound.,29,28
1:10,2440,Marcus Marshall missed Jumper.,29,28
1:10,2084,Blake Hamilton Defensive Rebound.,29,28
0:53,2440,Foul on Lindsey Drew.,29,28
0:53,2084,Blake Hamilton made Free Throw.,30,28
0:53,2084,Blake Hamilton made Free Throw.,31,28
0:38,2084,Foul on Dontay Caruthers.,31,28
0:38,2440,Marcus Marshall made Free Throw.,31,29
0:38,2440,Marcus Marshall made Free Throw.,31,30
0:26,2084,Buffalo  Timeout,31,30
0:08,2084,Blake Hamilton missed Jumper.,31,30
0:08,2084,Nick Perkins Offensive Rebound.,31,30
0:04,2084,Nick Perkins made Layup.,33,30
0:00,2440,Marcus Marshall missed Three Point Jumper.,33,30
0:00,2440,Nevada Deadball Team Rebound.,33,30
0:00,2440,End of 1st half,33,30
19:54,2440,Lindsey Drew made Three Point Jumper. Assisted by Cameron Oliver.,33,33
19:29,2084,Dontay Caruthers Turnover.,33,33
19:28,2440,Cameron Oliver Steal.,33,33
19:21,2440,Lindsey Drew missed Three Point Jumper.,33,33
19:21,2084,Nick Perkins Defensive Rebound.,33,33
19:01,2084,Ikenna Smart made Layup. Assisted by Dontay Caruthers.,35,33
18:50,2440,Marcus Marshall missed Three Point Jumper.,35,33
18:50,2084,Blake Hamilton Defensive Rebound.,35,33
18:42,2084,Blake Hamilton missed Layup.,35,33
18:42,2440,Jordan Caroline Defensive Rebound.,35,33
18:36,2440,Elijah Foster made Dunk. Assisted by Lindsey Drew.,35,35
18:07,2084,Nick Perkins missed Layup.,35,35
18:07,2440,Elijah Foster Defensive Rebound.,35,35
17:52,2440,Elijah Foster missed Layup.,35,35
17:52,2084,Ikenna Smart Block.,35,35
17:52,2084,Ikenna Smart Defensive Rebound.,35,35
17:52,2084,Raheem Johnson made Layup. Assisted by Blake Hamilton.,37,35
17:10,2440,Lindsey Drew Turnover.,37,35
17:09,2084,Davonta Jordan Steal.,37,35
17:06,2084,Raheem Johnson made Dunk. Assisted by Davonta Jordan.,39,35
16:48,2084,Foul on Raheem Johnson.,39,35
16:44,2440,Marcus Marshall made Three Point Jumper. Assisted by Jordan Caroline.,39,38
16:12,2084,Blake Hamilton missed Jumper.,39,38
16:12,2440,Nevada Deadball Team Rebound.,39,38
16:09,2084,Foul on Davonta Jordan.,39,38
16:02,2440,Lindsey Drew Turnover.,39,38
16:01,2084,Dontay Caruthers Steal.,39,38
15:57,2084,Willie Conner made Layup. Assisted by Dontay Caruthers.,41,38
15:50,2440,Foul on Marcus Marshall.,41,38
15:47,2440,Official TV Timeout,41,38
15:47,2084,Willie Conner made Free Throw.,42,38
15:41,2440,Marcus Marshall missed Three Point Jumper.,42,38
15:41,2084,David Kadiri Defensive Rebound.,42,38
15:38,2084,David Kadiri Turnover.,42,38
15:24,2084,Foul on David Kadiri.,42,38
15:21,2440,Marcus Marshall missed Three Point Jumper.,42,38
15:21,2440,Jordan Caroline Offensive Rebound.,42,38
15:17,2084,Foul on David Kadiri.,42,38
15:17,2440,Jordan Caroline made Free Throw.,42,39
15:17,2440,Jordan Caroline missed Free Throw.,42,39
15:17,2084,Blake Hamilton Defensive Rebound.,42,39
14:51,2084,Blake Hamilton missed Jumper.,42,39
14:51,2440,Cameron Oliver Defensive Rebound.,42,39
14:39,2440,Cameron Oliver missed Three Point Jumper.,42,39
14:39,2440,Nevada Offensive Rebound.,42,39
14:30,2084,Foul on Dontay Caruthers.,42,39
14:27,2440,Marcus Marshall Turnover.,42,39
14:26,2084,Blake Hamilton Steal.,42,39
14:25,2440,Foul on Jordan Caroline.,42,39
14:25,2084,Willie Conner missed Free Throw.,42,39
14:25,2084,Buffalo Deadball Team Rebound.,42,39
14:25,2084,Willie Conner made Free Throw.,43,39
14:08,2440,Marcus Marshall made Jumper. Assisted by Elijah Foster.,43,41
14:08,2084,Foul on Nick Perkins.,43,41
14:08,2440,Cameron Oliver made Free Throw.,43,42
13:47,2440,Foul on D.J. Fenner.,43,42
13:47,2084,Willie Conner missed Free Throw.,43,42
13:47,2084,Buffalo Deadball Team Rebound.,43,42
13:47,2084,Willie Conner made Free Throw.,44,42
13:38,2084,Foul on Raheem Johnson.,44,42
13:38,2440,Cameron Oliver made Free Throw.,44,43
13:38,2440,Cameron Oliver missed Free Throw.,44,43
13:38,2084,Ikenna Smart Defensive Rebound.,44,43
13:19,2084,Willie Conner made Layup. Assisted by Blake Hamilton.,46,43
13:19,2440,Foul on Cameron Oliver.,46,43
13:19,2084,Willie Conner missed Free Throw.,46,43
13:19,2440,Cameron Oliver Defensive Rebound.,46,43
12:45,2440,Marcus Marshall missed Three Point Jumper.,46,43
12:45,2084,Blake Hamilton Defensive Rebound.,46,43
12:30,2084,Ikenna Smart made Layup. Assisted by Blake Hamilton.,48,43
12:13,2440,Cameron Oliver made Three Point Jumper. Assisted by Marcus Marshall.,48,46
11:58,2084,Blake Hamilton made Three Point Jumper.,51,46
11:21,2440,Jordan Caroline missed Jumper.,51,46
11:21,2084,Buffalo Deadball Team Rebound.,51,46
11:10,2084,Nick Perkins missed Layup.,51,46
11:10,2440,Cameron Oliver Block.,51,46
11:07,2440,Cameron Oliver Defensive Rebound.,51,46
10:44,2440,Marcus Marshall made Three Point Jumper.,51,49
10:25,2084,Nick Perkins missed Jumper.,51,49
10:25,2440,Elijah Foster Defensive Rebound.,51,49
10:17,2440,Elijah Foster missed Layup.,51,49
10:17,2440,Cameron Oliver Offensive Rebound.,51,49
10:13,2440,Cameron Oliver made Dunk.,51,51
9:49,2084,Ikenna Smart made Dunk. Assisted by Blake Hamilton.,53,51
9:31,2440,Lindsey Drew Turnover.,53,51
9:29,2084,Dontay Caruthers Steal.,53,51
9:27,2084,Dontay Caruthers made Layup.,55,51
9:10,2440,Lindsey Drew made Three Point Jumper. Assisted by Marcus Marshall.,55,54
8:38,2084,Willie Conner made Three Point Jumper.,58,54
8:13,2440,Elijah Foster made Jumper. Assisted by Lindsey Drew.,58,56
7:54,2084,Nick Perkins missed Three Point Jumper.,58,56
7:54,2440,Lindsey Drew Defensive Rebound.,58,56
7:45,2440,Lindsey Drew made Three Point Jumper.,58,59
7:23,2084,Willie Conner missed Three Point Jumper.,58,59
7:23,2440,Lindsey Drew Defensive Rebound.,58,59
7:12,2440,Marcus Marshall made Three Point Jumper. Assisted by Lindsey Drew.,58,62
6:54,2440,Foul on Lindsey Drew.,58,62
6:54,2440,Official TV Timeout,58,62
6:54,2084,Blake Hamilton made Free Throw.,59,62
6:54,2084,Blake Hamilton made Free Throw.,60,62
6:31,2440,Cameron Oliver missed Three Point Jumper.,60,62
6:31,2084,Ikenna Smart Defensive Rebound.,60,62
6:22,2084,Ikenna Smart Turnover.,60,62
6:18,2084,Foul on Dontay Caruthers.,60,62
6:18,2440,Marcus Marshall made Free Throw.,60,63
6:18,2440,Marcus Marshall made Free Throw.,60,64
6:02,2084,Davonta Jordan Turnover.,60,64
6:01,2440,Marcus Marshall Steal.,60,64
5:58,2440,Marcus Marshall missed Three Point Jumper.,60,64
5:58,2440,Cameron Oliver Offensive Rebound.,60,64
5:53,2440,Jordan Caroline missed Dunk.,60,64
5:53,2084,Davonta Jordan Defensive Rebound.,60,64
5:37,2084,Davonta Jordan missed Layup.,60,64
5:37,2440,Cameron Oliver Defensive Rebound.,60,64
5:18,2440,Cameron Oliver made Three Point Jumper. Assisted by Lindsey Drew.,60,67
5:09,2084,Buffalo  Timeout,60,67
4:57,2084,Blake Hamilton Turnover.,60,67
4:56,2440,Marcus Marshall Steal.,60,67
4:42,2440,Marcus Marshall missed Three Point Jumper.,60,67
4:42,2084,Nick Perkins Defensive Rebound.,60,67
4:29,2084,Blake Hamilton missed Jumper.,60,67
4:29,2084,David Kadiri Offensive Rebound.,60,67
4:26,2084,David Kadiri missed Layup.,60,67
4:26,2440,Cameron Oliver Block.,60,67
4:24,2084,Nick Perkins Offensive Rebound.,60,67
4:21,2084,Nick Perkins missed Layup.,60,67
4:21,2440,Cameron Oliver Block.,60,67
4:21,2440,Nevada Defensive Rebound.,60,67
4:07,2440,Cameron Oliver missed Three Point Jumper.,60,67
4:07,2084,Willie Conner Defensive Rebound.,60,67
4:00,2084,Willie Conner made Layup.,62,67
3:30,2440,Marcus Marshall missed Three Point Jumper.,62,67
3:30,2084,David Kadiri Defensive Rebound.,62,67
3:03,2084,Blake Hamilton missed Jumper.,62,67
3:03,2440,Cameron Oliver Defensive Rebound.,62,67
2:42,2440,Cameron Oliver missed Three Point Jumper.,62,67
2:42,2084,Buffalo Deadball Team Rebound.,62,67
2:40,2440,Foul on Elijah Foster.,62,67
2:31,2084,Willie Conner missed Jumper.,62,67
2:31,2440,Jordan Caroline Defensive Rebound.,62,67
2:12,2440,Cameron Oliver missed Jumper.,62,67
2:12,2440,Nevada Offensive Rebound.,62,67
1:38,2440,Foul on Jordan Caroline.,62,67
1:38,2440,Jordan Caroline Turnover.,62,67
1:25,2084,Blake Hamilton missed Layup.,62,67
1:25,2440,Cameron Oliver Block.,62,67
1:24,2084,Blake Hamilton Offensive Rebound.,62,67
1:22,2084,Buffalo  Timeout,62,67
1:20,2084,Blake Hamilton missed Jumper.,62,67
1:20,2440,Elijah Foster Defensive Rebound.,62,67
0:45,2440,Elijah Foster missed Jumper.,62,67
0:45,2084,Nick Perkins Defensive Rebound.,62,67
0:41,2084,Nick Perkins Turnover.,62,67
0:40,2440,Lindsey Drew Steal.,62,67
0:33,2440,Foul on Marcus Marshall.,62,67
0:33,2440,Marcus Marshall Turnover.,62,67
0:17,2084,Blake Hamilton missed Three Point Jumper.,62,67
0:17,2084,Nick Perkins Offensive Rebound.,62,67
0:14,2084,Nick Perkins missed Three Point Jumper.,62,67
0:14,2440,Cameron Oliver Defensive Rebound.,62,67
0:08,2084,Foul on Nick Perkins.,62,67
0:08,2440,Jordan Caroline missed Free Throw.,62,67
0:08,2084,Blake Hamilton Defensive Rebound.,62,67
0:02,2084,Blake Hamilton missed Three Point Jumper.,62,67
0:02,2440,Lindsey Drew Defensive Rebound.,62,67
0:00,2440,End of Game,62,67
