Stony Brook,119,Towson,2619
9:31,119,Mike Morsell made Three Point Jumper.,24,18
9:22,119,Foul on Eddie Keith II.,24,18
9:09,119,Foul on Alex Thomas.,24,18
9:09,2619,Tyrell Sturdivant made Free Throw.,25,18
9:09,2619,Tyrell Sturdivant made Free Throw.,26,18
8:57,119,Arnaud William Adala Moto missed Jumper.,26,18
8:57,119,John Davis Offensive Rebound.,26,18
8:54,2619,Foul on Lucas Woodhouse.,26,18
8:54,119,John Davis made Free Throw.,26,19
8:54,119,John Davis made Free Throw.,26,20
8:38,2619,Tyrell Sturdivant missed Jumper.,26,20
8:38,119,Arnaud William Adala Moto Defensive Rebound.,26,20
8:30,119,Arnaud William Adala Moto Turnover.,26,20
8:30,119,Foul on Arnaud William Adala Moto.,26,20
8:21,2619,Stony Brook  Timeout,26,20
8:21,119,Official TV Timeout,26,20
8:07,2619,UC Iroegbu missed Jumper.,26,20
8:07,119,John Davis Defensive Rebound.,26,20
7:58,2619,Foul on UC Iroegbu.,26,20
7:58,119,Arnaud William Adala Moto made Free Throw.,26,21
7:58,119,Arnaud William Adala Moto made Free Throw.,26,22
7:49,2619,Lucas Woodhouse Turnover.,26,22
7:49,119,Zane Martin Steal.,26,22
7:46,2619,Foul on Kameron Mitchell.,26,22
7:46,119,Arnaud William Adala Moto made Free Throw.,26,23
7:46,119,Arnaud William Adala Moto made Free Throw.,26,24
7:42,2619,Akwasi Yeboah Turnover.,26,24
7:39,119,John Davis Steal.,26,24
7:38,2619,Foul on Akwasi Yeboah.,26,24
7:38,119,Zane Martin missed Free Throw.,26,24
7:38,119,Towson Deadball Team Rebound.,26,24
7:38,119,Zane Martin made Free Throw.,26,25
7:10,2619,Tyrell Sturdivant missed Jumper.,26,25
7:10,119,Towson Defensive Rebound.,26,25
6:53,119,Arnaud William Adala Moto Turnover.,26,25
6:33,2619,Tyrell Sturdivant Turnover.,26,25
6:16,119,Brian Starr made Jumper.,26,27
5:48,2619,Lucas Woodhouse Turnover.,26,27
5:35,119,Deshaun Morman made Jumper.,26,29
5:35,2619,Foul on Lucas Woodhouse.,26,29
5:35,119,Deshaun Morman missed Free Throw.,26,29
5:35,119,Deshaun Morman Offensive Rebound.,26,29
5:33,119,Deshaun Morman missed Jumper.,26,29
5:33,119,Arnaud William Adala Moto Offensive Rebound.,26,29
5:30,119,Arnaud William Adala Moto made Layup.,26,31
5:03,2619,Bryan Sekunda missed Three Point Jumper.,26,31
5:03,2619,Bryan Sekunda Offensive Rebound.,26,31
4:58,2619,Bryan Sekunda Turnover.,26,31
4:57,119,Arnaud William Adala Moto Steal.,26,31
4:52,119,Mike Morsell made Layup. Assisted by Deshaun Morman.,26,33
4:50,2619,Stony Brook  Timeout,26,33
4:29,2619,Bryan Sekunda missed Layup.,26,33
4:29,119,Dennis Tunstall Block.,26,33
4:27,2619,Jakub Petras Offensive Rebound.,26,33
4:25,2619,Jakub Petras missed Layup.,26,33
4:25,2619,Bryan Sekunda Offensive Rebound.,26,33
4:22,2619,Lucas Woodhouse missed Three Point Jumper.,26,33
4:22,119,Deshaun Morman Defensive Rebound.,26,33
4:13,119,Deshaun Morman made Layup.,26,35
3:51,2619,Bryan Sekunda missed Three Point Jumper.,26,35
3:51,119,Brian Starr Defensive Rebound.,26,35
3:32,119,Dennis Tunstall made Jumper. Assisted by Brian Starr.,26,37
3:04,2619,Junior Saintel Turnover.,26,37
3:04,119,Deshaun Morman Steal.,26,37
3:01,119,Deshaun Morman made Layup. Assisted by Mike Morsell.,26,39
3:01,2619,Foul on Junior Saintel.,26,39
3:01,119,Official TV Timeout,26,39
3:01,119,Deshaun Morman made Free Throw.,26,40
2:43,2619,UC Iroegbu missed Three Point Jumper.,26,40
2:43,119,Eddie Keith II Defensive Rebound.,26,40
2:27,119,Mike Morsell made Three Point Jumper.,26,43
2:06,2619,Akwasi Yeboah missed Jumper.,26,43
2:06,119,John Davis Defensive Rebound.,26,43
1:57,119,John Davis made Three Point Jumper. Assisted by Eddie Keith II.,26,46
1:39,119,Foul on Justin Gorham.,26,46
1:39,2619,Roland Nyama missed Free Throw.,26,46
1:39,119,Mike Morsell Defensive Rebound.,26,46
1:24,119,Mike Morsell missed Three Point Jumper.,26,46
1:24,119,Towson Offensive Rebound.,26,46
1:04,119,John Davis made Jumper.,26,48
0:47,2619,Jakub Petras missed Jumper.,26,48
0:47,119,John Davis Defensive Rebound.,26,48
0:26,119,Jordan McNeil missed Three Point Jumper.,26,48
0:26,2619,UC Iroegbu Defensive Rebound.,26,48
0:18,2619,Roland Nyama missed Three Point Jumper.,26,48
0:18,119,Mike Morsell Defensive Rebound.,26,48
0:11,119,Jordan McNeil missed Dunk.,26,48
0:11,2619,Michael Almonacy Defensive Rebound.,26,48
0:10,119,Foul on Justin Gorham.,26,48
0:10,2619,Michael Almonacy made Free Throw.,27,48
0:10,2619,Michael Almonacy made Free Throw.,28,48
0:10,119,Towson  Timeout,28,48
0:02,119,Mike Morsell made Layup.,28,50
0:00,119,End of 1st half,28,50
19:32,2619,Lucas Woodhouse made Three Point Jumper.,31,50
19:15,2619,Foul on Akwasi Yeboah.,31,50
19:15,119,Arnaud William Adala Moto missed Free Throw.,31,50
19:15,119,Towson Deadball Team Rebound.,31,50
19:15,119,Arnaud William Adala Moto made Free Throw.,31,51
18:53,2619,Tyrell Sturdivant missed Jumper.,31,51
18:53,2619,Tyrell Sturdivant Offensive Rebound.,31,51
18:35,2619,Foul on Lucas Woodhouse.,33,51
18:35,119,Deshaun Morman made Free Throw.,33,52
18:35,119,Deshaun Morman made Free Throw.,33,53
18:12,119,Foul on Deshaun Morman.,33,53
18:00,119,Foul on Mike Morsell.,33,53
18:00,2619,Tyrell Sturdivant made Free Throw.,34,53
18:00,2619,Tyrell Sturdivant missed Free Throw.,34,53
18:00,119,Arnaud William Adala Moto Defensive Rebound.,34,53
17:53,119,Mike Morsell made Layup. Assisted by Arnaud William Adala Moto.,34,55
17:35,2619,Akwasi Yeboah missed Jumper.,34,55
17:35,119,Alex Thomas Defensive Rebound.,34,55
17:30,2619,Foul on Akwasi Yeboah.,34,55
17:17,119,Eddie Keith II missed Jumper.,34,55
17:17,119,Alex Thomas Offensive Rebound.,34,55
17:15,2619,Foul on Tyrell Sturdivant.,34,55
17:15,119,Alex Thomas made Free Throw.,34,56
17:15,119,Alex Thomas made Free Throw.,34,57
17:03,119,Foul on Alex Thomas.,34,57
17:03,2619,Junior Saintel missed Free Throw.,34,57
17:03,2619,Stony Brook Deadball Team Rebound.,34,57
17:03,2619,Junior Saintel made Free Throw.,35,57
16:42,119,Alex Thomas Turnover.,35,57
16:35,2619,UC Iroegbu Turnover.,35,57
16:33,119,Deshaun Morman Steal.,35,57
16:29,119,Deshaun Morman Turnover.,35,57
16:28,2619,Lucas Woodhouse Steal.,35,57
16:23,2619,Tyrell Sturdivant Turnover.,35,57
16:07,119,Mike Morsell missed Layup.,35,57
16:07,2619,Junior Saintel Defensive Rebound.,35,57
16:04,2619,Junior Saintel Turnover.,35,57
16:03,119,Mike Morsell Steal.,35,57
16:01,119,Arnaud William Adala Moto missed Layup.,35,57
16:01,119,Mike Morsell Offensive Rebound.,35,57
16:00,119,Mike Morsell made Two Point Tip Shot.,35,59
15:40,2619,Tyrell Sturdivant missed Jumper.,35,59
15:40,119,Deshaun Morman Defensive Rebound.,35,59
15:31,119,Mike Morsell missed Three Point Jumper.,35,59
15:31,2619,Tyrell Sturdivant Defensive Rebound.,35,59
15:21,2619,Bryan Sekunda made Three Point Jumper. Assisted by Lucas Woodhouse.,38,59
15:05,2619,Foul on Kameron Mitchell.,38,59
15:05,119,Official TV Timeout,38,59
14:52,119,Arnaud William Adala Moto Turnover.,38,59
14:30,119,Foul on Deshaun Morman.,38,59
14:21,119,Foul on Deshaun Morman.,38,59
14:19,2619,Lucas Woodhouse missed Three Point Jumper.,38,59
14:19,119,John Davis Defensive Rebound.,38,59
14:08,119,Zane Martin missed Layup.,38,59
14:08,119,Alex Thomas Offensive Rebound.,38,59
14:07,119,Alex Thomas made Layup.,38,61
14:07,2619,Foul on Tyrell Sturdivant.,38,61
14:07,119,Alex Thomas made Free Throw.,38,62
13:56,2619,Roland Nyama missed Three Point Jumper.,38,62
13:56,119,Zane Martin Defensive Rebound.,38,62
13:45,119,John Davis missed Jumper.,38,62
13:45,2619,Roland Nyama Defensive Rebound.,38,62
13:30,2619,Michael Almonacy missed Three Point Jumper.,38,62
13:30,2619,Bryan Sekunda Offensive Rebound.,38,62
13:26,119,Foul on Alex Thomas.,38,62
13:21,2619,Kameron Mitchell made Three Point Jumper. Assisted by Bryan Sekunda.,41,62
13:02,119,Zane Martin Turnover.,41,62
12:48,2619,Jakub Petras made Jumper.,43,62
12:20,119,Arnaud William Adala Moto made Layup.,43,64
12:20,2619,Foul on Roland Nyama.,43,64
12:20,119,Arnaud William Adala Moto made Free Throw.,43,65
12:03,2619,Bryan Sekunda missed Three Point Jumper.,43,65
12:03,2619,Jakub Petras Offensive Rebound.,43,65
11:56,2619,Jakub Petras missed Layup.,43,65
11:56,119,Dennis Tunstall Block.,43,65
11:55,119,Jordan McNeil Defensive Rebound.,43,65
11:49,119,Brian Starr missed Three Point Jumper.,43,65
11:49,119,Arnaud William Adala Moto Offensive Rebound.,43,65
11:47,2619,Foul on Michael Almonacy.,43,65
11:47,119,Official TV Timeout,43,65
11:47,119,Dennis Tunstall made Free Throw.,43,66
11:47,119,Dennis Tunstall missed Free Throw.,43,66
11:47,2619,Michael Almonacy Defensive Rebound.,43,66
11:30,119,Foul on Jordan McNeil.,43,66
11:30,2619,Michael Almonacy made Free Throw.,44,66
11:30,2619,Michael Almonacy made Free Throw.,45,66
11:14,119,Mike Morsell Turnover.,45,66
11:14,119,Foul on Mike Morsell.,45,66
10:53,2619,Kameron Mitchell missed Three Point Jumper.,45,66
10:53,119,Jordan McNeil Defensive Rebound.,45,66
10:41,119,Mike Morsell missed Jumper.,45,66
10:41,2619,Kameron Mitchell Defensive Rebound.,45,66
10:35,2619,Roland Nyama made Jumper. Assisted by Bryan Sekunda.,47,66
10:29,119,Official TV Timeout,47,66
10:29,119,Official TV Timeout,47,66
10:20,2619,Foul on Jakub Petras.,47,66
10:20,119,Arnaud William Adala Moto missed Free Throw.,47,66
10:20,119,Towson Deadball Team Rebound.,47,66
10:20,119,Arnaud William Adala Moto made Free Throw.,47,67
10:00,2619,Bryan Sekunda missed Three Point Jumper.,47,67
10:00,119,Jordan McNeil Defensive Rebound.,47,67
9:53,119,Jordan McNeil missed Layup.,47,67
9:53,2619,UC Iroegbu Block.,47,67
9:52,2619,UC Iroegbu Defensive Rebound.,47,67
9:44,2619,Roland Nyama made Layup.,49,67
9:19,119,Alex Thomas missed Jumper.,49,67
9:19,2619,Roland Nyama Defensive Rebound.,49,67
9:08,2619,Jakub Petras missed Jumper.,49,67
9:08,2619,Michael Almonacy Offensive Rebound.,49,67
9:05,2619,Michael Almonacy missed Layup.,49,67
9:05,119,Eddie Keith II Defensive Rebound.,49,67
8:44,119,Zane Martin missed Jumper.,49,67
8:44,119,Alex Thomas Offensive Rebound.,49,67
8:41,119,Alex Thomas made Layup.,49,69
8:25,2619,Roland Nyama made Jumper.,51,69
8:04,2619,Foul on Roland Nyama.,51,69
8:04,119,Alex Thomas made Free Throw.,51,70
8:04,119,Alex Thomas missed Free Throw.,51,70
8:04,2619,UC Iroegbu Defensive Rebound.,51,70
7:54,2619,Roland Nyama missed Three Point Jumper.,51,70
7:54,119,John Davis Defensive Rebound.,51,70
7:50,119,John Davis Turnover.,51,70
7:50,119,Official TV Timeout,51,70
7:46,2619,Michael Almonacy missed Three Point Jumper.,51,70
7:46,119,Brian Starr Defensive Rebound.,51,70
7:33,119,Alex Thomas made Layup.,51,72
7:21,2619,Roland Nyama missed Three Point Jumper.,51,72
7:21,119,Deshaun Morman Defensive Rebound.,51,72
7:04,119,Alex Thomas missed Jumper.,51,72
7:04,2619,Roland Nyama Defensive Rebound.,51,72
7:03,119,Foul on John Davis.,51,72
7:03,2619,Roland Nyama missed Free Throw.,51,72
7:03,119,Arnaud William Adala Moto Defensive Rebound.,51,72
6:47,119,John Davis made Jumper.,51,74
6:22,2619,Tyrell Sturdivant made Jumper.,53,74
6:06,119,John Davis missed Jumper.,53,74
6:06,2619,Stony Brook Defensive Rebound.,53,74
5:48,2619,Akwasi Yeboah missed Three Point Jumper.,53,74
5:48,119,John Davis Defensive Rebound.,53,74
5:38,119,John Davis made Jumper. Assisted by Arnaud William Adala Moto.,53,76
5:19,119,Foul on Mike Morsell.,53,76
5:19,2619,Kameron Mitchell missed Free Throw.,53,76
5:19,2619,Stony Brook Deadball Team Rebound.,53,76
5:19,2619,Kameron Mitchell made Free Throw.,54,76
5:08,2619,Foul on Kameron Mitchell.,54,76
5:08,2619,Stony Brook  Timeout,54,76
5:08,119,Deshaun Morman made Free Throw.,54,77
5:08,119,Deshaun Morman made Free Throw.,54,78
4:53,2619,Kameron Mitchell missed Jumper.,54,78
4:53,119,Arnaud William Adala Moto Defensive Rebound.,54,78
4:41,119,Brian Starr missed Layup.,54,78
4:41,119,John Davis Offensive Rebound.,54,78
4:39,119,John Davis made Layup.,54,80
4:20,2619,Junior Saintel Turnover.,54,80
4:19,119,John Davis Steal.,54,80
4:19,119,John Davis Turnover.,54,80
4:19,119,Foul on John Davis.,54,80
4:11,119,Foul on John Davis.,54,80
4:11,2619,Tyrell Sturdivant made Free Throw.,55,80
4:11,2619,Tyrell Sturdivant made Free Throw.,56,80
3:39,119,Deshaun Morman made Jumper.,56,82
3:33,2619,Tyrell Sturdivant Turnover.,56,82
3:32,119,Deshaun Morman Steal.,56,82
3:30,119,Deshaun Morman missed Layup.,56,82
3:30,2619,Kameron Mitchell Defensive Rebound.,56,82
3:26,2619,Lucas Woodhouse made Three Point Jumper. Assisted by Kameron Mitchell.,59,82
3:09,119,Official TV Timeout,59,82
3:09,2619,Foul on Lucas Woodhouse.,59,82
3:09,119,Deshaun Morman missed Free Throw.,59,82
3:09,119,Towson Deadball Team Rebound.,59,82
3:09,119,Deshaun Morman made Free Throw.,59,83
2:50,2619,Roland Nyama missed Three Point Jumper.,59,83
2:46,2619,Foul on Alonzo Campbell.,59,83
2:46,119,Justin Gorham made Free Throw.,59,84
2:46,119,Justin Gorham missed Free Throw.,59,84
2:46,2619,Roland Nyama Defensive Rebound.,59,84
2:46,119,Justin Gorham Defensive Rebound.,59,83
2:34,2619,Alonzo Campbell Turnover.,59,84
2:13,2619,Foul on Roland Nyama.,59,84
2:13,119,Jordan McNeil missed Free Throw.,59,84
2:13,119,Towson Deadball Team Rebound.,59,84
2:13,119,Jordan McNeil missed Free Throw.,59,84
2:13,119,Justin Gorham Offensive Rebound.,59,84
2:12,2619,Foul on Alonzo Campbell.,59,84
2:12,119,Justin Gorham missed Free Throw.,59,84
2:12,119,Towson Deadball Team Rebound.,59,84
2:12,119,Justin Gorham made Free Throw.,59,85
1:59,2619,Bryan Sekunda missed Three Point Jumper.,59,85
1:59,119,Jordan McNeil Defensive Rebound.,59,85
1:48,119,Zane Martin missed Layup.,59,85
1:48,119,Justin Gorham Offensive Rebound.,59,85
1:46,119,Justin Gorham missed Jumper.,59,85
1:46,2619,Alonzo Campbell Block.,59,85
1:43,119,Dennis Tunstall Offensive Rebound.,59,85
1:42,119,Dennis Tunstall missed Two Point Tip Shot.,59,85
1:42,2619,Bryan Sekunda Defensive Rebound.,59,85
1:38,2619,Michael Almonacy missed Three Point Jumper.,59,85
1:38,2619,Stony Brook Offensive Rebound.,59,85
1:27,2619,UC Iroegbu made Three Point Jumper. Assisted by Bryan Sekunda.,62,85
1:00,119,Jordan McNeil Turnover.,62,85
0:59,2619,UC Iroegbu Steal.,62,85
0:57,119,Foul on Jordan McNeil.,62,85
0:57,2619,Michael Almonacy made Free Throw.,63,85
0:57,2619,Michael Almonacy missed Free Throw.,63,85
0:57,119,Zane Martin Defensive Rebound.,63,85
0:50,119,Zane Martin Turnover.,63,85
0:39,2619,Bryan Sekunda Turnover.,63,85
0:23,119,Justin Gorham missed Jumper.,63,85
0:23,119,Justin Gorham Offensive Rebound.,63,85
0:12,119,Jordan McNeil made Layup.,63,87
0:12,2619,Foul on Michael Almonacy.,63,87
0:12,119,Jordan McNeil made Free Throw.,63,88
0:02,2619,Michael Almonacy missed Three Point Jumper.,63,88
0:02,119,Towson Deadball Team Rebound.,63,88
0:00,119,End of Game,63,88
