Nebraska,26,UCLA,158
12:13,158,Foul on Jordy Tshimanga.,10,9
12:08,26,Lonzo Ball made Three Point Jumper. Assisted by Ike Anigbogu.,10,12
11:45,158,Isaiah Roby missed Layup.,10,12
11:45,158,Jordy Tshimanga Offensive Rebound.,10,12
11:42,158,Jordy Tshimanga missed Jumper.,10,12
11:42,26,Ike Anigbogu Defensive Rebound.,10,12
11:36,26,Isaac Hamilton missed Three Point Jumper.,10,12
11:36,158,Anton Gill Defensive Rebound.,10,12
11:04,158,Jack McVeigh missed Three Point Jumper.,10,12
11:04,26,TJ Leaf Defensive Rebound.,10,12
11:02,26,Official TV Timeout,10,12
10:44,26,Ike Anigbogu made Jumper. Assisted by Gyorgy Goloman.,10,14
10:22,158,Glynn Watson Jr. made Layup.,12,14
10:22,26,Foul on Lonzo Ball.,12,14
10:22,158,Glynn Watson Jr. made Free Throw.,13,14
10:02,26,Aaron Holiday missed Three Point Jumper.,13,14
10:02,26,Gyorgy Goloman Offensive Rebound.,13,14
9:56,158,Foul on Jeriah Horne.,13,14
9:45,26,Foul on Ike Anigbogu.,13,14
9:45,26,Ike Anigbogu Turnover.,13,14
9:32,158,Jeriah Horne missed Three Point Jumper.,13,14
9:32,158,Michael Jacobson Offensive Rebound.,13,14
9:27,158,Michael Jacobson missed Layup.,13,14
9:27,26,Gyorgy Goloman Block.,13,14
9:23,26,Thomas Welsh Defensive Rebound.,13,14
9:19,26,Bryce Alford missed Three Point Jumper.,13,14
9:19,26,Bryce Alford Offensive Rebound.,13,14
9:07,26,Lonzo Ball missed Jumper.,13,14
9:07,158,Michael Jacobson Block.,13,14
9:06,158,Glynn Watson Jr. Defensive Rebound.,13,14
8:51,158,Glynn Watson Jr. missed Three Point Jumper.,13,14
8:51,26,Gyorgy Goloman Defensive Rebound.,13,14
8:32,158,Foul on Michael Jacobson.,13,14
8:23,26,Gyorgy Goloman missed Layup.,13,14
8:23,26,Gyorgy Goloman Offensive Rebound.,13,14
8:21,26,Gyorgy Goloman made Two Point Tip Shot.,13,16
8:01,158,Evan Taylor missed Jumper.,13,16
8:01,26,Thomas Welsh Defensive Rebound.,13,16
7:51,26,Thomas Welsh made Dunk. Assisted by Aaron Holiday.,13,18
7:33,26,Foul on Aaron Holiday.,13,18
7:33,26,Official TV Timeout,13,18
7:20,158,Ed Morrow Turnover.,13,18
7:20,26,Gyorgy Goloman Steal.,13,18
7:07,26,Bryce Alford made Jumper. Assisted by Gyorgy Goloman.,13,20
6:55,158,Ed Morrow made Dunk. Assisted by Glynn Watson Jr..,15,20
6:37,26,Gyorgy Goloman Turnover.,15,20
6:28,158,Jack McVeigh missed Layup.,15,20
6:28,158,Jack McVeigh Offensive Rebound.,15,20
6:26,26,Foul on Isaac Hamilton.,15,20
6:26,158,Jack McVeigh made Free Throw.,16,20
6:26,158,Jack McVeigh missed Free Throw.,16,20
6:26,26,TJ Leaf Defensive Rebound.,16,20
6:12,26,Isaac Hamilton made Jumper.,16,22
5:54,158,Glynn Watson Jr. made Layup.,18,22
5:54,26,Foul on TJ Leaf.,18,22
5:54,158,Glynn Watson Jr. made Free Throw.,19,22
5:37,26,Isaac Hamilton missed Jumper.,19,22
5:37,158,Ed Morrow Defensive Rebound.,19,22
5:11,158,Glynn Watson Jr. missed Layup.,19,22
5:11,26,Bryce Alford Defensive Rebound.,19,22
5:04,26,Aaron Holiday made Layup.,19,24
4:39,26,Foul on Gyorgy Goloman.,19,24
4:39,158,Ed Morrow missed Free Throw.,19,24
4:39,26,Lonzo Ball Defensive Rebound.,19,24
4:26,26,Gyorgy Goloman made Jumper. Assisted by Lonzo Ball.,19,26
4:17,158,Glynn Watson Jr. missed Layup.,19,26
4:17,26,Gyorgy Goloman Block.,19,26
4:14,26,Bryce Alford Defensive Rebound.,19,26
4:11,158,Foul on Isaiah Roby.,19,26
4:03,26,Aaron Holiday made Jumper.,19,28
3:30,158,Tai Webster missed Jumper.,19,28
3:30,26,Isaac Hamilton Defensive Rebound.,19,28
3:20,158,Foul on Glynn Watson Jr..,19,28
3:20,26,Official TV Timeout,19,28
3:20,26,Aaron Holiday missed Free Throw.,19,28
3:20,158,Jordy Tshimanga Defensive Rebound.,19,28
2:55,158,Anton Gill missed Three Point Jumper.,19,28
2:55,26,Thomas Welsh Defensive Rebound.,19,28
2:37,26,Aaron Holiday missed Jumper.,19,28
2:37,158,Nebraska Defensive Rebound.,19,28
2:27,158,Tai Webster missed Jumper.,19,28
2:27,26,Lonzo Ball Defensive Rebound.,19,28
2:14,26,Isaac Hamilton made Three Point Jumper. Assisted by Bryce Alford.,19,31
1:53,158,Tai Webster made Layup.,21,31
1:40,26,Isaac Hamilton missed Three Point Jumper.,21,31
1:40,158,Tai Webster Defensive Rebound.,21,31
1:32,158,Anton Gill missed Three Point Jumper.,21,31
1:32,26,Thomas Welsh Defensive Rebound.,21,31
1:21,26,Lonzo Ball made Three Point Jumper.,21,34
1:19,158,Nebraska  Timeout,21,34
1:03,158,Jordy Tshimanga made Jumper. Assisted by Tai Webster.,23,34
0:46,26,Thomas Welsh made Jumper. Assisted by Bryce Alford.,23,36
0:26,158,Tai Webster made Jumper.,25,36
0:24,26,UCLA  Timeout,25,36
0:05,26,Thomas Welsh made Jumper. Assisted by Lonzo Ball.,25,38
0:00,26,End of 1st half,25,38
19:52,26,Lonzo Ball made Dunk. Assisted by TJ Leaf.,25,40
19:31,158,Glynn Watson Jr. made Layup.,27,40
19:14,26,Lonzo Ball missed Three Point Jumper.,27,40
19:14,158,Ed Morrow Defensive Rebound.,27,40
19:04,158,Tai Webster missed Layup.,27,40
19:04,158,Michael Jacobson Offensive Rebound.,27,40
19:02,158,Michael Jacobson made Two Point Tip Shot.,29,40
18:49,26,Isaac Hamilton missed Three Point Jumper.,29,40
18:49,158,Glynn Watson Jr. Defensive Rebound.,29,40
18:43,26,Foul on Lonzo Ball.,29,40
18:43,158,Glynn Watson Jr. made Free Throw.,30,40
18:43,158,Glynn Watson Jr. made Free Throw.,31,40
18:26,26,Bryce Alford made Jumper. Assisted by Thomas Welsh.,31,42
18:13,158,Ed Morrow made Layup. Assisted by Glynn Watson Jr..,33,42
17:50,26,Bryce Alford made Jumper.,33,44
17:27,158,Jack McVeigh missed Three Point Jumper.,33,44
17:27,26,Thomas Welsh Defensive Rebound.,33,44
17:15,26,TJ Leaf missed Layup.,33,44
17:15,158,Michael Jacobson Block.,33,44
17:15,26,UCLA Offensive Rebound.,33,44
17:13,26,Thomas Welsh made Jumper. Assisted by TJ Leaf.,33,46
17:02,158,Glynn Watson Jr. made Jumper.,35,46
16:36,158,Foul on Michael Jacobson.,35,46
16:28,26,Thomas Welsh missed Jumper.,35,46
16:28,158,Ed Morrow Defensive Rebound.,35,46
16:18,158,Ed Morrow made Layup. Assisted by Tai Webster.,37,46
16:07,26,TJ Leaf made Three Point Jumper. Assisted by Lonzo Ball.,37,49
15:56,26,Foul on Lonzo Ball.,37,49
15:56,26,Official TV Timeout,37,49
15:39,158,Glynn Watson Jr. made Layup.,39,49
15:19,26,Isaac Hamilton Turnover.,39,49
15:14,158,Michael Jacobson missed Three Point Jumper.,39,49
15:14,158,Ed Morrow Offensive Rebound.,39,49
15:09,158,Ed Morrow missed Jumper.,39,49
15:09,26,TJ Leaf Block.,39,49
15:07,158,Glynn Watson Jr. Offensive Rebound.,39,49
14:57,158,Tai Webster made Three Point Jumper. Assisted by Glynn Watson Jr..,42,49
14:54,26,UCLA  Timeout,42,49
14:46,26,Aaron Holiday Turnover.,42,49
14:44,158,Tai Webster Steal.,42,49
14:43,158,Tai Webster made Layup.,44,49
14:27,158,Foul on Jack McVeigh.,44,49
14:24,26,Isaac Hamilton made Layup. Assisted by Aaron Holiday.,44,51
14:01,158,Tai Webster made Layup.,46,51
14:01,26,Foul on Isaac Hamilton.,46,51
14:01,158,Tai Webster missed Free Throw.,46,51
14:01,26,Aaron Holiday Defensive Rebound.,46,51
13:54,26,TJ Leaf missed Jumper.,46,51
13:54,158,Michael Jacobson Defensive Rebound.,46,51
13:43,158,Glynn Watson Jr. made Jumper.,48,51
13:21,26,Bryce Alford missed Three Point Jumper.,48,51
13:21,158,Ed Morrow Defensive Rebound.,48,51
13:08,26,Foul on Aaron Holiday.,48,51
12:46,158,Tai Webster missed Layup.,48,51
12:46,26,Ike Anigbogu Block.,48,51
12:44,158,Michael Jacobson Offensive Rebound.,48,51
12:37,158,Jack McVeigh missed Jumper.,48,51
12:37,26,Aaron Holiday Defensive Rebound.,48,51
12:33,158,Foul on Glynn Watson Jr..,48,51
12:25,158,Foul on Glynn Watson Jr..,48,51
12:23,26,Lonzo Ball made Three Point Jumper. Assisted by Thomas Welsh.,48,54
11:52,158,Anton Gill missed Three Point Jumper.,48,54
11:52,158,Nebraska Offensive Rebound.,48,54
11:50,26,Foul on Bryce Alford.,48,54
11:50,26,Official TV Timeout,48,54
11:41,158,Anton Gill missed Jumper.,48,54
11:41,158,Jordy Tshimanga Offensive Rebound.,48,54
11:37,158,Glynn Watson Jr. missed Three Point Jumper.,48,54
11:37,158,Jordy Tshimanga Offensive Rebound.,48,54
11:13,158,Tai Webster Turnover.,48,54
11:08,26,Lonzo Ball missed Layup.,48,54
11:08,26,Lonzo Ball Offensive Rebound.,48,54
11:06,26,Lonzo Ball made Layup.,48,56
10:53,158,Glynn Watson Jr. made Jumper.,50,56
10:38,26,Thomas Welsh made Jumper. Assisted by TJ Leaf.,50,58
10:19,158,Anton Gill missed Jumper.,50,58
10:19,158,Tai Webster Offensive Rebound.,50,58
10:09,158,Tai Webster made Three Point Jumper. Assisted by Anton Gill.,53,58
9:53,158,Foul on Anton Gill.,53,58
9:49,26,Foul on Isaac Hamilton.,53,58
9:49,26,Isaac Hamilton Turnover.,53,58
9:26,158,Glynn Watson Jr. made Three Point Jumper.,56,58
9:09,26,Isaac Hamilton made Three Point Jumper. Assisted by Lonzo Ball.,56,61
8:44,158,Michael Jacobson missed Three Point Jumper.,56,61
8:44,26,Aaron Holiday Defensive Rebound.,56,61
8:37,26,Aaron Holiday made Layup.,56,63
8:20,158,Foul on Jordy Tshimanga.,56,63
8:20,158,Jordy Tshimanga Turnover.,56,63
8:04,26,Isaac Hamilton missed Layup.,56,63
8:04,158,Ed Morrow Defensive Rebound.,56,63
8:01,26,Foul on Lonzo Ball.,56,63
8:01,158,Tai Webster made Free Throw.,57,63
8:01,158,Tai Webster missed Free Throw.,57,63
8:01,26,UCLA Defensive Rebound.,57,63
7:45,26,Bryce Alford missed Three Point Jumper.,57,63
7:45,158,Anton Gill Defensive Rebound.,57,63
7:35,158,Anton Gill missed Three Point Jumper.,57,63
7:35,158,Tai Webster Offensive Rebound.,57,63
7:29,158,Tai Webster missed Layup.,57,63
7:29,26,Gyorgy Goloman Defensive Rebound.,57,63
7:14,26,Aaron Holiday missed Jumper.,57,63
7:14,158,Anton Gill Defensive Rebound.,57,63
7:01,158,Anton Gill missed Jumper.,57,63
7:01,26,Thomas Welsh Block.,57,63
6:58,26,Thomas Welsh Defensive Rebound.,57,63
6:49,26,TJ Leaf missed Jumper.,57,63
6:49,26,Bryce Alford Offensive Rebound.,57,63
6:47,26,Bryce Alford made Layup.,57,65
6:18,158,Anton Gill missed Three Point Jumper.,57,65
6:18,26,Thomas Welsh Defensive Rebound.,57,65
6:14,158,Foul on Michael Jacobson.,57,65
6:14,26,Official TV Timeout,57,65
6:14,26,Thomas Welsh made Free Throw.,57,66
6:14,26,Thomas Welsh made Free Throw.,57,67
5:53,158,Michael Jacobson made Layup. Assisted by Tai Webster.,59,67
5:28,158,Foul on Michael Jacobson.,59,67
5:28,26,Gyorgy Goloman missed Free Throw.,59,67
5:28,158,Tai Webster Defensive Rebound.,59,67
5:18,158,Michael Jacobson made Jumper. Assisted by Tai Webster.,61,67
4:49,26,Bryce Alford made Jumper.,61,69
4:40,158,Nebraska  Timeout,61,69
4:29,158,Glynn Watson Jr. made Three Point Jumper. Assisted by Tai Webster.,64,69
4:12,26,TJ Leaf missed Jumper.,64,69
4:12,158,Tai Webster Defensive Rebound.,64,69
3:47,158,Glynn Watson Jr. missed Three Point Jumper.,64,69
3:47,26,Aaron Holiday Defensive Rebound.,64,69
3:38,26,Isaac Hamilton made Three Point Jumper. Assisted by Aaron Holiday.,64,72
3:27,158,Jack McVeigh missed Three Point Jumper.,64,72
3:27,26,Aaron Holiday Defensive Rebound.,64,72
3:05,26,Bryce Alford missed Jumper.,64,72
3:05,26,Isaac Hamilton Offensive Rebound.,64,72
3:01,26,Isaac Hamilton Turnover.,64,72
3:00,158,Tai Webster Steal.,64,72
2:57,158,Tai Webster made Layup.,66,72
2:57,158,Nebraska  Timeout,66,72
2:43,26,Bryce Alford missed Three Point Jumper.,66,72
2:43,158,Ed Morrow Defensive Rebound.,66,72
2:09,158,Nebraska  Turnover.,66,72
1:57,26,TJ Leaf made Jumper. Assisted by Lonzo Ball.,66,74
1:33,158,Jack McVeigh missed Three Point Jumper.,66,74
1:33,158,Nebraska Offensive Rebound.,66,74
1:30,26,Foul on Lonzo Ball.,66,74
1:30,158,Evan Taylor missed Free Throw.,66,74
1:30,26,Thomas Welsh Defensive Rebound.,66,74
1:04,26,Bryce Alford made Jumper.,66,76
0:55,158,Glynn Watson Jr. made Three Point Jumper.,69,76
0:54,158,Nebraska  Timeout,69,76
0:54,158,Foul on Tai Webster.,69,76
0:54,26,Bryce Alford made Free Throw.,69,77
0:54,26,Bryce Alford made Free Throw.,69,78
0:48,158,Glynn Watson Jr. missed Three Point Jumper.,69,78
0:48,26,Bryce Alford Defensive Rebound.,69,78
0:44,158,Foul on Tai Webster.,69,78
0:44,26,Bryce Alford made Free Throw.,69,79
0:44,26,Bryce Alford made Free Throw.,69,80
0:37,158,Tai Webster missed Jumper.,69,80
0:37,26,TJ Leaf Block.,69,80
0:36,26,Isaac Hamilton Defensive Rebound.,69,80
0:35,158,Foul on Glynn Watson Jr..,69,80
0:35,26,Isaac Hamilton made Free Throw.,69,81
0:35,26,Isaac Hamilton made Free Throw.,69,82
0:24,158,Nick Fuller missed Layup.,69,82
0:24,26,Ike Anigbogu Block.,69,82
0:22,158,Isaiah Roby Offensive Rebound.,69,82
0:18,158,Isaiah Roby made Layup.,71,82
0:00,26,End of Game,71,82
