Air Force,2006,Akron,2005
7:11,2006,Kwan Cheatham Jr. Defensive Rebound.,21,16
6:49,2006,Noah Robotham missed Layup.,21,16
6:49,2005,Kyle Broekhuis Defensive Rebound.,21,16
6:37,2005,Jacob Van made Layup.,23,16
6:37,2006,Foul on Noah Robotham.,23,16
6:37,2006,Official TV Timeout,23,16
6:37,2005,Jacob Van made Free Throw.,24,16
6:24,2006,Isaiah Johnson made Layup.,24,18
6:24,2005,Foul on Zach Kocur.,24,18
6:24,2006,Isaiah Johnson missed Free Throw.,24,18
6:24,2005,Trevor Lyons Defensive Rebound.,24,18
6:13,2005,Trevor Lyons Turnover.,24,18
5:51,2006,Antino Jackson Turnover.,24,18
5:50,2005,Zach Kocur Steal.,24,18
5:42,2005,Zach Kocur missed Three Point Jumper.,24,18
5:42,2005,Hayden Graham Offensive Rebound.,24,18
5:37,2005,Hayden Graham made Layup.,26,18
5:22,2006,Antino Jackson made Three Point Jumper. Assisted by Isaiah Johnson.,26,21
4:54,2005,Frank Toohey made Three Point Jumper. Assisted by Hayden Graham.,29,21
4:40,2006,Antino Jackson missed Three Point Jumper.,29,21
4:40,2005,Jacob Van Defensive Rebound.,29,21
4:36,2005,Jacob Van Turnover.,29,21
4:20,2006,Daniel Utomi missed Three Point Jumper.,29,21
4:20,2005,Frank Toohey Defensive Rebound.,29,21
3:48,2005,CJ Siples missed Three Point Jumper.,29,21
3:48,2006,Antino Jackson Defensive Rebound.,29,21
3:36,2006,Antino Jackson Turnover.,29,21
3:34,2005,Zach Kocur Steal.,29,21
3:26,2005,Frank Toohey missed Layup.,29,21
3:26,2006,Isaiah Johnson Block.,29,21
3:26,2005,Air Force Offensive Rebound.,29,21
3:26,2006,Official TV Timeout,29,21
3:24,2005,Frank Toohey made Layup. Assisted by CJ Siples.,31,21
3:07,2006,Daniel Utomi made Three Point Jumper. Assisted by Antino Jackson.,31,24
2:43,2005,Trevor Lyons made Jumper.,33,24
2:19,2006,Daniel Utomi made Three Point Jumper. Assisted by Isaiah Johnson.,33,27
2:07,2006,Foul on Daniel Utomi.,33,27
2:07,2005,Hayden Graham made Free Throw.,34,27
2:07,2005,Hayden Graham made Free Throw.,35,27
1:50,2006,Josh Williams made Three Point Jumper. Assisted by Daniel Utomi.,35,30
1:36,2005,Hayden Graham Turnover.,35,30
1:35,2006,Jimond Ivey Steal.,35,30
1:31,2006,Jimond Ivey missed Layup.,35,30
1:31,2006,Tavian Dunn-Martin Offensive Rebound.,35,30
1:28,2006,Tavian Dunn-Martin made Layup.,35,32
1:14,2005,Air Force  Timeout,35,32
1:11,2005,Zach Kocur Turnover.,35,32
1:11,2005,Foul on Zach Kocur.,35,32
1:01,2006,Daniel Utomi Turnover.,35,32
0:59,2005,Trevor Lyons Steal.,35,32
0:54,2006,Foul on Kwan Cheatham Jr..,35,32
0:54,2005,Jacob Van made Free Throw.,36,32
0:54,2005,Jacob Van made Free Throw.,37,32
0:41,2006,Daniel Utomi missed Three Point Jumper.,37,32
0:41,2006,Jimond Ivey Offensive Rebound.,37,32
0:23,2005,Foul on Hayden Graham.,37,32
0:23,2006,Isaiah Johnson missed Free Throw.,37,32
0:23,2006,Akron Deadball Team Rebound.,37,32
0:23,2006,Isaiah Johnson made Free Throw.,37,33
0:01,2005,Jacob Van made Layup.,39,33
0:00,2006,End of 1st half,39,33
19:49,2006,Isaiah Johnson made Layup.,39,35
19:31,2005,Hayden Graham missed Jumper.,39,35
19:31,2006,Antino Jackson Defensive Rebound.,39,35
19:18,2006,Kwan Cheatham Jr. made Three Point Jumper. Assisted by Isaiah Johnson.,39,38
18:54,2005,Frank Toohey made Layup.,41,38
18:35,2006,Kwan Cheatham Jr. missed Three Point Jumper.,41,38
18:35,2005,Frank Toohey Defensive Rebound.,41,38
18:26,2005,Zach Kocur made Layup.,43,38
18:02,2006,Josh Williams made Three Point Jumper. Assisted by Noah Robotham.,43,41
17:41,2005,Frank Toohey made Layup.,45,41
17:22,2006,Kwan Cheatham Jr. made Layup.,45,43
17:13,2005,Jacob Van Turnover.,45,43
16:59,2006,Noah Robotham made Three Point Jumper. Assisted by Isaiah Johnson.,45,46
16:44,2005,Hayden Graham Turnover.,45,46
16:28,2006,Antino Jackson missed Three Point Jumper.,45,46
16:28,2006,Josh Williams Offensive Rebound.,45,46
16:23,2006,Josh Williams missed Jumper.,45,46
16:23,2005,Zach Kocur Defensive Rebound.,45,46
16:04,2005,Frank Toohey missed Three Point Jumper.,45,46
16:04,2006,Kwan Cheatham Jr. Defensive Rebound.,45,46
15:42,2006,Noah Robotham missed Three Point Jumper.,45,46
15:42,2006,Isaiah Johnson Offensive Rebound.,45,46
15:37,2006,Isaiah Johnson made Layup.,45,48
15:03,2005,Air Force  Turnover.,45,48
15:03,2006,Official TV Timeout,45,48
14:43,2006,Isaiah Johnson made Layup.,45,50
14:43,2005,Foul on Frank Toohey.,45,50
14:43,2006,Isaiah Johnson missed Free Throw.,45,50
14:43,2005,Air Force Defensive Rebound.,45,50
14:42,2006,Foul on Kwan Cheatham Jr..,45,50
14:28,2006,Foul on Noah Robotham.,45,50
14:17,2005,Jacob Van missed Layup.,45,50
14:17,2005,Jacob Van Offensive Rebound.,45,50
14:12,2005,Hayden Graham missed Three Point Jumper.,45,50
14:12,2006,Isaiah Johnson Defensive Rebound.,45,50
13:49,2006,Tavian Dunn-Martin missed Three Point Jumper.,45,50
13:49,2006,Isaiah Johnson Offensive Rebound.,45,50
13:44,2006,Isaiah Johnson made Layup.,45,52
13:27,2006,Foul on Isaiah Johnson.,45,52
13:20,2005,Jacob Van missed Jumper.,45,52
13:20,2006,Josh Williams Defensive Rebound.,45,52
12:56,2006,Josh Williams missed Three Point Jumper.,45,52
12:56,2005,Zach Kocur Defensive Rebound.,45,52
12:33,2005,Trevor Lyons missed Layup.,45,52
12:33,2006,Aaron Jackson Defensive Rebound.,45,52
12:21,2005,Foul on Jacob Van.,45,52
12:21,2006,Antino Jackson made Free Throw.,45,53
12:21,2006,Antino Jackson missed Free Throw.,45,53
12:21,2006,Aaron Jackson Offensive Rebound.,45,53
12:20,2005,Foul on Hayden Graham.,45,53
12:20,2006,Aaron Jackson made Free Throw.,45,54
12:20,2006,Aaron Jackson made Free Throw.,45,55
12:02,2005,Hayden Graham made Layup.,47,55
11:42,2006,Tavian Dunn-Martin made Three Point Jumper.,47,58
11:21,2005,Lavelle Scottie missed Layup.,47,58
11:21,2006,Michael Hughes Block.,47,58
10:59,2006,Michael Hughes Defensive Rebound.,47,58
10:57,2006,Tavian Dunn-Martin missed Layup.,47,58
10:57,2005,Trevor Lyons Defensive Rebound.,47,58
10:53,2006,Foul on Aaron Jackson.,47,58
10:53,2006,Official TV Timeout,47,58
10:53,2005,CJ Siples made Free Throw.,48,58
10:53,2005,CJ Siples made Free Throw.,49,58
10:22,2006,Josh Williams missed Three Point Jumper.,49,58
10:22,2005,Lavelle Scottie Defensive Rebound.,49,58
10:21,2006,Foul on Michael Hughes.,49,58
10:04,2005,Ryan Manning missed Three Point Jumper.,49,58
10:04,2006,Jimond Ivey Defensive Rebound.,49,58
9:59,2006,Isaiah Johnson Turnover.,49,58
9:42,2005,CJ Siples missed Layup.,49,58
9:42,2006,Jimond Ivey Defensive Rebound.,49,58
9:36,2006,Josh Williams missed Three Point Jumper.,49,58
9:36,2005,Hayden Graham Defensive Rebound.,49,58
9:14,2005,Hayden Graham made Jumper.,51,58
8:41,2005,Foul on Frank Toohey.,51,58
8:41,2006,Isaiah Johnson made Free Throw.,51,59
8:41,2006,Isaiah Johnson made Free Throw.,51,60
8:33,2006,Foul on Kwan Cheatham Jr..,51,60
8:26,2006,Foul on Aaron Jackson.,51,60
8:26,2005,Hayden Graham made Free Throw.,52,60
8:26,2005,Hayden Graham made Free Throw.,53,60
7:59,2006,Aaron Jackson made Three Point Jumper. Assisted by Jimond Ivey.,53,63
7:46,2006,Foul on Aaron Jackson.,53,63
7:46,2006,Official TV Timeout,53,63
7:46,2005,Trevor Lyons made Free Throw.,54,63
7:46,2005,Trevor Lyons missed Free Throw.,54,63
7:46,2006,Aaron Jackson Defensive Rebound.,54,63
7:32,2006,Noah Robotham missed Three Point Jumper.,54,63
7:32,2005,Zach Kocur Defensive Rebound.,54,63
7:19,2006,Foul on Isaiah Johnson.,54,63
7:19,2005,Frank Toohey missed Free Throw.,54,63
7:19,2005,Zach Kocur Offensive Rebound.,54,63
7:11,2005,Zach Kocur Turnover.,54,63
7:10,2006,Antino Jackson Steal.,54,63
7:09,2005,Foul on Frank Toohey.,54,63
7:01,2006,Isaiah Johnson missed Layup.,54,63
7:01,2005,CJ Siples Block.,54,63
7:01,2006,Akron Offensive Rebound.,54,63
6:52,2006,Jimond Ivey made Three Point Jumper. Assisted by Aaron Jackson.,54,66
6:37,2006,Foul on Aaron Jackson.,54,66
6:37,2005,Hayden Graham made Free Throw.,55,66
6:37,2005,Hayden Graham made Free Throw.,56,66
6:17,2006,Tavian Dunn-Martin missed Three Point Jumper.,56,66
6:17,2006,Aaron Jackson Offensive Rebound.,56,66
6:14,2006,Aaron Jackson made Layup.,56,68
6:14,2005,Foul on Zach Kocur.,56,68
6:14,2006,Aaron Jackson missed Free Throw.,56,68
6:14,2005,Zach Kocur Defensive Rebound.,56,68
5:55,2005,Lavelle Scottie missed Layup.,56,68
5:55,2005,Lavelle Scottie Offensive Rebound.,56,68
5:53,2005,Lavelle Scottie made Layup.,58,68
5:26,2006,Jimond Ivey Turnover.,58,68
5:26,2006,Foul on Jimond Ivey.,58,68
5:16,2006,Foul on Isaiah Johnson.,58,68
5:16,2005,Lavelle Scottie made Free Throw.,59,68
5:16,2005,Lavelle Scottie made Free Throw.,60,68
5:16,2006,Akron  Timeout,60,68
5:16,2006,Official TV Timeout,60,68
4:59,2006,Michael Hughes Turnover.,60,68
4:59,2006,Foul on Michael Hughes.,60,68
4:48,2006,Foul on Tavian Dunn-Martin.,60,68
4:48,2005,CJ Siples missed Free Throw.,60,68
4:48,2005,Air Force Deadball Team Rebound.,60,68
4:48,2005,CJ Siples made Free Throw.,61,68
4:43,2006,Josh Williams Turnover.,61,68
4:42,2005,Lavelle Scottie Steal.,61,68
4:35,2005,Jacob Van made Three Point Jumper.,64,68
4:15,2006,Antino Jackson missed Three Point Jumper.,64,68
4:15,2006,Josh Williams Offensive Rebound.,64,68
4:12,2005,Foul on Jacob Van.,64,68
4:12,2006,Josh Williams made Free Throw.,64,69
4:12,2006,Josh Williams made Free Throw.,64,70
3:47,2005,CJ Siples missed Layup.,64,70
3:47,2006,Michael Hughes Block.,64,70
3:45,2005,CJ Siples Offensive Rebound.,64,70
3:43,2005,Trevor Lyons Turnover.,64,70
3:42,2006,Jimond Ivey Steal.,64,70
3:39,2005,Foul on Trevor Lyons.,64,70
3:39,2006,Official TV Timeout,64,70
3:39,2006,Antino Jackson made Free Throw.,64,71
3:39,2006,Antino Jackson made Free Throw.,64,72
3:18,2005,Hayden Graham missed Layup.,64,72
3:18,2006,Antino Jackson Defensive Rebound.,64,72
2:58,2005,Foul on Trevor Lyons.,64,72
2:58,2006,Noah Robotham made Free Throw.,64,73
2:58,2006,Noah Robotham made Free Throw.,64,74
2:50,2006,Foul on Michael Hughes.,64,74
2:50,2005,Frank Toohey made Free Throw.,65,74
2:50,2005,Frank Toohey made Free Throw.,66,74
2:24,2005,Foul on CJ Siples.,66,74
2:24,2006,Antino Jackson missed Free Throw.,66,74
2:24,2006,Akron Deadball Team Rebound.,66,74
2:24,2006,Antino Jackson made Free Throw.,66,75
2:14,2005,Hayden Graham missed Three Point Jumper.,66,75
2:14,2006,Jimond Ivey Defensive Rebound.,66,75
1:55,2005,Foul on Jacob Van.,66,75
1:55,2006,Antino Jackson made Free Throw.,66,76
1:55,2006,Antino Jackson made Free Throw.,66,77
1:45,2005,Hayden Graham made Layup.,68,77
1:45,2005,Air Force  Timeout,68,77
1:44,2006,Kwan Cheatham Jr. Turnover.,68,77
1:43,2005,Trevor Lyons Steal.,68,77
1:38,2005,Lavelle Scottie missed Layup.,68,77
1:38,2005,Hayden Graham Offensive Rebound.,68,77
1:34,2005,Hayden Graham made Layup.,70,77
1:16,2006,Antino Jackson made Layup. Assisted by Kwan Cheatham Jr..,70,79
1:08,2005,Lavelle Scottie missed Layup.,70,79
1:08,2005,Lavelle Scottie Offensive Rebound.,70,79
1:05,2005,Lavelle Scottie missed Layup.,70,79
1:05,2005,Lavelle Scottie Offensive Rebound.,70,79
1:02,2005,Lavelle Scottie missed Jumper.,70,79
1:02,2006,Antino Jackson Defensive Rebound.,70,79
0:59,2005,Foul on Trevor Lyons.,70,79
0:59,2006,Antino Jackson missed Free Throw.,70,79
0:59,2006,Akron Deadball Team Rebound.,70,79
0:59,2006,Antino Jackson missed Free Throw.,70,79
0:59,2005,Hayden Graham Defensive Rebound.,70,79
0:51,2005,Jacob Van Turnover.,70,79
0:50,2006,Antino Jackson Steal.,70,79
0:47,2006,Antino Jackson made Layup.,70,81
0:43,2006,Foul on Antino Jackson.,70,81
0:43,2005,Jacob Van made Free Throw.,71,81
0:43,2005,Jacob Van made Free Throw.,72,81
0:39,2005,Foul on Trevor Lyons.,72,81
0:35,2006,Noah Robotham made Free Throw.,72,82
0:34,2006,Noah Robotham missed Free Throw.,72,82
0:34,2006,Akron Deadball Team Rebound.,72,82
0:31,2005,Frank Toohey missed Jumper.,72,82
0:31,2005,Zach Kocur Offensive Rebound.,72,82
0:28,2005,CJ Siples missed Free Throw.,73,82
0:28,2005,CJ Siples made Free Throw.,73,82
0:28,2006,Foul on Michael Hughes.,73,82
0:28,2005,Air Force  Timeout,73,82
0:28,2005,Air Force Deadball Team Rebound.,73,82
0:27,2005,Foul on CJ Siples.,73,82
0:27,2006,Isaiah Johnson made Free Throw.,73,83
0:27,2006,Isaiah Johnson made Free Throw.,73,84
0:21,2005,Jacob Van made Layup.,75,84
0:21,2005,Air Force  Timeout,75,84
0:00,2006,End of Game,75,84
