Troy,62,Hawai'i,2653
12:36,2653,Wesley Person made Jumper.,20,6
12:23,62,Sheriff Drammeh missed Three Point Jumper.,20,6
12:23,2653,Troy Defensive Rebound.,20,6
12:09,2653,Wesley Person made Three Point Jumper.,23,6
11:56,62,Jack Purchase made Three Point Jumper. Assisted by Brocke Stepteau.,23,9
11:46,2653,Jaro Moravek Turnover.,23,9
11:43,62,Noah Allen Steal.,23,9
11:41,62,Noah Allen Turnover.,23,9
11:30,62,Foul on Brocke Stepteau.,23,9
11:30,62,Official TV Timeout,23,9
11:22,62,Foul on Gibson Johnson.,23,9
11:07,2653,Shawn Hopkins Turnover.,23,9
10:53,2653,Foul on Daniel Peace.,23,9
10:52,62,Brocke Stepteau Turnover.,23,9
10:50,2653,Daniel Peace Steal.,23,9
10:47,2653,Shawn Hopkins made Dunk. Assisted by Daniel Peace.,25,9
10:29,2653,Foul on Juan Davis Jr..,25,9
10:24,2653,Foul on Juan Davis Jr..,25,9
10:23,62,Gibson Johnson made Free Throw.,25,10
10:23,62,Gibson Johnson made Free Throw.,25,11
10:03,2653,Daniel Peace Turnover.,25,11
10:01,62,Larry Lewis Jr. Steal.,25,11
9:49,62,Brocke Stepteau Turnover.,25,11
9:31,2653,Jeremy Hollimon made Jumper.,27,11
9:17,62,Brocke Stepteau missed Three Point Jumper.,27,11
9:17,2653,DeVon Walker Defensive Rebound.,27,11
9:04,2653,Shawn Hopkins missed Three Point Jumper.,27,11
9:04,62,Brocke Stepteau Defensive Rebound.,27,11
8:45,62,Larry Lewis Jr. missed Layup.,27,11
8:45,62,Larry Lewis Jr. Offensive Rebound.,27,11
8:34,62,Larry Lewis Jr. missed Jumper.,27,11
8:34,2653,Alex Hicks Defensive Rebound.,27,11
8:27,2653,DeVon Walker Turnover.,27,11
8:27,2653,Foul on DeVon Walker.,27,11
8:08,62,Sheriff Drammeh missed Jumper.,27,11
8:08,2653,Juan Davis Jr. Defensive Rebound.,27,11
7:49,2653,Wesley Person missed Three Point Jumper.,27,11
7:49,62,Jack Purchase Defensive Rebound.,27,11
7:40,62,Jack Purchase missed Three Point Jumper.,27,11
7:40,62,Ido Flaisher Offensive Rebound.,27,11
7:35,62,Ido Flaisher Turnover.,27,11
7:34,2653,B.J. Miller Steal.,27,11
7:25,2653,Kevin Baker missed Jumper.,27,11
7:25,62,Ido Flaisher Block.,27,11
7:24,62,Ido Flaisher Defensive Rebound.,27,11
7:05,62,Ido Flaisher made Jumper. Assisted by Brocke Stepteau.,27,13
6:41,2653,Wesley Person missed Jumper.,27,13
6:41,62,Ido Flaisher Defensive Rebound.,27,13
6:15,62,Brocke Stepteau made Layup.,27,15
5:49,2653,Alex Hicks missed Jumper.,27,15
5:49,62,Brocke Stepteau Defensive Rebound.,27,15
5:46,62,Brocke Stepteau Turnover.,27,15
5:46,62,Official TV Timeout,27,15
5:44,2653,Wesley Person missed Three Point Jumper.,27,15
5:44,62,Hawai'i Deadball Team Rebound.,27,15
5:40,2653,Foul on Juan Davis Jr..,27,15
5:40,62,Jack Purchase made Free Throw.,27,16
5:40,62,Jack Purchase made Free Throw.,27,17
5:22,2653,Juan Davis Jr. missed Jumper.,27,17
5:15,2653,Aaron Ariri Offensive Rebound.,27,17
5:11,2653,Aaron Ariri missed Jumper.,27,17
5:11,2653,Juan Davis Jr. Offensive Rebound.,27,17
5:09,2653,Juan Davis Jr. made Jumper.,29,17
5:06,62,Ido Flaisher Turnover.,29,17
5:06,62,Foul on Ido Flaisher.,29,17
4:56,62,Foul on Brocke Stepteau.,29,17
4:45,2653,Juan Davis Jr. missed Three Point Jumper.,29,17
4:45,62,Leland Green Defensive Rebound.,29,17
4:30,62,Sheriff Drammeh missed Three Point Jumper.,29,17
4:30,2653,Wesley Person Defensive Rebound.,29,17
4:17,2653,Wesley Person missed Jumper.,29,17
4:17,62,Jack Purchase Defensive Rebound.,29,17
4:02,62,Noah Allen missed Three Point Jumper.,29,17
4:02,62,Gibson Johnson Offensive Rebound.,29,17
3:49,62,Sheriff Drammeh made Three Point Jumper. Assisted by Gibson Johnson.,29,20
3:16,2653,Kevin Baker Turnover.,29,20
3:15,62,Official TV Timeout,29,20
2:48,62,Jack Purchase made Three Point Jumper. Assisted by Sheriff Drammeh.,29,23
2:24,2653,Alex Hicks missed Jumper.,29,23
2:24,62,Noah Allen Defensive Rebound.,29,23
2:16,62,Noah Allen missed Three Point Jumper.,29,23
2:16,2653,Wesley Person Defensive Rebound.,29,23
1:57,2653,Juan Davis Jr. made Layup. Assisted by Alex Hicks.,31,23
1:32,62,Noah Allen Turnover.,31,23
1:21,2653,Juan Davis Jr. Turnover.,31,23
1:05,62,Gibson Johnson Turnover.,31,23
1:05,2653,Wesley Person Steal.,31,23
0:53,2653,Jeremy Hollimon missed Jumper.,31,23
0:53,62,Leland Green Defensive Rebound.,31,23
0:41,62,Gibson Johnson Turnover.,31,23
0:35,2653,Kevin Baker missed Three Point Jumper.,31,23
0:35,62,Hawai'i Deadball Team Rebound.,31,23
0:32,2653,Foul on Juan Davis Jr..,31,23
0:32,62,Jack Purchase missed Free Throw.,31,23
0:32,62,Hawai'i Deadball Team Rebound.,31,23
0:32,62,Jack Purchase made Free Throw.,31,24
0:03,62,Foul on Gibson Johnson.,31,24
0:03,2653,Wesley Person made Free Throw.,32,24
0:03,2653,Wesley Person made Free Throw.,33,24
0:00,62,End of 1st half,33,24
19:50,62,Leland Green Turnover.,33,24
19:47,2653,Kevin Baker Steal.,33,24
19:40,2653,Jordon Varnado Turnover.,33,24
19:40,2653,Foul on Jordon Varnado.,33,24
19:30,62,Sheriff Drammeh missed Three Point Jumper.,33,24
19:30,62,Hawai'i Offensive Rebound.,33,24
19:04,62,Gibson Johnson made Layup.,33,26
18:44,62,Foul on Gibson Johnson.,33,26
18:32,2653,Alex Hicks made Jumper. Assisted by Kevin Baker.,35,26
18:08,62,Noah Allen made Layup.,35,28
17:46,2653,Wesley Person missed Three Point Jumper.,35,28
17:46,62,Ido Flaisher Defensive Rebound.,35,28
17:36,2653,Foul on Alex Hicks.,35,28
17:36,62,Jack Purchase made Three Point Jumper. Assisted by Sheriff Drammeh.,35,31
17:13,2653,Kevin Baker missed Jumper.,35,31
17:13,62,Jack Purchase Defensive Rebound.,35,31
17:04,62,Jack Purchase made Three Point Jumper. Assisted by Sheriff Drammeh.,35,34
16:48,2653,Wesley Person missed Jumper.,35,34
16:48,2653,DeVon Walker Offensive Rebound.,35,34
16:33,2653,Kevin Baker made Jumper.,37,34
16:32,62,Foul on Sheriff Drammeh.,37,34
16:32,2653,Kevin Baker missed Free Throw.,37,34
16:32,62,Jack Purchase Defensive Rebound.,37,34
16:03,62,Noah Allen missed Jumper.,37,34
16:03,2653,DeVon Walker Defensive Rebound.,37,34
15:51,2653,Jordon Varnado Turnover.,37,34
15:50,62,Official TV Timeout,37,34
15:32,62,Leland Green made Three Point Jumper. Assisted by Zigmars Raimo.,37,37
15:06,62,Foul on Noah Allen.,37,37
15:06,2653,Jordon Varnado missed Free Throw.,37,37
15:06,2653,Troy Deadball Team Rebound.,37,37
15:06,2653,Jordon Varnado made Free Throw.,38,37
14:37,62,Jack Purchase missed Three Point Jumper.,38,37
14:37,2653,Alex Hicks Defensive Rebound.,38,37
14:20,2653,Jordon Varnado missed Jumper.,38,37
14:20,62,Noah Allen Defensive Rebound.,38,37
14:07,2653,Foul on Alex Hicks.,38,37
14:05,62,Jack Purchase missed Jumper.,38,37
14:05,2653,Jordon Varnado Defensive Rebound.,38,37
13:43,2653,Kevin Baker made Three Point Jumper.,41,37
13:27,62,Sheriff Drammeh missed Jumper.,41,37
13:27,62,Hawai'i Offensive Rebound.,41,37
13:14,62,Zigmars Raimo missed Layup.,41,37
13:14,2653,DeVon Walker Block.,41,37
13:12,2653,DeVon Walker Defensive Rebound.,41,37
13:01,2653,DeVon Walker made Layup. Assisted by Jordon Varnado.,43,37
13:01,62,Foul on Noah Allen.,43,37
13:01,2653,DeVon Walker made Free Throw.,44,37
12:34,2653,Foul on Wesley Person.,44,37
12:22,62,Zigmars Raimo missed Layup.,44,37
12:22,2653,DeVon Walker Defensive Rebound.,44,37
12:11,2653,Wesley Person made Jumper.,46,37
11:57,62,Hawai'i  Timeout,46,37
11:38,62,Noah Allen made Layup. Assisted by Brocke Stepteau.,46,39
11:25,2653,DeVon Walker missed Jumper.,46,39
11:25,62,Noah Allen Defensive Rebound.,46,39
11:17,62,Brocke Stepteau made Three Point Jumper.,46,42
10:56,2653,Shawn Hopkins made Three Point Jumper. Assisted by Daniel Peace.,49,42
10:44,2653,Foul on Daniel Peace.,49,42
10:44,62,Official TV Timeout,49,42
10:44,62,Brocke Stepteau made Free Throw.,49,43
10:44,62,Brocke Stepteau missed Free Throw.,49,43
10:44,2653,DeVon Walker Defensive Rebound.,49,43
10:28,2653,Shawn Hopkins missed Three Point Jumper.,49,43
10:28,2653,Jordon Varnado Offensive Rebound.,49,43
10:25,2653,Jordon Varnado missed Jumper.,49,43
10:25,2653,Shawn Hopkins Offensive Rebound.,49,43
10:22,2653,Shawn Hopkins missed Jumper.,49,43
10:22,62,Noah Allen Defensive Rebound.,49,43
9:59,62,Brocke Stepteau Turnover.,49,43
9:57,2653,Jordon Varnado Steal.,49,43
9:53,62,Foul on Leland Green.,49,43
9:53,2653,Wesley Person made Free Throw.,50,43
9:53,2653,Wesley Person made Free Throw.,51,43
9:33,62,Brocke Stepteau Turnover.,51,43
9:33,2653,Jordon Varnado Steal.,51,43
9:08,2653,Wesley Person Turnover.,51,43
9:08,2653,Foul on Wesley Person.,51,43
8:46,62,Brocke Stepteau missed Three Point Jumper.,51,43
8:46,62,Ido Flaisher Offensive Rebound.,51,43
8:27,2653,Foul on Daniel Peace.,51,43
8:27,62,Brocke Stepteau made Free Throw.,51,44
8:27,62,Brocke Stepteau missed Free Throw.,51,44
8:27,2653,Jordon Varnado Defensive Rebound.,51,44
8:11,62,Foul on Brocke Stepteau.,51,44
8:11,2653,Daniel Peace made Free Throw.,52,44
8:11,2653,Daniel Peace made Free Throw.,53,44
7:56,62,Brocke Stepteau made Layup.,53,46
7:26,62,Foul on Ido Flaisher.,53,46
7:26,62,Official TV Timeout,53,46
7:26,2653,Alex Hicks made Free Throw.,54,46
7:26,2653,Alex Hicks missed Free Throw.,54,46
7:26,62,Sheriff Drammeh Defensive Rebound.,54,46
7:07,2653,Foul on Shawn Hopkins.,54,46
7:07,62,Noah Allen made Free Throw.,54,47
7:07,62,Noah Allen made Free Throw.,54,48
6:57,2653,Jeremy Hollimon made Jumper.,56,48
6:45,62,Sheriff Drammeh missed Layup.,56,48
6:45,2653,Troy Defensive Rebound.,56,48
6:24,2653,Alex Hicks Turnover.,56,48
6:12,62,Noah Allen made Layup.,56,50
5:58,2653,Kevin Baker Turnover.,56,50
5:57,62,Sheriff Drammeh Steal.,56,50
5:54,62,Noah Allen made Layup. Assisted by Brocke Stepteau.,56,52
5:30,2653,Jordon Varnado made Jumper.,58,52
5:12,62,Noah Allen missed Layup.,58,52
5:12,2653,DeVon Walker Block.,58,52
5:09,2653,DeVon Walker Defensive Rebound.,58,52
4:52,2653,Jordon Varnado Turnover.,58,52
4:52,2653,Foul on Jordon Varnado.,58,52
4:31,2653,Foul on Kevin Baker.,58,52
4:31,62,Brocke Stepteau made Free Throw.,58,53
4:31,62,Brocke Stepteau made Free Throw.,58,54
4:12,2653,Kevin Baker Turnover.,58,54
4:04,62,Jack Purchase missed Three Point Jumper.,58,54
4:04,62,Gibson Johnson Offensive Rebound.,58,54
4:01,62,Gibson Johnson missed Jumper.,58,54
4:01,2653,DeVon Walker Block.,58,54
4:00,62,Hawai'i Offensive Rebound.,58,54
3:58,62,Official TV Timeout,58,54
3:57,62,Jack Purchase made Three Point Jumper. Assisted by Brocke Stepteau.,58,57
3:33,2653,Jordon Varnado made Layup.,60,57
3:22,62,Brocke Stepteau missed Three Point Jumper.,60,57
3:22,62,Noah Allen Offensive Rebound.,60,57
3:09,62,Jack Purchase missed Layup.,60,57
3:09,62,Gibson Johnson Offensive Rebound.,60,57
3:02,62,Sheriff Drammeh missed Layup.,60,57
3:02,62,Gibson Johnson Offensive Rebound.,60,57
2:59,62,Gibson Johnson missed Jumper.,60,57
2:59,2653,Alex Hicks Defensive Rebound.,60,57
2:32,2653,Kevin Baker missed Three Point Jumper.,60,57
2:32,62,Hawai'i Defensive Rebound.,60,57
2:23,2653,Foul on Kevin Baker.,60,57
2:23,62,Brocke Stepteau missed Free Throw.,60,57
2:23,62,Hawai'i Deadball Team Rebound.,60,57
2:23,62,Brocke Stepteau made Free Throw.,60,58
2:18,2653,Troy  Timeout,60,58
2:06,2653,Jordon Varnado Turnover.,60,58
2:05,62,Gibson Johnson Steal.,60,58
2:02,62,Noah Allen made Layup. Assisted by Gibson Johnson.,60,60
1:32,62,Foul on Sheriff Drammeh.,60,60
1:31,2653,Alex Hicks made Free Throw.,61,60
1:31,2653,Alex Hicks made Free Throw.,62,60
1:29,62,Hawai'i  Timeout,62,60
1:22,62,Jack Purchase missed Three Point Jumper.,62,60
1:22,2653,DeVon Walker Defensive Rebound.,62,60
1:16,62,Foul on Noah Allen.,62,60
1:16,2653,DeVon Walker made Free Throw.,63,60
1:16,2653,DeVon Walker made Free Throw.,64,60
1:10,62,Sheriff Drammeh missed Jumper.,64,60
1:10,62,Hawai'i Offensive Rebound.,64,60
1:06,2653,Foul on Alex Hicks.,64,60
1:06,62,Gibson Johnson made Free Throw.,64,61
1:06,62,Gibson Johnson missed Free Throw.,64,61
1:04,62,Hawai'i Offensive Rebound.,64,61
1:02,62,Gibson Johnson missed Jumper.,64,61
1:01,2653,Alex Hicks Block.,64,61
1:00,62,Gibson Johnson Offensive Rebound.,64,61
0:59,62,Gibson Johnson made Jumper.,64,63
0:45,2653,Wesley Person missed Three Point Jumper.,64,63
0:43,2653,Jordon Varnado Offensive Rebound.,64,63
0:30,2653,Jordon Varnado missed Jumper.,64,63
0:30,62,Gibson Johnson Defensive Rebound.,64,63
0:09,62,Hawai'i  Timeout,64,63
0:05,62,Noah Allen Turnover.,64,63
0:04,62,Foul on Gibson Johnson.,64,63
0:04,2653,Kevin Baker missed Free Throw.,64,63
0:04,2653,Troy Deadball Team Rebound.,64,63
0:04,2653,Kevin Baker made Free Throw.,65,63
0:01,62,Noah Allen missed Layup.,65,63
0:00,62,Gibson Johnson Offensive Rebound.,65,63
0:00,62,Gibson Johnson missed Jumper.,65,63
0:00,62,Hawai'i Deadball Team Rebound.,65,63
0:00,62,End of Game,65,63
