Rowan University,Error,Princeton,163
10:44,2827,Foul on Josh Borrelli.,10,39
10:44,163,Amir Bell made Free Throw.,10,40
10:44,163,Amir Bell made Free Throw.,10,41
10:29,2827,Teirique Robinson missed Layup.,10,41
10:29,163,Steven Cook Defensive Rebound.,10,41
10:20,163,Myles Stephens made Dunk. Assisted by Amir Bell.,10,43
9:53,163,Foul on Khyan Rayner.,10,43
9:53,2827,Shawn Wilson made Free Throw.,11,43
9:53,2827,Shawn Wilson made Free Throw.,12,43
9:34,163,Steven Cook made Layup. Assisted by Hans Brase.,12,45
9:18,2827,Jeff Haddock Turnover.,12,45
9:17,163,Steven Cook Steal.,12,45
9:11,2827,Foul on Jeff Haddock.,12,45
9:11,163,Steven Cook missed Free Throw.,12,45
9:11,163,Princeton Deadball Team Rebound.,12,45
9:11,163,Steven Cook missed Free Throw.,12,45
9:11,2827,Shawn Wilson Defensive Rebound.,12,45
9:00,2827,Joey Montalvo missed Three Point Jumper.,12,45
9:00,163,Khyan Rayner Defensive Rebound.,12,45
8:51,163,Amir Bell Turnover.,12,45
8:37,2827,Josh Borrelli missed Layup.,12,45
8:37,2827,Shawn Wilson Offensive Rebound.,12,45
8:34,2827,Shawn Wilson made Layup.,14,45
8:11,163,Khyan Rayner made Three Point Jumper. Assisted by Myles Stephens.,14,48
7:56,2827,Joey Montalvo made Layup. Assisted by Shawn Wilson.,16,48
7:36,163,Amir Bell missed Three Point Jumper.,16,48
7:36,2827,Josh Borrelli Defensive Rebound.,16,48
7:25,2827,Joey Montalvo missed Jumper.,16,48
7:25,163,Khyan Rayner Defensive Rebound.,16,48
7:09,2827,Foul on Teirique Robinson.,16,48
7:09,163,Official TV Timeout,16,48
7:09,163,Will Gladson missed Free Throw.,16,48
7:09,163,Princeton Deadball Team Rebound.,16,48
7:09,163,Will Gladson made Free Throw.,16,49
7:02,163,Foul on Jose Morales.,16,49
7:01,2827,Shawn Wilson missed Three Point Jumper.,16,49
7:01,2827,Tomas Malmsjo Offensive Rebound.,16,49
6:51,2827,Gary Carthan missed Three Point Jumper.,16,49
6:51,163,Devin Cannady Defensive Rebound.,16,49
6:38,163,Devin Cannady made Three Point Jumper. Assisted by Alec Brennan.,16,52
6:33,163,Foul on Jose Morales.,16,52
6:26,2827,Nick DePersia made Three Point Jumper. Assisted by Rob DePersia.,19,52
6:08,163,Alec Brennan made Dunk. Assisted by Devin Cannady.,19,54
6:08,2827,Foul on Gary Carthan.,19,54
6:08,163,Alec Brennan made Free Throw.,19,55
5:59,2827,Gary Carthan missed Three Point Jumper.,19,55
5:59,163,Devin Cannady Defensive Rebound.,19,55
5:46,163,Will Gladson Turnover.,19,55
5:43,2827,Rob DePersia Steal.,19,55
5:41,2827,Nick DePersia made Layup. Assisted by Rob DePersia.,21,55
5:26,163,Will Gladson Turnover.,21,55
5:17,2827,Nick DePersia made Three Point Jumper. Assisted by Rob DePersia.,24,55
5:06,163,Jose Morales Turnover.,24,55
4:48,2827,Gary Carthan missed Jumper.,24,55
4:48,163,Alec Brennan Defensive Rebound.,24,55
4:36,163,Khyan Rayner missed Three Point Jumper.,24,55
4:36,2827,Nick DePersia Defensive Rebound.,24,55
4:29,2827,Nick DePersia missed Three Point Jumper.,24,55
4:29,163,Alec Brennan Defensive Rebound.,24,55
4:14,163,Mike LeBlanc made Three Point Jumper. Assisted by Jose Morales.,24,58
4:02,2827,Gary Carthan Turnover.,24,58
3:49,163,Aaron Young missed Three Point Jumper.,24,58
3:49,2827,Tj Booth Defensive Rebound.,24,58
3:39,2827,Brian Thatcher missed Three Point Jumper.,24,58
3:39,2827,Teirique Robinson Offensive Rebound.,24,58
3:29,2827,Nick DePersia missed Layup.,24,58
3:29,2827,Nick DePersia Offensive Rebound.,24,58
3:27,163,Foul on Noah Bramlage.,24,58
3:27,163,Official TV Timeout,24,58
3:27,2827,Nick DePersia made Free Throw.,25,58
3:27,2827,Nick DePersia missed Free Throw.,25,58
3:27,163,Alec Brennan Defensive Rebound.,25,58
3:13,163,Alec Brennan Turnover.,25,58
3:11,2827,Joey Montalvo Steal.,25,58
3:08,2827,Jeff Haddock missed Three Point Jumper.,25,58
3:08,163,Noah Bramlage Defensive Rebound.,25,58
2:46,163,Alec Brennan missed Three Point Jumper.,25,58
2:46,163,Aaron Young Offensive Rebound.,25,58
2:34,163,Noah Bramlage made Three Point Jumper. Assisted by Jose Morales.,25,61
2:15,2827,Tj Booth Turnover.,25,61
1:58,163,Aaron Young missed Three Point Jumper.,25,61
1:58,2827,Rowan University Defensive Rebound.,25,61
1:50,2827,Joey Montalvo Turnover.,25,61
1:31,163,Noah Bramlage Turnover.,25,61
1:22,2827,Teirique Robinson missed Jumper.,25,61
1:22,2827,Jeff Haddock Offensive Rebound.,25,61
1:17,2827,Jeff Haddock missed Layup.,25,61
1:17,163,Noah Bramlage Defensive Rebound.,25,61
1:11,163,Jose Morales made Jumper.,25,63
1:04,2827,Teirique Robinson Turnover.,25,63
0:47,163,Mike LeBlanc missed Three Point Jumper.,25,63
0:47,2827,Jordan Sintras Defensive Rebound.,25,63
0:33,2827,Joey Montalvo missed Three Point Jumper.,25,63
0:33,163,Will Gladson Defensive Rebound.,25,63
0:03,163,Jose Morales made Jumper.,25,65
0:00,163,End of 1st half,25,65
19:40,163,Amir Bell missed Three Point Jumper.,25,65
19:40,2827,Nick DePersia Defensive Rebound.,25,65
19:30,2827,Nick DePersia made Three Point Jumper. Assisted by Rob DePersia.,28,65
19:10,163,Will Gladson missed Layup.,28,65
19:10,2827,Gary Carthan Defensive Rebound.,28,65
19:10,163,Foul on Will Gladson.,28,65
18:59,2827,Nick DePersia missed Layup.,28,65
18:59,163,Princeton Defensive Rebound.,28,65
18:37,163,Myles Stephens made Layup.,28,67
18:27,2827,Rob DePersia missed Layup.,28,67
18:27,163,Will Gladson Defensive Rebound.,28,67
18:22,163,Jackson Forbes missed Three Point Jumper.,28,67
18:22,2827,Rowan University Defensive Rebound.,28,67
18:03,2827,Foul on Nick DePersia.,28,67
18:03,2827,Nick DePersia Turnover.,28,67
17:41,163,Will Gladson Turnover.,28,67
17:40,2827,Shawn Wilson Steal.,28,67
17:33,2827,Shawn Wilson missed Three Point Jumper.,28,67
17:33,163,Myles Stephens Defensive Rebound.,28,67
17:21,163,Will Gladson made Layup.,28,69
17:21,2827,Foul on Gary Carthan.,28,69
17:21,163,Will Gladson made Free Throw.,28,70
17:00,2827,Nick DePersia missed Three Point Jumper.,28,70
17:00,163,Myles Stephens Defensive Rebound.,28,70
16:46,163,Myles Stephens missed Three Point Jumper.,28,70
16:46,2827,Nick DePersia Defensive Rebound.,28,70
16:28,2827,Shawn Wilson Turnover.,28,70
16:27,163,Myles Stephens Steal.,28,70
16:24,163,Myles Stephens made Layup. Assisted by Jackson Forbes.,28,72
16:06,163,Foul on Will Gladson.,28,72
16:06,2827,Gary Carthan missed Free Throw.,28,72
16:06,2827,Rowan University Deadball Team Rebound.,28,72
16:06,2827,Gary Carthan made Free Throw.,29,72
15:41,163,Mike LeBlanc missed Three Point Jumper.,29,72
15:41,163,Jackson Forbes Offensive Rebound.,29,72
15:35,163,Jackson Forbes made Layup.,29,74
15:17,2827,Tj Booth missed Three Point Jumper.,29,74
15:17,163,Devin Cannady Defensive Rebound.,29,74
15:06,163,Mike LeBlanc missed Three Point Jumper.,29,74
15:06,2827,Shawn Wilson Defensive Rebound.,29,74
14:53,163,Foul on Amir Bell.,29,74
14:53,163,Official TV Timeout,29,74
14:53,2827,Tj Booth missed Free Throw.,29,74
14:53,2827,Rowan University Deadball Team Rebound.,29,74
14:53,2827,Tj Booth missed Free Throw.,29,74
14:53,163,Jackson Forbes Defensive Rebound.,29,74
14:26,163,Mike LeBlanc Turnover.,29,74
14:25,2827,Tj Booth Steal.,29,74
14:19,163,Foul on Mike LeBlanc.,29,74
14:19,2827,Josh Borrelli made Free Throw.,30,74
14:19,2827,Josh Borrelli made Free Throw.,31,74
14:12,2827,Foul on Josh Borrelli.,31,74
14:04,163,Devin Cannady made Three Point Jumper. Assisted by Jackson Forbes.,31,77
13:56,2827,Ben Hills Turnover.,31,77
13:36,163,Jose Morales missed Three Point Jumper.,31,77
13:36,2827,Ben Hills Defensive Rebound.,31,77
13:27,2827,Josh Borrelli missed Three Point Jumper.,31,77
13:27,2827,Ben Hills Offensive Rebound.,31,77
13:22,2827,Ben Hills missed Layup.,31,77
13:22,163,Will Gladson Defensive Rebound.,31,77
13:03,163,Jose Morales made Layup. Assisted by Will Gladson.,31,79
12:48,2827,Josh Borrelli missed Three Point Jumper.,31,79
12:48,163,Vittorio Reynoso-Avila Defensive Rebound.,31,79
12:32,2827,Foul on Ben Hills.,31,79
12:19,163,Vittorio Reynoso-Avila missed Layup.,31,79
12:19,2827,Jordan Sintras Defensive Rebound.,31,79
12:07,2827,Ben Hills missed Three Point Jumper.,31,79
12:07,163,Alec Brennan Defensive Rebound.,31,79
11:48,163,Vittorio Reynoso-Avila missed Layup.,31,79
11:48,163,Vittorio Reynoso-Avila Offensive Rebound.,31,79
11:46,163,Vittorio Reynoso-Avila made Two Point Tip Shot.,31,81
11:34,2827,Ben Hills made Layup. Assisted by Rob DePersia.,33,81
11:15,163,Jose Morales missed Layup.,33,81
11:15,163,Vittorio Reynoso-Avila Offensive Rebound.,33,81
11:13,163,Vittorio Reynoso-Avila made Two Point Tip Shot.,33,83
11:05,163,Official TV Timeout,33,83
11:02,2827,Jeff Haddock missed Three Point Jumper.,33,83
11:02,2827,Nick DePersia Offensive Rebound.,33,83
10:57,2827,Jeff Haddock missed Three Point Jumper.,33,83
10:57,2827,Rowan University Offensive Rebound.,33,83
10:47,2827,Josh Borrelli missed Three Point Jumper.,33,83
10:47,163,Jackson Forbes Defensive Rebound.,33,83
10:21,163,Vittorio Reynoso-Avila missed Layup.,33,83
10:21,2827,Nick DePersia Defensive Rebound.,33,83
10:11,163,Jose Morales Steal.,33,83
10:11,2827,Foul on Ben Hills.,33,83
10:11,2827,Nick DePersia Turnover.,33,83
9:55,163,Richmond Aririguzoh Turnover.,33,83
9:54,2827,Shawn Wilson Steal.,33,83
9:48,163,Foul on Vittorio Reynoso-Avila.,33,83
9:43,2827,Shawn Wilson missed Three Point Jumper.,33,83
9:43,163,Richmond Aririguzoh Defensive Rebound.,33,83
9:26,163,Alec Brennan missed Three Point Jumper.,33,83
9:26,2827,Teirique Robinson Defensive Rebound.,33,83
9:18,163,Foul on Alec Brennan.,33,83
9:18,2827,Nick DePersia missed Free Throw.,33,83
9:18,2827,Rowan University Deadball Team Rebound.,33,83
9:18,2827,Nick DePersia made Free Throw.,34,83
9:00,163,Alec Brennan missed Layup.,34,83
9:00,2827,Shawn Wilson Defensive Rebound.,34,83
8:55,2827,Nick Battle missed Three Point Jumper.,34,83
8:55,2827,Teirique Robinson Offensive Rebound.,34,83
8:50,2827,Teirique Robinson missed Layup.,34,83
8:50,163,Richmond Aririguzoh Defensive Rebound.,34,83
8:46,163,Vittorio Reynoso-Avila made Layup. Assisted by Richmond Aririguzoh.,34,85
8:34,2827,Shawn Wilson Turnover.,34,85
8:33,163,Richmond Aririguzoh Steal.,34,85
8:28,163,Jackson Forbes made Layup. Assisted by Vittorio Reynoso-Avila.,34,87
8:16,2827,Jeff Haddock missed Three Point Jumper.,34,87
8:16,163,Alec Brennan Defensive Rebound.,34,87
8:08,163,Jose Morales made Jumper.,34,89
7:45,163,Foul on Richmond Aririguzoh.,34,89
7:45,163,Official TV Timeout,34,89
7:45,2827,Teirique Robinson missed Free Throw.,34,89
7:45,2827,Rowan University Deadball Team Rebound.,34,89
7:45,2827,Teirique Robinson missed Free Throw.,34,89
7:45,163,Richmond Aririguzoh Defensive Rebound.,34,89
7:32,2827,Foul on Teirique Robinson.,34,89
7:32,163,Richmond Aririguzoh missed Free Throw.,34,89
7:32,163,Princeton Deadball Team Rebound.,34,89
7:32,163,Richmond Aririguzoh missed Free Throw.,34,89
7:32,2827,Teirique Robinson Defensive Rebound.,34,89
7:19,2827,Teirique Robinson missed Layup.,34,89
7:19,163,Richmond Aririguzoh Defensive Rebound.,34,89
7:03,163,Richmond Aririguzoh made Layup. Assisted by Jose Morales.,34,91
6:52,2827,Nick Battle made Three Point Jumper. Assisted by Tj Booth.,37,91
6:14,163,Mike LeBlanc missed Layup.,37,91
6:14,2827,Tj Booth Defensive Rebound.,37,91
6:06,2827,Teirique Robinson Turnover.,37,91
6:04,163,Mike LeBlanc Steal.,37,91
6:02,163,Mike LeBlanc made Layup. Assisted by Noah Bramlage.,37,93
5:53,2827,Jeff Haddock made Layup.,39,93
5:38,163,Vittorio Reynoso-Avila made Layup. Assisted by Richmond Aririguzoh.,39,95
5:30,2827,Teirique Robinson missed Layup.,39,95
5:30,163,Richmond Aririguzoh Defensive Rebound.,39,95
5:16,163,Mike LeBlanc made Three Point Jumper. Assisted by Noah Bramlage.,39,98
5:04,2827,Nick Battle missed Three Point Jumper.,39,98
5:04,163,Noah Bramlage Defensive Rebound.,39,98
4:38,163,Noah Bramlage Turnover.,39,98
4:27,2827,Joey Montalvo missed Layup.,39,98
4:27,163,Vittorio Reynoso-Avila Defensive Rebound.,39,98
4:09,163,Noah Bramlage Turnover.,39,98
4:07,2827,Teirique Robinson Steal.,39,98
3:58,2827,Joey Montalvo made Three Point Jumper. Assisted by Josh Borrelli.,42,98
3:43,163,Noah Bramlage missed Three Point Jumper.,42,98
3:43,163,Princeton Offensive Rebound.,42,98
3:37,163,Official TV Timeout,42,98
3:25,163,Alexander Lee made Layup. Assisted by Jose Morales.,42,100
3:06,2827,Tomas Malmsjo missed Layup.,42,100
3:06,163,Richmond Aririguzoh Defensive Rebound.,42,100
2:53,163,Alexander Lee missed Layup.,42,100
2:53,2827,Jordan Sintras Defensive Rebound.,42,100
2:44,2827,Tomas Malmsjo made Layup.,44,100
2:20,163,Richmond Aririguzoh missed Layup.,44,100
2:20,163,Vittorio Reynoso-Avila Offensive Rebound.,44,100
2:15,163,Jose Morales missed Jumper.,44,100
2:15,163,Alexander Lee Offensive Rebound.,44,100
2:11,163,Alexander Lee made Two Point Tip Shot.,44,102
2:05,2827,Joey Montalvo missed Three Point Jumper.,44,102
2:05,163,Elias Berbari Defensive Rebound.,44,102
1:50,163,Richmond Aririguzoh missed Jumper.,44,102
1:50,163,Princeton Offensive Rebound.,44,102
1:46,163,Jose Morales made Layup. Assisted by Vittorio Reynoso-Avila.,44,104
1:32,2827,Tomas Malmsjo made Layup.,46,104
1:18,163,Vittorio Reynoso-Avila made Layup.,46,106
1:09,2827,Ben Hills missed Three Point Jumper.,46,106
1:09,163,Alexander Lee Defensive Rebound.,46,106
1:00,163,Richmond Aririguzoh made Dunk. Assisted by Vittorio Reynoso-Avila.,46,108
0:51,2827,Jordan Sintras missed Three Point Jumper.,46,108
0:51,163,Princeton Defensive Rebound.,46,108
0:27,163,Elias Berbari missed Jumper.,46,108
0:27,163,Richmond Aririguzoh Offensive Rebound.,46,108
0:11,163,Elias Berbari missed Three Point Jumper.,46,108
0:11,2827,Ben Hills Defensive Rebound.,46,108
0:05,2827,Ben Hills Turnover.,46,108
0:03,163,Vittorio Reynoso-Avila Steal.,46,108
0:00,163,End of Game,46,108
