Niagara,249,North Texas,315
5:43,315,Dominic Robb made Dunk. Assisted by James Towns.,51,61
5:23,315,Foul on Matt Scott.,51,61
5:23,249,Deckie Johnson made Free Throw.,51,62
5:23,249,Deckie Johnson made Free Throw.,51,63
5:08,249,Foul on Deckie Johnson.,51,63
5:08,315,Matt Scott missed Free Throw.,51,63
5:08,249,North Texas Defensive Rebound.,51,63
4:48,315,Foul on Dwayne Pow.,51,63
4:48,249,J-Mychal Reese made Free Throw.,51,64
4:48,249,J-Mychal Reese made Free Throw.,51,65
4:36,315,Kahlil Dukes missed Jumper.,51,65
4:36,249,Derail Green Defensive Rebound.,51,65
4:24,249,Deckie Johnson missed Three Point Jumper.,51,65
4:24,315,Kahlil Dukes Defensive Rebound.,51,65
4:17,249,Foul on Deckie Johnson.,51,65
4:17,315,Matt Scott missed Free Throw.,51,65
4:17,249,Shane Temara Defensive Rebound.,51,65
4:01,249,Derail Green missed Three Point Jumper.,51,65
4:01,315,Marvin Prochet Defensive Rebound.,51,65
3:52,315,Marvin Prochet missed Three Point Jumper.,51,65
3:52,249,Shane Temara Defensive Rebound.,51,65
3:47,315,Foul on Dominic Robb.,51,65
3:47,249,Official TV Timeout,51,65
3:47,249,Shane Temara made Free Throw.,51,66
3:47,249,Shane Temara made Free Throw.,51,67
3:33,315,Kahlil Dukes made Three Point Jumper. Assisted by Matt Scott.,54,67
2:57,249,A.J. Lawson missed Jumper.,54,67
2:57,315,Dominic Robb Block.,54,67
2:55,315,Matt Scott Defensive Rebound.,54,67
2:51,315,Kahlil Dukes made Three Point Jumper. Assisted by Matt Scott.,57,67
2:20,249,J-Mychal Reese Turnover.,57,67
2:17,249,Foul on Ja'Michael Brown.,57,67
2:17,249,Foul on Derail Green.,57,67
2:17,315,Matt Scott made Free Throw.,58,67
2:17,249,Technical Foul on Ja'Michael Brown.,58,67
2:17,315,Dwayne Pow Turnover.,58,67
2:17,315,Matt Scott made Free Throw.,59,67
1:56,249,Deckie Johnson made Layup.,59,69
1:44,249,Foul on Deckie Johnson.,59,69
1:44,315,James Towns made Free Throw.,60,69
1:44,315,James Towns made Free Throw.,61,69
1:17,249,Shane Temara Turnover.,61,69
1:16,315,Matt Scott Steal.,61,69
1:06,315,Foul on Marvin Prochet.,61,69
1:06,249,Ja'Michael Brown made Free Throw.,61,70
1:06,249,Ja'Michael Brown missed Free Throw.,61,70
1:06,315,Dominic Robb Defensive Rebound.,61,70
0:52,249,Foul on Derail Green.,61,70
0:52,315,Matt Scott made Free Throw.,62,70
0:52,315,Matt Scott made Free Throw.,63,70
0:52,315,Niagara  Timeout,63,70
0:52,315,Foul on Chris Barton.,63,70
0:52,249,Derail Green missed Free Throw.,63,70
0:52,249,North Texas Deadball Team Rebound.,63,70
0:52,249,Derail Green made Free Throw.,63,71
0:45,249,Shane Temara made Free Throw.,63,72
0:45,249,Foul on Derail Green.,63,72
0:45,249,Shane Temara made Free Throw.,63,73
0:45,315,Matt Scott made Free Throw.,64,73
0:45,315,Matt Scott made Free Throw.,65,73
0:45,315,Foul on Dwayne Pow.,65,73
0:45,315,Foul on Dwayne Pow.,65,73
0:42,249,Shane Temara missed Free Throw.,65,73
0:42,315,Foul on Maurice Taylor Jr..,65,73
0:42,315,Marvin Prochet Defensive Rebound.,65,73
0:42,249,Shane Temara missed Free Throw.,65,73
0:42,249,North Texas Deadball Team Rebound.,65,73
0:42,315,Marvin Prochet Turnover.,65,73
0:42,249,Ja'Michael Brown Steal.,65,73
0:42,315,Foul on James Towns.,65,73
0:42,249,Ja'Michael Brown made Free Throw.,65,74
0:42,249,Ja'Michael Brown missed Free Throw.,65,74
0:42,315,Marvin Prochet Defensive Rebound.,65,74
0:29,315,Matt Scott made Layup.,67,74
0:26,315,Foul on James Towns.,67,74
0:26,249,J-Mychal Reese made Free Throw.,67,75
0:26,249,J-Mychal Reese made Free Throw.,67,76
0:13,315,Dominic Robb made Layup. Assisted by Marvin Prochet.,69,76
0:13,315,Niagara  Timeout,69,76
0:10,249,A.J. Lawson made Layup. Assisted by Allante Holston.,69,78
0:10,249,Foul on J-Mychal Reese.,69,78
0:10,315,James Towns made Free Throw.,70,78
0:10,315,James Towns made Free Throw.,71,78
0:06,315,Foul on James Towns.,71,78
0:06,249,J-Mychal Reese made Free Throw.,71,79
0:06,249,J-Mychal Reese made Free Throw.,71,80
0:00,249,End of Game,71,80
