Florida A&amp;M,290,Georgia Southern,50
15:27,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,5,8
15:20,50,K'Ja Johnson Turnover.,5,8
15:19,290,B.J. Gladden Steal.,5,8
15:15,290,Coye Simmons Turnover.,5,8
15:09,50,Elijah Mays Turnover.,5,8
15:09,290,Tookie Brown Steal.,5,8
15:09,50,Foul on Elijah Mays.,5,8
14:51,290,Devonte Boykins missed Three Point Jumper.,5,8
14:51,50,Elijah Mays Defensive Rebound.,5,8
14:33,50,Leon Williams missed Jumper.,5,8
14:33,50,Leon Williams Offensive Rebound.,5,8
14:29,50,Leon Williams made Layup.,7,8
14:02,290,Devonte Boykins missed Jumper.,7,8
14:02,50,Nick Severado Block.,7,8
14:01,290,Georgia Southern Offensive Rebound.,7,8
13:59,290,Tookie Brown missed Three Point Jumper.,7,8
13:59,50,Justin Ravenel Defensive Rebound.,7,8
13:44,50,Elijah Mays missed Jumper.,7,8
13:44,290,Tookie Brown Defensive Rebound.,7,8
13:35,290,Tookie Brown Turnover.,7,8
13:34,50,Desmond Williams Steal.,7,8
13:31,50,Desmond Williams made Layup.,9,8
13:10,290,Ike Smith Turnover.,9,8
13:10,290,Foul on Ike Smith.,9,8
13:03,50,Marcus Barham Turnover.,9,8
12:34,290,Mike Hughes made Three Point Jumper. Assisted by Devonte Boykins.,9,11
12:14,290,Foul on Montae Glenn.,9,11
12:14,50,Leon Williams made Free Throw.,10,11
12:14,50,Leon Williams made Free Throw.,11,11
11:51,290,Jake Allsmiller made Three Point Jumper. Assisted by Mike Hughes.,11,14
11:38,50,Florida A&M  Timeout,11,14
11:38,290,Official TV Timeout,11,14
11:27,50,Leon Williams missed Jumper.,11,14
11:27,50,Marcus Barham Offensive Rebound.,11,14
11:14,50,Marcus Barham missed Three Point Jumper.,11,14
11:14,290,Georgia Southern Defensive Rebound.,11,14
11:03,50,Foul on Leon Williams.,11,14
10:58,290,Jake Allsmiller made Three Point Jumper. Assisted by Mike Hughes.,11,17
10:42,50,Leon Williams made Layup.,13,17
10:33,290,Jake Allsmiller missed Three Point Jumper.,13,17
10:33,290,B.J. Gladden Offensive Rebound.,13,17
10:25,290,B.J. Gladden made Layup.,13,19
10:25,50,Foul on Leon Williams.,13,19
10:25,290,B.J. Gladden missed Free Throw.,13,19
10:25,50,Desmond Williams Defensive Rebound.,13,19
9:59,290,Foul on Shawn O'Connell.,13,19
9:59,50,Elijah Mays made Free Throw.,14,19
9:59,50,Elijah Mays missed Free Throw.,14,19
9:59,290,B.J. Gladden Defensive Rebound.,14,19
9:42,290,Jake Allsmiller made Three Point Jumper. Assisted by B.J. Gladden.,14,22
9:13,50,Nick Severado missed Layup.,14,22
9:13,290,Montae Glenn Block.,14,22
9:13,50,Florida A&M Offensive Rebound.,14,22
9:10,50,K'Ja Johnson missed Three Point Jumper.,14,22
9:10,50,Nick Severado Offensive Rebound.,14,22
9:07,50,Nick Severado missed Layup.,14,22
9:07,290,Tookie Brown Defensive Rebound.,14,22
8:59,50,Foul on Justin Ravenel.,14,22
8:59,290,Mike Hughes missed Free Throw.,14,22
8:59,290,Georgia Southern Deadball Team Rebound.,14,22
8:59,290,Mike Hughes made Free Throw.,14,23
8:44,290,Foul on Montae Glenn.,14,23
8:44,50,Desmond Williams made Free Throw.,15,23
8:44,50,Desmond Williams made Free Throw.,16,23
8:30,290,Mike Hughes missed Three Point Jumper.,16,23
8:30,50,Desmond Williams Defensive Rebound.,16,23
8:15,50,Trey Warren Turnover.,16,23
8:15,50,Foul on Trey Warren.,16,23
7:52,290,Jake Allsmiller missed Three Point Jumper.,16,23
7:52,290,Mike Hughes Offensive Rebound.,16,23
7:47,290,Mike Hughes missed Three Point Jumper.,16,23
7:47,50,K'Ja Johnson Defensive Rebound.,16,23
7:40,50,Derrick Dandridge made Layup. Assisted by K'Ja Johnson.,18,23
7:21,290,Devonte Boykins made Three Point Jumper. Assisted by Tookie Brown.,18,26
7:02,50,Marcus Barham made Jumper.,20,26
6:47,290,Tookie Brown missed Three Point Jumper.,20,26
6:47,50,Marcus Barham Defensive Rebound.,20,26
6:22,50,Desmond Williams Turnover.,20,26
6:22,50,Foul on Desmond Williams.,20,26
6:22,290,Official TV Timeout,20,26
6:20,290,Tookie Brown missed Jumper.,20,26
6:20,50,Marcus Barham Offensive Rebound.,20,26
5:48,50,Marcus Barham missed Three Point Jumper.,20,26
5:48,290,B.J. Gladden Defensive Rebound.,20,26
5:34,290,Devonte Boykins missed Three Point Jumper.,20,26
5:34,50,Nick Severado Defensive Rebound.,20,26
5:03,50,Marcus Barham missed Jumper.,20,26
5:03,290,Tookie Brown Defensive Rebound.,20,26
4:58,290,Tookie Brown missed Layup.,20,26
4:58,50,Desmond Williams Block.,20,26
4:58,290,Georgia Southern Offensive Rebound.,20,26
4:42,50,Foul on Leon Williams.,20,26
4:42,290,B.J. Gladden made Free Throw.,20,27
4:42,290,B.J. Gladden made Free Throw.,20,28
4:13,50,K'Ja Johnson missed Layup.,20,28
4:13,50,Trey Warren Offensive Rebound.,20,28
4:13,290,Foul on Mike Hughes.,20,28
4:13,50,Trey Warren made Free Throw.,21,28
4:13,50,Trey Warren made Free Throw.,22,28
3:56,290,Jake Allsmiller missed Three Point Jumper.,22,28
3:56,50,Justin Ravenel Defensive Rebound.,22,28
3:37,50,Desmond Williams missed Jumper.,22,28
3:37,290,Georgia Southern Defensive Rebound.,22,28
3:36,290,Official TV Timeout,22,28
3:29,290,Ike Smith made Jumper.,22,30
3:20,50,Trey Warren made Layup. Assisted by Justin Ravenel.,24,30
3:02,290,B.J. Gladden Turnover.,24,30
3:02,290,Foul on B.J. Gladden.,24,30
2:47,50,Justin Ravenel made Three Point Jumper. Assisted by K'Ja Johnson.,27,30
2:29,290,Tookie Brown Turnover.,27,30
2:28,50,Desmond Williams Steal.,27,30
2:25,50,Desmond Williams made Layup.,29,30
2:23,290,Georgia Southern  Timeout,29,30
2:11,290,Tookie Brown missed Three Point Jumper.,29,30
2:11,290,Ike Smith Offensive Rebound.,29,30
2:05,290,Ike Smith missed Layup.,29,30
2:05,290,Georgia Southern Offensive Rebound.,29,30
2:00,290,Ike Smith made Jumper.,29,32
1:30,50,Desmond Williams made Jumper.,31,32
1:06,290,Ike Smith missed Three Point Jumper.,31,32
1:06,290,B.J. Gladden Offensive Rebound.,31,32
1:01,50,Foul on Trey Warren.,31,32
1:01,290,B.J. Gladden missed Free Throw.,31,32
1:01,290,Georgia Southern Deadball Team Rebound.,31,32
1:01,290,B.J. Gladden missed Free Throw.,31,32
1:01,50,Desmond Williams Defensive Rebound.,31,32
0:42,50,Justin Ravenel missed Three Point Jumper.,31,32
0:42,50,Desmond Williams Offensive Rebound.,31,32
0:37,50,Desmond Williams made Layup.,33,32
0:21,290,Jake Allsmiller Turnover.,33,32
0:00,50,Justin Ravenel missed Jumper.,33,32
0:00,290,Devonte Boykins Defensive Rebound.,33,32
0:00,290,End of 1st half,33,32
19:42,290,Ike Smith made Jumper.,33,34
19:27,290,Foul on Shawn O'Connell.,33,34
19:27,50,Desmond Williams missed Free Throw.,33,34
19:27,50,Florida A&M Deadball Team Rebound.,33,34
19:27,50,Desmond Williams made Free Throw.,34,34
19:09,290,Ike Smith made Three Point Jumper.,34,37
18:50,50,Derrick Dandridge made Jumper.,36,37
18:31,290,Ike Smith made Three Point Jumper. Assisted by Tookie Brown.,36,40
18:22,290,Foul on Ike Smith.,36,40
18:22,50,Desmond Williams missed Free Throw.,36,40
18:22,50,Florida A&M Deadball Team Rebound.,36,40
18:22,50,Desmond Williams made Free Throw.,37,40
18:08,290,Tookie Brown missed Three Point Jumper.,37,40
18:08,290,Montae Glenn Offensive Rebound.,37,40
18:00,290,Montae Glenn missed Layup.,37,40
18:00,290,Ike Smith Offensive Rebound.,37,40
17:56,290,Ike Smith made Layup.,37,42
17:50,50,Derrick Dandridge made Layup.,39,42
17:33,290,Tookie Brown missed Three Point Jumper.,39,42
17:33,290,Montae Glenn Offensive Rebound.,39,42
17:26,50,Foul on Trey Warren.,39,42
17:26,290,Ike Smith made Free Throw.,39,43
17:26,290,Ike Smith made Free Throw.,39,44
17:18,50,Desmond Williams Turnover.,39,44
17:17,290,Tookie Brown Steal.,39,44
17:12,290,Jake Allsmiller missed Three Point Jumper.,39,44
17:12,290,Georgia Southern Offensive Rebound.,39,44
17:07,290,Mike Hughes made Three Point Jumper. Assisted by Jake Allsmiller.,39,47
16:43,50,Nick Severado made Layup.,41,47
16:28,290,Montae Glenn Turnover.,41,47
16:13,290,Foul on Mike Hughes.,41,47
16:07,50,Nick Severado missed Jumper.,41,47
16:07,290,B.J. Gladden Defensive Rebound.,41,47
16:02,50,Foul on Nick Severado.,41,47
16:02,290,B.J. Gladden missed Free Throw.,41,47
16:02,290,Georgia Southern Deadball Team Rebound.,41,47
16:02,290,B.J. Gladden made Free Throw.,41,48
15:51,290,Foul on Montae Glenn.,41,48
15:51,290,Official TV Timeout,41,48
15:51,50,Derrick Dandridge made Free Throw.,42,48
15:51,50,Derrick Dandridge missed Free Throw.,42,48
15:51,290,B.J. Gladden Defensive Rebound.,42,48
15:31,290,Ike Smith missed Layup.,42,48
15:31,50,Desmond Williams Block.,42,48
15:30,50,K'Ja Johnson Defensive Rebound.,42,48
15:11,50,Derrick Dandridge missed Jumper.,42,48
15:11,290,Georgia Southern Defensive Rebound.,42,48
14:55,50,Foul on Nick Severado.,42,48
14:55,290,B.J. Gladden missed Free Throw.,42,48
14:55,290,Georgia Southern Deadball Team Rebound.,42,48
14:55,290,B.J. Gladden missed Free Throw.,42,48
14:55,50,Florida A&M Defensive Rebound.,42,48
14:36,50,Desmond Williams made Layup. Assisted by Nick Severado.,44,48
14:20,50,Foul on K'Ja Johnson.,44,48
14:16,290,B.J. Gladden missed Three Point Jumper.,44,48
14:16,290,Mike Hughes Offensive Rebound.,44,48
13:58,290,Ike Smith missed Three Point Jumper.,44,48
13:58,290,Coye Simmons Offensive Rebound.,44,48
13:54,290,Mike Hughes made Three Point Jumper. Assisted by Coye Simmons.,44,51
13:43,50,Leon Williams made Layup. Assisted by Nick Severado.,46,51
13:24,290,Ike Smith made Layup.,46,53
13:18,50,Justin Ravenel missed Layup.,46,53
13:18,290,Ike Smith Block.,46,53
13:18,50,Florida A&M Offensive Rebound.,46,53
13:09,50,Leon Williams Turnover.,46,53
12:50,290,Mike Hughes made Three Point Jumper.,46,56
12:48,50,Florida A&M  Timeout,46,56
12:48,290,Official TV Timeout,46,56
12:31,50,Elijah Mays made Three Point Jumper.,49,56
12:17,290,Mike Hughes made Three Point Jumper. Assisted by Tookie Brown.,49,59
12:10,290,Foul on Tookie Brown.,49,59
12:07,50,Marcus Barham made Three Point Jumper. Assisted by Leon Williams.,52,59
11:53,290,B.J. Gladden made Layup.,52,61
11:53,50,Foul on Nick Severado.,52,61
11:53,290,Official TV Timeout,52,61
11:53,290,B.J. Gladden missed Free Throw.,52,61
11:53,290,Georgia Southern Deadball Team Rebound.,52,61
11:52,290,Foul on Montae Glenn.,52,61
11:31,50,Elijah Mays missed Jumper.,52,61
11:31,290,Coye Simmons Defensive Rebound.,52,61
11:10,290,Mike Hughes made Three Point Jumper. Assisted by Tookie Brown.,52,64
10:44,50,Marcus Barham Turnover.,52,64
10:43,290,Coye Simmons Steal.,52,64
10:35,290,Shawn O'Connell Turnover.,52,64
10:34,50,Justin Ravenel Steal.,52,64
10:31,50,Justin Ravenel missed Layup.,52,64
10:31,290,Ike Smith Block.,52,64
10:30,50,Marcus Barham Offensive Rebound.,52,64
10:27,50,Marcus Barham missed Layup.,52,64
10:27,290,Ike Smith Defensive Rebound.,52,64
10:07,290,Tookie Brown missed Three Point Jumper.,52,64
10:07,50,Leon Williams Defensive Rebound.,52,64
9:55,290,Foul on Shawn O'Connell.,52,64
9:55,50,Nick Severado missed Free Throw.,52,64
9:55,290,Coye Simmons Defensive Rebound.,52,64
9:40,290,B.J. Gladden missed Layup.,52,64
9:40,290,Coye Simmons Offensive Rebound.,52,64
9:38,290,Coye Simmons made Layup.,52,66
9:19,50,Marcus Barham made Three Point Jumper. Assisted by Elijah Mays.,55,66
9:06,290,Mike Hughes Turnover.,55,66
9:06,290,Foul on Mike Hughes.,55,66
8:51,50,Elijah Mays made Layup.,57,66
8:51,290,Foul on B.J. Gladden.,57,66
8:51,50,Elijah Mays missed Free Throw.,57,66
8:51,290,Coye Simmons Defensive Rebound.,57,66
8:29,290,Jake Allsmiller made Three Point Jumper. Assisted by B.J. Gladden.,57,69
8:07,50,Elijah Mays missed Jumper.,57,69
8:07,290,Coye Simmons Defensive Rebound.,57,69
7:55,290,B.J. Gladden missed Three Point Jumper.,57,69
7:55,50,Desmond Williams Defensive Rebound.,57,69
7:38,50,Elijah Mays made Jumper.,59,69
7:19,50,Foul on K'Ja Johnson.,59,69
7:19,290,Official TV Timeout,59,69
7:19,290,Ike Smith made Free Throw.,59,70
7:19,290,Ike Smith made Free Throw.,59,71
6:49,50,Elijah Mays missed Three Point Jumper.,59,71
6:49,50,Derrick Dandridge Offensive Rebound.,59,71
6:48,290,Foul on Montae Glenn.,59,71
6:48,50,Derrick Dandridge made Free Throw.,60,71
6:48,50,Derrick Dandridge made Free Throw.,61,71
6:36,290,Jake Allsmiller missed Three Point Jumper.,61,71
6:36,50,Florida A&M Defensive Rebound.,61,71
6:29,50,Elijah Mays missed Three Point Jumper.,61,71
6:29,50,Florida A&M Offensive Rebound.,61,71
6:29,50,Derrick Dandridge Turnover.,61,71
6:29,50,Foul on Derrick Dandridge.,61,71
6:29,290,Ike Smith made Free Throw.,61,72
6:29,290,Ike Smith made Free Throw.,61,73
6:16,50,Derrick Dandridge Turnover.,61,73
6:15,290,B.J. Gladden Steal.,61,73
5:58,290,B.J. Gladden missed Three Point Jumper.,61,73
5:58,50,K'Ja Johnson Defensive Rebound.,61,73
5:52,50,Marcus Barham missed Three Point Jumper.,61,73
5:52,290,Coye Simmons Defensive Rebound.,61,73
5:32,290,Tookie Brown missed Three Point Jumper.,61,73
5:32,50,Florida A&M Defensive Rebound.,61,73
5:18,290,Foul on Jake Allsmiller.,61,73
5:18,50,Marcus Barham made Free Throw.,62,73
5:18,50,Marcus Barham made Free Throw.,63,73
5:07,290,Ike Smith Turnover.,63,73
5:06,50,Justin Ravenel Steal.,63,73
5:04,50,K'Ja Johnson made Layup.,65,73
4:45,290,Tookie Brown missed Jumper.,65,73
4:45,50,Marcus Barham Defensive Rebound.,65,73
4:42,50,Desmond Williams Turnover.,65,73
4:34,290,Coye Simmons made Dunk. Assisted by Tookie Brown.,65,75
4:34,50,Foul on Trey Warren.,65,75
4:34,290,Coye Simmons missed Free Throw.,65,75
4:34,50,Trey Warren Defensive Rebound.,65,75
4:18,50,K'Ja Johnson made Three Point Jumper.,68,75
3:55,290,Tookie Brown made Layup.,68,77
3:47,50,Marcus Barham missed Three Point Jumper.,68,77
3:47,50,Desmond Williams Offensive Rebound.,68,77
3:45,290,Foul on Jake Allsmiller.,68,77
3:45,290,Official TV Timeout,68,77
3:45,50,Desmond Williams made Free Throw.,69,77
3:45,50,Desmond Williams missed Free Throw.,69,77
3:45,290,Ike Smith Defensive Rebound.,69,77
3:35,50,Foul on Marcus Barham.,69,77
3:35,290,Mike Hughes missed Free Throw.,69,77
3:35,50,Desmond Williams Defensive Rebound.,69,77
3:22,50,K'Ja Johnson missed Three Point Jumper.,69,77
3:22,290,Mike Hughes Defensive Rebound.,69,77
3:09,290,Tookie Brown made Layup.,69,79
3:03,50,Justin Ravenel missed Three Point Jumper.,69,79
3:03,290,Coye Simmons Defensive Rebound.,69,79
2:42,290,Tookie Brown missed Three Point Jumper.,69,79
2:42,50,Trey Warren Defensive Rebound.,69,79
2:33,50,Desmond Williams missed Layup.,69,79
2:33,290,Mike Hughes Block.,69,79
2:33,50,Florida A&M Offensive Rebound.,69,79
2:33,50,Florida A&M  Turnover.,69,79
2:14,290,Mike Hughes Turnover.,69,79
2:12,50,Marcus Barham Turnover.,69,79
2:12,290,Tookie Brown Steal.,69,79
1:49,50,Foul on Marcus Barham.,69,79
1:49,290,B.J. Gladden missed Free Throw.,69,79
1:49,290,Georgia Southern Deadball Team Rebound.,69,79
1:49,290,B.J. Gladden made Free Throw.,69,80
1:41,290,Foul on Tookie Brown.,69,80
1:41,50,Desmond Williams made Free Throw.,70,80
1:41,50,Desmond Williams missed Free Throw.,70,80
1:41,290,Coye Simmons Defensive Rebound.,70,80
1:14,290,Ike Smith made Layup.,70,82
0:59,50,Derrick Dandridge Turnover.,70,82
0:58,290,Ike Smith Steal.,70,82
0:47,50,Foul on Derrick Dandridge.,70,82
0:47,290,Tookie Brown missed Free Throw.,70,82
0:47,290,Georgia Southern Deadball Team Rebound.,70,82
0:47,290,Tookie Brown made Free Throw.,70,83
0:38,50,Marcus Barham made Jumper.,72,83
0:37,50,Florida A&M  Timeout,72,83
0:04,50,K'Ja Johnson Turnover.,72,83
0:00,290,End of Game,72,83
