Southern Illinois,135,Minnesota,79
13:05,79,Sean Lloyd Defensive Rebound.,6,10
12:50,79,Thik Bol missed Jumper.,6,10
12:50,135,Akeem Springs Block.,6,10
12:47,79,Thik Bol Offensive Rebound.,6,10
12:46,79,Thik Bol made Layup.,8,10
12:32,135,Dupree McBrayer made Jumper. Assisted by Amir Coffey.,8,12
12:20,135,Foul on Bakary Konate.,8,12
12:20,79,Sean Lloyd made Free Throw.,9,12
12:20,79,Sean Lloyd missed Free Throw.,9,12
12:20,135,Ahmad Gilbert Defensive Rebound.,9,12
11:59,135,Akeem Springs missed Three Point Jumper.,9,12
11:56,135,Akeem Springs Offensive Rebound.,9,12
11:54,135,Akeem Springs missed Layup.,9,12
11:52,79,Thik Bol Defensive Rebound.,9,12
11:35,79,Austin Weiher Turnover.,9,12
11:35,135,Official TV Timeout,9,12
11:24,135,Akeem Springs missed Three Point Jumper.,9,12
11:21,79,Southern Illinois Defensive Rebound.,9,12
11:08,79,Thik Bol made Dunk. Assisted by Austin Weiher.,11,12
10:45,135,Foul on Bakary Konate.,11,12
10:45,135,Bakary Konate Turnover.,11,12
10:24,79,Mike Rodriguez made Jumper.,13,12
10:03,135,Jordan Murphy Turnover.,13,12
10:03,79,Armon Fletcher Steal.,13,12
9:57,79,Leo Vincent missed Three Point Jumper.,13,12
9:54,135,Nate Mason Defensive Rebound.,13,12
9:51,135,Eric Curry Turnover.,13,12
9:37,79,Austin Weiher made Three Point Jumper. Assisted by Mike Rodriguez.,16,12
9:34,135,Minnesota  Timeout,16,12
9:15,135,Jordan Murphy missed Three Point Jumper.,16,12
9:13,135,Eric Curry Offensive Rebound.,16,12
9:12,135,Eric Curry missed Jumper.,16,12
9:11,135,Amir Coffey Offensive Rebound.,16,12
9:10,135,Amir Coffey made Layup.,16,14
8:46,79,Leo Vincent missed Layup.,16,14
8:44,79,Rudy Stradnieks Offensive Rebound.,16,14
8:43,79,Rudy Stradnieks missed Layup.,16,14
8:43,79,Southern Illinois Offensive Rebound.,16,14
8:26,79,Austin Weiher made Jumper. Assisted by Mike Rodriguez.,18,14
8:16,135,Dupree McBrayer missed Layup.,18,14
8:14,79,Mike Rodriguez Defensive Rebound.,18,14
8:05,79,Rudy Stradnieks missed Layup.,18,14
8:03,135,Eric Curry Defensive Rebound.,18,14
7:59,79,Foul on Armon Fletcher.,18,14
7:59,135,Official TV Timeout,18,14
7:41,135,Nate Mason missed Three Point Jumper.,18,14
7:38,79,Rudy Stradnieks Defensive Rebound.,18,14
7:23,79,Rudy Stradnieks missed Jumper.,18,14
7:21,135,Minnesota Defensive Rebound.,18,14
7:03,135,Jordan Murphy made Jumper. Assisted by Dupree McBrayer.,18,16
6:36,79,Sean Lloyd missed Three Point Jumper.,18,16
6:31,135,Dupree McBrayer Defensive Rebound.,18,16
6:29,135,Nate Mason missed Jumper.,18,16
6:27,135,Eric Curry Offensive Rebound.,18,16
6:16,135,Dupree McBrayer missed Three Point Jumper.,18,16
6:14,135,Jordan Murphy Offensive Rebound.,18,16
6:14,79,Foul on Austin Weiher.,18,16
6:06,135,Amir Coffey missed Three Point Jumper.,18,16
6:03,79,Austin Weiher Defensive Rebound.,18,16
5:46,79,Austin Weiher missed Jumper.,18,16
5:45,135,Amir Coffey Defensive Rebound.,18,16
5:35,135,Jordan Murphy made Dunk. Assisted by Dupree McBrayer.,18,18
5:13,79,Mike Rodriguez missed Three Point Jumper.,18,18
5:11,135,Jordan Murphy Defensive Rebound.,18,18
5:07,135,Amir Coffey made Dunk. Assisted by Nate Mason.,18,20
5:07,79,Foul on Sean Lloyd.,18,20
5:07,135,Amir Coffey missed Free Throw.,18,20
5:07,79,Thik Bol Defensive Rebound.,18,20
4:53,79,Thik Bol missed Jumper.,18,20
4:53,135,Eric Curry Block.,18,20
4:52,135,Eric Curry Defensive Rebound.,18,20
4:44,135,Nate Mason made Three Point Jumper.,18,23
4:41,79,Southern Illinois  Timeout,18,23
4:31,79,Southern Illinois  Turnover.,18,23
4:14,135,Eric Curry missed Jumper.,18,23
4:11,79,Thik Bol Defensive Rebound.,18,23
4:09,135,Foul on Jordan Murphy.,18,23
3:59,79,Leo Vincent missed Jumper.,18,23
3:57,135,Dupree McBrayer Defensive Rebound.,18,23
3:49,135,Eric Curry missed Layup.,18,23
3:49,79,Thik Bol Block.,18,23
3:47,79,Sean O'Brien Defensive Rebound.,18,23
3:39,79,Mike Rodriguez Turnover.,18,23
3:39,135,Dupree McBrayer Steal.,18,23
3:35,135,Nate Mason made Layup. Assisted by Dupree McBrayer.,18,25
3:11,79,Leo Vincent missed Jumper.,18,25
3:09,135,Jordan Murphy Defensive Rebound.,18,25
2:59,135,Jordan Murphy missed Jumper.,18,25
2:59,79,Sean O'Brien Block.,18,25
2:56,79,Sean Lloyd Defensive Rebound.,18,25
2:53,135,Official TV Timeout,18,25
2:27,79,Southern Illinois  Turnover.,18,25
2:05,135,Nate Mason missed Jumper.,18,25
2:02,79,Jonathan Wiley Defensive Rebound.,18,25
1:39,79,Mike Rodriguez missed Jumper.,18,25
1:36,79,Southern Illinois Offensive Rebound.,18,25
1:25,79,Leo Vincent missed Jumper.,18,25
1:24,135,Minnesota Defensive Rebound.,18,25
1:24,79,Foul on Thik Bol.,18,25
1:24,135,Bakary Konate missed Free Throw.,18,25
1:24,79,Jonathan Wiley Defensive Rebound.,18,25
0:55,79,Foul on Mike Rodriguez.,18,25
0:55,79,Mike Rodriguez Turnover.,18,25
0:44,79,Foul on Jonathan Wiley.,18,25
0:44,135,Minnesota Deadball Team Rebound.,18,25
0:44,135,Dupree McBrayer missed Free Throw.,18,25
0:44,135,Dupree McBrayer made Free Throw.,18,26
0:16,79,Leo Vincent made Layup.,20,26
0:02,135,Amir Coffey made Three Point Jumper. Assisted by Dupree McBrayer.,20,29
0:00,135,End of 1st half,20,29
19:38,135,Eric Curry missed Jumper.,20,29
19:38,79,Thik Bol Block.,20,29
19:35,79,Mike Rodriguez Defensive Rebound.,20,29
19:23,79,Sean O'Brien made Layup. Assisted by Leo Vincent.,22,29
19:13,135,Eric Curry made Jumper. Assisted by Dupree McBrayer.,22,31
18:46,79,Armon Fletcher missed Three Point Jumper.,22,31
18:46,135,Minnesota Defensive Rebound.,22,31
18:30,135,Jordan Murphy missed Jumper.,22,31
18:26,79,Mike Rodriguez Defensive Rebound.,22,31
18:22,79,Thik Bol made Layup. Assisted by Mike Rodriguez.,24,31
18:05,135,Eric Curry Turnover.,24,31
17:49,79,Thik Bol missed Jumper.,24,31
17:46,135,Amir Coffey Defensive Rebound.,24,31
17:43,79,Foul on Leo Vincent.,24,31
17:43,135,Minnesota Deadball Team Rebound.,24,31
17:43,135,Dupree McBrayer missed Free Throw.,24,31
17:43,135,Dupree McBrayer made Free Throw.,24,32
17:38,79,Thik Bol made Dunk. Assisted by Mike Rodriguez.,26,32
17:15,135,Jordan Murphy missed Jumper.,26,32
17:12,135,Eric Curry Offensive Rebound.,26,32
17:10,135,Amir Coffey made Dunk. Assisted by Eric Curry.,26,34
16:39,79,Leo Vincent Turnover.,26,34
16:27,79,Foul on Thik Bol.,26,34
16:10,79,Foul on Sean O'Brien.,26,34
16:10,135,Eric Curry missed Free Throw.,26,34
16:10,135,Minnesota Deadball Team Rebound.,26,34
16:10,135,Eric Curry made Free Throw.,26,35
15:56,79,Austin Weiher Turnover.,26,35
15:56,135,Official TV Timeout,26,35
15:47,135,Amir Coffey made Layup.,26,37
15:14,79,Rudy Stradnieks made Jumper.,28,37
15:00,135,Foul on Eric Curry.,28,37
15:00,135,Eric Curry Turnover.,28,37
14:37,135,Foul on Jordan Murphy.,28,37
14:37,79,Thik Bol made Free Throw.,29,37
14:37,79,Thik Bol missed Free Throw.,29,37
14:37,135,Jordan Murphy Defensive Rebound.,29,37
14:12,135,Amir Coffey missed Three Point Jumper.,29,37
14:09,135,Bakary Konate Offensive Rebound.,29,37
14:06,135,Bakary Konate made Layup.,29,39
13:52,79,Thik Bol made Dunk. Assisted by Mike Rodriguez.,31,39
13:33,135,Jordan Murphy missed Jumper.,31,39
13:33,79,Austin Weiher Block.,31,39
13:29,79,Armon Fletcher Defensive Rebound.,31,39
13:25,135,Foul on Amir Coffey.,31,39
13:25,79,Mike Rodriguez missed Free Throw.,31,39
13:25,79,Southern Illinois Deadball Team Rebound.,31,39
13:25,79,Mike Rodriguez made Free Throw.,32,39
13:13,135,Nate Mason Turnover.,32,39
13:13,79,Austin Weiher Steal.,32,39
12:45,79,Sean Lloyd missed Three Point Jumper.,32,39
12:43,135,Eric Curry Defensive Rebound.,32,39
12:33,135,Amir Coffey Turnover.,32,39
12:33,79,Armon Fletcher Steal.,32,39
12:23,79,Thik Bol missed Jumper.,32,39
12:20,79,Thik Bol Offensive Rebound.,32,39
12:19,79,Thik Bol missed Jumper.,32,39
12:18,79,Southern Illinois Offensive Rebound.,32,39
12:14,79,Armon Fletcher missed Jumper.,32,39
12:14,135,Bakary Konate Block.,32,39
12:12,135,Ahmad Gilbert Defensive Rebound.,32,39
12:02,135,Eric Curry missed Jumper.,32,39
12:01,79,Southern Illinois Defensive Rebound.,32,39
11:38,79,Armon Fletcher Turnover.,32,39
11:38,135,Eric Curry Steal.,32,39
11:35,135,Official TV Timeout,32,39
11:35,79,Foul on Armon Fletcher.,32,39
11:35,135,Akeem Springs made Free Throw.,32,40
11:35,135,Akeem Springs made Free Throw.,32,41
11:12,79,Sean O'Brien missed Jumper.,32,41
11:10,135,Dupree McBrayer Defensive Rebound.,32,41
11:00,135,Eric Curry made Jumper. Assisted by Dupree McBrayer.,32,43
10:36,79,Sean O'Brien missed Jumper.,32,43
10:34,135,Minnesota Defensive Rebound.,32,43
10:13,135,Bakary Konate missed Jumper.,32,43
10:10,79,Sean O'Brien Defensive Rebound.,32,43
10:06,79,Southern Illinois  Timeout,32,43
10:06,135,Official TV Timeout,32,43
9:53,79,Sean O'Brien missed Jumper.,32,43
9:53,135,Bakary Konate Block.,32,43
9:52,79,Southern Illinois Offensive Rebound.,32,43
9:43,79,Sean O'Brien missed Three Point Jumper.,32,43
9:40,135,Eric Curry Defensive Rebound.,32,43
9:31,135,Akeem Springs missed Three Point Jumper.,32,43
9:28,135,Bakary Konate Offensive Rebound.,32,43
9:27,135,Bakary Konate missed Jumper.,32,43
9:24,79,Leo Vincent Defensive Rebound.,32,43
9:21,79,Leo Vincent Turnover.,32,43
9:21,135,Bakary Konate Steal.,32,43
9:11,135,Dupree McBrayer made Three Point Jumper. Assisted by Akeem Springs.,32,46
8:41,79,Thik Bol missed Jumper.,32,46
8:39,135,Akeem Springs Defensive Rebound.,32,46
8:34,135,Dupree McBrayer missed Layup.,32,46
8:33,135,Bakary Konate Offensive Rebound.,32,46
8:33,79,Foul on Sean O'Brien.,32,46
8:33,135,Minnesota Deadball Team Rebound.,32,46
8:33,135,Bakary Konate missed Free Throw.,32,46
8:33,135,Bakary Konate made Free Throw.,32,47
8:04,79,Mike Rodriguez missed Three Point Jumper.,32,47
7:59,79,Armon Fletcher Offensive Rebound.,32,47
7:54,79,Austin Weiher missed Jumper.,32,47
7:51,79,Southern Illinois Offensive Rebound.,32,47
7:51,135,Official TV Timeout,32,47
7:42,79,Austin Weiher missed Three Point Jumper.,32,47
7:39,135,Akeem Springs Defensive Rebound.,32,47
7:29,135,Dupree McBrayer missed Three Point Jumper.,32,47
7:28,135,Bakary Konate Offensive Rebound.,32,47
7:28,79,Foul on Austin Weiher.,32,47
7:06,135,Akeem Springs missed Three Point Jumper.,32,47
7:02,135,Akeem Springs Offensive Rebound.,32,47
6:34,135,Eric Curry Turnover.,32,47
6:13,79,Austin Weiher made Layup. Assisted by Mike Rodriguez.,34,47
5:40,135,Dupree McBrayer missed Jumper.,34,47
5:37,79,Sean Lloyd Defensive Rebound.,34,47
5:34,79,Armon Fletcher made Dunk. Assisted by Sean Lloyd.,36,47
5:27,135,Minnesota  Timeout,36,47
5:11,135,Nate Mason missed Three Point Jumper.,36,47
5:08,79,Sean O'Brien Defensive Rebound.,36,47
4:46,79,Sean Lloyd missed Three Point Jumper.,36,47
4:42,135,Jordan Murphy Defensive Rebound.,36,47
4:27,135,Eric Curry made Layup. Assisted by Amir Coffey.,36,49
4:11,79,Sean Lloyd missed Layup.,36,49
4:08,135,Eric Curry Defensive Rebound.,36,49
4:03,135,Amir Coffey missed Jumper.,36,49
4:01,79,Austin Weiher Defensive Rebound.,36,49
3:30,79,Armon Fletcher made Three Point Jumper. Assisted by Mike Rodriguez.,39,49
3:29,135,Official TV Timeout,39,49
3:10,135,Jordan Murphy missed Jumper.,39,49
3:10,79,Thik Bol Block.,39,49
3:07,79,Mike Rodriguez Defensive Rebound.,39,49
3:06,135,Foul on Nate Mason.,39,49
3:06,79,Mike Rodriguez made Free Throw.,40,49
3:06,79,Mike Rodriguez made Free Throw.,41,49
2:44,79,Foul on Mike Rodriguez.,41,49
2:44,135,Nate Mason made Free Throw.,41,50
2:44,135,Nate Mason made Free Throw.,41,51
2:28,79,Sean O'Brien missed Three Point Jumper.,41,51
2:25,135,Amir Coffey Defensive Rebound.,41,51
2:21,135,Foul on Eric Curry.,41,51
2:21,135,Eric Curry Turnover.,41,51
2:05,79,Mike Rodriguez Turnover.,41,51
1:44,135,Jordan Murphy Turnover.,41,51
1:44,79,Armon Fletcher Steal.,41,51
1:41,79,Leo Vincent missed Three Point Jumper.,41,51
1:39,79,Armon Fletcher Offensive Rebound.,41,51
1:33,79,Thik Bol made Layup. Assisted by Mike Rodriguez.,43,51
1:33,79,Southern Illinois  Timeout,43,51
1:05,135,Amir Coffey made Layup. Assisted by Eric Curry.,43,53
0:52,79,Austin Weiher missed Jumper.,43,53
0:48,135,Minnesota Defensive Rebound.,43,53
0:30,135,Dupree McBrayer made Layup.,43,55
0:22,79,Foul on Mike Rodriguez.,43,55
0:22,135,Nate Mason made Free Throw.,43,56
0:22,135,Nate Mason made Free Throw.,43,57
0:21,79,Mike Rodriguez made Jumper.,45,57
0:19,135,Foul on Nate Mason.,45,57
0:14,79,Armon Fletcher missed Three Point Jumper.,45,57
0:11,135,Jordan Murphy Defensive Rebound.,45,57
0:00,135,End of Game,45,57
