Abilene Christian,201,Oklahoma,2000
10:20,2000,Hayden Howell Defensive Rebound.,15,8
10:11,2000,Isaiah Tripp Turnover.,15,8
10:10,201,Kameron McGusty Steal.,15,8
9:57,201,Darrion Strong-Moore made Layup.,15,10
9:57,2000,Foul on Hayden Howell.,15,10
9:57,201,Official TV Timeout,15,10
9:57,201,Darrion Strong-Moore missed Free Throw.,15,10
9:57,2000,Jaren Lewis Defensive Rebound.,15,10
9:39,2000,Jaylen Franklin Turnover.,15,10
9:32,2000,Foul on Drake Green.,15,10
9:32,201,Kameron McGusty made Free Throw.,15,11
9:32,201,Kameron McGusty made Free Throw.,15,12
9:23,201,Foul on Khadeem Lattin.,15,12
9:23,2000,Hayden Howell missed Free Throw.,15,12
9:23,2000,Abilene Christian Deadball Team Rebound.,15,12
9:23,2000,Hayden Howell made Free Throw.,16,12
9:12,201,Rashard Odomes Turnover.,16,12
9:11,2000,Jovan Crnic Steal.,16,12
9:10,2000,Trey Lenox missed Layup.,16,12
9:10,2000,Jaren Lewis Offensive Rebound.,16,12
9:07,2000,Jaren Lewis made Two Point Tip Shot.,18,12
8:49,201,Jordan Woodard made Three Point Jumper. Assisted by Kameron McGusty.,18,15
8:26,2000,Jovan Crnic missed Three Point Jumper.,18,15
8:26,2000,Jovan Crnic Offensive Rebound.,18,15
7:52,2000,Jaylen Franklin missed Three Point Jumper.,18,15
7:52,201,Oklahoma Defensive Rebound.,18,15
7:49,201,Official TV Timeout,18,15
7:34,201,Rashard Odomes missed Layup.,18,15
7:34,2000,Jaren Lewis Defensive Rebound.,18,15
7:04,2000,Jovan Crnic Turnover.,18,15
6:49,201,Rashard Odomes missed Layup.,18,15
6:49,2000,Jalone Friday Defensive Rebound.,18,15
6:27,2000,Jalone Friday missed Jumper.,18,15
6:27,201,Khadeem Lattin Defensive Rebound.,18,15
6:12,201,Jordan Woodard made Jumper.,18,17
5:54,2000,Jaylen Franklin missed Jumper.,18,17
5:54,201,Khadeem Lattin Defensive Rebound.,18,17
5:51,2000,Foul on Jalone Friday.,18,17
5:51,201,Khadeem Lattin made Free Throw.,18,18
5:51,201,Khadeem Lattin missed Free Throw.,18,18
5:51,2000,Hayden Farquhar Defensive Rebound.,18,18
5:41,2000,Jovan Crnic missed Three Point Jumper.,18,18
5:41,201,Khadeem Lattin Defensive Rebound.,18,18
5:30,201,Khadeem Lattin missed Jumper.,18,18
5:30,2000,Abilene Christian Defensive Rebound.,18,18
5:28,201,Foul on Christian James.,18,18
5:18,201,Foul on Jordan Shepherd.,18,18
5:13,2000,Hayden Farquhar made Layup. Assisted by Jaylen Franklin.,20,18
4:54,201,Jordan Woodard missed Three Point Jumper.,20,18
4:54,201,Jordan Woodard Offensive Rebound.,20,18
4:50,201,Jordan Woodard made Layup.,20,20
4:38,201,Foul on Jordan Woodard.,20,20
4:38,2000,Jaylen Franklin missed Free Throw.,20,20
4:38,2000,Trey Lenox Offensive Rebound.,20,20
4:36,2000,Isaiah Tripp Turnover.,20,20
4:36,201,Jordan Shepherd Steal.,20,20
4:32,2000,Foul on Trey Lenox.,20,20
4:32,201,Jordan Shepherd missed Free Throw.,20,20
4:32,201,Oklahoma Deadball Team Rebound.,20,20
4:32,201,Jordan Shepherd missed Free Throw.,20,20
4:32,2000,Isaiah Tripp Defensive Rebound.,20,20
4:19,2000,Jaylen Franklin made Layup.,22,20
4:02,201,Kameron McGusty made Layup.,22,22
4:01,2000,Foul on Jovan Crnic.,22,22
4:01,201,Kameron McGusty made Free Throw.,22,23
3:42,2000,Jaylen Franklin made Jumper.,24,23
3:21,201,Jordan Woodard missed Jumper.,24,23
3:21,201,Kameron McGusty Offensive Rebound.,24,23
3:12,2000,Foul on Hayden Farquhar.,24,23
3:12,201,Official TV Timeout,24,23
3:12,201,Jordan Woodard missed Free Throw.,24,23
3:12,201,Oklahoma Deadball Team Rebound.,24,23
3:12,201,Jordan Woodard made Free Throw.,24,24
2:48,2000,Hayden Farquhar missed Three Point Jumper.,24,24
2:48,201,Jordan Woodard Defensive Rebound.,24,24
2:30,201,Matt Freeman missed Three Point Jumper.,24,24
2:30,2000,Hayden Howell Defensive Rebound.,24,24
2:18,2000,Isaiah Tripp missed Layup.,24,24
2:18,2000,Hayden Farquhar Offensive Rebound.,24,24
2:14,2000,Hayden Farquhar made Layup.,26,24
2:04,2000,Foul on Hayden Howell.,26,24
2:04,201,Matt Freeman missed Free Throw.,26,24
2:04,201,Oklahoma Deadball Team Rebound.,26,24
2:04,201,Matt Freeman made Free Throw.,26,25
1:51,2000,Jaylen Franklin missed Layup.,26,25
1:51,201,Jordan Woodard Defensive Rebound.,26,25
1:35,201,Darrion Strong-Moore Turnover.,26,25
1:35,2000,Jaren Lewis Steal.,26,25
1:29,2000,Jaren Lewis missed Layup.,26,25
1:29,201,Jamuni McNeace Block.,26,25
1:29,2000,Abilene Christian Offensive Rebound.,26,25
1:29,2000,Abilene Christian  Timeout,26,25
1:12,2000,Jaylen Franklin made Jumper.,28,25
0:54,201,Jordan Woodard Turnover.,28,25
0:52,2000,Jaylen Franklin Steal.,28,25
0:48,2000,Jaylen Franklin made Layup.,30,25
0:39,201,Matt Freeman missed Three Point Jumper.,30,25
0:39,2000,Jaylen Franklin Defensive Rebound.,30,25
0:11,2000,Jaylen Franklin missed Three Point Jumper.,30,25
0:11,201,Jordan Woodard Defensive Rebound.,30,25
0:08,2000,Foul on Jaylen Franklin.,30,25
0:08,201,Jordan Woodard missed Free Throw.,30,25
0:08,201,Oklahoma Deadball Team Rebound.,30,25
0:08,201,Oklahoma  Timeout,30,25
0:08,201,Jordan Woodard made Free Throw.,30,26
0:02,201,Darrion Strong-Moore Turnover.,30,26
0:02,2000,Jaylen Franklin Steal.,30,26
0:00,201,End of 1st half,30,26
19:54,2000,Foul on Isaiah Tripp.,30,26
19:42,201,Khadeem Lattin made Layup.,30,28
19:29,2000,Isaiah Tripp Turnover.,30,28
19:15,201,Khadeem Lattin made Jumper.,30,30
18:49,2000,Jovan Crnic Turnover.,30,30
18:49,201,Jordan Woodard Steal.,30,30
18:44,201,Christian James made Layup.,30,32
18:44,2000,Foul on Isaiah Tripp.,30,32
18:44,2000,Abilene Christian  Timeout,30,32
18:44,201,Official TV Timeout,30,32
18:44,201,Christian James missed Free Throw.,30,32
18:44,2000,Jaren Lewis Defensive Rebound.,30,32
18:30,2000,Jovan Crnic made Three Point Jumper. Assisted by Jaren Lewis.,33,32
18:10,201,Darrion Strong-Moore missed Three Point Jumper.,33,32
18:10,2000,Isaiah Tripp Defensive Rebound.,33,32
17:55,2000,Jaren Lewis missed Layup.,33,32
17:55,201,Khadeem Lattin Block.,33,32
17:54,201,Khadeem Lattin Defensive Rebound.,33,32
17:43,201,Jordan Woodard made Three Point Jumper. Assisted by Christian James.,33,35
17:18,201,Foul on Darrion Strong-Moore.,33,35
17:07,2000,Jaylen Franklin Turnover.,33,35
17:07,201,Khadeem Lattin Steal.,33,35
16:59,201,Christian James missed Jumper.,33,35
16:59,201,Matt Freeman Offensive Rebound.,33,35
16:56,201,Matt Freeman made Layup.,33,37
16:47,2000,Jovan Crnic Turnover.,33,37
16:44,201,Jordan Woodard missed Three Point Jumper.,33,37
16:44,2000,Jaylen Franklin Defensive Rebound.,33,37
16:15,2000,Drake Green Turnover.,33,37
16:14,201,Matt Freeman Steal.,33,37
16:05,201,Christian James missed Three Point Jumper.,33,37
16:05,2000,Trey Lenox Defensive Rebound.,33,37
15:48,2000,Jaren Lewis made Layup.,35,37
15:31,2000,Foul on Trey Lenox.,35,37
15:31,201,Official TV Timeout,35,37
15:20,201,Khadeem Lattin made Layup. Assisted by Kameron McGusty.,35,39
15:12,201,Foul on Darrion Strong-Moore.,35,39
15:07,2000,Drake Green missed Three Point Jumper.,35,39
15:07,201,Kristian Doolittle Defensive Rebound.,35,39
15:01,201,Kristian Doolittle missed Layup.,35,39
15:01,201,Khadeem Lattin Offensive Rebound.,35,39
14:58,201,Kristian Doolittle Turnover.,35,39
14:57,2000,Jaylen Franklin Steal.,35,39
14:55,2000,Jaylen Franklin made Layup.,37,39
14:51,201,Foul on Jordan Shepherd.,37,39
14:51,2000,Drake Green made Free Throw.,38,39
14:41,201,Jordan Shepherd Turnover.,38,39
14:40,2000,Drake Green Steal.,38,39
14:37,201,Foul on Kameron McGusty.,38,39
14:37,2000,Payten Ricks made Free Throw.,39,39
14:37,2000,Payten Ricks missed Free Throw.,39,39
14:37,201,Khadeem Lattin Defensive Rebound.,39,39
14:24,201,Jordan Shepherd Turnover.,39,39
14:20,2000,Payten Ricks Steal.,39,39
14:19,201,Foul on Jordan Woodard.,39,39
14:02,2000,Drake Green Turnover.,39,39
14:02,201,Khadeem Lattin Steal.,39,39
13:44,201,Khadeem Lattin Turnover.,39,39
13:43,2000,Trey Lenox Steal.,39,39
13:25,2000,Jalone Friday Turnover.,39,39
13:24,201,Khadeem Lattin Steal.,39,39
13:18,201,Jordan Woodard missed Layup.,39,39
13:18,2000,Jalone Friday Block.,39,39
13:17,2000,Payten Ricks Defensive Rebound.,39,39
13:11,2000,Jalone Friday Turnover.,39,39
13:11,2000,Foul on Jalone Friday.,39,39
13:03,201,Kristian Doolittle missed Three Point Jumper.,39,39
13:03,201,Jamuni McNeace Offensive Rebound.,39,39
12:48,201,Jordan Woodard missed Jumper.,39,39
12:48,201,Oklahoma Offensive Rebound.,39,39
12:46,201,Jordan Woodard made Layup.,39,41
12:46,2000,Foul on Hayden Howell.,39,41
12:46,201,Jordan Woodard made Free Throw.,39,42
12:35,2000,Jaren Lewis Turnover.,39,42
12:33,201,Jordan Woodard Steal.,39,42
12:24,201,Jordan Woodard missed Jumper.,39,42
12:24,2000,B.J. Maxwell Block.,39,42
12:22,2000,B.J. Maxwell Defensive Rebound.,39,42
12:13,2000,Hayden Howell Turnover.,39,42
11:58,201,Kameron McGusty missed Layup.,39,42
11:58,2000,Hayden Howell Block.,39,42
11:56,201,Oklahoma Offensive Rebound.,39,42
11:49,201,Jamuni McNeace missed Layup.,39,42
11:49,201,Jamuni McNeace Offensive Rebound.,39,42
11:48,201,Jamuni McNeace missed Layup.,39,42
11:48,2000,B.J. Maxwell Defensive Rebound.,39,42
11:21,201,Foul on Jamuni McNeace.,39,42
11:21,2000,Payten Ricks missed Free Throw.,39,42
11:21,2000,Abilene Christian Deadball Team Rebound.,39,42
11:21,2000,Payten Ricks made Free Throw.,40,42
11:07,201,Rashard Odomes made Layup.,40,44
10:54,201,Foul on Rashard Odomes.,40,44
10:54,2000,Payten Ricks made Free Throw.,41,44
10:54,2000,Payten Ricks made Free Throw.,42,44
10:37,201,Rashard Odomes made Layup.,42,46
10:11,2000,Payten Ricks missed Layup.,42,46
10:11,2000,Payten Ricks Offensive Rebound.,42,46
10:08,2000,B.J. Maxwell made Three Point Jumper. Assisted by Payten Ricks.,45,46
10:00,2000,Foul on B.J. Maxwell.,45,46
10:00,201,Rashard Odomes made Free Throw.,45,47
10:00,201,Rashard Odomes made Free Throw.,45,48
9:34,201,Foul on Jamuni McNeace.,45,48
9:34,2000,Jaren Lewis missed Free Throw.,45,48
9:34,2000,Abilene Christian Deadball Team Rebound.,45,48
9:34,2000,Jaren Lewis missed Free Throw.,45,48
9:34,201,Jamuni McNeace Defensive Rebound.,45,48
9:20,201,Rashard Odomes missed Layup.,45,48
9:20,2000,Jaren Lewis Defensive Rebound.,45,48
9:06,2000,B.J. Maxwell missed Three Point Jumper.,45,48
9:06,201,Rashard Odomes Defensive Rebound.,45,48
9:01,2000,Foul on B.J. Maxwell.,45,48
9:01,201,Rashard Odomes missed Free Throw.,45,48
9:01,201,Kristian Doolittle Offensive Rebound.,45,48
8:58,201,Kristian Doolittle missed Layup.,45,48
8:58,201,Kristian Doolittle Offensive Rebound.,45,48
8:53,201,Kristian Doolittle made Layup.,45,50
8:33,2000,Hayden Farquhar missed Three Point Jumper.,45,50
8:33,201,Darrion Strong-Moore Defensive Rebound.,45,50
8:18,2000,Foul on B.J. Maxwell.,45,50
8:18,201,Rashard Odomes made Free Throw.,45,51
8:18,201,Rashard Odomes missed Free Throw.,45,51
8:18,2000,Hayden Farquhar Defensive Rebound.,45,51
8:01,2000,Hayden Howell Turnover.,45,51
8:00,201,Kameron McGusty Steal.,45,51
7:55,201,Darrion Strong-Moore made Three Point Jumper. Assisted by Kameron McGusty.,45,54
7:31,2000,Drake Green made Three Point Jumper. Assisted by Hayden Farquhar.,48,54
7:23,201,Kameron McGusty missed Layup.,48,54
7:23,201,Jamuni McNeace Offensive Rebound.,48,54
7:20,2000,Foul on Drake Green.,48,54
7:20,201,Official TV Timeout,48,54
7:20,201,Jamuni McNeace made Free Throw.,48,55
7:20,201,Jamuni McNeace made Free Throw.,48,56
7:07,2000,Drake Green missed Three Point Jumper.,48,56
7:07,201,Kristian Doolittle Defensive Rebound.,48,56
6:43,201,Darrion Strong-Moore missed Layup.,48,56
6:43,2000,Jalone Friday Block.,48,56
6:42,2000,Payten Ricks Defensive Rebound.,48,56
6:38,2000,Payten Ricks made Layup.,50,56
6:28,2000,Foul on Hayden Farquhar.,50,56
6:28,201,Kristian Doolittle made Free Throw.,50,57
6:28,201,Kristian Doolittle missed Free Throw.,50,57
6:28,2000,Drake Green Defensive Rebound.,50,57
6:09,2000,Jalone Friday missed Three Point Jumper.,50,57
6:09,2000,Jaren Lewis Offensive Rebound.,50,57
5:53,2000,Jovan Crnic missed Three Point Jumper.,50,57
5:53,201,Kristian Doolittle Defensive Rebound.,50,57
5:42,2000,Foul on Payten Ricks.,50,57
5:42,201,Kristian Doolittle made Free Throw.,50,58
5:42,201,Kristian Doolittle made Free Throw.,50,59
5:25,2000,Drake Green Turnover.,50,59
5:23,201,Kristian Doolittle Steal.,50,59
5:10,2000,Foul on Payten Ricks.,50,59
5:10,201,Kristian Doolittle made Free Throw.,50,60
5:10,201,Kristian Doolittle made Free Throw.,50,61
4:51,2000,Jaren Lewis missed Three Point Jumper.,50,61
4:51,201,Rashard Odomes Defensive Rebound.,50,61
4:22,201,Khadeem Lattin missed Layup.,50,61
4:22,2000,Abilene Christian Defensive Rebound.,50,61
4:01,2000,Jalone Friday made Three Point Jumper. Assisted by Jovan Crnic.,53,61
4:00,2000,Abilene Christian  Timeout,53,61
4:00,201,Official TV Timeout,53,61
3:52,201,Rashard Odomes Turnover.,53,61
3:52,2000,Payten Ricks Steal.,53,61
3:24,2000,Payten Ricks missed Layup.,53,61
3:24,201,Christian James Defensive Rebound.,53,61
3:07,201,Christian James missed Jumper.,53,61
3:07,201,Khadeem Lattin Offensive Rebound.,53,61
2:58,2000,Foul on Jalone Friday.,53,61
2:58,201,Jordan Woodard missed Free Throw.,53,61
2:58,201,Oklahoma Deadball Team Rebound.,53,61
2:58,201,Jordan Woodard made Free Throw.,53,62
2:47,2000,Jovan Crnic made Three Point Jumper.,56,62
2:35,2000,Foul on Hayden Howell.,56,62
2:35,201,Christian James made Free Throw.,56,63
2:35,201,Christian James made Free Throw.,56,64
2:23,2000,Payten Ricks made Layup.,58,64
2:23,201,Foul on Christian James.,58,64
2:23,2000,Payten Ricks made Free Throw.,59,64
2:03,201,Rashard Odomes made Dunk.,59,66
1:52,2000,Trey Lenox missed Three Point Jumper.,59,66
1:52,201,Khadeem Lattin Defensive Rebound.,59,66
1:49,2000,Foul on Jaren Lewis.,59,66
1:49,201,Khadeem Lattin made Free Throw.,59,67
1:49,201,Khadeem Lattin made Free Throw.,59,68
1:43,201,Foul on Kristian Doolittle.,59,68
1:43,2000,Payten Ricks missed Free Throw.,59,68
1:43,2000,Abilene Christian Deadball Team Rebound.,59,68
1:43,2000,Payten Ricks missed Free Throw.,59,68
1:43,201,Oklahoma Defensive Rebound.,59,68
1:43,2000,Foul on Hayden Howell.,59,68
1:43,201,Kristian Doolittle made Free Throw.,59,69
1:43,201,Kristian Doolittle made Free Throw.,59,70
1:18,2000,Hayden Farquhar missed Three Point Jumper.,59,70
1:18,201,Khadeem Lattin Defensive Rebound.,59,70
1:06,201,Rashard Odomes made Layup.,59,72
0:59,2000,Hayden Farquhar Turnover.,59,72
0:58,201,Kristian Doolittle Steal.,59,72
0:55,201,Christian James missed Three Point Jumper.,59,72
0:55,2000,Jaren Lewis Defensive Rebound.,59,72
0:49,2000,Jaren Lewis Turnover.,59,72
0:48,201,Jordan Woodard Steal.,59,72
0:43,201,Christian James Turnover.,59,72
0:42,2000,Drake Green Steal.,59,72
0:39,2000,Jovan Crnic missed Three Point Jumper.,59,72
0:39,2000,Hayden Farquhar Offensive Rebound.,59,72
0:37,2000,Hayden Farquhar made Layup.,61,72
0:04,201,Oklahoma  Turnover.,61,72
0:01,2000,Hayden Farquhar made Three Point Jumper.,64,72
0:00,201,End of Game,64,72
