Fresno State,204,Oregon State,278
10:23,204,Foul on Tanner Sanders.,7,13
10:23,278,Jaron Hopkins missed Free Throw.,7,13
10:23,278,Fresno St Deadball Team Rebound.,7,13
10:23,278,Jaron Hopkins made Free Throw.,8,13
10:17,204,Jaquori McLaughlin Turnover.,8,13
10:15,278,Jahmel Taylor Steal.,8,13
10:14,278,Jahmel Taylor Turnover.,8,13
10:13,204,Tres Tinkle Steal.,8,13
9:53,204,Gligorije Rakocevic made Jumper. Assisted by Jaquori McLaughlin.,8,15
9:42,278,Foul on Terrell Carter II.,8,15
9:42,278,Terrell Carter II Turnover.,8,15
9:26,204,Jaquori McLaughlin missed Three Point Jumper.,8,15
9:26,278,Paul Watson Defensive Rebound.,8,15
9:19,278,Jahmel Taylor missed Three Point Jumper.,8,15
9:19,204,Drew Eubanks Defensive Rebound.,8,15
9:00,204,Foul on Drew Eubanks.,8,15
9:00,204,Drew Eubanks Turnover.,8,15
8:33,278,Jaron Hopkins missed Jumper.,8,15
8:33,204,Tanner Sanders Defensive Rebound.,8,15
8:05,204,Gligorije Rakocevic missed Layup.,8,15
8:05,204,Oregon St Offensive Rebound.,8,15
7:54,204,Cheikh N'Diaye missed Jumper.,8,15
7:54,278,Paul Watson Defensive Rebound.,8,15
7:37,278,Bryson Williams made Layup.,10,15
7:34,204,Official TV Timeout,10,15
7:14,204,Tres Tinkle missed Three Point Jumper.,10,15
7:14,278,Bryson Williams Defensive Rebound.,10,15
6:42,278,Jaron Hopkins missed Three Point Jumper.,10,15
6:42,204,Tres Tinkle Defensive Rebound.,10,15
6:39,278,Foul on Bryson Williams.,10,15
6:39,204,Tres Tinkle made Free Throw.,10,16
6:39,204,Tres Tinkle missed Free Throw.,10,16
6:39,278,Jaron Hopkins Defensive Rebound.,10,16
6:13,278,Paul Watson Turnover.,10,16
6:09,204,Tres Tinkle Steal.,10,16
6:09,204,Tres Tinkle made Layup.,10,18
6:09,278,Foul on Paul Watson.,10,18
6:09,204,Tres Tinkle made Free Throw.,10,19
5:55,278,Terrell Carter II missed Jumper.,10,19
5:55,204,Cheikh N'Diaye Defensive Rebound.,10,19
5:23,204,Ronnie Stacy missed Jumper.,10,19
5:23,278,Fresno St Defensive Rebound.,10,19
5:13,278,Jaron Hopkins Turnover.,10,19
5:12,204,Ronnie Stacy Steal.,10,19
5:08,278,Foul on Jahmel Taylor.,10,19
5:08,204,Tres Tinkle made Free Throw.,10,20
5:08,204,Tres Tinkle made Free Throw.,10,21
4:54,278,Paul Watson missed Three Point Jumper.,10,21
4:54,204,Cheikh N'Diaye Defensive Rebound.,10,21
4:28,204,Matt Dahlen Turnover.,10,21
4:27,278,Jahmel Taylor Steal.,10,21
4:23,278,Jaron Hopkins made Dunk. Assisted by Jahmel Taylor.,12,21
3:57,204,Tres Tinkle missed Three Point Jumper.,12,21
3:57,278,Terrell Carter II Defensive Rebound.,12,21
3:47,278,Cullen Russo made Layup. Assisted by Jaron Hopkins.,14,21
3:47,204,Foul on Cheikh N'Diaye.,14,21
3:47,204,Official TV Timeout,14,21
3:47,278,Cullen Russo made Free Throw.,15,21
3:18,204,Tres Tinkle Turnover.,15,21
3:07,278,Jaron Hopkins Turnover.,15,21
3:06,204,Tres Tinkle Steal.,15,21
2:56,204,Jaquori McLaughlin Turnover.,15,21
2:42,278,Jahmel Taylor made Three Point Jumper. Assisted by Paul Watson.,18,21
2:11,278,Foul on Nate Grimes.,18,21
2:11,204,Gligorije Rakocevic missed Free Throw.,18,21
2:11,204,Oregon St Deadball Team Rebound.,18,21
2:11,204,Gligorije Rakocevic missed Free Throw.,18,21
2:11,278,Nate Grimes Defensive Rebound.,18,21
1:46,278,Deshon Taylor missed Three Point Jumper.,18,21
1:46,204,Tres Tinkle Defensive Rebound.,18,21
1:19,204,Daine Muller made Three Point Jumper. Assisted by Ronnie Stacy.,18,24
1:08,278,Jahmel Taylor made Three Point Jumper. Assisted by Paul Watson.,21,24
0:39,204,Gligorije Rakocevic Turnover.,21,24
0:38,278,Sam Bittner Steal.,21,24
0:33,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,24,24
0:30,204,Oregon St  Timeout,24,24
0:07,278,Foul on Nate Grimes.,24,24
0:07,204,Gligorije Rakocevic made Free Throw.,24,25
0:07,204,Gligorije Rakocevic made Free Throw.,24,26
0:02,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,27,26
0:00,204,End of 1st half,27,26
19:38,204,Foul on Jaquori McLaughlin.,27,26
19:28,278,Jahmel Taylor made Three Point Jumper. Assisted by Cullen Russo.,30,26
19:09,278,Foul on Bryson Williams.,30,26
18:53,204,Drew Eubanks made Jumper. Assisted by Daine Muller.,30,28
18:34,278,Jaron Hopkins made Layup.,32,28
18:16,204,Jaquori McLaughlin made Layup.,32,30
18:03,278,Jaron Hopkins Turnover.,32,30
17:34,204,Tres Tinkle made Jumper.,32,32
17:11,278,Bryson Williams made Layup. Assisted by Jahmel Taylor.,34,32
16:52,204,Daine Muller missed Three Point Jumper.,34,32
16:52,278,Jahmel Taylor Defensive Rebound.,34,32
16:42,278,Paul Watson missed Three Point Jumper.,34,32
16:42,278,Jaron Hopkins Offensive Rebound.,34,32
16:37,278,Jaron Hopkins missed Layup.,34,32
16:37,204,Drew Eubanks Block.,34,32
16:35,204,Jaquori McLaughlin Defensive Rebound.,34,32
16:31,204,Tres Tinkle missed Three Point Jumper.,34,32
16:31,278,Bryson Williams Defensive Rebound.,34,32
16:05,278,Foul on Terrell Carter II.,34,32
16:05,204,Foul on Gligorije Rakocevic.,34,32
16:03,278,Paul Watson made Jumper. Assisted by Deshon Taylor.,36,32
15:43,204,Daine Muller Turnover.,36,32
15:42,278,Cullen Russo Steal.,36,32
15:40,204,Foul on Daine Muller.,36,32
15:40,204,Official TV Timeout,36,32
15:40,278,Cullen Russo made Free Throw.,37,32
15:40,278,Cullen Russo made Free Throw.,38,32
15:23,204,Drew Eubanks made Layup. Assisted by Jaquori McLaughlin.,38,34
15:08,278,Terrell Carter II missed Layup.,38,34
15:08,204,Drew Eubanks Block.,38,34
15:07,204,Jaquori McLaughlin Defensive Rebound.,38,34
14:56,204,Jaquori McLaughlin missed Three Point Jumper.,38,34
14:56,278,Paul Watson Defensive Rebound.,38,34
14:32,278,Paul Watson missed Layup.,38,34
14:32,204,Drew Eubanks Block.,38,34
14:30,204,Tres Tinkle Defensive Rebound.,38,34
14:25,204,Matt Dahlen Turnover.,38,34
14:25,278,Jahmel Taylor Steal.,38,34
14:21,204,Foul on Ronnie Stacy.,38,34
14:21,278,Terrell Carter II missed Free Throw.,38,34
14:21,278,Fresno St Deadball Team Rebound.,38,34
14:21,278,Terrell Carter II missed Free Throw.,38,34
14:21,204,Matt Dahlen Defensive Rebound.,38,34
14:05,204,Tres Tinkle missed Layup.,38,34
14:05,278,Terrell Carter II Block.,38,34
14:04,278,Paul Watson Defensive Rebound.,38,34
13:46,278,Jahmel Taylor Turnover.,38,34
13:40,204,Jaquori McLaughlin Turnover.,38,34
13:28,204,Foul on Matt Dahlen.,38,34
13:07,278,Paul Watson made Three Point Jumper.,41,34
12:41,278,Foul on Jahmel Taylor.,41,34
12:25,204,Ronnie Stacy missed Three Point Jumper.,41,34
12:25,278,Paul Watson Defensive Rebound.,41,34
12:13,278,Terrell Carter II made Jumper. Assisted by Deshon Taylor.,43,34
11:46,204,Tres Tinkle missed Jumper.,43,34
11:46,278,Paul Watson Defensive Rebound.,43,34
11:34,278,Cullen Russo missed Layup.,43,34
11:34,204,Drew Eubanks Defensive Rebound.,43,34
11:33,278,Foul on Cullen Russo.,43,34
11:33,204,Official TV Timeout,43,34
11:06,204,Kendal Manuel missed Jumper.,43,34
11:06,278,Terrell Carter II Defensive Rebound.,43,34
11:05,204,Foul on Drew Eubanks.,43,34
10:57,278,Paul Watson made Three Point Jumper. Assisted by Jahmel Taylor.,46,34
10:38,204,Foul on Kendal Manuel.,46,34
10:38,204,Kendal Manuel Turnover.,46,34
10:30,278,Paul Watson made Three Point Jumper. Assisted by Cullen Russo.,49,34
10:27,204,Oregon St  Timeout,49,34
10:11,204,Tres Tinkle Turnover.,49,34
10:10,278,Terrell Carter II Steal.,49,34
9:51,278,Deshon Taylor missed Jumper.,49,34
9:51,204,Drew Eubanks Defensive Rebound.,49,34
9:32,204,Daine Muller missed Three Point Jumper.,49,34
9:32,278,Deshon Taylor Defensive Rebound.,49,34
9:11,278,Foul on Paul Watson.,49,34
9:11,278,Paul Watson Turnover.,49,34
8:55,204,Tres Tinkle made Layup.,49,36
8:55,278,Foul on Terrell Carter II.,49,36
8:55,204,Tres Tinkle missed Free Throw.,49,36
8:55,278,Cullen Russo Defensive Rebound.,49,36
8:52,278,Cullen Russo Turnover.,49,36
8:51,204,Tres Tinkle Steal.,49,36
8:35,278,Foul on Jahmel Taylor.,49,36
8:35,204,Tres Tinkle made Free Throw.,49,37
8:35,204,Tres Tinkle made Free Throw.,49,38
8:19,278,Terrell Carter II missed Layup.,49,38
8:19,278,Terrell Carter II Offensive Rebound.,49,38
8:16,278,Terrell Carter II made Layup.,51,38
7:57,204,Tanner Sanders missed Jumper.,51,38
7:57,278,Paul Watson Defensive Rebound.,51,38
7:33,278,Jaron Hopkins made Layup. Assisted by Jahmel Taylor.,53,38
7:03,278,Foul on Terrell Carter II.,53,38
7:03,204,Official TV Timeout,53,38
7:03,204,Drew Eubanks missed Free Throw.,53,38
7:03,204,Oregon St Deadball Team Rebound.,53,38
7:03,204,Drew Eubanks missed Free Throw.,53,38
7:03,278,Bryson Williams Defensive Rebound.,53,38
6:49,278,Cullen Russo missed Layup.,53,38
6:49,204,Tres Tinkle Defensive Rebound.,53,38
6:37,204,Tres Tinkle made Jumper. Assisted by Ronnie Stacy.,53,40
6:20,278,Bryson Williams made Layup. Assisted by Jaron Hopkins.,55,40
5:57,204,Ronnie Stacy made Jumper.,55,42
5:39,278,Paul Watson missed Dunk.,55,42
5:39,204,Drew Eubanks Block.,55,42
5:37,204,Tanner Sanders Defensive Rebound.,55,42
5:31,204,Ronnie Stacy missed Jumper.,55,42
5:31,278,Paul Watson Defensive Rebound.,55,42
5:05,278,Paul Watson missed Jumper.,55,42
5:05,204,Tanner Sanders Defensive Rebound.,55,42
4:50,278,Foul on Bryson Williams.,55,42
4:50,204,Tres Tinkle made Free Throw.,55,43
4:50,204,Tres Tinkle made Free Throw.,55,44
4:33,278,Jaron Hopkins Turnover.,55,44
4:29,278,Foul on Bryson Williams.,55,44
4:29,204,Jaquori McLaughlin made Free Throw.,55,45
4:29,204,Jaquori McLaughlin made Free Throw.,55,46
4:11,278,Paul Watson missed Dunk.,55,46
4:11,278,Jahmel Taylor Offensive Rebound.,55,46
4:09,204,Foul on Kendal Manuel.,55,46
4:09,278,Jahmel Taylor missed Free Throw.,55,46
4:09,278,Fresno St Deadball Team Rebound.,55,46
4:09,278,Jahmel Taylor made Free Throw.,56,46
4:00,204,Jaquori McLaughlin made Jumper.,56,48
3:40,278,Jaron Hopkins made Dunk.,58,48
3:34,204,Official TV Timeout,58,48
3:10,204,Tres Tinkle missed Jumper.,58,48
3:10,204,Jaquori McLaughlin Offensive Rebound.,58,48
2:51,204,Tres Tinkle made Three Point Jumper. Assisted by Kendal Manuel.,58,51
2:48,204,Oregon St  Timeout,58,51
2:45,204,Foul on Tanner Sanders.,58,51
2:45,278,Jaron Hopkins made Free Throw.,59,51
2:45,278,Jaron Hopkins missed Free Throw.,59,51
2:45,204,Tres Tinkle Defensive Rebound.,59,51
2:36,204,Jaquori McLaughlin missed Three Point Jumper.,59,51
2:36,278,Jaron Hopkins Defensive Rebound.,59,51
2:05,278,Jahmel Taylor missed Three Point Jumper.,59,51
2:02,204,Drew Eubanks Defensive Rebound.,59,51
1:58,278,Foul on Paul Watson.,59,51
1:58,204,Tres Tinkle made Free Throw.,59,52
1:58,204,Tres Tinkle made Free Throw.,59,53
1:30,278,Cullen Russo missed Three Point Jumper.,59,53
1:30,204,Tres Tinkle Defensive Rebound.,59,53
1:13,204,Kendal Manuel made Jumper.,59,55
1:13,204,Oregon St  Timeout,59,55
1:10,278,Cullen Russo Turnover.,59,55
1:09,204,Tres Tinkle Steal.,59,55
1:01,204,Tres Tinkle Turnover.,59,55
1:01,278,Jaron Hopkins Steal.,59,55
1:01,204,Foul on Tres Tinkle.,59,55
0:36,278,Cullen Russo missed Layup.,59,55
0:36,278,Cullen Russo Offensive Rebound.,59,55
0:33,204,Foul on Jaquori McLaughlin.,59,55
0:33,278,Cullen Russo made Free Throw.,60,55
0:33,278,Cullen Russo made Free Throw.,61,55
0:33,278,Fresno St  Timeout,61,55
0:28,204,Jaquori McLaughlin made Three Point Jumper.,61,58
0:22,204,Foul on Daine Muller.,61,58
0:22,278,Paul Watson made Free Throw.,62,58
0:22,278,Paul Watson made Free Throw.,63,58
0:12,204,Jaquori McLaughlin missed Three Point Jumper.,63,58
0:12,204,Kendal Manuel Offensive Rebound.,63,58
0:08,204,Tres Tinkle missed Three Point Jumper.,63,58
0:08,204,Kendal Manuel Offensive Rebound.,63,58
0:03,204,Kendal Manuel missed Three Point Jumper.,63,58
0:03,278,Paul Watson Defensive Rebound.,63,58
0:00,204,End of Game,63,58
