Ohio,120,Maryland,195
10:14,120,Justin Jackson Turnover.,12,22
10:13,195,Gavin Block Steal.,12,22
10:09,120,Foul on Ivan Bender.,12,22
10:09,195,James Gollon missed Three Point Jumper.,12,22
10:09,120,Darryl Morsell Defensive Rebound.,12,22
9:48,120,Justin Jackson missed Jumper.,12,22
9:48,195,Doug Taylor Defensive Rebound.,12,22
9:24,195,James Gollon made Layup. Assisted by Gavin Block.,14,22
8:57,120,Justin Jackson made Three Point Jumper. Assisted by Darryl Morsell.,14,25
8:36,195,Kevin Mickle Turnover.,14,25
8:34,120,Kevin Huerter Steal.,14,25
8:34,195,Foul on Gavin Block.,14,25
8:15,120,Justin Jackson made Jumper.,14,27
7:57,195,Jordan Dartis missed Layup.,14,27
7:57,120,Bruno Fernando Block.,14,27
7:55,120,Bruno Fernando Defensive Rebound.,14,27
7:48,120,Justin Jackson made Three Point Jumper. Assisted by Anthony Cowan.,14,30
7:32,195,Teyvion Kirk missed Jumper.,14,30
7:32,120,Bruno Fernando Block.,14,30
7:31,120,Official TV Timeout,14,30
7:30,120,Maryland Defensive Rebound.,14,30
7:30,120,Official TV Timeout,14,30
7:16,120,Bruno Fernando missed Jumper.,14,30
7:16,195,Mike Laster Defensive Rebound.,14,30
7:01,120,Foul on Bruno Fernando.,14,30
7:01,195,Teyvion Kirk missed Free Throw.,14,30
7:01,195,Ohio Deadball Team Rebound.,14,30
7:01,195,Teyvion Kirk made Free Throw.,15,30
6:46,120,Anthony Cowan missed Three Point Jumper.,15,30
6:46,195,James Gollon Defensive Rebound.,15,30
6:31,195,Jason Carter made Layup.,17,30
6:07,120,Darryl Morsell made Jumper.,17,32
5:46,195,Jason Carter missed Three Point Jumper.,17,32
5:46,120,Darryl Morsell Defensive Rebound.,17,32
5:38,120,Kevin Huerter missed Three Point Jumper.,17,32
5:38,195,James Gollon Defensive Rebound.,17,32
5:29,195,Mike Laster made Layup. Assisted by Jordan Dartis.,19,32
5:08,120,Bruno Fernando made Dunk. Assisted by Anthony Cowan.,19,34
4:53,195,Jason Carter Turnover.,19,34
4:40,120,Kevin Huerter missed Three Point Jumper.,19,34
4:40,195,James Gollon Defensive Rebound.,19,34
4:32,120,Foul on Dion Wiley.,19,34
4:32,195,Teyvion Kirk missed Free Throw.,19,34
4:32,195,Ohio Deadball Team Rebound.,19,34
4:32,195,Teyvion Kirk made Free Throw.,20,34
4:17,120,Dion Wiley made Three Point Jumper. Assisted by Anthony Cowan.,20,37
4:05,120,Foul on Anthony Cowan.,20,37
4:05,195,Jordan Dartis missed Free Throw.,20,37
4:05,195,Doug Taylor Offensive Rebound.,20,37
4:02,195,Doug Taylor made Layup.,22,37
4:02,120,Dion Wiley missed Three Point Jumper.,22,37
4:02,195,Jordan Dartis Defensive Rebound.,22,37
3:51,195,Mike Laster made Jumper.,24,37
3:18,120,Official TV Timeout,24,37
3:06,195,Foul on Mike Laster.,24,37
3:06,120,Darryl Morsell missed Free Throw.,24,37
3:06,120,Maryland Deadball Team Rebound.,24,37
3:06,120,Darryl Morsell missed Free Throw.,24,37
3:06,195,Kevin Mickle Defensive Rebound.,24,37
2:55,195,Zach Butler Turnover.,24,37
2:55,120,Anthony Cowan Steal.,24,37
2:40,120,Anthony Cowan missed Jumper.,24,37
2:40,195,Doug Taylor Defensive Rebound.,24,37
2:20,195,Doug Taylor missed Jumper.,24,37
2:20,120,Justin Jackson Defensive Rebound.,24,37
2:05,120,Darryl Morsell Turnover.,24,37
2:04,195,Jordan Dartis Steal.,24,37
1:47,195,Mike Laster missed Three Point Jumper.,24,37
1:47,120,Michal Cekovsky Defensive Rebound.,24,37
1:38,120,Justin Jackson missed Three Point Jumper.,24,37
1:38,195,Jordan Dartis Defensive Rebound.,24,37
1:27,195,Jordan Dartis Turnover.,24,37
1:07,120,Michal Cekovsky made Dunk. Assisted by Dion Wiley.,24,39
0:44,195,Doug Taylor made Dunk. Assisted by Mike Laster.,26,39
0:17,120,Dion Wiley missed Three Point Jumper.,26,39
0:17,120,Kevin Huerter Offensive Rebound.,26,39
0:14,120,Michal Cekovsky made Layup.,26,41
0:13,195,Ohio  Timeout,26,41
0:10,120,Kevin Huerter missed Jumper.,26,41
0:10,120,Michal Cekovsky Offensive Rebound.,26,41
0:05,195,Jordan Dartis missed Three Point Jumper.,26,41
0:05,120,Kevin Huerter Defensive Rebound.,26,41
0:03,120,Kevin Huerter Turnover.,26,41
0:03,195,Jason Carter Steal.,26,41
0:01,195,Jason Carter made Layup.,28,41
0:00,120,End of 1st half,28,41
19:47,120,Justin Jackson Turnover.,28,41
19:46,195,Doug Taylor Steal.,28,41
19:19,195,Doug Taylor missed Jumper.,28,41
19:19,120,Michal Cekovsky Block.,28,41
19:17,120,Dion Wiley Defensive Rebound.,28,41
19:07,120,Dion Wiley missed Three Point Jumper.,28,41
19:07,195,Gavin Block Defensive Rebound.,28,41
18:56,195,Gavin Block missed Three Point Jumper.,28,41
18:56,120,Michal Cekovsky Defensive Rebound.,28,41
18:48,120,Kevin Huerter missed Three Point Jumper.,28,41
18:48,195,Teyvion Kirk Defensive Rebound.,28,41
18:40,195,Teyvion Kirk missed Layup.,28,41
18:40,120,Kevin Huerter Defensive Rebound.,28,41
18:28,120,Kevin Huerter made Three Point Jumper.,28,44
18:24,195,Ohio  Timeout,28,44
18:20,195,Mike Laster made Three Point Jumper. Assisted by Teyvion Kirk.,31,44
18:01,120,Michal Cekovsky made Jumper.,31,46
17:50,195,Mike Laster missed Three Point Jumper.,31,46
17:50,120,Justin Jackson Defensive Rebound.,31,46
17:41,120,Justin Jackson missed Jumper.,31,46
17:41,120,Michal Cekovsky Offensive Rebound.,31,46
17:41,195,Foul on James Gollon.,31,46
17:36,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,31,49
17:19,195,Doug Taylor missed Jumper.,31,49
17:19,120,Anthony Cowan Defensive Rebound.,31,49
17:10,120,Justin Jackson missed Three Point Jumper.,31,49
17:10,195,Doug Taylor Defensive Rebound.,31,49
17:00,195,Teyvion Kirk missed Jumper.,31,49
17:00,120,Michal Cekovsky Block.,31,49
16:58,120,Michal Cekovsky Defensive Rebound.,31,49
16:55,120,Kevin Huerter made Jumper. Assisted by Justin Jackson.,31,51
16:24,195,Teyvion Kirk missed Jumper.,31,51
16:24,195,Doug Taylor Offensive Rebound.,31,51
16:22,195,Doug Taylor made Layup.,33,51
16:22,120,Foul on Anthony Cowan.,33,51
16:22,195,Doug Taylor missed Free Throw.,33,51
16:22,195,Ohio Offensive Rebound.,33,51
16:19,120,Foul on Justin Jackson.,33,51
16:19,195,Gavin Block missed Free Throw.,33,51
16:19,195,Ohio Deadball Team Rebound.,33,51
16:19,195,Gavin Block made Free Throw.,34,51
16:01,120,Justin Jackson missed Jumper.,34,51
16:01,120,Bruno Fernando Offensive Rebound.,34,51
15:58,120,Bruno Fernando missed Layup.,34,51
15:58,120,Justin Jackson Offensive Rebound.,34,51
15:56,120,Justin Jackson missed Jumper.,34,51
15:56,120,Bruno Fernando Offensive Rebound.,34,51
15:56,195,Foul on Gavin Block.,34,51
15:56,120,Official TV Timeout,34,51
15:55,120,Official TV Timeout,34,51
15:48,120,Bruno Fernando made Dunk. Assisted by Anthony Cowan.,34,53
15:33,120,Foul on Bruno Fernando.,34,53
15:33,195,Jason Carter made Free Throw.,35,53
15:33,195,Jason Carter made Free Throw.,36,53
15:33,120,Anthony Cowan Turnover.,36,53
15:33,195,Zach Butler Steal.,36,53
15:32,195,Foul on Kevin Mickle.,36,53
15:31,195,Zach Butler missed Layup.,36,53
15:31,120,Anthony Cowan Defensive Rebound.,36,53
15:19,195,Foul on Mike Laster.,36,53
15:16,120,Anthony Cowan missed Jumper.,36,53
15:16,195,James Gollon Defensive Rebound.,36,53
14:47,195,Kevin Mickle made Three Point Jumper. Assisted by Jason Carter.,39,53
14:16,120,Anthony Cowan missed Three Point Jumper.,39,53
14:16,195,Zach Butler Defensive Rebound.,39,53
13:46,195,Kevin Mickle missed Three Point Jumper.,39,53
13:46,195,Mike Laster Offensive Rebound.,39,53
13:45,120,Foul on Kevin Huerter.,39,53
13:36,195,Mike Laster missed Layup.,39,53
13:36,120,Bruno Fernando Block.,39,53
13:34,120,Kevin Huerter Defensive Rebound.,39,53
13:26,120,Kevin Huerter missed Three Point Jumper.,39,53
13:26,195,Zach Butler Defensive Rebound.,39,53
13:19,195,Zach Butler made Layup.,41,53
13:09,120,Maryland  Timeout,41,53
13:02,120,Foul on Justin Jackson.,41,53
13:02,120,Justin Jackson Turnover.,41,53
12:48,195,James Gollon missed Three Point Jumper.,41,53
12:48,120,Darryl Morsell Defensive Rebound.,41,53
12:38,195,Foul on Kevin Mickle.,41,53
12:35,195,Foul on Zach Butler.,41,53
12:16,120,Anthony Cowan made Free Throw.,41,54
12:16,120,Anthony Cowan made Free Throw.,41,55
12:02,195,Gavin Block missed Three Point Jumper.,41,55
12:02,120,Bruno Fernando Defensive Rebound.,41,55
11:48,120,Dion Wiley made Three Point Jumper. Assisted by Darryl Morsell.,41,58
11:28,195,Kevin Mickle missed Jumper.,41,58
11:28,195,Jason Carter Offensive Rebound.,41,58
11:22,195,Jason Carter missed Layup.,41,58
11:22,195,Kevin Mickle Offensive Rebound.,41,58
11:21,120,Official TV Timeout,41,58
11:21,195,Foul on Kevin Mickle.,41,58
11:21,120,Official TV Timeout,41,58
11:20,120,Anthony Cowan made Free Throw.,41,59
11:20,120,Anthony Cowan made Free Throw.,41,60
11:02,195,Kevin Mickle missed Jumper.,41,60
11:02,120,Justin Jackson Defensive Rebound.,41,60
10:44,120,Justin Jackson missed Three Point Jumper.,41,60
10:44,195,Mike Laster Defensive Rebound.,41,60
10:36,120,Foul on Michal Cekovsky.,41,60
10:36,195,Mike Laster made Free Throw.,42,60
10:36,195,Mike Laster missed Free Throw.,42,60
10:36,120,Michal Cekovsky Defensive Rebound.,42,60
10:10,120,Michal Cekovsky made Jumper.,42,62
10:10,195,Foul on Gavin Block.,42,62
10:10,120,Michal Cekovsky made Free Throw.,42,63
9:49,195,Teyvion Kirk Turnover.,42,63
9:44,120,Anthony Cowan made Layup.,42,65
9:25,195,Teyvion Kirk Turnover.,42,65
9:23,120,Dion Wiley Steal.,42,65
9:22,120,Dion Wiley Turnover.,42,65
9:15,195,Teyvion Kirk Turnover.,42,65
9:15,195,Foul on Teyvion Kirk.,42,65
8:54,120,Dion Wiley Turnover.,42,65
8:52,195,Mike Laster Steal.,42,65
8:40,195,James Gollon Turnover.,42,65
8:32,120,Dion Wiley Steal.,42,65
8:31,120,Dion Wiley Turnover.,42,65
8:28,120,Jared Nickens missed Three Point Jumper.,42,65
8:28,195,Mike Laster Defensive Rebound.,42,65
8:28,195,Doug Taylor made Layup.,44,65
8:28,195,Zach Butler missed Jumper.,44,65
8:28,120,Michal Cekovsky Defensive Rebound.,44,65
7:45,120,Anthony Cowan missed Three Point Jumper.,44,65
7:45,195,James Gollon Defensive Rebound.,44,65
7:30,195,Doug Taylor missed Layup.,44,65
7:30,120,Anthony Cowan Defensive Rebound.,44,65
7:22,120,Official TV Timeout,44,65
7:22,120,Official TV Timeout,44,65
7:22,120,Anthony Cowan missed Jumper.,44,65
7:22,195,Doug Taylor Block.,44,65
7:21,120,Official TV Timeout,44,65
7:21,120,Maryland Offensive Rebound.,44,65
7:21,120,Official TV Timeout,44,65
7:05,120,Sean Obi missed Jumper.,44,65
7:05,195,Doug Taylor Defensive Rebound.,44,65
6:46,195,Doug Taylor missed Layup.,44,65
6:46,120,Darryl Morsell Block.,44,65
6:45,120,Sean Obi Defensive Rebound.,44,65
6:37,120,Sean Obi Turnover.,44,65
6:35,195,Jason Carter Steal.,44,65
6:30,120,Foul on Jared Nickens.,44,65
6:30,195,James Gollon made Free Throw.,45,65
6:30,195,James Gollon made Free Throw.,46,65
6:30,195,James Gollon made Free Throw.,47,65
6:15,120,Sean Obi made Layup. Assisted by Kevin Huerter.,47,67
5:49,195,James Gollon made Jumper.,49,67
5:31,120,Kevin Huerter made Three Point Jumper. Assisted by Darryl Morsell.,49,70
5:15,195,Mike Laster missed Jumper.,49,70
5:15,120,Kevin Huerter Block.,49,70
5:13,120,Kevin Huerter Defensive Rebound.,49,70
5:10,120,Anthony Cowan missed Three Point Jumper.,49,70
5:10,120,Darryl Morsell Offensive Rebound.,49,70
5:06,120,Darryl Morsell missed Jumper.,49,70
5:06,195,Kevin Mickle Block.,49,70
5:03,120,Sean Obi Offensive Rebound.,49,70
5:03,195,Foul on Mike Laster.,49,70
5:03,120,Sean Obi made Free Throw.,49,71
5:03,120,Sean Obi made Free Throw.,49,72
4:43,195,Mike Laster made Three Point Jumper. Assisted by James Gollon.,52,72
4:26,120,Foul on Ivan Bender.,52,72
4:26,120,Ivan Bender Turnover.,52,72
4:15,195,Jason Carter missed Three Point Jumper.,52,72
4:15,195,Teyvion Kirk Offensive Rebound.,52,72
4:12,120,Foul on Sean Obi.,52,72
4:12,195,Teyvion Kirk made Free Throw.,53,72
4:12,195,Teyvion Kirk made Free Throw.,54,72
3:57,120,Darryl Morsell missed Jumper.,54,72
3:57,120,Sean Obi Offensive Rebound.,54,72
3:53,120,Sean Obi made Layup.,54,74
3:42,195,Zach Butler missed Three Point Jumper.,54,74
3:42,120,Anthony Cowan Defensive Rebound.,54,74
3:37,120,Anthony Cowan Turnover.,54,74
3:34,195,Teyvion Kirk made Layup.,56,74
3:33,120,Foul on Kevin Huerter.,56,74
3:33,120,Official TV Timeout,56,74
3:33,195,Teyvion Kirk missed Free Throw.,56,74
3:33,120,Kevin Huerter Defensive Rebound.,56,74
3:27,195,Foul on Teyvion Kirk.,56,74
3:27,120,Anthony Cowan made Free Throw.,56,75
3:27,120,Anthony Cowan made Free Throw.,56,76
3:14,195,James Gollon missed Three Point Jumper.,56,76
3:14,120,Anthony Cowan Defensive Rebound.,56,76
2:53,120,Darryl Morsell made Layup.,56,78
2:37,195,James Gollon Turnover.,56,78
2:14,120,Dion Wiley Turnover.,56,78
2:08,195,Zach Butler Turnover.,56,78
2:06,120,Reese Mona Steal.,56,78
1:59,120,Reese Mona made Layup. Assisted by Dion Wiley.,56,80
1:50,120,Travis Valmon made Layup.,56,82
1:47,195,Kevin Mickle made Free Throw.,57,82
1:47,120,Foul on Dion Wiley.,57,82
1:47,195,Kevin Mickle made Free Throw.,58,82
1:26,195,Ellis Dozier made Jumper.,60,82
1:00,120,Joshua Tomaic missed Jumper.,60,82
1:00,120,Reese Mona Offensive Rebound.,60,82
0:57,120,Reese Mona made Layup.,60,84
0:46,120,Foul on Reese Mona.,60,84
0:46,195,Kevin Mickle made Free Throw.,61,84
0:46,195,Kevin Mickle made Free Throw.,62,84
0:29,120,Travis Valmon made Three Point Jumper. Assisted by Alex Tostado.,62,87
0:13,195,Antonio Bisutti missed Jumper.,62,87
0:13,120,Joshua Tomaic Defensive Rebound.,62,87
0:00,120,End of Game,62,87
