Drexel,2325,La Salle,2182
8:24,2325,B.J. Johnson missed Three Point Jumper.,28,15
8:24,2325,Tony Washington Offensive Rebound.,28,15
8:20,2325,Pookie Powell made Three Point Jumper. Assisted by Tony Washington.,28,18
8:03,2182,Sammy Mojica missed Layup.,28,18
8:03,2325,B.J. Johnson Defensive Rebound.,28,18
7:55,2182,Foul on Sammy Mojica.,28,18
7:55,2325,Official TV Timeout,28,18
7:55,2325,Johnnie Shuler made Free Throw.,28,19
7:55,2325,Johnnie Shuler made Free Throw.,28,20
7:42,2325,Foul on Saul Phiri.,28,20
7:42,2182,Austin Williams made Free Throw.,29,20
7:42,2182,Austin Williams made Free Throw.,30,20
7:21,2182,Foul on Kurk Lee.,30,20
7:17,2325,Amar Stukes made Layup. Assisted by Saul Phiri.,30,22
6:57,2182,Austin Williams Turnover.,30,22
6:55,2325,Pookie Powell Steal.,30,22
6:51,2325,Saul Phiri made Three Point Jumper. Assisted by Pookie Powell.,30,25
6:36,2182,Sammy Mojica Turnover.,30,25
6:22,2325,B.J. Johnson missed Three Point Jumper.,30,25
6:22,2182,Austin Williams Defensive Rebound.,30,25
6:20,2325,Foul on Tony Washington.,30,25
6:09,2182,Kurk Lee made Three Point Jumper. Assisted by Alihan Demir.,33,25
5:51,2325,Pookie Powell made Layup.,33,27
5:29,2182,Alihan Demir made Jumper.,35,27
5:12,2325,B.J. Johnson missed Three Point Jumper.,35,27
5:12,2325,Tony Washington Offensive Rebound.,35,27
5:04,2325,Amar Stukes missed Layup.,35,27
5:04,2182,Austin Williams Defensive Rebound.,35,27
4:55,2182,Kurk Lee missed Layup.,35,27
4:55,2325,B.J. Johnson Defensive Rebound.,35,27
4:51,2325,Saul Phiri Turnover.,35,27
4:48,2182,Kurk Lee Steal.,35,27
4:30,2182,Austin Williams Turnover.,35,27
4:29,2325,B.J. Johnson Steal.,35,27
4:27,2325,Foul on B.J. Johnson.,35,27
4:27,2325,B.J. Johnson Turnover.,35,27
4:14,2182,Jarvis Doles missed Three Point Jumper.,35,27
4:14,2182,Sammy Mojica Offensive Rebound.,35,27
4:13,2325,Foul on Tony Washington.,35,27
3:48,2182,Tyshawn Myles missed Layup.,35,27
3:48,2325,B.J. Johnson Defensive Rebound.,35,27
3:33,2325,Pookie Powell missed Layup.,35,27
3:33,2182,Kurk Lee Defensive Rebound.,35,27
3:25,2182,Alihan Demir missed Layup.,35,27
3:25,2325,B.J. Johnson Defensive Rebound.,35,27
3:17,2182,Foul on Kurk Lee.,35,27
3:17,2325,Official TV Timeout,35,27
3:05,2325,B.J. Johnson missed Three Point Jumper.,35,27
3:05,2182,Tyshawn Myles Defensive Rebound.,35,27
2:42,2182,Kurk Lee Turnover.,35,27
2:24,2325,Pookie Powell made Three Point Jumper. Assisted by Amar Stukes.,35,30
1:58,2182,Kurk Lee made Jumper.,37,30
1:48,2325,B.J. Johnson Turnover.,37,30
1:47,2182,Alihan Demir Steal.,37,30
1:31,2182,Tyshawn Myles missed Layup.,37,30
1:31,2182,Tyshawn Myles Offensive Rebound.,37,30
1:31,2325,Foul on B.J. Johnson.,37,30
1:31,2182,Tyshawn Myles made Free Throw.,38,30
1:31,2182,Tyshawn Myles made Free Throw.,39,30
1:24,2325,Pookie Powell Turnover.,39,30
1:22,2182,Kurk Lee Steal.,39,30
1:00,2325,Foul on Johnnie Shuler.,39,30
1:00,2182,Sammy Mojica missed Free Throw.,39,30
1:00,2182,Drexel Deadball Team Rebound.,39,30
1:00,2182,Sammy Mojica made Free Throw.,40,30
0:37,2325,Isiah Deas missed Three Point Jumper.,40,30
0:37,2182,Jarvis Doles Defensive Rebound.,40,30
0:08,2182,Kurk Lee made Three Point Jumper.,43,30
0:01,2325,Pookie Powell Turnover.,43,30
0:00,2325,End of 1st half,43,30
19:51,2325,B.J. Johnson made Jumper. Assisted by Pookie Powell.,43,32
19:36,2182,Austin Williams missed Jumper.,43,32
19:36,2325,B.J. Johnson Defensive Rebound.,43,32
19:25,2325,Pookie Powell missed Three Point Jumper.,43,32
19:25,2182,Drexel Defensive Rebound.,43,32
19:13,2182,Sammy Mojica made Layup. Assisted by Alihan Demir.,45,32
18:59,2325,B.J. Johnson made Three Point Jumper. Assisted by Saul Phiri.,45,35
18:40,2182,Austin Williams made Layup. Assisted by Sammy Mojica.,47,35
18:40,2325,Foul on B.J. Johnson.,47,35
18:40,2182,Austin Williams missed Free Throw.,47,35
18:40,2325,Pookie Powell Defensive Rebound.,47,35
18:32,2325,Pookie Powell made Layup.,47,37
18:07,2182,Kurk Lee made Three Point Jumper.,50,37
17:50,2325,Amar Stukes missed Jumper.,50,37
17:50,2182,Jarvis Doles Defensive Rebound.,50,37
17:25,2182,Austin Williams missed Jumper.,50,37
17:25,2325,Pookie Powell Defensive Rebound.,50,37
17:11,2182,Foul on Austin Williams.,50,37
17:11,2325,Isiah Deas made Free Throw.,50,38
17:11,2325,Isiah Deas made Free Throw.,50,39
16:58,2182,Austin Williams made Layup. Assisted by Kurk Lee.,52,39
16:38,2325,Tony Washington made Layup. Assisted by Saul Phiri.,52,41
16:08,2325,Foul on Amar Stukes.,52,41
15:58,2182,Kurk Lee Turnover.,52,41
15:58,2325,Amar Stukes Steal.,52,41
15:58,2182,Foul on Alihan Demir.,52,41
15:57,2325,Official TV Timeout,52,41
15:37,2182,Foul on Austin Williams.,52,41
15:34,2182,Foul on Sammy Mojica.,52,41
15:34,2325,Isiah Deas missed Free Throw.,52,41
15:34,2325,La Salle Deadball Team Rebound.,52,41
15:34,2325,Isiah Deas made Free Throw.,52,42
15:08,2182,Sammy Mojica missed Jumper.,52,42
15:08,2182,Sammy Mojica Offensive Rebound.,52,42
15:07,2325,Foul on Tony Washington.,52,42
15:07,2182,Sammy Mojica missed Free Throw.,52,42
15:07,2182,Drexel Deadball Team Rebound.,52,42
15:07,2182,Sammy Mojica made Free Throw.,53,42
14:46,2325,Saul Phiri made Layup. Assisted by B.J. Johnson.,53,44
14:26,2182,Kurk Lee missed Jumper.,53,44
14:26,2182,Alihan Demir Offensive Rebound.,53,44
14:04,2182,Sammy Mojica made Layup.,55,44
14:04,2325,Foul on Isiah Deas.,55,44
14:03,2182,Sammy Mojica made Free Throw.,56,44
13:52,2325,B.J. Johnson made Jumper.,56,46
13:25,2182,Sammy Mojica Turnover.,56,46
13:23,2325,B.J. Johnson Steal.,56,46
13:20,2182,Foul on Tyshawn Myles.,56,46
13:20,2325,Isiah Deas made Free Throw.,56,47
13:20,2325,Isiah Deas missed Free Throw.,56,47
13:20,2182,Tyshawn Myles Defensive Rebound.,56,47
13:14,2182,Tyshawn Myles Turnover.,56,47
13:13,2325,Isiah Deas Steal.,56,47
13:05,2325,Isiah Deas missed Three Point Jumper.,56,47
13:05,2182,Alihan Demir Defensive Rebound.,56,47
12:54,2182,Sammy Mojica made Three Point Jumper. Assisted by Alihan Demir.,59,47
12:39,2325,Isiah Deas missed Three Point Jumper.,59,47
12:39,2182,Kurk Lee Defensive Rebound.,59,47
12:31,2182,Kurk Lee missed Jumper.,59,47
12:31,2325,Pookie Powell Defensive Rebound.,59,47
12:23,2325,B.J. Johnson made Three Point Jumper. Assisted by Pookie Powell.,59,50
11:53,2182,Sammy Mojica missed Jumper.,59,50
11:53,2182,Jarvis Doles Offensive Rebound.,59,50
11:52,2325,Foul on Amar Stukes.,59,50
11:52,2325,Official TV Timeout,59,50
11:41,2325,Foul on Johnnie Shuler.,59,50
11:29,2182,Kurk Lee made Jumper.,61,50
11:18,2325,Pookie Powell made Three Point Jumper. Assisted by Johnnie Shuler.,61,53
10:57,2182,Austin Williams made Layup. Assisted by Kurk Lee.,63,53
10:42,2325,Pookie Powell missed Three Point Jumper.,63,53
10:42,2325,La Salle Offensive Rebound.,63,53
10:39,2182,Foul on Tyshawn Myles.,63,53
10:25,2325,Saul Phiri missed Three Point Jumper.,63,53
10:25,2182,Jarvis Doles Defensive Rebound.,63,53
9:52,2182,Kurk Lee missed Layup.,63,53
9:52,2325,Saul Phiri Defensive Rebound.,63,53
9:38,2325,Pookie Powell missed Layup.,63,53
9:38,2182,Tyshawn Myles Defensive Rebound.,63,53
9:20,2182,Foul on Austin Williams.,63,53
9:20,2182,Austin Williams Turnover.,63,53
9:01,2325,Saul Phiri missed Three Point Jumper.,63,53
9:01,2182,Austin Williams Defensive Rebound.,63,53
8:39,2182,Kurk Lee missed Jumper.,63,53
8:39,2182,Alihan Demir Offensive Rebound.,63,53
8:33,2182,Austin Williams made Layup.,65,53
8:21,2325,La Salle  Timeout,65,53
8:08,2325,Isiah Deas missed Three Point Jumper.,65,53
8:08,2182,Jarvis Doles Defensive Rebound.,65,53
7:44,2325,Foul on Johnnie Shuler.,65,53
7:44,2325,Official TV Timeout,65,53
7:44,2182,Kurk Lee missed Free Throw.,65,53
7:44,2182,Kurk Lee Offensive Rebound.,65,53
7:28,2182,Jarvis Doles Turnover.,65,53
7:28,2325,B.J. Johnson Steal.,65,53
7:25,2325,B.J. Johnson made Dunk.,65,55
7:00,2182,Alihan Demir Turnover.,65,55
6:58,2325,Saul Phiri Steal.,65,55
6:56,2325,Isiah Deas Turnover.,65,55
6:40,2182,Kurk Lee made Layup.,67,55
6:28,2182,Foul on Austin Williams.,67,55
6:28,2325,Amar Stukes made Free Throw.,67,56
6:28,2325,Amar Stukes made Free Throw.,67,57
6:03,2182,Kurk Lee missed Three Point Jumper.,67,57
6:03,2325,Isiah Deas Defensive Rebound.,67,57
5:57,2325,Isiah Deas made Layup.,67,59
5:21,2182,Sammy Mojica Turnover.,67,59
5:20,2325,Isiah Deas Steal.,67,59
5:17,2325,Isiah Deas made Three Point Jumper.,67,62
5:16,2182,Drexel  Timeout,67,62
4:51,2182,Austin Williams missed Dunk.,67,62
4:51,2325,B.J. Johnson Defensive Rebound.,67,62
4:43,2325,Isiah Deas missed Three Point Jumper.,67,62
4:43,2182,Austin Williams Defensive Rebound.,67,62
4:36,2182,Austin Williams Turnover.,67,62
4:23,2325,B.J. Johnson Turnover.,67,62
4:22,2182,Jarvis Doles Steal.,67,62
4:07,2325,Foul on Amar Stukes.,67,62
4:07,2182,Austin Williams missed Free Throw.,67,62
4:07,2325,B.J. Johnson Defensive Rebound.,67,62
3:52,2325,Isiah Deas made Three Point Jumper. Assisted by Pookie Powell.,67,65
3:22,2182,Austin Williams Turnover.,67,65
3:22,2325,Official TV Timeout,67,65
3:08,2325,Amar Stukes missed Layup.,67,65
3:08,2182,Austin Williams Block.,67,65
3:08,2325,La Salle Offensive Rebound.,67,65
3:04,2325,B.J. Johnson missed Layup.,67,65
3:04,2182,Kurk Lee Defensive Rebound.,67,65
3:04,2325,Foul on Tony Washington.,67,65
3:04,2182,Kurk Lee made Free Throw.,68,65
3:04,2182,Kurk Lee missed Free Throw.,68,65
3:04,2325,Tony Washington Defensive Rebound.,68,65
2:38,2325,B.J. Johnson missed Jumper.,68,65
2:38,2182,Sammy Mojica Defensive Rebound.,68,65
2:14,2182,Kurk Lee missed Jumper.,68,65
2:14,2182,Kurk Lee Offensive Rebound.,68,65
2:11,2182,Kurk Lee made Layup.,70,65
2:05,2325,B.J. Johnson made Layup.,70,67
2:05,2182,Foul on Tyshawn Myles.,70,67
2:05,2325,B.J. Johnson made Free Throw.,70,68
1:40,2182,Austin Williams made Jumper. Assisted by Alihan Demir.,72,68
1:26,2182,Foul on Austin Williams.,72,68
1:26,2325,B.J. Johnson made Free Throw.,72,69
1:26,2325,B.J. Johnson missed Free Throw.,72,69
1:26,2182,Tyshawn Myles Defensive Rebound.,72,69
0:55,2325,Johnnie Shuler missed Three Point Jumper.,72,69
0:55,2182,Drexel Defensive Rebound.,72,69
0:43,2325,Pookie Powell missed Layup.,72,69
0:43,2182,Sammy Mojica Defensive Rebound.,72,69
0:15,2182,Sammy Mojica missed Three Point Jumper.,72,69
0:15,2325,Isiah Deas Defensive Rebound.,72,69
0:08,2182,Foul on Kurk Lee.,72,69
0:08,2325,B.J. Johnson made Free Throw.,72,70
0:08,2182,Drexel  Timeout,72,70
0:08,2325,B.J. Johnson missed Free Throw.,72,70
0:08,2182,Sammy Mojica Defensive Rebound.,72,70
0:07,2325,Foul on Tony Washington.,72,70
0:07,2182,Sammy Mojica missed Free Throw.,72,70
0:07,2182,Drexel Deadball Team Rebound.,72,70
0:07,2325,La Salle  Timeout,72,70
0:07,2182,Sammy Mojica missed Free Throw.,72,70
0:07,2325,B.J. Johnson Defensive Rebound.,72,70
0:00,2325,Isiah Deas missed Three Point Jumper.,72,70
0:00,2182,Jarvis Doles Defensive Rebound.,72,70
0:00,2325,End of Game,72,70
