Mt St Joseph,Error,Evansville,339
8:20,-1,Andrew Finley missed Three Point Jumper.,15,24
8:20,-1,Andrew Finley Offensive Rebound.,15,24
8:15,-1,Andrew Finley made Jumper.,17,24
7:53,339,Sergej Vucetic missed Layup.,17,24
7:53,-1,Holden Hertzel Defensive Rebound.,17,24
7:32,-1,Adam Goetz missed Jumper.,17,24
7:32,339,Ryan Taylor Defensive Rebound.,17,24
7:18,339,Sergej Vucetic missed Jumper.,17,24
7:18,-1,Holden Hertzel Defensive Rebound.,17,24
6:42,-1,College of Mount St Joseph  Timeout,17,24
6:42,339,Official TV Timeout,17,24
6:42,-1,Jordan Henry made Jumper.,19,24
6:21,339,David Howard missed Jumper.,19,24
6:21,-1,Tyler Manaugh Defensive Rebound.,19,24
5:54,-1,Bobby Murdock made Three Point Jumper. Assisted by Jordan Henry.,22,24
5:36,339,Ryan Taylor made Jumper.,22,26
5:04,339,Official TV Timeout,22,26
4:41,-1,Foul on Bobby Murdock.,22,26
4:33,339,Jaylon Brown made Layup.,22,28
4:10,-1,Bobby Murdock made Jumper.,24,28
3:57,339,Jaylon Brown made Jumper. Assisted by Duane Gibson.,24,30
3:52,339,Official TV Timeout,24,30
3:34,-1,Bobby Murdock missed Jumper.,24,30
3:34,339,Dalen Traore Defensive Rebound.,24,30
3:14,-1,Foul on Adam Goetz.,24,30
3:14,339,Ryan Taylor made Free Throw.,24,31
3:14,339,Ryan Taylor missed Free Throw.,24,31
3:14,-1,Jordan Henry Defensive Rebound.,24,31
3:06,339,Foul on Jaylon Brown.,24,31
3:02,-1,Adam Goetz made Jumper.,26,31
2:35,339,Jaylon Brown made Jumper. Assisted by Duane Gibson.,26,33
2:05,-1,Adam Goetz missed Three Point Jumper.,26,33
2:05,-1,Andrew Finley Offensive Rebound.,26,33
2:01,339,Foul on Duane Gibson.,26,33
1:56,-1,Bobby Murdock made Three Point Jumper.,29,33
1:30,339,Jaylon Brown made Jumper. Assisted by Jaiveon Eaves.,29,35
1:14,-1,Bobby Murdock Turnover.,29,35
1:12,339,Christian Benzon Steal.,29,35
1:09,339,Duane Gibson made Jumper. Assisted by Christian Benzon.,29,37
0:49,-1,Bobby Murdock missed Three Point Jumper.,29,37
0:49,339,Christian Benzon Defensive Rebound.,29,37
0:39,339,Jaiveon Eaves missed Three Point Jumper.,29,37
0:39,339,Duane Gibson Offensive Rebound.,29,37
0:17,339,Jaylon Brown missed Jumper.,29,37
0:17,-1,Tyler Manaugh Defensive Rebound.,29,37
0:12,-1,Foul on Bobby Murdock.,29,37
0:12,-1,Bobby Murdock Turnover.,29,37
0:03,339,Jaiveon Eaves missed Three Point Jumper.,29,37
0:03,-1,Holden Hertzel Defensive Rebound.,29,37
0:00,339,End of 1st half,29,37
19:47,-1,Andrew Finley Turnover.,29,37
19:47,339,Duane Gibson Steal.,29,37
19:22,339,Ryan Taylor missed Three Point Jumper.,29,37
19:22,-1,Erik Edwards Defensive Rebound.,29,37
19:09,-1,Bobby Murdock missed Three Point Jumper.,29,37
19:09,339,David Howard Defensive Rebound.,29,37
19:00,339,Ryan Taylor missed Jumper.,29,37
19:00,-1,College of Mount St Joseph Defensive Rebound.,29,37
18:46,-1,Andrew Finley missed Three Point Jumper.,29,37
18:46,339,David Howard Defensive Rebound.,29,37
18:36,339,Ryan Taylor made Jumper. Assisted by Jaylon Brown.,29,39
18:36,-1,Foul on Adam Goetz.,29,39
18:36,339,Ryan Taylor missed Free Throw.,29,39
18:36,-1,Bobby Murdock Defensive Rebound.,29,39
18:10,-1,Andrew Finley made Layup.,31,39
17:48,339,David Howard made Jumper. Assisted by Jaylon Brown.,31,41
17:22,-1,Adam Goetz missed Jumper.,31,41
17:22,339,Ryan Taylor Block.,31,41
17:19,339,Duane Gibson Defensive Rebound.,31,41
17:16,339,Ryan Taylor missed Layup.,31,41
17:16,-1,Bobby Murdock Defensive Rebound.,31,41
16:55,339,Foul on David Howard.,31,41
16:45,-1,Foul on Adam Goetz.,31,41
16:45,-1,Adam Goetz Turnover.,31,41
16:24,339,Duane Gibson made Layup. Assisted by Ryan Taylor.,31,43
15:59,-1,Holden Hertzel missed Jumper.,31,43
15:59,339,Jaylon Brown Defensive Rebound.,31,43
15:48,339,Jaylon Brown made Three Point Jumper. Assisted by Duane Gibson.,31,46
15:37,-1,College of Mount St Joseph  Timeout,31,46
15:09,-1,Andrew Finley missed Three Point Jumper.,31,46
15:09,-1,College of Mount St Joseph Deadball Team Rebound.,31,46
15:09,-1,College of Mount St Joseph  Turnover.,31,46
15:02,339,Ryan Taylor missed Three Point Jumper.,31,46
15:02,-1,Andrew Finley Defensive Rebound.,31,46
14:54,339,Foul on David Howard.,31,46
14:48,-1,Holden Hertzel missed Three Point Jumper.,31,46
14:48,339,Jaylon Brown Defensive Rebound.,31,46
14:33,339,Jaylon Brown made Three Point Jumper. Assisted by Ryan Taylor.,31,49
14:13,-1,Erik Edwards Turnover.,31,49
14:11,339,David Howard Steal.,31,49
14:09,339,Duane Gibson made Layup. Assisted by Christian Benzon.,31,51
13:37,-1,Holden Hertzel missed Jumper.,31,51
13:37,339,Duane Gibson Defensive Rebound.,31,51
13:30,339,Jaylon Brown missed Three Point Jumper.,31,51
13:30,-1,Holden Hertzel Defensive Rebound.,31,51
13:03,-1,Andrew Finley made Layup.,33,51
12:39,339,Christian Benzon missed Layup.,33,51
12:39,-1,Holden Hertzel Defensive Rebound.,33,51
12:29,-1,Andrew Finley missed Three Point Jumper.,33,51
12:29,339,Jaylon Brown Defensive Rebound.,33,51
12:06,-1,Foul on Andrew Finley.,33,51
12:06,339,Ryan Taylor made Free Throw.,33,52
12:06,339,Ryan Taylor missed Free Throw.,33,52
12:06,-1,Tyler Manaugh Defensive Rebound.,33,52
12:04,-1,Adam Goetz made Three Point Jumper. Assisted by Bobby Murdock.,36,52
11:22,339,Ryan Taylor Turnover.,36,52
11:22,339,Official TV Timeout,36,52
11:09,-1,Bobby Murdock made Three Point Jumper. Assisted by Adam Goetz.,39,52
10:45,339,Duane Gibson made Layup. Assisted by Jaylon Brown.,39,54
10:24,-1,Jordan Henry missed Layup.,39,54
10:24,-1,Jordan Henry Offensive Rebound.,39,54
10:14,-1,Adam Goetz missed Three Point Jumper.,39,54
10:14,-1,Tyler Manaugh Offensive Rebound.,39,54
10:11,-1,Tyler Manaugh Turnover.,39,54
9:58,339,Jaylon Brown missed Jumper.,39,54
9:58,-1,Adam Goetz Defensive Rebound.,39,54
9:46,-1,Foul on Adam Goetz.,39,54
9:46,-1,Adam Goetz Turnover.,39,54
9:22,339,Duane Gibson missed Jumper.,39,54
9:22,339,Solomon Hainna Offensive Rebound.,39,54
9:20,-1,Foul on Jake Cropper.,39,54
9:17,339,Jaiveon Eaves missed Three Point Jumper.,39,54
9:17,-1,Jake Cropper Defensive Rebound.,39,54
8:56,-1,Andrew Finley missed Layup.,39,54
8:56,339,Jaiveon Eaves Defensive Rebound.,39,54
8:49,-1,Foul on Tyler Manaugh.,39,54
8:49,339,Jaylon Brown made Free Throw.,39,55
8:49,339,Jaylon Brown made Free Throw.,39,56
8:40,-1,Bobby Murdock missed Three Point Jumper.,39,56
8:40,-1,Frankie Hofmeyer Offensive Rebound.,39,56
8:34,-1,Frankie Hofmeyer missed Three Point Jumper.,39,56
8:34,-1,Andrew Finley Offensive Rebound.,39,56
8:13,339,Foul on Solomon Hainna.,39,56
8:03,-1,Bobby Murdock missed Three Point Jumper.,39,56
8:03,339,Jaylon Brown Defensive Rebound.,39,56
7:35,339,Jaylon Brown missed Three Point Jumper.,39,56
7:35,339,Evansville Offensive Rebound.,39,56
7:32,339,Official TV Timeout,39,56
7:15,339,Foul on Christian Benzon.,39,56
7:15,339,Christian Benzon Turnover.,39,56
7:03,339,Foul on Jaylon Brown.,39,56
7:00,-1,Adam Goetz made Jumper. Assisted by Jake Cropper.,41,56
6:32,339,Ryan Taylor made Three Point Jumper. Assisted by Jaiveon Eaves.,41,59
6:14,-1,Holden Hertzel made Layup. Assisted by Erik Edwards.,43,59
6:01,339,Jaiveon Eaves missed Jumper.,43,59
6:01,-1,Erik Edwards Defensive Rebound.,43,59
5:41,-1,Holden Hertzel Turnover.,43,59
5:34,-1,Foul on Erik Edwards.,43,59
5:34,339,Jaylon Brown made Free Throw.,43,60
5:34,339,Jaylon Brown missed Free Throw.,43,60
5:34,-1,Holden Hertzel Defensive Rebound.,43,60
5:16,-1,Holden Hertzel made Layup. Assisted by Erik Edwards.,45,60
5:03,-1,Foul on Jordan Henry.,45,60
5:03,339,Jaylon Brown made Free Throw.,45,61
5:03,339,Jaylon Brown made Free Throw.,45,62
4:50,339,Foul on Ryan Taylor.,45,62
4:50,-1,Erik Edwards made Free Throw.,46,62
4:50,-1,Erik Edwards made Free Throw.,47,62
4:37,339,Dalen Traore made Layup. Assisted by Christian Benzon.,47,64
4:25,-1,Adam Goetz made Three Point Jumper. Assisted by Holden Hertzel.,50,64
4:07,339,Dalen Traore Turnover.,50,64
3:47,-1,Bobby Murdock missed Three Point Jumper.,50,64
3:47,339,Christian Benzon Defensive Rebound.,50,64
3:45,-1,Foul on Jake Cropper.,50,64
3:45,339,Official TV Timeout,50,64
3:45,339,Jaiveon Eaves made Free Throw.,50,65
3:45,339,Jaiveon Eaves missed Free Throw.,50,65
3:45,-1,Jordan Henry Defensive Rebound.,50,65
3:31,-1,Bobby Murdock missed Jumper.,50,65
3:31,339,Jaylon Brown Defensive Rebound.,50,65
2:58,339,Evansville  Turnover.,50,65
2:47,-1,Adam Goetz missed Three Point Jumper.,50,65
2:47,339,Christian Benzon Defensive Rebound.,50,65
2:37,339,Jaiveon Eaves missed Three Point Jumper.,50,65
2:37,-1,College of Mount St Joseph Defensive Rebound.,50,65
2:12,-1,Adam Goetz missed Three Point Jumper.,50,65
2:12,-1,Erik Edwards Offensive Rebound.,50,65
1:59,-1,Andrew Finley made Three Point Jumper.,53,65
1:35,339,Solomon Hainna made Three Point Jumper. Assisted by Ryan Taylor.,53,68
1:01,-1,Andrew Finley made Layup.,55,68
0:37,339,Jaiveon Eaves missed Jumper.,55,68
0:37,339,Ryan Taylor Offensive Rebound.,55,68
0:34,339,Ryan Taylor missed Jumper.,55,68
0:34,-1,Shaun Sullivan Defensive Rebound.,55,68
0:25,-1,Mitch Moorhead missed Three Point Jumper.,55,68
0:25,339,Solomon Hainna Defensive Rebound.,55,68
0:00,339,End of Game,55,68
