Delaware State,2294,Iowa,2169
16:37,2294,Peter Jok made Layup. Assisted by Cordell Pemsl.,2,11
16:13,2169,Artem Tavakalyan missed Jumper.,2,11
16:13,2294,Ahmad Wagner Defensive Rebound.,2,11
16:00,2294,Isaiah Moss Turnover.,2,11
15:58,2169,DeVaughn Mallory Steal.,2,11
15:39,2169,Artem Tavakalyan made Three Point Jumper. Assisted by Devin Morgan.,5,11
15:29,2294,Ahmad Wagner made Dunk. Assisted by Jordan Bohannon.,5,13
15:02,2169,DeVaughn Mallory missed Jumper.,5,13
15:02,2294,Cordell Pemsl Defensive Rebound.,5,13
14:57,2294,Jordan Bohannon missed Jumper.,5,13
14:57,2169,Onifade Demola Defensive Rebound.,5,13
14:52,2294,Foul on Cordell Pemsl.,5,13
14:52,2294,Official TV Timeout,5,13
14:25,2169,Devin Morgan missed Three Point Jumper.,5,13
14:25,2294,Nicholas Baer Defensive Rebound.,5,13
14:18,2294,Nicholas Baer Turnover.,5,13
14:18,2169,DeVaughn Mallory Steal.,5,13
14:16,2169,DeVaughn Mallory missed Layup.,5,13
14:16,2169,DeVaughn Mallory Offensive Rebound.,5,13
14:14,2169,DeVaughn Mallory made Jumper.,7,13
14:08,2294,Peter Jok made Three Point Jumper. Assisted by Jordan Bohannon.,7,16
13:50,2169,DeVaughn Mallory missed Jumper.,7,16
13:50,2294,Brady Ellingson Defensive Rebound.,7,16
13:35,2169,Foul on Onifade Demola.,7,16
13:35,2294,Dom Uhl made Free Throw.,7,17
13:35,2294,Dom Uhl made Free Throw.,7,18
13:06,2294,Foul on Peter Jok.,7,18
13:06,2169,DeVaughn Mallory made Free Throw.,8,18
13:06,2169,DeVaughn Mallory missed Free Throw.,8,18
13:06,2294,Dom Uhl Defensive Rebound.,8,18
12:57,2294,Peter Jok missed Jumper.,8,18
12:57,2169,Onifade Demola Defensive Rebound.,8,18
12:50,2169,DeVaughn Mallory made Layup. Assisted by Kobe Gantz.,10,18
12:42,2294,Peter Jok made Three Point Jumper. Assisted by Jordan Bohannon.,10,21
12:27,2169,Delaware St  Timeout,10,21
12:16,2169,Onifade Demola missed Jumper.,10,21
12:16,2294,Dom Uhl Defensive Rebound.,10,21
11:52,2294,Peter Jok missed Jumper.,10,21
11:52,2294,Dom Uhl Offensive Rebound.,10,21
11:46,2294,Dom Uhl Turnover.,10,21
11:45,2169,Devin Morgan Steal.,10,21
11:42,2169,Devin Morgan missed Three Point Jumper.,10,21
11:42,2169,DeVaughn Mallory Offensive Rebound.,10,21
11:41,2294,Foul on Nicholas Baer.,10,21
11:41,2169,DeVaughn Mallory missed Jumper.,10,21
11:41,2294,Nicholas Baer Defensive Rebound.,10,21
11:32,2169,Foul on DeVaughn Mallory.,10,21
11:32,2294,Christian Williams missed Free Throw.,10,21
11:32,2294,Iowa Deadball Team Rebound.,10,21
11:32,2294,Christian Williams made Free Throw.,10,22
11:20,2169,Kobe Gantz Turnover.,10,22
11:12,2294,Brady Ellingson made Three Point Jumper. Assisted by Christian Williams.,10,25
10:47,2169,Onifade Demola missed Jumper.,10,25
10:47,2294,Nicholas Baer Defensive Rebound.,10,25
10:41,2294,Isaiah Moss Turnover.,10,25
10:41,2294,Foul on Isaiah Moss.,10,25
10:20,2169,Joseph Lewis missed Three Point Jumper.,10,25
10:20,2294,Iowa Defensive Rebound.,10,25
10:01,2294,Brady Ellingson Turnover.,10,25
9:50,2169,Kobe Gantz Turnover.,10,25
9:49,2294,Christian Williams Steal.,10,25
9:46,2294,Christian Williams made Dunk.,10,27
9:25,2169,Kobe Gantz missed Three Point Jumper.,10,27
9:25,2169,Joseph Lewis Offensive Rebound.,10,27
9:21,2294,Foul on Nicholas Baer.,10,27
9:21,2169,Joseph Lewis missed Free Throw.,10,27
9:21,2169,Delaware St Deadball Team Rebound.,10,27
9:21,2169,Joseph Lewis made Free Throw.,11,27
9:06,2294,Christian Williams missed Three Point Jumper.,11,27
9:06,2169,Delaware St Defensive Rebound.,11,27
8:48,2169,Joseph Lewis Turnover.,11,27
8:47,2294,Cordell Pemsl Steal.,11,27
8:41,2169,Foul on Kobe Gantz.,11,27
8:34,2294,Peter Jok missed Three Point Jumper.,11,27
8:34,2294,Maishe Dailey Offensive Rebound.,11,27
8:25,2294,Peter Jok missed Jumper.,11,27
8:25,2294,Cordell Pemsl Offensive Rebound.,11,27
8:24,2169,Foul on DeVaughn Mallory.,11,27
8:24,2294,Cordell Pemsl made Free Throw.,11,28
8:24,2294,Cordell Pemsl missed Free Throw.,11,28
8:24,2169,Mrdjan Gasevic Defensive Rebound.,11,28
8:04,2169,Kobe Gantz Turnover.,11,28
8:02,2294,Peter Jok Steal.,11,28
8:00,2294,Maishe Dailey made Dunk. Assisted by Peter Jok.,11,30
7:31,2169,Mrdjan Gasevic missed Jumper.,11,30
7:31,2294,Cordell Pemsl Defensive Rebound.,11,30
7:26,2294,Maishe Dailey made Three Point Jumper. Assisted by Christian Williams.,11,33
7:03,2169,Dana Raysor missed Three Point Jumper.,11,33
7:03,2294,Maishe Dailey Defensive Rebound.,11,33
6:59,2169,Foul on Devin Morgan.,11,33
6:59,2294,Official TV Timeout,11,33
6:59,2294,Peter Jok made Free Throw.,11,34
6:59,2294,Peter Jok made Free Throw.,11,35
6:37,2169,Devin Morgan missed Three Point Jumper.,11,35
6:37,2169,Mrdjan Gasevic Offensive Rebound.,11,35
6:33,2169,Mrdjan Gasevic missed Jumper.,11,35
6:33,2294,Ahmad Wagner Block.,11,35
6:32,2294,Maishe Dailey Defensive Rebound.,11,35
6:13,2294,Ahmad Wagner made Layup. Assisted by Cordell Pemsl.,11,37
5:45,2169,Kobe Gantz Turnover.,11,37
5:45,2294,Ahmad Wagner Steal.,11,37
5:35,2169,Foul on Mrdjan Gasevic.,11,37
5:35,2294,Cordell Pemsl made Free Throw.,11,38
5:35,2294,Cordell Pemsl made Free Throw.,11,39
5:19,2169,Dana Raysor missed Three Point Jumper.,11,39
5:19,2294,Ryan Kriener Defensive Rebound.,11,39
5:10,2294,Maishe Dailey missed Three Point Jumper.,11,39
5:10,2169,Joseph Lewis Defensive Rebound.,11,39
4:53,2169,DeAndre Haywood missed Jumper.,11,39
4:53,2294,Ahmad Wagner Defensive Rebound.,11,39
4:46,2294,Maishe Dailey missed Three Point Jumper.,11,39
4:46,2169,Joseph Lewis Defensive Rebound.,11,39
4:36,2294,Foul on Christian Williams.,11,39
4:36,2169,Devin Morgan made Free Throw.,12,39
4:36,2169,Devin Morgan made Free Throw.,13,39
4:24,2294,Christian Williams Turnover.,13,39
4:05,2169,Devin Morgan missed Three Point Jumper.,13,39
4:05,2169,Mrdjan Gasevic Offensive Rebound.,13,39
4:04,2294,Foul on Ryan Kriener.,13,39
4:04,2169,Mrdjan Gasevic made Free Throw.,14,39
4:04,2169,Mrdjan Gasevic made Free Throw.,15,39
3:46,2294,Jordan Bohannon Turnover.,15,39
3:46,2294,Official TV Timeout,15,39
3:32,2169,Joseph Lewis missed Jumper.,15,39
3:32,2294,Ryan Kriener Defensive Rebound.,15,39
3:24,2294,Cordell Pemsl made Layup. Assisted by Maishe Dailey.,15,41
3:00,2294,Foul on Ryan Kriener.,15,41
3:00,2169,Dana Raysor made Free Throw.,16,41
3:00,2169,Dana Raysor made Free Throw.,17,41
2:45,2294,Jordan Bohannon missed Three Point Jumper.,17,41
2:45,2294,Ryan Kriener Offensive Rebound.,17,41
2:41,2294,Ryan Kriener made Jumper.,17,43
2:41,2169,Foul on Joseph Lewis.,17,43
2:41,2294,Ryan Kriener missed Free Throw.,17,43
2:41,2169,Joseph Lewis Defensive Rebound.,17,43
2:25,2169,DeAndre Haywood missed Jumper.,17,43
2:25,2294,Maishe Dailey Defensive Rebound.,17,43
2:18,2294,Cordell Pemsl Turnover.,17,43
1:50,2169,Joseph Lewis missed Jumper.,17,43
1:50,2294,Maishe Dailey Defensive Rebound.,17,43
1:48,2294,Christian Williams Turnover.,17,43
1:27,2169,Devin Morgan missed Jumper.,17,43
1:27,2294,Jordan Bohannon Defensive Rebound.,17,43
1:19,2294,Jordan Bohannon missed Jumper.,17,43
1:19,2169,DeAndre Haywood Defensive Rebound.,17,43
1:00,2169,Devin Morgan made Three Point Jumper. Assisted by Dana Raysor.,20,43
0:49,2294,Maishe Dailey missed Three Point Jumper.,20,43
0:49,2169,Mrdjan Gasevic Defensive Rebound.,20,43
0:29,2169,Dana Raysor Turnover.,20,43
0:02,2294,Brady Ellingson missed Jumper.,20,43
0:02,2169,Mrdjan Gasevic Defensive Rebound.,20,43
0:00,2294,End of 1st half,20,43
19:46,2169,Joseph Lewis Turnover.,20,43
19:46,2294,Peter Jok Steal.,20,43
19:42,2294,Peter Jok made Layup.,20,45
19:21,2169,Devin Morgan made Three Point Jumper. Assisted by Kavon Waller.,23,45
19:14,2294,Ahmad Wagner made Dunk. Assisted by Jordan Bohannon.,23,47
18:50,2169,Joseph Lewis Turnover.,23,47
18:41,2294,Isaiah Moss made Jumper. Assisted by Ahmad Wagner.,23,49
18:16,2169,DeAndre Haywood missed Three Point Jumper.,23,49
18:16,2294,Peter Jok Defensive Rebound.,23,49
18:06,2294,Peter Jok made Three Point Jumper. Assisted by Ahmad Wagner.,23,52
17:41,2169,Devin Morgan made Jumper.,25,52
17:25,2294,Peter Jok missed Three Point Jumper.,25,52
17:25,2169,DeAndre Haywood Defensive Rebound.,25,52
17:17,2169,Devin Morgan missed Three Point Jumper.,25,52
17:17,2294,Ahmad Wagner Defensive Rebound.,25,52
17:08,2294,Ahmad Wagner Turnover.,25,52
16:52,2294,Foul on Cordell Pemsl.,25,52
16:49,2169,DeVaughn Mallory Turnover.,25,52
16:48,2294,Jordan Bohannon Steal.,25,52
16:43,2294,Cordell Pemsl made Layup. Assisted by Jordan Bohannon.,25,54
16:43,2169,Foul on Devin Morgan.,25,54
16:43,2294,Cordell Pemsl made Free Throw.,25,55
16:25,2169,DeAndre Haywood missed Layup.,25,55
16:25,2294,Cordell Pemsl Block.,25,55
16:23,2169,Delaware St Offensive Rebound.,25,55
16:22,2169,DeAndre Haywood made Jumper. Assisted by Kavon Waller.,27,55
16:16,2294,Jordan Bohannon Turnover.,27,55
16:16,2169,Mrdjan Gasevic Steal.,27,55
16:09,2169,DeVaughn Mallory Turnover.,27,55
15:58,2169,Foul on DeVaughn Mallory.,27,55
15:58,2294,Official TV Timeout,27,55
15:58,2294,Peter Jok made Free Throw.,27,56
15:58,2294,Peter Jok made Free Throw.,27,57
15:37,2169,Mrdjan Gasevic missed Jumper.,27,57
15:37,2169,DeVaughn Mallory Offensive Rebound.,27,57
15:34,2169,DeVaughn Mallory missed Two Point Tip Shot.,27,57
15:34,2169,Mrdjan Gasevic Offensive Rebound.,27,57
15:31,2169,Mrdjan Gasevic missed Jumper.,27,57
15:31,2294,Nicholas Baer Defensive Rebound.,27,57
15:23,2294,Cordell Pemsl missed Layup.,27,57
15:23,2169,DeAndre Haywood Defensive Rebound.,27,57
15:13,2169,DeVaughn Mallory made Layup. Assisted by DeAndre Haywood.,29,57
15:05,2294,Cordell Pemsl Turnover.,29,57
15:04,2169,DeAndre Haywood Steal.,29,57
15:04,2294,Foul on Cordell Pemsl.,29,57
15:04,2169,DeAndre Haywood made Free Throw.,30,57
15:04,2169,DeAndre Haywood made Free Throw.,31,57
14:35,2294,Nicholas Baer missed Jumper.,31,57
14:35,2169,Mrdjan Gasevic Defensive Rebound.,31,57
14:35,2294,Foul on Ahmad Wagner.,31,57
14:30,2169,Devin Morgan made Jumper.,33,57
14:09,2294,Isaiah Moss missed Three Point Jumper.,33,57
14:09,2169,Mrdjan Gasevic Defensive Rebound.,33,57
13:49,2169,Mrdjan Gasevic missed Jumper.,33,57
13:49,2294,Isaiah Moss Defensive Rebound.,33,57
13:46,2294,Isaiah Moss Turnover.,33,57
13:45,2169,DeVaughn Mallory Steal.,33,57
13:42,2169,Devin Morgan missed Jumper.,33,57
13:42,2169,DeVaughn Mallory Offensive Rebound.,33,57
13:38,2169,DeVaughn Mallory missed Jumper.,33,57
13:38,2169,Mrdjan Gasevic Offensive Rebound.,33,57
13:38,2294,Foul on Ahmad Wagner.,33,57
13:38,2169,Mrdjan Gasevic missed Free Throw.,33,57
13:38,2169,Delaware St Deadball Team Rebound.,33,57
13:38,2169,Mrdjan Gasevic made Free Throw.,34,57
13:23,2169,Foul on Mrdjan Gasevic.,34,57
13:19,2169,Foul on Mrdjan Gasevic.,34,57
13:19,2294,Isaiah Moss missed Free Throw.,34,57
13:19,2294,Iowa Deadball Team Rebound.,34,57
13:19,2294,Isaiah Moss made Free Throw.,34,58
12:57,2169,Kavon Waller missed Jumper.,34,58
12:57,2294,Nicholas Baer Block.,34,58
12:56,2169,Kavon Waller Offensive Rebound.,34,58
12:56,2294,Foul on Nicholas Baer.,34,58
12:56,2169,Kavon Waller made Free Throw.,35,58
12:56,2169,Kavon Waller made Free Throw.,36,58
12:35,2294,Jordan Bohannon made Layup.,36,60
12:17,2169,DeAndre Haywood made Layup.,38,60
12:10,2169,Foul on DeVaughn Mallory.,38,60
12:10,2294,Isaiah Moss made Free Throw.,38,61
12:10,2294,Isaiah Moss made Free Throw.,38,62
12:04,2294,Foul on Brady Ellingson.,38,62
11:54,2169,Kavon Waller made Three Point Jumper. Assisted by Kobe Gantz.,41,62
11:44,2169,Foul on Kobe Gantz.,41,62
11:44,2294,Official TV Timeout,41,62
11:38,2169,Foul on Onifade Demola.,41,62
11:38,2294,Ahmad Wagner missed Free Throw.,41,62
11:38,2294,Iowa Deadball Team Rebound.,41,62
11:38,2294,Ahmad Wagner made Free Throw.,41,63
11:24,2169,Onifade Demola Turnover.,41,63
11:22,2294,Ahmad Wagner Steal.,41,63
11:14,2169,Foul on DeVaughn Mallory.,41,63
11:14,2294,Dom Uhl made Free Throw.,41,64
11:14,2294,Dom Uhl made Free Throw.,41,65
10:51,2169,Mrdjan Gasevic missed Layup.,41,65
10:51,2294,Iowa Defensive Rebound.,41,65
10:33,2294,Isaiah Moss missed Three Point Jumper.,41,65
10:33,2169,Mrdjan Gasevic Defensive Rebound.,41,65
10:18,2169,Mrdjan Gasevic Turnover.,41,65
10:08,2294,Christian Williams made Layup.,41,67
9:51,2294,Foul on Isaiah Moss.,41,67
9:51,2169,DeAndre Haywood missed Free Throw.,41,67
9:51,2169,Delaware St Deadball Team Rebound.,41,67
9:51,2169,DeAndre Haywood made Free Throw.,42,67
9:43,2294,Ahmad Wagner made Layup.,42,69
9:33,2169,DeAndre Haywood missed Jumper.,42,69
9:33,2294,Maishe Dailey Defensive Rebound.,42,69
9:28,2294,Maishe Dailey Turnover.,42,69
9:20,2294,Foul on Dom Uhl.,42,69
9:20,2169,Devin Morgan made Free Throw.,43,69
9:20,2169,Devin Morgan made Free Throw.,44,69
9:20,2294,Iowa  Timeout,44,69
9:07,2294,Maishe Dailey made Three Point Jumper. Assisted by Dom Uhl.,44,72
8:51,2169,Kavon Waller made Layup.,46,72
8:43,2169,Foul on DeAndre Haywood.,46,72
8:43,2294,Brady Ellingson made Free Throw.,46,73
8:43,2294,Brady Ellingson made Free Throw.,46,74
8:30,2169,Kavon Waller Turnover.,46,74
8:29,2294,Christian Williams Steal.,46,74
8:27,2294,Christian Williams made Layup.,46,76
8:13,2169,Devin Morgan missed Jumper.,46,76
8:13,2294,Ahmad Wagner Block.,46,76
8:12,2169,DeAndre Haywood Offensive Rebound.,46,76
7:54,2169,DeAndre Haywood missed Three Point Jumper.,46,76
7:54,2294,Dom Uhl Defensive Rebound.,46,76
7:28,2294,Ahmad Wagner made Jumper.,46,78
6:59,2169,Onifade Demola missed Jumper.,46,78
6:59,2169,Onifade Demola Offensive Rebound.,46,78
6:59,2294,Foul on Dom Uhl.,46,78
6:59,2169,Onifade Demola missed Free Throw.,46,78
6:59,2169,Delaware St Deadball Team Rebound.,46,78
6:59,2169,Onifade Demola missed Free Throw.,46,78
6:59,2294,Ryan Kriener Defensive Rebound.,46,78
6:39,2169,Foul on Kobe Gantz.,46,78
6:39,2294,Ryan Kriener missed Free Throw.,46,78
6:39,2294,Iowa Deadball Team Rebound.,46,78
6:39,2294,Ryan Kriener made Free Throw.,46,79
6:15,2169,Onifade Demola missed Dunk.,46,79
6:15,2294,Ryan Kriener Defensive Rebound.,46,79
6:10,2294,Maishe Dailey missed Three Point Jumper.,46,79
6:10,2169,Kavon Waller Defensive Rebound.,46,79
6:04,2294,Foul on Brady Ellingson.,46,79
6:04,2169,Devin Morgan made Free Throw.,47,79
6:04,2169,Devin Morgan made Free Throw.,48,79
5:52,2294,Dom Uhl made Layup.,48,81
5:25,2169,Artem Tavakalyan made Dunk. Assisted by Devin Morgan.,50,81
5:04,2169,Foul on Onifade Demola.,50,81
5:04,2294,Dom Uhl made Free Throw.,50,82
5:04,2294,Dom Uhl missed Free Throw.,50,82
5:04,2169,Artem Tavakalyan Defensive Rebound.,50,82
4:40,2169,Onifade Demola missed Jumper.,50,82
4:40,2169,Kavon Waller Offensive Rebound.,50,82
4:29,2294,Foul on Ryan Kriener.,50,82
4:29,2169,Artem Tavakalyan missed Free Throw.,50,82
4:29,2169,Delaware St Deadball Team Rebound.,50,82
4:29,2169,Artem Tavakalyan made Free Throw.,51,82
4:15,2294,Dom Uhl missed Jumper.,51,82
4:15,2169,Kavon Waller Defensive Rebound.,51,82
4:08,2169,Kavon Waller missed Three Point Jumper.,51,82
4:08,2294,Ryan Kriener Defensive Rebound.,51,82
3:53,2294,Christian Williams missed Jumper.,51,82
3:53,2169,Delaware St Defensive Rebound.,51,82
3:52,2294,Official TV Timeout,51,82
3:38,2169,Devin Morgan made Three Point Jumper. Assisted by Kobe Gantz.,54,82
3:06,2169,Foul on Onifade Demola.,54,82
3:06,2294,Dom Uhl missed Free Throw.,54,82
3:06,2294,Iowa Deadball Team Rebound.,54,82
3:06,2294,Dom Uhl missed Free Throw.,54,82
3:06,2169,Artem Tavakalyan Defensive Rebound.,54,82
2:42,2169,Artem Tavakalyan missed Three Point Jumper.,54,82
2:42,2294,Dom Uhl Defensive Rebound.,54,82
2:35,2294,Dom Uhl Turnover.,54,82
2:34,2169,Devin Morgan Steal.,54,82
2:27,2169,Kobe Gantz missed Three Point Jumper.,54,82
2:27,2294,Maishe Dailey Defensive Rebound.,54,82
2:12,2294,Brady Ellingson made Three Point Jumper. Assisted by Maishe Dailey.,54,85
1:50,2169,Dana Raysor Turnover.,54,85
1:49,2294,Christian Williams Steal.,54,85
1:46,2294,Christian Williams made Layup.,54,87
1:29,2169,Devin Morgan missed Three Point Jumper.,54,87
1:29,2294,Dom Uhl Defensive Rebound.,54,87
1:17,2294,Maishe Dailey missed Three Point Jumper.,54,87
1:17,2169,Kavon Waller Defensive Rebound.,54,87
1:10,2169,Kavon Waller Turnover.,54,87
0:59,2294,Ryan Kriener Turnover.,54,87
0:44,2169,Kobe Gantz missed Three Point Jumper.,54,87
0:44,2294,Dom Uhl Defensive Rebound.,54,87
0:20,2294,Ryan Kriener made Jumper. Assisted by Charlie Rose.,54,89
0:05,2169,Devin Morgan made Three Point Jumper.,57,89
0:00,2294,End of Game,57,89
