William &amp; Mary,227,Rhode Island,2729
13:21,2729,Oliver Tot Block.,12,12
13:19,2729,Omar Prewitt Defensive Rebound.,12,12
13:14,227,Foul on Jared Terrell.,12,12
13:09,2729,Daniel Dixon made Three Point Jumper. Assisted by Oliver Tot.,15,12
13:00,2729,Foul on Justin Pierce.,15,12
12:49,227,Andre Berry made Layup. Assisted by Stanford Robinson.,15,14
12:39,2729,Oliver Tot Turnover.,15,14
12:39,227,Jarvis Garrett Steal.,15,14
12:35,227,Jeff Dowtin missed Jumper.,15,14
12:35,2729,Nathan Knight Defensive Rebound.,15,14
12:21,2729,Daniel Dixon missed Layup.,15,14
12:21,227,Jeff Dowtin Defensive Rebound.,15,14
12:13,227,Jarvis Garrett missed Three Point Jumper.,15,14
12:13,2729,William & Mary Defensive Rebound.,15,14
11:57,227,Foul on Andre Berry.,15,14
11:57,2729,William & Mary  Timeout,15,14
11:54,2729,Foul on Nathan Knight.,15,14
11:54,2729,Nathan Knight Turnover.,15,14
11:37,227,Nicola Akele made Jumper. Assisted by Stanford Robinson.,15,16
11:19,2729,Nathan Knight made Layup. Assisted by Greg Malinowski.,17,16
11:01,227,Stanford Robinson made Jumper.,17,18
10:43,2729,Nathan Knight made Jumper.,19,18
10:30,227,Andre Berry missed Jumper.,19,18
10:30,2729,David Cohn Defensive Rebound.,19,18
10:20,2729,Nathan Knight missed Three Point Jumper.,19,18
10:20,2729,Omar Prewitt Offensive Rebound.,19,18
10:14,2729,Omar Prewitt missed Jumper.,19,18
10:14,227,Stanford Robinson Defensive Rebound.,19,18
10:05,227,Andre Berry made Layup. Assisted by Jarvis Garrett.,19,20
9:37,2729,David Cohn missed Three Point Jumper.,19,20
9:37,2729,Connor Burchfield Offensive Rebound.,19,20
9:26,2729,Omar Prewitt made Three Point Jumper. Assisted by David Cohn.,22,20
9:04,227,Stanford Robinson missed Layup.,22,20
9:04,2729,Omar Prewitt Block.,22,20
8:59,2729,Nathan Knight Defensive Rebound.,22,20
8:54,2729,Omar Prewitt missed Layup.,22,20
8:54,227,Andre Berry Defensive Rebound.,22,20
8:44,227,Jeff Dowtin made Jumper.,22,22
8:22,2729,Foul on Nathan Knight.,22,22
8:22,2729,Nathan Knight Turnover.,22,22
8:17,227,E.C. Matthews missed Three Point Jumper.,22,22
8:17,2729,David Cohn Defensive Rebound.,22,22
7:46,2729,Jack Whitman missed Layup.,22,22
7:46,227,Kuran Iverson Block.,22,22
7:44,227,Nicola Akele Defensive Rebound.,22,22
7:39,227,E.C. Matthews made Layup. Assisted by Kuran Iverson.,22,24
7:23,2729,William & Mary  Timeout,22,24
7:05,2729,Daniel Dixon Turnover.,22,24
6:46,227,Jared Terrell missed Three Point Jumper.,22,24
6:46,2729,Omar Prewitt Defensive Rebound.,22,24
6:43,227,Foul on Kuran Iverson.,22,24
6:31,2729,Omar Prewitt missed Layup.,22,24
6:31,227,Cyril Langevine Defensive Rebound.,22,24
6:14,227,E.C. Matthews missed Jumper.,22,24
6:14,227,Cyril Langevine Offensive Rebound.,22,24
6:11,227,Cyril Langevine missed Layup.,22,24
6:11,2729,Jack Whitman Block.,22,24
6:09,227,E.C. Matthews Offensive Rebound.,22,24
6:08,2729,Foul on Jack Whitman.,22,24
6:08,227,E.C. Matthews made Free Throw.,22,25
6:08,227,E.C. Matthews made Free Throw.,22,26
5:47,2729,Omar Prewitt made Jumper.,24,26
5:47,227,Foul on Jared Terrell.,24,26
5:47,2729,Omar Prewitt missed Free Throw.,24,26
5:47,227,E.C. Matthews Defensive Rebound.,24,26
5:29,227,Cyril Langevine missed Layup.,24,26
5:29,227,E.C. Matthews Offensive Rebound.,24,26
5:27,227,E.C. Matthews made Layup.,24,28
4:57,2729,David Cohn missed Layup.,24,28
4:57,227,Cyril Langevine Block.,24,28
4:55,227,E.C. Matthews Defensive Rebound.,24,28
4:51,227,Stanford Robinson made Jumper. Assisted by E.C. Matthews.,24,30
4:36,2729,Daniel Dixon missed Three Point Jumper.,24,30
4:36,227,Cyril Langevine Defensive Rebound.,24,30
4:25,227,Stanford Robinson made Three Point Jumper. Assisted by Nicola Akele.,24,33
4:18,2729,William & Mary  Timeout,24,33
4:06,2729,David Cohn Turnover.,24,33
4:05,227,Nicola Akele Steal.,24,33
4:03,227,E.C. Matthews missed Layup.,24,33
4:03,227,Jarvis Garrett Offensive Rebound.,24,33
3:45,227,Jarvis Garrett made Jumper.,24,35
3:17,2729,Daniel Dixon made Three Point Jumper. Assisted by Justin Pierce.,27,35
2:45,227,Stanford Robinson made Jumper. Assisted by Jarvis Garrett.,27,37
2:13,2729,Omar Prewitt Turnover.,27,37
2:11,227,Jarvis Garrett Steal.,27,37
2:09,227,Jarvis Garrett made Layup.,27,39
2:08,2729,Foul on Omar Prewitt.,27,39
2:08,227,E.C. Matthews made Free Throw.,27,40
2:08,227,E.C. Matthews made Free Throw.,27,41
2:08,2729,Technical Foul on Omar Prewitt.,27,41
1:52,2729,Daniel Dixon Turnover.,27,41
1:37,227,Nicola Akele missed Jumper.,27,41
1:37,2729,William & Mary Defensive Rebound.,27,41
1:14,227,Foul on Cyril Langevine.,27,41
1:14,2729,Nathan Knight missed Free Throw.,27,41
1:14,2729,William & Mary Deadball Team Rebound.,27,41
1:14,2729,Nathan Knight made Free Throw.,28,41
0:49,227,Jeff Dowtin made Jumper. Assisted by Stanford Robinson.,28,43
0:38,2729,Nathan Knight Turnover.,28,43
0:38,2729,Foul on Nathan Knight.,28,43
0:38,227,Rhode Island  Timeout,28,43
0:11,227,Jarvis Garrett missed Layup.,28,43
0:11,2729,Jack Whitman Block.,28,43
0:09,2729,Greg Malinowski Defensive Rebound.,28,43
0:06,2729,David Cohn made Layup.,30,43
0:00,227,End of 1st half,30,43
19:33,2729,David Cohn missed Jumper.,30,43
19:33,227,Jared Terrell Defensive Rebound.,30,43
19:26,227,Jared Terrell missed Jumper.,30,43
19:26,227,Cyril Langevine Offensive Rebound.,30,43
19:21,227,Cyril Langevine missed Layup.,30,43
19:21,2729,Greg Malinowski Defensive Rebound.,30,43
19:00,2729,Greg Malinowski made Layup. Assisted by Omar Prewitt.,32,43
18:30,227,Jarvis Garrett missed Three Point Jumper.,32,43
18:30,2729,David Cohn Defensive Rebound.,32,43
18:16,2729,Connor Burchfield missed Three Point Jumper.,32,43
18:16,2729,Greg Malinowski Offensive Rebound.,32,43
18:02,2729,Greg Malinowski missed Jumper.,32,43
18:02,227,Cyril Langevine Defensive Rebound.,32,43
17:54,227,Cyril Langevine missed Layup.,32,43
17:54,2729,Jack Whitman Block.,32,43
17:52,2729,David Cohn Defensive Rebound.,32,43
17:44,227,Foul on Nicola Akele.,32,43
17:38,2729,Omar Prewitt Turnover.,32,43
17:37,227,Jarvis Garrett Steal.,32,43
17:36,2729,Foul on David Cohn.,32,43
17:09,227,Jared Terrell made Layup.,32,45
16:45,2729,Jack Whitman missed Layup.,32,45
16:45,227,Cyril Langevine Defensive Rebound.,32,45
16:35,227,Jared Terrell made Layup.,32,47
16:12,2729,David Cohn missed Three Point Jumper.,32,47
16:12,2729,Jack Whitman Offensive Rebound.,32,47
16:08,227,Foul on Nicola Akele.,32,47
16:08,2729,Jack Whitman made Free Throw.,33,47
16:08,2729,Jack Whitman missed Free Throw.,33,47
16:08,227,Cyril Langevine Defensive Rebound.,33,47
15:51,227,Jarvis Garrett missed Jumper.,33,47
15:51,2729,Jack Whitman Defensive Rebound.,33,47
15:26,2729,Paul Rowley missed Layup.,33,47
15:26,2729,Jack Whitman Offensive Rebound.,33,47
15:26,227,Foul on Kuran Iverson.,33,47
15:26,2729,William & Mary  Timeout,33,47
15:26,2729,Jack Whitman made Free Throw.,34,47
15:26,2729,Jack Whitman made Free Throw.,35,47
15:07,227,E.C. Matthews made Three Point Jumper. Assisted by Jarvis Garrett.,35,50
14:55,2729,Nathan Knight Turnover.,35,50
14:43,227,E.C. Matthews made Layup.,35,52
14:43,2729,Foul on Paul Rowley.,35,52
14:43,227,E.C. Matthews made Free Throw.,35,53
14:20,2729,Greg Malinowski made Three Point Jumper. Assisted by David Cohn.,38,53
14:07,227,Stanford Robinson missed Jumper.,38,53
14:07,227,Stanford Robinson Offensive Rebound.,38,53
13:55,227,E.C. Matthews missed Three Point Jumper.,38,53
13:55,2729,William & Mary Defensive Rebound.,38,53
13:24,2729,Daniel Dixon missed Three Point Jumper.,38,53
13:24,2729,Nathan Knight Offensive Rebound.,38,53
13:20,2729,Nathan Knight made Layup.,40,53
13:02,227,Jared Terrell missed Three Point Jumper.,40,53
13:02,227,Kuran Iverson Offensive Rebound.,40,53
12:58,2729,Foul on Daniel Dixon.,40,53
12:58,227,Kuran Iverson missed Free Throw.,40,53
12:58,227,Rhode Island Deadball Team Rebound.,40,53
12:58,227,Kuran Iverson missed Free Throw.,40,53
12:58,2729,Greg Malinowski Defensive Rebound.,40,53
12:41,2729,Greg Malinowski missed Three Point Jumper.,40,53
12:41,2729,Daniel Dixon Offensive Rebound.,40,53
12:37,2729,Daniel Dixon made Layup.,42,53
12:18,227,Jared Terrell missed Layup.,42,53
12:18,2729,Nathan Knight Block.,42,53
12:16,2729,Nathan Knight Defensive Rebound.,42,53
12:13,2729,Daniel Dixon made Three Point Jumper. Assisted by David Cohn.,45,53
12:04,227,Rhode Island  Timeout,45,53
11:44,227,E.C. Matthews missed Three Point Jumper.,45,53
11:44,2729,Daniel Dixon Defensive Rebound.,45,53
11:30,2729,Daniel Dixon made Three Point Jumper. Assisted by David Cohn.,48,53
11:14,227,Jeff Dowtin made Jumper.,48,55
10:45,2729,Greg Malinowski Turnover.,48,55
10:44,227,Jared Terrell Steal.,48,55
10:42,227,E.C. Matthews Turnover.,48,55
10:42,227,Foul on E.C. Matthews.,48,55
10:42,2729,William & Mary  Timeout,48,55
10:32,2729,Daniel Dixon missed Three Point Jumper.,48,55
10:32,227,Cyril Langevine Defensive Rebound.,48,55
10:14,227,Stanford Robinson missed Layup.,48,55
10:14,2729,Omar Prewitt Defensive Rebound.,48,55
9:55,2729,Jack Whitman made Layup.,50,55
9:35,2729,Foul on Omar Prewitt.,50,55
9:25,227,Jeff Dowtin made Three Point Jumper. Assisted by Jared Terrell.,50,58
9:07,227,Foul on Jeff Dowtin.,50,58
9:02,2729,David Cohn made Jumper.,52,58
8:38,227,Jared Terrell missed Three Point Jumper.,52,58
8:38,227,Cyril Langevine Offensive Rebound.,52,58
8:33,227,Cyril Langevine missed Layup.,52,58
8:33,2729,Greg Malinowski Defensive Rebound.,52,58
8:16,2729,Greg Malinowski made Layup. Assisted by David Cohn.,54,58
8:01,227,Jarvis Garrett missed Three Point Jumper.,54,58
8:01,2729,Jack Whitman Defensive Rebound.,54,58
7:52,2729,Daniel Dixon Turnover.,54,58
7:51,227,Stanford Robinson Steal.,54,58
7:47,227,Jared Terrell made Layup. Assisted by Jarvis Garrett.,54,60
7:43,2729,William & Mary  Timeout,54,60
7:43,227,Rhode Island  Timeout,54,60
7:28,227,Foul on Cyril Langevine.,54,60
7:28,227,Foul on Jeff Dowtin.,54,60
7:28,2729,David Cohn made Free Throw.,55,60
7:28,2729,David Cohn made Free Throw.,56,60
7:10,227,Nicola Akele missed Three Point Jumper.,56,60
7:10,227,Jared Terrell Offensive Rebound.,56,60
6:43,227,Jeff Dowtin missed Jumper.,56,60
6:43,2729,Daniel Dixon Defensive Rebound.,56,60
6:31,2729,Jack Whitman missed Jumper.,56,60
6:31,227,Cyril Langevine Defensive Rebound.,56,60
6:14,227,Cyril Langevine missed Layup.,56,60
6:14,227,Cyril Langevine Offensive Rebound.,56,60
6:10,227,Rhode Island  Turnover.,56,60
5:55,2729,Omar Prewitt missed Layup.,56,60
5:55,227,Cyril Langevine Defensive Rebound.,56,60
5:49,227,E.C. Matthews Turnover.,56,60
5:48,2729,Greg Malinowski Steal.,56,60
5:34,227,Foul on E.C. Matthews.,56,60
5:34,2729,Omar Prewitt made Free Throw.,57,60
5:33,2729,Omar Prewitt missed Free Throw.,57,60
5:33,227,E.C. Matthews Defensive Rebound.,57,60
5:17,227,Jarvis Garrett missed Jumper.,57,60
5:17,2729,Nathan Knight Defensive Rebound.,57,60
5:10,2729,Daniel Dixon missed Three Point Jumper.,57,60
5:10,227,Cyril Langevine Defensive Rebound.,57,60
5:02,227,E.C. Matthews missed Three Point Jumper.,57,60
5:02,2729,David Cohn Defensive Rebound.,57,60
4:41,227,Foul on Stanford Robinson.,57,60
4:41,2729,Omar Prewitt missed Free Throw.,57,60
4:41,227,E.C. Matthews Defensive Rebound.,57,60
4:16,2729,Foul on Greg Malinowski.,57,60
4:16,227,Jared Terrell made Free Throw.,57,61
4:16,227,Jared Terrell made Free Throw.,57,62
4:03,2729,Greg Malinowski missed Layup.,57,62
4:03,227,Stanford Robinson Defensive Rebound.,57,62
3:44,227,E.C. Matthews made Three Point Jumper. Assisted by Jarvis Garrett.,57,65
3:29,2729,William & Mary  Timeout,57,65
3:18,2729,Omar Prewitt missed Layup.,57,65
3:18,227,E.C. Matthews Defensive Rebound.,57,65
2:54,227,Jared Terrell missed Three Point Jumper.,57,65
2:54,227,Cyril Langevine Offensive Rebound.,57,65
2:25,227,Jarvis Garrett missed Jumper.,57,65
2:25,227,Cyril Langevine Offensive Rebound.,57,65
2:23,227,Cyril Langevine Turnover.,57,65
2:08,2729,Jack Whitman missed Layup.,57,65
2:08,227,Jarvis Garrett Defensive Rebound.,57,65
1:43,227,E.C. Matthews missed Three Point Jumper.,57,65
1:43,227,Stanford Robinson Offensive Rebound.,57,65
1:39,2729,Foul on Omar Prewitt.,57,65
1:17,227,Stanford Robinson missed Three Point Jumper.,57,65
1:17,2729,David Cohn Defensive Rebound.,57,65
1:12,2729,David Cohn Turnover.,57,65
1:11,227,Stanford Robinson Steal.,57,65
1:11,227,Jared Terrell made Layup. Assisted by Stanford Robinson.,57,67
1:11,2729,Foul on Omar Prewitt.,57,67
1:10,227,Jared Terrell made Free Throw.,57,68
1:01,227,Foul on Jarvis Garrett.,57,68
1:01,2729,David Cohn made Free Throw.,58,68
1:01,2729,David Cohn made Free Throw.,59,68
0:56,2729,Foul on Daniel Dixon.,59,68
0:56,227,Jarvis Garrett made Free Throw.,59,69
0:56,227,Jarvis Garrett made Free Throw.,59,70
0:51,227,Foul on Jared Terrell.,59,70
0:51,2729,Omar Prewitt missed Free Throw.,59,70
0:51,2729,William & Mary Deadball Team Rebound.,59,70
0:51,2729,Omar Prewitt made Free Throw.,60,70
0:50,2729,Foul on Greg Malinowski.,60,70
0:50,227,Jarvis Garrett made Free Throw.,60,71
0:50,227,Jarvis Garrett made Free Throw.,60,72
0:41,2729,David Cohn made Layup.,62,72
0:41,2729,William & Mary  Timeout,62,72
0:33,2729,Foul on Justin Pierce.,62,72
0:33,227,E.C. Matthews missed Free Throw.,62,72
0:33,227,Rhode Island Deadball Team Rebound.,62,72
0:33,227,E.C. Matthews made Free Throw.,62,73
0:29,2729,Omar Prewitt missed Three Point Jumper.,62,73
0:29,227,Nicola Akele Defensive Rebound.,62,73
0:00,227,End of Game,62,73
