Presbyterian College,151,East Carolina,2506
6:14,2506,Jo'Vontae Millner made Jumper. Assisted by Jaron Withers.,18,24
5:48,151,Andre Washington Turnover.,18,24
5:40,151,Foul on Andre Washington.,18,24
5:40,2506,Jaron Withers made Free Throw.,19,24
5:40,2506,Jaron Withers missed Free Throw.,19,24
5:40,151,B.J. Tyson Defensive Rebound.,19,24
5:12,151,B.J. Tyson missed Jumper.,19,24
5:12,2506,Reggie Dillard Defensive Rebound.,19,24
5:03,2506,Jo'Vontae Millner made Three Point Jumper. Assisted by Reggie Dillard.,22,24
4:36,151,Jeremy Sheppard made Three Point Jumper. Assisted by Caleb White.,22,27
4:17,2506,Reggie Dillard made Jumper.,24,27
3:46,2506,Foul on Jaron Withers.,24,27
3:46,151,Official TV Timeout,24,27
3:46,151,Kentrell Barkley missed Free Throw.,24,27
3:46,2506,JC Younger Defensive Rebound.,24,27
3:30,151,Foul on Caleb White.,24,27
3:30,2506,Jo'Vontae Millner made Free Throw.,25,27
3:30,2506,Jo'Vontae Millner missed Free Throw.,25,27
3:30,151,Caleb White Defensive Rebound.,25,27
3:09,151,B.J. Tyson missed Jumper.,25,27
3:09,2506,Austin Venable Defensive Rebound.,25,27
3:00,2506,Reggie Dillard missed Three Point Jumper.,25,27
3:00,151,Caleb White Defensive Rebound.,25,27
2:45,151,B.J. Tyson missed Jumper.,25,27
2:45,2506,Jo'Vontae Millner Defensive Rebound.,25,27
2:35,2506,Jo'Vontae Millner Turnover.,25,27
2:34,151,B.J. Tyson Steal.,25,27
2:26,151,B.J. Tyson made Jumper. Assisted by Kentrell Barkley.,25,29
1:51,2506,Jaron Withers missed Three Point Jumper.,25,29
1:51,151,East Carolina Deadball Team Rebound.,25,29
1:27,151,Deng Riak missed Jumper.,25,29
1:27,2506,JC Younger Defensive Rebound.,25,29
1:19,151,Foul on Elijah Hughes.,25,29
1:19,2506,Reggie Dillard missed Free Throw.,25,29
1:19,2506,Ed Drew Offensive Rebound.,25,29
1:18,2506,Ed Drew missed Two Point Tip Shot.,25,29
1:18,151,Kentrell Barkley Defensive Rebound.,25,29
1:12,151,Elijah Hughes missed Three Point Jumper.,25,29
1:12,151,Jeremy Sheppard Offensive Rebound.,25,29
1:06,151,Elijah Hughes made Layup. Assisted by Jeremy Sheppard.,25,31
0:30,2506,Ed Drew missed Three Point Jumper.,25,31
0:30,151,Kentrell Barkley Defensive Rebound.,25,31
0:22,151,East Carolina  Timeout,25,31
0:02,2506,Foul on Jaron Withers.,25,31
0:02,151,Elijah Hughes made Free Throw.,25,32
0:02,151,Elijah Hughes made Free Throw.,25,33
0:02,2506,Presbyterian  Timeout,25,33
0:00,151,End of 1st half,25,33
19:51,151,Caleb White made Three Point Jumper. Assisted by B.J. Tyson.,25,36
19:26,2506,Reggie Dillard made Three Point Jumper. Assisted by Ruben Arroyo.,28,36
19:05,2506,Foul on Reggie Dillard.,28,36
19:05,151,Andre Washington made Free Throw.,28,37
19:05,151,Andre Washington made Free Throw.,28,38
18:53,2506,Jo'Vontae Millner made Three Point Jumper. Assisted by Reggie Dillard.,31,38
18:36,151,Kentrell Barkley missed Three Point Jumper.,31,38
18:36,2506,Jo'Vontae Millner Defensive Rebound.,31,38
18:28,2506,Jo'Vontae Millner Turnover.,31,38
18:27,151,Jeremy Sheppard Steal.,31,38
18:23,151,B.J. Tyson made Layup. Assisted by Jeremy Sheppard.,31,40
18:07,2506,Ed Drew missed Layup.,31,40
18:07,151,Kentrell Barkley Defensive Rebound.,31,40
18:02,151,B.J. Tyson made Layup. Assisted by Kentrell Barkley.,31,42
17:42,2506,Darius Moore missed Three Point Jumper.,31,42
17:42,151,East Carolina Defensive Rebound.,31,42
17:17,151,Caleb White missed Three Point Jumper.,31,42
17:17,2506,Reggie Dillard Defensive Rebound.,31,42
16:48,2506,Ed Drew missed Jumper.,31,42
16:48,151,Andre Washington Defensive Rebound.,31,42
16:39,2506,Foul on Reggie Dillard.,31,42
16:39,151,Jeremy Sheppard made Free Throw.,31,43
16:39,151,Jeremy Sheppard made Free Throw.,31,44
16:28,2506,Darius Moore Turnover.,31,44
16:18,2506,Foul on JC Younger.,31,44
16:07,151,B.J. Tyson made Dunk. Assisted by Jeremy Sheppard.,31,46
15:57,151,Foul on Jeremy Sheppard.,31,46
15:40,2506,Jo'Vontae Millner missed Three Point Jumper.,31,46
15:40,2506,Ed Drew Offensive Rebound.,31,46
15:37,2506,Ed Drew made Two Point Tip Shot.,33,46
15:24,151,Kentrell Barkley Turnover.,33,46
15:23,2506,Ed Drew Steal.,33,46
15:15,2506,Jo'Vontae Millner missed Layup.,33,46
15:15,151,Andre Washington Defensive Rebound.,33,46
15:07,151,Andre Washington Turnover.,33,46
15:06,2506,JC Younger Steal.,33,46
15:04,2506,Ed Drew missed Layup.,33,46
15:04,151,B.J. Tyson Block.,33,46
15:03,2506,Presbyterian Offensive Rebound.,33,46
15:03,2506,Jo'Vontae Millner missed Jumper.,33,46
15:03,151,Kentrell Barkley Defensive Rebound.,33,46
14:47,151,Caleb White missed Three Point Jumper.,33,46
14:47,2506,Presbyterian Defensive Rebound.,33,46
14:45,151,Foul on Deng Riak.,33,46
14:35,2506,Will Adams missed Three Point Jumper.,33,46
14:35,151,East Carolina Defensive Rebound.,33,46
14:12,2506,Foul on JC Younger.,33,46
14:10,151,Jeremy Sheppard missed Three Point Jumper.,33,46
14:10,151,B.J. Tyson Offensive Rebound.,33,46
13:54,151,Elijah Hughes missed Layup.,33,46
13:54,2506,Ed Drew Block.,33,46
13:52,151,East Carolina Offensive Rebound.,33,46
13:48,2506,Foul on Reggie Dillard.,33,46
13:48,151,Kentrell Barkley made Free Throw.,33,47
13:48,151,Kentrell Barkley made Free Throw.,33,48
13:34,2506,Jo'Vontae Millner made Layup. Assisted by JC Younger.,35,48
13:07,151,Jeremy Sheppard Turnover.,35,48
12:48,2506,Jo'Vontae Millner Turnover.,35,48
12:48,151,Elijah Hughes Steal.,35,48
12:45,151,B.J. Tyson made Dunk.,35,50
12:25,2506,JC Younger missed Three Point Jumper.,35,50
12:25,151,Kentrell Barkley Defensive Rebound.,35,50
12:06,151,Jeremy Sheppard made Layup.,35,52
11:53,2506,Presbyterian  Timeout,35,52
11:42,2506,Foul on JC Younger.,35,52
11:42,2506,JC Younger Turnover.,35,52
11:42,151,Official TV Timeout,35,52
11:25,151,Jeremy Sheppard Turnover.,35,52
11:23,2506,Ed Drew Steal.,35,52
11:14,2506,Ed Drew missed Jumper.,35,52
11:14,151,Elijah Hughes Defensive Rebound.,35,52
11:07,2506,Foul on Darius Moore.,35,52
11:07,151,Jeremy Sheppard made Free Throw.,35,53
11:07,151,Jeremy Sheppard made Free Throw.,35,54
10:59,2506,Darius Moore made Three Point Jumper.,38,54
10:44,151,Jeremy Sheppard made Layup. Assisted by Michel Nzege.,38,56
10:34,2506,Ruben Arroyo missed Layup.,38,56
10:34,151,Elijah Hughes Block.,38,56
10:32,151,Michel Nzege Defensive Rebound.,38,56
10:09,151,B.J. Tyson missed Three Point Jumper.,38,56
10:09,2506,Darius Moore Defensive Rebound.,38,56
9:58,2506,Ruben Arroyo missed Three Point Jumper.,38,56
9:58,151,Raquan Wilkins Defensive Rebound.,38,56
9:36,151,Elijah Hughes made Layup.,38,58
9:35,2506,Foul on Austin Venable.,38,58
9:35,151,Elijah Hughes made Free Throw.,38,59
9:20,151,Foul on Michel Nzege.,38,59
9:19,2506,Reggie Dillard missed Jumper.,38,59
9:19,151,Kentrell Barkley Defensive Rebound.,38,59
9:12,151,Elijah Hughes made Jumper.,38,61
9:01,2506,Darius Moore made Jumper.,40,61
8:58,2506,Presbyterian  Timeout,40,61
8:36,151,Elijah Hughes missed Three Point Jumper.,40,61
8:36,151,Raquan Wilkins Offensive Rebound.,40,61
8:33,2506,Foul on Austin Venable.,40,61
8:33,151,Raquan Wilkins made Free Throw.,40,62
8:33,151,Raquan Wilkins made Free Throw.,40,63
8:20,2506,Jo'Vontae Millner made Layup. Assisted by Darius Moore.,42,63
7:55,151,Foul on Kentrell Barkley.,42,63
7:55,151,Kentrell Barkley Turnover.,42,63
7:55,151,Official TV Timeout,42,63
7:40,2506,Reggie Dillard missed Jumper.,42,63
7:40,151,Michel Nzege Block.,42,63
7:36,151,Michel Nzege Defensive Rebound.,42,63
7:16,151,Elijah Hughes missed Three Point Jumper.,42,63
7:16,2506,Austin Venable Defensive Rebound.,42,63
7:00,2506,Presbyterian  Timeout,42,63
6:52,2506,Jaron Withers Turnover.,42,63
6:51,151,B.J. Tyson Steal.,42,63
6:34,151,Raquan Wilkins missed Three Point Jumper.,42,63
6:34,151,Michel Nzege Offensive Rebound.,42,63
6:16,151,Michel Nzege missed Jumper.,42,63
6:16,2506,Darius Moore Defensive Rebound.,42,63
6:08,2506,Reggie Dillard made Layup.,44,63
6:07,151,Foul on B.J. Tyson.,44,63
6:07,2506,Reggie Dillard made Free Throw.,45,63
5:38,151,Michel Nzege missed Jumper.,45,63
5:38,2506,Jo'Vontae Millner Defensive Rebound.,45,63
5:26,2506,Austin Venable missed Jumper.,45,63
5:26,151,Michel Nzege Block.,45,63
5:25,2506,Presbyterian Offensive Rebound.,45,63
5:19,2506,JC Younger made Three Point Jumper. Assisted by Darius Moore.,48,63
4:46,151,Caleb White missed Three Point Jumper.,48,63
4:46,2506,Austin Venable Defensive Rebound.,48,63
4:35,2506,Austin Venable missed Jumper.,48,63
4:35,151,Kentrell Barkley Defensive Rebound.,48,63
4:28,2506,Foul on Austin Venable.,48,63
4:28,151,Raquan Wilkins made Free Throw.,48,64
4:28,151,Raquan Wilkins missed Free Throw.,48,64
4:28,151,Raquan Wilkins Offensive Rebound.,48,64
4:18,151,Jeremy Sheppard missed Three Point Jumper.,48,64
4:18,2506,Ruben Arroyo Defensive Rebound.,48,64
4:10,2506,Darius Moore Turnover.,48,64
4:07,151,Jeremy Sheppard Steal.,48,64
4:06,151,Caleb White made Layup. Assisted by Jeremy Sheppard.,48,66
3:54,2506,Ed Drew made Jumper. Assisted by Darius Moore.,50,66
3:38,151,Raquan Wilkins made Three Point Jumper. Assisted by Kentrell Barkley.,50,69
3:16,2506,Ed Drew missed Jumper.,50,69
3:16,151,Raquan Wilkins Defensive Rebound.,50,69
2:56,151,Deng Riak made Jumper. Assisted by Jeremy Sheppard.,50,71
2:27,2506,Darius Moore missed Layup.,50,71
2:27,151,Deng Riak Defensive Rebound.,50,71
2:20,151,Caleb White missed Three Point Jumper.,50,71
2:20,2506,Ruben Arroyo Defensive Rebound.,50,71
2:05,2506,Ruben Arroyo missed Three Point Jumper.,50,71
2:05,151,Deng Riak Defensive Rebound.,50,71
1:38,151,Raquan Wilkins made Jumper.,50,73
1:21,2506,Darius Moore made Three Point Jumper. Assisted by Reggie Dillard.,53,73
1:06,151,East Carolina  Timeout,53,73
0:56,2506,Foul on Austin Venable.,53,73
0:56,151,Jabari Craig missed Free Throw.,53,73
0:56,151,East Carolina Deadball Team Rebound.,53,73
0:56,151,Jabari Craig made Free Throw.,53,74
0:45,2506,JC Younger made Three Point Jumper. Assisted by Austin Venable.,56,74
0:25,151,Raquan Wilkins missed Jumper.,56,74
0:25,151,Raquan Wilkins Offensive Rebound.,56,74
0:21,151,Addison Hill made Jumper. Assisted by Raquan Wilkins.,56,76
0:07,2506,JC Younger Turnover.,56,76
0:05,151,Jabari Craig Steal.,56,76
0:00,151,End of Game,56,76
