UC Davis,2005,Air Force,302
7:42,302,Brynton Lemar missed Jumper.,14,17
7:42,2005,CJ Siples Defensive Rebound.,14,17
7:22,2005,Frank Toohey Turnover.,14,17
7:00,302,Brynton Lemar missed Jumper.,14,17
7:00,2005,Ryan Manning Defensive Rebound.,14,17
6:54,2005,Trevor Lyons Turnover.,14,17
6:30,302,Arell Hennings Turnover.,14,17
6:28,2005,CJ Siples Steal.,14,17
6:25,2005,Trevor Lyons missed Layup.,14,17
6:25,2005,Dane Norman Offensive Rebound.,14,17
6:21,2005,Dane Norman missed Layup.,14,17
6:21,302,Brynton Lemar Defensive Rebound.,14,17
6:15,302,Lawrence White made Dunk.,16,17
6:05,2005,Frank Toohey Turnover.,16,17
5:37,302,Arell Hennings missed Jumper.,16,17
5:37,302,J.T. Adenrele Offensive Rebound.,16,17
5:34,302,J.T. Adenrele made Layup.,18,17
5:29,2005,Foul on Frank Toohey.,18,17
5:29,2005,Frank Toohey Turnover.,18,17
5:27,2005,Air Force  Timeout,18,17
5:03,302,Chima Moneke made Layup. Assisted by Arell Hennings.,20,17
4:44,2005,Dane Norman made Three Point Jumper. Assisted by Trevor Lyons.,20,20
4:32,302,Chima Moneke made Layup.,22,20
4:15,302,Foul on Chima Moneke.,22,20
4:15,2005,Lavelle Scottie made Free Throw.,22,21
4:15,2005,Lavelle Scottie made Free Throw.,22,22
3:58,302,Mikey Henn missed Jumper.,22,22
3:58,2005,Lavelle Scottie Defensive Rebound.,22,22
3:44,2005,Pervis Louder missed Three Point Jumper.,22,22
3:44,302,Chima Moneke Defensive Rebound.,22,22
3:36,2005,Foul on Trevor Lyons.,22,22
3:36,2005,Official TV Timeout,22,22
3:36,302,Mikey Henn made Free Throw.,23,22
3:36,302,Mikey Henn missed Free Throw.,23,22
3:36,2005,Pervis Louder Defensive Rebound.,23,22
3:25,302,Foul on Mikey Henn.,23,22
3:25,2005,Lavelle Scottie missed Free Throw.,23,22
3:25,2005,Air Force Deadball Team Rebound.,23,22
3:25,2005,Lavelle Scottie made Free Throw.,23,23
3:10,302,Arell Hennings missed Three Point Jumper.,23,23
3:10,2005,Lavelle Scottie Defensive Rebound.,23,23
3:02,2005,Pervis Louder missed Layup.,23,23
3:02,302,J.T. Adenrele Defensive Rebound.,23,23
2:50,302,Joe Mooney missed Three Point Jumper.,23,23
2:50,2005,Trevor Lyons Defensive Rebound.,23,23
2:37,2005,Lavelle Scottie Turnover.,23,23
2:36,302,Joe Mooney Steal.,23,23
2:27,2005,Foul on Dane Norman.,23,23
2:27,302,Joe Mooney made Layup.,25,23
2:27,302,Joe Mooney made Free Throw.,26,23
2:27,2005,CJ Siples Turnover.,26,23
2:25,302,Arell Hennings Steal.,26,23
2:16,302,Lawrence White made Layup.,28,23
1:52,302,Foul on J.T. Adenrele.,28,23
1:52,2005,CJ Siples missed Free Throw.,28,23
1:52,2005,Air Force Deadball Team Rebound.,28,23
1:52,2005,CJ Siples made Free Throw.,28,24
1:34,302,Joe Mooney missed Three Point Jumper.,28,24
1:34,2005,Lavelle Scottie Defensive Rebound.,28,24
1:32,302,Foul on J.T. Adenrele.,28,24
1:32,2005,Lavelle Scottie made Free Throw.,28,25
1:32,2005,Lavelle Scottie missed Free Throw.,28,25
1:32,2005,Trevor Lyons Offensive Rebound.,28,25
1:28,2005,Trevor Lyons made Layup.,28,27
1:02,302,Foul on Michael Onyebalu.,28,27
1:02,302,Michael Onyebalu Turnover.,28,27
1:02,302,UC Davis  Timeout,28,27
0:43,2005,Jacob Van missed Three Point Jumper.,28,27
0:43,302,Brynton Lemar Defensive Rebound.,28,27
0:25,302,Foul on Chima Moneke.,28,27
0:25,302,Chima Moneke Turnover.,28,27
0:06,2005,CJ Siples missed Three Point Jumper.,28,27
0:06,2005,Lavelle Scottie Offensive Rebound.,28,27
0:02,2005,Jacob Van made Three Point Jumper. Assisted by Lavelle Scottie.,28,30
0:00,2005,End of 1st half,28,30
19:52,2005,Hayden Graham made Jumper. Assisted by Frank Toohey.,28,32
19:32,302,Chima Moneke Turnover.,28,32
19:30,2005,Hayden Graham Steal.,28,32
19:11,2005,CJ Siples made Three Point Jumper. Assisted by Zach Kocur.,28,35
18:51,302,J.T. Adenrele made Jumper. Assisted by Lawrence White.,30,35
18:31,2005,Zach Kocur missed Three Point Jumper.,30,35
18:31,2005,Frank Toohey Offensive Rebound.,30,35
18:30,302,Foul on J.T. Adenrele.,30,35
18:28,302,Foul on Garrison Goode.,30,35
18:15,2005,Frank Toohey made Jumper. Assisted by CJ Siples.,30,37
18:04,302,Lawrence White Turnover.,30,37
18:03,2005,Hayden Graham Steal.,30,37
17:58,2005,Zach Kocur missed Three Point Jumper.,30,37
17:58,302,Brynton Lemar Defensive Rebound.,30,37
17:50,302,Brynton Lemar missed Three Point Jumper.,30,37
17:50,2005,Zach Kocur Defensive Rebound.,30,37
17:33,2005,Frank Toohey made Jumper. Assisted by Zach Kocur.,30,39
17:33,302,Foul on Lawrence White.,30,39
17:32,302,UC Davis  Timeout,30,39
17:32,2005,Frank Toohey made Free Throw.,30,40
17:15,302,Brynton Lemar missed Three Point Jumper.,30,40
17:15,2005,Zach Kocur Defensive Rebound.,30,40
16:55,2005,CJ Siples missed Three Point Jumper.,30,40
16:55,302,Chima Moneke Defensive Rebound.,30,40
16:32,302,Brynton Lemar missed Jumper.,30,40
16:32,2005,Hayden Graham Block.,30,40
16:29,2005,Zach Kocur Defensive Rebound.,30,40
16:18,2005,Zach Kocur Turnover.,30,40
16:16,302,Brynton Lemar Steal.,30,40
16:14,302,Chima Moneke made Layup. Assisted by Brynton Lemar.,32,40
16:14,2005,Foul on Zach Kocur.,32,40
16:14,302,Chima Moneke made Free Throw.,33,40
16:05,302,Foul on Garrison Goode.,33,40
15:53,2005,Foul on Hayden Graham.,33,40
15:53,2005,Hayden Graham Turnover.,33,40
15:53,2005,Official TV Timeout,33,40
15:41,302,Brynton Lemar made Layup. Assisted by Darius Graham.,35,40
15:15,2005,Dane Norman made Three Point Jumper. Assisted by Jacob Van.,35,43
14:51,302,Foul on Mikey Henn.,35,43
14:51,302,Mikey Henn Turnover.,35,43
14:38,2005,Jacob Van made Three Point Jumper. Assisted by Trevor Lyons.,35,46
14:16,302,Darius Graham missed Three Point Jumper.,35,46
14:16,2005,Dane Norman Defensive Rebound.,35,46
14:03,2005,Dane Norman made Three Point Jumper. Assisted by Jacob Van.,35,49
13:58,302,UC Davis  Timeout,35,49
13:42,302,Siler Schneider missed Three Point Jumper.,35,49
13:42,2005,CJ Siples Defensive Rebound.,35,49
13:30,2005,CJ Siples made Layup.,35,51
13:13,302,Brynton Lemar missed Jumper.,35,51
13:13,2005,Frank Toohey Defensive Rebound.,35,51
13:09,2005,Trevor Lyons Turnover.,35,51
13:08,302,Mikey Henn Steal.,35,51
13:04,302,Siler Schneider missed Three Point Jumper.,35,51
13:04,302,Siler Schneider Offensive Rebound.,35,51
13:03,2005,Foul on Dane Norman.,35,51
13:03,302,Siler Schneider made Free Throw.,36,51
13:03,302,Siler Schneider made Free Throw.,37,51
12:49,2005,Zach Kocur missed Three Point Jumper.,37,51
12:49,2005,Dane Norman Offensive Rebound.,37,51
12:45,2005,Dane Norman made Dunk.,37,53
12:29,302,J.T. Adenrele missed Jumper.,37,53
12:29,302,J.T. Adenrele Offensive Rebound.,37,53
12:23,2005,Foul on Frank Toohey.,37,53
12:23,302,Lawrence White made Free Throw.,38,53
12:23,302,Lawrence White made Free Throw.,39,53
12:08,2005,Lavelle Scottie Turnover.,39,53
12:06,302,Siler Schneider Steal.,39,53
12:04,302,Siler Schneider made Layup.,41,53
11:44,2005,Trevor Lyons missed Jumper.,41,53
11:44,302,Siler Schneider Defensive Rebound.,41,53
11:37,302,Darius Graham made Layup.,43,53
11:33,2005,Air Force  Timeout,43,53
11:33,2005,Official TV Timeout,43,53
11:12,2005,Lavelle Scottie Turnover.,43,53
11:11,302,Chima Moneke Steal.,43,53
11:07,302,Arell Hennings missed Layup.,43,53
11:07,2005,Lavelle Scottie Block.,43,53
11:03,2005,Hayden Graham Defensive Rebound.,43,53
10:57,2005,Foul on Hayden Graham.,43,53
10:57,2005,Hayden Graham Turnover.,43,53
10:42,302,Chima Moneke made Jumper. Assisted by Arell Hennings.,45,53
10:24,2005,Frank Toohey made Jumper. Assisted by Zach Kocur.,45,55
10:06,2005,Foul on Jacob Van.,45,55
9:52,302,Siler Schneider missed Three Point Jumper.,45,55
9:52,2005,Zach Kocur Defensive Rebound.,45,55
9:39,2005,Frank Toohey missed Jumper.,45,55
9:39,302,J.T. Adenrele Defensive Rebound.,45,55
9:17,302,Siler Schneider made Jumper.,47,55
8:50,2005,Dane Norman missed Jumper.,47,55
8:50,302,Lawrence White Defensive Rebound.,47,55
8:42,302,J.T. Adenrele made Dunk. Assisted by Lawrence White.,49,55
8:09,2005,Zach Kocur Turnover.,49,55
8:07,302,Garrison Goode Steal.,49,55
8:01,302,Arell Hennings missed Three Point Jumper.,49,55
8:01,2005,CJ Siples Defensive Rebound.,49,55
7:55,302,Technical Foul on UC Davis.,49,55
7:55,2005,Trevor Lyons missed Free Throw.,49,55
7:55,2005,Air Force Deadball Team Rebound.,49,55
7:55,2005,Trevor Lyons made Free Throw.,49,56
7:55,302,Foul on UC Davis.,49,55
7:55,2005,Official TV Timeout,49,56
7:45,302,Foul on Garrison Goode.,49,56
7:45,2005,Frank Toohey made Free Throw.,49,57
7:45,2005,Frank Toohey made Free Throw.,49,58
7:22,302,Brynton Lemar made Three Point Jumper.,52,58
7:08,2005,Frank Toohey made Jumper. Assisted by Zach Kocur.,52,60
6:52,2005,Foul on Frank Toohey.,52,60
6:52,302,Brynton Lemar made Free Throw.,53,60
6:52,302,Brynton Lemar made Free Throw.,54,60
6:36,2005,Lavelle Scottie missed Layup.,54,60
6:36,302,J.T. Adenrele Defensive Rebound.,54,60
6:24,302,Brynton Lemar missed Three Point Jumper.,54,60
6:24,2005,Zach Kocur Defensive Rebound.,54,60
6:05,2005,Dane Norman missed Jumper.,54,60
6:05,302,Brynton Lemar Defensive Rebound.,54,60
5:56,2005,Foul on Lavelle Scottie.,54,60
5:56,302,Chima Moneke made Free Throw.,55,60
5:56,302,Chima Moneke made Free Throw.,56,60
5:39,2005,Lavelle Scottie made Jumper. Assisted by Hayden Graham.,56,62
5:27,302,Brynton Lemar missed Three Point Jumper.,56,62
5:27,2005,Lavelle Scottie Defensive Rebound.,56,62
5:26,302,Foul on Chima Moneke.,56,62
5:25,2005,Lavelle Scottie made Free Throw.,56,63
5:25,2005,Lavelle Scottie made Free Throw.,56,64
5:05,2005,Foul on Hayden Graham.,56,64
5:05,302,Brynton Lemar made Free Throw.,57,64
5:05,302,Brynton Lemar missed Free Throw.,57,64
5:05,2005,Lavelle Scottie Defensive Rebound.,57,64
4:46,2005,Jacob Van made Three Point Jumper. Assisted by Lavelle Scottie.,57,67
4:33,302,Lawrence White made Jumper.,59,67
4:10,2005,Ryan Manning missed Jumper.,59,67
4:10,302,Chima Moneke Block.,59,67
4:08,2005,Ryan Manning Offensive Rebound.,59,67
4:00,2005,Zach Kocur made Three Point Jumper. Assisted by Ryan Manning.,59,70
3:48,302,Darius Graham made Three Point Jumper. Assisted by Siler Schneider.,62,70
3:32,302,Foul on Siler Schneider.,62,70
3:32,2005,Official TV Timeout,62,70
3:32,2005,Jacob Van made Free Throw.,62,71
3:32,2005,Jacob Van made Free Throw.,62,72
3:27,302,Brynton Lemar missed Layup.,62,72
3:27,302,J.T. Adenrele Offensive Rebound.,62,72
3:22,302,J.T. Adenrele missed Layup.,62,72
3:22,302,Siler Schneider Offensive Rebound.,62,72
3:14,302,Darius Graham missed Jumper.,62,72
3:14,302,Brynton Lemar Offensive Rebound.,62,72
3:08,302,Brynton Lemar made Jumper.,64,72
2:43,2005,Dane Norman missed Jumper.,64,72
2:43,302,J.T. Adenrele Defensive Rebound.,64,72
2:26,302,Brynton Lemar missed Three Point Jumper.,64,72
2:26,2005,Dane Norman Defensive Rebound.,64,72
1:57,2005,CJ Siples made Three Point Jumper.,64,75
1:38,302,Siler Schneider made Three Point Jumper. Assisted by Darius Graham.,67,75
1:12,302,Foul on Siler Schneider.,67,75
1:11,2005,Zach Kocur made Free Throw.,67,76
1:11,2005,Zach Kocur made Free Throw.,67,77
1:07,302,Darius Graham missed Jumper.,67,77
1:07,302,UC Davis Offensive Rebound.,67,77
1:00,302,Darius Graham missed Three Point Jumper.,67,77
1:00,2005,Frank Toohey Defensive Rebound.,67,77
0:27,2005,Lavelle Scottie missed Three Point Jumper.,67,77
0:27,302,Darius Graham Defensive Rebound.,67,77
0:21,302,Chima Moneke missed Layup.,67,77
0:21,2005,Lavelle Scottie Defensive Rebound.,67,77
0:00,2005,End of Game,67,77
