Eastern Washington,38,Colorado,331
19:08,38,Derrick White Offensive Rebound.,35,32
19:03,38,Xavier Johnson missed Three Point Jumper.,35,32
19:03,331,Bogdan Bliznyuk Defensive Rebound.,35,32
18:38,331,Jacob Wiley made Jumper.,37,32
18:21,38,Josh Fortune made Three Point Jumper. Assisted by Derrick White.,37,35
17:53,331,Luka Vulikic missed Jumper.,37,35
17:53,38,Derrick White Defensive Rebound.,37,35
17:48,331,Foul on Luka Vulikic.,37,35
17:41,38,Derrick White made Jumper. Assisted by Josh Fortune.,37,37
17:24,331,Bogdan Bliznyuk missed Jumper.,37,37
17:24,38,Derrick White Defensive Rebound.,37,37
17:18,38,Josh Fortune made Three Point Jumper. Assisted by Derrick White.,37,40
17:16,331,Eastern Washington  Timeout,37,40
17:00,331,Luka Vulikic made Three Point Jumper. Assisted by Bogdan Bliznyuk.,40,40
16:33,38,George King made Three Point Jumper. Assisted by Josh Fortune.,40,43
16:18,331,Felix Von Hofe missed Three Point Jumper.,40,43
16:18,38,Wesley Gordon Defensive Rebound.,40,43
16:01,38,Wesley Gordon Turnover.,40,43
15:40,331,Luka Vulikic missed Jumper.,40,43
15:40,331,Jacob Wiley Offensive Rebound.,40,43
15:36,331,Jacob Wiley made Layup.,42,43
15:21,38,Josh Fortune missed Three Point Jumper.,42,43
15:21,331,Felix Von Hofe Defensive Rebound.,42,43
15:04,331,Luka Vulikic missed Jumper.,42,43
15:04,331,Mason Peatling Offensive Rebound.,42,43
14:46,331,Felix Von Hofe missed Three Point Jumper.,42,43
14:46,331,Jacob Wiley Offensive Rebound.,42,43
14:42,331,Jacob Wiley made Layup.,44,43
14:27,38,George King missed Three Point Jumper.,44,43
14:27,331,Bogdan Bliznyuk Defensive Rebound.,44,43
14:05,331,Felix Von Hofe made Three Point Jumper. Assisted by Bogdan Bliznyuk.,47,43
13:46,331,Foul on Bogdan Bliznyuk.,47,43
13:46,38,Official TV Timeout,47,43
13:37,38,Xavier Johnson made Layup. Assisted by Wesley Gordon.,47,45
13:21,38,Foul on Wesley Gordon.,47,45
13:21,331,Bogdan Bliznyuk made Free Throw.,48,45
13:21,331,Bogdan Bliznyuk made Free Throw.,49,45
13:05,38,Wesley Gordon missed Layup.,49,45
13:05,331,Jacob Wiley Block.,49,45
13:04,331,Felix Von Hofe Defensive Rebound.,49,45
12:43,331,Bogdan Bliznyuk missed Jumper.,49,45
12:43,38,Xavier Johnson Defensive Rebound.,49,45
12:34,38,Derrick White missed Layup.,49,45
12:34,38,Wesley Gordon Offensive Rebound.,49,45
12:30,38,Wesley Gordon missed Two Point Tip Shot.,49,45
12:30,331,Jacob Wiley Defensive Rebound.,49,45
12:09,331,Felix Von Hofe missed Layup.,49,45
12:09,38,Xavier Johnson Defensive Rebound.,49,45
11:49,38,Josh Fortune made Three Point Jumper. Assisted by Derrick White.,49,48
11:19,331,Luka Vulikic missed Three Point Jumper.,49,48
11:19,38,Xavier Johnson Defensive Rebound.,49,48
11:10,38,Wesley Gordon made Layup. Assisted by Josh Fortune.,49,50
11:10,331,Foul on Bogdan Bliznyuk.,49,50
11:10,38,Official TV Timeout,49,50
11:10,38,Wesley Gordon made Free Throw.,49,51
10:58,38,Foul on Tory Miller.,49,51
10:58,331,Jacob Wiley made Free Throw.,50,51
10:58,331,Jacob Wiley made Free Throw.,51,51
10:42,38,Deleon Brown missed Layup.,51,51
10:42,331,Jesse Hunt Defensive Rebound.,51,51
10:24,331,Jacob Wiley missed Layup.,51,51
10:24,38,Josh Fortune Defensive Rebound.,51,51
10:21,331,Foul on Jesse Hunt.,51,51
10:08,38,Josh Fortune missed Three Point Jumper.,51,51
10:08,331,Jesse Hunt Defensive Rebound.,51,51
9:47,331,Jesse Hunt made Layup.,53,51
9:47,38,Foul on Lucas Siewert.,53,51
9:47,331,Jesse Hunt missed Free Throw.,53,51
9:47,38,George King Defensive Rebound.,53,51
9:33,38,George King made Jumper.,53,53
9:16,38,Foul on George King.,53,53
9:16,331,Jesse Hunt made Free Throw.,54,53
9:16,331,Jesse Hunt made Free Throw.,55,53
8:58,331,Foul on Jacob Wiley.,55,53
8:58,38,Xavier Johnson made Free Throw.,55,54
8:58,38,Xavier Johnson missed Free Throw.,55,54
8:58,331,Jesse Hunt Defensive Rebound.,55,54
8:56,38,Foul on George King.,55,54
8:39,331,Bogdan Bliznyuk missed Jumper.,55,54
8:39,38,Tory Miller Defensive Rebound.,55,54
8:25,331,Foul on Ty Gibson.,55,54
8:25,38,Xavier Johnson made Free Throw.,55,55
8:25,38,Xavier Johnson made Free Throw.,55,56
8:09,331,Sir Washington Turnover.,55,56
8:09,331,Foul on Sir Washington.,55,56
7:50,38,Tory Miller made Dunk. Assisted by Derrick White.,55,58
7:41,331,Luka Vulikic Turnover.,55,58
7:41,38,Deleon Brown Steal.,55,58
7:41,331,Foul on Luka Vulikic.,55,58
7:41,38,Official TV Timeout,55,58
7:29,38,Deleon Brown missed Three Point Jumper.,55,58
7:29,331,Eastern Washington Defensive Rebound.,55,58
7:08,331,Jesse Hunt missed Three Point Jumper.,55,58
7:08,38,Tory Miller Defensive Rebound.,55,58
6:52,38,Tory Miller made Layup. Assisted by Derrick White.,55,60
6:25,38,Foul on Thomas Akyazili.,55,60
6:25,331,Felix Von Hofe missed Free Throw.,55,60
6:25,331,Eastern Washington Deadball Team Rebound.,55,60
6:25,331,Felix Von Hofe made Free Throw.,56,60
6:14,38,Derrick White made Layup.,56,62
5:56,331,Felix Von Hofe missed Three Point Jumper.,56,62
5:56,331,Jacob Wiley Offensive Rebound.,56,62
5:39,331,Jacob Wiley made Layup. Assisted by Bogdan Bliznyuk.,58,62
5:38,331,Eastern Washington  Timeout,58,62
5:22,331,Foul on Cody Benzel.,58,62
5:22,38,Wesley Gordon made Free Throw.,58,63
5:22,38,Wesley Gordon made Free Throw.,58,64
5:11,331,Bogdan Bliznyuk missed Jumper.,58,64
5:04,38,Derrick White Block.,58,64
5:04,38,Wesley Gordon Defensive Rebound.,58,64
5:03,38,Xavier Johnson made Layup. Assisted by Derrick White.,58,66
5:03,331,Foul on Cody Benzel.,58,66
5:03,38,Xavier Johnson made Free Throw.,58,67
4:39,38,Josh Fortune missed Three Point Jumper.,58,67
4:39,331,Felix Von Hofe Defensive Rebound.,58,67
4:28,331,Foul on Jacob Wiley.,58,67
4:28,38,Derrick White made Free Throw.,58,68
4:28,38,Derrick White missed Free Throw.,58,68
4:28,331,Bogdan Bliznyuk Defensive Rebound.,58,68
4:14,331,Luka Vulikic missed Jumper.,58,68
4:14,38,Wesley Gordon Defensive Rebound.,58,68
4:06,38,Derrick White made Layup.,58,70
3:38,331,Mason Peatling made Layup. Assisted by Felix Von Hofe.,60,70
3:15,38,Deleon Brown Turnover.,60,70
3:13,331,Ty Gibson Steal.,60,70
3:02,331,Bogdan Bliznyuk made Layup.,62,70
2:54,38,Derrick White Turnover.,62,70
2:54,38,Foul on Derrick White.,62,70
2:54,38,Official TV Timeout,62,70
2:43,38,Foul on Xavier Johnson.,62,70
2:43,331,Luka Vulikic missed Free Throw.,62,70
2:43,331,Eastern Washington Deadball Team Rebound.,62,70
2:43,331,Luka Vulikic made Free Throw.,63,70
2:18,38,Xavier Johnson Turnover.,63,70
2:18,38,Foul on Xavier Johnson.,63,70
2:01,331,Felix Von Hofe missed Jumper.,63,70
2:01,331,Mason Peatling Offensive Rebound.,63,70
1:55,38,Foul on Derrick White.,63,70
1:55,331,Luka Vulikic made Free Throw.,64,70
1:55,331,Luka Vulikic made Free Throw.,65,70
1:50,38,Colorado  Timeout,65,70
1:28,38,Xavier Johnson made Layup. Assisted by Josh Fortune.,65,72
1:18,331,Felix Von Hofe made Three Point Jumper. Assisted by Bogdan Bliznyuk.,68,72
1:17,331,Eastern Washington  Timeout,68,72
0:46,38,Wesley Gordon made Dunk. Assisted by Derrick White.,68,74
0:36,331,Bogdan Bliznyuk missed Layup.,68,74
0:36,38,Wesley Gordon Block.,68,74
0:35,38,Wesley Gordon Defensive Rebound.,68,74
0:35,38,Derrick White made Free Throw.,68,75
0:35,38,Derrick White made Free Throw.,68,76
0:32,331,Foul on Mason Peatling.,68,74
0:22,331,Felix Von Hofe missed Three Point Jumper.,68,76
0:22,38,Derrick White Block.,68,76
0:21,331,Eastern Washington Offensive Rebound.,68,76
0:19,331,Felix Von Hofe missed Three Point Jumper.,68,76
0:19,38,Deleon Brown Block.,68,76
0:17,331,Bogdan Bliznyuk Offensive Rebound.,68,76
0:15,331,Bogdan Bliznyuk missed Three Point Jumper.,68,76
0:15,38,Josh Fortune Defensive Rebound.,68,76
0:00,38,End of Game,68,76
