St. Mary's (MN),Error,Green Bay,2739
15:27,2739,Kerem Kanter Offensive Rebound.,4,12
15:24,2739,Kerem Kanter missed Layup.,4,12
15:24,2739,Jamar Hurdle Offensive Rebound.,4,12
15:22,2739,Jamar Hurdle made Layup.,4,14
15:08,-1,Wylie Ferron Turnover.,4,14
15:07,2739,Official TV Timeout,4,14
14:51,2739,Warren Jones missed Three Point Jumper.,4,14
14:51,-1,St. Marys University Minnesota Defensive Rebound.,4,14
14:27,-1,Quashingm Smith-Pugh missed Layup.,4,14
14:27,2739,Jamar Hurdle Block.,4,14
14:25,2739,Tevin Findlay Defensive Rebound.,4,14
14:15,2739,Foul on Jamar Hurdle.,4,14
14:14,2739,Jamar Hurdle Turnover.,4,14
14:06,-1,David Lindstrand missed Jumper.,4,14
14:06,2739,Tevin Findlay Defensive Rebound.,4,14
13:57,2739,Jamar Hurdle made Layup. Assisted by Kenneth Lowe.,4,16
13:36,-1,Aaron Romportl missed Three Point Jumper.,4,16
13:36,2739,Tevin Findlay Defensive Rebound.,4,16
13:28,-1,Foul on Aaron Romportl.,4,16
13:25,2739,Warren Jones missed Three Point Jumper.,4,16
13:25,-1,Eli Cave Defensive Rebound.,4,16
13:08,-1,David Lindstrand missed Layup.,4,16
13:08,2739,Kenneth Lowe Block.,4,16
13:07,2739,Trevor Anderson Defensive Rebound.,4,16
13:03,2739,Kameron Hankerson missed Layup.,4,16
13:03,2739,David Jesperson Offensive Rebound.,4,16
13:00,2739,David Jesperson missed Layup.,4,16
13:00,-1,Eli Cave Defensive Rebound.,4,16
12:54,-1,Eli Cave made Layup.,6,16
12:42,2739,Trevor Anderson made Layup.,6,18
12:22,-1,Eli Cave made Layup.,8,18
12:12,2739,Kameron Hankerson made Three Point Jumper. Assisted by David Jesperson.,8,21
11:57,-1,St. Marys University Minnesota  Timeout,8,21
11:57,2739,Official TV Timeout,8,21
11:43,-1,Bradley Hill missed Three Point Jumper.,8,21
11:43,2739,Kameron Hankerson Defensive Rebound.,8,21
11:31,2739,Khalil Small made Jumper.,8,23
11:03,2739,Foul on Khalil Small.,8,23
11:03,-1,Cole Kruger made Free Throw.,9,23
11:03,-1,Cole Kruger made Free Throw.,10,23
10:59,2739,Khalil Small Turnover.,10,23
10:44,-1,Wylie Ferron made Jumper. Assisted by Quashingm Smith-Pugh.,12,23
10:44,2739,Foul on Turner Botz.,12,23
10:44,-1,Wylie Ferron made Free Throw.,13,23
10:29,2739,David Jesperson missed Jumper.,13,23
10:29,-1,Cole Kruger Defensive Rebound.,13,23
10:22,-1,Bradley Hill Turnover.,13,23
10:22,2739,David Jesperson Steal.,13,23
10:22,-1,Foul on Bradley Hill.,13,23
10:11,-1,Foul on Wylie Ferron.,13,23
10:11,2739,Kerem Kanter made Free Throw.,13,24
10:11,2739,Kerem Kanter made Free Throw.,13,25
10:02,-1,Quashingm Smith-Pugh made Layup.,15,25
10:00,2739,Green Bay  Timeout,15,25
9:46,2739,Khalil Small Turnover.,15,25
9:43,-1,Aaron Romportl Steal.,15,25
9:42,-1,Aaron Romportl missed Layup.,15,25
9:42,-1,Quashingm Smith-Pugh Offensive Rebound.,15,25
9:32,-1,James Cullen made Three Point Jumper.,18,25
9:20,2739,Turner Botz missed Three Point Jumper.,18,25
9:20,-1,Aaron Romportl Defensive Rebound.,18,25
9:07,-1,Quashingm Smith-Pugh missed Layup.,18,25
9:07,2739,Kerem Kanter Defensive Rebound.,18,25
8:58,2739,Turner Botz missed Three Point Jumper.,18,25
8:58,2739,Jamar Hurdle Offensive Rebound.,18,25
8:56,2739,Jamar Hurdle made Layup.,18,27
8:39,-1,Cole Kruger missed Three Point Jumper.,18,27
8:39,2739,Kerem Kanter Defensive Rebound.,18,27
8:23,2739,Jamar Hurdle missed Jumper.,18,27
8:23,-1,Wylie Ferron Defensive Rebound.,18,27
8:02,-1,Aaron Romportl missed Jumper.,18,27
8:02,2739,Trevor Anderson Defensive Rebound.,18,27
7:50,-1,Foul on Eli Cave.,18,27
7:50,2739,Official TV Timeout,18,27
7:50,2739,Kerem Kanter made Free Throw.,18,28
7:50,2739,Kerem Kanter made Free Throw.,18,29
7:32,-1,Aaron Romportl made Layup.,20,29
7:32,-1,Aaron Romportl made Free Throw.,21,29
7:32,2739,Foul on Tevin Findlay.,21,29
7:14,2739,Tevin Findlay missed Layup.,21,29
7:14,-1,Eli Cave Defensive Rebound.,21,29
7:10,-1,Eli Cave Turnover.,21,29
6:57,2739,Trevor Anderson Turnover.,21,29
6:56,-1,Bradley Hill Steal.,21,29
6:52,-1,David Lindstrand missed Layup.,21,29
6:52,2739,Tevin Findlay Block.,21,29
6:50,2739,Tevin Findlay Defensive Rebound.,21,29
6:45,2739,Trevor Anderson made Three Point Jumper. Assisted by Tevin Findlay.,21,32
6:26,-1,James Cullen missed Three Point Jumper.,21,32
6:26,2739,Turner Botz Defensive Rebound.,21,32
6:15,-1,Foul on Eli Cave.,21,32
6:04,2739,Turner Botz made Three Point Jumper. Assisted by Warren Jones.,21,35
5:38,-1,Quashingm Smith-Pugh Turnover.,21,35
5:37,2739,Trevor Anderson Steal.,21,35
5:34,2739,Warren Jones made Layup. Assisted by Trevor Anderson.,21,37
5:22,-1,Kristjan Meitz Turnover.,21,37
5:21,2739,Tevin Findlay Steal.,21,37
5:18,2739,Jamar Hurdle made Dunk. Assisted by Tevin Findlay.,21,39
5:08,-1,Kristjan Meitz Turnover.,21,39
5:07,2739,Jamar Hurdle Steal.,21,39
5:04,-1,Foul on Kristjan Meitz.,21,39
5:04,2739,Jamar Hurdle missed Free Throw.,21,39
5:04,2739,Green Bay Deadball Team Rebound.,21,39
5:04,2739,Jamar Hurdle made Free Throw.,21,40
4:38,-1,David Lindstrand missed Three Point Jumper.,21,40
4:38,2739,Warren Jones Defensive Rebound.,21,40
4:25,2739,Warren Jones missed Layup.,21,40
4:25,-1,Cole Kruger Defensive Rebound.,21,40
4:14,-1,Quashingm Smith-Pugh made Layup.,23,40
4:06,2739,Trevor Anderson missed Layup.,23,40
4:06,-1,Wylie Ferron Block.,23,40
4:06,2739,Green Bay Offensive Rebound.,23,40
4:06,2739,Trevor Anderson missed Three Point Jumper.,23,40
4:06,-1,Quashingm Smith-Pugh Defensive Rebound.,23,40
4:06,-1,Cole Kruger missed Three Point Jumper.,23,40
4:06,2739,Kerem Kanter Defensive Rebound.,23,40
4:03,-1,Foul on Kristjan Meitz.,23,40
3:50,2739,Official TV Timeout,23,40
3:50,2739,Kerem Kanter made Free Throw.,23,41
3:50,2739,Kerem Kanter made Free Throw.,23,42
3:43,2739,Foul on Trevor Anderson.,23,42
3:43,-1,Quashingm Smith-Pugh made Free Throw.,24,42
3:43,-1,Quashingm Smith-Pugh made Free Throw.,25,42
3:39,2739,Khalil Small made Three Point Jumper. Assisted by Trevor Anderson.,25,45
3:28,-1,Kristjan Meitz Turnover.,25,45
3:13,2739,Kerem Kanter missed Three Point Jumper.,25,45
3:13,-1,Cole Kruger Defensive Rebound.,25,45
3:04,-1,Quashingm Smith-Pugh Turnover.,25,45
2:46,2739,Warren Jones made Layup.,25,47
2:22,-1,Cole Kruger made Three Point Jumper. Assisted by Quashingm Smith-Pugh.,28,47
2:10,-1,Foul on Quashingm Smith-Pugh.,28,47
2:10,2739,Warren Jones missed Free Throw.,28,47
2:10,-1,St. Marys University Minnesota Defensive Rebound.,28,47
2:10,2739,Foul on Kenneth Lowe.,28,47
2:10,-1,Wylie Ferron missed Free Throw.,28,47
2:10,-1,Quashingm Smith-Pugh Offensive Rebound.,28,47
2:01,-1,Wylie Ferron missed Layup.,28,47
2:01,2739,Kenneth Lowe Defensive Rebound.,28,47
1:51,2739,Kerem Kanter made Layup. Assisted by Tevin Findlay.,28,49
1:38,-1,Bradley Hill made Three Point Jumper. Assisted by Eli Cave.,31,49
1:30,2739,Tevin Findlay Turnover.,31,49
1:15,-1,Eli Cave missed Layup.,31,49
1:15,-1,St. Marys University Minnesota Offensive Rebound.,31,49
1:08,-1,Eli Cave Turnover.,31,49
1:07,2739,Turner Botz Steal.,31,49
0:58,2739,Turner Botz Turnover.,31,49
0:56,-1,Quashingm Smith-Pugh Turnover.,31,49
0:55,2739,Tevin Findlay Steal.,31,49
0:36,2739,Kerem Kanter made Jumper. Assisted by Tevin Findlay.,31,51
0:22,-1,Eli Cave Turnover.,31,51
0:21,2739,Tevin Findlay Steal.,31,51
0:05,2739,Tevin Findlay missed Layup.,31,51
0:03,2739,Kerem Kanter Offensive Rebound.,31,51
0:01,2739,Kerem Kanter made Two Point Tip Shot.,31,53
0:00,2739,End of 1st half,31,53
19:50,-1,Foul on Quashingm Smith-Pugh.,31,53
19:50,2739,Kerem Kanter made Free Throw.,31,54
19:50,2739,Kerem Kanter missed Free Throw.,31,54
19:50,-1,Wylie Ferron Defensive Rebound.,31,54
19:31,-1,Quashingm Smith-Pugh missed Layup.,31,54
19:31,2739,Khalil Small Defensive Rebound.,31,54
19:24,2739,Khalil Small made Jumper.,31,56
19:09,-1,Wylie Ferron missed Jumper.,31,56
19:09,2739,Turner Botz Defensive Rebound.,31,56
19:01,2739,Kerem Kanter made Layup. Assisted by Kenneth Lowe.,31,58
18:43,-1,Aaron Romportl made Jumper. Assisted by Quashingm Smith-Pugh.,33,58
18:22,2739,Turner Botz missed Three Point Jumper.,33,58
18:22,2739,Kerem Kanter Offensive Rebound.,33,58
18:19,-1,Foul on Aaron Romportl.,33,58
18:19,2739,Kerem Kanter missed Free Throw.,33,58
18:19,2739,Green Bay Deadball Team Rebound.,33,58
18:19,2739,Kerem Kanter made Free Throw.,33,59
18:10,-1,Cole Kruger Turnover.,33,59
18:09,2739,Kenneth Lowe Steal.,33,59
18:03,2739,Turner Botz Turnover.,33,59
18:02,-1,Aaron Romportl Steal.,33,59
17:59,-1,Cole Kruger made Layup.,35,59
17:43,2739,Kenneth Lowe missed Jumper.,35,59
17:43,2739,Kenneth Lowe Offensive Rebound.,35,59
17:39,2739,Kenneth Lowe made Layup.,35,61
17:26,-1,Cole Kruger missed Three Point Jumper.,35,61
17:26,2739,Green Bay Defensive Rebound.,35,61
17:13,-1,Foul on Eli Cave.,35,61
17:13,2739,Kerem Kanter missed Free Throw.,35,61
17:13,2739,Green Bay Deadball Team Rebound.,35,61
17:13,2739,Kerem Kanter made Free Throw.,35,62
17:01,-1,Aaron Romportl missed Three Point Jumper.,35,62
17:01,2739,Kerem Kanter Defensive Rebound.,35,62
16:51,2739,Turner Botz missed Three Point Jumper.,35,62
16:51,-1,Bradley Hill Defensive Rebound.,35,62
16:44,-1,Jason Timm Turnover.,35,62
16:35,2739,Khalil Small Turnover.,35,62
16:33,-1,Jason Timm Steal.,35,62
16:25,-1,Eli Cave missed Jumper.,35,62
16:25,2739,Kerem Kanter Defensive Rebound.,35,62
16:23,-1,Foul on Aaron Romportl.,35,62
16:11,2739,Foul on Kenneth Lowe.,35,62
16:11,2739,Kenneth Lowe Turnover.,35,62
16:03,-1,David Lindstrand Turnover.,35,62
16:03,2739,Tevin Findlay Steal.,35,62
15:54,2739,Tevin Findlay missed Layup.,35,62
15:54,2739,Kenneth Lowe Offensive Rebound.,35,62
15:50,2739,Kenneth Lowe missed Jumper.,35,62
15:50,-1,St. Marys University Minnesota Defensive Rebound.,35,62
15:45,2739,Official TV Timeout,35,62
15:38,-1,Eli Cave missed Three Point Jumper.,35,62
15:38,2739,Tevin Findlay Defensive Rebound.,35,62
15:30,-1,James Cullen made Three Point Jumper.,38,62
15:14,-1,Aaron Romportl Turnover.,38,62
15:12,2739,Warren Jones Steal.,38,62
15:10,2739,Warren Jones made Layup.,38,64
14:58,-1,David Lindstrand Turnover.,38,64
14:57,2739,Tevin Findlay Steal.,38,64
14:55,-1,Foul on David Lindstrand.,38,64
14:54,-1,Foul on David Lindstrand.,38,64
14:53,2739,Tevin Findlay made Free Throw.,38,65
14:53,2739,Tevin Findlay made Free Throw.,38,66
14:50,2739,Jamar Hurdle missed Layup.,38,66
14:50,-1,Eli Cave Defensive Rebound.,38,66
14:15,-1,Bradley Hill missed Three Point Jumper.,38,66
14:15,-1,Eli Cave Offensive Rebound.,38,66
14:09,-1,James Cullen missed Three Point Jumper.,38,66
14:09,2739,Kameron Hankerson Defensive Rebound.,38,66
13:57,2739,Tevin Findlay Turnover.,38,66
13:56,-1,Bradley Hill Steal.,38,66
13:37,-1,Foul on Jason Timm.,38,66
13:37,-1,Jason Timm Turnover.,38,66
12:59,-1,Foul on Jason Timm.,38,66
12:59,2739,David Jesperson missed Free Throw.,38,66
12:59,-1,Eli Cave Defensive Rebound.,38,66
12:46,2739,Foul on David Jesperson.,38,66
12:44,2739,Foul on David Jesperson.,38,66
12:40,-1,Bradley Hill missed Jumper.,38,66
12:40,2739,Tevin Findlay Defensive Rebound.,38,66
12:31,2739,Foul on Kameron Hankerson.,38,66
12:31,2739,Kameron Hankerson Turnover.,38,66
12:19,2739,Foul on Tevin Findlay.,38,66
12:07,-1,Eli Cave Turnover.,38,66
12:06,2739,Tevin Findlay Steal.,38,66
12:02,2739,Kameron Hankerson made Jumper. Assisted by Warren Jones.,38,68
11:35,-1,Bradley Hill made Three Point Jumper. Assisted by James Cullen.,41,68
11:24,2739,David Jesperson made Three Point Jumper. Assisted by Tevin Findlay.,41,71
11:13,-1,James Cullen made Three Point Jumper. Assisted by Stevie Moman.,44,71
11:02,2739,Tevin Findlay missed Jumper.,44,71
11:02,-1,St. Marys University Minnesota Defensive Rebound.,44,71
10:55,-1,James Cullen missed Three Point Jumper.,44,71
10:55,2739,Green Bay Defensive Rebound.,44,71
10:34,2739,David Jesperson made Jumper.,44,73
10:14,-1,Bradley Hill Turnover.,44,73
10:01,2739,Tevin Findlay missed Three Point Jumper.,44,73
10:01,2739,Jamar Hurdle Offensive Rebound.,44,73
9:57,2739,Jamar Hurdle made Dunk.,44,75
9:45,2739,Foul on Kameron Hankerson.,44,75
9:42,-1,Bradley Hill missed Three Point Jumper.,44,75
9:42,2739,Green Bay Defensive Rebound.,44,75
9:28,2739,Kameron Hankerson missed Three Point Jumper.,44,75
9:28,2739,Jamar Hurdle Offensive Rebound.,44,75
9:23,2739,Jamar Hurdle made Jumper.,44,77
9:02,-1,Stevie Moman missed Layup.,44,77
9:02,2739,Warren Jones Defensive Rebound.,44,77
8:57,2739,Jamar Hurdle made Layup. Assisted by Warren Jones.,44,82
8:57,2739,David Jesperson made Free Throw.,44,78
8:57,2739,David Jesperson made Layup. Assisted by Warren Jones.,44,80
8:37,-1,Jason Timm made Layup. Assisted by Stevie Moman.,46,82
8:27,2739,Tevin Findlay missed Jumper.,46,82
8:27,-1,Brandon Retzlaff Defensive Rebound.,46,82
8:21,-1,Stevie Moman Turnover.,46,82
8:14,2739,Kameron Hankerson missed Three Point Jumper.,46,82
8:14,-1,Kristjan Meitz Defensive Rebound.,46,82
8:01,-1,Stevie Moman Turnover.,46,82
8:00,2739,Warren Jones Steal.,46,82
7:56,2739,Kameron Hankerson made Layup. Assisted by Warren Jones.,46,84
7:38,-1,Liam Gorman missed Three Point Jumper.,46,84
7:38,2739,Warren Jones Defensive Rebound.,46,84
7:33,-1,Foul on Jason Timm.,46,84
7:33,2739,Official TV Timeout,46,84
7:33,2739,Warren Jones made Free Throw.,46,85
7:33,2739,Warren Jones missed Free Throw.,46,85
7:33,-1,Chad Schlosser Defensive Rebound.,46,85
7:11,-1,David Lindstrand Turnover.,46,85
7:10,2739,Tevin Findlay Steal.,46,85
7:08,2739,Tevin Findlay made Layup.,46,87
6:39,-1,Brandon Retzlaff made Three Point Jumper. Assisted by Liam Gorman.,49,87
6:31,2739,Warren Jones missed Three Point Jumper.,49,87
6:31,-1,Brandon Retzlaff Defensive Rebound.,49,87
6:18,-1,David Lindstrand Turnover.,49,87
6:18,2739,Tevin Findlay Steal.,49,87
6:07,2739,Jamar Hurdle missed Layup.,49,87
6:07,-1,Chad Schlosser Block.,49,87
6:05,-1,Kristjan Meitz Defensive Rebound.,49,87
6:00,-1,Liam Gorman made Three Point Jumper. Assisted by David Lindstrand.,52,87
5:52,2739,Warren Jones made Layup.,52,89
5:33,-1,Liam Gorman missed Three Point Jumper.,52,89
5:33,2739,Tevin Findlay Defensive Rebound.,52,89
5:22,2739,Kameron Hankerson made Three Point Jumper. Assisted by Warren Jones.,52,92
4:51,-1,Liam Gorman Turnover.,52,92
4:50,2739,Tevin Findlay Steal.,52,92
4:48,2739,Tevin Findlay made Layup.,52,94
4:26,2739,Foul on David Jesperson.,52,94
4:26,-1,Chad Schlosser missed Free Throw.,52,94
4:26,2739,David Jesperson Defensive Rebound.,52,94
4:16,2739,Warren Jones made Three Point Jumper. Assisted by Kameron Hankerson.,52,97
3:47,-1,David Lindstrand Turnover.,52,97
3:46,2739,Jamar Hurdle Steal.,52,97
3:43,2739,Official TV Timeout,52,97
3:43,2739,Jamar Hurdle made Layup.,52,99
3:43,2739,Jamar Hurdle missed Free Throw.,52,99
3:43,-1,Foul on Kristjan Meitz.,52,99
3:43,-1,Chad Schlosser Defensive Rebound.,52,99
3:32,-1,Brandon Retzlaff missed Three Point Jumper.,52,99
3:32,2739,Jamar Hurdle Defensive Rebound.,52,99
3:22,2739,Kameron Hankerson Turnover.,52,99
3:05,2739,Foul on Kameron Hankerson.,52,99
3:05,-1,Chad Schlosser made Free Throw.,53,99
3:05,-1,Chad Schlosser made Free Throw.,54,99
3:01,-1,Foul on David Lindstrand.,54,99
3:01,2739,Tevin Findlay made Free Throw.,54,100
3:01,2739,Tevin Findlay made Free Throw.,54,101
2:45,-1,James Cullen missed Three Point Jumper.,54,101
2:45,2739,Jamar Hurdle Block.,54,101
2:43,2739,Tevin Findlay Defensive Rebound.,54,101
2:40,2739,Jamar Hurdle made Layup. Assisted by Tevin Findlay.,54,103
2:15,-1,Jason Timm made Three Point Jumper. Assisted by David Lindstrand.,57,103
2:09,-1,Foul on James Cullen.,57,103
2:09,2739,Warren Jones made Free Throw.,57,104
2:09,2739,Warren Jones missed Free Throw.,57,104
2:09,-1,Chad Schlosser Defensive Rebound.,57,104
2:05,-1,Chad Schlosser missed Three Point Jumper.,57,104
2:05,2739,David Jesperson Defensive Rebound.,57,104
1:55,2739,David Jesperson made Layup. Assisted by Warren Jones.,57,106
1:41,-1,Chad Schlosser missed Layup.,57,106
1:41,-1,Chad Schlosser Offensive Rebound.,57,106
1:38,-1,Chad Schlosser made Layup.,59,106
1:13,2739,David Jesperson missed Jumper.,59,106
1:13,2739,Jamar Hurdle Offensive Rebound.,59,106
1:10,2739,Jamar Hurdle made Jumper.,59,108
0:54,-1,David Lindstrand missed Three Point Jumper.,59,108
0:54,2739,Jamar Hurdle Defensive Rebound.,59,108
0:11,2739,Green Bay  Turnover.,59,108
0:01,-1,Kristjan Meitz missed Jumper.,59,108
0:01,2739,David Jesperson Defensive Rebound.,59,108
0:00,2739,End of Game,59,108
