Marygrove College,Error,Eastern Michigan,2199
14:14,2199,Foul on Lamar Wofford-Humphrey.,8,6
14:14,2199,Lamar Wofford-Humphrey Turnover.,8,6
13:52,-1,Ta'Kein Dixson missed Jumper.,8,6
13:52,2199,Baylee Steele Defensive Rebound.,8,6
13:42,2199,Ray Lee missed Three Point Jumper.,8,6
13:42,-1,Marygrove College Defensive Rebound.,8,6
13:13,-1,Isaac Gillum missed Three Point Jumper.,8,6
13:13,2199,Jordan Nobles Defensive Rebound.,8,6
13:04,2199,Ray Lee made Layup.,8,8
12:31,-1,Darrell Ivy missed Three Point Jumper.,8,8
12:31,2199,Lamar Wofford-Humphrey Defensive Rebound.,8,8
12:23,-1,Foul on Darrell Ivy.,8,8
12:23,2199,Foul on Willie Mangum IV.,8,8
12:23,-1,Foul on Darrell Ivy.,8,8
12:23,2199,Technical Foul on Willie Mangum IV.,8,8
12:23,-1,Technical Foul on Darrell Ivy.,8,8
12:12,2199,Willie Mangum IV Turnover.,8,8
12:11,-1,Nate Taylor Steal.,8,8
11:57,-1,Nate Taylor Turnover.,8,8
11:49,2199,Baylee Steele Turnover.,8,8
11:48,-1,Angus Bennett Steal.,8,8
11:38,2199,Foul on Baylee Steele.,8,8
11:38,-1,Nate Taylor made Free Throw.,9,8
11:38,-1,Nate Taylor made Free Throw.,10,8
11:24,2199,Ray Lee missed Jumper.,10,8
11:24,2199,Baylee Steele Offensive Rebound.,10,8
11:22,2199,Baylee Steele missed Layup.,10,8
11:22,-1,Angus Bennett Defensive Rebound.,10,8
11:02,-1,Angus Bennett missed Layup.,10,8
11:02,2199,Baylee Steele Block.,10,8
11:01,2199,Eastern Michigan Defensive Rebound.,10,8
10:51,2199,Ray Lee made Layup.,10,10
10:51,-1,Foul on Thomas Simmons.,10,10
10:51,2199,Ray Lee missed Free Throw.,10,10
10:51,-1,Nate Taylor Defensive Rebound.,10,10
10:37,-1,Eldridge Mason missed Three Point Jumper.,10,10
10:37,2199,Willie Mangum IV Defensive Rebound.,10,10
10:31,-1,Foul on Eldridge Mason.,10,10
10:22,2199,Ray Lee made Three Point Jumper. Assisted by Jordan Nobles.,10,13
9:57,-1,Eldridge Mason Turnover.,10,13
9:56,2199,Tim Bond Steal.,10,13
9:54,2199,Tim Bond made Dunk. Assisted by Willie Mangum IV.,10,15
9:51,-1,Marygrove College  Timeout,10,15
9:38,-1,Eldridge Mason missed Layup.,10,15
9:38,2199,Jordan Nobles Block.,10,15
9:37,2199,Tim Bond Defensive Rebound.,10,15
9:36,-1,Foul on Thomas Simmons.,10,15
9:28,2199,Willie Mangum IV made Jumper.,10,17
9:10,-1,Nate Taylor Turnover.,10,17
8:58,2199,Ray Lee missed Jumper.,10,17
8:58,-1,Nate Taylor Defensive Rebound.,10,17
8:40,-1,Elijah Ingram missed Layup.,10,17
8:40,2199,Jordan Nobles Block.,10,17
8:39,2199,Jordan Nobles Defensive Rebound.,10,17
8:33,-1,Foul on Isaac Gillum.,10,17
8:33,2199,Willie Mangum IV made Free Throw.,10,18
8:33,2199,Willie Mangum IV made Free Throw.,10,19
8:07,-1,Nate Taylor made Layup. Assisted by Elijah Ingram.,12,19
7:59,2199,Willie Mangum IV missed Three Point Jumper.,12,19
7:59,-1,Elijah Ingram Defensive Rebound.,12,19
7:51,-1,Eldridge Mason made Layup. Assisted by Elijah Ingram.,14,19
7:46,2199,Ray Lee missed Layup.,14,19
7:46,2199,Tim Bond Offensive Rebound.,14,19
7:43,2199,Tim Bond made Two Point Tip Shot.,14,21
7:34,-1,Nate Taylor missed Layup.,14,21
7:34,2199,Nick Madray Block.,14,21
7:32,2199,Jordan Nobles Defensive Rebound.,14,21
7:23,2199,Nick Madray missed Layup.,14,21
7:23,2199,Nick Madray Offensive Rebound.,14,21
7:21,2199,Nick Madray made Layup.,14,23
7:01,-1,Ta'Kein Dixson missed Three Point Jumper.,14,23
7:01,2199,Tim Bond Defensive Rebound.,14,23
6:53,2199,Willie Mangum IV made Three Point Jumper. Assisted by Ray Lee.,14,26
6:32,-1,Nate Taylor Turnover.,14,26
6:32,2199,Official TV Timeout,14,26
6:20,2199,Tim Bond missed Layup.,14,26
6:20,2199,Blake Brown Offensive Rebound.,14,26
6:16,2199,Blake Brown missed Layup.,14,26
6:16,2199,Tim Bond Offensive Rebound.,14,26
6:10,2199,Tim Bond made Dunk. Assisted by Ray Lee.,14,28
5:52,2199,Foul on Tim Bond.,14,28
5:52,-1,Elijah Ingram missed Free Throw.,14,28
5:52,-1,Marygrove College Deadball Team Rebound.,14,28
5:52,-1,Elijah Ingram made Free Throw.,15,28
5:42,2199,Willie Mangum IV missed Jumper.,15,28
5:42,-1,Elijah Ingram Defensive Rebound.,15,28
5:41,2199,Foul on Jordan Nobles.,15,28
5:41,-1,Elijah Ingram missed Free Throw.,15,28
5:41,2199,Jordan Nobles Defensive Rebound.,15,28
5:31,2199,Ray Lee Turnover.,15,28
5:31,-1,Ta'Kein Dixson Steal.,15,28
5:26,-1,Ta'Kein Dixson Turnover.,15,28
5:09,2199,Ray Lee missed Layup.,15,28
5:09,-1,Elijah Ingram Block.,15,28
5:07,-1,Angus Bennett Defensive Rebound.,15,28
5:04,-1,Angus Bennett Turnover.,15,28
5:03,2199,Tim Bond Steal.,15,28
5:02,2199,Tim Bond missed Layup.,15,28
4:56,-1,Angus Bennett Defensive Rebound.,15,28
4:54,-1,Elijah Ingram missed Layup.,15,28
4:54,2199,Blake Brown Defensive Rebound.,15,28
4:47,2199,Jordan Nobles missed Layup.,15,28
4:47,2199,Blake Brown Offensive Rebound.,15,28
4:45,2199,Blake Brown made Two Point Tip Shot.,15,30
4:25,-1,Nate Taylor Turnover.,15,30
4:24,2199,Jordan Nobles Steal.,15,30
4:21,2199,Ray Lee made Layup.,15,32
4:16,-1,Marygrove College  Timeout,15,32
4:16,2199,Official TV Timeout,15,32
4:07,-1,Nate Taylor missed Three Point Jumper.,15,32
4:07,-1,Marygrove College Offensive Rebound.,15,32
3:57,-1,Nate Taylor missed Layup.,15,32
3:56,2199,Nick Madray Block.,15,32
3:55,2199,Nick Madray Defensive Rebound.,15,32
3:41,2199,Jordan Nobles missed Three Point Jumper.,15,32
3:41,-1,Elijah Ingram Defensive Rebound.,15,32
3:30,2199,Foul on Nick Madray.,15,32
3:30,-1,Nate Taylor made Free Throw.,16,32
3:30,-1,Nate Taylor made Free Throw.,17,32
3:17,2199,Willie Mangum IV made Three Point Jumper.,17,35
3:01,-1,Elijah Ingram missed Layup.,17,35
3:01,2199,Jordan Nobles Defensive Rebound.,17,35
2:56,2199,Ray Lee made Layup. Assisted by Jordan Nobles.,17,37
2:24,2199,Foul on Blake Brown.,17,37
2:24,-1,Isaac Gillum missed Free Throw.,17,37
2:24,-1,Marygrove College Deadball Team Rebound.,17,37
2:24,-1,Isaac Gillum made Free Throw.,18,37
2:17,2199,Tim Bond missed Three Point Jumper.,18,37
2:17,-1,Ta'Kein Dixson Defensive Rebound.,18,37
2:10,-1,Isaac Gillum Turnover.,18,37
1:59,2199,Ray Lee made Layup.,18,39
1:43,-1,Angus Bennett missed Layup.,18,39
1:43,2199,Jordan Nobles Defensive Rebound.,18,39
1:35,2199,Ray Lee missed Layup.,18,39
1:35,2199,Willie Mangum IV Offensive Rebound.,18,39
1:33,2199,Willie Mangum IV made Layup.,18,41
1:18,-1,Nate Taylor missed Jumper.,18,41
1:18,2199,Willie Mangum IV Defensive Rebound.,18,41
1:10,2199,Willie Mangum IV Turnover.,18,41
1:09,-1,Darrell Ivy Steal.,18,41
1:06,2199,Foul on Willie Mangum IV.,18,41
1:06,-1,Isaac Gillum missed Free Throw.,18,41
1:06,-1,Marygrove College Deadball Team Rebound.,18,41
1:06,-1,Isaac Gillum made Free Throw.,19,41
0:56,2199,Jalen Brown Turnover.,19,41
0:49,-1,Darrell Ivy missed Three Point Jumper.,19,41
0:49,-1,Marygrove College Offensive Rebound.,19,41
0:41,-1,Nate Taylor missed Layup.,19,41
0:41,2199,Jordan Nobles Block.,19,41
0:41,-1,Marygrove College Offensive Rebound.,19,41
0:35,-1,Darrell Ivy made Three Point Jumper. Assisted by Ta'Kein Dixson.,22,41
0:22,2199,Tim Bond Turnover.,22,41
0:21,-1,Nate Taylor Steal.,22,41
0:19,-1,Nate Taylor missed Layup.,22,41
0:19,2199,Tim Bond Block.,22,41
0:18,-1,Isaac Gillum Offensive Rebound.,22,41
0:15,-1,Isaac Gillum missed Layup.,22,41
0:14,2199,Tim Bond Block.,22,41
0:13,2199,Blake Brown Defensive Rebound.,22,41
0:04,2199,Ray Lee made Three Point Jumper.,22,44
0:00,2199,End of 1st half,22,44
19:54,2199,Ray Lee missed Three Point Jumper.,22,44
19:54,2199,Jordan Nobles Offensive Rebound.,22,44
19:49,2199,Tim Bond made Three Point Jumper. Assisted by Jordan Nobles.,22,47
19:39,-1,Nate Taylor Turnover.,22,47
19:39,2199,Quaran Jones Steal.,22,47
19:36,2199,Quaran Jones made Layup. Assisted by Tim Bond.,22,49
19:25,-1,Isaac Gillum Turnover.,22,49
19:25,2199,Tim Bond Steal.,22,49
19:23,2199,Tim Bond Turnover.,22,49
19:11,-1,Elijah Ingram made Layup.,24,49
18:58,2199,Ray Lee missed Layup.,24,49
18:58,-1,Elijah Ingram Block.,24,49
18:57,2199,Eastern Michigan Offensive Rebound.,24,49
18:53,2199,Baylee Steele made Jumper. Assisted by Quaran Jones.,24,51
18:39,-1,Elijah Ingram Turnover.,24,51
18:38,2199,Ray Lee Steal.,24,51
18:33,2199,Tim Bond missed Three Point Jumper.,24,51
18:33,2199,Baylee Steele Offensive Rebound.,24,51
18:21,2199,Quaran Jones made Layup.,24,53
18:00,-1,Ta'Kein Dixson missed Three Point Jumper.,24,53
18:00,2199,Quaran Jones Defensive Rebound.,24,53
18:00,2199,Tim Bond made Layup. Assisted by Quaran Jones.,24,55
18:00,-1,Nate Taylor missed Jumper.,24,55
18:00,-1,Angus Bennett Offensive Rebound.,24,55
18:00,-1,Nate Taylor missed Jumper.,24,55
18:00,2199,Quaran Jones Defensive Rebound.,24,55
18:00,2199,Tim Bond Turnover.,24,55
18:00,-1,Angus Bennett Steal.,24,55
18:00,-1,Isaac Gillum made Layup.,26,55
17:01,2199,Baylee Steele made Dunk. Assisted by Ray Lee.,26,57
16:47,-1,Nate Taylor made Layup.,28,57
16:47,2199,Foul on Baylee Steele.,28,57
16:47,-1,Nate Taylor missed Free Throw.,28,57
16:47,2199,Quaran Jones Defensive Rebound.,28,57
16:36,2199,Tim Bond Turnover.,28,57
16:36,-1,Isaac Gillum Steal.,28,57
16:33,2199,Foul on Baylee Steele.,28,57
16:33,-1,Isaac Gillum made Free Throw.,29,57
16:33,-1,Isaac Gillum made Free Throw.,30,57
16:21,2199,Ray Lee missed Three Point Jumper.,30,57
16:21,2199,Quaran Jones Offensive Rebound.,30,57
16:18,-1,Foul on Elijah Ingram.,30,57
16:18,2199,Quaran Jones made Free Throw.,30,58
16:18,2199,Quaran Jones made Free Throw.,30,59
16:13,-1,Nate Taylor Turnover.,30,59
16:11,2199,Jordan Nobles Steal.,30,59
16:04,2199,Baylee Steele missed Jumper.,30,59
16:04,-1,Nate Taylor Defensive Rebound.,30,59
15:56,-1,Elijah Ingram made Layup. Assisted by Isaac Gillum.,32,59
15:42,-1,Foul on Elijah Ingram.,32,59
15:42,2199,Official TV Timeout,32,59
15:42,2199,Quaran Jones made Free Throw.,32,60
15:42,2199,Quaran Jones made Free Throw.,32,61
15:23,-1,Nate Taylor missed Three Point Jumper.,32,61
15:23,-1,Isaac Gillum Offensive Rebound.,32,61
15:19,-1,Isaac Gillum missed Three Point Jumper.,32,61
15:19,2199,Quaran Jones Defensive Rebound.,32,61
15:11,2199,Ray Lee made Layup.,32,63
14:50,-1,Ta'Kein Dixson Turnover.,32,63
14:49,2199,Jordan Nobles Steal.,32,63
14:46,2199,Tim Bond made Dunk. Assisted by Jordan Nobles.,32,65
14:20,-1,Ta'Kein Dixson made Three Point Jumper. Assisted by Isaac Gillum.,35,65
14:07,-1,Foul on Elijah Ingram.,35,65
14:07,2199,Quaran Jones missed Free Throw.,35,65
14:07,2199,Eastern Michigan Deadball Team Rebound.,35,65
14:07,2199,Quaran Jones made Free Throw.,35,66
14:07,-1,Marygrove College  Timeout,35,66
14:07,2199,Official TV Timeout,35,66
14:05,-1,Darrell Ivy Turnover.,35,66
14:04,2199,Tim Bond Steal.,35,66
14:04,2199,Tim Bond Turnover.,35,66
14:04,-1,Thomas Simmons Steal.,35,66
14:03,-1,Foul on Thomas Simmons.,35,68
14:03,2199,Tim Bond made Layup.,35,68
14:03,2199,Tim Bond made Free Throw.,35,69
14:03,-1,Eldridge Mason missed Three Point Jumper.,35,69
14:03,-1,Thomas Simmons Offensive Rebound.,35,69
14:03,-1,Thomas Simmons missed Three Point Jumper.,35,69
14:03,-1,Shaun Phillips Offensive Rebound.,35,69
14:03,-1,Shaun Phillips made Layup.,37,69
13:16,2199,Ray Lee made Three Point Jumper. Assisted by Tim Bond.,37,72
13:04,-1,Darrell Ivy missed Three Point Jumper.,37,72
12:53,-1,Eldridge Mason Offensive Rebound.,37,72
12:51,-1,Thomas Simmons missed Three Point Jumper.,37,72
12:51,2199,Jordan Nobles Defensive Rebound.,37,72
12:40,2199,Baylee Steele missed Jumper.,37,72
12:40,-1,Jerome Wheeler Defensive Rebound.,37,72
12:34,-1,Shaun Phillips missed Layup.,37,72
12:34,2199,Baylee Steele Block.,37,72
12:32,2199,Jordan Nobles Defensive Rebound.,37,72
12:20,2199,Ray Lee made Layup.,37,74
11:56,-1,Eldridge Mason missed Jumper.,37,74
11:56,2199,Ray Lee Defensive Rebound.,37,74
11:44,2199,Ray Lee Turnover.,37,74
11:43,-1,Thomas Simmons Steal.,37,74
11:27,2199,Official TV Timeout,37,74
11:19,-1,Shaun Phillips missed Jumper.,37,74
11:19,2199,Blake Brown Defensive Rebound.,37,74
10:59,2199,Jordan Nobles made Three Point Jumper. Assisted by Willie Mangum IV.,37,77
10:30,-1,Thomas Simmons Turnover.,37,77
10:29,2199,Willie Mangum IV Steal.,37,77
10:24,2199,Willie Mangum IV made Three Point Jumper.,37,80
10:11,2199,Foul on Jordan Nobles.,37,80
10:09,-1,Jerome Wheeler Turnover.,37,80
9:57,2199,Tim Bond missed Layup.,37,80
9:57,-1,Shaun Phillips Defensive Rebound.,37,80
9:33,-1,Eldridge Mason Turnover.,37,80
9:32,2199,Lamar Wofford-Humphrey Steal.,37,80
9:25,2199,Willie Mangum IV missed Three Point Jumper.,37,80
9:25,2199,Blake Brown Offensive Rebound.,37,80
9:22,2199,Blake Brown missed Layup.,37,80
9:22,-1,Eldridge Mason Defensive Rebound.,37,80
9:11,-1,Shaun Phillips missed Jumper.,37,80
9:11,-1,Marygrove College Offensive Rebound.,37,80
9:05,-1,Shaun Phillips missed Layup.,37,80
9:05,2199,Quaran Jones Defensive Rebound.,37,80
8:54,2199,Lamar Wofford-Humphrey missed Three Point Jumper.,37,80
8:54,-1,Eldridge Mason Defensive Rebound.,37,80
8:39,-1,Darrell Ivy missed Three Point Jumper.,37,80
8:39,2199,Lamar Wofford-Humphrey Defensive Rebound.,37,80
8:30,-1,Foul on Jerome Wheeler.,37,80
8:30,2199,Willie Mangum IV made Free Throw.,37,81
8:30,2199,Willie Mangum IV made Free Throw.,37,82
8:19,-1,Jerome Wheeler missed Jumper.,37,82
8:19,2199,Willie Mangum IV Defensive Rebound.,37,82
8:05,2199,Quaran Jones missed Jumper.,37,82
8:05,-1,Jerome Wheeler Defensive Rebound.,37,82
7:47,-1,Eldridge Mason missed Jumper.,37,82
7:47,2199,Quaran Jones Defensive Rebound.,37,82
7:29,2199,Lamar Wofford-Humphrey Turnover.,37,82
7:28,-1,Eldridge Mason Steal.,37,82
7:24,-1,Darrell Ivy made Layup.,39,82
7:13,-1,Foul on Eldridge Mason.,39,82
7:13,2199,Official TV Timeout,39,82
7:02,2199,Willie Mangum IV missed Three Point Jumper.,39,82
7:02,-1,Jerome Wheeler Defensive Rebound.,39,82
6:36,-1,Thomas Simmons made Jumper. Assisted by Eldridge Mason.,41,82
6:19,2199,Jalen Brown missed Jumper.,41,82
6:19,-1,Darrell Ivy Defensive Rebound.,41,82
6:04,-1,Thomas Simmons missed Layup.,41,82
6:04,2199,Lamar Wofford-Humphrey Block.,41,82
6:02,-1,Thomas Simmons Offensive Rebound.,41,82
5:52,-1,Thomas Simmons made Layup.,43,82
5:32,2199,Willie Mangum IV missed Jumper.,43,82
5:32,2199,Willie Mangum IV Offensive Rebound.,43,82
5:30,-1,Foul on Shaun Phillips.,43,82
5:30,2199,Willie Mangum IV made Free Throw.,43,83
5:30,2199,Willie Mangum IV made Free Throw.,43,84
5:19,-1,Eldridge Mason missed Jumper.,43,84
5:19,2199,Blake Brown Block.,43,84
5:18,2199,Blake Brown Defensive Rebound.,43,84
5:18,-1,Foul on Eldridge Mason.,43,84
5:18,2199,Blake Brown missed Free Throw.,43,84
5:18,2199,Quaran Jones Offensive Rebound.,43,84
5:07,2199,Quaran Jones missed Two Point Tip Shot.,43,84
5:07,-1,Eldridge Mason Defensive Rebound.,43,84
5:00,-1,Eldridge Mason Turnover.,43,84
4:59,2199,Jalen Brown Steal.,43,84
4:55,2199,Willie Mangum IV made Three Point Jumper.,43,87
4:33,-1,Thomas Simmons missed Layup.,43,87
4:33,2199,Willie Mangum IV Defensive Rebound.,43,87
4:14,2199,Nick Madray Turnover.,43,87
4:13,-1,Darrell Ivy Steal.,43,87
4:09,-1,Darrell Ivy missed Layup.,43,87
4:09,2199,Willie Mangum IV Block.,43,87
4:05,-1,Thomas Simmons Offensive Rebound.,43,87
4:02,-1,Thomas Simmons made Layup.,45,87
3:52,2199,Jalen Brown missed Layup.,45,87
3:52,2199,Nick Madray Offensive Rebound.,45,87
3:43,2199,Willie Mangum IV made Layup.,45,89
3:16,2199,Official TV Timeout,45,89
3:12,-1,Anthony Martin made Three Point Jumper. Assisted by James Burton.,48,89
3:05,-1,Foul on Eldridge Mason.,48,89
3:05,2199,Jordan Nobles made Free Throw.,48,90
3:05,2199,Jordan Nobles made Free Throw.,48,91
2:34,-1,Jerome Wheeler missed Three Point Jumper.,48,91
2:34,2199,Nick Madray Defensive Rebound.,48,91
2:18,2199,Jordan Nobles missed Three Point Jumper.,48,91
2:18,-1,Marygrove College Defensive Rebound.,48,91
2:07,-1,Anthony Martin missed Three Point Jumper.,48,91
2:07,2199,Nick Madray Defensive Rebound.,48,91
1:59,2199,Jordan Nobles missed Layup.,48,91
1:59,2199,Quaran Jones Offensive Rebound.,48,91
1:57,2199,Quaran Jones made Two Point Tip Shot.,48,93
1:35,-1,James Burton missed Jumper.,48,93
1:35,2199,Quaran Jones Defensive Rebound.,48,93
1:25,-1,Foul on Eldridge Mason.,48,93
1:25,2199,Jalen Brown missed Free Throw.,48,93
1:25,2199,Eastern Michigan Deadball Team Rebound.,48,93
1:25,2199,Jalen Brown missed Free Throw.,48,93
1:25,2199,Quaran Jones Offensive Rebound.,48,93
1:22,2199,Lamar Wofford-Humphrey made Dunk. Assisted by Quaran Jones.,48,95
1:02,-1,James Burton missed Three Point Jumper.,48,95
1:02,-1,Corey Wells Offensive Rebound.,48,95
1:00,-1,Corey Wells missed Layup.,48,95
1:00,2199,Quaran Jones Defensive Rebound.,48,95
0:47,2199,Nick Madray made Dunk.,48,97
0:41,-1,Anthony Martin missed Three Point Jumper.,48,97
0:41,2199,Lamar Wofford-Humphrey Defensive Rebound.,48,97
0:33,2199,Jalen Brown made Layup.,48,99
0:23,-1,James Burton missed Jumper.,48,99
0:23,2199,Nick Madray Defensive Rebound.,48,99
0:08,-1,Foul on Anthony Martin.,48,99
0:08,2199,Quaran Jones made Free Throw.,48,100
0:08,2199,Quaran Jones made Free Throw.,48,101
0:00,2199,End of Game,48,101
