Florida National,Error,Florida Gulf Coast,526
12:00,-1,Alvaro Simoza Steal.,8,21
11:55,-1,Jermohn Queen missed Three Point Jumper.,8,21
11:55,526,Christian Carlyle Defensive Rebound.,8,21
11:36,526,Antravious Simmons missed Jumper.,8,21
11:36,-1,Florida National Defensive Rebound.,8,21
11:04,-1,Tavares Atkins missed Layup.,8,21
11:04,526,Demetris Morant Block.,8,21
11:03,526,Florida Gulf Coast Defensive Rebound.,8,21
10:49,526,Antravious Simmons made Layup. Assisted by Zach Johnson.,8,23
10:32,-1,Jamaal Walker missed Jumper.,8,23
10:32,526,Christian Carlyle Block.,8,23
10:29,526,Brandon Goodwin Defensive Rebound.,8,23
10:26,526,Brandon Goodwin missed Layup.,8,23
10:26,-1,Tavares Atkins Defensive Rebound.,8,23
10:19,526,Foul on Zach Johnson.,8,23
10:19,-1,Antonio Sims missed Free Throw.,8,23
10:19,-1,Florida National Deadball Team Rebound.,8,23
10:19,-1,Antonio Sims made Free Throw.,9,23
10:00,526,Reggie Reid made Layup.,9,25
9:45,526,Foul on Demetris Morant.,9,25
9:29,-1,Deontrea Dixon Turnover.,9,25
9:27,526,Reggie Reid Steal.,9,25
9:25,526,Rayjon Tucker made Dunk. Assisted by Reggie Reid.,9,27
9:04,-1,Alvaro Simoza missed Jumper.,9,27
9:04,526,Demetris Morant Defensive Rebound.,9,27
8:51,526,Christian Carlyle Turnover.,9,27
8:48,-1,Tavares Atkins Steal.,9,27
8:45,-1,Deontrea Dixon missed Three Point Jumper.,9,27
8:45,526,Demetris Morant Defensive Rebound.,9,27
8:35,526,Demetris Morant made Dunk. Assisted by Brandon Goodwin.,9,29
8:04,-1,Jermohn Queen missed Jumper.,9,29
8:04,526,Reggie Reid Block.,9,29
8:01,526,Demetris Morant Defensive Rebound.,9,29
7:50,526,Demetris Morant made Dunk. Assisted by Reggie Reid.,9,31
7:45,-1,Florida National  Timeout,9,31
7:38,-1,Antonio Sims made Three Point Jumper. Assisted by Aaron Carpenter.,12,31
7:23,526,Brandon Goodwin made Layup. Assisted by Reggie Reid.,12,33
7:15,-1,Aaron Carpenter missed Three Point Jumper.,12,33
7:15,526,Florida Gulf Coast Defensive Rebound.,12,33
6:50,526,Demetris Morant made Layup. Assisted by Christian Carlyle.,12,35
6:38,-1,Deontrea Dixon missed Three Point Jumper.,12,35
6:38,526,Kevin Mickle Defensive Rebound.,12,35
6:26,-1,Foul on William Bunton.,12,35
6:20,526,Demetris Morant made Dunk. Assisted by Christian Carlyle.,12,37
6:00,-1,Antonio Sims missed Jumper.,12,37
6:00,526,Brandon Goodwin Defensive Rebound.,12,37
5:53,526,Brandon Goodwin Turnover.,12,37
5:52,-1,Aaron Carpenter Steal.,12,37
5:42,-1,Aaron Carpenter missed Layup.,12,37
5:42,526,Demetris Morant Defensive Rebound.,12,37
5:35,526,Reggie Reid made Three Point Jumper. Assisted by Demetris Morant.,12,40
5:17,-1,Jermohn Queen missed Three Point Jumper.,12,40
5:17,526,Florida Gulf Coast Defensive Rebound.,12,40
5:04,-1,Foul on Dustin Cousin.,12,40
5:04,526,Demetris Morant made Free Throw.,12,41
5:04,526,Demetris Morant made Free Throw.,12,42
4:53,-1,Aaron Carpenter made Jumper. Assisted by Dustin Cousin.,14,42
4:29,526,Kevin Mickle made Jumper. Assisted by Christian Carlyle.,14,44
4:18,-1,Antonio Sims missed Jumper.,14,44
4:18,526,Demetris Morant Defensive Rebound.,14,44
4:12,526,Demetris Morant Turnover.,14,44
3:59,-1,Aaron Carpenter missed Three Point Jumper.,14,44
3:59,526,Rayjon Tucker Defensive Rebound.,14,44
3:46,-1,Foul on Dustin Cousin.,14,44
3:46,526,Official TV Timeout,14,44
3:46,526,Rayjon Tucker made Free Throw.,14,45
3:46,526,Rayjon Tucker made Free Throw.,14,46
3:29,-1,Aaron Carpenter missed Jumper.,14,46
3:29,526,Rayjon Tucker Defensive Rebound.,14,46
3:22,526,Christian Carlyle made Layup. Assisted by Rayjon Tucker.,14,48
3:13,-1,Antonio Sims missed Jumper.,14,48
3:13,526,Demetris Morant Defensive Rebound.,14,48
3:02,526,Christian Terrell missed Three Point Jumper.,14,48
3:02,-1,Tavares Atkins Defensive Rebound.,14,48
2:53,-1,William Bunton made Three Point Jumper. Assisted by Antonio Sims.,17,48
2:39,526,Demetris Morant Turnover.,17,48
2:38,-1,William Bunton Steal.,17,48
2:33,-1,Antonio Sims made Three Point Jumper. Assisted by Aaron Carpenter.,20,48
2:07,526,Demetris Morant Turnover.,20,48
1:51,-1,Aaron Carpenter missed Jumper.,20,48
1:51,-1,Tavares Atkins Offensive Rebound.,20,48
1:45,-1,Aaron Carpenter made Layup. Assisted by Tavares Atkins.,22,48
1:19,526,Reggie Reid missed Layup.,22,48
1:19,526,Kevin Mickle Offensive Rebound.,22,48
1:15,526,Kevin Mickle missed Jumper.,22,48
1:15,526,Antravious Simmons Offensive Rebound.,22,48
1:15,526,Antravious Simmons made Layup.,22,50
1:15,-1,Foul on Alvaro Simoza.,22,50
1:15,526,Antravious Simmons made Free Throw.,22,51
1:08,-1,Antonio Sims Turnover.,22,51
1:07,526,Reggie Reid Steal.,22,51
1:03,526,Antravious Simmons made Dunk. Assisted by Christian Terrell.,22,53
0:47,-1,Antonio Sims missed Three Point Jumper.,22,53
0:47,526,Kevin Mickle Defensive Rebound.,22,53
0:42,526,Kevin Mickle Turnover.,22,53
0:41,-1,William Bunton Steal.,22,53
0:38,-1,Antonio Sims Turnover.,22,53
0:38,526,Florida Gulf Coast  Timeout,22,53
0:27,-1,Foul on Alvaro Simoza.,22,53
0:27,526,Antravious Simmons made Free Throw.,22,54
0:27,526,Antravious Simmons missed Free Throw.,22,54
0:27,-1,Aaron Carpenter Defensive Rebound.,22,54
0:19,-1,William Bunton missed Three Point Jumper.,22,54
0:19,526,Christian Terrell Defensive Rebound.,22,54
0:13,526,Rayjon Tucker made Dunk. Assisted by Christian Terrell.,22,56
0:00,526,End of 1st half,22,56
19:44,-1,Dustin Cousin Turnover.,22,56
19:42,526,Zach Johnson Steal.,22,56
19:35,526,Christian Terrell missed Layup.,22,56
19:35,-1,Alvaro Simoza Block.,22,56
19:33,-1,Aaron Carpenter Defensive Rebound.,22,56
19:30,-1,Aaron Carpenter Turnover.,22,56
19:29,526,Demetris Morant Steal.,22,56
19:20,526,Brandon Goodwin Turnover.,22,56
19:20,-1,Aaron Carpenter Steal.,22,56
19:20,526,Foul on Brandon Goodwin.,22,56
19:02,-1,Dustin Cousin Turnover.,22,56
18:36,526,Christian Terrell missed Layup.,22,56
18:36,-1,Dustin Cousin Defensive Rebound.,22,56
18:27,526,Foul on Demetris Morant.,22,56
18:16,-1,Jermohn Queen Turnover.,22,56
18:15,526,Kevin Mickle Steal.,22,56
18:08,526,Christian Terrell made Three Point Jumper. Assisted by Brandon Goodwin.,22,59
17:49,-1,Florida National  Turnover.,22,59
17:34,526,Brandon Goodwin made Layup. Assisted by Zach Johnson.,22,61
17:22,-1,Dustin Cousin missed Layup.,22,61
17:22,526,Demetris Morant Block.,22,61
17:20,526,Demetris Morant Defensive Rebound.,22,61
17:12,526,Zach Johnson Turnover.,22,61
17:12,-1,Aaron Carpenter Steal.,22,61
17:03,-1,Jermohn Queen missed Layup.,22,61
17:03,526,Christian Terrell Defensive Rebound.,22,61
16:57,526,Demetris Morant made Dunk. Assisted by Brandon Goodwin.,22,63
16:42,-1,Antonio Sims Turnover.,22,63
16:41,526,Brandon Goodwin Steal.,22,63
16:38,526,Christian Terrell Turnover.,22,63
16:26,-1,Tavares Atkins Turnover.,22,63
16:24,526,Kevin Mickle Steal.,22,63
16:10,526,Christian Terrell made Three Point Jumper. Assisted by Brandon Goodwin.,22,66
15:57,-1,Antonio Sims made Three Point Jumper. Assisted by Dustin Cousin.,25,66
15:47,-1,Foul on Jermohn Queen.,25,66
15:47,526,Official TV Timeout,25,66
15:44,526,Zach Johnson made Dunk.,25,68
15:26,-1,Dustin Cousin missed Three Point Jumper.,25,68
15:26,526,Kevin Mickle Defensive Rebound.,25,68
15:18,526,Zach Johnson missed Layup.,25,68
15:18,-1,Tavares Atkins Defensive Rebound.,25,68
15:13,-1,Jermohn Queen missed Jumper.,25,68
15:13,526,Reggie Reid Defensive Rebound.,25,68
15:04,526,Foul on Christian Terrell.,25,68
15:04,526,Christian Terrell Turnover.,25,68
14:49,-1,William Bunton missed Three Point Jumper.,25,68
14:49,526,Rayjon Tucker Defensive Rebound.,25,68
14:39,-1,Foul on Dustin Cousin.,25,68
14:30,526,Rayjon Tucker Turnover.,25,68
14:26,-1,Tavares Atkins made Dunk. Assisted by William Bunton.,27,68
14:08,526,Antravious Simmons made Layup. Assisted by Reggie Reid.,27,70
14:03,-1,William Bunton missed Jumper.,27,70
14:03,526,Reggie Reid Defensive Rebound.,27,70
13:51,-1,Foul on Jermohn Queen.,27,70
13:43,526,Zach Johnson made Jumper.,27,72
13:29,-1,Tavares Atkins missed Jumper.,27,72
13:29,526,Antravious Simmons Defensive Rebound.,27,72
13:20,526,Reggie Reid missed Three Point Jumper.,27,72
13:20,526,Zach Johnson Offensive Rebound.,27,72
13:08,526,Antravious Simmons missed Layup.,27,72
13:08,-1,William Bunton Defensive Rebound.,27,72
13:00,-1,Antonio Sims missed Three Point Jumper.,27,72
13:00,-1,Tavares Atkins Offensive Rebound.,27,72
12:51,-1,William Bunton missed Three Point Jumper.,27,72
12:51,-1,Tavares Atkins Offensive Rebound.,27,72
12:49,-1,Tavares Atkins made Layup.,29,72
12:27,526,Antravious Simmons made Jumper. Assisted by Reggie Reid.,29,74
12:15,-1,Antonio Sims Turnover.,29,74
12:14,526,Antravious Simmons Steal.,29,74
12:10,526,Reggie Reid made Layup. Assisted by Zach Johnson.,29,76
11:48,-1,William Bunton missed Layup.,29,76
11:48,526,Florida Gulf Coast Defensive Rebound.,29,76
11:44,526,Official TV Timeout,29,76
11:29,-1,Foul on Alvaro Simoza.,29,76
11:29,526,Antravious Simmons made Free Throw.,29,77
11:29,526,Antravious Simmons made Free Throw.,29,78
11:13,-1,William Bunton made Three Point Jumper. Assisted by Dylan Mulder.,32,78
10:58,526,Antravious Simmons made Layup. Assisted by Christian Carlyle.,32,80
10:40,-1,William Bunton Turnover.,32,80
10:39,526,Christian Carlyle Steal.,32,80
10:35,526,Rayjon Tucker made Dunk. Assisted by Reggie Reid.,32,82
10:23,-1,Deontrea Dixon made Three Point Jumper. Assisted by Alvaro Simoza.,35,82
10:08,526,Antravious Simmons made Jumper. Assisted by Rendijs Feikners.,35,84
9:59,-1,Antonio Sims Turnover.,35,84
9:58,526,Reggie Reid Steal.,35,84
9:51,526,Rendijs Feikners Turnover.,35,84
9:51,-1,Antonio Sims Steal.,35,84
9:37,-1,William Bunton missed Three Point Jumper.,35,84
9:37,526,Reggie Reid Defensive Rebound.,35,84
9:34,526,Reggie Reid missed Layup.,35,84
9:34,526,Rendijs Feikners Offensive Rebound.,35,84
9:25,526,Christian Carlyle made Layup. Assisted by Reggie Reid.,35,86
9:01,526,Foul on Antravious Simmons.,35,86
9:01,-1,Antonio Sims made Free Throw.,36,86
9:01,-1,Antonio Sims made Free Throw.,37,86
8:45,526,Kevin Mickle Turnover.,37,86
8:45,-1,William Bunton Steal.,37,86
8:33,-1,Dylan Mulder made Three Point Jumper. Assisted by Jermohn Queen.,40,86
8:07,526,Rayjon Tucker Turnover.,40,86
8:06,-1,William Bunton Steal.,40,86
7:58,526,Foul on Rendijs Feikners.,40,86
7:58,526,Official TV Timeout,40,86
7:48,526,Foul on Rendijs Feikners.,40,86
7:48,-1,Dylan Mulder missed Free Throw.,40,86
7:48,-1,Florida National Deadball Team Rebound.,40,86
7:48,-1,Dylan Mulder missed Free Throw.,40,86
7:48,526,Rayjon Tucker Defensive Rebound.,40,86
7:20,-1,Foul on Jermohn Queen.,40,86
7:08,-1,Foul on William Bunton.,40,86
7:00,-1,Foul on Dylan Mulder.,40,86
7:00,526,Rendijs Feikners missed Free Throw.,40,86
7:00,526,Florida Gulf Coast Deadball Team Rebound.,40,86
7:00,526,Rendijs Feikners made Free Throw.,40,87
6:48,-1,Jermohn Queen Turnover.,40,87
6:47,526,Rayjon Tucker Steal.,40,87
6:44,526,Rayjon Tucker made Dunk.,40,89
6:29,-1,Dylan Mulder made Three Point Jumper. Assisted by Deontrea Dixon.,43,89
6:07,526,Rayjon Tucker made Three Point Jumper. Assisted by Reggie Reid.,43,92
5:52,526,Foul on Reggie Reid.,43,92
5:52,-1,Jermohn Queen made Free Throw.,44,92
5:52,-1,Jermohn Queen made Free Throw.,45,92
5:47,-1,Foul on Dylan Mulder.,45,92
5:47,526,Christian Carlyle missed Free Throw.,45,92
5:47,-1,Tavares Atkins Defensive Rebound.,45,92
5:41,-1,Jermohn Queen missed Three Point Jumper.,45,92
5:41,-1,William Bunton Offensive Rebound.,45,92
5:35,-1,William Bunton Turnover.,45,92
5:34,526,Rendijs Feikners Steal.,45,92
5:30,526,Rendijs Feikners made Layup.,45,94
5:13,-1,William Bunton missed Three Point Jumper.,45,94
5:13,526,Reggie Reid Defensive Rebound.,45,94
5:05,526,Reggie Reid Turnover.,45,94
5:05,526,Foul on Reggie Reid.,45,94
4:49,-1,Antonio Sims missed Jumper.,45,94
4:49,526,Rayjon Tucker Defensive Rebound.,45,94
4:40,526,Reggie Reid missed Three Point Jumper.,45,94
4:40,526,Kevin Mickle Offensive Rebound.,45,94
4:10,526,Rendijs Feikners made Three Point Jumper. Assisted by Reggie Reid.,45,97
3:51,-1,Jermohn Queen Turnover.,45,97
3:49,526,Kevin Mickle Steal.,45,97
3:39,526,Official TV Timeout,45,97
3:39,-1,Technical Foul on William Bunton.,45,97
3:39,-1,Foul on William Bunton.,45,97
3:39,526,Joshua Ko missed Free Throw.,45,97
3:39,526,Florida Gulf Coast Deadball Team Rebound.,45,97
3:39,526,Joshua Ko missed Free Throw.,45,97
3:39,526,Florida Gulf Coast Deadball Team Rebound.,45,97
3:32,526,Rendijs Feikners made Layup.,45,99
3:19,-1,Dylan Mulder missed Three Point Jumper.,45,99
3:19,526,Maxx Bleecher Defensive Rebound.,45,99
3:11,526,Maxx Bleecher made Layup.,45,101
2:51,-1,Dylan Mulder missed Three Point Jumper.,45,101
2:51,526,Joshua Ko Defensive Rebound.,45,101
2:42,526,Rendijs Feikners missed Layup.,45,101
2:42,-1,Tavares Atkins Block.,45,101
2:40,-1,Antonio Sims Defensive Rebound.,45,101
2:30,-1,Jermohn Queen missed Three Point Jumper.,45,101
2:30,526,Maxx Bleecher Defensive Rebound.,45,101
2:20,526,Kevin Mickle missed Jumper.,45,101
2:20,-1,Aaron Carpenter Defensive Rebound.,45,101
2:10,-1,Aaron Carpenter made Layup.,47,101
1:53,526,Rendijs Feikners missed Three Point Jumper.,47,101
1:53,-1,Dylan Mulder Defensive Rebound.,47,101
1:47,526,Foul on Dolan Mahoney.,47,101
1:47,-1,Dylan Mulder made Free Throw.,48,101
1:47,-1,Dylan Mulder missed Free Throw.,48,101
1:47,526,Maxx Bleecher Defensive Rebound.,48,101
1:38,526,Maxx Bleecher Turnover.,48,101
1:36,-1,Dustin Cousin Steal.,48,101
1:36,526,Foul on Maxx Bleecher.,48,101
1:36,-1,Dustin Cousin made Free Throw.,49,101
1:36,-1,Dustin Cousin missed Free Throw.,49,101
1:36,526,Maxx Bleecher Defensive Rebound.,49,101
1:28,526,Maxx Bleecher missed Layup.,49,101
1:28,526,Kevin Mickle Offensive Rebound.,49,101
1:24,526,Joshua Ko made Jumper. Assisted by Kevin Mickle.,49,103
1:15,-1,Deontrea Dixon missed Three Point Jumper.,49,103
1:15,526,Kevin Mickle Defensive Rebound.,49,103
0:55,526,Dolan Mahoney made Jumper.,49,105
0:46,526,Foul on Dolan Mahoney.,49,105
0:46,-1,Jermohn Queen missed Free Throw.,49,105
0:46,-1,Florida National Deadball Team Rebound.,49,105
0:46,-1,Jermohn Queen made Free Throw.,50,105
0:35,526,Joshua Ko made Jumper.,50,107
0:22,-1,Jamaal Walker Turnover.,50,107
0:18,526,Joshua Ko Steal.,50,107
0:00,526,End of Game,50,107
